MinNormIw,VarVanillaIw,ESSClassic,VarRet,AvgVanillaIw,EpsThisIter,AvgEpLen,AvgRet,Bound,MaxVanillaIw,AvgDiscRet,eRenyi2,MinVanillaIw,MaxNormIw,Delta,VarJ,IterType,AvgNormIw,BatchSize,VarDiscRet,ESSRenyi,VarNormIw,J,VanillaAvgRet
1.34687e-05,5269.54,1.59294137677,115372.970766,4.09977,100,96.0,887.483081912,1117.67,1623.85,887.483081912,4.86791,0.0276093,0.792166,0.5,1861.55,1,0.002,500,115372.970766,102.713516962,0.00125405,1359.81,887.483081912
0.01,,100.0,79257.0111783,1.0,100,97.43,902.07532082,736.057,1.0,902.07532082,1.0,1.0,0.01,0.5,280.115,2,0.01,500,79257.0111783,500.0,3.50449e-18,902.075,902.07532082
0.005,,200.000000102,89804.8668758,1.0,100,104.08,961.975588961,798.06,1.0,961.975588961,1.0,1.0,0.005,0.5,290.831,2,0.005,500,89804.8668758,500.0,2.1793e-19,932.025,961.975588961
0.00333333,,299.999969474,94983.1318478,1.0,100,102.65,949.795376424,828.566,1.0,949.795376424,1.0,1.0,0.00333333,0.5,296.316,2,0.00333333,500,94983.1318478,500.0,5.43914e-20,937.949,949.795376424
0.0025,,400.0,74391.4046893,1.0,100,103.78,959.161539818,848.524,1.0,959.161539818,1.0,1.0,0.0025,0.5,290.428,2,0.0025,500,74391.4046893,500.0,5.4346e-20,943.252,959.161539818
2.34175e-06,1.47812,211.591716904,83778.7858314,1.04032,100,112.04,1035.0011662,923.315,8.49801,1035.0011662,2.29189,0.00121808,0.0163373,0.5,464.241,1,0.002,500,83778.7858314,218.160157896,5.46309e-06,1051.58,1035.0011662
0.01,,100.0,99124.8574143,1.0,100,109.38,1009.21671692,827.075,1.0,1009.21671692,1.0,1.0,0.01,0.5,313.263,2,0.01,500,99124.8574143,500.0,3.50449e-18,1009.22,1009.21671692
0.005,,200.000000102,110047.045681,1.0,100,99.66,920.049332574,834.448,1.0,920.049332574,1.0,1.0,0.005,0.5,324.85,2,0.005,500,110047.045681,500.0,2.1793e-19,964.633,920.049332574
0.00333333,,299.999969474,78888.0491972,1.0,100,107.2,990.677402756,852.601,1.0,990.677402756,1.0,1.0,0.00333333,0.5,310.702,2,0.00333333,500,78888.0491972,500.0,5.43914e-20,973.315,990.677402756
0.0025,,400.0,70376.8269127,1.0,100,108.5,1002.87918516,876.165,1.0,1002.87918516,1.0,1.0,0.0025,0.5,299.973,2,0.0025,500,70376.8269127,500.0,5.4346e-20,980.706,1002.87918516
1.27545e-10,774.99,3.53358509756,89931.7889265,2.34626,100,104.53,966.226626055,1190.22,619.764,966.226626055,10.9055,1.49627e-07,0.5283,0.5,4086.57,1,0.002,500,89931.7889265,45.8482950742,0.000563124,1499.0,966.226626055
0.01,,100.0,97640.3769181,1.0,100,109.0,1007.19241407,810.912,1.0,1007.19241407,1.0,1.0,0.01,0.5,310.908,2,0.01,500,97640.3769181,500.0,3.50449e-18,1007.19,1007.19241407
0.005,,200.000000102,87727.1551548,1.0,100,106.37,983.484144629,854.44,1.0,983.484144629,1.0,1.0,0.005,0.5,303.146,2,0.005,500,87727.1551548,500.0,2.1793e-19,995.338,983.484144629
0.00333333,,299.999969474,92574.801781,1.0,100,108.25,1001.85175756,882.467,1.0,1001.85175756,1.0,1.0,0.00333333,0.5,303.025,2,0.00333333,500,92574.801781,500.0,5.43914e-20,997.509,1001.85175756
0.0025,,400.0,97849.0224215,1.0,100,108.34,1001.74875229,898.939,1.0,1001.74875229,1.0,1.0,0.0025,0.5,305.105,2,0.0025,500,97849.0224215,500.0,5.4346e-20,998.569,1001.74875229
1.17955e-08,430.401,4.44474205893,83739.361916,1.96281,100,104.7,968.529002342,1173.87,462.156,968.529002342,13.1814,1.15762e-05,0.470912,0.5,5249.72,1,0.002,500,83739.361916,37.9321793574,0.000446864,1497.4,968.529002342
0.01,,100.0,110074.374229,1.0,100,109.42,1011.20289504,813.969,1.0,1011.20289504,1.0,1.0,0.01,0.5,330.112,2,0.01,500,110074.374229,500.0,3.50449e-18,1011.2,1011.20289504
0.005,,200.000000102,76494.4278213,1.0,100,110.37,1020.215793,876.244,1.0,1020.215793,1.0,1.0,0.005,0.5,303.927,2,0.005,500,76494.4278213,500.0,2.1793e-19,1015.71,1020.215793
0.00333333,,299.999969474,70099.4971485,1.0,100,106.75,986.013470943,891.938,1.0,986.013470943,1.0,1.0,0.00333333,0.5,291.393,2,0.00333333,500,70099.4971485,500.0,5.43914e-20,1005.81,986.013470943
0.0025,,400.0,68073.9098082,1.0,100,114.87,1060.29986385,920.816,1.0,1060.29986385,1.0,1.0,0.0025,0.5,284.759,2,0.0025,500,68073.9098082,500.0,5.4346e-20,1019.43,1060.29986385
4.25094e-07,242.206,5.48096164457,81696.5684705,1.6368,100,110.87,1024.23957253,1001.08,346.217,1024.23957253,7.01965,0.000347896,0.423042,0.5,1647.79,1,0.002,500,81696.5684705,71.2286033338,0.000361623,1234.78,1024.23957253
0.01,,100.0,94580.1958054,1.0,100,110.76,1023.45844365,759.943,1.0,1023.45844365,1.0,1.0,0.01,0.5,305.997,2,0.01,500,94580.1958054,500.0,3.50449e-18,1023.46,1023.45844365
0.005,,200.000000102,97624.355982,1.0,100,114.3,1055.81728882,853.305,1.0,1055.81728882,1.0,1.0,0.005,0.5,308.874,2,0.005,500,97624.355982,500.0,2.1793e-19,1039.64,1055.81728882
0.00333333,,299.999969474,72941.3691676,1.0,100,109.17,1010.50855492,877.788,1.0,1010.50855492,1.0,1.0,0.00333333,0.5,296.414,2,0.00333333,500,72941.3691676,500.0,5.43914e-20,1029.93,1010.50855492
0.0025,,400.0,80533.9476787,1.0,100,109.19,1008.25739415,892.753,1.0,1008.25739415,1.0,1.0,0.0025,0.5,293.115,2,0.0025,500,80533.9476787,500.0,5.4346e-20,1024.51,1008.25739415
2.30422e-07,1611.11,2.76636883984,91324.7122068,2.9909,100,108.5,1002.30768953,1106.76,893.251,1002.30768953,7.83464,0.000344586,0.597312,0.5,2927.27,1,0.002,500,91324.7122068,63.8191297929,0.00072041,1436.62,1002.30768953
0.01,,100.0,83474.765347,1.0,100,108.04,998.44302295,825.326,1.0,998.44302295,1.0,1.0,0.01,0.5,287.472,2,0.01,500,83474.765347,500.0,3.50449e-18,998.443,998.44302295
0.005,,200.000000102,87025.8018354,1.0,100,106.73,986.769643297,862.582,1.0,986.769643297,1.0,1.0,0.005,0.5,290.572,2,0.005,500,87025.8018354,500.0,2.1793e-19,992.606,986.769643297
0.00333333,,299.999969474,82572.8046758,1.0,100,110.75,1024.56685723,897.095,1.0,1024.56685723,1.0,1.0,0.00333333,0.5,289.42,2,0.00333333,500,82572.8046758,500.0,5.43914e-20,1003.26,1024.56685723
0.0025,,400.0,80400.8026772,1.0,100,112.34,1039.98284603,920.499,1.0,1039.98284603,1.0,1.0,0.0025,0.5,288.054,2,0.0025,500,80400.8026772,500.0,5.4346e-20,1012.44,1039.98284603
2.15347e-08,1.96594,162.369397525,98573.3011462,0.971362,100,105.21,971.651704589,961.296,7.47555,971.651704589,2.91707,1.0459e-05,0.0153919,0.5,492.171,1,0.002,500,98573.3011462,171.404677627,8.33426e-06,1110.31,971.651704589
0.01,,100.0,93452.5493123,1.0,100,113.42,1047.83983396,876.528,1.0,1047.83983396,1.0,1.0,0.01,0.5,304.168,2,0.01,500,93452.5493123,500.0,3.50449e-18,1047.84,1047.83983396
0.005,,200.000000102,82216.2384232,1.0,100,114.52,1057.88821459,923.458,1.0,1057.88821459,1.0,1.0,0.005,0.5,294.926,2,0.005,500,82216.2384232,500.0,2.1793e-19,1052.86,1057.88821459
0.00333333,,299.999969474,85725.9974538,1.0,100,117.15,1082.00857174,956.919,1.0,1082.00857174,1.0,1.0,0.00333333,0.5,294.051,2,0.00333333,500,85725.9974538,500.0,5.43914e-20,1062.58,1082.00857174
0.0025,,400.0,63459.826814,1.0,100,110.13,1018.35325304,960.019,1.0,1018.35325304,1.0,1.0,0.0025,0.5,284.469,2,0.0025,500,63459.826814,500.0,5.4346e-20,1051.52,1018.35325304
1.55818e-06,461.374,4.45074870571,99514.7633914,2.0336,100,111.2,1027.67464372,1050.4,479.513,1027.67464372,3.97052,0.00158435,0.471591,0.5,976.752,1,0.002,500,99514.7633914,125.92816502,0.000446255,1213.48,1027.67464372
0.01,,100.0,94291.9347461,1.0,100,112.67,1040.37046354,841.33,1.0,1040.37046354,1.0,1.0,0.01,0.5,305.531,2,0.01,500,94291.9347461,500.0,3.50449e-18,1040.37,1040.37046354
0.005,,200.000000102,88917.3976694,1.0,100,113.76,1050.90464135,904.895,1.0,1050.90464135,1.0,1.0,0.005,0.5,301.192,2,0.005,500,88917.3976694,500.0,2.1793e-19,1045.64,1050.90464135
0.00333333,,299.999969474,73542.7085111,1.0,100,113.68,1049.74997814,932.093,1.0,1049.74997814,1.0,1.0,0.00333333,0.5,291.119,2,0.00333333,500,73542.7085111,500.0,5.43914e-20,1047.01,1049.74997814
0.0025,,400.0,73811.168734,1.0,100,119.15,1099.89057313,960.709,1.0,1099.89057313,1.0,1.0,0.0025,0.5,286.976,2,0.0025,500,73811.168734,500.0,5.4346e-20,1060.23,1099.89057313
1.83965e-10,580.579,3.00084531557,75974.4242958,1.87042,100,112.57,1037.57630207,1239.13,538.124,1037.57630207,10.4893,1.72047e-07,0.575404,0.5,3375.09,1,0.002,500,75974.4242958,47.6676242232,0.000663807,1527.42,1037.57630207
0.01,,100.0,86038.6175644,1.0,100,120.9,1114.88397484,944.16,1.0,1114.88397484,1.0,1.0,0.01,0.5,291.853,2,0.01,500,86038.6175644,500.0,3.50449e-18,1114.88,1114.88397484
0.005,,200.000000102,90027.0472273,1.0,100,123.83,1141.26353714,987.558,1.0,1141.26353714,1.0,1.0,0.005,0.5,295.511,2,0.005,500,90027.0472273,500.0,2.1793e-19,1128.07,1141.26353714
0.00333333,,299.999969474,73712.0125448,1.0,100,116.2,1073.35537133,990.858,1.0,1073.35537133,1.0,1.0,0.00333333,0.5,288.458,2,0.00333333,500,73712.0125448,500.0,5.43914e-20,1109.83,1073.35537133
0.0025,,400.0,68613.7317194,1.0,100,119.23,1101.43913515,1004.7,1.0,1101.43913515,1.0,1.0,0.0025,0.5,281.782,2,0.0025,500,68613.7317194,500.0,5.4346e-20,1107.74,1101.43913515
9.98299e-12,70.039,10.8232731307,96613.6602954,1.2436,100,115.29,1064.90100553,1190.64,178.137,1064.90100553,13.3886,6.20743e-09,0.286485,0.5,4628.87,1,0.002,500,96613.6602954,37.3453228596,0.000181149,1562.99,1064.90100553
0.01,,100.0,84750.3985305,1.0,100,117.48,1085.32388333,916.394,1.0,1085.32388333,1.0,1.0,0.01,0.5,289.66,2,0.01,500,84750.3985305,500.0,3.50449e-18,1085.32,1085.32388333
0.005,,200.000000102,94116.2712141,1.0,100,116.33,1074.04462462,936.41,1.0,1074.04462462,1.0,1.0,0.005,0.5,297.608,2,0.005,500,94116.2712141,500.0,2.1793e-19,1079.68,1074.04462462
0.00333333,,299.999969474,88610.9273621,1.0,100,114.98,1063.07097414,957.164,1.0,1063.07097414,1.0,1.0,0.00333333,0.5,297.238,2,0.00333333,500,88610.9273621,500.0,5.43914e-20,1074.15,1063.07097414
0.0025,,400.0,103798.217904,1.0,100,116.12,1073.08980848,972.572,1.0,1073.08980848,1.0,1.0,0.0025,0.5,303.237,2,0.0025,500,103798.217904,500.0,5.4346e-20,1073.88,1073.08980848
2.79747e-06,1650.47,2.46195128748,80877.4347538,2.85493,100,118.3,1093.04621801,1241.41,904.18,1093.04621801,8.51853,0.00399329,0.633417,0.5,1995.04,1,0.002,500,80877.4347538,58.695580378,0.000809984,1505.88,1093.04621801
0.01,,100.0,77714.2967482,1.0,100,123.61,1141.47860403,971.53,1.0,1141.47860403,1.0,1.0,0.01,0.5,277.375,2,0.01,500,77714.2967482,500.0,3.50449e-18,1141.48,1141.47860403
0.005,,200.000000102,80742.9174305,1.0,100,117.45,1083.36515464,991.14,1.0,1083.36515464,1.0,1.0,0.005,0.5,281.568,2,0.005,500,80742.9174305,500.0,2.1793e-19,1112.42,1083.36515464
0.00333333,,299.999969474,78411.7565335,1.0,100,118.09,1088.762918,994.326,1.0,1088.762918,1.0,1.0,0.00333333,0.5,280.81,2,0.00333333,500,78411.7565335,500.0,5.43914e-20,1104.54,1088.762918
0.0025,,400.0,73574.468358,1.0,100,115.82,1068.32552418,1000.04,1.0,1068.32552418,1.0,1.0,0.0025,0.5,278.561,2,0.0025,500,73574.468358,500.0,5.4346e-20,1095.48,1068.32552418
8.65811e-05,2.84348,143.084942487,113163.437853,1.06661,100,122.89,1134.052036,1071.19,30.6514,1134.052036,2.70056,0.046174,0.0574745,0.5,1063.09,1,0.002,500,113163.437853,185.146549161,9.99771e-06,1217.2,1134.052036
0.01,,100.0,67758.2843361,1.0,100,122.07,1125.11659024,936.997,1.0,1125.11659024,1.0,1.0,0.01,0.5,258.999,2,0.01,500,67758.2843361,500.0,3.50449e-18,1125.12,1125.11659024
