IterType,MinNormIw,BatchSize,VarNormIw,VarVanillaIw,AvgNormIw,Bound,ESSClassic,EpsThisIter,VanillaAvgRet,MaxNormIw,AvgRet,MaxVanillaIw,eRenyi2,VarDiscRet,AvgVanillaIw,ESSRenyi,VarJ,AvgEpLen,J,MinVanillaIw,AvgDiscRet,VarRet,Delta
,3.73302e-10,500,0.00065158,1.29595e+09,0.0025,-4670.79,3.80981053089,100,141.652736397,0.388791,141.652736397,548311.0,162905.0,12154.946135,3525.74,0.00306927733002,2092.68,15.48,373.283,0.000526467,269.046257932,8498.45544001,0.9
1,1.22186e-10,500,0.00129853,9481.81,0.002,349.021,1.53854776825,100,158.323817389,0.805652,158.323817389,2177.05,25.7484,14902.7832047,5.40444,19.4186897185,517.233,17.26,411.721,3.30173e-07,158.323817389,14902.7832047,0.9
2,0.01,500,3.50449e-18,,0.01,241.129,100.0,100,259.102353099,0.01,259.102353099,1.0,1.0,7937.1887326,1.0,500.0,88.6443,28.05,259.102,1.0,259.102353099,7937.1887326,0.9
2,0.005,500,2.1793e-19,,0.005,251.66,200.000000102,100,269.635690616,0.005,269.635690616,1.0,1.0,7211.37361785,1.0,500.0,86.7541,29.17,264.369,1.0,269.635690616,7211.37361785,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,250.308,299.999969474,100,259.622378399,0.00333333,259.622378399,1.0,1.0,11243.2702985,1.0,500.0,93.4495,28.13,262.787,1.0,259.622378399,11243.2702985,0.9
2,0.0025,500,5.4346e-20,,0.0025,250.981,400.0,100,259.920277295,0.0025,259.920277295,1.0,1.0,11756.2732797,1.0,500.0,97.2667,28.15,262.07,1.0,259.920277295,11756.2732797,0.9
1,2.10052e-12,500,0.0016886,42407.9,0.002,443.512,1.18397558625,100,265.820133086,0.918971,265.820133086,4605.34,15.607,12180.6583393,10.0228,32.036884262,242.422,28.8,488.17,1.05265e-08,265.820133086,12180.6583393,0.9
2,0.01,500,3.50449e-18,,0.01,336.109,100.0,100,372.256726348,0.01,372.256726348,1.0,1.0,25731.9573467,1.0,500.0,159.608,40.18,372.257,1.0,372.256726348,25731.9573467,0.9
2,0.005,500,2.1793e-19,,0.005,332.639,200.000000102,100,344.142367995,0.005,344.142367995,1.0,1.0,14190.1909999,1.0,500.0,141.277,37.15,358.2,1.0,344.142367995,14190.1909999,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,329.528,299.999969474,100,334.793780647,0.00333333,334.793780647,1.0,1.0,9312.83149581,1.0,500.0,128.456,36.17,350.398,1.0,334.793780647,9312.83149581,0.9
2,0.0025,500,5.4346e-20,,0.0025,325.402,400.0,100,322.711609303,0.0025,322.711609303,1.0,1.0,8954.48132374,1.0,500.0,121.391,34.83,343.476,1.0,322.711609303,8954.48132374,0.9
1,7.39101e-36,500,0.000518253,130.706,0.002,592.622,3.83718037173,100,338.354550171,0.488942,338.354550171,245.547,1.0002,11708.4746279,1.0044,499.898811795,1061.04,36.54,608.79,3.71178e-33,338.354550171,11708.4746279,0.9
2,0.01,500,3.50449e-18,,0.01,358.517,100.0,100,387.776120286,0.01,387.776120286,1.0,1.0,21911.2409872,1.0,500.0,147.282,41.87,387.776,1.0,387.776120286,21911.2409872,0.9
2,0.005,500,2.1793e-19,,0.005,374.137,200.000000102,100,406.399639485,0.005,406.399639485,1.0,1.0,23087.962733,1.0,500.0,149.537,43.85,397.088,1.0,406.399639485,23087.962733,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,388.901,299.999969474,100,434.283621277,0.00333333,434.283621277,1.0,1.0,37788.8082198,1.0,500.0,166.389,46.88,409.486,1.0,434.283621277,37788.8082198,0.9
2,0.0025,500,5.4346e-20,,0.0025,402.432,400.0,100,453.4641373,0.0025,453.4641373,1.0,1.0,29520.4819514,1.0,500.0,168.621,48.93,420.481,1.0,453.4641373,29520.4819514,0.9
1,4.35439e-20,500,0.00147954,8837.85,0.002,810.684,1.35081841548,100,414.860636736,0.859785,414.860636736,2101.36,71.6809,44100.2984266,4.88809,6.97535804908,1311.4,44.81,960.864,1.06423e-16,414.860636736,44100.2984266,0.9
2,0.01,500,3.50449e-18,,0.01,520.895,100.0,100,567.717973455,0.01,567.717973455,1.0,1.0,52778.7570683,1.0,500.0,228.585,61.31,567.718,1.0,567.717973455,52778.7570683,0.9
2,0.005,500,2.1793e-19,,0.005,527.99,200.000000102,100,554.479472549,0.005,554.479472549,1.0,1.0,51465.1015391,1.0,500.0,227.254,59.84,561.099,1.0,554.479472549,51465.1015391,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,534.464,299.999969474,100,562.295172864,0.00333333,562.295172864,1.0,1.0,60096.9348264,1.0,500.0,232.942,60.78,561.498,1.0,562.295172864,60096.9348264,0.9
2,0.0025,500,5.4346e-20,,0.0025,528.835,400.0,100,524.494451028,0.0025,524.494451028,1.0,1.0,33114.9426842,1.0,500.0,221.696,56.57,552.247,1.0,524.494451028,33114.9426842,0.9
1,6.2548e-18,500,0.00114983,7468.03,0.002,1034.2,1.73681978082,100,564.893994313,0.753502,564.893994313,1920.31,44.6459,37517.8015748,5.09702,11.199244133,1011.22,60.94,1174.12,1.59404e-14,564.893994313,37517.8015748,0.9
2,0.01,500,3.50449e-18,,0.01,607.405,100.0,100,656.968796805,0.01,656.968796805,1.0,1.0,55981.3746972,1.0,500.0,235.418,70.9,656.969,1.0,656.968796805,55981.3746972,0.9
2,0.005,500,2.1793e-19,,0.005,627.58,200.000000102,100,668.285307393,0.005,668.285307393,1.0,1.0,57405.0628203,1.0,500.0,236.977,72.19,662.627,1.0,668.285307393,57405.0628203,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,631.804,299.999969474,100,656.004116778,0.00333333,656.004116778,1.0,1.0,49574.7255537,1.0,500.0,231.966,70.79,660.419,1.0,656.004116778,49574.7255537,0.9
2,0.0025,500,5.4346e-20,,0.0025,627.249,400.0,100,626.864874141,0.0025,626.864874141,1.0,1.0,69359.2475775,1.0,500.0,240.278,67.67,652.031,1.0,626.864874141,69359.2475775,0.9
1,6.44599e-12,500,0.00165535,25837.2,0.002,1219.1,1.20769802156,100,649.662236393,0.909747,649.662236393,3594.17,51.1522,58522.1364322,7.90146,9.774751606,1442.85,70.14,1377.63,2.54664e-08,649.662236393,58522.1364322,0.9
2,0.01,500,3.50449e-18,,0.01,734.013,100.0,100,780.552144686,0.01,780.552144686,1.0,1.0,56483.4171999,1.0,500.0,236.471,84.42,780.552,1.0,780.552144686,56483.4171999,0.9
2,0.005,500,2.1793e-19,,0.005,757.453,200.000000102,100,821.898548678,0.005,821.898548678,1.0,1.0,67740.8860526,1.0,500.0,248.834,88.84,801.225,1.0,821.898548678,67740.8860526,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,754.003,299.999969474,100,766.778296269,0.00333333,766.778296269,1.0,1.0,54276.0019789,1.0,500.0,243.831,82.89,789.743,1.0,766.778296269,54276.0019789,0.9
2,0.0025,500,5.4346e-20,,0.0025,746.159,400.0,100,739.211389297,0.0025,739.211389297,1.0,1.0,64510.9250269,1.0,500.0,247.054,79.98,777.11,1.0,739.211389297,64510.9250269,0.9
1,4.70354e-08,500,0.0012955,9576.09,0.002,1063.32,1.54212611368,100,765.155697571,0.804912,765.155697571,2188.38,20.0518,66945.3024752,5.43757,24.9354365252,1305.96,82.73,1187.28,0.000127879,765.155697571,66945.3024752,0.9
2,0.01,500,3.50449e-18,,0.01,776.831,100.0,100,832.597757382,0.01,832.597757382,1.0,1.0,87876.8764151,1.0,500.0,294.954,90.13,832.598,1.0,832.597757382,87876.8764151,0.9
2,0.005,500,2.1793e-19,,0.005,805.243,200.000000102,100,856.754633501,0.005,856.754633501,1.0,1.0,60059.3658484,1.0,500.0,270.877,92.86,844.676,1.0,856.754633501,60059.3658484,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,822.528,299.999969474,100,874.822397402,0.00333333,874.822397402,1.0,1.0,94786.4800395,1.0,500.0,283.545,94.66,854.725,1.0,874.822397402,94786.4800395,0.9
2,0.0025,500,5.4346e-20,,0.0025,827.321,400.0,100,856.642433499,0.0025,856.642433499,1.0,1.0,82464.0243048,1.0,500.0,284.093,92.73,855.204,1.0,856.642433499,82464.0243048,0.9
1,9.22989e-18,500,0.00138666,3571.87,0.002,1201.48,1.44104218251,100,805.281506282,0.832617,805.281506282,1336.31,53.414,58619.9879751,3.20991,9.36084614987,1358.87,87.08,1383.75,1.48136e-14,805.281506282,58619.9879751,0.9
2,0.01,500,3.50449e-18,,0.01,893.961,100.0,100,940.565329762,0.01,940.565329762,1.0,1.0,61844.9408179,1.0,500.0,247.44,102.14,940.565,1.0,940.565329762,61844.9408179,0.9
2,0.005,500,2.1793e-19,,0.005,910.385,200.000000102,100,965.647835361,0.005,965.647835361,1.0,1.0,78893.545005,1.0,500.0,264.24,104.61,953.107,1.0,965.647835361,78893.545005,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,926.219,299.999969474,100,977.090729543,0.00333333,977.090729543,1.0,1.0,60415.2309548,1.0,500.0,258.096,105.8,961.101,1.0,977.090729543,60415.2309548,0.9
2,0.0025,500,5.4346e-20,,0.0025,935.917,400.0,100,981.200867616,0.0025,981.200867616,1.0,1.0,69425.7012798,1.0,500.0,259.266,106.39,966.126,1.0,981.200867616,69425.7012798,0.9
1,2.06039e-15,500,0.0011983,2619.65,0.002,1237.41,1.66680243059,100,956.747236249,0.773894,956.747236249,1144.25,21.8126,69057.6776474,2.95712,22.922557931,1263.68,103.58,1363.6,3.04642e-12,956.747236249,69057.6776474,0.9
2,0.01,500,3.50449e-18,,0.01,1003.4,100.0,100,1060.1968571,0.01,1060.1968571,1.0,1.0,44803.8664065,1.0,500.0,210.608,114.9,1060.2,1.0,1060.1968571,44803.8664065,0.9
2,0.005,500,2.1793e-19,,0.005,1005.46,200.000000102,100,1031.04119717,0.005,1031.04119717,1.0,1.0,50904.9391842,1.0,500.0,218.148,111.95,1045.62,1.0,1031.04119717,50904.9391842,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1024.04,299.999969474,100,1079.24581104,0.00333333,1079.24581104,1.0,1.0,51612.3060223,1.0,500.0,221.38,117.09,1056.83,1.0,1079.24581104,51612.3060223,0.9
2,0.0025,500,5.4346e-20,,0.0025,1024.03,400.0,100,1039.2100393,0.0025,1039.2100393,1.0,1.0,51861.5102196,1.0,500.0,222.824,112.82,1052.42,1.0,1039.2100393,51861.5102196,0.9
1,2.22969e-19,500,0.00142969,7567.38,0.002,1435.19,1.39778639956,100,1076.08403615,0.845429,1076.08403615,1945.04,38.4022,43377.9131202,4.60131,13.0200722803,1528.42,116.55,1592.58,5.12974e-16,1076.08403615,43377.9131202,0.9
2,0.01,500,3.50449e-18,,0.01,1051.38,100.0,100,1110.78066965,0.01,1110.78066965,1.0,1.0,48770.6814098,1.0,500.0,219.734,120.55,1110.78,1.0,1110.78066965,48770.6814098,0.9
2,0.005,500,2.1793e-19,,0.005,1055.42,200.000000102,100,1084.06103368,0.005,1084.06103368,1.0,1.0,41144.8882641,1.0,500.0,211.392,117.64,1097.42,1.0,1084.06103368,41144.8882641,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1062.21,299.999969474,100,1094.67697178,0.00333333,1094.67697178,1.0,1.0,38532.0425351,1.0,500.0,206.176,118.73,1096.51,1.0,1094.67697178,38532.0425351,0.9
2,0.0025,500,5.4346e-20,,0.0025,1059.62,400.0,100,1067.7692019,0.0025,1067.7692019,1.0,1.0,43793.7110708,1.0,500.0,207.063,115.94,1089.32,1.0,1067.7692019,43793.7110708,0.9
1,3.05143e-07,500,0.00029392,213.675,0.002,1130.04,6.72647702019,100,1055.40889707,0.38049,1055.40889707,324.419,5.76365,49515.7843851,1.70527,86.7505627623,797.16,114.65,1196.27,0.000260175,1055.40889707,49515.7843851,0.9
2,0.01,500,3.50449e-18,,0.01,1075.06,100.0,100,1127.7695576,0.01,1127.7695576,1.0,1.0,38550.793301,1.0,500.0,195.359,121.95,1127.77,1.0,1127.7695576,38550.793301,0.9
2,0.005,500,2.1793e-19,,0.005,1065.46,200.000000102,100,1085.54967116,0.005,1085.54967116,1.0,1.0,43831.606528,1.0,500.0,203.039,117.63,1106.66,1.0,1085.54967116,43831.606528,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1074.08,299.999969474,100,1117.45699123,0.00333333,1117.45699123,1.0,1.0,39079.9588137,1.0,500.0,201.011,121.26,1110.26,1.0,1117.45699123,39079.9588137,0.9
2,0.0025,500,5.4346e-20,,0.0025,1075.72,400.0,100,1097.43569205,0.0025,1097.43569205,1.0,1.0,51334.0851791,1.0,500.0,207.461,118.83,1107.05,1.0,1097.43569205,51334.0851791,0.9
1,3.94901e-11,500,0.00106315,4166.3,0.002,1292.14,1.87788514455,100,1086.93806859,0.727293,1086.93806859,1439.75,30.058,45238.698884,3.9592,16.634494697,1184.77,117.78,1445.79,7.81746e-08,1086.93806859,45238.698884,0.9
2,0.01,500,3.50449e-18,,0.01,1054.11,100.0,100,1111.48493532,0.01,1111.48493532,1.0,1.0,41055.4679108,1.0,500.0,201.606,120.48,1111.48,1.0,1111.48493532,41055.4679108,0.9
2,0.005,500,2.1793e-19,,0.005,1079.39,200.000000102,100,1128.4261974,0.005,1128.4261974,1.0,1.0,49460.8871863,1.0,500.0,211.843,122.4,1119.96,1.0,1128.4261974,49460.8871863,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1084.54,299.999969474,100,1113.54190149,0.00333333,1113.54190149,1.0,1.0,35997.9287431,1.0,500.0,204.467,120.73,1117.82,1.0,1113.54190149,35997.9287431,0.9
2,0.0025,500,5.4346e-20,,0.0025,1072.61,400.0,100,1052.25604858,0.0025,1052.25604858,1.0,1.0,45708.1431231,1.0,500.0,208.504,114.25,1101.43,1.0,1052.25604858,45708.1431231,0.9
1,1.12228e-13,500,0.00091259,3233.3,0.002,1357.68,2.18635511695,100,1116.32312217,0.673387,1116.32312217,1267.5,37.1115,40856.1822768,3.76457,13.4729058621,2078.29,121.1,1514.73,2.11244e-10,1116.32312217,40856.1822768,0.9
2,0.01,500,3.50449e-18,,0.01,1065.88,100.0,100,1125.15355635,0.01,1125.15355635,1.0,1.0,43870.2283306,1.0,500.0,208.402,122.18,1125.15,1.0,1125.15355635,43870.2283306,0.9
2,0.005,500,2.1793e-19,,0.005,1073.52,200.000000102,100,1105.70717349,0.005,1105.70717349,1.0,1.0,55599.0019401,1.0,500.0,222.108,119.92,1115.43,1.0,1105.70717349,55599.0019401,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1078.26,299.999969474,100,1106.57004715,0.00333333,1106.57004715,1.0,1.0,41507.4207194,1.0,500.0,215.877,120.09,1112.48,1.0,1106.57004715,41507.4207194,0.9
2,0.0025,500,5.4346e-20,,0.0025,1079.44,400.0,100,1098.89222413,0.0025,1098.89222413,1.0,1.0,36499.5604864,1.0,500.0,209.81,119.6,1109.08,1.0,1098.89222413,36499.5604864,0.9
1,8.58132e-11,500,0.00128095,6845.66,0.002,1327.52,1.55958577961,100,1095.95916068,0.8001,1095.95916068,1849.63,27.5821,44633.2018962,4.6235,18.1276674783,1354.32,118.86,1466.74,1.98379e-07,1095.95916068,44633.2018962,0.9
2,0.01,500,3.50449e-18,,0.01,1056.18,100.0,100,1123.87838379,0.01,1123.87838379,1.0,1.0,75912.2970449,1.0,500.0,274.141,121.99,1123.88,1.0,1123.87838379,75912.2970449,0.9
2,0.005,500,2.1793e-19,,0.005,1078.16,200.000000102,100,1128.17737387,0.005,1128.17737387,1.0,1.0,51498.5537085,1.0,500.0,251.143,122.58,1126.03,1.0,1128.17737387,51498.5537085,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1084.54,299.999969474,100,1118.81854124,0.00333333,1118.81854124,1.0,1.0,49882.488305,1.0,500.0,241.912,121.56,1123.62,1.0,1118.81854124,49882.488305,0.9
2,0.0025,500,5.4346e-20,,0.0025,1100.49,400.0,100,1166.48727456,0.0025,1166.48727456,1.0,1.0,44092.4840781,1.0,500.0,234.837,126.75,1134.34,1.0,1166.48727456,44092.4840781,0.9
1,4.79212e-13,500,0.000918953,1753.29,0.002,1285.7,2.17128344726,100,1123.02802292,0.67587,1123.02802292,933.563,18.3928,45031.0624162,2.76255,27.1845936824,992.449,122.06,1415.55,6.61924e-10,1123.02802292,45031.0624162,0.9
2,0.01,500,3.50449e-18,,0.01,1072.44,100.0,100,1130.39038669,0.01,1130.39038669,1.0,1.0,59624.0891295,1.0,500.0,242.956,122.71,1130.39,1.0,1130.39038669,59624.0891295,0.9
2,0.005,500,2.1793e-19,,0.005,1108.71,200.000000102,100,1168.9790074,0.005,1168.9790074,1.0,1.0,41021.1523758,1.0,500.0,224.035,126.97,1149.68,1.0,1168.9790074,41021.1523758,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1110.0,299.999969474,100,1146.80955363,0.00333333,1146.80955363,1.0,1.0,85278.9035547,1.0,500.0,248.204,124.26,1148.73,1.0,1146.80955363,85278.9035547,0.9
2,0.0025,500,5.4346e-20,,0.0025,1115.91,400.0,100,1151.58442343,0.0025,1151.58442343,1.0,1.0,65759.2231293,1.0,500.0,249.961,124.82,1149.44,1.0,1151.58442343,65759.2231293,0.9
1,3.78085e-09,500,0.00124104,7997.45,0.002,1342.6,1.60958284207,100,1135.30781311,0.787883,1135.30781311,2000.07,8.18402,53561.3071814,5.07706,61.0946908978,1056.71,123.36,1428.41,9.59781e-06,1135.30781311,53561.3071814,0.9
2,0.01,500,3.50449e-18,,0.01,1086.91,100.0,100,1143.30406777,0.01,1143.30406777,1.0,1.0,52414.7586187,1.0,500.0,227.795,124.11,1143.3,1.0,1143.30406777,52414.7586187,0.9
2,0.005,500,2.1793e-19,,0.005,1110.44,200.000000102,100,1157.33643291,0.005,1157.33643291,1.0,1.0,32865.9273047,1.0,500.0,205.58,125.74,1150.32,1.0,1157.33643291,32865.9273047,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1107.87,299.999969474,100,1122.98972352,0.00333333,1122.98972352,1.0,1.0,43330.4033952,1.0,500.0,206.496,122.08,1141.21,1.0,1122.98972352,43330.4033952,0.9
2,0.0025,500,5.4346e-20,,0.0025,1109.18,400.0,100,1128.58308203,0.0025,1128.58308203,1.0,1.0,49873.1536211,1.0,500.0,210.604,122.81,1138.05,1.0,1128.58308203,49873.1536211,0.9
1,3.04032e-13,500,0.000840933,1139.95,0.002,1338.05,2.37177303055,100,1173.53846764,0.639956,1173.53846764,745.096,51.1604,58974.3763511,2.32858,9.77317658512,1870.33,127.41,1522.75,3.53982e-10,1173.53846764,58974.3763511,0.9
2,0.01,500,3.50449e-18,,0.01,1067.1,100.0,100,1130.93038907,0.01,1130.93038907,1.0,1.0,62158.1797967,1.0,500.0,248.066,122.98,1130.93,1.0,1130.93038907,62158.1797967,0.9
2,0.005,500,2.1793e-19,,0.005,1103.58,200.000000102,100,1166.50481838,0.005,1166.50481838,1.0,1.0,37994.9745058,1.0,500.0,223.366,126.55,1148.72,1.0,1166.50481838,37994.9745058,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1110.9,299.999969474,100,1145.80967358,0.00333333,1145.80967358,1.0,1.0,77911.8257534,1.0,500.0,242.846,124.21,1147.75,1.0,1145.80967358,77911.8257534,0.9
2,0.0025,500,5.4346e-20,,0.0025,1122.68,400.0,100,1175.14868667,0.0025,1175.14868667,1.0,1.0,52611.5282539,1.0,500.0,239.568,127.32,1154.6,1.0,1175.14868667,52611.5282539,0.9
1,4.37046e-06,500,6.63231e-06,1.62422,0.002,1177.25,188.340721844,100,1184.73893426,0.0241344,1184.73893426,11.9433,2.46598,54226.0209129,0.989737,202.759338146,413.761,128.47,1222.08,0.0021628,1184.73893426,54226.0209129,0.9
2,0.01,500,3.50449e-18,,0.01,1107.42,100.0,100,1168.14760991,0.01,1168.14760991,1.0,1.0,68444.1366783,1.0,500.0,260.307,126.79,1168.15,1.0,1168.14760991,68444.1366783,0.9
2,0.005,500,2.1793e-19,,0.005,1112.46,200.000000102,100,1142.66762805,0.005,1142.66762805,1.0,1.0,59596.1857293,1.0,500.0,252.076,124.21,1155.41,1.0,1142.66762805,59596.1857293,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1130.3,299.999969474,100,1185.28179279,0.00333333,1185.28179279,1.0,1.0,44557.6415499,1.0,500.0,239.299,128.58,1165.37,1.0,1185.28179279,44557.6415499,0.9
2,0.0025,500,5.4346e-20,,0.0025,1142.62,400.0,100,1199.88421576,0.0025,1199.88421576,1.0,1.0,49946.0311981,1.0,500.0,235.654,129.92,1174.0,1.0,1199.88421576,49946.0311981,0.9
1,0.002,500,5.43187e-20,,0.002,1141.03,500.000006643,100,1150.07351199,0.002,1150.07351199,1.0,1.0,64064.011091,1.0,500.0,239.171,124.64,1169.21,1.0,1150.07351199,64064.011091,0.9
2,0.01,500,3.50449e-18,,0.01,1115.38,100.0,100,1173.20670557,0.01,1173.20670557,1.0,1.0,61516.0267576,1.0,500.0,246.781,126.99,1173.21,1.0,1173.20670557,61516.0267576,0.9
2,0.005,500,2.1793e-19,,0.005,1133.22,200.000000102,100,1175.02290909,0.005,1175.02290909,1.0,1.0,60963.2747523,1.0,500.0,246.228,127.6,1174.11,1.0,1175.02290909,60963.2747523,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1127.49,299.999969474,100,1143.92064845,0.00333333,1143.92064845,1.0,1.0,58662.2887312,1.0,500.0,244.908,124.15,1164.05,1.0,1143.92064845,58662.2887312,0.9
2,0.0025,500,5.4346e-20,,0.0025,1119.4,400.0,100,1112.0935041,0.0025,1112.0935041,1.0,1.0,53983.014714,1.0,500.0,242.594,120.74,1151.06,1.0,1112.0935041,53983.014714,0.9
1,0.002,500,5.43187e-20,,0.002,1126.57,500.000006643,100,1170.22497549,0.002,1170.22497549,1.0,1.0,44226.857785,1.0,500.0,236.426,126.72,1154.89,1.0,1170.22497549,44226.857785,0.9
2,0.01,500,3.50449e-18,,0.01,1083.41,100.0,100,1147.24716863,0.01,1147.24716863,1.0,1.0,58220.5330616,1.0,500.0,240.08,124.55,1147.25,1.0,1147.24716863,58220.5330616,0.9
2,0.005,500,2.1793e-19,,0.005,1103.05,200.000000102,100,1149.13656149,0.005,1149.13656149,1.0,1.0,43959.3978592,1.0,500.0,224.9,124.74,1148.19,1.0,1149.13656149,43959.3978592,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1111.85,299.999969474,100,1149.73939025,0.00333333,1149.73939025,1.0,1.0,60196.4669347,1.0,500.0,231.485,124.72,1148.71,1.0,1149.73939025,60196.4669347,0.9
2,0.0025,500,5.4346e-20,,0.0025,1122.51,400.0,100,1171.57443692,0.0025,1171.57443692,1.0,1.0,58814.3914395,1.0,500.0,234.187,127.21,1154.42,1.0,1171.57443692,58814.3914395,0.9
1,0.002,500,5.43187e-20,,0.002,1122.69,500.000006643,100,1140.56496578,0.002,1140.56496578,1.0,1.0,84638.6807838,1.0,500.0,246.301,123.6,1151.65,1.0,1140.56496578,84638.6807838,0.9
2,0.01,500,3.50449e-18,,0.01,1082.07,100.0,100,1151.26220654,0.01,1151.26220654,1.0,1.0,57821.5437762,1.0,500.0,239.256,125.08,1151.26,1.0,1151.26220654,57821.5437762,0.9
2,0.005,500,2.1793e-19,,0.005,1095.43,200.000000102,100,1137.43998169,0.005,1137.43998169,1.0,1.0,51569.8296824,1.0,500.0,232.801,123.56,1144.35,1.0,1137.43998169,51569.8296824,0.9
2,0.00333333,500,5.43914e-20,,0.00333333,1113.46,299.999969474,100,1171.52090917,0.00333333,1171.52090917,1.0,1.0,42221.5020735,1.0,500.0,224.116,127.13,1153.41,1.0,1171.52090917,42221.5020735,0.9
2,0.0025,500,5.4346e-20,,0.0025,1116.79,400.0,100,1145.30544275,0.0025,1145.30544275,1.0,1.0,40121.5322468,1.0,500.0,218.205,124.39,1151.38,1.0,1145.30544275,40121.5322468,0.9
1,0.002,500,5.43187e-20,,0.002,1114.11,500.000006643,100,1119.73275937,0.002,1119.73275937,1.0,1.0,57393.9371311,1.0,500.0,222.744,121.44,1145.05,1.0,1119.73275937,57393.9371311,0.9
2,0.01,500,3.50449e-18,,0.01,1063.02,100.0,100,1116.35881824,0.01,1116.35881824,1.0,1.0,60281.6680022,1.0,500.0,244.293,121.18,1116.36,1.0,1116.35881824,60281.6680022,0.9
