VarJ,AvgEpLen,MaxVanillaIw,J,MinNormIw,ESSRenyi,VarRet,VarNormIw,eRenyi2,VanillaAvgRet,AvgDiscRet,AvgNormIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,Bound,ESSClassic,BatchSize,MaxNormIw,AvgRet,VarVanillaIw
50.48932,499.616,1.1199727,4997.689,0.001169242,496.5574394457523,7460.865651198495,3.030963e-08,1.0069329,4996.0832024889405,4996.0832024889405,0.0019999999,7460.865651198495,0.9981986,0.58356786,4808.8457,496.24726818419043,500,0.0022439878,4996.0832024889405,0.0075501315
189.94849,499.004,1.3542905,4991.448,0.0013854636,496.2207612993842,49799.56320702248,3.515659e-08,1.007616,4989.968382900862,4989.968382900862,0.0019999999,49799.56320702248,0.99805975,0.6913878,4802.5405,495.65246790877234,500,0.0027138465,4989.968382900862,0.008755074
0.06716684,500.0,1.0,4999.946,0.002,500.0,0.004520825865332678,5.431875e-20,1.0,4999.94528652739,4999.94528652739,0.0020000003,0.004520825865332678,1.0,1.0,4811.7534,500.00000664260017,500,0.002,4999.94528652739,
0.063538544,500.0,1.0,4999.9463,0.002,500.0,0.004045637247115706,5.431875e-20,1.0,4999.94569062724,4999.94569062724,0.0020000003,0.004045637247115706,1.0,1.0,4811.754,500.00000664260017,500,0.002,4999.94569062724,
21.652685,499.8,1.0901955,4998.623,0.0011275117,498.28493821370074,1168.3880758994019,1.6237463e-08,1.0034419,4997.908366626189,4997.908366626189,0.002,1168.3880758994019,0.9982726,0.56278205,4810.1074,497.98255817578587,500,0.002184164,4997.908366626189,0.0040453537
187.22223,499.004,1.2807399,4991.5737,0.0014315692,495.9559579515642,49799.6284609977,2.8882676e-08,1.008154,4989.971631135671,4989.971631135671,0.002,49799.6284609977,1.0008256,0.7163756,4802.6157,496.42267131855755,500,0.0025593666,4989.971631135671,0.007232597
28.887993,499.802,1.0731063,4998.6562,0.0012922784,498.48901270317987,2000.014301523783,1.28890765e-08,1.0030311,4997.947733822653,4997.947733822653,0.002,2000.014301523783,1.0003172,0.6463442,4810.179,498.39720507204095,500,0.0021455318,4997.947733822653,0.003224314
0.06042424,500.0,1.0,4999.949,0.002,500.0,0.0036579721039045605,5.431875e-20,1.0,4999.948754019034,4999.948754019034,0.0020000003,0.0036579721039045605,1.0,1.0,4811.757,500.00000664260017,500,0.002,4999.948754019034,
0.064257964,500.0,1.0002273,4999.9478,0.001998429,500.0,0.004138609409796136,8.7432984e-14,1.0,4999.946890175378,4999.946890175378,0.002,0.004138609409796136,0.9999885,0.999203,4811.7554,499.999962128808,500,0.0020004776,4999.946890175378,2.1856783e-08
54.432247,499.444,1.1435997,4996.925,0.0009807424,494.8114042812831,11687.05102424703,4.8111716e-08,1.010486,4994.343211085281,4994.343211085281,0.0019999999,11687.05102424703,0.9919687,0.48643285,4807.7485,494.0692141144293,500,0.0023057174,4994.343211085281,0.011835505
