WReturnMean,ReturnStepMaxmin,StdIW,LearnableVariance,OptimizationReturnMax,MinTargetPdf,Bound,EpisodesSoFar,MaxIW,TimestepsSoFar,MeanD2-0,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,InitialReturnStd,MeanIW,InitialReturnMin,OptimizationReturnMean,MinIW,EpLenMean,ReturnMeanIW,ReturnStepMax,OptimizationReturnMin,Penalization,Epsilon,EmpiricalD2Harmonic,EpThisIter,InitialBound,Iteration,InitialReturnMax,MinBehavPdf,ESSRenyiHarmonic,VarianceInitializer,EmpiricalD2Arithmetic,StdWReturnMean,TimeElapsed,Weights,EpRewMean,Inner Iteration,InitialReturnMean
14069.412,0.863098,998.76184,,154.88936,-121.38924,-15066417.0,2500,7309.699,579642,1.0,100.0,0.4189424,216395900.0,26.271965,285.27826,-215.3031,115.66848,0.051794853,140.01,3302650.0,0.863098,,True,2.0,1.0,100,-14869.1045,25,-60.413742,-121.38924,100.0,-1.0,1.0,,219.06164598464966,[0.052 0.941],-99.63462379097939,1,-99.63462
7859.157,0.85904586,10190.56,,117.990875,-98.866264,-59140348.0,2600,102466.63,592696,1.0,100.0,0.4189424,12349059000.0,21.57348,1084.8928,-179.04169,85.98688,0.03643695,130.54,7570895.5,0.85904586,,True,2.0,1.0,100,-8323.22,26,-61.05081,-98.866264,100.0,-1.0,1.0,,228.33861446380615,[0.045 1.003],-93.05481426537037,1,-93.05482
8367.639,0.86787975,1458865.6,,129.28477,-96.79706,-1.5580398e+16,2700,13330272.0,606961,1.0,100.0,0.4189424,7.8200574e+26,26.07055,344232.0,-189.94455,87.681046,0.053544287,142.65,2153424000.0,0.86787975,,True,2.0,1.0,100,-8924.792,27,-60.659775,-96.79706,100.0,-1.0,1.0,,238.0941047668457,[0.043 0.941],-102.26350704148412,1,-102.263504
4385.059,0.85896206,1536612000.0,,94.2418,-91.14274,-4.3896476e+20,2800,12349263000.0,619989,1.0,100.0,0.4189424,2.1985055e+36,23.215746,239034450.0,-154.46344,62.016834,0.5354861,130.28,959362900000.0,0.85896206,,True,2.0,1.0,100,-4681.11,28,-60.22164,-91.14274,100.0,-1.0,1.0,,248.19719171524048,[-0.022  1.048],-92.44660295203329,1,-92.4466
2615.2302,0.8608765,1743.6967,,80.581665,-85.48684,-28267138.0,2900,16996.598,631845,1.0,100.0,0.4189424,16559847000.0,17.601868,341.2356,-131.33115,48.014633,0.06243268,118.56,413661.66,0.8608765,,True,2.0,1.0,100,-2831.6765,29,-50.749477,-85.48684,100.0,-1.0,1.0,,256.4486572742462,[-0.032  1.172],-83.31651536479592,1,-83.31651
4391.5,0.8563385,34113.06,,97.90332,-103.29838,-130163970.0,3000,342931.16,644016,1.0,100.0,0.4189424,163943840000.0,20.867052,3523.7065,-148.62344,62.897266,0.03656254,121.71,797664.56,0.8563385,,True,2.0,1.0,100,-4711.001,30,-50.720123,-103.29838,100.0,-1.0,1.0,,265.63420057296753,[-0.282  1.167],-85.72617400601506,1,-85.72618
9183.983,0.8601819,374.63434,,123.01057,-112.184105,-7881311.0,3100,2587.7878,656707,1.0,100.0,0.4189424,183957870.0,23.51762,111.67689,-183.16081,92.902664,0.11494873,126.91,1040260.25,0.8601819,,True,2.0,1.0,100,-9688.37,31,-60.150246,-112.184105,100.0,-1.0,1.0,,276.4893481731415,[-0.271  1.105],-90.25815085858106,1,-90.25815
9943.169,0.85823715,159.88425,,139.37141,-105.53763,-10064504.0,3200,1046.4785,669755,1.0,100.0,0.4189424,206484640.0,23.571692,73.61645,-189.54369,96.88934,0.044231564,130.48,760497.4,0.85823715,,True,2.0,1.0,100,-10590.647,32,-50.17227,-105.53763,100.0,-1.0,1.0,,286.82326102256775,[-0.27   1.043],-92.65434437006712,1,-92.654335
9265.441,0.85968435,586.11725,,129.94221,-120.09099,-98067830.0,3300,4591.7056,683422,1.0,100.0,0.4189424,29743577000.0,24.459255,153.44911,-190.04033,93.097725,0.13008516,136.67,999883.3,0.85968435,,True,2.0,1.0,100,-9828.274,33,-60.098114,-120.09099,100.0,-1.0,1.0,,298.56554341316223,[-0.272  0.98 ],-96.94260222524404,1,-96.942604
5090.495,0.860855,3209.0505,,100.07402,-96.760056,-8224028.0,3400,32278.982,696439,1.0,100.0,0.4189424,475859420.0,19.838062,379.48926,-160.81433,68.53427,0.05219312,130.17,941858.5,0.860855,,True,2.0,1.0,100,-5424.3223,34,-60.74031,-96.760056,100.0,-1.0,1.0,,309.1568055152893,[-0.253  1.04 ],-92.28005918055773,1,-92.28006
3966.9058,0.8615006,650092300.0,,88.74479,-77.21361,-2.290439e+19,3500,6490151000.0,708794,1.0,100.0,0.4189424,7.6121707e+33,18.756258,78270640.0,-147.40941,60.12578,1.5996422,123.55,233213600000.0,0.8615006,,True,2.0,1.0,100,-4229.427,35,-58.66462,-77.21361,100.0,-1.0,1.0,,319.2439634799957,[-0.262  1.102],-87.28363558322191,1,-87.283646
4325.947,0.8618238,75645310.0,,95.53233,-87.58124,-4.398992e+17,3600,760331100.0,720517,1.0,100.0,0.4189424,2.0909672e+30,20.014973,8019059.0,-145.3948,62.65259,0.19878338,117.23,19497628000.0,0.8618238,,True,2.0,1.0,100,-4630.16,36,-49.862473,-87.58124,100.0,-1.0,1.0,,329.59073877334595,[-0.313  1.216],-82.742210021317,1,-82.74221
5172.9517,0.86042595,441339970.0,,98.770226,-76.831726,-3.3006136e+20,3700,4436158500.0,731757,1.0,100.0,0.4189424,1.0302144e+36,15.357977,48074732.0,-148.99222,70.2644,0.030489305,112.4,281326900000.0,0.86042595,,True,2.0,1.0,100,-5498.1353,37,-50.221992,-76.831726,100.0,-1.0,1.0,,337.3701243400574,[-0.375  1.324],-78.72782492026687,1,-78.72783
