VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
2574.93549734,,1.0,1.0,50.4895,1.0,1.0,200,-70.6853679505,100,100.0,2574.93549734,0.01,100.98,200.0,0.01,-134.405,0.01,2,0.3,-70.6853679505,-70.6854,3.50449e-18,-70.6853679505
5004.90260573,0.0342046,0.863702,1.00082,55.8318,1.02567,2.34371,200,-76.3024887955,100,193.427811424,5004.90260573,0.0117089,106.96,194.993711049,0.005,-117.906,0.00431495,1,0.3,-76.3024887955,-72.2752,8.53707e-07,-76.3024887955
6084.57478574,,1.0,1.0,77.6127,1.0,1.0,200,-81.6646867828,100,100.0,6084.57478574,0.01,113.01,200.0,0.01,-145.383,0.01,2,0.3,-81.6646867828,-81.6647,3.50449e-18,-81.6646867828
1345.07308588,0.0462869,0.2767,1.01738,52.7989,1.04018,1.69788,200,-66.2726632906,100,191.480051113,1345.07308588,0.00834436,95.63,192.273516529,0.005,-118.164,0.00135987,1,0.3,-66.2726632906,-72.2116,1.11797e-06,-66.2726632906
3830.18475674,,1.0,1.0,61.5783,1.0,1.0,200,-72.9085602933,100,100.0,3830.18475674,0.01,102.63,200.0,0.01,-136.628,0.01,2,0.3,-72.9085602933,-72.9086,3.50449e-18,-72.9085602933
1353.56335776,0.0133279,0.885264,0.990197,47.1726,1.01384,1.7004,200,-67.7590536909,100,197.331069393,1353.56335776,0.00858619,97.63,197.269051674,0.005,-115.037,0.00447014,1,0.3,-67.7590536909,-69.67,3.39826e-07,-67.7590536909
4961.21554241,,1.0,1.0,70.0828,1.0,1.0,200,-77.7896347995,100,100.0,4961.21554241,0.01,109.15,200.0,0.01,-141.509,0.01,2,0.3,-77.7896347995,-77.7896,3.50449e-18,-77.7896347995
3772.01071279,0.018662,0.726411,0.983281,58.765,1.02698,1.53367,200,-74.3655431169,100,196.231242482,3772.01071279,0.00779872,104.48,194.745841782,0.005,-120.434,0.00369381,1,0.3,-74.3655431169,-74.7734,4.82551e-07,-74.3655431169
6079.54819428,,1.0,1.0,77.5806,1.0,1.0,200,-81.5202253315,100,100.0,6079.54819428,0.01,113.4,200.0,0.01,-145.24,0.01,2,0.3,-81.5202253315,-81.5202,3.50449e-18,-81.5202253315
6155.09171465,0.0603483,0.389995,1.00077,68.5436,1.0594,1.59439,200,-80.4816268995,100,188.687468449,6155.09171465,0.00796579,111.66,188.786473174,0.005,-124.924,0.00194847,1,0.3,-80.4816268995,-78.5485,1.50638e-06,-80.4816268995
3772.41070656,,1.0,1.0,61.1121,1.0,1.0,200,-74.2070644079,100,100.0,3772.41070656,0.01,104.73,200.0,0.01,-137.927,0.01,2,0.3,-74.2070644079,-74.2071,3.50449e-18,-74.2070644079
