MaxNormIw,ESSRenyi,eRenyi2,AvgEpLen,VarRet,AvgDiscRet,MinNormIw,EpsThisIter,Delta,AvgNormIw,J,VarJ,AvgRet,VarVanillaIw,BatchSize,MaxVanillaIw,IterType,VanillaAvgRet,AvgVanillaIw,Bound,VarNormIw,VarDiscRet,ESSClassic,MinVanillaIw
0.01,500.0,1.0,41.39,26239.1191067,383.475380667,0.01,100,0.8,0.01,383.475,161.173,383.475380667,,500,1.0,2,383.475380667,1.0,332.963,3.50449e-18,26239.1191067,100.0,1.0
0.005,500.0,1.0,42.88,27836.9458515,397.300025519,0.005,100,0.8,0.005,390.388,163.754,397.300025519,,500,1.0,2,397.300025519,1.0,354.67,2.1793e-19,27836.9458515,200.000000102,1.0
0.00333333,500.0,1.0,39.0,32455.4648302,360.843627086,0.00333333,100,0.8,0.00333333,380.54,169.65,360.843627086,,500,1.0,2,360.843627086,1.0,348.835,5.43914e-20,32455.4648302,299.999969474,1.0
0.0025,500.0,1.0,41.91,20264.7810272,388.244408629,0.0025,100,0.8,0.0025,382.466,163.134,388.244408629,,500,1.0,2,388.244408629,1.0,355.008,5.4346e-20,20264.7810272,400.0,1.0
0.860533,7.22530240574,69.2013,44.06,47038.4955261,407.658057387,4.41167e-21,100,0.8,0.002,1241.51,2065.88,407.658057387,4745.52,500,1539.73,1,407.658057387,3.57856,991.077,0.00148227,47038.4955261,1.34833855464,7.8937e-18
0.01,500.0,1.0,53.03,45949.5766578,491.349293249,0.01,100,0.8,0.01,491.349,213.284,491.349293249,,500,1.0,2,491.349293249,1.0,431.071,3.50449e-18,45949.5766578,100.0,1.0
0.005,500.0,1.0,50.6,41439.365579,468.66847717,0.005,100,0.8,0.005,480.009,208.293,468.66847717,,500,1.0,2,468.66847717,1.0,434.191,2.1793e-19,41439.365579,200.000000102,1.0
0.00333333,500.0,1.0,55.68,43462.5125579,516.050981768,0.00333333,100,0.8,0.00333333,492.023,208.699,516.050981768,,500,1.0,2,516.050981768,1.0,454.613,5.43914e-20,43462.5125579,299.999969474,1.0
0.0025,500.0,1.0,50.04,28857.4614193,463.200211109,0.0025,100,0.8,0.0025,484.817,199.911,463.200211109,,500,1.0,2,463.200211109,1.0,452.419,5.4346e-20,28857.4614193,400.0,1.0
0.867007,13.5987076082,36.7682,56.19,53875.5479294,520.798449914,4.09398e-12,100,0.8,0.002,1022.24,1187.01,520.798449914,12492.3,500,2499.22,1,520.798449914,5.76516,839.772,0.00150342,53875.5479294,1.32942646674,1.18012e-08
0.01,500.0,1.0,65.62,66893.109871,607.683074259,0.01,100,0.8,0.01,607.683,257.341,607.683074259,,500,1.0,2,607.683074259,1.0,523.531,3.50449e-18,66893.109871,100.0,1.0
0.005,500.0,1.0,61.44,37570.9224569,569.197458286,0.005,100,0.8,0.005,588.44,228.21,569.197458286,,500,1.0,2,569.197458286,1.0,528.936,2.1793e-19,37570.9224569,200.000000102,1.0
0.00333333,500.0,1.0,63.44,49656.8217859,587.943269454,0.00333333,100,0.8,0.00333333,588.275,226.068,587.943269454,,500,1.0,2,587.943269454,1.0,539.689,5.43914e-20,49656.8217859,299.999969474,1.0
0.0025,500.0,1.0,62.35,48624.41835,577.56313668,0.0025,100,0.8,0.0025,585.597,224.469,577.56313668,,500,1.0,2,577.56313668,1.0,543.521,5.4346e-20,48624.41835,400.0,1.0
0.898508,6.01732238886,83.0934,63.09,54749.2478284,584.726467111,1.72166e-31,100,0.8,0.002,1578.28,2164.59,584.726467111,7207.23,500,1898.17,1,584.726467111,4.22515,1235.23,0.0016149,54749.2478284,1.23787994393,3.63713e-28
0.01,500.0,1.0,75.69,60428.0662106,701.001986943,0.01,100,0.8,0.01,701.002,244.589,701.001986943,,500,1.0,2,701.001986943,1.0,628.66,3.50449e-18,60428.0662106,100.0,1.0
0.005,500.0,1.0,75.12,71676.9681307,694.729508793,0.005,100,0.8,0.005,697.866,255.738,694.729508793,,500,1.0,2,694.729508793,1.0,644.686,2.1793e-19,71676.9681307,200.000000102,1.0
0.00333333,500.0,1.0,75.89,83526.3667685,702.583871233,0.00333333,100,0.8,0.00333333,699.438,266.777,702.583871233,,500,1.0,2,702.583871233,1.0,656.018,5.43914e-20,83526.3667685,299.999969474,1.0
0.0025,500.0,1.0,78.74,73965.0876431,727.942813281,0.0025,100,0.8,0.0025,706.565,268.023,727.942813281,,500,1.0,2,727.942813281,1.0,668.961,5.4346e-20,73965.0876431,400.0,1.0
0.754542,11.3630580802,44.0022,74.71,66876.0562128,691.374743976,3.85961e-17,100,0.8,0.002,1215.4,1638.15,691.374743976,3572.42,500,1333.74,1,691.374743976,3.53522,992.298,0.00114338,66876.0562128,1.74658252228,6.82228e-14
0.01,500.0,1.0,83.21,85257.4488651,768.930248291,0.01,100,0.8,0.01,768.93,290.525,768.930248291,,500,1.0,2,768.930248291,1.0,695.522,3.50449e-18,85257.4488651,100.0,1.0
0.005,500.0,1.0,86.82,52313.7674741,802.647555933,0.005,100,0.8,0.005,785.789,261.499,802.647555933,,500,1.0,2,802.647555933,1.0,733.881,2.1793e-19,52313.7674741,200.000000102,1.0
0.00333333,500.0,1.0,87.94,66561.342868,813.738106161,0.00333333,100,0.8,0.00333333,795.105,260.244,813.738106161,,500,1.0,2,813.738106161,1.0,750.571,5.43914e-20,66561.342868,299.999969474,1.0
0.0025,500.0,1.0,89.79,68717.4078708,830.101171805,0.0025,100,0.8,0.0025,803.854,260.83,830.101171805,,500,1.0,2,830.101171805,1.0,757.103,5.4346e-20,68717.4078708,400.0,1.0
0.421504,25.4437791715,19.6512,88.04,63257.27124,813.385936765,3.06551e-16,100,0.8,0.002,1148.74,900.721,813.385936765,131.223,500,237.119,1,813.385936765,1.12511,963.367,0.000414649,63257.27124,4.78675475944,1.72451e-13
0.01,500.0,1.0,99.07,68813.284363,915.559372187,0.01,100,0.8,0.01,915.559,261.008,915.559372187,,500,1.0,2,915.559372187,1.0,837.819,3.50449e-18,68813.284363,100.0,1.0
0.005,500.0,1.0,97.1,81605.2492882,897.227159887,0.005,100,0.8,0.005,906.393,273.022,897.227159887,,500,1.0,2,897.227159887,1.0,846.964,2.1793e-19,81605.2492882,200.000000102,1.0
0.00333333,500.0,1.0,99.65,83097.0100565,920.839833087,0.00333333,100,0.8,0.00333333,911.209,277.781,920.839833087,,500,1.0,2,920.839833087,1.0,858.257,5.43914e-20,83097.0100565,299.999969474,1.0
0.0025,500.0,1.0,91.24,72965.8600653,843.414659792,0.0025,100,0.8,0.0025,894.26,277.115,843.414659792,,500,1.0,2,843.414659792,1.0,848.402,5.4346e-20,72965.8600653,400.0,1.0
0.398347,36.7677059526,13.5989,92.86,69169.5146272,857.516314792,1.28956e-16,100,0.8,0.002,1145.48,896.575,857.516314792,178.385,500,284.501,1,857.516314792,1.42841,994.226,0.000349715,69169.5146272,5.66548327007,9.2101e-14
0.01,500.0,1.0,105.93,56733.2147793,979.000191748,0.01,100,0.8,0.01,979.0,236.993,979.000191748,,500,1.0,2,979.000191748,1.0,901.877,3.50449e-18,56733.2147793,100.0,1.0
0.005,500.0,1.0,107.52,41033.6770706,992.930575707,0.005,100,0.8,0.005,985.965,220.098,992.930575707,,500,1.0,2,992.930575707,1.0,931.431,2.1793e-19,41033.6770706,200.000000102,1.0
0.00333333,500.0,1.0,101.89,56531.8608461,941.423336618,0.00333333,100,0.8,0.00333333,971.118,226.698,941.423336618,,500,1.0,2,941.423336618,1.0,924.875,5.43914e-20,56531.8608461,299.999969474,1.0
0.0025,500.0,1.0,107.31,59687.0085842,991.588038627,0.0025,100,0.8,0.0025,976.235,231.073,991.588038627,,500,1.0,2,991.588038627,1.0,935.8,5.4346e-20,59687.0085842,400.0,1.0
0.771037,33.6103596384,14.8764,106.05,78937.377547,980.701261246,8.29231e-10,100,0.8,0.002,1400.26,1806.13,980.701261246,6701.64,500,1830.81,1,980.701261246,4.74895,1260.77,0.00118863,78937.377547,1.68031943975,1.96899e-06
0.01,500.0,1.0,112.11,65763.927144,1035.64152793,0.01,100,0.8,0.01,1035.64,255.159,1035.64152793,,500,1.0,2,1035.64152793,1.0,952.843,3.50449e-18,65763.927144,100.0,1.0
0.005,500.0,1.0,110.51,60218.1953197,1021.65008397,0.005,100,0.8,0.005,1028.65,249.82,1021.65008397,,500,1.0,2,1021.65008397,1.0,970.099,2.1793e-19,60218.1953197,200.000000102,1.0
0.00333333,500.0,1.0,111.64,66381.2595564,1030.87220118,0.00333333,100,0.8,0.00333333,1029.39,252.019,1030.87220118,,500,1.0,2,1030.87220118,1.0,980.158,5.43914e-20,66381.2595564,299.999969474,1.0
0.0025,500.0,1.0,115.0,53748.4277686,1060.247202,0.0025,100,0.8,0.0025,1037.1,247.218,1060.247202,,500,1.0,2,1060.247202,1.0,994.468,5.4346e-20,53748.4277686,400.0,1.0
0.681323,36.2569270434,13.7905,113.39,55278.0023464,1046.01991276,7.08704e-12,100,0.8,0.002,1388.59,1755.87,1046.01991276,2917.56,500,1206.03,1,1046.01991276,3.54027,1246.98,0.000931126,55278.0023464,2.14301781966,1.2545e-08
0.01,500.0,1.0,116.66,56846.1755229,1075.81124769,0.01,100,0.8,0.01,1075.81,237.229,1075.81124769,,500,1.0,2,1075.81124769,1.0,992.819,3.50449e-18,56846.1755229,100.0,1.0
0.005,500.0,1.0,117.04,54934.9499545,1081.38526504,0.005,100,0.8,0.005,1078.6,235.243,1081.38526504,,500,1.0,2,1081.38526504,1.0,1014.57,2.1793e-19,54934.9499545,200.000000102,1.0
0.00333333,500.0,1.0,114.54,63946.0579221,1057.29132123,0.00333333,100,0.8,0.00333333,1071.5,241.031,1057.29132123,,500,1.0,2,1057.29132123,1.0,1019.22,5.43914e-20,63946.0579221,299.999969474,1.0
0.0025,500.0,1.0,119.85,58994.5548565,1105.25723432,0.0025,100,0.8,0.0025,1079.94,241.634,1105.25723432,,500,1.0,2,1105.25723432,1.0,1034.66,5.4346e-20,58994.5548565,400.0,1.0
0.600692,32.6897611429,15.2953,116.48,65468.7743452,1075.2390394,7.18044e-10,100,0.8,0.002,1360.31,1723.81,1075.2390394,1058.86,500,725.919,1,1075.2390394,2.41694,1201.93,0.000725044,65468.7743452,2.74879029861,8.67736e-07
0.01,500.0,1.0,119.38,60506.4100387,1101.97000343,0.01,100,0.8,0.01,1101.97,244.748,1101.97000343,,500,1.0,2,1101.97000343,1.0,1024.71,3.50449e-18,60506.4100387,100.0,1.0
0.005,500.0,1.0,119.39,64856.4597522,1102.54461404,0.005,100,0.8,0.005,1102.26,249.108,1102.54461404,,500,1.0,2,1102.54461404,1.0,1046.38,2.1793e-19,64856.4597522,200.000000102,1.0
0.00333333,500.0,1.0,121.47,57619.6697918,1119.7892504,0.00333333,100,0.8,0.00333333,1108.1,245.871,1119.7892504,,500,1.0,2,1119.7892504,1.0,1062.48,5.43914e-20,57619.6697918,299.999969474,1.0
0.0025,500.0,1.0,123.11,51107.8938679,1135.48986998,0.0025,100,0.8,0.0025,1114.95,241.1,1135.48986998,,500,1.0,2,1135.48986998,1.0,1074.68,5.4346e-20,51107.8938679,400.0,1.0
0.420282,86.3348612851,5.7914,123.1,68290.6292444,1134.10909297,8.11238e-14,100,0.8,0.002,1252.3,614.548,1134.10909297,275.724,500,369.972,1,1134.10909297,1.76059,1162.68,0.00035581,68290.6292444,5.56950903547,7.14129e-11
0.01,500.0,1.0,130.22,57821.1300862,1199.65149838,0.01,100,0.8,0.01,1199.65,239.255,1199.65149838,,500,1.0,2,1199.65149838,1.0,1116.98,3.50449e-18,57821.1300862,100.0,1.0
0.005,500.0,1.0,127.96,40831.7529913,1180.28351584,0.005,100,0.8,0.005,1189.97,221.194,1180.28351584,,500,1.0,2,1180.28351584,1.0,1129.46,2.1793e-19,40831.7529913,200.000000102,1.0
0.00333333,500.0,1.0,124.1,66520.786976,1145.06431663,0.00333333,100,0.8,0.00333333,1175.0,234.559,1145.06431663,,500,1.0,2,1145.06431663,1.0,1125.59,5.43914e-20,66520.786976,299.999969474,1.0
0.0025,500.0,1.0,124.67,58164.9470926,1149.00153318,0.0025,100,0.8,0.0025,1168.5,236.191,1149.00153318,,500,1.0,2,1149.00153318,1.0,1125.71,5.4346e-20,58164.9470926,400.0,1.0
0.717508,36.6148192777,13.6557,124.32,61270.6046109,1146.5734423,3.63232e-08,100,0.8,0.002,1467.06,1659.42,1146.5734423,3356.79,500,1295.65,1,1146.5734423,3.61152,1325.64,0.00102945,61270.6046109,1.93913629388,6.5591e-05
0.01,500.0,1.0,122.17,83040.6005901,1123.10386231,0.01,100,0.8,0.01,1123.1,286.723,1123.10386231,,500,1.0,2,1123.10386231,1.0,1041.85,3.50449e-18,83040.6005901,100.0,1.0
0.005,500.0,1.0,124.2,78089.7713313,1143.30283587,0.005,100,0.8,0.005,1133.2,282.598,1143.30283587,,500,1.0,2,1143.30283587,1.0,1075.75,2.1793e-19,78089.7713313,200.000000102,1.0
0.00333333,500.0,1.0,129.29,80450.8103581,1190.37085371,0.00333333,100,0.8,0.00333333,1152.26,283.753,1190.37085371,,500,1.0,2,1190.37085371,1.0,1095.05,5.43914e-20,80450.8103581,299.999969474,1.0
0.0025,500.0,1.0,121.7,83632.9516342,1121.76814907,0.0025,100,0.8,0.0025,1144.64,285.062,1121.76814907,,500,1.0,2,1121.76814907,1.0,1095.09,5.4346e-20,83632.9516342,400.0,1.0
0.45607,85.7559788276,5.8305,123.57,80953.1100235,1137.42293527,6.5157e-05,100,0.8,0.002,1545.33,4464.32,1137.42293527,324.692,500,402.674,1,1137.42293527,1.76584,1438.33,0.000416512,80953.1100235,4.76554538083,0.0575285
0.01,500.0,1.0,122.56,80701.0468345,1129.79225977,0.01,100,0.8,0.01,1129.79,282.655,1129.79225977,,500,1.0,2,1129.79225977,1.0,1049.45,3.50449e-18,80701.0468345,100.0,1.0
0.005,500.0,1.0,121.63,102968.417257,1120.03250913,0.005,100,0.8,0.005,1124.91,301.563,1120.03250913,,500,1.0,2,1120.03250913,1.0,1066.34,2.1793e-19,102968.417257,200.000000102,1.0
0.00333333,500.0,1.0,126.06,109329.322143,1161.69398898,0.00333333,100,0.8,0.00333333,1137.17,311.458,1161.69398898,,500,1.0,2,1161.69398898,1.0,1087.65,5.43914e-20,109329.322143,299.999969474,1.0
0.0025,500.0,1.0,129.4,84966.5133588,1193.88687754,0.0025,100,0.8,0.0025,1151.35,307.224,1193.88687754,,500,1.0,2,1193.88687754,1.0,1107.22,5.4346e-20,84966.5133588,400.0,1.0
0.541475,28.296046785,17.6703,126.63,115428.795419,1168.6242113,3.91325e-10,100,0.8,0.002,1486.71,1702.04,1168.6242113,632.636,500,558.539,1,1168.6242113,2.06303,1314.21,0.00059457,115428.795419,3.34794829029,4.03657e-07
0.01,500.0,1.0,131.73,129444.819129,1213.12644504,0.01,100,0.8,0.01,1213.13,357.981,1213.12644504,,500,1.0,2,1213.12644504,1.0,1121.93,3.50449e-18,129444.819129,100.0,1.0
0.005,500.0,1.0,128.05,120781.950892,1179.66086946,0.005,100,0.8,0.005,1196.39,352.338,1179.66086946,,500,1.0,2,1179.66086946,1.0,1131.91,2.1793e-19,120781.950892,200.000000102,1.0
0.00333333,500.0,1.0,127.7,108377.336316,1175.33328815,0.00333333,100,0.8,0.00333333,1189.37,344.419,1175.33328815,,500,1.0,2,1175.33328815,1.0,1136.72,5.43914e-20,108377.336316,299.999969474,1.0
0.0025,500.0,1.0,129.85,102528.298559,1196.16940683,0.0025,100,0.8,0.0025,1191.07,338.161,1196.16940683,,500,1.0,2,1196.16940683,1.0,1145.47,5.4346e-20,102528.298559,400.0,1.0
0.630266,44.0092089888,11.3613,131.09,116067.052882,1210.62528886,8.06701e-14,100,0.8,0.002,1509.33,1567.29,1210.62528886,803.485,500,633.459,1,1210.62528886,2.01013,1371.47,0.000795404,116067.052882,2.50685490414,8.10788e-11
0.01,500.0,1.0,126.32,131733.177245,1163.72813611,0.01,100,0.8,0.01,1163.73,361.131,1163.72813611,,500,1.0,2,1163.72813611,1.0,1074.72,3.50449e-18,131733.177245,100.0,1.0
0.005,500.0,1.0,127.14,147873.656293,1170.03559324,0.005,100,0.8,0.005,1166.88,372.042,1170.03559324,,500,1.0,2,1170.03559324,1.0,1103.45,2.1793e-19,147873.656293,200.000000102,1.0
0.00333333,500.0,1.0,125.13,120674.375982,1151.90142995,0.00333333,100,0.8,0.00333333,1161.89,363.523,1151.90142995,,500,1.0,2,1151.90142995,1.0,1110.09,5.43914e-20,120674.375982,299.999969474,1.0
0.0025,500.0,1.0,116.28,138955.064299,1070.34018488,0.0025,100,0.8,0.0025,1139.0,367.525,1070.34018488,,500,1.0,2,1070.34018488,1.0,1094.15,5.4346e-20,138955.064299,400.0,1.0
0.827296,41.0665194933,12.1754,130.06,103000.842221,1198.70070413,2.47811e-07,100,0.8,0.002,1547.57,1122.27,1198.70070413,10853.1,500,2329.23,1,1198.70070413,5.63096,1406.59,0.00136914,103000.842221,1.4594255814,0.000697706
0.01,500.0,1.0,121.57,132897.893317,1119.17166913,0.01,100,0.8,0.01,1119.17,362.724,1119.17166913,,500,1.0,2,1119.17166913,1.0,1034.19,3.50449e-18,132897.893317,100.0,1.0
0.005,500.0,1.0,125.55,127782.342578,1155.11371556,0.005,100,0.8,0.005,1137.14,359.666,1155.11371556,,500,1.0,2,1155.11371556,1.0,1075.24,2.1793e-19,127782.342578,200.000000102,1.0
0.00333333,500.0,1.0,124.2,140236.693162,1143.67490463,0.00333333,100,0.8,0.00333333,1139.32,364.043,1143.67490463,,500,1.0,2,1143.67490463,1.0,1083.89,5.43914e-20,140236.693162,299.999969474,1.0
0.0025,500.0,1.0,122.36,149105.081037,1126.22257697,0.0025,100,0.8,0.0025,1136.05,369.231,1126.22257697,,500,1.0,2,1126.22257697,1.0,1088.04,5.4346e-20,149105.081037,400.0,1.0
0.555775,28.5795211352,17.495,123.61,151708.772689,1139.28634898,4.52606e-13,100,0.8,0.002,1498.95,1154.09,1139.28634898,1207.74,500,757.402,1,1139.28634898,2.72557,1319.35,0.000650307,151708.772689,3.062763502,6.16805e-10
0.01,500.0,1.0,120.38,131508.527601,1107.59961612,0.01,100,0.8,0.01,1107.6,360.823,1107.59961612,,500,1.0,2,1107.59961612,1.0,1023.83,3.50449e-18,131508.527601,100.0,1.0
0.005,500.0,1.0,128.22,122734.135052,1179.9199432,0.005,100,0.8,0.005,1143.76,356.592,1179.9199432,,500,1.0,2,1179.9199432,1.0,1083.55,2.1793e-19,122734.135052,200.000000102,1.0
0.00333333,500.0,1.0,124.83,127003.885569,1151.17251946,0.00333333,100,0.8,0.00333333,1146.23,355.943,1151.17251946,,500,1.0,2,1151.17251946,1.0,1096.78,5.43914e-20,127003.885569,299.999969474,1.0
0.0025,500.0,1.0,126.52,112737.895527,1162.57956716,0.0025,100,0.8,0.0025,1150.32,350.677,1162.57956716,,500,1.0,2,1162.57956716,1.0,1106.45,5.4346e-20,112737.895527,400.0,1.0
0.748996,26.1789066384,19.0993,125.67,148428.635868,1156.65597312,5.34801e-08,100,0.8,0.002,1559.03,1888.27,1156.65597312,4887.28,500,1562.44,1,1156.65597312,4.17209,1387.56,0.0011231,148428.635868,1.77800736215,0.000111562
0.01,500.0,1.0,126.57,108723.418785,1164.91343835,0.01,100,0.8,0.01,1164.91,328.08,1164.91343835,,500,1.0,2,1164.91343835,1.0,1082.05,3.50449e-18,108723.418785,100.0,1.0
0.005,500.0,1.0,122.99,123631.943833,1131.57118802,0.005,100,0.8,0.005,1148.24,339.549,1131.57118802,,500,1.0,2,1131.57118802,1.0,1087.69,2.1793e-19,123631.943833,200.000000102,1.0
0.00333333,500.0,1.0,131.45,105299.566873,1213.05260035,0.00333333,100,0.8,0.00333333,1169.85,335.477,1213.05260035,,500,1.0,2,1213.05260035,1.0,1120.41,5.43914e-20,105299.566873,299.999969474,1.0
0.0025,500.0,1.0,125.21,111126.418587,1151.60804508,0.0025,100,0.8,0.0025,1165.29,334.626,1151.60804508,,500,1.0,2,1151.60804508,1.0,1122.47,5.4346e-20,111126.418587,400.0,1.0
0.0318288,192.857931758,2.59258,133.42,115873.060711,1230.90260068,8.99077e-05,100,0.8,0.002,1232.21,495.57,1230.90260068,2.05179,500,17.7559,1,1230.90260068,1.11571,1170.55,6.5931e-06,115873.060711,189.037390419,0.0501555
0.01,500.0,1.0,125.33,108736.317446,1155.83467718,0.01,100,0.8,0.01,1155.83,328.099,1155.83467718,,500,1.0,2,1155.83467718,1.0,1071.58,3.50449e-18,108736.317446,100.0,1.0
0.005,500.0,1.0,129.28,115291.938183,1188.83770287,0.005,100,0.8,0.005,1172.34,333.416,1188.83770287,,500,1.0,2,1188.83770287,1.0,1105.79,2.1793e-19,115291.938183,200.000000102,1.0
0.00333333,500.0,1.0,133.22,84430.4551233,1226.04894531,0.00333333,100,0.8,0.00333333,1190.24,320.334,1226.04894531,,500,1.0,2,1226.04894531,1.0,1135.9,5.43914e-20,84430.4551233,299.999969474,1.0
0.0025,500.0,1.0,126.47,106833.350947,1164.18250385,0.0025,100,0.8,0.0025,1183.73,321.759,1164.18250385,,500,1.0,2,1164.18250385,1.0,1136.67,5.4346e-20,106833.350947,400.0,1.0
0.0852631,97.6087451097,5.12249,131.96,114239.063848,1214.8479068,7.10175e-05,100,0.8,0.002,1282.17,877.686,1214.8479068,5.52378,500,45.0595,1,1214.8479068,1.05695,1186.91,1.97781e-05,114239.063848,84.2510461488,0.0375311
0.01,500.0,1.0,130.87,113821.376687,1203.94103613,0.01,100,0.8,0.01,1203.94,335.683,1203.94103613,,500,1.0,2,1203.94103613,1.0,1120.29,3.50449e-18,113821.376687,100.0,1.0
0.005,500.0,1.0,129.3,116876.214097,1191.04559989,0.005,100,0.8,0.005,1197.49,337.989,1191.04559989,,500,1.0,2,1191.04559989,1.0,1132.08,2.1793e-19,116876.214097,200.000000102,1.0
0.00333333,500.0,1.0,134.78,119977.779214,1242.60171596,0.00333333,100,0.8,0.00333333,1212.53,340.885,1242.60171596,,500,1.0,2,1242.60171596,1.0,1157.01,5.43914e-20,119977.779214,299.999969474,1.0
0.0025,500.0,1.0,127.94,102213.83719,1180.04628373,0.0025,100,0.8,0.0025,1204.41,335.63,1180.04628373,,500,1.0,2,1180.04628373,1.0,1156.32,5.4346e-20,102213.83719,400.0,1.0
0.0533691,134.112712382,3.72821,127.06,118543.665513,1171.27662048,1.1071e-06,100,0.8,0.002,1318.88,476.243,1171.27662048,4.61105,500,27.9228,1,1171.27662048,1.0464,1235.84,1.68447e-05,118543.665513,96.1031920413,0.000579238
0.01,500.0,1.0,123.4,137985.510312,1134.09418961,0.01,100,0.8,0.01,1134.09,369.602,1134.09418961,,500,1.0,2,1134.09418961,1.0,1045.65,3.50449e-18,137985.510312,100.0,1.0
