AvgRet,VarVanillaIw,VarJ,MaxNormIw,EpsThisIter,IterType,Bound,ESSRenyi,MinNormIw,BatchSize,eRenyi2,VarRet,VarNormIw,VarDiscRet,J,AvgVanillaIw,MinVanillaIw,AvgNormIw,AvgEpLen,Delta,MaxVanillaIw,VanillaAvgRet,ESSClassic,AvgDiscRet
4534.33435006,0.0277615,302.002,0.0138344,100,1,3155.2,97.626797987,0.00411257,100,1.02431,214754.936938,2.56114e-06,214754.936938,4575.75,1.04113,0.428172,0.01,488.21,0.1,1.44034,4534.33435006,97.5271879339,4534.33435006
4580.36539947,0.0152547,228.073,0.0119683,100,1,3187.85,98.7131389692,0.0054387,100,1.01304,108485.236478,1.50444e-06,108485.236478,4600.96,1.00696,0.547658,0.01,493.0,0.1,1.20517,4580.36539947,98.5324293582,4580.36539947
4587.58539733,0.00891477,235.018,0.0123691,100,1,3191.31,99.0842107501,0.00666546,100,1.00924,95264.7128142,8.71818e-07,95264.7128142,4601.6,1.01121,0.674019,0.01,494.33,0.1,1.25078,4587.58539733,99.1443144686,4587.58539733
4566.98722164,0.0201635,260.287,0.0122661,100,1,3179.16,98.3299767825,0.00540875,100,1.01698,171363.499068,1.99051e-06,171363.499068,4594.99,1.00647,0.544374,0.01,491.5,0.1,1.23455,4566.98722164,98.0674995405,4566.98722164
4531.38434649,0.05757,222.499,0.014038,100,1,3167.98,96.6214655036,0.00313728,100,1.03497,292094.428539,6.12385e-06,292094.428539,4595.83,0.969585,0.304186,0.01,487.86,0.1,1.3611,4531.38434649,94.283921593,4531.38434649
4639.08160546,0.00505269,100.608,0.0110799,100,1,3238.67,99.6491624874,0.00616613,100,1.00352,25784.323172,5.10604e-07,25784.323172,4645.07,0.994762,0.613383,0.01,498.3,0.1,1.10219,4639.08160546,99.4970522815,4639.08160546
4600.56346144,0.0180061,167.941,0.0125978,100,1,3208.34,98.9200594468,0.00450144,100,1.01092,82170.6011745,1.87701e-06,82170.6011745,4619.9,0.979438,0.440888,0.01,495.11,0.1,1.23387,4600.56346144,98.1756498056,4600.56346144
4637.49012062,0.00289231,124.418,0.010705,100,1,3236.49,99.6721916086,0.00730801,100,1.00329,28203.1483998,2.84485e-07,28203.1483998,4642.46,1.00831,0.736871,0.01,498.31,0.1,1.07939,4637.49012062,99.7191212338,4637.49012062
4575.57114753,0.034352,181.163,0.012763,100,1,3199.01,97.9879353214,0.00297131,100,1.02053,197199.920874,3.63063e-06,197199.920874,4617.31,0.972715,0.289024,0.01,491.95,0.1,1.24147,4575.57114753,96.5303798801,4575.57114753
4555.25806982,0.0255639,281.586,0.0123791,100,1,3170.62,97.9208502481,0.00510496,100,1.02123,195765.676693,2.5599e-06,195765.676693,4589.34,0.999315,0.510147,0.01,489.97,0.1,1.23706,4555.25806982,97.5283163889,4555.25806982
4606.2393479,0.0118041,206.032,0.0121269,100,1,3211.32,99.0407743794,0.00627818,100,1.00969,96736.4621008,1.20729e-06,96736.4621008,4622.04,0.988805,0.620789,0.01,495.34,0.1,1.19911,4606.2393479,98.8188998188,4606.2393479
4638.18642769,0.00181205,112.866,0.0107779,100,1,3235.61,99.8403598372,0.0085038,100,1.0016,17224.0794744,1.8037e-07,17224.0794744,4640.54,1.00231,0.852346,0.01,498.37,0.1,1.08028,4638.18642769,99.8217649004,4638.18642769
4615.63041333,0.0111235,173.912,0.0117733,100,1,3220.78,99.1419664899,0.00556322,100,1.00865,93648.4110205,1.14801e-06,93648.4110205,4630.68,0.984347,0.547614,0.01,496.27,0.1,1.1589,4615.63041333,98.8762361754,4615.63041333
4625.97904828,0.00728559,129.137,0.0112378,100,1,3230.73,99.3199421362,0.00459906,100,1.00685,63680.219124,7.20348e-07,63680.219124,4639.38,1.00568,0.46252,0.01,496.94,0.1,1.13017,4625.97904828,99.2919128691,4625.97904828
4536.37285649,0.0599688,230.115,0.0154934,100,1,3177.41,96.9089688942,0.00222387,100,1.0319,278255.903925,6.11963e-06,278255.903925,4603.27,0.989919,0.220145,0.01,487.63,0.1,1.53372,4536.37285649,94.2876358241,4536.37285649
4618.57677621,0.00856724,151.252,0.011386,100,1,3220.14,99.3938810841,0.0069536,100,1.0061,45086.1927108,8.60552e-07,45086.1927108,4628.3,0.997773,0.693812,0.01,496.63,0.1,1.13606,4618.57677621,99.1552759866,4618.57677621
4594.17289371,0.0207888,210.754,0.012078,100,1,3208.01,98.2895829147,0.00492133,100,1.0174,160324.624475,2.12322e-06,160324.624475,4624.06,0.989502,0.486966,0.01,493.25,0.1,1.19512,4594.17289371,97.941287033,4594.17289371
4647.927358,0.00193758,60.7028,0.0107392,100,1,3244.83,99.8943492572,0.00776921,100,1.00106,5634.09073742,1.98167e-07,5634.09073742,4649.55,0.988812,0.768229,0.01,499.28,0.1,1.0619,4647.927358,99.8042353975,4647.927358
4647.62554934,0.00180315,78.3684,0.0107466,100,1,3245.17,99.8752245482,0.00836848,100,1.00125,8631.10044903,1.81177e-07,8631.10044903,4649.49,0.997618,0.834855,0.01,499.16,0.1,1.0721,4647.62554934,99.8209425963,4647.62554934
4630.27643474,0.00654998,125.074,0.0111229,100,1,3230.68,99.4978262226,0.00675288,100,1.00505,31972.6654608,6.5666e-07,31972.6654608,4638.17,0.998734,0.674433,0.01,497.58,0.1,1.11089,4630.27643474,99.3541075726,4630.27643474
4622.53868388,0.00765599,143.952,0.0114392,100,1,3225.88,99.2458430505,0.00532798,100,1.0076,56127.9423647,7.54778e-07,56127.9423647,4635.19,1.00714,0.536604,0.01,496.51,0.1,1.1521,4622.53868388,99.2583493592,4622.53868388
4634.94491837,0.0057852,114.187,0.0114326,100,1,3234.3,99.6160050465,0.00736263,100,1.00385,23407.9219929,5.77235e-07,23407.9219929,4640.84,1.00111,0.737082,0.01,498.15,0.1,1.14453,4634.94491837,99.4317675979,4634.94491837
4655.08069139,0.000442622,30.4966,0.010438,100,1,3251.37,99.9708499075,0.00927658,100,1.00029,1006.68633955,4.41453e-08,1006.68633955,4655.48,1.00132,0.928884,0.01,499.84,0.1,1.04518,4655.08069139,99.9562832624,4655.08069139
4627.00720414,0.00947033,134.908,0.0120975,100,1,3229.59,99.3607520547,0.00551174,100,1.00643,56701.8155602,9.54549e-07,56701.8155602,4638.09,0.996055,0.549,0.01,497.46,0.1,1.20497,4627.00720414,99.0638341399,4627.00720414
4641.4600811,0.00213144,95.5202,0.0108526,100,1,3239.03,99.8107564353,0.00831392,100,1.0019,12995.5922959,2.10849e-07,12995.5922959,4644.25,1.00543,0.835904,0.01,498.52,0.1,1.09115,4641.4600811,99.7916995087,4641.4600811
4660.07284398,0.000800297,17.7811,0.0102725,100,1,3256.43,99.9772957863,0.00775727,100,1.00023,364.692910371,8.03548e-08,364.692910371,4660.44,0.997975,0.774156,0.01,500.0,0.1,1.02517,4660.07284398,99.9205368814,4660.07284398
4658.93831088,0.000178714,20.6002,0.0102104,100,1,3255.05,99.9866622597,0.00917145,100,1.00013,462.519415038,1.78831e-08,462.519415038,4659.14,0.999672,0.916844,0.01,500.0,0.1,1.02071,4658.93831088,99.9823230556,4658.93831088
4662.33274565,7.08287e-05,13.4696,0.0101666,100,1,3258.64,99.9946716287,0.00969929,100,1.00005,184.676781696,7.07982e-09,184.676781696,4662.4,1.00021,0.970137,0.01,500.0,0.1,1.01688,4662.33274565,99.9930209683,4662.33274565
4656.73639221,0.000200475,30.9352,0.0102829,100,1,3253.04,99.980501163,0.00924275,100,1.0002,1087.3665703,1.9993e-08,1087.3665703,4657.02,1.00136,0.925534,0.01,499.85,0.1,1.02969,4656.73639221,99.9802163356,4656.73639221
4636.56175563,0.00814978,138.337,0.0114677,100,1,3237.9,99.4900732399,0.00639741,100,1.00513,46136.444309,8.20167e-07,46136.444309,4645.21,0.996831,0.637714,0.01,497.82,0.1,1.14313,4636.56175563,99.194583498,4636.56175563
4658.17902967,0.000324167,22.9766,0.0103079,100,1,3254.39,99.9787137529,0.00935994,100,1.00021,573.081680144,3.24234e-08,573.081680144,4658.47,0.999897,0.935897,0.01,500.0,0.1,1.03068,4658.17902967,99.9678961226,4658.17902967
4660.43814153,0.000103359,15.3577,0.0101656,100,1,3256.6,99.9941948446,0.00956043,100,1.00006,244.030529025,1.03405e-08,244.030529025,4660.53,0.999777,0.95583,0.01,500.0,0.1,1.01634,4660.43814153,99.9897560426,4660.43814153
4649.29775865,0.00120239,76.9489,0.0107464,100,1,3246.36,99.900642507,0.00841059,100,1.00099,8190.08987799,1.19563e-07,8190.08987799,4650.78,1.00282,0.843432,0.01,499.07,0.1,1.07768,4649.29775865,99.8817599043,4649.29775865
4654.98511187,0.000585923,33.522,0.0102427,100,1,3251.45,99.963368488,0.00886643,100,1.00037,1351.69289338,5.87384e-08,1351.69289338,4655.55,0.998755,0.885539,0.01,499.82,0.1,1.02299,4654.98511187,99.9418932838,4654.98511187
4658.89517581,8.85061e-05,17.4288,0.0102042,100,1,3255.1,99.9939922128,0.00980517,100,1.00006,311.450322298,8.85812e-09,311.450322298,4658.98,0.999576,0.980101,0.01,500.0,0.1,1.01999,4658.89517581,99.9912459449,4658.89517581
4618.14024264,0.0124515,159.638,0.0112934,100,1,3231.47,98.7825823179,0.00378792,100,1.01232,175025.124348,1.20517e-06,175025.124348,4644.09,1.01645,0.385024,0.01,495.52,0.1,1.14792,4618.14024264,98.8209379059,4618.14024264
4653.38858249,0.000724192,29.1734,0.0104599,100,1,3249.83,99.9569958689,0.00906503,100,1.00043,948.64863359,7.29467e-08,948.64863359,4654.05,0.996377,0.903219,0.01,500.0,0.1,1.0422,4653.38858249,99.9278170268,4653.38858249
4654.68974885,0.00232491,72.8554,0.0106857,100,1,3251.94,99.8751294187,0.00800381,100,1.00125,8220.30809071,2.36461e-07,8220.30809071,4656.59,0.99157,0.793634,0.01,499.08,0.1,1.05956,4654.68974885,99.7664199547,4654.68974885
4662.56102854,0.000111902,14.7013,0.0101881,100,1,3258.67,99.9929790658,0.00931242,100,1.00007,226.593970714,1.11729e-08,226.593970714,4662.65,1.00077,0.931961,0.01,500.0,0.1,1.0196,4662.56102854,99.9889468333,4662.56102854
4634.28441065,0.00933196,91.7484,0.011249,100,1,3237.11,99.4560192732,0.00447887,100,1.00547,31714.4908665,9.59039e-07,31714.4908665,4644.9,0.986435,0.441811,0.01,497.74,0.1,1.10964,4634.28441065,99.0594580603,4634.28441065
4653.60766353,0.00138104,57.5425,0.010646,100,1,3250.39,99.9004402541,0.00845071,100,1.001,4346.1943713,1.3835e-07,4346.1943713,4655.08,0.999113,0.844321,0.01,499.45,0.1,1.06366,4653.60766353,99.8632429893,4653.60766353
4660.63941429,0.000209164,20.8728,0.0104123,100,1,3256.8,99.9862689755,0.00949086,100,1.00014,463.107056372,2.09471e-08,463.107056372,4660.83,0.999266,0.948389,0.01,500.0,0.1,1.04047,4660.63941429,99.979300921,4660.63941429
4639.13879285,0.0123115,119.776,0.0113788,100,1,3242.71,99.3167436983,0.00500611,100,1.00688,56525.8747516,1.26631e-06,56525.8747516,4651.52,0.986019,0.493612,0.01,497.56,0.1,1.12197,4639.13879285,98.7618977142,4639.13879285
4662.70635933,0.000154,16.026,0.0101527,100,1,3259.01,99.9907025399,0.00932859,100,1.00009,273.506236447,1.54113e-08,273.506236447,4662.84,0.999632,0.932515,0.01,499.94,0.1,1.01489,4662.70635933,99.9847525954,4662.70635933
4655.5106629,0.00273398,39.6784,0.0106895,100,1,3252.84,99.8575216917,0.00634195,100,1.00143,3550.40080413,2.7486e-07,3550.40080413,4657.82,0.997337,0.632506,0.01,499.44,0.1,1.0661,4655.5106629,99.7286463634,4655.5106629
4659.42252661,0.000122927,19.7121,0.0102757,100,1,3255.57,99.989868237,0.0096666,100,1.0001,401.640883591,1.23027e-08,401.640883591,4659.56,0.999593,0.966266,0.01,500.0,0.1,1.02715,4659.42252661,99.9878272721,4659.42252661
4652.12332765,0.00146034,81.6302,0.0107463,100,1,3249.4,99.8685183624,0.00802801,100,1.00132,10191.4272405,1.46356e-07,10191.4272405,4654.19,0.998898,0.801916,0.01,498.97,0.1,1.07345,4652.12332765,99.8553213076,4652.12332765
4660.8752122,0.000407982,22.1656,0.0103425,100,1,3257.07,99.976962153,0.00878559,100,1.00023,554.216065429,4.07637e-08,554.216065429,4661.21,1.00042,0.878931,0.01,500.0,0.1,1.03468,4660.8752122,99.9596393266,4660.8752122
4656.15887008,0.000840554,66.3585,0.0104541,100,1,3252.78,99.9198364616,0.00846649,100,1.0008,6104.62542029,8.40834e-08,6104.62542029,4657.33,0.999833,0.846508,0.01,499.22,0.1,1.04523,4656.15887008,99.9167861301,4656.15887008
4659.13306768,0.000554963,24.1722,0.0103261,100,1,3255.49,99.966989927,0.00860975,100,1.00033,717.364640355,5.58469e-08,717.364640355,4659.61,0.996857,0.858269,0.01,500.0,0.1,1.02937,4659.13306768,99.9447649922,4659.13306768
4662.14171743,0.000107162,16.6258,0.0101307,100,1,3258.25,99.9930982585,0.00943411,100,1.00007,294.946988359,1.07277e-08,294.946988359,4662.26,0.999463,0.942904,0.01,500.0,0.1,1.01252,4662.14171743,99.9893750256,4662.14171743
4645.84031245,0.00734812,75.1612,0.0108414,100,1,3246.86,99.5569987188,0.00499818,100,1.00445,20628.7084642,7.34309e-07,20628.7084642,4653.87,1.00034,0.499989,0.01,498.53,0.1,1.08451,4645.84031245,99.2782649347,4645.84031245
4659.10886568,0.000590624,28.8359,0.0104373,100,1,3255.54,99.960199944,0.00833013,100,1.0004,1089.96112182,5.90123e-08,1089.96112182,4659.72,1.00042,0.833367,0.01,499.87,0.1,1.04417,4659.10886568,99.9415940025,4659.10886568
4660.59509817,0.000142211,18.4687,0.0101844,100,1,3256.76,99.9888909285,0.0094248,100,1.00011,364.294217647,1.42502e-08,364.294217647,4660.75,0.998976,0.941514,0.01,500.0,0.1,1.0174,4660.59509817,99.9859146458,4660.59509817
4655.279439,0.000863004,51.7027,0.010442,100,1,3251.94,99.9314539926,0.00842511,100,1.00069,3716.75270118,8.59297e-08,3716.75270118,4656.35,1.00215,0.844326,0.01,499.52,0.1,1.04645,4655.279439,99.9149866894,4655.279439
4659.63104456,0.00120118,35.7817,0.0104452,100,1,3256.23,99.9321444637,0.00765783,100,1.00068,1990.31880953,1.19933e-07,1990.31880953,4660.64,1.00077,0.766374,0.01,499.6,0.1,1.04533,4659.63104456,99.8814112645,4659.63104456
4665.19852321,6.92826e-05,13.6801,0.0101358,100,1,3261.39,99.9947908254,0.00960748,100,1.00005,196.539890019,6.9226e-09,196.539890019,4665.27,1.00041,0.961141,0.01,500.0,0.1,1.01399,4665.19852321,99.9931328902,4665.19852321
4662.10981351,0.000229935,16.345,0.0102162,100,1,3258.47,99.9877229506,0.00917856,100,1.00012,285.205089147,2.30696e-08,285.205089147,4662.29,0.998349,0.916341,0.01,500.0,0.1,1.01993,4662.10981351,99.9771581275,4662.10981351
4662.00386699,7.45553e-05,14.7389,0.0102246,100,1,3258.1,99.9945166734,0.00977625,100,1.00005,222.732134837,7.44844e-09,222.732134837,4662.09,1.00048,0.978089,0.01,500.0,0.1,1.02295,4662.00386699,99.9925919778,4662.00386699
4656.41839591,0.00138047,44.8478,0.0105659,100,1,3253.48,99.8963596799,0.00732655,100,1.00104,3568.23840598,1.38119e-07,3568.23840598,4658.05,0.999741,0.732465,0.01,499.39,0.1,1.05631,4656.41839591,99.8634544737,4656.41839591
4660.98220399,0.000143806,18.4855,0.0101794,100,1,3257.17,99.9896179489,0.0094551,100,1.0001,362.83976479,1.442e-08,362.83976479,4661.14,0.998633,0.944217,0.01,500.0,0.1,1.01655,4660.98220399,99.985699753,4660.98220399
4665.60398612,3.411e-05,11.8326,0.0101605,100,1,3261.66,99.9971152184,0.00970622,100,1.00003,143.453821601,3.41194e-09,143.453821601,4665.65,0.999862,0.970488,0.01,500.0,0.1,1.01591,4665.60398612,99.9966426873,4665.60398612
4658.01389035,0.000373524,21.9901,0.0103071,100,1,3254.17,99.9789282387,0.00920856,100,1.00021,521.701331276,3.76864e-08,521.701331276,4658.32,0.995559,0.916766,0.01,500.0,0.1,1.02613,4658.01389035,99.9626933601,4658.01389035
4661.87072227,6.42342e-05,14.3409,0.0101207,100,1,3257.94,99.9953510538,0.0097621,100,1.00005,210.233020385,6.43311e-09,210.233020385,4661.94,0.999246,0.975475,0.01,500.0,0.1,1.01131,4661.87072227,99.9936096854,4661.87072227
4662.01180181,0.000164282,17.2462,0.0102742,100,1,3258.08,99.9915249378,0.00951567,100,1.00008,309.92756991,1.64594e-08,309.92756991,4662.14,0.999051,0.950664,0.01,500.0,0.1,1.02645,4662.01180181,99.9837321258,4662.01180181
4664.17686326,6.59397e-05,14.7577,0.0102061,100,1,3260.24,99.9960185683,0.0096876,100,1.00004,225.881422708,6.59252e-09,225.881422708,4664.24,1.00011,0.968867,0.01,500.0,0.1,1.02072,4664.17686326,99.9935236717,4664.17686326
4659.21964978,0.000262561,23.3339,0.0103651,100,1,3255.42,99.9814544745,0.00913609,100,1.00019,603.971392377,2.63265e-08,603.971392377,4659.48,0.998662,0.912386,0.01,500.0,0.1,1.03512,4659.21964978,99.973938717,4659.21964978
4662.70741207,0.000109917,15.3146,0.0101713,100,1,3259.11,99.9930863392,0.0094987,100,1.00007,240.483137943,1.0993e-08,240.483137943,4662.8,0.999944,0.949817,0.01,500.0,0.1,1.01707,4662.70741207,99.9891283896,4662.70741207
4662.95050609,9.96997e-05,14.837,0.0101479,100,1,3259.05,99.9928479542,0.00959082,100,1.00007,231.073542868,9.98022e-09,231.073542868,4663.05,0.999487,0.95859,0.01,500.0,0.1,1.01427,4662.95050609,99.9901079606,4662.95050609
4664.40522653,8.81121e-05,14.7081,0.0101783,100,1,3260.49,99.9927883581,0.00972115,100,1.00007,224.77039617,8.80693e-09,224.77039617,4664.5,1.00024,0.972351,0.01,500.0,0.1,1.01808,4664.40522653,99.9912555964,4664.40522653
4659.63493688,0.000350105,18.1754,0.0103002,100,1,3255.84,99.9820145536,0.00928384,100,1.00018,349.045228358,3.50802e-08,349.045228358,4659.88,0.999007,0.927462,0.01,500.0,0.1,1.02899,4659.63493688,99.9653142252,4659.63493688
4658.96802899,0.000436346,36.5484,0.0103778,100,1,3255.4,99.9636424693,0.00899754,100,1.00036,1616.72255282,4.36346e-08,1616.72255282,4659.5,1.0,0.899754,0.01,499.84,0.1,1.03778,4658.96802899,99.9568354008,4658.96802899
