ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
500.0,2,0.005,100,0.005,304.279,913.551516721,941.936,,1.0,77410.6709706,913.551516721,913.551516721,0.6,1.0,98.93,500,1.0,0.005,1.0,2.1793e-19,77410.6709706,834.337,200.000000102
500.0,2,0.00333333,100,0.00333333,293.466,925.650565338,936.507,,1.0,73756.1417162,925.650565338,925.650565338,0.6,1.0,100.26,500,1.0,0.00333333,1.0,5.43914e-20,73756.1417162,848.653,299.999969474
500.0,2,0.0025,100,0.0025,285.275,912.012654805,930.384,,1.0,67384.6114571,912.012654805,912.012654805,0.6,1.0,98.79,500,1.0,0.0025,1.0,5.4346e-20,67384.6114571,854.3,400.0
22.4099175922,1,0.72623,100,4.76281e-13,3631.72,956.665267238,1642.8,2373.14,22.3116,81400.8570158,956.665267238,956.665267238,0.6,7.13923e-10,103.61,500,1088.58,0.002,2.99791,0.0010562,81400.8570158,1321.36,1.89020096958
500.0,2,0.01,100,0.01,316.318,1137.17938662,1137.18,,1.0,101067.808794,1137.17938662,1137.17938662,0.6,1.0,123.49,500,1.0,0.01,1.0,3.50449e-18,101067.808794,955.736,100.0
500.0,2,0.005,100,0.005,324.47,1094.63813662,1115.91,,1.0,110706.090188,1094.63813662,1094.63813662,0.6,1.0,118.8,500,1.0,0.005,1.0,2.1793e-19,110706.090188,985.647,200.000000102
500.0,2,0.00333333,100,0.00333333,312.97,1048.86556289,1093.56,,1.0,81104.6789198,1048.86556289,1048.86556289,0.6,1.0,113.56,500,1.0,0.00333333,1.0,5.43914e-20,81104.6789198,987.203,299.999969474
500.0,2,0.0025,100,0.0025,304.923,1033.49223723,1078.54,,1.0,76117.039602,1033.49223723,1033.49223723,0.6,1.0,112.09,500,1.0,0.0025,1.0,5.4346e-20,76117.039602,986.435,400.0
18.845284901,1,0.747504,100,1.94421e-15,4005.42,1097.09871279,1985.16,2393.57,26.5318,93570.7757269,1097.09871279,1097.09871279,0.6,2.8433e-12,118.92,500,1093.18,0.002,2.92488,0.00111915,93570.7757269,1560.8,1.78425868385
500.0,2,0.01,100,0.01,370.428,1276.15524421,1276.16,,1.0,138602.649745,1276.15524421,1276.15524421,0.6,1.0,138.32,500,1.0,0.01,1.0,3.50449e-18,138602.649745,1048.85,100.0
500.0,2,0.005,100,0.005,341.424,1222.5630609,1249.36,,1.0,95442.9249941,1222.5630609,1222.5630609,0.6,1.0,132.53,500,1.0,0.005,1.0,2.1793e-19,95442.9249941,1088.63,200.000000102
500.0,2,0.00333333,100,0.00333333,331.877,1226.34278273,1241.69,,1.0,97911.4418682,1226.34278273,1226.34278273,0.6,1.0,133.12,500,1.0,0.00333333,1.0,5.43914e-20,97911.4418682,1110.45,299.999969474
500.0,2,0.0025,100,0.0025,329.444,1227.68057429,1238.19,,1.0,104606.527869,1227.68057429,1227.68057429,0.6,1.0,133.37,500,1.0,0.0025,1.0,5.4346e-20,104606.527869,1124.53,400.0
25.7563440266,1,0.399588,100,5.32348e-12,2963.4,1204.94671609,1852.02,395.459,19.4127,105323.9879,1204.94671609,1204.94671609,0.6,5.33622e-09,130.91,500,400.545,0.002,2.00479,0.000393573,105323.9879,1404.14,5.04050450558
500.0,2,0.01,100,0.01,311.283,1343.19464638,1343.19,,1.0,97875.5534309,1343.19464638,1343.19464638,0.6,1.0,145.7,500,1.0,0.01,1.0,3.50449e-18,97875.5534309,1167.66,100.0
500.0,2,0.005,100,0.005,328.386,1378.30265315,1360.75,,1.0,119355.782924,1378.30265315,1378.30265315,0.6,1.0,149.6,500,1.0,0.005,1.0,2.1793e-19,119355.782924,1226.44,200.000000102
500.0,2,0.00333333,100,0.00333333,339.595,1349.33579078,1356.94,,1.0,131527.234465,1349.33579078,1349.33579078,0.6,1.0,146.45,500,1.0,0.00333333,1.0,5.43914e-20,131527.234465,1234.37,299.999969474
500.0,2,0.0025,100,0.0025,331.543,1368.8397644,1359.92,,1.0,94548.2841893,1368.8397644,1368.8397644,0.6,1.0,148.56,500,1.0,0.0025,1.0,5.4346e-20,94548.2841893,1253.77,400.0
63.5666380148,1,0.465298,100,1.17498e-09,1828.58,1380.46287188,1703.18,455.054,7.86576,118671.268641,1380.46287188,1380.46287188,0.6,1.19433e-06,149.59,500,472.96,0.002,2.03293,0.00044043,118671.268641,1436.9,4.50908587392
500.0,2,0.01,100,0.01,344.439,1406.23140352,1406.23,,1.0,119836.605658,1406.23140352,1406.23140352,0.6,1.0,152.76,500,1.0,0.01,1.0,3.50449e-18,119836.605658,1178.42,100.0
500.0,2,0.005,100,0.005,351.758,1457.23467606,1431.73,,1.0,128816.323269,1457.23467606,1457.23467606,0.6,1.0,158.28,500,1.0,0.005,1.0,2.1793e-19,128816.323269,1270.65,200.000000102
500.0,2,0.00333333,100,0.00333333,337.776,1463.5225974,1442.33,,1.0,95088.145777,1463.5225974,1463.5225974,0.6,1.0,159.0,500,1.0,0.00333333,1.0,5.43914e-20,95088.145777,1310.8,299.999969474
500.0,2,0.0025,100,0.0025,337.97,1381.79894515,1427.2,,1.0,112998.643503,1381.79894515,1381.79894515,0.6,1.0,150.21,500,1.0,0.0025,1.0,5.4346e-20,112998.643503,1313.29,400.0
48.8680719208,1,0.175075,100,8.84099e-10,2309.06,1402.88478586,1869.74,59.48,10.2316,163645.459891,1402.88478586,1402.88478586,0.6,5.72381e-07,152.85,500,113.346,0.002,1.29483,0.000141907,163645.459891,1543.86,13.734111549
