IterType,EpsThisIter,VarNormIw,BatchSize,AvgEpLen,eRenyi2,J,AvgNormIw,Delta,AvgDiscRet,Bound,MinVanillaIw,VanillaAvgRet,VarJ,ESSClassic,MaxNormIw,VarVanillaIw,MaxVanillaIw,VarDiscRet,AvgVanillaIw,VarRet,AvgRet,MinNormIw,ESSRenyi
2,100,5.434597e-20,500,348.43,1.0,3474.142,0.0024999997,0.95,3477.614832236084,3416.788,1.0,3477.614832236084,1531.0637,400.0,0.0025,,1.0,2320627.466165806,1.0,2320627.466165806,3477.614832236084,0.0025,500.0
1,100,5.4926015e-05,500,352.23,14.210941,4942.312,0.0019999999,0.95,3515.2586814536826,4748.928,1.2618806e-26,3515.2586814536826,399.47488,34.00425802482917,0.07427251,17.025337,41.35109,2214715.239089893,1.1134964,2214715.239089893,3515.2586814536826,2.2665194e-29,35.18415768017345
2,100,3.5044917e-18,500,491.6,1.0,4915.114,0.009999998,0.95,4915.113373300026,4800.406,1.0,4915.113373300026,519.7795,100.0,0.01,,1.0,272899.79477454536,1.0,272899.79477454536,4915.113373300026,0.01,500.0
2,100,2.179301e-19,500,487.92,1.0,4896.6846,0.0049999994,0.95,4878.256000002525,4815.5737,1.0,4878.256000002525,557.35114,200.00000010221265,0.005,,1.0,353970.3150572769,1.0,353970.3150572769,4878.256000002525,0.005,500.0
2,100,5.4391416e-20,500,485.41,1.0,4882.032,0.0033333336,0.95,4852.72612378882,4815.8057,1.0,4852.72612378882,573.0443,299.999969473632,0.0033333334,,1.0,366232.6659050656,1.0,366232.6659050656,4852.72612378882,0.0033333334,500.0
2,100,5.434597e-20,500,491.35,1.0,4889.6465,0.0024999997,0.95,4912.48994492848,4832.2925,1.0,4912.48994492848,560.7473,400.0,0.0025,,1.0,274661.9408908059,1.0,274661.9408908059,4912.48994492848,0.0025,500.0
1,100,2.602679e-06,500,490.07,1.638162,4992.3667,0.002,0.95,4899.27430361351,4926.709,0.00010088325,4899.27430361351,40.470825,303.14635379549065,0.006161462,0.6593567,3.101228,249778.83628824068,1.0066533,249778.83628824068,4899.27430361351,2.0043296e-07,305.2201155022315
2,100,3.5044917e-18,500,494.06,1.0,4939.9814,0.009999998,0.95,4939.981280362964,4825.2734,1.0,4939.981280362964,502.02512,100.0,0.01,,1.0,254574.98069314487,1.0,254574.98069314487,4939.981280362964,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4969.8213,0.0049999994,0.95,4999.661791810102,4888.7104,1.0,4999.661791810102,356.23752,200.00000010221265,0.005,,1.0,0.1881082708992271,1.0,0.1881082708992271,4999.661791810102,0.005,500.0
2,100,5.4391416e-20,500,499.38,1.0,4977.6523,0.0033333336,0.95,4993.313147999213,4911.426,1.0,4993.313147999213,293.32004,299.999969473632,0.0033333334,,1.0,3971.4037388815564,1.0,3971.4037388815564,4993.313147999213,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4983.152,0.0024999997,0.95,4999.65263782439,4925.798,1.0,4999.65263782439,254.20131,400.0,0.0025,,1.0,0.28986227687916827,1.0,0.28986227687916827,4999.65263782439,0.0025,500.0
1,100,4.3144965e-07,500,500.0,1.111456,4996.652,0.002,0.95,4999.704315742794,4942.57,0.018346546,4999.704315742794,42.335815,451.4074536431124,0.003077146,0.11151036,1.5643742,0.08392822283611384,1.0167696,0.08392822283611384,4999.704315742794,3.6087913e-05,449.8603485424948
2,100,3.5044917e-18,500,500.0,1.0,4999.646,0.009999998,0.95,4999.646304832831,4884.938,1.0,4999.646304832831,0.38596553,100.0,0.01,,1.0,0.1504739132746352,1.0,0.1504739132746352,4999.646304832831,0.01,500.0
2,100,2.179301e-19,500,495.01,1.0,4974.6367,0.0049999994,0.95,4949.628229023639,4893.526,1.0,4949.628229023639,352.64285,200.00000010221265,0.005,,1.0,249962.60895121342,1.0,249962.60895121342,4949.628229023639,0.005,500.0
2,100,5.4391416e-20,500,495.99,1.0,4969.543,0.0033333336,0.95,4959.354869384492,4903.3164,1.0,4959.354869384492,352.4326,299.999969473632,0.0033333334,,1.0,125006.4241223693,1.0,125006.4241223693,4959.354869384492,0.0033333334,500.0
2,100,5.434597e-20,500,493.98,1.0,4961.9863,0.0024999997,0.95,4939.315705548087,4904.6323,1.0,4939.315705548087,397.0217,400.0,0.0025,,1.0,259791.41464172263,1.0,259791.41464172263,4939.315705548087,0.0025,500.0
1,100,9.666011e-07,500,499.46,1.2495205,4996.2783,0.002,0.95,4994.167139808988,4938.9355,0.00068933005,4994.167139808988,45.46754,402.846664858016,0.0039202143,0.24814941,1.9862905,3027.831261379943,1.0133581,3027.831261379943,4994.167139808988,1.3604865e-06,400.1534859963109
2,100,3.5044917e-18,500,500.0,1.0,4999.636,0.009999998,0.95,4999.636184150388,4884.928,1.0,4999.636184150388,0.35152617,100.0,0.01,,1.0,0.12480626278013299,1.0,0.12480626278013299,4999.636184150388,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4999.6426,0.0049999994,0.95,4999.650229066178,4918.5317,1.0,4999.650229066178,0.34651637,200.00000010221265,0.005,,1.0,0.1176678926441138,1.0,0.1176678926441138,4999.650229066178,0.005,500.0
2,100,5.4391416e-20,500,495.01,1.0,4982.991,0.0033333336,0.95,4949.6887544777965,4916.7646,1.0,4949.6887544777965,288.17407,299.999969473632,0.0033333334,,1.0,249968.65851816995,1.0,249968.65851816995,4949.6887544777965,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4987.1675,0.0024999997,0.95,4999.696143950699,4929.8135,1.0,4999.696143950699,249.6709,400.0,0.0025,,1.0,0.14237424308317842,1.0,0.14237424308317842,4999.696143950699,0.0025,500.0
1,100,2.9667353e-07,500,500.0,1.0806062,4993.824,0.0019999999,0.95,4999.646765185028,4940.498,0.1418932,4999.646765185028,130.1488,465.5407385371681,0.0040294393,0.073918074,2.011317,0.16102104284509414,0.99831116,0.16102104284509414,4999.646765185028,0.00028426645,462.70323985728504
2,100,3.5044917e-18,500,496.19,1.0,4961.474,0.009999998,0.95,4961.473931377887,4846.766,1.0,4961.473931377887,380.12735,100.0,0.01,,1.0,145956.350849235,1.0,145956.350849235,4961.473931377887,0.01,500.0
2,100,2.179301e-19,500,495.01,1.0,4955.576,0.0049999994,0.95,4949.678827428991,4874.4653,1.0,4949.678827428991,442.73825,200.00000010221265,0.005,,1.0,249967.67527918553,1.0,249967.67527918553,4949.678827428991,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4970.264,0.0033333336,0.95,4999.638264477841,4904.0376,1.0,4999.638264477841,362.0906,299.999969473632,0.0033333334,,1.0,0.16573004727467255,1.0,0.16573004727467255,4999.638264477841,0.0033333334,500.0
2,100,5.434597e-20,500,498.23,1.0,4973.161,0.0024999997,0.95,4981.856142600902,4915.807,1.0,4981.856142600902,325.90616,400.0,0.0025,,1.0,31747.20632877365,1.0,31747.20632877365,4981.856142600902,0.0025,500.0
1,100,5.9710965e-07,500,499.3,1.1406448,4997.366,0.002,0.95,4992.573721915035,4942.5786,0.03654887,4992.573721915035,33.71572,435.16904848888584,0.0034264328,0.14842528,1.7083195,5076.695815634045,0.9971417,5076.695815634045,4992.573721915035,7.3307274e-05,438.34855945943855
2,100,3.5044917e-18,500,495.02,1.0,4949.782,0.009999998,0.95,4949.782022327616,4835.074,1.0,4949.782022327616,496.46893,100.0,0.01,,1.0,248971.11373445622,1.0,248971.11373445622,4949.782022327616,0.01,500.0
2,100,2.179301e-19,500,495.01,1.0,4949.7085,0.0049999994,0.95,4949.6353532215635,4868.5977,1.0,4949.6353532215635,496.96332,200.00000010221265,0.005,,1.0,249963.28949427194,1.0,249963.28949427194,4949.6353532215635,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4966.355,0.0033333336,0.95,4999.646972434738,4900.1284,1.0,4999.646972434738,406.45123,299.999969473632,0.0033333334,,1.0,0.11708268031185337,1.0,0.11708268031185337,4999.646972434738,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4974.6904,0.0024999997,0.95,4999.697857234325,4917.3364,1.0,4999.697857234325,352.2931,400.0,0.0025,,1.0,0.11927038155523297,1.0,0.11927038155523297,4999.697857234325,0.0025,500.0
1,100,1.7899738e-06,500,495.01,1.4308996,4989.9604,0.0019999999,0.95,4949.719279585093,4928.5967,0.0051640524,4949.719279585093,128.11356,345.63841915431846,0.005707473,0.42834094,2.7919993,249971.7247545214,0.9783662,249971.7247545214,4949.719279585093,1.0556481e-05,349.43052118525173
2,100,3.5044917e-18,500,495.01,1.0,4949.654,0.009999998,0.95,4949.6536931746305,4834.946,1.0,4949.6536931746305,497.45908,100.0,0.01,,1.0,249965.19614365118,1.0,249965.19614365118,4949.6536931746305,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4974.6494,0.0049999994,0.95,4999.646006462096,4893.5386,1.0,4999.646006462096,352.64383,200.00000010221265,0.005,,1.0,0.1429480557766814,1.0,0.1429480557766814,4999.646006462096,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4982.9873,0.0033333336,0.95,4999.661687551224,4916.7607,1.0,4999.661687551224,288.17386,299.999969473632,0.0033333334,,1.0,0.17496163465152825,1.0,0.17496163465152825,4999.661687551224,0.0033333334,500.0
2,100,5.434597e-20,500,495.01,1.0,4974.659,0.0024999997,0.95,4949.675279454192,4917.305,1.0,4949.675279454192,352.64444,400.0,0.0025,,1.0,249967.34587880762,1.0,249967.34587880762,4949.675279454192,0.0025,500.0
1,100,3.4759796e-07,500,500.0,1.0894599,4985.7935,0.002,0.95,4999.679771350976,4932.249,0.67290634,4999.679771350976,218.97499,460.0976702728651,0.006309143,0.08623349,3.1424599,0.07728342496650847,0.9961606,0.07728342496650847,4999.679771350976,0.0013509997,458.9430063424521
2,100,3.5044917e-18,500,497.87,1.0,4978.2246,0.009999998,0.95,4978.22477873165,4863.5166,1.0,4978.22477873165,213.08687,100.0,0.01,,1.0,45864.66372161429,1.0,45864.66372161429,4978.22477873165,0.01,500.0
2,100,2.179301e-19,500,490.02,1.0,4938.9346,0.0049999994,0.95,4899.643926752718,4857.8237,1.0,4899.643926752718,518.85565,200.00000010221265,0.005,,1.0,494877.67119864223,1.0,494877.67119864223,4899.643926752718,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4959.18,0.0033333336,0.95,4999.670938463715,4892.9536,1.0,4999.670938463715,424.61035,299.999969473632,0.0033333334,,1.0,0.11061563310806442,1.0,0.11061563310806442,4999.670938463715,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4969.3105,0.0024999997,0.95,4999.703612324173,4911.9565,1.0,4999.703612324173,368.1418,400.0,0.0025,,1.0,0.09557766043402774,1.0,0.09557766043402774,4999.703612324173,0.0025,500.0
1,100,9.741058e-07,500,495.01,1.2409772,4983.321,0.002,0.95,4949.687095169977,4926.1743,0.00067844783,4949.687095169977,249.41936,402.2398790339776,0.007136317,0.24125846,3.5515044,249968.49877852894,0.9953326,249968.49877852894,4949.687095169977,1.3632585e-06,402.90829908845
2,100,3.5044917e-18,500,500.0,1.0,4999.664,0.009999998,0.95,4999.663913817396,4884.956,1.0,4999.663913817396,0.32616445,100.0,0.01,,1.0,0.10745515244205948,1.0,0.10745515244205948,4999.663913817396,0.01,500.0
2,100,2.179301e-19,500,495.01,1.0,4974.676,0.0049999994,0.95,4949.68746988279,4893.565,1.0,4949.68746988279,352.6456,200.00000010221265,0.005,,1.0,249968.59639191662,1.0,249968.59639191662,4949.68746988279,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4983.0083,0.0033333336,0.95,4999.6726918175955,4916.7817,1.0,4999.6726918175955,288.175,299.999969473632,0.0033333334,,1.0,0.10818320556615794,1.0,0.10818320556615794,4999.6726918175955,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4987.1543,0.0024999997,0.95,4999.591629172234,4929.8003,1.0,4999.591629172234,249.67029,400.0,0.0025,,1.0,0.26084624672127416,1.0,0.26084624672127416,4999.591629172234,0.0025,500.0
1,100,4.3622174e-07,500,500.0,1.1116444,4996.622,0.002,0.95,4999.662981511573,4942.535,0.034652546,4999.662981511573,68.15496,450.92274106058926,0.0034498188,0.11202884,1.7482661,0.10783968811991174,1.0135409,0.10783968811991174,4999.662981511573,6.837918e-05,449.7841267737384
2,100,3.5044917e-18,500,500.0,1.0,4999.662,0.009999998,0.95,4999.661909021455,4884.954,1.0,4999.661909021455,0.3466239,100.0,0.01,,1.0,0.12137016850145878,1.0,0.12137016850145878,4999.661909021455,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4999.6543,0.0049999994,0.95,4999.646634688625,4918.5435,1.0,4999.646634688625,0.37312302,200.00000010221265,0.005,,1.0,0.15976819786938118,1.0,0.15976819786938118,4999.646634688625,0.005,500.0
2,100,5.4391416e-20,500,490.02,1.0,4966.3203,0.0033333336,0.95,4899.652533475932,4900.0938,1.0,4899.652533475932,406.85696,299.999969473632,0.0033333334,,1.0,494879.4095436689,1.0,494879.4095436689,4899.652533475932,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4974.6562,0.0024999997,0.95,4999.664474937545,4917.3022,1.0,4999.664474937545,352.6442,400.0,0.0025,,1.0,0.12332255015831461,1.0,0.12332255015831461,4999.664474937545,0.0025,500.0
1,100,1.1613548e-06,500,500.0,1.2815257,4992.399,0.002,0.95,4999.661648153137,4934.326,0.008447185,4999.661648153137,115.15726,387.6696688487312,0.0049454174,0.29376337,2.4872494,0.126388629328935,1.0058805,0.126388629328935,4999.661648153137,1.6795604e-05,390.1599381668296
2,100,3.5044917e-18,500,500.0,1.0,4999.6323,0.009999998,0.95,4999.632579752794,4884.9243,1.0,4999.632579752794,0.4005634,100.0,0.01,,1.0,0.1620826482096897,1.0,0.1620826482096897,4999.632579752794,0.01,500.0
2,100,2.179301e-19,500,490.02,1.0,4949.649,0.0049999994,0.95,4899.665931071455,4868.538,1.0,4899.665931071455,497.4586,200.00000010221265,0.005,,1.0,494882.104865334,1.0,494882.104865334,4899.665931071455,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4966.296,0.0033333336,0.95,4999.589301624862,4900.0693,1.0,4999.589301624862,406.85498,299.999969473632,0.0033333334,,1.0,0.16534412336457832,1.0,0.16534412336457832,4999.589301624862,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4974.629,0.0024999997,0.95,4999.625337036513,4917.275,1.0,4999.625337036513,352.64227,400.0,0.0025,,1.0,0.15648021122202035,1.0,0.15648021122202035,4999.625337036513,0.0025,500.0
1,100,5.0927207e-07,500,500.0,1.1170778,4985.8584,0.002,0.95,4999.622687462898,4931.6396,0.2494855,4999.622687462898,221.59209,443.6308468586344,0.0057113986,0.1286331,2.8704097,0.14706390771390918,1.0051513,0.14706390771390918,4999.622687462898,0.00049641385,447.59638738847184
2,100,3.5044917e-18,500,495.01,1.0,4949.602,0.009999998,0.95,4949.601879197728,4834.894,1.0,4949.601879197728,497.45383,100.0,0.01,,1.0,249959.9528810929,1.0,249959.9528810929,4949.601879197728,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4974.6074,0.0049999994,0.95,4999.613678534763,4893.4966,1.0,4999.613678534763,352.64084,200.00000010221265,0.005,,1.0,0.18355823013782174,1.0,0.18355823013782174,4999.613678534763,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4982.953,0.0033333336,0.95,4999.643966924067,4916.7266,1.0,4999.643966924067,288.17188,299.999969473632,0.0033333334,,1.0,0.12476955574308113,1.0,0.12476955574308113,4999.643966924067,0.0033333334,500.0
2,100,5.434597e-20,500,495.01,1.0,4974.6357,0.0024999997,0.95,4949.685404189175,4917.2817,1.0,4949.685404189175,352.64273,400.0,0.0025,,1.0,249968.34281630506,1.0,249968.34281630506,4949.685404189175,0.0025,500.0
1,100,9.374158e-07,500,500.0,1.240464,4991.866,0.002,0.95,4999.609787514098,4934.7314,0.0094206855,4999.609787514098,126.57843,405.2240635001184,0.004200362,0.23121205,2.0860553,0.16105947672363455,0.99327403,0.16105947672363455,4999.609787514098,1.8968954e-05,403.07498746368117
2,100,3.5044917e-18,500,495.01,1.0,4949.6313,0.009999998,0.95,4949.631635721979,4834.9233,1.0,4949.631635721979,497.45685,100.0,0.01,,1.0,249962.93480275356,1.0,249962.93480275356,4949.631635721979,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4974.6445,0.0049999994,0.95,4999.657261861005,4893.5337,1.0,4999.657261861005,352.64337,200.00000010221265,0.005,,1.0,0.126711471834227,1.0,0.126711471834227,4999.657261861005,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4982.963,0.0033333336,0.95,4999.600633803595,4916.7363,1.0,4999.600633803595,288.1725,299.999969473632,0.0033333334,,1.0,0.1856364225737111,1.0,0.1856364225737111,4999.600633803595,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4987.131,0.0024999997,0.95,4999.632912677858,4929.777,1.0,4999.632912677858,249.66914,400.0,0.0025,,1.0,0.16969162080448713,1.0,0.16969162080448713,4999.632912677858,0.0025,500.0
1,100,2.3547736e-07,500,500.0,1.0667877,4993.4067,0.0019999999,0.95,4999.657535373519,4940.4224,0.29041386,4999.657535373519,139.49318,472.25434171088153,0.004096529,0.059355717,2.0567086,0.12645318099658168,1.0041226,0.12645318099658168,4999.657535373519,0.00057844305,468.6968088910503
2,100,3.5044917e-18,500,500.0,1.0,4999.6343,0.009999998,0.95,4999.634232541822,4884.9263,1.0,4999.634232541822,0.3612346,100.0,0.01,,1.0,0.1318162934107406,1.0,0.1318162934107406,4999.634232541822,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4999.648,0.0049999994,0.95,4999.661585411685,4918.537,1.0,4999.661585411685,0.34923813,200.00000010221265,0.005,,1.0,0.11419617574523075,1.0,0.11419617574523075,4999.661585411685,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4999.6357,0.0033333336,0.95,4999.609382264879,4933.409,1.0,4999.609382264879,0.358928,299.999969473632,0.0033333334,,1.0,0.14300178574203104,1.0,0.14300178574203104,4999.609382264879,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4999.6367,0.0024999997,0.95,4999.641729795612,4942.2827,1.0,4999.641729795612,0.34764707,400.0,0.0025,,1.0,0.0978936143948382,1.0,0.0978936143948382,4999.641729795612,0.0025,500.0
1,100,5.431875e-20,500,500.0,1.0,4999.629,0.0020000003,0.95,4999.593527005018,4948.33,1.0,4999.593527005018,0.35645655,500.00000664260017,0.002,,1.0,0.15188786586167452,1.0,0.15188786586167452,4999.593527005018,0.002,500.0
2,100,3.5044917e-18,500,495.02,1.0,4949.7153,0.009999998,0.95,4949.7152480725335,4835.0073,1.0,4949.7152480725335,496.46213,100.0,0.01,,1.0,248964.32951265213,1.0,248964.32951265213,4949.7152480725335,0.01,500.0
2,100,2.179301e-19,500,495.02,1.0,4949.726,0.0049999994,0.95,4949.737037882454,4868.615,1.0,4949.737037882454,496.46323,200.00000010221265,0.005,,1.0,248966.48774787845,1.0,248966.48774787845,4949.737037882454,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4966.3687,0.0033333336,0.95,4999.654494028381,4900.142,1.0,4999.654494028381,406.04337,299.999969473632,0.0033333334,,1.0,0.10406488543982918,1.0,0.10406488543982918,4999.654494028381,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4974.673,0.0024999997,0.95,4999.582900903473,4917.319,1.0,4999.582900903473,351.9378,400.0,0.0025,,1.0,0.16953940688450922,1.0,0.16953940688450922,4999.582900903473,0.0025,500.0
1,100,6.837336e-07,500,500.0,1.1778438,4996.2397,0.002,0.95,4999.617553147063,4940.566,0.04019165,4999.617553147063,63.745457,427.13443213827674,0.0035397243,0.17594709,1.7956306,0.2069074286894555,1.0145596,0.2069074286894555,4999.617553147063,7.922975e-05,424.5045023161854
2,100,3.5044917e-18,500,495.01,1.0,4949.6455,0.009999998,0.95,4949.645867165994,4834.9375,1.0,4949.645867165994,497.45825,100.0,0.01,,1.0,249964.36957348618,1.0,249964.36957348618,4949.645867165994,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4974.677,0.0049999994,0.95,4999.707980086526,4893.566,1.0,4999.707980086526,352.6457,200.00000010221265,0.005,,1.0,0.10960001709720554,1.0,0.10960001709720554,4999.707980086526,0.005,500.0
2,100,5.4391416e-20,500,500.0,1.0,4982.9805,0.0033333336,0.95,4999.587112462821,4916.754,1.0,4999.587112462821,288.17334,299.999969473632,0.0033333334,,1.0,0.12735355205916762,1.0,0.12735355205916762,4999.587112462821,0.0033333334,500.0
2,100,5.434597e-20,500,500.0,1.0,4987.1387,0.0024999997,0.95,4999.613503481227,4929.7847,1.0,4999.613503481227,249.66946,400.0,0.0025,,1.0,0.16621330400818807,1.0,0.16621330400818807,4999.613503481227,0.0025,500.0
1,100,4.1241327e-07,500,500.0,1.09416,4994.7026,0.002,0.95,4999.5967922306845,4941.043,0.12934394,4999.5967922306845,109.7301,453.3514456342785,0.0041747144,0.10308953,2.0872176,0.16320202972893225,0.9999331,0.16320202972893225,4999.5967922306845,0.0002587052,456.971574484182
2,100,3.5044917e-18,500,494.54,1.0,4944.8315,0.009999998,0.95,4944.831391310566,4830.1235,1.0,4944.831391310566,499.29218,100.0,0.01,,1.0,251810.80598028676,1.0,251810.80598028676,4944.831391310566,0.01,500.0
2,100,2.179301e-19,500,500.0,1.0,4972.2036,0.0049999994,0.95,4999.576101910728,4891.093,1.0,4999.576101910728,354.11246,200.00000010221265,0.005,,1.0,0.16864301310697527,1.0,0.16864301310697527,4999.576101910728,0.005,500.0
