VarRet,J,AvgNormIw,AvgRet,MaxNormIw,AvgVanillaIw,MaxVanillaIw,VarNormIw,BatchSize,VarDiscRet,ESSRenyi,ESSClassic,AvgDiscRet,MinNormIw,MinVanillaIw,Bound,VarVanillaIw,AvgEpLen,VarJ,eRenyi2
40159.026194086546,852.15234,0.009999998,1927.353254864905,0.01,1.0,1.0,3.5044917e-18,100,1781.2407784708719,inf,100.0,852.1523667027119,0.01,1.0,852.15234,,192.96,41.9932,
35062.186612598896,854.972,0.009999998,1944.6322836183942,0.01,1.0,1.0,3.5044917e-18,100,1795.9827219583844,inf,100.0,854.9719733620415,0.01,1.0,854.972,,194.63,42.166607,
19308.13685837171,858.313,0.009999998,1956.2460619966687,0.01,1.0,1.0,3.5044917e-18,100,701.580445751265,inf,100.0,858.3129917795461,0.01,1.0,858.313,,195.81,26.354593,
31398.075238974383,855.80994,0.009999998,1946.9029816963523,0.01,1.0,1.0,3.5044917e-18,100,1354.9734314444536,inf,100.0,855.809951590672,0.01,1.0,855.80994,,194.83,36.62545,
16086.426784229343,859.9659,0.009999998,1966.2428524705767,0.01,1.0,1.0,3.5044917e-18,100,620.2840832536524,inf,100.0,859.9659303205652,0.01,1.0,859.9659,,196.79,24.780657,
44749.947817884284,853.14435,0.009999998,1940.2388186098262,0.01,1.0,1.0,3.5044917e-18,100,2746.551090606946,inf,100.0,853.144355037747,0.01,1.0,853.14435,,194.19,52.14485,
48493.43136512152,850.32446,0.009999998,1920.447671593353,0.01,1.0,1.0,3.5044917e-18,100,2218.6230866836736,inf,100.0,850.3244480848412,0.01,1.0,850.32446,,192.24,46.866158,
29748.29411278801,857.0561,0.009999998,1955.8429976385273,0.01,1.0,1.0,3.5044917e-18,100,1543.0587433124633,inf,100.0,857.0560954967874,0.01,1.0,857.0561,,195.76,39.084885,
26917.757518740967,856.0147,0.009999998,1945.1585738869942,0.01,1.0,1.0,3.5044917e-18,100,1087.8453571206094,inf,100.0,856.0147034572742,0.01,1.0,856.0147,,194.69,32.817177,
11167.634338975788,861.15564,0.009999998,1971.4169272593222,0.01,1.0,1.0,3.5044917e-18,100,371.44927211777025,inf,100.0,861.1556661273571,0.01,1.0,861.15564,,197.3,19.176413,
27165.13244540174,857.00214,0.009999998,1953.3283861097134,0.01,1.0,1.0,3.5044917e-18,100,1321.8078896405232,inf,100.0,857.0021746221507,0.01,1.0,857.00214,,195.5,36.174435,
17706.862809606977,859.4436,0.009999998,1963.647011489626,0.01,1.0,1.0,3.5044917e-18,100,714.6278625799978,inf,100.0,859.4435715273222,0.01,1.0,859.4436,,196.53,26.598526,
35716.648183888596,854.99396,0.009999998,1944.555135329701,0.01,1.0,1.0,3.5044917e-18,100,1663.495085415069,inf,100.0,854.9939573917718,0.01,1.0,854.99396,,194.61,40.581528,
19137.99610043207,859.6619,0.009999998,1966.4535495009459,0.01,1.0,1.0,3.5044917e-18,100,835.4582024416077,inf,100.0,859.6618941747458,0.01,1.0,859.6619,,196.78,28.759407,
41371.52753708172,852.41034,0.009999998,1931.1065885738842,0.01,1.0,1.0,3.5044917e-18,100,2134.1060179532,inf,100.0,852.4104026081063,0.01,1.0,852.41034,,193.34,45.964825,
64196.69182373878,848.756,0.009999998,1925.364314469695,0.01,1.0,1.0,3.5044917e-18,100,4401.38730487004,inf,100.0,848.7559664482158,0.01,1.0,848.756,,192.71,66.01041,
19026.052029734514,858.69336,0.009999998,1959.1304443427734,0.01,1.0,1.0,3.5044917e-18,100,758.135902698098,inf,100.0,858.6933952611995,0.01,1.0,858.69336,,196.1,27.396248,
16350.787458185088,859.0748,0.009999998,1959.9159705810994,0.01,1.0,1.0,3.5044917e-18,100,602.7772243581358,inf,100.0,859.0748175501011,0.01,1.0,859.0748,,196.19,24.428457,
50471.98401738878,851.0679,0.009999998,1928.9499986962787,0.01,1.0,1.0,3.5044917e-18,100,2877.8164018869284,inf,100.0,851.0679068505005,0.01,1.0,851.0679,,193.05,53.376385,
38302.82895953647,853.86444,0.009999998,1938.1094059111365,0.01,1.0,1.0,3.5044917e-18,100,1709.2578610695648,inf,100.0,853.8644326805172,0.01,1.0,853.86444,,194.02,41.135937,
16743.39153310529,859.4464,0.009999998,1962.7251885419712,0.01,1.0,1.0,3.5044917e-18,100,599.1475454285296,inf,100.0,859.4464160364307,0.01,1.0,859.4464,,196.43,24.354797,
38737.78097636166,854.2542,0.009999998,1941.1326909449324,0.01,1.0,1.0,3.5044917e-18,100,1736.3518430280922,inf,100.0,854.2543393563959,0.01,1.0,854.2542,,194.28,41.460682,
