VanillaAvgRet,MinNormIw,IterType,VarJ,VarRet,Delta,Bound,VarVanillaIw,AvgDiscRet,ESSRenyi,AvgNormIw,EpsThisIter,MaxVanillaIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,eRenyi2,J,AvgRet,VarNormIw,BatchSize,AvgEpLen,ESSClassic
4067.66476245,0.005,2,1115.45,1185562.74072,0.2,3363.35,,4067.66476245,500.0,0.005,100,1.0,1185562.74072,1.0,1.0,0.005,1.0,4025.06,4067.66476245,2.1793e-19,500,439.8,200.000000102
3947.45326463,0.00333333,2,1118.03,1270183.04175,0.2,3458.9,,3947.45326463,500.0,0.00333333,100,1.0,1270183.04175,1.0,1.0,0.00333333,1.0,3999.19,3947.45326463,5.43914e-20,500,426.56,299.999969474
4027.48400413,0.0025,2,1109.18,1182431.98896,0.2,3538.34,,4027.48400413,500.0,0.0025,100,1.0,1182431.98896,1.0,1.0,0.0025,1.0,4006.27,4027.48400413,5.4346e-20,500,435.49,400.0
3925.24542972,4.82161e-06,1,539.386,1264041.11603,0.2,3861.04,0.944813,3925.24542972,270.172322536,0.002,100,6.4753,1264041.11603,1.00944,0.00243355,0.0128295,1.85067,4430.48,3925.24542972,3.70893e-06,500,424.71,259.689181637
4449.14010043,0.01,2,635.195,407548.716432,0.2,3513.2,,4449.14010043,500.0,0.01,100,1.0,407548.716432,1.0,1.0,0.01,1.0,4449.14,4449.14010043,3.50449e-18,500,479.45,100.0
4481.36385294,0.005,2,613.315,351836.068997,0.2,3803.44,,4481.36385294,500.0,0.005,100,1.0,351836.068997,1.0,1.0,0.005,1.0,4465.25,4481.36385294,2.1793e-19,500,482.7,200.000000102
4481.39009757,0.00333333,2,590.65,297088.140109,0.2,3930.26,,4481.39009757,500.0,0.00333333,100,1.0,297088.140109,1.0,1.0,0.00333333,1.0,4470.63,4481.39009757,5.43914e-20,500,483.56,299.999969474
4433.12668194,0.0025,2,601.228,402269.518005,0.2,3993.28,,4433.12668194,500.0,0.0025,100,1.0,402269.518005,1.0,1.0,0.0025,1.0,4461.26,4433.12668194,5.4346e-20,500,478.2,400.0
4393.79602292,0.000160201,1,296.178,495569.928827,0.2,4100.96,0.21775,4393.79602292,411.758191961,0.002,100,2.40512,495569.928827,1.03794,0.0831391,0.00463443,1.2143,4562.2,4393.79602292,8.08495e-07,500,474.42,416.070154435
4550.34513296,0.01,2,386.069,150554.8747,0.2,3614.43,,4550.34513296,500.0,0.01,100,1.0,150554.8747,1.0,1.0,0.01,1.0,4550.35,4550.34513296,3.50449e-18,500,490.24,100.0
