VarVanillaIw,VarJ,eRenyi2,MaxVanillaIw,ESSClassic,MinVanillaIw,J,VarNormIw,BatchSize,ESSRenyi,MaxNormIw,AvgEpLen,AvgDiscRet,VarDiscRet,Bound,AvgNormIw,AvgVanillaIw,AvgRet,MinNormIw,VarRet
6.8395223e-09,0.11280773,1.0,1.000108,100.00001907362002,0.99967676,4999.903,6.839107e-13,100,100.0,0.010001149,500.0,4999.902193357041,0.012852207001476641,4579.0923,0.01,0.99999315,4999.902193357041,0.009996836,0.012852207001476641
6.3393304e-07,0.090772234,1.0000005,1.0013744,99.99995041185954,0.9974337,4999.9146,6.3385575e-11,100,99.99995231630692,0.010013157,500.0,4999.914148453067,0.008332136857389203,4579.104,0.009999999,1.0000587,4999.914148453067,0.009973753,0.008332136857389203
,0.08170043,1.0,1.0,100.0,1.0,4999.917,3.5044917e-18,100,100.0,0.01,500.0,4999.91677200342,0.006743268363878771,4579.1064,0.009999998,1.0,4999.91677200342,0.01,0.006743268363878771
0.015407455,37.108997,1.0138155,1.1204697,98.49049608269014,0.26193017,4996.2,1.5480964e-06,100,98.63727454438538,0.0112313945,498.6,4985.801210096257,19878.940263784534,4572.4927,0.010000002,0.9976229,4985.801210096257,0.002625543,19878.940263784534
1.9872378e-07,0.08430048,1.0000001,1.0009255,99.9999885557983,0.9984253,4999.911,1.9873039e-11,100,99.99998807907247,0.010009352,500.0,4999.9108098461475,0.007188694415223536,4579.1006,0.009999999,0.9999903,4999.9108098461475,0.00998435,0.007188694415223536
1.351891e-08,0.10975173,1.0,1.0001469,99.99999618524348,0.99925995,4999.9077,1.3519149e-12,100,100.0,0.010001624,500.0,4999.90730281962,0.01217505148547889,4579.097,0.01,0.99998444,4999.90730281962,0.009992755,0.01217505148547889
0.031136077,67.5176,1.0258858,1.2481954,96.98523765283787,0.26488504,4993.1924,3.139881e-06,100,97.4767347521205,0.012534506,497.48,4974.6019117725955,64106.459971707896,4566.97,0.01,0.9958074,4974.6019117725955,0.0026600026,64106.459971707896
1.8229268e-07,0.08470857,1.0000001,1.0009774,99.99997711008446,0.9985165,4999.9263,1.8232141e-11,100,99.99998807907247,0.010010533,500.0,4999.925539350207,0.00725242626744761,4579.1157,0.01,0.9999242,4999.925539350207,0.009985922,0.00725242626744761
2.8986992e-08,0.0988316,1.0,1.0002469,100.00001144429186,0.9993855,4999.915,2.8987307e-12,100,100.0,0.010002643,500.0,4999.914408087422,0.009869308072677314,4579.1045,0.009999999,0.9999826,4999.914408087422,0.009994029,0.009869308072677314
,0.08110973,1.0,1.0,100.0,1.0,4999.9253,3.5044917e-18,100,100.0,0.01,500.0,4999.925156063818,0.006641807804647086,4579.1147,0.009999998,1.0,4999.925156063818,0.01,0.006641807804647086
0.03810671,70.26285,1.0316056,1.2519332,96.30546486809435,0.20913652,4992.9043,3.875013e-06,100,96.93627087032363,0.012624583,496.69,4966.683524864659,110316.3043598394,4565.4956,0.01,0.991663,4966.683524864659,0.0021089476,110316.3043598394
9.685269e-07,0.06361249,1.0000007,1.0036378,99.99992371197686,0.9980144,4999.937,9.683721e-11,100,99.99992847447743,0.010035604,500.0,4999.93613527006,0.004086803907793582,4579.1265,0.01,1.000077,4999.93613527006,0.009979375,0.004086803907793582
7.234725e-07,0.09616211,1.0000005,1.0019932,99.99994277963106,0.9979354,4999.906,7.2348016e-11,100,99.99995231630692,0.010019921,500.0,4999.905264229467,0.009357829803865632,4579.095,0.01,1.0000012,4999.905264229467,0.009979343,0.009357829803865632
9.342999e-09,0.07582297,1.0,1.0003911,99.99999237077878,0.99983466,4999.937,9.342014e-13,100,100.0,0.010003685,500.0,4999.936732446263,0.0058099915539672805,4579.1265,0.010000002,1.0000226,4999.936732446263,0.00999812,0.0058099915539672805
,0.08240074,1.0,1.0,100.0,1.0,4999.923,3.5044917e-18,100,100.0,0.01,500.0,4999.922655323946,0.006860488434175637,4579.1123,0.009999998,1.0,4999.922655323946,0.01,0.006860488434175637
3.3353736e-11,0.06728816,1.0,1.000017,100.00000381469766,0.9999872,4999.9253,3.3317554e-15,100,100.0,0.010000171,500.0,4999.924833520799,0.004574588399162731,4579.1147,0.01,0.99999994,4999.924833520799,0.009999872,0.004574588399162731
,0.076373465,1.0,1.0,100.0,1.0,4999.924,3.5044917e-18,100,100.0,0.01,500.0,4999.923653309519,0.0058922042911103865,4579.1133,0.009999998,1.0,4999.923653309519,0.01,0.0058922042911103865
,0.08948659,1.0,1.0,100.0,1.0,4999.926,3.5044917e-18,100,100.0,0.01,500.0,4999.925853066503,0.008088788904757735,4579.115,0.009999998,1.0,4999.925853066503,0.01,0.008088788904757735
,0.08570501,1.0,1.0,100.0,1.0,4999.9067,3.5044917e-18,100,100.0,0.01,500.0,4999.907123718493,0.007418668315976704,4579.096,0.009999998,1.0,4999.907123718493,0.01,0.007418668315976704
,0.07441062,1.0,1.0,100.0,1.0,4999.9214,3.5044917e-18,100,100.0,0.01,500.0,4999.921515224313,0.005590003834759583,4579.111,0.009999998,1.0,4999.921515224313,0.01,0.005590003834759583
1.2945571e-06,0.066897504,1.0000027,1.0038275,99.99985889588105,0.9979822,4999.93,1.2938287e-10,100,99.99972581938579,0.010035463,500.0,4999.929323320718,0.004526065958351158,4579.119,0.010000002,1.0002801,4999.929323320718,0.009977027,0.004526065958351158
,0.07133346,1.0,1.0,100.0,1.0,4999.9263,3.5044917e-18,100,100.0,0.01,500.0,4999.926177760619,0.005140610210945542,4579.1157,0.009999998,1.0,4999.926177760619,0.01,0.005140610210945542
1.3763608e-07,0.091445975,1.0,1.0005296,100.0,0.9981036,4999.914,1.376451e-11,100,100.0,0.01000564,500.0,4999.913586537932,0.008451650268478515,4579.1035,0.01,0.99996567,4999.913586537932,0.009981379,0.008451650268478515
1.8638204e-08,0.09118125,1.0000019,1.0003011,99.99999237056632,0.9996225,4999.92,1.8637249e-12,100,99.99980926550052,0.010003063,500.0,4999.919082620952,0.00840063929879313,4579.109,0.010000002,0.9999948,4999.919082620952,0.009996277,0.00840063929879313
,0.07060813,1.0,1.0,100.0,1.0,4999.9194,3.5044917e-18,100,100.0,0.01,500.0,4999.919307464781,0.0050369342640366275,4579.109,0.009999998,1.0,4999.919307464781,0.01,0.0050369342640366275
2.196895e-07,0.0748951,1.0000002,1.0009202,99.99998855620429,0.9984301,4999.9116,2.1967992e-11,100,99.99997615814777,0.010008943,500.0,4999.911127955762,0.005667181210475508,4579.101,0.01,1.0000257,4999.911127955762,0.009984043,0.005667181210475508
2.1269436e-06,0.13369754,1.000001,1.0013869,99.99977492592608,0.9916672,4999.907,2.1270809e-10,100,99.99990463265931,0.010014194,500.0,4999.906881694149,0.018226490631333563,4579.0967,0.01,0.9999675,4999.906881694149,0.009916995,0.018226490631333563
0.040443238,326.91458,1.0396118,1.4428678,96.04444299898802,0.31169522,4967.2007,4.160057e-06,100,96.18974931016263,0.014633669,495.01,4949.933474009125,249993.28549459012,4538.1367,0.01,0.98599184,4949.933474009125,0.0031612352,249993.28549459012
9.0422844e-07,0.1163245,1.0000004,1.0009435,99.99989700393704,0.9951031,4999.9185,9.042245e-11,100,99.99996423722592,0.010009369,500.0,4999.917905704032,0.01373582596901381,4579.108,0.010000002,1.0000067,4999.917905704032,0.009950965,0.01373582596901381
,0.08014181,1.0,1.0,100.0,1.0,4999.916,3.5044917e-18,100,100.0,0.01,500.0,4999.916021774618,0.00648752600107394,4579.1055,0.009999998,1.0,4999.916021774618,0.01,0.00648752600107394
1.4741421e-07,0.06809159,1.0000001,1.0008402,100.0,0.99920195,4999.9194,1.4740433e-11,100,99.99998807907247,0.010008028,500.0,4999.9190265642055,0.004683633593183497,4579.109,0.01,1.0000374,4999.9190265642055,0.009991646,0.004683633593183497
1.0179175e-06,0.078520514,1.0000007,1.0015901,99.99989318076291,0.99709374,4999.918,1.01806105e-10,100,99.99992847447743,0.010016632,500.0,4999.917445264334,0.006236276796336366,4579.1074,0.01,0.999927,4999.917445264334,0.009971665,0.006236276796336366
1.2802774e-06,0.073849685,1.0000004,1.0043153,99.99989701148009,0.99543184,4999.9316,1.28008e-10,100,99.99996423722592,0.010042351,500.0,4999.931263255026,0.005517908594844893,4579.121,0.009999999,1.0000799,4999.931263255026,0.009953523,0.005517908594844893
1.9648641e-07,0.074802935,1.0000001,1.0008501,99.9999580381544,0.998443,4999.915,1.9648755e-11,100,99.99998807907247,0.010008546,500.0,4999.914712413579,0.0056581567672530095,4579.1045,0.010000002,0.99999547,4999.914712413579,0.009984475,0.0056581567672530095
4.896788e-07,0.087572664,1.0000004,1.001857,99.99996566722005,0.99806947,4999.925,4.8969745e-11,100,99.99996423722592,0.01001872,500.0,4999.923957175981,0.007759785960091659,4579.1143,0.01,0.99998504,4999.923957175981,0.009980844,0.007759785960091659
,0.084596984,1.0,1.0,100.0,1.0,4999.9175,3.5044917e-18,100,100.0,0.01,500.0,4999.917687987459,0.0072309222887461545,4579.107,0.009999998,1.0,4999.917687987459,0.01,0.0072309222887461545
,0.06700725,1.0,1.0,100.0,1.0,4999.936,3.5044917e-18,100,100.0,0.01,500.0,4999.935894995401,0.004533607815470762,4579.1255,0.009999998,1.0,4999.935894995401,0.01,0.004533607815470762
1.4058318e-06,0.10234116,1.000001,1.0015364,99.99985120068031,0.99679095,4999.912,1.40632e-10,100,99.99990463265931,0.010017133,500.0,4999.911990986937,0.010605610928373085,4579.1016,0.01,0.99982333,4999.911990986937,0.009969671,0.010605610928373085
,0.083566725,1.0,1.0,100.0,1.0,4999.925,3.5044917e-18,100,100.0,0.01,500.0,4999.924636641383,0.007056722582632101,4579.1143,0.009999998,1.0,4999.924636641383,0.01,0.007056722582632101
