J,MinNormIw,VarDiscRet,MaxNormIw,VarJ,AvgEpLen,BatchSize,ESSRenyi,MaxVanillaIw,delta,Bound,ESSClassic,EpsThisIter,MinVanillaIw,AvgNormIw,AvgRet,IterType,AvgDiscRet,VanillaAvgRet,VarNormIw,VarVanillaIw,VarRet,AvgVanillaIw,renyi2,SamplesThisIter
-10691.0,3.21478e-09,527.510801007,7.33588e-05,228.262,92.2509225092,100,,7.62995,0.7,-69.4926,5.314604801,542,0.000334365,1.02501e-05,-63.150175479,1,-63.150175479,-63.150175479,3.33127e-11,0.360369,527.510801007,1.0661,inf,50000
-10544.9,7.1604e-19,2544.09570385,9.7902e-05,334.906,101.419878296,100,nan,10.0348,0.7,-68.5814,5.43576074617,493,7.33931e-14,1.12689e-05,-70.0823061176,1,-70.0823061176,-70.0823061176,1.107e-10,1.16301,2544.09570385,1.15504,nan,50000
-10680.0,4.31474e-08,475.539855681,6.69758e-05,207.999,91.5750915751,100,,6.81447,0.7,-69.5534,4.72254363056,546,0.00439004,1.0175e-05,-62.4947071435,1,-62.4947071435,-62.4947071435,2.46651e-11,0.255335,475.539855681,1.03526,inf,50000
-10251.8,7.61429e-24,4318.78713471,0.000103838,432.284,102.880658436,100,nan,10.1714,0.7,-66.232,4.07914610102,486,7.45857e-19,1.14312e-05,-72.087047139,1,-72.087047139,-72.087047139,1.14428e-10,1.09796,4318.78713471,1.11974,nan,50000
-10705.0,1.78858e-08,173.407632191,4.78381e-05,132.916,90.5797101449,100,,4.86427,0.7,-67.701,4.90446649798,552,0.00181866,1.00644e-05,-61.9356418115,1,-61.9356418115,-61.9356418115,2.93596e-11,0.303556,173.407632191,1.02337,inf,50000
-10219.5,1.24826e-15,344.870813532,9.84905e-05,229.304,88.809946714,100,,10.6925,0.7,-65.6477,4.70860632948,563,1.35516e-10,9.86777e-06,-61.0729476368,1,-61.0729476368,-61.0729476368,4.27442e-11,0.50379,344.870813532,1.07128,inf,50000
-10269.5,3.86366e-41,2909.14377251,0.000123128,492.809,100.806451613,100,nan,11.9819,0.7,-66.9018,4.13297206355,496,3.75987e-36,1.12007e-05,-69.9287520449,1,-69.9287520449,-69.9287520449,1.18077e-10,1.11816,2909.14377251,1.08997,nan,50000
-10771.4,2.66551e-08,302.867988746,4.4234e-05,166.088,92.2509225092,100,,4.34317,0.7,-69.9577,4.95976246059,542,0.00261717,1.02501e-05,-62.8197132461,1,-62.8197132461,-62.8197132461,2.42359e-11,0.233648,302.867988746,1.00642,inf,50000
-10659.7,8.45572e-08,261.950587337,5.53634e-05,160.746,90.9090909091,100,,5.61397,0.7,-68.472,4.61889488351,550,0.00857429,1.0101e-05,-61.7373085436,1,-61.7373085436,-61.7373085436,2.25294e-11,0.231656,261.950587337,1.02426,inf,50000
-10847.2,7.5143e-12,468.226035488,0.000127355,249.459,95.6022944551,100,nan,12.0529,0.7,-69.6299,4.63519323629,523,7.11155e-07,1.06225e-05,-65.2229325759,1,-65.2229325759,-65.2229325759,4.2816e-11,0.383493,468.226035488,1.00531,nan,50000
