BatchSize,VarDiscRet,J,VarVanillaIw,MaxVanillaIw,AvgDiscRet,AvgEpLen,IterType,eRenyi2,AvgVanillaIw,MinVanillaIw,MaxNormIw,VanillaAvgRet,VarRet,AvgRet,EpsThisIter,VarNormIw,MinNormIw,Delta,AvgNormIw,Bound,ESSRenyi,VarJ,ESSClassic
400,12411.4550425,249.342,,1.0,249.341897095,27.01,2,1.0,1.0,1.0,0.01,249.341897095,12411.4550425,249.341897095,100,3.50449e-18,0.01,0.6,0.01,198.694,400.0,110.848,100.0
400,17114.0199894,255.666,,1.0,261.989368145,28.37,2,1.0,1.0,1.0,0.005,261.989368145,17114.0199894,261.989368145,100,2.1793e-19,0.005,0.6,0.005,197.32,400.0,121.058,200.000000102
400,16682.9727285,255.401,,1.0,254.871624582,27.62,2,1.0,1.0,1.0,0.00333333,254.871624582,16682.9727285,254.871624582,100,5.43914e-20,0.00333333,0.6,0.00333333,203.001,400.0,123.594,299.999969474
500,36736.8445618,219.591,1.92851e+07,83041.4,233.152400735,15.8,,nan,439.434,0.00120881,0.472434,144.716081887,8176.66450389,144.716081887,100,0.000624185,6.8771e-09,0.6,0.0025,-inf,nan,313.027,3.97535465552
500,13699.1932364,354.156,3298.51,1280.28,164.514769521,17.94,1,10.1913,3.73177,2.51927e-08,0.686151,164.514769521,13699.1932364,164.514769521,100,0.000947433,1.35018e-11,0.6,0.002,270.023,49.0615489019,424.14,2.1062880979
500,17115.4864339,269.654,,1.0,269.653631884,29.19,2,1.0,1.0,1.0,0.01,269.653631884,17115.4864339,269.653631884,100,3.50449e-18,0.01,0.6,0.01,199.675,500.0,130.17,100.0
500,12516.8443978,267.733,,1.0,265.811529422,28.77,2,1.0,1.0,1.0,0.005,265.811529422,12516.8443978,265.811529422,100,2.1793e-19,0.005,0.6,0.005,218.25,500.0,121.127,200.000000102
500,15251.4440366,265.501,,1.0,261.037245719,28.26,2,1.0,1.0,1.0,0.00333333,261.037245719,15251.4440366,261.037245719,100,5.43914e-20,0.00333333,0.6,0.00333333,225.098,500.0,121.754,299.999969474
500,12073.8569345,261.966,,1.0,251.361236175,27.21,2,1.0,1.0,1.0,0.0025,251.361236175,12073.8569345,251.361236175,100,5.4346e-20,0.0025,0.6,0.0025,226.976,500.0,118.928,400.0
500,16074.2226376,728.155,5068.06,1589.48,253.519872733,27.44,1,55.4367,4.17284,1.07802e-11,0.761821,253.519872733,16074.2226376,253.519872733,100,0.00116423,5.16684e-15,0.6,0.002,495.142,9.0192892314,2205.01,1.71541699366
500,7723.84063683,313.842,,1.0,313.842000206,33.91,2,1.0,1.0,1.0,0.01,313.842000206,7723.84063683,313.842000206,100,3.50449e-18,0.01,0.6,0.01,259.895,500.0,87.4449,100.0
500,8031.23680447,314.145,,1.0,314.448193295,33.97,2,1.0,1.0,1.0,0.005,314.448193295,8031.23680447,314.448193295,100,2.1793e-19,0.005,0.6,0.005,273.852,500.0,88.3111,200.000000102
500,9188.10820411,316.237,,1.0,320.421016423,34.62,2,1.0,1.0,1.0,0.00333333,320.421016423,9188.10820411,320.421016423,100,5.43914e-20,0.00333333,0.6,0.00333333,283.338,500.0,90.7748,299.999969474
500,9982.207751,320.719,,1.0,334.165698504,36.1,2,1.0,1.0,1.0,0.0025,334.165698504,9982.207751,334.165698504,100,5.4346e-20,0.0025,0.6,0.0025,288.184,500.0,93.3323,400.0
500,8913.20285518,711.207,3022.44,1228.51,317.837194642,34.31,1,29.4269,3.17785,6.86813e-15,0.773171,317.837194642,8913.20285518,317.837194642,100,0.00119716,4.32251e-18,0.6,0.002,553.348,16.9912337746,1501.7,1.66838513229
500,19992.2360749,380.358,,1.0,380.358270124,41.03,2,1.0,1.0,1.0,0.01,380.358270124,19992.2360749,380.358270124,100,3.50449e-18,0.01,0.6,0.01,291.649,500.0,140.685,100.0
500,31886.2535742,392.764,,1.0,405.169157337,43.71,2,1.0,1.0,1.0,0.005,405.169157337,31886.2535742,405.169157337,100,2.1793e-19,0.005,0.6,0.005,313.582,500.0,160.729,200.000000102
500,25162.3103109,389.405,,1.0,382.688737571,41.31,2,1.0,1.0,1.0,0.00333333,382.688737571,25162.3103109,382.688737571,100,5.43914e-20,0.00333333,0.6,0.00333333,324.754,500.0,159.839,299.999969474
500,24259.5219728,391.483,,1.0,397.717121799,42.94,2,1.0,1.0,1.0,0.0025,397.717121799,24259.5219728,397.717121799,100,5.4346e-20,0.0025,0.6,0.0025,335.493,500.0,158.678,400.0
500,15936.7718043,1081.97,541.264,364.938,392.474027728,42.35,1,49.9529,2.24131,2.06623e-17,0.325647,392.474027728,15936.7718043,392.474027728,100,0.000430988,1.84377e-20,0.6,0.002,728.028,10.0094311886,2722.84,4.60695949331
500,102441.169723,685.201,,1.0,685.201115654,74.08,2,1.0,1.0,1.0,0.01,685.201115654,102441.169723,685.201115654,100,3.50449e-18,0.01,0.6,0.01,552.086,500.0,318.46,100.0
500,85298.0987578,658.204,,1.0,631.206729831,68.25,2,1.0,1.0,1.0,0.005,631.206729831,85298.0987578,631.206729831,100,2.1793e-19,0.005,0.6,0.005,564.077,500.0,306.039,200.000000102
500,99244.3128126,657.593,,1.0,656.369575585,70.94,2,1.0,1.0,1.0,0.00333333,656.369575585,99244.3128126,656.369575585,100,5.43914e-20,0.00333333,0.6,0.00333333,580.738,500.0,308.531,299.999969474
500,107400.356772,655.423,,1.0,648.914150266,70.02,2,1.0,1.0,1.0,0.0025,648.914150266,107400.356772,648.914150266,100,5.4346e-20,0.0025,0.6,0.0025,573.813,500.0,313.032,400.0
500,78108.0219399,1280.58,982.223,698.333,626.836540272,67.81,1,12.9422,2.46612,3.3279e-07,0.566342,626.836540272,78108.0219399,626.836540272,100,0.000646015,2.6989e-10,0.6,0.002,1017.98,38.6331723225,2294.32,3.08297987947
500,116195.542767,848.044,,1.0,848.043958432,91.74,2,1.0,1.0,1.0,0.01,848.043958432,116195.542767,848.043958432,100,3.50449e-18,0.01,0.6,0.01,702.091,500.0,339.166,100.0
500,96902.399504,854.734,,1.0,861.423941303,93.16,2,1.0,1.0,1.0,0.005,861.423941303,96902.399504,861.423941303,100,2.1793e-19,0.005,0.6,0.005,751.53,500.0,324.851,200.000000102
500,145332.060396,880.781,,1.0,932.873897588,101.13,2,1.0,1.0,1.0,0.00333333,932.873897588,145332.060396,932.873897588,100,5.43914e-20,0.00333333,0.6,0.00333333,789.182,500.0,345.932,299.999969474
500,128488.013006,890.649,,1.0,920.255632002,99.62,2,1.0,1.0,1.0,0.0025,920.255632002,128488.013006,920.255632002,100,5.4346e-20,0.0025,0.6,0.0025,800.961,500.0,349.062,400.0
500,181433.839552,2204.12,4284.81,1459.2,917.550634471,99.22,1,47.4351,3.85687,6.05155e-10,0.756674,917.550634471,181433.839552,917.550634471,100,0.00115218,3.13806e-13,0.6,0.002,1579.17,10.5407159198,4930.46,1.73328340706
500,132070.903728,1139.19,,1.0,1139.18784773,123.44,2,1.0,1.0,1.0,0.01,1139.18784773,132070.903728,1139.18784773,100,3.50449e-18,0.01,0.6,0.01,977.968,500.0,361.594,100.0
500,154804.997682,1140.71,,1.0,1142.23594979,123.75,2,1.0,1.0,1.0,0.005,1142.23594979,154804.997682,1142.23594979,100,2.1793e-19,0.005,0.6,0.005,997.154,500.0,376.837,200.000000102
500,173911.869778,1124.57,,1.0,1092.29072868,118.39,2,1.0,1.0,1.0,0.00333333,1092.29072868,173911.869778,1092.29072868,100,5.43914e-20,0.00333333,0.6,0.00333333,1007.36,500.0,390.618,299.999969474
500,142504.466613,1115.07,,1.0,1086.55885747,117.61,2,1.0,1.0,1.0,0.0025,1086.55885747,142504.466613,1086.55885747,100,5.4346e-20,0.0025,0.6,0.0025,1013.56,500.0,387.27,400.0
500,140353.401577,1662.53,171.987,264.239,1073.42263277,116.44,1,14.4827,1.51322,3.82219e-08,0.34924,1073.42263277,140353.401577,1073.42263277,100,0.000300435,5.05173e-11,0.6,0.002,1317.01,34.5240575566,2103.05,6.58254963027
500,203505.361782,1366.76,,1.0,1366.75537131,148.33,2,1.0,1.0,1.0,0.01,1366.75537131,203505.361782,1366.75537131,100,3.50449e-18,0.01,0.6,0.01,1124.5,500.0,448.854,100.0
500,165390.366076,1347.12,,1.0,1327.47885726,143.98,2,1.0,1.0,1.0,0.005,1327.47885726,165390.366076,1327.47885726,100,2.1793e-19,0.005,0.6,0.005,1175.82,500.0,427.772,200.000000102
500,207874.551696,1363.31,,1.0,1395.69430392,151.43,2,1.0,1.0,1.0,0.00333333,1395.69430392,207874.551696,1395.69430392,100,5.43914e-20,0.00333333,0.6,0.00333333,1223.45,500.0,437.168,299.999969474
500,202786.179504,1351.98,,1.0,1317.97505629,142.97,2,1.0,1.0,1.0,0.0025,1317.97505629,202786.179504,1317.97505629,100,5.4346e-20,0.0025,0.6,0.0025,1230.85,500.0,440.354,400.0
500,296359.158865,2078.58,166.925,279.498,1405.27939781,152.45,1,15.8115,1.42615,7.04067e-12,0.391961,1405.27939781,296359.158865,1405.27939781,100,0.000328283,9.87366e-15,0.6,0.002,1601.69,31.6225406624,2874.72,6.03088507805
500,419416.273453,1709.8,,1.0,1709.79586448,185.8,2,1.0,1.0,1.0,0.01,1709.79586448,419416.273453,1709.79586448,100,3.50449e-18,0.01,0.6,0.01,1428.86,500.0,644.377,100.0
500,382780.465368,1667.73,,1.0,1625.65608319,176.58,2,1.0,1.0,1.0,0.005,1625.65608319,382780.465368,1625.65608319,100,2.1793e-19,0.005,0.6,0.005,1463.37,500.0,631.551,200.000000102
500,289200.479957,1663.95,,1.0,1656.40097614,179.84,2,1.0,1.0,1.0,0.00333333,1656.40097614,289200.479957,1656.40097614,100,5.43914e-20,0.00333333,0.6,0.00333333,1497.09,500.0,601.14,299.999969474
500,302456.222632,1656.45,,1.0,1633.94782387,177.53,2,1.0,1.0,1.0,0.0025,1633.94782387,302456.222632,1633.94782387,100,5.4346e-20,0.0025,0.6,0.0025,1511.95,500.0,588.263,400.0
500,279981.536273,3377.21,4795.65,1547.66,1544.64282233,167.85,1,29.6287,3.78474,1.25336e-09,0.817842,1544.64282233,279981.536273,1544.64282233,100,0.00133917,6.62325e-13,0.6,0.002,2647.38,16.875515201,5483.75,1.4919911309
500,496659.282089,1907.79,,1.0,1907.79004284,206.68,2,1.0,1.0,1.0,0.01,1907.79004284,496659.282089,1907.79004284,100,3.50449e-18,0.01,0.6,0.01,1526.63,500.0,701.208,100.0
500,403267.406412,1912.31,,1.0,1916.83778697,207.62,2,1.0,1.0,1.0,0.005,1916.83778697,403267.406412,1916.83778697,100,2.1793e-19,0.005,0.6,0.005,1642.79,500.0,667.446,200.000000102
500,481585.544584,1922.04,,1.0,1941.49224387,210.16,2,1.0,1.0,1.0,0.00333333,1941.49224387,481585.544584,1941.49224387,100,5.43914e-20,0.00333333,0.6,0.00333333,1701.98,500.0,675.353,299.999969474
500,425156.956653,1906.7,,1.0,1860.66798914,201.53,2,1.0,1.0,1.0,0.0025,1860.66798914,425156.956653,1860.66798914,100,5.4346e-20,0.0025,0.6,0.0025,1716.12,500.0,669.335,400.0
500,375284.649561,3316.79,129.116,211.101,1763.04738007,191.31,1,21.6051,1.46102,1.04093e-09,0.288978,1763.04738007,375284.649561,1763.04738007,100,0.000241952,1.42494e-12,0.6,0.002,2524.47,23.1426403219,9285.42,8.14769219032
500,728755.528073,2206.61,,1.0,2206.61199462,238.97,2,1.0,1.0,1.0,0.01,2206.61199462,728755.528073,2206.61199462,100,3.50449e-18,0.01,0.6,0.01,1825.73,500.0,849.393,100.0
500,626426.300322,2249.24,,1.0,2291.87304859,248.03,2,1.0,1.0,1.0,0.005,2291.87304859,626426.300322,2291.87304859,100,2.1793e-19,0.005,0.6,0.005,1979.23,500.0,820.142,200.000000102
500,477011.433588,2283.22,,1.0,2351.1856028,254.57,2,1.0,1.0,1.0,0.00333333,2351.1856028,477011.433588,2351.1856028,100,5.43914e-20,0.00333333,0.6,0.00333333,2062.76,500.0,779.836,299.999969474
500,754849.346939,2293.65,,1.0,2324.94755538,251.75,2,1.0,1.0,1.0,0.0025,2324.94755538,754849.346939,2324.94755538,100,5.4346e-20,0.0025,0.6,0.0025,2102.61,500.0,802.035,400.0
500,627291.327683,4244.36,2266.46,1063.54,2264.64679014,245.04,1,36.9876,2.78534,2.16394e-11,0.763671,2264.64679014,627291.327683,2264.64679014,100,0.00116856,1.5538e-14,0.6,0.002,3205.15,13.5180458569,7569.7,1.70907205458
500,627340.876844,2892.21,,1.0,2892.20807537,313.3,2,1.0,1.0,1.0,0.01,2892.20807537,627340.876844,2892.20807537,100,3.50449e-18,0.01,0.6,0.01,2511.41,500.0,788.078,100.0
500,476427.523693,2888.18,,1.0,2884.15563395,312.85,2,1.0,1.0,1.0,0.005,2884.15563395,476427.523693,2884.15563395,100,2.1793e-19,0.005,0.6,0.005,2618.4,500.0,739.176,200.000000102
500,679624.384869,2877.03,,1.0,2854.71733696,309.68,2,1.0,1.0,1.0,0.00333333,2854.71733696,679624.384869,2854.71733696,100,5.43914e-20,0.00333333,0.6,0.00333333,2656.75,500.0,767.32,299.999969474
500,560189.749519,2926.67,,1.0,3075.58677541,332.91,2,1.0,1.0,1.0,0.0025,3075.58677541,560189.749519,3075.58677541,100,5.4346e-20,0.0025,0.6,0.0025,2735.9,500.0,766.566,400.0
500,505346.293165,4281.85,1641.71,905.862,2862.00966931,310.19,1,18.9318,2.5142,2.33788e-08,0.720597,2862.00966931,505346.293165,2862.00966931,100,0.00103886,1.85974e-11,0.6,0.002,3539.46,26.4106575966,6041.4,1.92163345122
500,626753.225951,3340.41,,1.0,3340.40928714,361.23,2,1.0,1.0,1.0,0.01,3340.40928714,626753.225951,3340.40928714,100,3.50449e-18,0.01,0.6,0.01,2958.34,500.0,787.709,100.0
500,668044.85116,3364.83,,1.0,3389.25423282,366.29,2,1.0,1.0,1.0,0.005,3389.25423282,668044.85116,3389.25423282,100,2.1793e-19,0.005,0.6,0.005,3094.67,500.0,800.95,200.000000102
500,707868.151789,3357.82,,1.0,3343.79960374,361.67,2,1.0,1.0,1.0,0.00333333,3343.79960374,707868.151789,3343.79960374,100,5.43914e-20,0.00333333,0.6,0.00333333,3137.24,500.0,813.25,299.999969474
500,665860.474734,3338.46,,1.0,3280.37030769,355.21,2,1.0,1.0,1.0,0.0025,3280.37030769,665860.474734,3280.37030769,100,5.4346e-20,0.0025,0.6,0.0025,3147.43,500.0,813.607,400.0
500,593821.704068,4490.21,4766.64,1539.41,3555.82100372,383.84,1,9.43466,4.20318,0.000212298,0.732497,3555.82100372,593821.704068,3555.82100372,100,0.00107924,1.01018e-07,0.6,0.002,3965.38,52.9960645756,2796.08,1.85000774744
500,577848.70895,3705.68,,1.0,3705.67747354,400.69,2,1.0,1.0,1.0,0.01,3705.67747354,577848.70895,3705.67747354,100,3.50449e-18,0.01,0.6,0.01,3323.66,500.0,756.353,100.0
500,582208.845349,3737.26,,1.0,3768.83765625,407.09,2,1.0,1.0,1.0,0.005,3768.83765625,582208.845349,3768.83765625,100,2.1793e-19,0.005,0.6,0.005,3467.06,500.0,758.436,200.000000102
500,626870.256278,3726.38,,1.0,3704.61259991,400.51,2,1.0,1.0,1.0,0.00333333,3704.61259991,626870.256278,3704.61259991,100,5.43914e-20,0.00333333,0.6,0.00333333,3505.76,500.0,768.497,299.999969474
500,511402.808721,3695.57,,1.0,3603.1590845,389.79,2,1.0,1.0,1.0,0.0025,3603.1590845,511402.808721,3603.1590845,100,5.4346e-20,0.0025,0.6,0.0025,3504.51,500.0,756.545,400.0
500,587532.389747,4100.06,8.31074,40.7764,3605.79974913,389.93,1,4.49371,1.20698,1.26615e-06,0.0675677,3605.79974913,587532.389747,3605.79974913,100,2.28192e-05,2.09804e-09,0.6,0.002,3737.81,111.266742388,1424.84,74.7005639746
500,559244.768126,3867.44,,1.0,3867.44237511,417.7,2,1.0,1.0,1.0,0.01,3867.44237511,559244.768126,3867.44237511,100,3.50449e-18,0.01,0.6,0.01,3485.34,500.0,744.078,100.0
500,481866.096304,3927.34,,1.0,3987.2405492,430.39,2,1.0,1.0,1.0,0.005,3987.2405492,481866.096304,3987.2405492,100,2.1793e-19,0.005,0.6,0.005,3657.15,500.0,720.373,200.000000102
500,521111.216306,3926.03,,1.0,3923.40148694,424.05,2,1.0,1.0,1.0,0.00333333,3923.40148694,521111.216306,3923.40148694,100,5.43914e-20,0.00333333,0.6,0.00333333,3705.42,500.0,719.673,299.999969474
500,525451.592502,3899.34,,1.0,3819.2722436,412.91,2,1.0,1.0,1.0,0.0025,3819.2722436,525451.592502,3819.2722436,100,5.4346e-20,0.0025,0.6,0.0025,3708.28,500.0,721.549,400.0
500,450099.551663,4499.44,4173.12,1445.12,3947.95064909,426.5,1,4.82515,3.8139,0.00478338,0.757818,3947.95064909,450099.551663,3947.95064909,100,0.00114758,2.50839e-06,0.6,0.002,4124.07,103.623762226,2244.32,1.74021316903
500,486356.979208,4036.55,,1.0,4036.5453217,435.83,2,1.0,1.0,1.0,0.01,4036.5453217,486356.979208,4036.5453217,100,3.50449e-18,0.01,0.6,0.01,3654.47,500.0,693.897,100.0
500,504340.148285,4063.96,,1.0,4091.36654534,441.37,2,1.0,1.0,1.0,0.005,4091.36654534,504340.148285,4091.36654534,100,2.1793e-19,0.005,0.6,0.005,3793.76,500.0,700.818,200.000000102
500,519191.313293,4059.76,,1.0,4051.37675735,437.44,2,1.0,1.0,1.0,0.00333333,4051.37675735,519191.313293,4051.37675735,100,5.43914e-20,0.00333333,0.6,0.00333333,3839.15,500.0,706.257,299.999969474
500,615125.452452,4039.1,,1.0,3977.09776364,429.29,2,1.0,1.0,1.0,0.0025,3977.09776364,615125.452452,3977.09776364,100,5.4346e-20,0.0025,0.6,0.0025,3848.04,500.0,726.378,400.0
500,520438.029511,4161.08,0.444916,4.88358,4099.20224543,442.37,1,1.56766,0.960299,0.016411,0.010171,4099.20224543,520438.029511,4099.20224543,100,1.92986e-06,3.4179e-05,0.6,0.002,3947.12,318.946885429,727.983,337.496042968
500,608779.305769,3927.59,,1.0,3927.58706798,424.76,2,1.0,1.0,1.0,0.01,3927.58706798,608779.305769,3927.58706798,100,3.50449e-18,0.01,0.6,0.01,3545.5,500.0,776.332,100.0
500,497263.532115,3974.09,,1.0,4020.59551934,434.51,2,1.0,1.0,1.0,0.005,4020.59551934,497263.532115,4020.59551934,100,2.1793e-19,0.005,0.6,0.005,3703.91,500.0,741.386,200.000000102
500,487396.642974,4013.53,,1.0,4092.40648224,442.16,2,1.0,1.0,1.0,0.00333333,4092.40648224,487396.642974,4092.40648224,100,5.43914e-20,0.00333333,0.6,0.00333333,3792.92,500.0,728.277,299.999969474
500,466449.086119,4024.55,,1.0,4057.59311377,438.85,2,1.0,1.0,1.0,0.0025,4057.59311377,466449.086119,4057.59311377,100,5.4346e-20,0.0025,0.6,0.0025,3833.49,500.0,716.659,400.0
500,460632.516056,4259.84,1.46223,11.4076,4125.80198898,445.53,1,2.91664,0.926414,0.0061936,0.0246275,4125.80198898,460632.516056,4125.80198898,100,6.815e-06,1.33711e-05,0.6,0.002,3968.0,171.430178288,756.961,185.161663718
500,401052.710383,4176.6,,1.0,4176.59785376,451.33,2,1.0,1.0,1.0,0.01,4176.59785376,401052.710383,4176.59785376,100,3.50449e-18,0.01,0.6,0.01,3794.59,500.0,630.113,100.0
500,331610.436204,4181.23,,1.0,4185.85674431,451.99,2,1.0,1.0,1.0,0.005,4185.85674431,331610.436204,4185.85674431,100,2.1793e-19,0.005,0.6,0.005,3911.04,500.0,602.237,200.000000102
500,373734.391146,4207.87,,1.0,4261.15918287,459.74,2,1.0,1.0,1.0,0.00333333,4261.15918287,373734.391146,4261.15918287,100,5.43914e-20,0.00333333,0.6,0.00333333,3987.26,500.0,605.43,299.999969474
500,329961.652166,4206.75,,1.0,4203.40283552,453.99,2,1.0,1.0,1.0,0.0025,4203.40283552,329961.652166,4203.40283552,100,5.4346e-20,0.0025,0.6,0.0025,4015.7,500.0,597.142,400.0
500,311402.637766,4226.75,,1.0,4306.72953948,465.03,1,1.0,1.0,1.0,0.002,4306.72953948,311402.637766,4306.72953948,100,5.43187e-20,0.002,0.6,0.002,4055.87,500.0,590.355,500.000006643
500,246873.35497,4369.36,,1.0,4369.36035625,470.84,2,1.0,1.0,1.0,0.01,4369.36035625,246873.35497,4369.36035625,100,3.50449e-18,0.01,0.6,0.01,3987.27,500.0,494.373,100.0
500,360314.614054,4315.53,,1.0,4261.70899446,459.78,2,1.0,1.0,1.0,0.005,4261.70899446,360314.614054,4261.70899446,100,2.1793e-19,0.005,0.6,0.005,4045.34,500.0,550.868,200.000000102
500,455694.408186,4251.91,,1.0,4124.66850057,445.95,2,1.0,1.0,1.0,0.00333333,4124.66850057,455694.408186,4124.66850057,100,5.43914e-20,0.00333333,0.6,0.00333333,4031.3,500.0,600.648,299.999969474
500,233277.385613,4262.74,,1.0,4295.20437941,463.4,2,1.0,1.0,1.0,0.0025,4295.20437941,233277.385613,4295.20437941,100,5.4346e-20,0.0025,0.6,0.0025,4071.68,500.0,573.299,400.0
500,284083.089009,4265.6,,1.0,4277.03805948,461.55,1,1.0,1.0,1.0,0.002,4277.03805948,284083.089009,4277.03805948,100,5.43187e-20,0.002,0.6,0.002,4094.71,500.0,564.994,500.000006643
500,337810.272128,4218.37,,1.0,4218.37305756,455.46,2,1.0,1.0,1.0,0.01,4218.37305756,337810.272128,4218.37305756,100,3.50449e-18,0.01,0.6,0.01,3836.27,500.0,578.301,100.0
500,330295.866007,4253.31,,1.0,4288.24653732,462.81,2,1.0,1.0,1.0,0.005,4288.24653732,330295.866007,4288.24653732,100,2.1793e-19,0.005,0.6,0.005,3983.12,500.0,576.136,200.000000102
500,285486.631191,4283.65,,1.0,4344.33602491,468.72,2,1.0,1.0,1.0,0.00333333,4344.33602491,285486.631191,4344.33602491,100,5.43914e-20,0.00333333,0.6,0.00333333,4063.04,500.0,563.33,299.999969474
500,386757.096348,4269.66,,1.0,4227.69232839,456.84,2,1.0,1.0,1.0,0.0025,4227.69232839,386757.096348,4227.69232839,100,5.4346e-20,0.0025,0.6,0.0025,4078.61,500.0,578.2,400.0
500,374317.805014,4247.57,,1.0,4159.20138471,449.63,1,1.0,1.0,1.0,0.002,4159.20138471,374317.805014,4159.20138471,100,5.43187e-20,0.002,0.6,0.002,4076.68,500.0,586.105,500.000006643
500,424516.834627,4225.61,,1.0,4225.60811981,456.1,2,1.0,1.0,1.0,0.01,4225.60811981,424516.834627,4225.60811981,100,3.50449e-18,0.01,0.6,0.01,3843.53,500.0,648.284,100.0
500,369053.1843,4184.43,,1.0,4143.25238801,447.78,2,1.0,1.0,1.0,0.005,4143.25238801,369053.1843,4143.25238801,100,2.1793e-19,0.005,0.6,0.005,3914.24,500.0,628.103,200.000000102
500,277847.342688,4228.44,,1.0,4316.47178871,465.53,2,1.0,1.0,1.0,0.00333333,4316.47178871,277847.342688,4316.47178871,100,5.43914e-20,0.00333333,0.6,0.00333333,4007.84,500.0,598.809,299.999969474
500,338753.320035,4242.02,,1.0,4282.73942376,462.0,2,1.0,1.0,1.0,0.0025,4282.73942376,338753.320035,4282.73942376,100,5.4346e-20,0.0025,0.6,0.0025,4050.96,500.0,594.41,400.0
500,273991.970951,4245.65,,1.0,4260.18099927,460.13,1,1.0,1.0,1.0,0.002,4260.18099927,273991.970951,4260.18099927,100,5.43187e-20,0.002,0.6,0.002,4074.77,500.0,580.484,500.000006643
500,387759.289099,4236.15,,1.0,4236.15161702,457.51,2,1.0,1.0,1.0,0.01,4236.15161702,387759.289099,4236.15161702,100,3.50449e-18,0.01,0.6,0.01,3854.12,500.0,619.582,100.0
500,298915.656761,4235.38,,1.0,4234.61436678,457.75,2,1.0,1.0,1.0,0.005,4234.61436678,298915.656761,4234.61436678,100,2.1793e-19,0.005,0.6,0.005,3965.24,500.0,583.013,200.000000102
500,256316.913943,4265.12,,1.0,4324.59116976,466.76,2,1.0,1.0,1.0,0.00333333,4324.59116976,256316.913943,4324.59116976,100,5.43914e-20,0.00333333,0.6,0.00333333,4044.53,500.0,559.425,299.999969474
500,287907.070025,4261.2,,1.0,4249.43334713,459.32,2,1.0,1.0,1.0,0.0025,4249.43334713,287907.070025,4249.43334713,100,5.4346e-20,0.0025,0.6,0.0025,4070.14,500.0,553.191,400.0
500,314813.926172,4262.08,,1.0,4265.61342163,460.69,1,1.0,1.0,1.0,0.002,4265.61342163,314813.926172,4265.61342163,100,5.43187e-20,0.002,0.6,0.002,4091.2,500.0,554.213,500.000006643
500,228309.249416,4342.78,,1.0,4342.78438176,468.56,2,1.0,1.0,1.0,0.01,4342.78438176,228309.249416,4342.78438176,100,3.50449e-18,0.01,0.6,0.01,3960.69,500.0,475.422,100.0
500,397201.208572,4262.12,,1.0,4181.4653771,451.52,2,1.0,1.0,1.0,0.005,4181.4653771,397201.208572,4181.4653771,100,2.1793e-19,0.005,0.6,0.005,3991.94,500.0,562.258,200.000000102
