MinNormIw,MaxVanillaIw,AvgVanillaIw,VarDiscRet,J,MaxNormIw,Bound,MinVanillaIw,AvgNormIw,AvgEpLen,BatchSize,EpsThisIter,VarRet,Delta,AvgDiscRet,ESSClassic,VarNormIw,ESSRenyi,VanillaAvgRet,IterType,eRenyi2,AvgRet,VarJ,VarVanillaIw
0.0017577809,1.2335298,1.0360599,54.11936020352152,-7.9228644,0.011905971,-11.673206,0.18211661,0.01,200.0,100,100,54.11936020352152,0.3,-8.100785272957342,95.30519695538483,4.975824e-06,93.90579025823787,-8.100785272957342,1,1.0648971,-8.100785272957342,7.346933,0.0534115
0.0045618974,1.1802484,1.0077955,47.256201066365726,-7.6089897,0.0117111895,-11.077004,0.45974594,0.01,200.0,100,100,47.256201066365726,0.3,-7.712749945116488,97.22811396807933,2.8796917e-06,97.08830274910812,-7.712749945116488,1,1.0299902,-7.712749945116488,6.891661,0.02924764
0.0010347683,1.2751862,1.0103714,56.02036243467344,-8.970115,0.012620964,-12.718401,0.104550034,0.01,200.0,100,100,56.02036243467344,0.3,-9.224191925956779,92.70482465927961,7.948738e-06,92.32084472953098,-9.224191925956779,1,1.083179,-9.224191925956779,7.5715194,0.081144735
0.00036847935,1.3998822,1.0187014,53.56369485441074,-8.197429,0.01374183,-12.024839,0.037537042,0.01,200.0,100,100,53.56369485441074,0.3,-8.532425956812403,86.54305524235932,1.5706488e-05,87.20857858968333,-8.532425956812403,1,1.1466762,-8.532425956812403,7.8421326,0.1629945
0.0035916204,1.5022086,0.9970341,48.73053596230749,-8.241195,0.015066773,-11.844284,0.35809678,0.009999999,200.0,100,100,48.73053596230749,0.3,-8.41859692641679,94.26697574336,6.1431497e-06,95.11374384691108,-8.41859692641679,1,1.0513728,-8.41859692641679,6.9769254,0.06106764
0.003017271,1.232983,0.98793745,44.960988840384786,-7.5281396,0.012480374,-11.155451,0.2980875,0.01,200.0,100,100,44.960988840384786,0.3,-7.666304906082413,95.32944677342346,4.948879e-06,95.65281048136514,-7.666304906082413,1,1.0454476,-7.666304906082413,6.7235446,0.04830207
0.006594795,1.5314708,0.99364716,48.27587902040143,-7.5260434,0.015412622,-11.18435,0.6552899,0.01,200.0,100,100,48.27587902040143,0.3,-7.677128491702965,96.38925949703608,3.7838445e-06,95.99923462524274,-7.677128491702965,1,1.041675,-7.677128491702965,7.0838313,0.037359204
6.151777e-06,1.6918489,1.0703317,49.44826939817251,-6.8769736,0.015806772,-10.918304,0.00065844425,0.01,200.0,100,100,49.44826939817251,0.3,-8.046642710561505,80.62861782905199,2.426813e-05,75.96637291750585,-8.046642710561505,1,1.3163719,-8.046642710561505,6.6468015,0.27801812
0.0042217346,1.170066,1.0315012,51.4414343642774,-7.5509863,0.011343332,-11.140932,0.4354724,0.009999999,200.0,100,100,51.4414343642774,0.3,-7.659344867163031,97.89962331350434,2.167129e-06,96.29655904802345,-7.659344867163031,1,1.0384587,-7.659344867163031,7.1603804,0.023058133
0.005109214,1.1320425,1.0039911,42.05633077201482,-6.782527,0.011275424,-10.361431,0.51296055,0.01,200.0,100,100,42.05633077201482,0.3,-6.831143368939149,98.34959564244018,1.6950522e-06,98.45931957663214,-6.831143368939149,1,1.0156479,-6.831143368939149,6.402888,0.017086096
