EpsThisIter,eRenyi2,J,AvgVanillaIw,MaxNormIw,IterType,ESSClassic,MinVanillaIw,VarJ,ESSRenyi,VanillaAvgRet,BatchSize,VarVanillaIw,AvgRet,AvgDiscRet,VarNormIw,AvgNormIw,MaxVanillaIw,VarRet,VarDiscRet,Delta,MinNormIw,AvgEpLen,Bound
100,1.0,-74.0184,1.0,0.00333333,2,299.999969474,1.0,61.3287,400.0,-76.1011289321,400,,-76.1011289321,-76.1011289321,5.43914e-20,0.00333333,1.0,4984.83836519,4984.83836519,0.8,0.00333333,105.84,-86.0603
100,1.2454,-69.5151,0.962164,0.00700419,1,314.741198702,0.0013249,50.6617,321.182207918,-66.7760959351,400,0.251403,-66.7760959351,-66.7760959351,1.69728e-06,0.0025,2.69567,1344.72251412,1344.72251412,0.8,3.4425e-06,95.89,-81.1531
100,1.0,-90.1971,1.0,0.01,2,100.0,1.0,90.2359,400.0,-90.1970552921,400,,-90.1970552921,-90.1970552921,3.50449e-18,0.01,1.0,8224.7578959,8224.7578959,0.8,0.01,123.77,-111.056
100,1.0,-81.8114,1.0,0.005,2,200.000000102,1.0,77.6074,400.0,-73.4257377866,400,,-73.4257377866,-73.4257377866,2.1793e-19,0.005,1.0,3800.6706189,3800.6706189,0.8,0.005,103.27,-96.561
100,1.0,-81.7057,1.0,0.00333333,2,299.999969474,1.0,77.6275,400.0,-81.4943670833,400,,-81.4943670833,-81.4943670833,5.43914e-20,0.00333333,1.0,6093.15851908,6093.15851908,0.8,0.00333333,113.19,-93.7487
100,1.86583,-71.1194,0.931993,0.00822703,1,211.846854195,1.5181e-10,65.9568,214.381850728,-76.2417854454,400,0.773395,-76.2417854454,-76.2417854454,5.56489e-06,0.0025,3.06701,4986.60369692,4986.60369692,0.8,4.07219e-13,106.53,-85.3656
100,1.0,-73.8436,1.0,0.01,2,100.0,1.0,61.167,400.0,-73.8435498333,400,,-73.8435498333,-73.8435498333,3.50449e-18,0.01,1.0,3779.19494958,3779.19494958,0.8,0.01,103.95,-94.7
100,1.0,-74.7268,1.0,0.005,2,200.000000102,1.0,61.1309,400.0,-75.6101531471,400,,-75.6101531471,-75.6101531471,2.1793e-19,0.005,1.0,3768.70794421,3768.70794421,0.8,0.005,106.59,-89.475
100,1.0,-74.731,1.0,0.00333333,2,299.999969474,1.0,61.1788,400.0,-74.7394202353,400,,-74.7394202353,-74.7394202353,5.43914e-20,0.00333333,1.0,3792.46447214,3792.46447214,0.8,0.00333333,104.82,-86.7728
100,1.67358,-67.3234,0.904677,0.00693395,1,228.97774152,1.13315e-05,27.6714,239.008993743,-66.8084973603,400,0.612821,-66.8084973603,-66.8084973603,4.67979e-06,0.0025,2.50919,1351.24926455,1351.24926455,0.8,3.13138e-08,95.94,-80.8144
100,1.0,-76.634,1.0,0.01,2,100.0,1.0,70.0812,400.0,-76.6340310001,400,,-76.6340310001,-76.6340310001,3.50449e-18,0.01,1.0,4960.98447889,4960.98447889,0.8,0.01,107.44,-97.4911
100,1.0,-78.4008,1.0,0.005,2,200.000000102,1.0,74.2025,400.0,-80.1675429665,400,,-80.1675429665,-80.1675429665,2.1793e-19,0.005,1.0,6155.97374268,6155.97374268,0.8,0.005,110.54,-93.149
100,1.0,-81.6415,1.0,0.00333333,2,299.999969474,1.0,80.3145,400.0,-88.1230488317,400,,-88.1230488317,-88.1230488317,5.43914e-20,0.00333333,1.0,8359.79423742,8359.79423742,0.8,0.00333333,120.48,-93.6834
100,1.9798,-71.7388,1.01519,0.0117088,1,208.235525652,0.000163538,58.2649,202.040331799,-74.6085215661,400,0.951469,-74.6085215661,-74.6085215661,5.77006e-06,0.0025,4.75467,3847.78174437,3847.78174437,0.8,4.02727e-07,104.77,-86.4123
100,1.0,-76.3783,1.0,0.01,2,100.0,1.0,70.1552,400.0,-76.3783545892,400,,-76.3783545892,-76.3783545892,3.50449e-18,0.01,1.0,4971.46350599,4971.46350599,0.8,0.01,106.67,-97.2352
100,1.0,-72.8155,1.0,0.005,2,200.000000102,1.0,61.2631,400.0,-69.2527375962,400,,-69.2527375962,-69.2527375962,2.1793e-19,0.005,1.0,2585.05956578,2585.05956578,0.8,0.005,97.79,-87.5635
100,1.0,-75.2103,1.0,0.00333333,2,299.999969474,1.0,67.3513,400.0,-79.9997228278,400,,-79.9997228278,-79.9997228278,5.43914e-20,0.00333333,1.0,6129.11782502,6129.11782502,0.8,0.00333333,110.76,-87.2521
100,1.81045,-73.1392,1.02001,0.00787742,1,225.020716246,3.41529e-05,69.511,220.939608752,-98.822699907,400,0.811077,-98.822699907,-98.822699907,4.87227e-06,0.0025,3.21403,11477.3297973,11477.3297973,0.8,8.37071e-08,132.62,-87.1712
100,1.0,-79.8024,1.0,0.01,2,100.0,1.0,78.0166,400.0,-79.802364033,400,,-79.802364033,-79.802364033,3.50449e-18,0.01,1.0,6148.06465645,6148.06465645,0.8,0.01,110.43,-100.659
100,1.0,-71.572,1.0,0.005,2,200.000000102,1.0,56.2996,400.0,-63.3415727361,400,,-63.3415727361,-63.3415727361,2.1793e-19,0.005,1.0,118.41522712,118.41522712,0.8,0.005,91.55,-86.3201
100,1.0,-71.1803,1.0,0.00333333,2,299.999969474,1.0,54.4859,400.0,-70.3968207681,400,,-70.3968207681,-70.3968207681,5.43914e-20,0.00333333,1.0,2591.82915793,2591.82915793,0.8,0.00333333,99.65,-83.2221
100,1.17288,-69.9512,0.976366,0.00743666,1,356.198969448,0.510861,46.6412,341.042296974,-73.9190216522,400,0.117518,-73.9190216522,-73.9190216522,7.70473e-07,0.0025,2.90436,3780.48139184,3780.48139184,0.8,0.00130807,103.95,-81.2453
100,1.0,-87.3916,1.0,0.01,2,100.0,1.0,90.9116,400.0,-87.3915786794,400,,-87.3915786794,-87.3915786794,3.50449e-18,0.01,1.0,8348.39769301,8348.39769301,0.8,0.01,119.26,-108.247
