Bound,EpsThisIter,MaxNormIw,VarDiscRet,VarNormIw,BatchSize,AvgEpLen,VarJ,ESSRenyi,AvgRet,IterType,MinVanillaIw,MinNormIw,AvgNormIw,eRenyi2,J,MaxVanillaIw,Delta,VarVanillaIw,AvgDiscRet,ESSClassic,AvgVanillaIw,VanillaAvgRet,VarRet
2400.09,100,0.0394934,1569558.98256,5.84543e-05,100,376.31,998.722,71.8430693849,3492.64154107,1,0.0460649,0.000439636,0.01,1.39192,4056.37,4.1381,0.1,0.641756,3492.64154107,63.3433466076,1.0478,3492.64154107,1569558.98256
2829.0,100,0.0199326,811308.489286,1.95808e-05,100,441.32,587.509,84.591147212,4103.0905802,1,0.13303,0.00126948,0.01,1.18216,4355.49,2.08875,0.1,0.215018,4103.0905802,83.7626362704,1.04791,4103.0905802,811308.489286
2999.16,100,0.0159619,528686.031967,7.64746e-06,100,465.93,495.83,93.8382767315,4338.66733074,1,0.163685,0.00162218,0.01,1.06566,4448.19,1.61062,0.1,0.0778641,4338.66733074,92.9618672579,1.00904,4338.66733074,528686.031967
3089.4,100,0.0185536,404483.557882,9.81947e-06,100,476.13,366.506,94.2875210271,4437.95660885,1,0.367156,0.00372087,0.01,1.06059,4535.16,1.83078,0.1,0.0956097,4437.95660885,91.1399868686,0.986749,4437.95660885,404483.557882
3055.12,100,0.0159913,457860.436268,8.48835e-06,100,473.02,450.072,94.1296021753,4406.79163096,1,0.405995,0.00406661,0.01,1.06237,4502.08,1.59651,0.1,0.0846056,4406.79163096,92.2479597503,0.998361,4406.79163096,457860.436268
3131.56,100,0.0155513,370995.846784,4.18091e-06,100,482.54,399.38,96.7596070608,4502.81465216,1,0.417846,0.00413723,0.01,1.03349,4558.68,1.57063,0.1,0.0426466,4502.81465216,96.0254013926,1.00997,4502.81465216,370995.846784
3151.95,100,0.0145127,183666.185207,5.08592e-06,100,484.77,249.69,96.4689606476,4517.45011106,1,0.352428,0.00349603,0.01,1.0366,4581.35,1.46299,0.1,0.0516845,4517.45011106,95.2063076574,1.00808,4517.45011106,183666.185207
3161.39,100,0.0152021,312687.322958,3.73691e-06,100,485.2,300.887,96.7331630132,4526.98788509,1,0.36267,0.0034916,0.01,1.03377,4588.9,1.57903,0.1,0.0403169,4526.98788509,96.4324511049,1.03869,4526.98788509,312687.322958
3137.04,100,0.0138103,253054.27684,3.28141e-06,100,484.0,363.864,97.175781584,4515.5016233,1,0.440787,0.00441276,0.01,1.02906,4561.29,1.37949,0.1,0.0327414,4515.5016233,96.8536142562,0.998891,4515.5016233,253054.27684
3150.08,100,0.0134884,258754.785157,4.16689e-06,100,485.26,311.538,97.167339499,4525.39490865,1,0.351941,0.00353911,0.01,1.02915,4574.39,1.34133,0.1,0.0412063,4525.39490865,96.0382474773,0.994434,4525.39490865,258754.785157
3263.54,100,0.0101669,104.226985897,4.23354e-09,100,500.0,10.1002,99.9971390589,4667.3704934,1,0.979631,0.00978971,0.01,1.00003,4667.41,1.01737,0.1,4.23924e-05,4667.3704934,99.9958067898,1.00067,4667.3704934,104.226985897
3223.21,100,0.0118653,87060.6131562,1.20896e-06,100,494.83,192.02,99.0113627015,4617.68346281,1,0.541128,0.0054952,0.01,1.00999,4634.15,1.16841,0.1,0.0117231,4617.68346281,98.817286746,0.984727,4617.68346281,87060.6131562
3190.46,100,0.0134208,219105.995946,3.56245e-06,100,489.22,248.674,97.5055363043,4564.59517254,1,0.303293,0.00306289,0.01,1.02558,4612.28,1.32896,0.1,0.0349311,4564.59517254,96.5933007614,0.99022,4564.59517254,219105.995946
3234.47,100,0.0115466,76803.5157189,9.07617e-07,100,495.78,149.676,99.1312229493,4628.47745422,1,0.489857,0.00485731,0.01,1.00876,4644.6,1.16446,0.1,0.00923099,4628.47745422,99.1094697938,1.00849,4628.47745422,76803.5157189
3244.96,100,0.0114895,47677.3736158,9.67813e-07,100,497.09,116.093,99.3343141314,4641.51462711,1,0.512642,0.00513956,0.01,1.0067,4653.65,1.14601,0.1,0.00962872,4641.51462711,99.050973825,0.997444,4641.51462711,47677.3736158
3237.02,100,0.0113921,44656.9475925,5.09287e-07,100,496.82,169.379,99.6032189408,4637.63220393,1,0.760998,0.00761609,0.01,1.00398,4643.79,1.1383,0.1,0.0050847,4637.63220393,99.4983330978,0.999198,4637.63220393,44656.9475925
3243.39,100,0.011252,19909.1368356,3.78425e-07,100,497.68,113.04,99.6679165046,4644.67832281,1,0.767773,0.00760586,0.01,1.00333,4649.7,1.13583,0.1,0.0038561,4644.67832281,99.6267467299,1.00945,4644.67832281,19909.1368356
3242.56,100,0.0108496,20859.270225,1.67865e-07,100,497.71,126.999,99.8220635276,4645.10948286,1,0.860546,0.00854821,0.01,1.00178,4647.78,1.09223,0.1,0.0017012,4645.10948286,99.8340905006,1.0067,4645.10948286,20859.270225
3248.06,100,0.0107189,16306.3446921,2.11411e-07,100,498.25,105.618,99.8204124374,4650.57453266,1,0.79977,0.00803324,0.01,1.0018,4653.27,1.06715,0.1,0.00209545,4650.57453266,99.7911427177,0.995576,4650.57453266,16306.3446921
3229.39,100,0.0113651,42309.1946699,6.71695e-07,100,496.06,160.912,99.4555358205,4628.7924669,1,0.742591,0.00745801,0.01,1.00547,4637.2,1.13162,0.1,0.00665925,4628.7924669,99.3394262169,0.995695,4628.7924669,42309.1946699
3246.89,100,0.0112024,51912.3816331,4.20523e-07,100,497.58,156.899,99.5641830875,4646.85793699,1,0.695479,0.00689153,0.01,1.00438,4653.95,1.13053,0.1,0.00428279,4646.85793699,99.5854104055,1.00918,4646.85793699,51912.3816331
3264.86,100,0.0101235,137.32323067,4.57929e-09,100,500.0,11.5772,99.9965788104,4668.81684322,1,0.975876,0.00976652,0.01,1.00003,4668.87,1.01155,0.1,4.57201e-05,4668.81684322,99.9954837767,0.999205,4668.81684322,137.32323067
3239.06,100,0.011654,49204.1386325,9.41517e-07,100,496.67,141.582,99.2959588716,4636.13577801,1,0.578794,0.00581168,0.01,1.00709,4648.01,1.16064,0.1,0.00933842,4636.13577801,99.0764965092,0.995916,4636.13577801,49204.1386325
3249.55,100,0.011035,50910.0036735,7.30237e-07,100,497.62,111.831,99.3614582002,4646.22577743,1,0.499861,0.0049376,0.01,1.00643,4657.95,1.11713,0.1,0.00748396,4646.22577743,99.2822481119,1.01236,4646.22577743,50910.0036735
3266.81,100,0.0100878,61.0187942788,2.94258e-09,100,500.0,7.73145,99.9976873933,4670.73119133,1,0.98151,0.00980828,0.01,1.00002,4670.75,1.00948,0.1,2.94668e-05,4670.73119133,99.9970609751,1.00069,4670.73119133,61.0187942788
3248.12,100,0.0107529,13152.9784389,1.85497e-07,100,498.32,96.0405,99.8229663051,4650.74405677,1,0.81557,0.00815844,0.01,1.00177,4653.36,1.07493,0.1,0.00185372,4650.74405677,99.816703882,0.999665,4650.74405677,13152.9784389
3256.22,100,0.01065,9834.05609184,1.35609e-07,100,498.99,82.5202,99.8828592813,4659.16575636,1,0.829258,0.00832399,0.01,1.00117,4660.94,1.06098,0.1,0.00134587,4659.16575636,99.8659386845,0.996227,4659.16575636,9834.05609184
3227.5,100,0.0121075,135815.761087,2.72082e-06,100,493.08,132.675,98.2184961951,4603.10711336,1,0.180274,0.00181708,0.01,1.01814,4644.16,1.2012,0.1,0.0267805,4603.10711336,97.3770396288,0.992108,4603.10711336,135815.761087
3266.99,100,0.0101066,81.7608215549,4.57124e-09,100,500.0,8.88814,99.9967337722,4670.95765524,1,0.97982,0.0097949,0.01,1.00003,4671.0,1.011,0.1,4.57432e-05,4670.95765524,99.9954545659,1.00034,4670.95765524,81.7608215549
3266.5,100,0.0100874,94.6523449793,3.1541e-09,100,500.0,9.5998,99.9978661992,4670.41603328,1,0.971973,0.00971444,0.01,1.00002,4670.45,1.00929,0.1,3.15753e-05,4670.41603328,99.9968737234,1.00054,4670.41603328,94.6523449793
3257.05,100,0.0106564,7818.15203251,1.87762e-07,100,499.12,71.0032,99.8762947675,4659.9685843,1,0.80068,0.00802727,0.01,1.00124,4661.83,1.06292,0.1,0.00186806,4659.9685843,99.8144326578,0.997451,4659.9685843,7818.15203251
3263.57,100,0.0104075,1949.62788293,8.13688e-08,100,499.56,35.8392,99.9392640152,4667.04022352,1,0.812037,0.00810067,0.01,1.00061,4667.94,1.04328,0.1,0.00081765,4667.04022352,99.9194759776,1.00243,4667.04022352,1949.62788293
3265.97,100,0.0101296,136.932408568,7.0476e-09,100,500.0,11.4535,99.9955894508,4669.9154339,1,0.970782,0.00971928,0.01,1.00004,4669.97,1.01177,0.1,7.03098e-05,4669.9154339,99.9930265077,0.998821,4669.9154339,136.932408568
3249.59,100,0.0110746,77840.9472565,9.48985e-07,100,497.03,110.428,99.1929861405,4642.43096116,1,0.39611,0.00394568,0.01,1.00814,4659.26,1.11178,0.1,0.00956413,4642.43096116,99.0692532422,1.00391,4642.43096116,77840.9472565
3249.16,100,0.0113715,72894.2710178,9.28598e-07,100,497.13,111.528,99.2452911889,4642.33393588,1,0.410569,0.00411808,0.01,1.0076,4658.4,1.13373,0.1,0.00923019,4642.33393588,99.0890717112,0.996992,4642.33393588,72894.2710178
3254.21,100,0.0111144,80145.5722894,1.36569e-06,100,496.99,70.5134,99.2100669395,4642.18051684,1,0.245813,0.0024602,0.01,1.00796,4663.76,1.11051,0.1,0.013634,4642.18051684,98.6660044202,0.999162,4642.18051684,80145.5722894
3262.67,100,0.0103241,2854.11549392,3.29647e-08,100,499.48,49.4203,99.9710643596,4666.44548088,1,0.9286,0.00927432,0.01,1.00029,4666.88,1.03371,0.1,0.000330477,4666.44548088,99.9673952088,1.00126,4666.44548088,2854.11549392
3240.29,100,0.0114281,36856.6174987,7.67139e-07,100,496.85,135.71,99.410548131,4639.20022165,1,0.693757,0.0069822,0.01,1.00593,4648.44,1.13551,0.1,0.00757364,4639.20022165,99.2462612796,0.993608,4639.20022165,36856.6174987
3266.13,100,0.0101591,84.7996003335,8.47796e-09,100,500.0,9.02412,99.9943855577,4670.06540914,1,0.957145,0.00956153,0.01,1.00006,4670.13,1.01696,0.1,8.49556e-05,4670.06540914,99.9916130823,1.00104,4670.06540914,84.7996003335
3239.08,100,0.0115673,90924.381094,1.52624e-06,100,495.39,126.724,98.8292853728,4627.03680585,1,0.362499,0.003654,0.01,1.01185,4651.36,1.14755,0.1,0.0150211,4627.03680585,98.5115294333,0.992062,4627.03680585,90924.381094
3251.28,100,0.0110372,33989.4698586,3.31779e-07,100,498.05,142.366,99.7254064752,4652.91552427,1,0.781349,0.00773895,0.01,1.00275,4657.19,1.11435,0.1,0.00338201,4652.91552427,99.6726450486,1.00963,4652.91552427,33989.4698586
3260.05,100,0.0105106,7020.95398752,1.5516e-07,100,499.14,61.4892,99.8557030163,4662.80574448,1,0.738567,0.00733744,0.01,1.00145,4665.06,1.05796,0.1,0.00157207,4662.80574448,99.8466107566,1.00657,4662.80574448,7020.95398752
3238.54,100,0.0115924,46916.6044034,1.27885e-06,100,496.17,133.348,99.2312266601,4634.16592625,1,0.494784,0.00499539,0.01,1.00775,4647.93,1.1482,0.1,0.0125463,4634.16592625,98.7497652302,0.990482,4634.16592625,46916.6044034
3267.11,100,0.0100542,55.2000313226,1.8325e-09,100,500.0,7.36132,99.9988794452,4671.09038396,1,0.983835,0.00983738,0.01,1.00001,4671.11,1.00552,0.1,1.83286e-05,4671.09038396,99.9982034794,1.0001,4671.09038396,55.2000313226
3267.36,100,0.0101433,98.0854227711,1.50451e-08,100,500.0,9.4455,99.9934915964,4671.30182982,1,0.928859,0.00929576,0.01,1.00007,4671.39,1.01355,0.1,0.00015022,4671.30182982,99.9851357641,0.999229,4671.30182982,98.0854227711
3256.29,100,0.0108241,13678.143657,3.17613e-07,100,498.79,85.004,99.7884466963,4658.38456207,1,0.7238,0.00726596,0.01,1.00212,4661.74,1.07825,0.1,0.00315173,4658.38456207,99.6865603452,0.996151,4658.38456207,13678.143657
3256.47,100,0.0107209,12226.0158263,1.95582e-07,100,498.87,90.2361,99.8605291891,4659.28630959,1,0.812612,0.00817416,0.01,1.0014,4661.44,1.06578,0.1,0.0019329,4659.28630959,99.8067565423,0.994123,4659.28630959,12226.0158263
3267.65,100,0.0100492,51.3801042293,1.08667e-09,100,500.0,7.09155,99.9992370664,4671.62844059,1,0.985804,0.00985819,0.01,1.00001,4671.65,1.0049,0.1,1.08664e-05,4671.62844059,99.9989242478,0.999985,4671.62844059,51.3801042293
3269.52,100,0.0100834,44.9078426616,1.72248e-09,100,500.0,6.64158,99.9989390486,4673.50678004,1,0.989017,0.00988816,0.01,1.00001,4673.52,1.00854,0.1,1.72318e-05,4673.50678004,99.9982646882,1.0002,4673.50678004,44.9078426616
3268.83,100,0.0100794,34.4671128098,1.67706e-09,100,500.0,5.8255,99.9988079213,4672.8169462,1,0.98547,0.00985379,0.01,1.00001,4672.83,1.00804,0.1,1.67736e-05,4672.8169462,99.9983255234,1.00009,4672.8169462,34.4671128098
3262.14,100,0.0103947,2922.99961779,1.15683e-07,100,499.48,44.7363,99.9325254173,4665.50783125,1,0.820974,0.00824792,0.01,1.00068,4666.56,1.03466,0.1,0.00114614,4665.50783125,99.8856308283,0.99537,4665.50783125,2922.99961779
3242.21,100,0.0114876,82708.395115,6.54113e-07,100,496.68,180.505,99.3351022415,4639.74441486,1,0.628687,0.00623848,0.01,1.00669,4650.83,1.15767,0.1,0.00664299,4639.74441486,99.3566011569,1.00776,4639.74441486,82708.395115
3251.21,100,0.0110019,41064.7109395,5.61329e-07,100,497.85,121.381,99.5390068986,4650.21375494,1,0.597368,0.00598602,0.01,1.00463,4658.38,1.09793,0.1,0.00559017,4650.21375494,99.4473662338,0.997939,4650.21375494,41064.7109395
