MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
0.25215,187.919582162,50.5852,-493.303,0.00125614,0.005,1.49206,186.820969308,0.00743301,1.06429,100,200,1.00367,1,-499.324111789,3027.8365637,3027.8365637,1.77246e-06,0.2,0.0714199,500.0,-499.324111789,-499.324111789,-588.829
1.0,200.0,42.8508,-501.718,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-501.718369948,1854.73968674,1854.73968674,3.50449e-18,0.2,,500.0,-501.718369948,-501.718369948,-622.722
0.286192,189.161352996,49.5043,-495.112,0.00140222,0.005,1.57689,189.388961341,0.00772608,1.0573,100,200,1.0205,1,-497.766888669,2827.52794656,2827.52794656,1.40773e-06,0.2,0.0586413,500.0,-497.766888669,-497.766888669,-586.062
1.0,200.0,45.6321,-498.572,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-498.571784496,2103.32401187,2103.32401187,3.50449e-18,0.2,,500.0,-498.571784496,-498.571784496,-626.933
0.568786,193.998687343,41.5071,-492.603,0.00277202,0.005,1.43595,194.056516681,0.00699818,1.03093,100,200,1.02594,1,-492.324264394,1497.73509381,1497.73509381,7.69541e-07,0.2,0.0323994,500.0,-492.324264394,-492.324264394,-584.761
1.0,200.0,46.6226,-498.702,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-498.701820257,2195.62064378,2195.62064378,3.50449e-18,0.2,,500.0,-498.701820257,-498.701820257,-635.517
0.380601,190.442448061,44.9489,-490.76,0.00188749,0.005,1.80659,190.074228296,0.00895929,1.05019,100,200,1.00822,1,-492.311614645,1944.04845641,1944.04845641,1.31207e-06,0.2,0.0533494,500.0,-492.311614645,-492.311614645,-589.901
1.0,200.0,42.5935,-495.346,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-495.345892095,1832.53115429,1832.53115429,3.50449e-18,0.2,,500.0,-495.345892095,-495.345892095,-616.959
0.495314,193.910007359,43.2178,-488.624,0.00251999,0.005,1.38087,194.000860989,0.00702541,1.03141,100,200,0.982771,1,-487.365923182,1868.65407995,1868.65407995,7.7696e-07,0.2,0.0300167,500.0,-487.365923182,-487.365923182,-579.536
1.0,200.0,43.3113,-489.333,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-489.332751447,1894.81505446,1894.81505446,3.50449e-18,0.2,,500.0,-489.332751447,-489.332751447,-612.104
0.362265,190.022223151,40.7028,-483.883,0.00182845,0.005,1.39211,188.680095457,0.00702637,1.05251,100,200,0.990631,1,-487.489980092,1806.98830939,1806.98830939,1.50742e-06,0.2,0.0591725,500.0,-487.489980092,-487.489980092,-572.946
