ESSRenyi,eRenyi2,AvgEpLen,VarDiscRet,BatchSize,MinVanillaIw,VanillaAvgRet,J,VarNormIw,MinNormIw,MaxNormIw,AvgRet,Bound,VarRet,AvgDiscRet,AvgVanillaIw,VarJ,VarVanillaIw,AvgNormIw,MaxVanillaIw,ESSClassic
100.0,1.0,13.17,3248.08291813416,100,0.99999,121.60915086284216,2.1606684e-05,4.4761996e-16,0.0099999,0.0100000575,-6.1106675275368615e-15,-4.7931743,3248.08291813416,-6.1106675275368615e-15,1.0,56.706326,4.5130228e-12,0.01,1.0000057,100.0
100.0,1.0,12.78,3008.8884767228574,100,1.0,117.70983000246096,1.1920929e-07,3.5044917e-18,0.01,0.01,-1.6200374375330283e-14,-4.613331,3008.8884767228574,-1.6200374375330283e-14,1.0,54.578377,,0.009999998,1.0,100.0
100.0,1.0,12.24,2672.613779694815,100,1.0,112.31006984861693,3.5762787e-07,3.5044917e-18,0.01,0.01,-1.0373923942097462e-14,-4.3479004,2672.613779694815,-1.0373923942097462e-14,1.0,51.43819,,0.009999998,1.0,100.0
100.0,1.0,12.95,3588.332037809821,100,1.0,119.41069136999066,-4.7683716e-07,3.5044917e-18,0.01,0.01,-1.8474111129762605e-15,-5.037997,3588.332037809821,-1.8474111129762605e-15,1.0,59.602417,,0.009999998,1.0,100.0
100.0,1.0,12.97,3651.0163094360446,100,1.0,119.60981053688727,-5.364418e-07,3.5044917e-18,0.01,0.01,1.8474111129762605e-15,-5.0818105,3651.0163094360446,1.8474111129762605e-15,1.0,60.12076,,0.009999998,1.0,100.0
100.0,1.0,13.08,3170.8301335453925,100,1.0,120.70953466803171,,3.5044917e-18,0.01,0.01,-3.097966327914037e-14,-4.7358503,3170.8301335453925,-3.097966327914037e-14,1.0,56.02787,,0.009999998,1.0,100.0
100.0,1.0,12.99,3503.642008937789,100,1.0,119.81097844713636,5.9604645e-07,3.5044917e-18,0.01,0.01,-2.2879476091475227e-14,-4.97819,3503.642008937789,-2.2879476091475227e-14,1.0,58.89487,,0.009999998,1.0,100.0
100.0,1.0,12.99,2334.2566366644983,100,1.0,119.80871015615325,-1.7881393e-07,3.5044917e-18,0.01,0.01,8.526512829121202e-15,-4.063365,2334.2566366644983,8.526512829121202e-15,1.0,48.071968,,0.009999998,1.0,100.0
100.0,1.0,12.97,3640.8743439622426,100,1.0,119.60969588124466,-5.066395e-07,3.5044917e-18,0.01,0.01,5.542233338928782e-15,-5.0747466,3640.8743439622426,5.542233338928782e-15,1.0,60.0372,,0.009999998,1.0,100.0
100.0,1.0,12.82,3145.8634729341093,100,1.0,118.11041687436168,2.3841858e-07,3.5044917e-18,0.01,0.01,3.9790393202565614e-15,-4.7171693,3145.8634729341093,3.9790393202565614e-15,1.0,55.806854,,0.009999998,1.0,100.0
100.0,1.0,13.08,3063.914856099201,100,1.0,120.70917977520179,-3.2782555e-07,3.5044917e-18,0.01,0.01,5.115907697472721e-15,-4.6553235,3063.914856099201,5.115907697472721e-15,1.0,55.07518,,0.009999998,1.0,100.0
100.0,1.0,12.61,2844.004894556685,100,1.0,116.00962384140617,-3.874302e-07,3.5044917e-18,0.01,0.01,1.0516032489249483e-14,-4.4851475,2844.004894556685,1.0516032489249483e-14,1.0,53.061893,,0.009999998,1.0,100.0
100.0,1.0,13.14,3254.3690170614987,100,0.99997425,121.30938966449426,3.5643578e-05,2.3484302e-15,0.009999743,0.010000105,1.5347723092418165e-14,-4.797795,3254.3690170614987,1.5347723092418165e-14,1.0,56.76111,2.3538917e-11,0.009999999,1.0000105,100.00001907348906
100.0,1.0,12.38,2762.9234518333083,100,1.0,113.70974730751703,7.748604e-07,3.5044917e-18,0.01,0.01,-1.3216094885137864e-14,-4.4207497,2762.9234518333083,-1.3216094885137864e-14,1.0,52.30004,,0.009999998,1.0,100.0
100.0,1.0,12.7,3032.9806774918234,100,1.0,116.91097981043947,2.9802322e-08,3.5044917e-18,0.01,0.01,7.958078640513123e-15,-4.6317625,3032.9806774918234,7.958078640513123e-15,1.0,54.796448,,0.009999998,1.0,100.0
100.0,1.0,13.29,3133.5271842658585,100,1.0,122.80780740997066,-1.7881393e-07,3.5044917e-18,0.01,0.01,9.663381206337363e-15,-4.7079115,3133.5271842658585,9.663381206337363e-15,1.0,55.697323,,0.009999998,1.0,100.0
100.0,1.0,13.29,4873.002319115243,100,1.0,122.80940173251092,5.9604645e-07,3.5044917e-18,0.01,0.01,1.8474111129762605e-14,-5.87097,4873.002319115243,1.8474111129762605e-14,1.0,69.45698,,0.009999998,1.0,100.0
