eRenyi2,BatchSize,MaxNormIw,ESSRenyi,ESSClassic,MaxVanillaIw,MinVanillaIw,VarNormIw,Bound,VarRet,VarJ,AvgDiscRet,AvgNormIw,EpsThisIter,VanillaAvgRet,VarVanillaIw,VarDiscRet,J,AvgRet,MinNormIw,IterType,AvgVanillaIw,Delta,AvgEpLen
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-78.9091,4872.29660127,69.452,-78.909098352,0.01,100,-78.909098352,,4872.29660127,-78.9091,-78.909098352,0.01,2,1.0,1.0,112.22
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-75.4541,2515.50626313,60.5714,-71.9991301794,0.005,100,-71.9991301794,,2515.50626313,-75.4541,-71.9991301794,0.005,2,1.0,1.0,104.54
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-73.9916,2547.36049556,57.3658,-71.0665170534,0.00333333,100,-71.0665170534,,2547.36049556,-73.9916,-71.0665170534,0.00333333,2,1.0,1.0,102.89
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-74.8336,4918.01478883,60.7245,-77.3595871991,0.0025,100,-77.3595871991,,4918.01478883,-74.8336,-77.3595871991,0.0025,2,1.0,1.0,109.32
688030.0,500,1.0,0.000726712696043,1.0,569829.0,,0.002,-53.4706,3728.1581394,,-74.1479598543,0.002,100,-74.1479598543,6.49411e+08,3728.1581394,-53.4706,-74.1479598543,,1,1139.66,1.0,105.99
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-71.037,2525.27696469,50.0002,-71.0370144071,0.01,100,-71.0370144071,,2525.27696469,-71.037,-71.0370144071,0.01,2,1.0,1.0,102.38
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-72.5294,3734.03712997,55.6829,-74.0218062308,0.005,100,-74.0218062308,,3734.03712997,-72.5294,-74.0218062308,0.005,2,1.0,1.0,106.18
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-71.2563,1316.09600544,50.0461,-68.7100902984,0.00333333,100,-68.7100902984,,1316.09600544,-71.2563,-68.7100902984,0.00333333,2,1.0,1.0,100.83
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-71.3688,2531.92376514,50.0515,-71.7062477854,0.0025,100,-71.7062477854,,2531.92376514,-71.3688,-71.7062477854,0.0025,2,1.0,1.0,104.09
2059.91,500,1.0,0.242729234235,1.0,634.652,,0.002,-53.2806,1308.88876716,,-67.5775646991,0.002,100,-67.5775646991,805.566,1308.88876716,-53.2806,-67.5775646991,,1,1.2693,1.0,98.76
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-63.949,57.4821688467,7.5437,-63.9490231426,0.01,100,-63.9490231426,,57.4821688467,-63.949,-63.9490231426,0.01,2,1.0,1.0,94.45
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-67.1342,2548.33096705,36.0558,-70.3193971266,0.005,100,-70.3193971266,,2548.33096705,-67.1342,-70.3193971266,0.005,2,1.0,1.0,101.79
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-68.4365,2539.21284229,41.3281,-71.0412178777,0.00333333,100,-71.0412178777,,2539.21284229,-68.4365,-71.0412178777,0.00333333,2,1.0,1.0,102.44
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-70.5873,4907.26768938,50.0943,-77.039686332,0.0025,100,-77.039686332,,4907.26768938,-70.5873,-77.039686332,0.0025,2,1.0,1.0,109.31
424.801,500,0.0292821,1.17702214833,295.378318717,14.5827,0.707107,2.77653e-06,-68.1974,1302.29327979,40.2575,-66.9017005964,0.002,100,-66.9017005964,0.688604,1302.29327979,-68.1974,-66.9017005964,0.00141988,1,0.996011,1.0,97.82
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-72.5526,2511.36273257,49.8623,-72.5525687499,0.01,100,-72.5525687499,,2511.36273257,-72.5526,-72.5525687499,0.01,2,1.0,1.0,105.47
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-68.0012,61.5859177557,35.9767,-63.4497479989,0.005,100,-63.4497479989,,61.5859177557,-68.0012,-63.4497479989,0.005,2,1.0,1.0,94.0
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-68.2264,1319.22995174,36.0324,-68.6768317175,0.00333333,100,-68.6768317175,,1319.22995174,-68.2264,-68.6768317175,0.00333333,2,1.0,1.0,100.86
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-68.1801,1318.250206,36.0558,-68.0410736604,0.0025,100,-68.0410736604,,1318.250206,-68.1801,-68.0410736604,0.0025,2,1.0,1.0,99.49
552.011,500,0.0454545,0.905779774995,21.9999986132,780.653,,8.70833e-05,-63.4533,3738.07576573,38.0414,-73.9518447292,0.002,100,-73.9518447292,25686.0,3738.07576573,-63.4533,-73.9518447292,,1,34.3487,1.0,105.51
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-67.3908,1308.0465726,35.9856,-67.3908120634,0.01,100,-67.3908120634,,1308.0465726,-67.3908,-67.3908120634,0.01,2,1.0,1.0,98.69
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-67.9886,1318.78966168,36.0644,-68.5864763735,0.005,100,-68.5864763735,,1318.78966168,-67.9886,-68.5864763735,0.005,2,1.0,1.0,100.97
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-72.2536,6075.70924984,53.9301,-80.7834529011,0.00333333,100,-80.7834529011,,6075.70924984,-72.2536,-80.7834529011,0.00333333,2,1.0,1.0,113.57
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-72.8772,3716.30257136,55.6982,-74.7478551432,0.0025,100,-74.7478551432,,3716.30257136,-72.8772,-74.7478551432,0.0025,2,1.0,1.0,107.44
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-72.0828,1302.23004059,52.366,-68.9052588803,0.002,100,-68.9052588803,,1302.23004059,-72.0828,-68.9052588803,0.002,1,1.0,1.0,101.55
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-79.109,4853.1677244,69.3155,-79.1090014856,0.01,100,-79.1090014856,,4853.1677244,-79.109,-79.1090014856,0.01,2,1.0,1.0,112.34
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-74.9451,2530.58840448,60.5995,-70.7811930273,0.005,100,-70.7811930273,,2530.58840448,-74.9451,-70.7811930273,0.005,2,1.0,1.0,102.67
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-73.1577,2545.69442046,57.3992,-69.5828680195,0.00333333,100,-69.5828680195,,2545.69442046,-73.1577,-69.5828680195,0.00333333,2,1.0,1.0,100.48
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-70.9016,77.6469342717,50.0548,-64.1335372567,0.0025,100,-64.1335372567,,77.6469342717,-70.9016,-64.1335372567,0.0025,2,1.0,1.0,94.77
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-70.0102,1308.93413814,47.6103,-66.4442764534,0.002,100,-66.4442764534,,1308.93413814,-70.0102,-66.4442764534,0.002,1,1.0,1.0,96.95
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.5943,2561.38486465,50.3564,-70.594261905,0.01,100,-70.594261905,,2561.38486465,-70.5943,-70.594261905,0.01,2,1.0,1.0,102.22
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-70.3328,2552.72450973,50.3145,-70.0713227324,0.005,100,-70.0713227324,,2552.72450973,-70.3328,-70.0713227324,0.005,2,1.0,1.0,100.68
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-69.0975,1319.28903899,46.1099,-66.6268533434,0.00333333,100,-66.6268533434,,1319.28903899,-69.0975,-66.6268533434,0.00333333,2,1.0,1.0,96.81
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-68.4198,1313.84638226,43.8309,-66.3868244167,0.0025,100,-66.3868244167,,1313.84638226,-68.4198,-66.3868244167,0.0025,2,1.0,1.0,97.01
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-68.2087,1303.8117554,42.3704,-67.3644243863,0.002,100,-67.3644243863,,1303.8117554,-68.2087,-67.3644243863,0.002,1,1.0,1.0,98.64
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.665,2546.71396916,50.212,-70.6649558657,0.01,100,-70.6649558657,,2546.71396916,-70.665,-70.6649558657,0.01,2,1.0,1.0,101.98
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-73.9109,4916.89500807,60.8689,-77.1568726471,0.005,100,-77.1568726471,,4916.89500807,-73.9109,-77.1568726471,0.005,2,1.0,1.0,109.19
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-75.1505,4900.14136416,63.9542,-77.6295412475,0.00333333,100,-77.6295412475,,4900.14136416,-75.1505,-77.6295412475,0.00333333,2,1.0,1.0,109.87
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-73.1776,1305.44169143,58.3299,-67.2589308289,0.0025,100,-67.2589308289,,1305.44169143,-73.1776,-67.2589308289,0.0025,2,1.0,1.0,98.41
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-71.8938,1315.73613788,54.6718,-66.7585982816,0.002,100,-66.7585982816,,1315.73613788,-71.8938,-66.7585982816,0.002,1,1.0,1.0,97.46
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-67.1881,1301.98638549,35.9022,-67.1880594124,0.01,100,-67.1880594124,,1301.98638549,-67.1881,-67.1880594124,0.01,2,1.0,1.0,98.47
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-68.5886,2543.26943548,43.6505,-69.9891014515,0.005,100,-69.9891014515,,2543.26943548,-68.5886,-69.9891014515,0.005,2,1.0,1.0,101.08
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-68.116,1321.7522874,41.3142,-67.1708275071,0.00333333,100,-67.1708275071,,1321.7522874,-68.116,-67.1708275071,0.00333333,2,1.0,1.0,98.28
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-68.9549,2515.62871919,43.6449,-71.4715683061,0.0025,100,-71.4715683061,,2515.62871919,-68.9549,-71.4715683061,0.0025,2,1.0,1.0,103.28
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-68.16,76.3905436443,39.2627,-64.9802422929,0.002,100,-64.9802422929,,76.3905436443,-68.16,-64.9802422929,0.002,1,1.0,1.0,96.49
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-66.081,1316.51086309,36.1019,-66.0810402536,0.01,100,-66.0810402536,,1316.51086309,-66.081,-66.0810402536,0.01,2,1.0,1.0,96.36
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-67.7903,2547.38076103,43.767,-69.4995610242,0.005,100,-69.4995610242,,2547.38076103,-67.7903,-69.4995610242,0.005,2,1.0,1.0,100.47
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-67.8165,1296.22439462,41.2891,-67.8690145221,0.00333333,100,-67.8690145221,,1296.22439462,-67.8165,-67.8690145221,0.00333333,2,1.0,1.0,99.37
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-68.8318,2522.60603846,43.6581,-71.8777942762,0.0025,100,-71.8777942762,,2522.60603846,-68.8318,-71.8777942762,0.0025,2,1.0,1.0,103.76
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-68.8816,2553.55834579,45.0604,-69.0804944043,0.002,100,-69.0804944043,,2553.55834579,-68.8816,-69.0804944043,0.002,1,1.0,1.0,99.86
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.2327,2546.02603172,50.2052,-70.2327290908,0.01,100,-70.2327290908,,2546.02603172,-70.2327,-70.2327290908,0.01,2,1.0,1.0,100.87
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-68.895,1309.53779101,43.7069,-67.5572407459,0.005,100,-67.5572407459,,1309.53779101,-68.895,-67.5572407459,0.005,2,1.0,1.0,98.62
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-69.0685,2551.300988,45.9948,-69.415579803,0.00333333,100,-69.415579803,,2551.300988,-69.0685,-69.415579803,0.00333333,2,1.0,1.0,99.69
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-69.4209,2535.33959838,47.0586,-70.4781392632,0.0025,100,-70.4781392632,,2535.33959838,-69.4209,-70.4781392632,0.0025,2,1.0,1.0,101.79
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-68.9425,1306.38295327,45.0687,-67.0290089375,0.002,100,-67.0290089375,,1306.38295327,-68.9425,-67.0290089375,0.002,1,1.0,1.0,97.75
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.9622,2522.60264477,49.9738,-70.9621797951,0.01,100,-70.9621797951,,2522.60264477,-70.9622,-70.9621797951,0.01,2,1.0,1.0,102.56
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-70.5052,2546.29919751,50.0931,-70.0482138042,0.005,100,-70.0482138042,,2546.29919751,-70.5052,-70.0482138042,0.005,2,1.0,1.0,100.9
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-71.63,3736.36775336,53.9297,-73.8796767032,0.00333333,100,-73.8796767032,,3736.36775336,-71.63,-73.8796767032,0.00333333,2,1.0,1.0,105.45
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-71.2657,2535.48506445,53.0022,-70.1727214722,0.0025,100,-70.1727214722,,2535.48506445,-71.2657,-70.1727214722,0.0025,2,1.0,1.0,101.16
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-72.7358,4891.34185607,56.7849,-78.6163125515,0.002,100,-78.6163125515,,4891.34185607,-72.7358,-78.6163125515,0.002,1,1.0,1.0,111.82
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-63.2231,70.2147693231,8.33742,-63.223136676,0.01,100,-63.223136676,,70.2147693231,-63.2231,-63.223136676,0.01,2,1.0,1.0,92.73
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-70.4585,4901.8439317,50.135,-77.6938645586,0.005,100,-77.6938645586,,4901.8439317,-70.4585,-77.6938645586,0.005,2,1.0,1.0,110.26
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-71.4461,3742.58436275,53.9693,-73.4214234065,0.00333333,100,-73.4214234065,,3742.58436275,-71.4461,-73.4214234065,0.00333333,2,1.0,1.0,104.48
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-72.7977,4920.39021216,58.3763,-76.8523311065,0.0025,100,-76.8523311065,,4920.39021216,-72.7977,-76.8523311065,0.0025,2,1.0,1.0,108.85
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-72.3242,2543.07339123,56.8389,-70.4301857781,0.002,100,-70.4301857781,,2543.07339123,-72.3242,-70.4301857781,0.002,1,1.0,1.0,101.31
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.7134,2548.3577902,50.2282,-70.7133860239,0.01,100,-70.7133860239,,2548.3577902,-70.7134,-70.7133860239,0.01,2,1.0,1.0,102.05
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-73.2503,3688.06717528,55.6189,-75.7872293605,0.005,100,-75.7872293605,,3688.06717528,-73.2503,-75.7872293605,0.005,2,1.0,1.0,108.74
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-70.9272,1304.94761307,50.0374,-66.2809119673,0.00333333,100,-66.2809119673,,1304.94761307,-70.9272,-66.2809119673,0.00333333,2,1.0,1.0,96.63
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-70.0355,1308.2812108,46.9466,-67.3603864978,0.0025,100,-67.3603864978,,1308.2812108,-70.0355,-67.3603864978,0.0025,2,1.0,1.0,98.42
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-70.2315,2538.37507294,47.6019,-71.0157100169,0.002,100,-71.0157100169,,2538.37507294,-70.2315,-71.0157100169,0.002,1,1.0,1.0,102.69
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-78.0358,4904.49566723,69.6811,-78.0357946736,0.01,100,-78.0357946736,,4904.49566723,-78.0358,-78.0357946736,0.01,2,1.0,1.0,110.87
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-78.0696,4915.17787361,69.719,-78.1033852196,0.005,100,-78.1033852196,,4915.17787361,-78.0696,-78.1033852196,0.005,2,1.0,1.0,110.83
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-76.915,3743.51416098,66.9217,-74.605847622,0.00333333,100,-74.605847622,,3743.51416098,-76.915,-74.605847622,0.00333333,2,1.0,1.0,106.67
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-75.2096,2549.47766721,63.2346,-70.093564247,0.0025,100,-70.093564247,,2549.47766721,-75.2096,-70.093564247,0.0025,2,1.0,1.0,101.07
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-74.9508,3747.55116633,62.7788,-73.9154641312,0.002,100,-73.9154641312,,3747.55116633,-74.9508,-73.9154641312,0.002,1,1.0,1.0,105.84
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-84.5016,7185.7329046,84.3438,-84.5015811737,0.01,100,-84.5015811737,,7185.7329046,-84.5016,-84.5015811737,0.01,2,1.0,1.0,117.43
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-76.8351,1311.51352776,65.3063,-69.168531118,0.005,100,-69.168531118,,1311.51352776,-76.8351,-69.168531118,0.005,2,1.0,1.0,101.18
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-72.9765,1319.24496163,57.5187,-65.2595078863,0.00333333,100,-65.2595078863,,1319.24496163,-72.9765,-65.2595078863,0.00333333,2,1.0,1.0,94.67
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-70.4525,59.3302314013,50.1508,-62.880371936,0.0025,100,-62.880371936,,59.3302314013,-70.4525,-62.880371936,0.0025,2,1.0,1.0,92.64
1.0,500,0.002,500.0,500.000006643,1.0,1.0,5.43187e-20,-71.3332,3722.19258589,52.4612,-74.8557265821,0.002,100,-74.8557265821,,3722.19258589,-71.3332,-74.8557265821,0.002,1,1.0,1.0,107.4
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-70.5246,2534.27795341,50.0893,-70.5245767987,0.01,100,-70.5245767987,,2534.27795341,-70.5246,-70.5245767987,0.01,2,1.0,1.0,101.62
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-71.7092,3779.45753603,55.9169,-72.8937424955,0.005,100,-72.8937424955,,3779.45753603,-71.7092,-72.8937424955,0.005,2,1.0,1.0,103.96
