VanillaAvgRet,AvgVanillaIw,IterType,J,MinNormIw,ESSClassic,Delta,VarRet,MaxVanillaIw,AvgDiscRet,VarVanillaIw,Bound,MinVanillaIw,VarJ,MaxNormIw,AvgRet,eRenyi2,EpsThisIter,VarNormIw,BatchSize,AvgNormIw,ESSRenyi,AvgEpLen,VarDiscRet
4952.813393107251,1.0,2,4984.213,0.0033333334,299.999969473632,0.55,221855.0659160889,1.0,4952.813393107251,,4723.096,1.0,271.48688,0.0033333334,4952.813393107251,1.0,100,5.4391416e-20,500,0.0033333336,500.0,495.3,221855.0659160889
4965.989758515985,1.0,2,4979.6567,0.0025,400.0,0.55,87273.20444485507,1.0,4965.989758515985,,4753.5234,1.0,277.38278,0.0025,4965.989758515985,1.0,100,5.434597e-20,500,0.0024999997,500.0,496.63,87273.20444485507
4960.694859174629,1.0104347,1,4994.812,0.00019150919,481.14569299795835,0.55,153713.89803872516,1.2469783,4960.694859174629,0.040088464,4788.5283,0.09675376,66.26826,0.0024682016,4960.694859174629,1.0401839,100,1.5705902e-07,500,0.002,480.68423202965494,496.09,153713.89803872516
4999.923579996572,1.0,2,4999.924,0.01,100.0,0.55,0.006956590299092691,1.0,4999.923579996572,,4547.6567,1.0,0.08301501,0.01,4999.923579996572,1.0,100,3.5044917e-18,500,0.009999998,500.0,500.0,0.006956590299092691
4999.917090327131,1.0,2,4999.92,0.005,200.00000010221265,0.55,0.005197639683855211,1.0,4999.917090327131,,4680.1187,1.0,0.07765461,0.005,4999.917090327131,1.0,100,2.179301e-19,500,0.0049999994,500.0,500.0,0.005197639683855211
4999.897904992315,1.0,2,4999.9126,0.0033333334,299.999969473632,0.55,0.010364810920789143,1.0,4999.897904992315,,4738.796,1.0,0.08690745,0.0033333334,4999.897904992315,1.0,100,5.4391416e-20,500,0.0033333336,500.0,500.0,0.010364810920789143
4999.911017611373,1.0,2,4999.912,0.0025,400.0,0.55,0.007614296006591691,1.0,4999.911017611373,,4773.779,1.0,0.08688575,0.0025,4999.911017611373,1.0,100,5.434597e-20,500,0.0024999997,500.0,500.0,0.007614296006591691
4950.008072352023,1.0005589,1,4993.3003,0.0007165518,492.18252065205957,0.55,248993.73592109114,1.3487808,4950.008072352023,0.015933039,4789.447,0.3584761,147.86008,0.0026960548,4950.008072352023,1.0158188,100,6.3660984e-08,500,0.0019999999,492.2137522112221,495.02,248993.73592109114
4999.920186895682,1.0,2,4999.9204,0.01,100.0,0.55,0.008093528266672126,1.0,4999.920186895682,,4547.6533,1.0,0.08951775,0.01,4999.920186895682,1.0,100,3.5044917e-18,500,0.009999998,500.0,500.0,0.008093528266672126
4999.918249841326,1.0,2,4999.919,0.005,200.00000010221265,0.55,0.007378273254258817,1.0,4999.918249841326,,4680.1177,1.0,0.08751732,0.005,4999.918249841326,1.0,100,2.179301e-19,500,0.0049999994,500.0,500.0,0.007378273254258817
4995.2286988176,1.0,2,4998.356,0.0033333334,299.999969473632,0.55,2208.482771152248,1.0,4995.2286988176,,4737.2393,1.0,27.086788,0.0033333334,4995.2286988176,1.0,100,5.4391416e-20,500,0.0033333336,500.0,499.54,2208.482771152248
4999.9224178268305,1.0,2,4998.747,0.0025,400.0,0.55,0.0087747645230022,1.0,4999.9224178268305,,4772.614,1.0,23.467697,0.0025,4999.9224178268305,1.0,100,5.434597e-20,500,0.0024999997,500.0,500.0,0.0087747645230022
4999.913948216125,0.99806744,1,4999.206,0.0015213524,499.360560859992,0.55,0.013515406655761834,1.0447855,4999.913948216125,0.00127824,4796.8394,0.7592062,15.978474,0.002093617,4999.913948216125,1.0010563,100,5.13278e-09,500,0.002,499.4724005530714,500.0,0.013515406655761834
4999.91023145915,1.0,2,4999.91,0.01,100.0,0.55,0.009950620422150959,1.0,4999.91023145915,,4547.643,1.0,0.09924029,0.01,4999.91023145915,1.0,100,3.5044917e-18,500,0.009999998,500.0,500.0,0.009950620422150959
4999.924282213328,1.0,2,4999.9175,0.005,200.00000010221265,0.55,0.008467821055282553,1.0,4999.924282213328,,4680.116,1.0,0.09573701,0.005,4999.924282213328,1.0,100,2.179301e-19,500,0.0049999994,500.0,500.0,0.008467821055282553
