MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,202.954365207,2.36608e-06,inf,3.10236e+21,21.2947189097,,50000,100,343619.0,0.189144,202.954365207,nan,4.24626e-07,2348,202.954365207,0.8,53544.9,3.88087e+16,3881.03,4.98358658044,147997.273682,nan,147997.273682
,1,212.587404165,2.47243e-06,3.27411e+23,8.99278e+13,22.2518914108,,50000,100,482258.0,0.0466001,212.587404165,nan,8.79183e-08,2247,212.587404165,0.8,43700.0,4.77124e+09,4461.21,15.6337177384,361124.352943,nan,361124.352943
,1,220.945226732,2.56608e-06,1.70597e+22,1.95168e+13,23.0946882217,,50000,100,194487.0,0.0416872,220.945226732,nan,7.78327e-08,2165,220.945226732,0.8,15816.9,1.20136e+09,1653.5,14.6662175771,78771.7542022,nan,78771.7542022
,1,183.349746276,2.14832e-06,5.98764e+23,2.31505e+14,19.3348801237,,50000,100,166322.0,0.133279,183.349746276,nan,1.98454e-07,2586,183.349746276,0.8,17388.9,3.73161e+09,1746.57,4.90048760762,53077.4525903,nan,53077.4525903
,1,280.031518884,3.22248e-06,inf,9.42852e+20,29.0023201856,,50000,100,216726.0,0.0624847,280.031518884,nan,2.01297e-07,1724,280.031518884,0.8,14047.7,4.8625e+16,1728.39,15.9999952234,116826.481873,nan,116826.481873
,1,367.927128234,4.19921e-06,inf,1.60879e+23,37.7928949358,,50000,100,176439.0,0.0410987,367.927128234,nan,1.44231e-07,1323,367.927128234,0.8,7959.79,1.64376e+19,1228.0,12.5879315838,65293.7325979,nan,65293.7325979
,1,355.233695895,4.05811e-06,8.49124e+32,3.6051e+18,36.523009496,,50000,100,212952.0,0.0558121,355.233695895,nan,2.03514e-07,1369,355.233695895,0.8,11305.1,2.62128e+14,1609.73,15.899906678,88140.7228572,nan,88140.7228572
,1,227.161974479,2.63421e-06,inf,9.43301e+19,23.7079184448,,50000,100,434931.0,0.0415086,227.161974479,nan,8.34095e-08,2109,227.161974479,0.8,39964.0,5.98637e+15,4374.23,13.9288964408,221902.405393,nan,221902.405393
,1,206.156410064,2.40085e-06,inf,1.33983e+19,21.6076058773,,50000,100,412262.0,0.0534779,206.156410064,nan,1.10895e-07,2314,206.156410064,0.8,43561.5,6.01504e+14,4373.75,15.8496220111,227684.672277,nan,227684.672277
,1,234.011185725,2.71135e-06,2.18307e+26,4.01284e+15,24.402147389,,50000,100,241024.0,0.198491,234.011185725,nan,5.34125e-07,2049,234.011185725,0.8,47161.7,5.48148e+10,3089.3,4.99986172337,87298.675375,nan,87298.675375
,1,210.653206279,2.4517e-06,1.19409e+23,5.36005e+13,22.0653133274,,50000,100,nan,0.0458521,210.653206279,nan,8.73811e-08,2266,210.653206279,0.8,nan,2.86601e+09,nan,15.1001009676,63262.2727885,nan,63262.2727885
,1,370.797723407,4.23119e-06,9.02981e+28,2.68266e+16,38.08073115,,50000,100,294458.0,0.0202158,370.797723407,nan,5.12775e-08,1313,370.797723407,0.8,23067.1,5.61485e+12,2475.35,8.62990550425,136424.28035,nan,136424.28035
