VarNormIw,MinNormIw,VarVanillaIw,BatchSize,IterType,ESSClassic,MinVanillaIw,VarJ,AvgRet,Bound,AvgNormIw,EpsThisIter,AvgVanillaIw,ESSRenyi,MaxNormIw,Delta,VanillaAvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,eRenyi2,J,VarRet,AvgEpLen
0.0012815,4.62687e-23,4546.54,500,1,1.55892050281,8.71502e-20,3524.89,418.953369655,1008.14,0.002,100,3.76713,11.1674849243,0.799823,0.6,418.953369655,418.953369655,34372.0249378,1506.52,44.7728,1396.51,34372.0249378,45.2
3.50449e-18,0.01,,500,2,100.0,1.0,351.207,650.422140163,449.778,0.01,100,1.0,500.0,0.01,0.6,650.422140163,650.422140163,124592.480361,1.0,1.0,650.422,124592.480361,70.26
2.1793e-19,0.005,,500,2,200.000000102,1.0,324.148,611.312147227,488.99,0.005,100,1.0,500.0,0.005,0.6,611.312147227,611.312147227,86901.7682059,1.0,1.0,630.867,86901.7682059,65.92
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,316.099,603.983627672,506.064,0.00333333,100,1.0,500.0,0.00333333,0.6,603.983627672,603.983627672,90029.9715668,1.0,1.0,621.906,90029.9715668,65.21
5.4346e-20,0.0025,,500,2,400.0,1.0,309.539,552.997619923,504.357,0.0025,100,1.0,500.0,0.0025,0.6,552.997619923,552.997619923,80747.0479665,1.0,1.0,604.679,80747.0479665,59.74
0.000501757,1.3034e-17,562.486,500,1,3.96233139094,1.38003e-14,2749.53,595.817024778,1104.71,0.002,100,2.11758,19.5531676334,0.455558,0.6,595.817024778,595.817024778,81054.9968917,482.339,25.5713,1558.46,81054.9968917,64.41
3.50449e-18,0.01,,500,2,100.0,1.0,541.369,1118.38862591,790.054,0.01,100,1.0,500.0,0.01,0.6,1118.38862591,1118.38862591,296041.148703,1.0,1.0,1118.39,296041.148703,121.15
2.1793e-19,0.005,,500,2,200.000000102,1.0,560.33,962.235222973,771.994,0.005,100,1.0,500.0,0.005,0.6,962.235222973,962.235222973,325925.801919,1.0,1.0,1040.31,325925.801919,104.1
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,562.127,992.841842219,805.408,0.00333333,100,1.0,500.0,0.00333333,0.6,992.841842219,992.841842219,321735.249438,1.0,1.0,1024.49,321735.249438,107.55
5.4346e-20,0.0025,,500,2,400.0,1.0,531.062,907.611192795,805.54,0.0025,100,1.0,500.0,0.0025,0.6,907.611192795,907.611192795,171619.574934,1.0,1.0,995.269,171619.574934,98.38
0.00164136,5.49135e-17,25053.7,500,1,1.2179732132,2.14543e-13,6268.56,1036.17793891,3316.7,0.002,100,7.81385,13.6822741937,0.905966,0.6,1036.17793891,1036.17793891,263233.989805,3539.54,36.5436,4342.56,263233.989805,112.15
3.50449e-18,0.01,,500,2,100.0,1.0,879.693,1685.37134819,1303.62,0.01,100,1.0,500.0,0.01,0.6,1685.37134819,1685.37134819,781676.740556,1.0,1.0,1685.37,781676.740556,182.72
2.1793e-19,0.005,,500,2,200.000000102,1.0,807.725,1534.11630007,1339.8,0.005,100,1.0,500.0,0.005,0.6,1534.11630007,1534.11630007,524788.44537,1.0,1.0,1609.74,524788.44537,166.51
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,786.112,1545.65818487,1367.98,0.00333333,100,1.0,500.0,0.00333333,0.6,1545.65818487,1545.65818487,551856.956607,1.0,1.0,1588.38,551856.956607,167.77
5.4346e-20,0.0025,,500,2,400.0,1.0,808.915,1790.94933333,1448.15,0.0025,100,1.0,500.0,0.0025,0.6,1790.94933333,1790.94933333,740085.815882,1.0,1.0,1639.02,740085.815882,194.23
0.000779501,5.85592e-30,1868.94,500,1,2.55773508587,9.06744e-27,5878.88,1591.02073059,3378.17,0.002,100,3.09685,18.5659703011,0.616831,0.6,1591.02073059,1591.02073059,863111.075113,955.115,26.931,4265.0,863111.075113,172.04
3.50449e-18,0.01,,500,2,100.0,1.0,1274.75,2766.63981359,2384.81,0.01,100,1.0,500.0,0.01,0.6,2766.63981359,2766.63981359,1641401.09019,1.0,1.0,2766.64,1641401.09019,299.29
2.1793e-19,0.005,,500,2,200.000000102,1.0,1285.59,2882.69912793,2554.58,0.005,100,1.0,500.0,0.005,0.6,2882.69912793,2882.69912793,1690658.55984,1.0,1.0,2824.67,1690658.55984,312.52
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,1270.66,2618.60631529,2535.46,0.00333333,100,1.0,500.0,0.00333333,0.6,2618.60631529,2618.60631529,1525225.76744,1.0,1.0,2755.98,1525225.76744,283.59
5.4346e-20,0.0025,,500,2,400.0,1.0,1273.94,2689.36155721,2548.27,0.0025,100,1.0,500.0,0.0025,0.6,2689.36155721,2689.36155721,1661233.00352,1.0,1.0,2739.33,1661233.00352,291.27
4.60573e-05,6.1171e-20,15.5001,500,1,40.0279156685,3.54866e-17,984.991,2968.90623859,3898.03,0.002,100,1.16024,53.4307821139,0.0905152,0.6,2968.90623859,2968.90623859,1398517.49276,52.5098,9.3579,4420.79,1398517.49276,321.35
3.50449e-18,0.01,,500,2,100.0,1.0,913.617,4164.88103617,3782.8,0.01,100,1.0,500.0,0.01,0.6,4164.88103617,4164.88103617,843126.931487,1.0,1.0,4164.88,843126.931487,449.47
2.1793e-19,0.005,,500,2,200.000000102,1.0,904.18,4144.47430897,3884.5,0.005,100,1.0,500.0,0.005,0.6,4144.47430897,4144.47430897,808261.995105,1.0,1.0,4154.68,808261.995105,447.51
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,884.818,4153.75557388,3933.76,0.00333333,100,1.0,500.0,0.00333333,0.6,4153.75557388,4153.75557388,720835.798285,1.0,1.0,4154.37,720835.798285,448.22
5.4346e-20,0.0025,,500,2,400.0,1.0,890.9,4129.668161,3957.14,0.0025,100,1.0,500.0,0.0025,0.6,4129.668161,4129.668161,833982.577443,1.0,1.0,4148.19,833982.577443,446.07
5.87759e-06,1.11687e-07,1.54175,500,1,202.719856179,5.72019e-05,207.968,4186.12826238,4335.39,0.002,100,1.02432,219.038851563,0.0123984,0.6,4186.12826238,4186.12826238,792410.50562,6.34997,2.2827,4593.58,792410.50562,452.1
3.50449e-18,0.01,,500,2,100.0,1.0,403.36,4576.13439341,4194.1,0.01,100,1.0,500.0,0.01,0.6,4576.13439341,4576.13439341,164342.974771,1.0,1.0,4576.13,164342.974771,492.07
2.1793e-19,0.005,,500,2,200.000000102,1.0,370.646,4590.76871192,4313.26,0.005,100,1.0,500.0,0.005,0.6,4590.76871192,4590.76871192,113081.751041,1.0,1.0,4583.45,113081.751041,493.64
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,352.195,4585.61076163,4363.56,0.00333333,100,1.0,500.0,0.00333333,0.6,4585.61076163,4585.61076163,98347.6953711,1.0,1.0,4584.17,98347.6953711,493.31
5.4346e-20,0.0025,,500,2,400.0,1.0,328.536,4593.19755739,4395.37,0.0025,100,1.0,500.0,0.0025,0.6,4593.19755739,4593.19755739,60160.3109544,1.0,1.0,4586.43,60160.3109544,494.28
6.23505e-07,0.000147522,0.151462,500,1,432.68899452,0.0727091,119.083,4613.78021564,4448.66,0.002,100,0.98574,436.053954075,0.00413186,0.6,4613.78021564,4613.78021564,36460.4946011,2.03647,1.14665,4631.65,36460.4946011,496.05
3.50449e-18,0.01,,500,2,100.0,1.0,48.6718,4646.05354857,4263.94,0.01,100,1.0,500.0,0.01,0.6,4646.05354857,4646.05354857,2392.87244971,1.0,1.0,4646.05,2392.87244971,499.57
2.1793e-19,0.005,,500,2,200.000000102,1.0,123.037,4630.06079451,4367.86,0.005,100,1.0,500.0,0.005,0.6,4630.06079451,4630.06079451,28059.8567487,1.0,1.0,4638.06,28059.8567487,497.18
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,192.213,4616.1023799,4410.12,0.00333333,100,1.0,500.0,0.00333333,0.6,4616.1023799,4616.1023799,81050.0855412,1.0,1.0,4630.74,81050.0855412,495.81
5.4346e-20,0.0025,,500,2,400.0,1.0,176.592,4633.52248756,4440.38,0.0025,100,1.0,500.0,0.0025,0.6,4633.52248756,4633.52248756,14036.3010901,1.0,1.0,4631.43,14036.3010901,498.02
1.96284e-07,0.000558041,0.0479822,500,1,476.65691221,0.275908,90.615,4629.69583441,4467.83,0.002,100,0.988843,474.773514131,0.00315551,0.6,4629.69583441,4629.69583441,54235.6011094,1.56015,1.05313,4643.2,54235.6011094,497.52
3.50449e-18,0.01,,500,2,100.0,1.0,306.596,4624.66582757,4242.55,0.01,100,1.0,500.0,0.01,0.6,4624.66582757,4624.66582757,94950.8937905,1.0,1.0,4624.67,94950.8937905,496.73
2.1793e-19,0.005,,500,2,200.000000102,1.0,288.843,4617.08565159,4350.68,0.005,100,1.0,500.0,0.005,0.6,4617.08565159,4617.08565159,73566.56755,1.0,1.0,4620.88,73566.56755,495.78
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,261.817,4621.87736227,4400.59,0.00333333,100,1.0,500.0,0.00333333,0.6,4621.87736227,4621.87736227,39174.0766276,1.0,1.0,4621.21,39174.0766276,496.7
5.4346e-20,0.0025,,500,2,400.0,1.0,229.448,4652.02365609,4437.85,0.0025,100,1.0,500.0,0.0025,0.6,4652.02365609,4652.02365609,4271.39779242,1.0,1.0,4628.91,4271.39779242,499.37
3.89824e-07,0.000224759,0.101603,500,1,455.679937984,0.114745,82.4399,4585.91310199,4468.17,0.002,100,1.02105,457.529474096,0.00346927,0.6,4585.91310199,4585.91310199,146809.270351,1.77115,1.09283,4646.82,146809.270351,492.43
3.50449e-18,0.01,,500,2,100.0,1.0,69.8789,4652.81706263,4270.74,0.01,100,1.0,500.0,0.01,0.6,4652.81706263,4652.81706263,4932.38737335,1.0,1.0,4652.82,4932.38737335,499.34
2.1793e-19,0.005,,500,2,200.000000102,1.0,55.4997,4654.47553488,4383.46,0.005,100,1.0,500.0,0.005,0.6,4654.47553488,4654.47553488,1288.88188397,1.0,1.0,4653.65,1288.88188397,499.72
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,46.6506,4656.88441552,4434.11,0.00333333,100,1.0,500.0,0.00333333,0.6,4656.88441552,4656.88441552,365.059733173,1.0,1.0,4654.73,365.059733173,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,107.603,4634.48863145,4458.61,0.0025,100,1.0,500.0,0.0025,0.6,4634.48863145,4634.48863145,39875.9827634,1.0,1.0,4649.67,39875.9827634,497.66
1.44089e-07,0.000554944,0.0368409,500,1,482.648595376,0.280607,53.7705,4629.49342792,4480.29,0.002,100,1.0113,482.565062751,0.00280703,0.6,4629.49342792,4629.49342792,45433.9719903,1.41937,1.03613,4654.24,45433.9719903,496.93
3.50449e-18,0.01,,500,2,100.0,1.0,188.47,4639.01880633,4256.93,0.01,100,1.0,500.0,0.01,0.6,4639.01880633,4639.01880633,35879.8405465,1.0,1.0,4639.02,35879.8405465,497.5
2.1793e-19,0.005,,500,2,200.000000102,1.0,134.361,4657.51122824,4378.07,0.005,100,1.0,500.0,0.005,0.6,4657.51122824,4657.51122824,417.665256678,1.0,1.0,4648.27,417.665256678,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,119.975,4646.51705778,4427.07,0.00333333,100,1.0,500.0,0.00333333,0.6,4646.51705778,4646.51705778,7146.04152956,1.0,1.0,4647.68,7146.04152956,499.08
5.4346e-20,0.0025,,500,2,400.0,1.0,104.59,4656.62561733,4458.86,0.0025,100,1.0,500.0,0.0025,0.6,4656.62561733,4656.62561733,519.175762224,1.0,1.0,4649.92,519.175762224,500.0
1.42458e-07,0.00037596,0.0351936,500,1,482.838579878,0.186866,55.6881,4630.05073803,4480.46,0.002,100,0.994074,484.869559427,0.00270616,0.6,4630.05073803,4630.05073803,39707.5231246,1.34506,1.03121,4653.99,39707.5231246,497.06
3.50449e-18,0.01,,500,2,100.0,1.0,99.8398,4651.18057673,4269.08,0.01,100,1.0,500.0,0.01,0.6,4651.18057673,4651.18057673,10068.6776391,1.0,1.0,4651.18,10068.6776391,498.92
2.1793e-19,0.005,,500,2,200.000000102,1.0,72.2326,4657.56079726,4384.17,0.005,100,1.0,500.0,0.005,0.6,4657.56079726,4657.56079726,451.277807708,1.0,1.0,4654.37,451.277807708,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,144.088,4624.28433545,4423.73,0.00333333,100,1.0,500.0,0.00333333,0.6,4624.28433545,4624.28433545,51763.4998158,1.0,1.0,4644.34,51763.4998158,496.6
5.4346e-20,0.0025,,500,2,400.0,1.0,127.932,4651.2215937,4455.0,0.0025,100,1.0,500.0,0.0025,0.6,4651.2215937,4651.2215937,3177.9798083,1.0,1.0,4646.06,3177.9798083,499.48
1.43658e-07,0.000636252,0.0353799,500,1,482.698725441,0.315749,60.6626,4650.51202904,4480.08,0.002,100,0.992529,485.249383793,0.00280179,0.6,4650.51202904,4650.51202904,6210.62486872,1.39043,1.0304,4653.55,6210.62486872,499.2
3.50449e-18,0.01,,500,2,100.0,1.0,17.1327,4659.33982263,4277.28,0.01,100,1.0,500.0,0.01,0.6,4659.33982263,4659.33982263,296.492973185,1.0,1.0,4659.34,296.492973185,500.0
2.1793e-19,0.005,,500,2,200.000000102,1.0,19.085,4658.40989696,4388.72,0.005,100,1.0,500.0,0.005,0.6,4658.40989696,4658.40989696,438.900816447,1.0,1.0,4658.87,438.900816447,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,18.3613,4659.03279607,4438.32,0.00333333,100,1.0,500.0,0.00333333,0.6,4659.03279607,4659.03279607,285.781628381,1.0,1.0,4658.93,285.781628381,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,40.567,4650.06133154,4465.65,0.0025,100,1.0,500.0,0.0025,0.6,4650.06133154,4650.06133154,5568.04223736,1.0,1.0,4656.71,5568.04223736,499.25
3.03888e-08,0.00132159,0.00755433,500,1,496.237574467,0.658929,27.3468,4657.44302164,4486.61,0.002,100,0.997175,496.777281418,0.00230512,0.6,4657.44302164,4657.44302164,326.882296685,1.14931,1.00649,4658.05,326.882296685,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,19.0213,4659.95638965,4277.85,0.01,100,1.0,500.0,0.01,0.6,4659.95638965,4659.95638965,365.465376142,1.0,1.0,4659.96,365.465376142,500.0
2.1793e-19,0.005,,500,2,200.000000102,1.0,17.4782,4661.73195832,4390.65,0.005,100,1.0,500.0,0.005,0.6,4661.73195832,4661.73195832,250.089708766,1.0,1.0,4660.84,250.089708766,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,17.6753,4658.05582618,4439.3,0.00333333,100,1.0,500.0,0.00333333,0.6,4658.05582618,4658.05582618,324.33079545,1.0,1.0,4659.91,324.33079545,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,17.5494,4659.76756873,4468.82,0.0025,100,1.0,500.0,0.0025,0.6,4659.76756873,4659.76756873,297.646976807,1.0,1.0,4659.88,297.646976807,500.0
1.41755e-08,0.00143853,0.00353162,500,1,498.238025045,0.718017,18.1503,4657.89852673,4488.86,0.002,100,0.998268,498.354444533,0.00226594,0.6,4657.89852673,4657.89852673,609.858559323,1.13101,1.0033,4660.03,609.858559323,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,22.1601,4658.09542086,4275.98,0.01,100,1.0,500.0,0.01,0.6,4658.09542086,4658.09542086,496.02748296,1.0,1.0,4658.1,496.02748296,500.0
2.1793e-19,0.005,,500,2,200.000000102,1.0,20.9549,4660.07774002,4388.89,0.005,100,1.0,500.0,0.005,0.6,4660.07774002,4660.07774002,389.076850235,1.0,1.0,4659.09,389.076850235,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,19.5859,4660.13592725,4438.82,0.00333333,100,1.0,500.0,0.00333333,0.6,4660.13592725,4660.13592725,274.613393478,1.0,1.0,4659.44,274.613393478,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,18.9007,4661.32672281,4468.85,0.0025,100,1.0,500.0,0.0025,0.6,4661.32672281,4661.32672281,278.23194307,1.0,1.0,4659.91,278.23194307,500.0
1.36144e-08,0.00145708,0.00339257,500,1,498.30714617,0.727359,16.9905,4660.94953412,4489.47,0.002,100,0.998377,498.557864834,0.00225065,0.6,4660.94953412,4660.94953412,235.737507102,1.1235,1.00289,4660.6,235.737507102,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,49.0719,4656.55408922,4274.45,0.01,100,1.0,500.0,0.01,0.6,4656.55408922,4656.55408922,2432.37060266,1.0,1.0,4656.55,2432.37060266,499.54
2.1793e-19,0.005,,500,2,200.000000102,1.0,36.0897,4661.84286215,4389.01,0.005,100,1.0,500.0,0.005,0.6,4661.84286215,4661.84286215,184.742325028,1.0,1.0,4659.2,184.742325028,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,31.5676,4659.96442699,4438.84,0.00333333,100,1.0,500.0,0.00333333,0.6,4659.96442699,4659.96442699,388.091150018,1.0,1.0,4659.45,388.091150018,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,69.5027,4649.18447508,4465.83,0.0025,100,1.0,500.0,0.0025,0.6,4649.18447508,4649.18447508,16418.0601841,1.0,1.0,4656.89,16418.0601841,498.69
4.10431e-08,0.00117064,0.0101697,500,1,494.931827545,0.582715,39.0618,4663.6844311,4488.38,0.002,100,0.99555,495.463073194,0.0025145,0.6,4663.6844311,4663.6844311,209.441388821,1.25166,1.00916,4660.05,209.441388821,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,23.473,4658.67244575,4276.55,0.01,100,1.0,500.0,0.01,0.6,4658.67244575,4658.67244575,556.545692327,1.0,1.0,4658.67,556.545692327,500.0
2.1793e-19,0.005,,500,2,200.000000102,1.0,21.5266,4660.36578541,4389.32,0.005,100,1.0,500.0,0.005,0.6,4660.36578541,4660.36578541,378.155531764,1.0,1.0,4659.52,378.155531764,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,19.4715,4661.27887589,4439.49,0.00333333,100,1.0,500.0,0.00333333,0.6,4661.27887589,4661.27887589,210.671301687,1.0,1.0,4660.11,210.671301687,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,18.0357,4664.54931124,4470.16,0.0025,100,1.0,500.0,0.0025,0.6,4664.54931124,4664.54931124,150.417421457,1.0,1.0,4661.22,150.417421457,500.0
9.05846e-09,0.0015849,0.00227875,500,1,498.872650258,0.794918,16.4472,4663.13354613,4490.94,0.002,100,1.00312,498.840820299,0.00215364,0.6,4663.13354613,4663.13354613,189.858059321,1.08018,1.00232,4662.02,189.858059321,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,51.7001,4655.93190928,4273.81,0.01,100,1.0,500.0,0.01,0.6,4655.93190928,4655.93190928,2699.89475526,1.0,1.0,4655.93,2699.89475526,499.49
2.1793e-19,0.005,,500,2,200.000000102,1.0,38.4371,4662.64572411,4389.09,0.005,100,1.0,500.0,0.005,0.6,4662.64572411,4662.64572411,262.013560897,1.0,1.0,4659.29,262.013560897,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,32.6004,4661.78681305,4439.5,0.00333333,100,1.0,500.0,0.00333333,0.6,4661.78681305,4661.78681305,231.684647351,1.0,1.0,4660.12,231.684647351,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,29.3032,4663.15597431,4469.82,0.0025,100,1.0,500.0,0.0025,0.6,4663.15597431,4663.15597431,241.863531928,1.0,1.0,4660.88,241.863531928,500.0
9.46162e-09,0.00157927,0.00238403,500,1,498.822441496,0.792739,24.82,4665.83736675,4491.2,0.002,100,1.00393,498.796209186,0.00222022,0.6,4665.83736675,4665.83736675,217.160943393,1.11447,1.00241,4662.29,217.160943393,500.0
3.50449e-18,0.01,,500,2,100.0,1.0,84.8726,4654.53492052,4272.45,0.01,100,1.0,500.0,0.01,0.6,4654.53492052,4654.53492052,7276.1124023,1.0,1.0,4654.53,7276.1124023,499.11
2.1793e-19,0.005,,500,2,200.000000102,1.0,72.1731,4655.63152144,4384.89,0.005,100,1.0,500.0,0.005,0.6,4655.63152144,4655.63152144,3246.41366407,1.0,1.0,4655.08,3246.41366407,499.48
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,59.9652,4662.17223299,4436.83,0.00333333,100,1.0,500.0,0.00333333,0.6,4662.17223299,4662.17223299,339.449260563,1.0,1.0,4657.45,339.449260563,500.0
5.4346e-20,0.0025,,500,2,400.0,1.0,52.6731,4661.76431556,4467.47,0.0025,100,1.0,500.0,0.0025,0.6,4661.76431556,4661.76431556,299.358604874,1.0,1.0,4658.53,299.358604874,500.0
5.84724e-08,0.000873359,0.0146601,500,1,492.810515869,0.437307,37.1665,4650.69135166,4487.75,0.002,100,1.00144,493.271402505,0.00257184,0.6,4650.69135166,4650.69135166,11178.1174442,1.28777,1.01364,4659.8,11178.1174442,498.89
3.50449e-18,0.01,,500,2,100.0,1.0,19.5516,4660.79695417,4278.74,0.01,100,1.0,500.0,0.01,0.6,4660.79695417,4660.79695417,386.126567614,1.0,1.0,4660.8,386.126567614,500.0
2.1793e-19,0.005,,500,2,200.000000102,1.0,17.8964,4661.13518861,4390.77,0.005,100,1.0,500.0,0.005,0.6,4661.13518861,4661.13518861,260.851171301,1.0,1.0,4660.97,260.851171301,500.0
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,18.7188,4661.32719089,4440.47,0.00333333,100,1.0,500.0,0.00333333,0.6,4661.32719089,4661.32719089,414.677519518,1.0,1.0,4661.09,414.677519518,500.0
