EpsThisIter,VarNormIw,VarVanillaIw,MinVanillaIw,VarJ,ESSClassic,BatchSize,J,IterType,AvgDiscRet,ESSRenyi,VanillaAvgRet,delta,AvgRet,MinNormIw,AvgEpLen,MaxVanillaIw,AvgVanillaIw,VarDiscRet,AvgNormIw,MaxNormIw,VarRet,Bound,renyi2,SamplesThisIter
124,2.25376e-09,1.09823,4.65856e-26,6779.42,2.23373733229,100,880535.0,1,4029.75959574,nan,4029.75959574,0.6,4029.75959574,2.11037e-30,403.225806452,7.73873,0.989006,3212094.48553,4.48029e-05,0.000350572,3212094.48553,4572.3,nan,50000
116,1.33532e-09,0.510843,2.74273e-11,7077.14,1.95074161614,100,883232.0,1,4308.38006445,nan,4308.38006445,0.6,4308.38006445,1.40227e-15,431.034482759,5.08074,0.936744,2968574.72955,4.78927e-05,0.000259762,2968574.72955,4586.4,nan,50000
120,1.8113e-09,0.84423,1.90685e-18,6381.73,2.10003631094,100,883514.0,1,4164.41421863,nan,4164.41421863,0.6,4164.41421863,8.83244e-23,416.666666667,11.2416,0.999498,3276123.46866,4.62963e-05,0.000520705,3276123.46866,4578.31,nan,50000
124,2.16632e-09,1.16147,4.3893e-32,8005.94,2.40439668308,100,876871.0,1,4029.75686462,nan,4029.75686462,0.6,4029.75686462,1.89563e-36,403.225806452,11.0162,1.0374,3509595.64838,4.48029e-05,0.00047576,3509595.64838,4579.77,nan,50000
108,8.09387e-10,0.286364,3.15252e-06,4626.24,1.35766211137,100,891713.0,1,4628.23471253,nan,4628.23471253,0.6,4628.23471253,1.67601e-10,462.962962963,3.10543,0.967576,1711218.9782,5.14403e-05,0.000165098,1711218.9782,4588.23,nan,50000
108,9.29212e-10,0.340056,5.78797e-07,4548.16,1.38060603445,100,889820.0,1,4628.25812509,nan,4628.25812509,0.6,4628.25812509,3.02558e-11,462.962962963,3.21589,0.98406,1395890.00174,5.14403e-05,0.000168106,1395890.00174,4581.31,nan,50000
124,1.99412e-09,0.984419,3.96358e-17,7583.53,2.69980488063,100,879168.0,1,4029.75255653,nan,4029.75255653,0.6,4029.75255653,1.78391e-21,403.225806452,7.32834,0.995452,3522704.41675,4.48029e-05,0.000329831,3522704.41675,4580.51,nan,50000
116,1.38169e-09,0.529393,1.82581e-11,6421.75,2.35630531033,100,885154.0,1,4308.36940161,nan,4308.36940161,0.6,4308.36940161,9.32762e-16,431.034482759,6.79816,0.937461,2971879.13853,4.78927e-05,0.000347302,2971879.13853,4586.64,nan,50000
112,1.32725e-09,0.47072,4.72695e-11,5036.9,1.92859486505,100,888385.0,1,4462.60192534,nan,4462.60192534,0.6,4462.60192534,2.51001e-15,446.428571429,3.64679,0.934145,2211236.13497,4.96032e-05,0.000193645,2211236.13497,4582.1,nan,50000
104,4.6229e-10,0.153758,4.99694e-05,3215.56,1.28712718528,100,895354.0,1,4806.66244013,nan,4806.66244013,0.6,4806.66244013,2.73994e-09,480.769230769,2.36316,0.974218,933136.342503,5.34188e-05,0.000129578,933136.342503,4590.45,nan,50000
100,1.12894e-15,3.6578e-07,0.988893,0.690482,0.555676952589,100,899877.0,1,4999.31588136,,4999.31588136,0.6,4999.31588136,5.49382e-05,500.0,1.00991,1.0,0.00267418417992,5.55556e-05,5.61056e-05,0.00267418417992,4591.12,inf,50000
