#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-87.129829,10,2.773587
-69.364782,10,2.776595
-71.06448,10,2.779598
-33.448968,10,2.782603
-61.306017,10,2.785609
-21.062907,10,2.788565
-69.890586,10,2.791495
-131.581482,10,2.794384
-33.003057,10,2.797355
-68.836043,10,2.800332
-36.725851,10,2.803318
-33.604512,10,2.806263
-27.527538,10,2.809185
-30.795403,10,2.812165
-94.117849,10,2.81516
-41.24272,10,2.818248
-41.055429,10,2.821191
-52.296951,10,2.824139
-50.279786,10,2.827106
-59.360774,10,2.830008
-54.20836,10,2.833067
-87.22674,10,2.836017
-115.399836,10,2.838933
-26.937169,10,2.841878
-16.667268,10,2.844801
-50.867082,10,2.847736
-24.965076,10,2.850727
-104.901918,10,2.853653
-47.508685,10,2.856619
-41.000671,10,2.859595
-81.586128,10,2.862476
-91.995881,10,2.865546
-34.278416,10,2.868523
-86.606557,10,2.871453
-74.732563,10,2.874385
-25.522487,10,2.877394
-18.414357,10,2.880438
-104.832538,10,2.883428
-57.294002,10,2.886317
-35.875696,10,2.890363
-82.987826,10,2.893783
-14.385902,10,2.897065
-41.126644,10,2.900095
-15.416255,10,2.903225
-63.085702,10,2.906234
-70.225723,10,2.909353
-79.787502,10,2.912291
-101.37842,10,2.915435
-87.789553,10,2.918585
-113.544962,10,2.921626
-27.450817,10,2.92464
-125.0318,10,2.927787
-19.972608,10,2.930801
-54.944707,10,2.933821
-38.632021,10,2.936842
-72.190244,10,2.93983
-37.278393,10,2.942765
-20.566849,10,2.945745
-9.360438,10,2.94866
-70.456717,10,2.951596
-23.452893,10,2.954667
-22.886128,10,2.957627
-70.300645,10,2.96059
-66.188279,10,2.963699
-106.887178,10,2.966579
-4.613094,10,2.969504
-61.865512,10,2.972503
-26.452834,10,2.975832
-28.968055,10,2.979076
-42.173747,10,2.982306
-22.77845,10,2.985795
-72.211769,10,2.989223
-34.98755,10,2.992242
-55.484995,10,2.995682
-88.452417,10,2.998771
-16.780526,10,3.001782
-78.3303,10,4.117767
-31.15601,10,4.121603
-54.968122,10,4.125084
-46.034131,10,4.12918
-84.695093,10,4.132791
-62.656071,10,4.136145
-33.139717,10,4.139735
-99.80477,10,4.143088
-49.898439,10,4.146073
-40.883222,10,4.14906
-43.984105,10,4.152108
-74.848562,10,4.154996
-14.561483,10,4.158728
-39.648563,10,4.163549
-7.629677,10,4.166577
-51.189599,10,4.169586
-20.037166,10,4.172641
-9.545133,10,4.17574
-47.545732,10,4.178736
-50.602551,10,4.181779
-76.559633,10,4.184878
-69.017801,10,4.187876
-33.624313,10,4.190818
-32.422514,10,4.193931
-37.56798,10,4.19689
-22.590505,10,4.199903
-22.057713,10,4.202853
-99.433291,10,4.205748
-45.752678,10,4.208757
-94.765806,10,4.211691
-41.825225,10,4.214625
-95.011412,10,4.21771
-81.099075,10,4.220664
-68.89922,10,4.223618
-42.513739,10,4.226565
-37.235212,10,4.229503
-66.257353,10,4.232531
-74.474655,10,4.235524
-20.86277,10,4.238557
-37.950185,10,4.241645
-17.868127,10,4.244623
-14.540644,10,4.247632
-21.156491,10,4.250541
-22.238154,10,4.253471
-54.585444,10,4.256529
-31.63833,10,4.25948
-81.36755,10,4.262417
-62.222262,10,4.265469
-37.040299,10,4.26847
-16.205612,10,4.271424
-66.22753,10,4.274437
-39.072343,10,4.277416
-22.803916,10,4.280415
-40.923324,10,4.283399
-35.96566,10,4.286325
