Bound,EpLenMean,MaxIWNorm,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnStd,StdIW,InitialBound,MeanIWNorm,TimestepsSoFar,EpThisIter,InitialReturnMax,StdIWNorm,MinIW,ReturnStepMax,MeanEntropy,Iteration,InitialReturnMin,MinIWNorm,MeanIW,J_sample_variance,VarianceInit,ReturnMeanIW,OptimizationReturnMax,TimeElapsed,EpisodesSoFar,ESSClassic,MaxIW,OptimizationReturnMin,EpRewMean,LearnableVariance,EmpiricalD2,ESSRenyi
2887.841,500.0,108.78725,12.679086,25.959057,0.07297662,4.5134773,1082.3335,24.213861,1.0979204,1350000,100,34.903854,10.823335,9.43274e-07,0.25752726,2.3925526,27,13.27997,9.43274e-09,109.79202,458533950.0,-1,3610.6853,21.623884,6124.280075311661,2700,1.0185287,10878.725,,25.959055856919914,True,171554.77,0.00058290426
2158.5708,500.0,104.96575,12.77886,26.018265,0.023925275,4.803583,1044.3096,24.168545,1.0619009,1400000,100,36.9944,10.443096,2.5299983e-06,0.2630862,2.3734047,28,13.239407,2.5299983e-08,106.19009,181702700.0,-1,2769.2961,23.754993,6360.904286146164,2800,1.023392,10496.575,,26.01826610212824,True,109013.37,0.0009173187
507.6815,500.0,22.58841,9.325114,28.788857,0.06855264,4.12863,224.70123,26.877102,0.23161018,1450000,100,38.2351,2.2470124,0.000106852,0.24328718,2.4032297,29,19.463743,1.06852e-06,23.161016,2233445.8,-1,598.09033,18.771357,6626.576869487762,2900,1.0512705,2258.841,,28.78885728482973,True,2236.4412,0.044713896
13185.65,500.0,431.328,12.94912,28.376942,0.0615364,4.7362957,4291.4907,26.462772,4.334742,1500000,100,38.28336,42.914913,7.7093986e-08,0.25840253,2.3665688,30,15.42782,7.7093987e-10,433.47418,7582064600.0,-1,15398.303,22.85554,6889.184518575668,3000,1.0099542,43132.8,,28.37694005939516,True,1336183.4,7.484003e-05
57042.504,500.0,2368.6646,9.758278,30.328053,0.030626297,3.3471096,23567.885,28.40915,23.689741,1550000,100,38.377987,235.67883,5.322918e-08,0.2363636,2.370965,31,20.569773,5.3229177e-10,2368.974,75238580000.0,-1,75721.15,17.808214,7133.212951898575,3100,1.0002613,236866.45,,30.328050633661373,True,94751550.0,1.0553916e-06
5833.2983,500.0,222.69217,12.829272,33.67423,0.029216006,3.8277545,2215.691,31.593414,2.2342436,1600000,100,41.616367,22.15691,1.0983126e-07,0.23125692,2.3413017,32,20.844957,1.0983126e-09,223.42438,792108540.0,-1,7444.133,20.77141,7326.839744567871,3200,1.0065818,22269.217,,33.67422920956812,True,599285.2,0.00016686546
26217.693,500.0,841.4267,10.860274,32.70243,0.03250268,3.7977495,8372.083,30.64784,8.415035,1650000,100,41.09179,83.720825,5.3977953e-07,0.22050714,2.3594906,33,21.842157,5.397795e-09,841.5036,12979885000.0,-1,29623.197,19.249632,7512.8551959991455,3300,1.0001827,84142.67,,32.70243065219679,True,2747342.8,3.6398807e-05
4509.964,500.0,243.29626,11.560796,31.32559,0.03470266,4.297319,2420.69,29.263214,2.4412642,1700000,100,41.247486,24.2069,3.1359189e-06,0.28699702,2.4122314,34,19.764793,3.135919e-08,244.12642,176730880.0,-1,6071.923,21.482693,7704.514950037003,3400,1.0068307,24329.627,,31.325589852892037,True,573593.6,0.00017433945
20071.7,500.0,728.4136,9.689841,29.315945,0.0124078095,3.7912107,7247.571,27.239681,7.2895555,1750000,100,41.525215,72.47569,5.0357745e-08,0.26499438,2.4215152,35,19.626102,5.0357746e-10,728.95557,6413840400.0,-1,22190.377,21.899113,7903.587916612625,3500,1.0014886,72841.36,,29.315943366079797,True,1041276.6,9.603596e-05
3140.0757,500.0,140.21906,11.017102,30.092085,0.015873954,3.89578,1395.1461,28.047192,1.4038397,1800000,100,40.897896,13.951459,2.0484184e-07,0.26136115,2.3427396,36,19.074986,2.0484183e-09,140.38399,307459300.0,-1,4411.0522,21.82291,8117.340289354324,3600,1.0023531,14021.906,,30.09208701105895,True,386307.6,0.00025886108
