InitialReturnMax,TimeElapsed,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,MaxIWNorm,MeanIWNorm,LearnableVariance,ReturnMeanIW,InitialReturnStd,ESSRenyi,TimestepsSoFar,EpThisIter,OptimizationReturnMin,J_sample_variance,Bound,MinIWNorm,MeanIW,StdIWNorm,Iteration,StdIW,ReturnStepMax,EpisodesSoFar,EmpiricalD2,VarianceInit,MeanEntropy,ESSClassic,EpLenMean,InitialBound,MaxIW,EpRewMean,OptimizationReturnMax
39.777737,6342.348054409027,11.8177,31.949741,0.0053862035,20.13204,7.57079e-08,775.34125,7.7544103,True,27166.24,3.6714523,7.144746e-05,1400000,100,,13594557000.0,24813.27,7.57079e-10,775.4411,77.14538,28,7714.5376,0.18395132,2800,1399629.9,-1,2.617676,1.0002576,500.0,29.960854,77534.125,31.949740209036968,19.645697
40.41342,6600.576663732529,9.484787,33.79601,0.053329974,24.31122,6.383306e-06,403.66898,4.039183,True,15062.568,3.606403,0.00014827044,1450000,100,,2843409000.0,13403.103,6.3833056e-08,403.91833,40.164307,29,4016.431,0.26212108,2900,674443.25,-1,2.6025453,1.0012357,500.0,31.775337,40366.9,33.796007021458216,16.102201
44.24656,6875.024520874023,8.671036,35.345367,0.03574601,26.67433,1.5320063e-08,1166.6465,11.685315,True,42258.93,3.8557448,1.5317357e-05,1500000,100,,13242495000.0,36606.207,1.5320063e-10,1168.5317,116.07808,30,11607.81,0.24288021,3000,6528541.5,-1,2.5364916,1.0032322,500.0,33.13304,116664.66,35.34536589686327,17.57223
42.350227,7141.174919843674,8.75003,34.559208,0.077048525,25.809177,4.7331974e-07,101.33396,1.0320172,True,3412.686,3.3296998,0.00048315962,1550000,100,,60960116.0,2449.3442,4.7331974e-09,103.201706,10.082286,31,1008.2286,0.27257773,3100,206970.94,-1,2.4925463,1.0368813,500.0,32.441696,10133.396,34.55920704981351,16.54105
44.18234,7355.439784288406,8.677236,34.57195,0.066885576,25.894712,2.3440994e-09,543.8688,5.4414515,True,19512.701,3.1535573,5.8049158e-05,1600000,100,,3138039800.0,16613.217,2.3440992e-11,544.14514,54.11398,32,5411.399,0.31533638,3200,1722677.9,-1,2.4417646,1.0010164,500.0,32.362827,54386.88,34.57194752717335,18.287626
42.223877,7544.726489067078,10.053193,35.020565,0.01926735,24.967373,6.525711e-07,1130.8864,11.309744,True,44561.285,3.6405005,0.00033680364,1650000,100,,27448052000.0,43410.91,6.5257106e-09,1130.9745,112.521675,33,11252.169,0.25820592,3300,296908.9,-1,2.4098868,1.0001557,500.0,32.909367,113088.64,35.02056508921717,17.256504
44.250492,7730.186998844147,9.964363,37.272045,0.06454465,27.307684,2.7216014e-08,1015.5653,10.161441,True,27754.363,3.5187755,1.3140948e-06,1700000,100,,777761860.0,8453.588,2.7216013e-10,1016.144,101.046906,34,10104.688,0.2492265,3400,76098010.0,-1,2.4144282,1.0011396,500.0,35.059525,101556.53,37.27204798440787,16.942808
42.196365,7933.2203776836395,7.411734,34.390392,0.041098446,26.97866,0.00016492589,8.766424,0.09622149,True,322.09946,2.966069,0.12760988,1750000,100,,375651.16,263.03818,1.6492589e-06,9.622149,0.87228304,35,87.22831,0.25382528,3500,783.6384,-1,2.431152,1.2021995,500.0,32.280575,876.64246,34.39039420371821,15.217705
40.932705,8137.817612409592,7.3237166,34.46538,0.042682722,27.141666,6.965031e-07,230.83803,2.3183906,True,6890.2437,2.991403,0.00014005073,1800000,100,,75163510.0,5160.8345,6.9650308e-09,231.83908,22.96714,36,2296.7136,0.22878872,3600,714026.94,-1,2.4251704,1.0086874,500.0,32.418747,23083.803,34.46538227030405,13.7910385
38.44278,8356.14818406105,9.179658,32.81616,0.017442837,23.636501,0.005999256,0.4390864,0.017910898,True,60.61534,3.1573,16.802778,1850000,100,,5772.7676,55.92619,5.999256e-05,1.7910899,0.051346917,37,5.1346917,0.20923333,3700,5.9513965,-1,2.4136012,10.847721,500.0,30.89402,43.90864,32.81615940813655,14.806278
41.50194,8564.847676038742,9.69039,32.889427,0.034756526,23.199038,4.138556e-08,922.2107,9.224373,True,33488.62,3.296401,0.00016685399,1900000,100,,15070740000.0,31882.16,4.1385562e-10,922.4373,91.758575,38,9175.858,0.2546676,3800,599326.4,-1,2.3886404,1.0004915,500.0,30.814331,92221.07,32.88942672488949,18.302904
42.547256,8858.831106901169,7.8793406,33.907127,0.023416758,26.027786,3.0714718e-06,44.588367,0.45898795,True,1773.4071,3.4342613,0.0021461258,1950000,100,,33925510.0,1314.1943,3.0714716e-08,45.898792,4.436825,39,443.68246,0.3116912,3900,46595.59,-1,2.3724446,1.0588512,500.0,31.77976,4458.837,33.90712699481543,16.51947
43.064556,9144.021345615387,9.61049,35.179222,0.033723667,25.568731,4.690153e-08,140.93777,1.412581,True,4564.4146,3.1111858,0.0009826758,2000000,100,,103302570.0,3877.5283,4.6901527e-10,141.2581,14.022815,40,1402.2815,0.2526386,4000,101762.96,-1,2.2918437,1.00455,500.0,33.02599,14093.778,35.179221494831,17.495825
45.801052,9421.07656955719,8.398936,35.83035,0.094460115,27.43141,6.434837e-08,1960.38,19.60481,True,70749.42,3.4147265,1.0475814e-05,2050000,100,,31718916000.0,63674.01,6.434837e-10,1960.4811,195.05522,41,19505.523,0.3230002,4100,9545798.0,-1,2.3032486,1.0001031,500.0,33.540295,196038.0,35.8303469800534,18.369642
48.373795,9687.925793170929,8.709078,38.833126,0.017839983,30.124052,5.38966e-06,16.496658,0.1734838,True,690.2323,3.7376518,0.01572488,2100000,100,,2796851.0,497.3526,5.38966e-08,17.348383,1.640823,42,164.0823,0.23614244,4200,6359.3486,-1,2.29126,1.1055198,500.0,36.41444,1649.6659,38.833131258198485,18.249743
45.463924,9905.295459032059,8.276531,39.15392,0.10234183,30.87739,3.689362e-07,21.397526,0.21966015,True,781.7622,3.2418466,0.023746444,2150000,100,,1457441.5,634.2467,3.6893621e-09,21.966013,2.1285996,43,212.85995,0.29170713,4300,4211.1567,-1,2.3171105,1.0536929,500.0,36.880726,2139.7527,39.15392085587173,14.5865345
46.50278,10119.332364320755,12.193594,36.902878,0.0023325682,24.709282,4.931378e-09,391.9982,3.9213746,True,15369.844,3.810856,3.7102993e-05,2200000,100,,3319724500.0,11552.647,4.931378e-11,392.13742,39.003185,44,3900.3186,0.27518013,4400,2695200.2,-1,2.2905605,1.0007105,500.0,34.577732,39199.82,36.90287580148822,21.793499
