Bound,AvgDiscRet,AvgVanillaIw,VarRet,ESSClassic,VarNormIw,AvgNormIw,AvgEpLen,VarVanillaIw,MinNormIw,J,VanillaAvgRet,VarDiscRet,VarJ,BatchSize,eRenyi2,MaxNormIw,AvgRet,ESSRenyi,MaxVanillaIw,MinVanillaIw,EpsThisIter,IterType
15.797014,23.63558290985688,1.0,1294.7722151925607,100.0,3.5044917e-18,0.009999998,103.89,,0.01,23.63558,23.63558290985688,1294.7722151925607,35.802574,400,1.0,0.01,23.63558290985688,400.0,1.0,1.0,100,2
12.111164,16.38593983434797,1.0,1579.8804510482098,200.00000010221265,2.179301e-19,0.0049999994,102.7,,0.005,20.01076,16.38593983434797,1579.8804510482098,37.89581,400,1.0,0.005,16.38593983434797,400.0,1.0,1.0,100,2
13.880861,24.814506548834057,1.0,1393.209720824909,299.999969473632,5.4391416e-20,0.0033333336,102.24,,0.0033333334,21.612011,24.814506548834057,1393.209720824909,37.713158,400,1.0,0.0033333334,24.814506548834057,400.0,1.0,1.0,100,2
14.223322,21.947657374784868,1.2351205,1448.3392623373422,343.2724927156229,1.0354328e-06,0.0025,108.24,0.25273216,8.170375e-10,21.32534,26.604711974175466,1107.35121347231,41.41087,500,1.1251597,0.0066258684,26.604711974175466,444.38134606639767,3.2734985,4.0365592e-07,100,
128.45152,16.588979325049362,3963.6277,910.4740338244435,1.0004844545264622,0.00199903,0.002,101.67,7851362000.0,1.5791022e-07,133.798,16.588979325049362,910.4740338244435,0.5744055,500,1.1266985,0.9997579,16.588979325049362,443.7744460310353,1981334.0,0.31294867,100,1
8.277702,20.258012201423302,1.0,1370.187231931607,100.0,3.5044917e-18,0.009999998,111.86,,0.01,20.258013,20.258012201423302,1370.187231931607,36.830494,500,1.0,0.01,20.258012201423302,500.0,1.0,1.0,100,2
14.28337,25.251446660620413,1.0,1903.7481249058817,200.00000010221265,2.179301e-19,0.0049999994,110.03,,0.005,22.754728,25.251446660620413,1903.7481249058817,40.334,500,1.0,0.005,25.251446660620413,500.0,1.0,1.0,100,2
15.91607,22.989251185190355,1.0,1180.0969410398507,299.999969473632,5.4391416e-20,0.0033333336,106.91,,0.0033333334,22.832905,22.989251185190355,1180.0969410398507,38.392693,500,1.0,0.0033333334,22.989251185190355,500.0,1.0,1.0,100,2
16.327766,20.77297594477742,1.0,989.9397552075338,400.0,5.434597e-20,0.0024999997,102.25,,0.0025,22.31792,20.77297594477742,989.9397552075338,36.760098,500,1.0,0.0025,20.77297594477742,500.0,1.0,1.0,100,2
136.4445,22.557099421731213,27767.545,1373.0689132551406,1.000075055875003,0.0019998495,0.002,106.23,385489200000.0,1.1284185e-08,142.34413,22.557099421731213,1373.0689132551406,0.08676516,500,1.2125014,0.99996245,22.557099421731213,412.37065561297146,13883251.0,0.15666705,100,1
11.435339,19.502581527458645,1.0,1239.8816297771957,100.0,3.5044917e-18,0.009999998,102.25,,0.01,19.50258,19.502581527458645,1239.8816297771957,35.03545,500,1.0,0.01,19.502581527458645,500.0,1.0,1.0,100,2
5.921218,16.802625827740147,1.0,1346.466114820591,200.00000010221265,2.179301e-19,0.0049999994,105.66,,0.005,18.152603,16.802625827740147,1346.466114820591,35.805927,500,1.0,0.005,16.802625827740147,500.0,1.0,1.0,100,2
