Delta,VarVanillaIw,IterType,BatchSize,AvgNormIw,Bound,J,AvgDiscRet,MinVanillaIw,ESSRenyi,VarJ,AvgEpLen,AvgVanillaIw,MaxVanillaIw,AvgRet,VarNormIw,VarDiscRet,VanillaAvgRet,ESSClassic,VarRet,eRenyi2,MaxNormIw,MinNormIw,EpsThisIter
0.7,,2,500,0.005,1248.4,1371.34,1363.03731997,1.0,500.0,479.136,148.04,1.0,1.0,1363.03731997,2.1793e-19,270305.274574,1363.03731997,200.000000102,270305.274574,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1284.41,1384.79,1411.68656611,1.0,500.0,460.449,153.48,1.0,1.0,1411.68656611,5.43914e-20,177588.012955,1411.68656611,299.999969474,177588.012955,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1291.01,1377.94,1357.39638284,1.0,500.0,454.87,147.46,1.0,1.0,1357.39638284,5.4346e-20,192951.992139,1357.39638284,400.0,192951.992139,1.0,0.0025,0.0025,100
0.7,1807.75,1,500,0.002,1765.83,2170.68,1382.59511185,4.57362e-09,20.4270826848,4103.15,150.17,3.07959,944.033,1382.59511185,0.000762448,193069.483068,1382.59511185,2.61464228618,193069.483068,24.4773,0.61309,2.97027e-12,100
0.7,,2,500,0.01,1319.54,1549.8,1549.80018141,1.0,500.0,495.324,168.51,1.0,1.0,1549.80018141,3.50449e-18,247824.087018,1549.80018141,100.0,247824.087018,1.0,0.01,0.01,100
0.7,,2,500,0.005,1394.03,1604.04,1658.27290398,1.0,500.0,519.23,179.99,1.0,1.0,1658.27290398,2.1793e-19,290879.188288,1658.27290398,200.000000102,290879.188288,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1414.16,1585.63,1548.82949677,1.0,500.0,493.449,168.24,1.0,1.0,1548.82949677,5.43914e-20,191156.970338,1548.82949677,299.999969474,191156.970338,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1433.83,1582.33,1572.42180251,1.0,500.0,490.949,170.89,1.0,1.0,1572.42180251,5.4346e-20,235875.09616,1572.42180251,400.0,235875.09616,1.0,0.0025,0.0025,100
0.7,4180.48,1,500,0.002,2806.17,3807.79,1595.00693915,3.88378e-14,8.79212282892,10044.4,173.09,3.91388,1442.28,1595.00693915,0.00109162,231488.184631,1595.00693915,1.82909206689,231488.184631,56.8691,0.737006,1.98462e-17,100
0.7,,2,500,0.01,1496.81,1768.57,1768.57058064,1.0,500.0,577.658,192.58,1.0,1.0,1768.57058064,3.50449e-18,337059.680575,1768.57058064,100.0,337059.680575,1.0,0.01,0.01,100
0.7,,2,500,0.005,1538.06,1730.22,1691.87398655,1.0,500.0,563.939,184.42,1.0,1.0,1691.87398655,2.1793e-19,302449.593053,1691.87398655,200.000000102,302449.593053,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1575.32,1732.22,1736.22412103,1.0,500.0,563.264,189.48,1.0,1.0,1736.22412103,5.43914e-20,318907.561067,1736.22412103,299.999969474,318907.561067,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1614.52,1750.4,1804.95084676,1.0,500.0,560.436,196.36,1.0,1.0,1804.95084676,5.4346e-20,303625.684872,1804.95084676,400.0,303625.684872,1.0,0.0025,0.0025,100
0.7,9295.39,1,500,0.002,3222.01,3776.25,1770.20246864,2.79039e-09,24.0420185046,6923.22,192.89,5.25854,2156.12,1770.20246864,0.00134461,331387.189359,1770.20246864,1.48597225995,331387.189359,20.7969,0.820044,1.06128e-12,100
0.7,,2,500,0.01,1510.21,1722.55,1722.54940459,1.0,500.0,518.664,188.17,1.0,1.0,1722.54940459,3.50449e-18,271729.510269,1722.54940459,100.0,271729.510269,1.0,0.01,0.01,100
0.7,,2,500,0.005,1635.75,1830.1,1937.6495481,1.0,500.0,576.917,210.84,1.0,1.0,1937.6495481,2.1793e-19,377293.714765,1937.6495481,200.000000102,377293.714765,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1655.98,1814.67,1783.79869858,1.0,500.0,566.207,194.55,1.0,1.0,1783.79869858,5.43914e-20,297652.054092,1783.79869858,299.999969474,297652.054092,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1669.89,1807.32,1785.27463851,1.0,500.0,564.356,195.13,1.0,1.0,1785.27463851,5.4346e-20,314719.6687,1785.27463851,400.0,314719.6687,1.0,0.0025,0.0025,100
0.7,518.642,1,500,0.002,1943.82,2267.6,1750.40547589,3.26145e-05,72.0594768868,3503.13,191.22,2.11709,496.965,1750.40547589,0.000462861,325360.816328,1750.40547589,4.29244173785,325360.816328,6.93871,0.46948,3.08108e-08,100
0.7,,2,500,0.01,1639.05,1840.51,1840.51258482,1.0,500.0,533.763,200.88,1.0,1.0,1840.51258482,3.50449e-18,287780.972616,1840.51258482,100.0,287780.972616,1.0,0.01,0.01,100
0.7,,2,500,0.005,1697.0,1859.23,1877.95425912,1.0,500.0,549.313,204.77,1.0,1.0,1877.95425912,2.1793e-19,321096.88972,1877.95425912,200.000000102,321096.88972,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1748.93,1881.39,1925.71426817,1.0,500.0,535.572,209.96,1.0,1.0,1925.71426817,5.43914e-20,256642.252793,1925.71426817,299.999969474,256642.252793,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1769.57,1884.29,1892.96930297,1.0,500.0,548.701,206.28,1.0,1.0,1892.96930297,5.4346e-20,347148.370832,1892.96930297,400.0,347148.370832,1.0,0.0025,0.0025,100
0.7,1437.09,1,500,0.002,2516.08,3021.43,1965.38740316,5.403e-06,21.2986208106,6014.19,214.1,2.39664,847.638,1965.38740316,0.00100078,356012.608122,1965.38740316,1.99445386089,356012.608122,23.4757,0.707357,4.50882e-09,100
0.7,,2,500,0.01,1890.26,2146.78,2146.77841617,1.0,500.0,670.64,233.69,1.0,1.0,2146.77841617,3.50449e-18,454301.475453,2146.77841617,100.0,454301.475453,1.0,0.01,0.01,100
0.7,,2,500,0.005,1899.97,2085.87,2024.95337458,1.0,500.0,636.402,220.65,1.0,1.0,2024.95337458,2.1793e-19,356400.330645,2024.95337458,200.000000102,356400.330645,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1886.06,2037.84,1941.78814216,1.0,500.0,648.879,211.8,1.0,1.0,1941.78814216,5.43914e-20,443715.148388,1941.78814216,299.999969474,443715.148388,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1888.17,2026.87,1993.95179938,1.0,500.0,646.588,217.7,1.0,1.0,1993.95179938,5.4346e-20,411847.492887,1993.95179938,400.0,411847.492887,1.0,0.0025,0.0025,100
0.7,2486.35,1,500,0.002,2614.1,3140.72,1985.67812971,5.3493e-05,32.3403793343,6838.89,216.83,3.36909,1112.99,1985.67812971,0.000876188,425571.690938,1985.67812971,2.27678092441,425571.690938,15.4605,0.660705,3.17552e-08,100
0.7,,2,500,0.01,1759.33,2048.4,2048.40350726,1.0,500.0,709.976,223.36,1.0,1.0,2048.40350726,3.50449e-18,509157.980882,2048.40350726,100.0,509157.980882,1.0,0.01,0.01,100
0.7,,2,500,0.005,1788.52,1992.92,1937.44545673,1.0,500.0,645.492,211.41,1.0,1.0,1937.44545673,2.1793e-19,326361.574686,1937.44545673,200.000000102,326361.574686,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1844.75,2011.65,2049.09978941,1.0,500.0,640.29,223.55,1.0,1.0,2049.09978941,5.43914e-20,398474.297093,2049.09978941,299.999969474,398474.297093,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1879.62,2024.15,2061.67091061,1.0,500.0,652.122,224.69,1.0,1.0,2061.67091061,5.4346e-20,474004.982245,2061.67091061,400.0,474004.982245,1.0,0.0025,0.0025,100
0.7,6975.8,1,500,0.002,2981.97,3565.96,2100.72017773,3.94732e-06,24.5029452345,6085.7,228.8,4.61195,1867.52,2100.72017773,0.00131185,372695.287381,2100.72017773,1.52296501146,372695.287381,20.4057,0.809861,1.71178e-09,100
0.7,,2,500,0.01,1820.05,2037.65,2037.65072092,1.0,500.0,539.878,221.74,1.0,1.0,2037.65072092,3.50449e-18,294411.873947,2037.65072092,100.0,294411.873947,1.0,0.01,0.01,100
0.7,,2,500,0.005,1826.13,2020.05,2002.44338259,1.0,500.0,588.024,218.22,1.0,1.0,2002.44338259,2.1793e-19,403492.695307,2002.44338259,200.000000102,403492.695307,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1879.35,2037.68,2072.95775904,1.0,500.0,589.409,225.8,1.0,1.0,2072.95775904,5.43914e-20,352320.84255,2072.95775904,299.999969474,352320.84255,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1912.1,2049.22,2083.82548929,1.0,500.0,587.008,226.54,1.0,1.0,2083.82548929,5.4346e-20,337887.219835,2083.82548929,400.0,337887.219835,1.0,0.0025,0.0025,100
0.7,4844.32,1,500,0.002,2770.0,3372.22,2065.00381947,3.44024e-07,20.7374423863,5641.76,224.92,4.0293,1555.61,2065.00381947,0.00119353,296422.060068,2065.00381947,1.67344173149,296422.060068,24.111,0.77215,1.70761e-10,100
0.7,,2,500,0.01,1759.28,2005.82,2005.81995385,1.0,500.0,543.897,218.38,1.0,1.0,2005.81995385,3.50449e-18,298812.185205,2005.81995385,100.0,298812.185205,1.0,0.01,0.01,100
0.7,,2,500,0.005,1823.83,1998.16,1990.50563264,1.0,500.0,511.114,216.64,1.0,1.0,1990.50563264,2.1793e-19,228822.455998,1990.50563264,200.000000102,228822.455998,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1803.85,1979.6,1942.46284179,1.0,500.0,544.381,211.75,1.0,1.0,1942.46284179,5.43914e-20,368188.778076,1942.46284179,299.999969474,368188.778076,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1839.0,1991.2,2025.99182183,1.0,500.0,560.61,221.02,1.0,1.0,2025.99182183,5.4346e-20,370172.054915,2025.99182183,400.0,370172.054915,1.0,0.0025,0.0025,100
0.7,1255.56,1,500,0.002,2283.99,2745.89,1993.02041398,3.7962e-06,43.4295357257,4798.1,216.91,2.43037,791.237,1993.02041398,0.000850262,264257.05357,1993.02041398,2.34587172935,264257.05357,11.5129,0.651124,3.12397e-09,100
0.7,,2,500,0.01,1775.3,1984.61,1984.60759694,1.0,500.0,490.66,216.45,1.0,1.0,1984.60759694,3.50449e-18,243178.995314,1984.60759694,100.0,243178.995314,1.0,0.01,0.01,100
0.7,,2,500,0.005,1845.56,2020.08,2055.56200779,1.0,500.0,534.379,223.94,1.0,1.0,2055.56200779,2.1793e-19,331169.331337,2055.56200779,200.000000102,331169.331337,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1915.35,2057.86,2133.40192181,1.0,500.0,543.731,232.11,1.0,1.0,2133.40192181,5.43914e-20,310351.43992,2133.40192181,299.999969474,310351.43992,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1914.94,2064.62,2084.92956836,1.0,500.0,563.783,227.02,1.0,1.0,2084.92956836,5.4346e-20,387802.052809,2084.92956836,400.0,387802.052809,1.0,0.0025,0.0025,100
0.7,42.2049,1,500,0.002,2074.05,2360.4,1999.37987748,0.00191502,109.303919489,2863.31,217.76,1.32967,136.48,1999.37987748,9.54853e-05,303780.475759,1999.37987748,20.1421392662,303780.475759,4.5744,0.205284,2.88044e-06,100
0.7,,2,500,0.01,1816.25,2055.91,2055.90984645,1.0,500.0,617.418,223.88,1.0,1.0,2055.90984645,3.50449e-18,385055.886124,2055.90984645,100.0,385055.886124,1.0,0.01,0.01,100
0.7,,2,500,0.005,1880.2,2095.68,2135.45589462,1.0,500.0,642.777,232.5,1.0,1.0,2135.45589462,2.1793e-19,446419.161466,2135.45589462,200.000000102,446419.161466,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1917.88,2094.1,2090.93357852,1.0,500.0,638.412,227.36,1.0,1.0,2090.93357852,5.43914e-20,400373.892789,2090.93357852,299.999969474,400373.892789,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1936.2,2088.8,2072.91929356,1.0,500.0,638.51,225.74,1.0,1.0,2072.91929356,5.4346e-20,411854.567328,2072.91929356,400.0,411854.567328,1.0,0.0025,0.0025,100
0.7,36.248,1,500,0.002,2246.96,2710.9,2192.77852323,0.00206492,43.2790182843,7540.05,238.55,1.23707,128.836,2192.77852323,9.47442e-05,394255.770795,2192.77852323,20.2932938802,394255.770795,11.5529,0.208291,3.33839e-06,100
0.7,,2,500,0.01,1770.01,2073.2,2073.1969651,1.0,500.0,603.487,225.71,1.0,1.0,2073.1969651,3.50449e-18,367875.783294,2073.1969651,100.0,367875.783294,1.0,0.01,0.01,100
0.7,,2,500,0.005,1870.04,2084.42,2095.65079878,1.0,500.0,603.942,228.23,1.0,1.0,2095.65079878,2.1793e-19,368730.441883,2095.65079878,200.000000102,368730.441883,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1916.62,2091.66,2106.14516523,1.0,500.0,588.011,229.55,1.0,1.0,2106.14516523,5.43914e-20,310570.977782,2106.14516523,299.999969474,310570.977782,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1931.48,2083.07,2057.30099399,1.0,500.0,577.297,224.1,1.0,1.0,2057.30099399,5.4346e-20,297908.113606,2057.30099399,400.0,297908.113606,1.0,0.0025,0.0025,100
0.7,7.67293,1,500,0.002,2137.47,2447.09,2108.73052902,0.000697151,95.8876550643,4409.07,229.88,1.05405,44.7978,2108.73052902,2.76246e-05,317201.772375,2108.73052902,63.352561514,317201.772375,5.21444,0.0850011,1.3228e-06,100
0.7,,2,500,0.01,1902.69,2157.88,2157.87514685,1.0,500.0,701.116,235.17,1.0,1.0,2157.87514685,3.50449e-18,496529.4632,2157.87514685,100.0,496529.4632,1.0,0.01,0.01,100
0.7,,2,500,0.005,1946.07,2134.59,2111.30347752,1.0,500.0,636.547,229.78,1.0,1.0,2111.30347752,2.1793e-19,320946.320858,2111.30347752,200.000000102,320946.320858,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1968.78,2122.71,2098.95285443,1.0,500.0,626.27,228.47,1.0,1.0,2098.95285443,5.43914e-20,369100.977197,2098.95285443,299.999969474,369100.977197,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1955.15,2088.46,1985.69910948,1.0,500.0,604.577,216.59,1.0,1.0,1985.69910948,5.4346e-20,274071.220576,1985.69910948,400.0,274071.220576,1.0,0.0025,0.0025,100
0.7,1.72424,1,500,0.002,2047.14,2285.67,2108.11638534,0.0154045,162.620006922,1569.46,229.46,1.01413,16.2685,2108.11638534,6.70617e-06,361310.964977,2108.11638534,187.042612548,361310.964977,3.07465,0.0320838,3.03799e-05,100
0.7,,2,500,0.01,1879.75,2184.15,2184.15348261,1.0,500.0,740.727,237.78,1.0,1.0,2184.15348261,3.50449e-18,554218.027084,2184.15348261,100.0,554218.027084,1.0,0.01,0.01,100
0.7,,2,500,0.005,1911.94,2127.18,2070.2061556,1.0,500.0,691.761,225.56,1.0,1.0,2070.2061556,2.1793e-19,405958.133769,2070.2061556,200.000000102,405958.133769,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1967.76,2143.5,2176.14458163,1.0,500.0,681.356,237.05,1.0,1.0,2176.14458163,5.43914e-20,438458.056382,2176.14458163,299.999969474,438458.056382,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1998.74,2150.94,2173.26258266,1.0,500.0,656.899,236.7,1.0,1.0,2173.26258266,5.4346e-20,336023.731449,2173.26258266,400.0,336023.731449,1.0,0.0025,0.0025,100
0.7,6.82532,1,500,0.002,2147.01,2418.91,2146.26401817,7.4084e-05,125.340372764,3398.25,233.59,1.08375,42.4954,2146.26401817,2.3245e-05,321268.898926,2146.26401817,73.5335517161,321268.898926,3.98914,0.0784233,1.36718e-07,100
0.7,,2,500,0.01,1789.57,2040.89,2040.88667257,1.0,500.0,583.513,222.53,1.0,1.0,2040.88667257,3.50449e-18,343927.24289,2040.88667257,100.0,343927.24289,1.0,0.01,0.01,100
0.7,,2,500,0.005,1920.13,2098.55,2156.22039323,1.0,500.0,583.821,234.63,1.0,1.0,2156.22039323,2.1793e-19,337933.648106,2156.22039323,200.000000102,337933.648106,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1985.27,2130.95,2195.74151012,1.0,500.0,598.142,238.88,1.0,1.0,2195.74151012,5.43914e-20,389221.98346,2195.74151012,299.999969474,389221.98346,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1993.49,2125.3,2108.35979321,1.0,500.0,593.04,229.45,1.0,1.0,2108.35979321,5.4346e-20,336447.884681,2108.35979321,400.0,336447.884681,1.0,0.0025,0.0025,100
0.7,,1,500,0.002,1985.12,2117.3,2085.27841813,1.0,500.0,598.219,227.25,1.0,1.0,2085.27841813,5.43187e-20,385114.897155,2085.27841813,500.000006643,385114.897155,1.0,0.002,0.002,100
0.7,,2,500,0.01,1910.17,2157.6,2157.60110568,1.0,500.0,574.753,234.87,1.0,1.0,2157.60110568,3.50449e-18,333677.19105,2157.60110568,100.0,333677.19105,1.0,0.01,0.01,100
0.7,,2,500,0.005,1993.95,2180.4,2203.20669488,1.0,500.0,602.631,239.84,1.0,1.0,2203.20669488,2.1793e-19,398937.825966,2203.20669488,200.000000102,398937.825966,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,2024.99,2177.22,2170.85614283,1.0,500.0,597.215,236.25,1.0,1.0,2170.85614283,5.43914e-20,347077.529838,2170.85614283,299.999969474,347077.529838,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,2015.47,2167.81,2139.56012767,1.0,500.0,587.482,232.88,1.0,1.0,2139.56012767,5.4346e-20,312604.406599,2139.56012767,400.0,312604.406599,1.0,0.0025,0.0025,100
0.7,,1,500,0.002,2037.57,2174.15,2199.54301623,1.0,500.0,612.161,239.57,1.0,1.0,2199.54301623,5.43187e-20,497333.211415,2199.54301623,500.000006643,497333.211415,1.0,0.002,0.002,100
0.7,,2,500,0.01,1836.7,2086.07,2086.06548951,1.0,500.0,586.513,227.23,1.0,1.0,2086.06548951,3.50449e-18,347471.960705,2086.06548951,100.0,347471.960705,1.0,0.01,0.01,100
0.7,,2,500,0.005,1905.07,2102.09,2118.12102297,1.0,500.0,610.121,230.9,1.0,1.0,2118.12102297,2.1793e-19,404024.007257,2118.12102297,200.000000102,404024.007257,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1968.98,2129.84,2185.34789703,1.0,500.0,625.312,238.23,1.0,1.0,2185.34789703,5.43914e-20,428212.459759,2185.34789703,299.999969474,428212.459759,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1976.56,2115.87,2073.96175484,1.0,500.0,629.225,226.2,1.0,1.0,2073.96175484,5.4346e-20,412433.750695,2073.96175484,400.0,412433.750695,1.0,0.0025,0.0025,100
