MaxVanillaIw,eRenyi2,AvgVanillaIw,MinNormIw,MaxNormIw,ESSClassic,BatchSize,VarJ,VarRet,AvgRet,AvgDiscRet,VarVanillaIw,Bound,ESSRenyi,J,AvgEpLen,MinVanillaIw,VarDiscRet,VarNormIw,AvgNormIw
953.2858,3.4614718,10.11017,2.958628e-06,0.9428979,1.124701138103856,100,26.333086,390.9739288860199,31.29670629209121,31.29670629209121,9076.794,68.580055,28.88944526849085,84.23844,500.0,0.0029912235,390.9739288860199,0.008880052,0.010000002
233.11333,3.5673757,3.322236,1.3826467e-05,0.701676,1.9914694231893133,100,30.399704,280.5488536461161,38.11349261914314,38.11349261914314,548.6761,45.107857,28.03181092557218,61.003975,500.0,0.0045934785,280.5488536461161,0.00497113,0.01
9402.557,1.0000002,94.70689,4.74745e-10,0.992806,1.0145417491843691,100,2.0696006,270.9516045271712,42.510484581454776,42.510484581454776,883953.44,68.340866,99.99997615814777,76.75708,500.0,4.496162e-06,270.9516045271712,0.009855218,0.009999999
960.35754,3.1785753,10.488303,1.8235547e-05,0.91564626,1.1924547101796183,100,29.147562,620.5218397678314,38.27989386596724,38.27989386596724,9207.113,62.63834,31.46063606335206,77.643234,500.0,0.019125994,620.5218397678314,0.008369761,0.009999998
888927.5,1.0000061,8889.363,3.9793034e-12,0.9999901,1.0000198273620333,100,0.0040653944,565.4241854426768,40.31945494461597,40.31945494461597,7901921300.0,78.20097,99.9993920363195,86.61721,500.0,3.5373473e-06,565.4241854426768,0.009999801,0.01
770.8585,3.2509017,8.656622,5.8412816e-06,0.89048415,1.2604407945883631,100,27.497887,877.5166093648414,33.70135749361076,33.70135749361076,5929.668,62.384552,30.760696341179894,77.5592,500.0,0.005056577,877.5166093648414,0.007912859,0.009999998
503.32553,3.279571,5.8779902,3.2557548e-06,0.8562885,1.3625224794925703,100,26.77137,623.3299035085404,43.42125452085634,43.42125452085634,2526.5088,63.20353,30.491792457397825,78.44494,500.0,0.0019137295,623.3299035085404,0.0073124534,0.010000002
346.57483,4.7413273,4.0235076,3.7625275e-06,0.8613749,1.346809269638282,100,37.47418,356.24989830283323,58.17055752440262,58.17055752440262,1197.7867,75.03557,21.09114051253087,93.36152,500.0,0.0015138558,356.24989830283323,0.007398946,0.010000002
406.31152,2.7753015,4.8371015,8.9905014e-05,0.83998966,1.4162562070898268,100,22.85599,305.7155000228244,64.93681520937584,64.93681520937584,1645.1245,70.13621,36.032121760157544,84.156975,500.0,0.043487966,305.7155000228244,0.00703118,0.009999999
268120.88,1.0000005,2681.2163,1.01314283e-22,0.9999972,1.0000055944994881,100,0.00043850363,268.986896023845,65.99786540440344,65.99786540440344,718888400.0,76.997215,99.99995231630692,85.41343,500.0,2.716455e-17,268.986896023845,0.009999946,0.01
533.6068,3.3246346,6.4747124,2.7154496e-05,0.8241398,1.4698657103962307,100,31.13981,541.9904075019127,54.71884460680381,54.71884460680381,2838.554,68.217926,30.0784938722917,83.56369,500.0,0.017581755,541.9904075019127,0.0067710527,0.01
119444.49,1.0000167,1195.0757,6.072154e-11,0.9994722,1.0010564703233842,100,0.09061374,416.403601650952,65.02756666415057,65.02756666415057,142668350.0,85.00729,99.9983310977991,93.42358,500.0,7.2566836e-06,416.403601650952,0.009989343,0.01
238139.38,1.0000046,2381.555,2.7567583e-13,0.99993235,1.0001352982460303,100,0.008378896,303.791372092958,67.86192490797188,67.86192490797188,567102850.0,75.92872,99.99953508593221,84.34495,500.0,6.565371e-08,303.791372092958,0.009998633,0.009999998
