StdD2w0t,Weights,InitialReturnStd,InitialReturnMean,MeanIW,EpThisIter,InitialReturnMax,MeanD2w0t,ReturnMeanIW,J_sample_variance,EmpiricalD2,MaxIW,InitialReturnMin,StdIW,EpisodesSoFar,TimeElapsed,MinD2w0t,EpLenMean,Iteration,EpRewMean,MeanEntropy,MinIW,ReturnStepMaxmin,Bound,TimestepsSoFar,MaxD2w0t,ReturnStepMax,InitialBound
1.0097127,[-0.871 -0.876 -0.167 -0.994 -0.5  ],12.843108,-61.550186,0.7724903,100,-15.343975,0.2379962,-49.461357,2445.4458,4.16635,5.8500347,-88.111015,0.75361234,3000,537.0297615528107,,55.65,30,-99.67570810156552,0.92769945,0.010603702,99.0,-56.40692,134445,25.288923,100.0,-65.43657
1.3550642,[-0.93  -0.875 -0.166 -0.995 -0.491],10.197164,-62.04797,0.7892179,100,-0.37854195,0.23510574,-50.046005,1341.4333,3.4391031,5.575429,-82.57772,0.6437173,3100,556.6360158920288,,54.0,31,-100.38514048419471,0.9270842,0.042152964,99.0,-58.1786,139845,51.177532,100.0,-65.97493
1.359966,[-0.962 -0.827 -0.173 -0.974 -0.492],13.678937,-62.392803,0.77424514,100,-11.291672,0.29384828,-49.152393,2248.2778,3.562766,9.680111,-88.88949,0.77939,3200,577.1400208473206,,54.67,32,-100.31664191229657,0.9189561,0.014602988,99.0,-56.881676,145312,30.005352,100.0,-66.28474
1.797486,[-0.964 -0.82  -0.157 -0.993 -0.5  ],9.613281,-64.582954,0.7650983,100,-22.359482,0.19408481,-48.986576,1545.9219,5.608471,5.8780823,-88.542755,0.6138037,3300,595.9638364315033,,50.73,33,-101.19378319181428,0.9111223,0.0039610723,99.0,-57.483658,150385,183.7383,100.0,-68.43283
0.9937141,[-0.897 -0.836 -0.15  -1.012 -0.508],12.277505,-62.993587,0.71889234,100,-13.522413,0.25179595,-46.89207,2098.9226,4.0114217,4.974041,-87.52781,0.76475185,3400,618.7111678123474,,50.49,34,-98.68005739893948,0.8600121,0.010722005,99.0,-54.28071,155434,20.707878,100.0,-66.78772
1.2395598,[-0.93  -0.802 -0.169 -0.974 -0.559],13.535347,-60.51875,0.7816027,100,-17.320276,0.24942918,-47.281834,1128.642,3.4281242,4.9529,-90.42165,0.6196682,3500,637.2031397819519,,55.71,35,-98.80345295359037,0.89359057,0.019050047,99.0,-54.57074,161005,38.790504,100.0,-64.35
2.4243097,[-0.914 -0.837 -0.167 -0.986 -0.525],10.428224,-64.835236,0.64231956,100,-23.234503,0.34831056,-42.57128,2210.2793,10.4160595,12.421063,-88.06048,0.783024,3600,654.8041367530823,,50.16,36,-100.82764652670565,0.8789086,0.0014267614,99.0,-52.430534,166021,165.37132,100.0,-68.73869
1.3064256,[-0.93  -0.848 -0.159 -0.966 -0.54 ],11.75278,-62.976196,0.8593294,100,-3.7718515,0.2584759,-53.101814,3449.824,4.457143,6.743465,-89.412636,0.9870248,3700,673.1761674880981,,50.81,37,-99.36095906991261,0.8777839,0.011191674,99.0,-61.518364,171102,53.794415,100.0,-66.84548
2.51591,[-0.922 -0.862 -0.163 -0.949 -0.541],11.373906,-61.231113,0.5892597,100,-23.108217,0.5064963,-38.679897,1721.5559,13.430423,6.1457653,-80.48514,0.7055463,3800,694.3202657699585,,56.55,38,-100.81453643255571,0.86993545,0.0025390058,99.0,-49.245415,176757,105.57141,100.0,-65.06656
4.903213,[-0.923 -0.868 -0.157 -0.922 -0.549],11.590011,-61.71484,0.80076563,100,-19.754528,0.5080156,-44.889927,7618.529,26.757885,27.887901,-85.45358,1.6008095,3900,713.696213722229,,57.66,39,-101.32482098773978,0.87838167,0.0013931463,99.0,-54.460293,182523,370.26923,100.0,-65.69923
1.930059,[-0.955 -0.822 -0.14  -0.878 -0.541],12.61278,-58.923775,0.7620525,100,-11.900932,0.40127277,-45.77297,5824.745,9.315188,11.710582,-73.397255,1.2641006,4000,734.4902060031891,,61.11,40,-100.54608661161808,0.88423437,0.0051872013,99.0,-54.005627,188634,109.82449,100.0,-62.84868
2.3740034,[-0.916 -0.831 -0.127 -0.909 -0.535],14.471242,-57.22485,0.711428,100,-11.574089,0.40865874,-40.645668,1714.7737,6.9186416,9.722587,-80.93677,0.71757483,4100,758.5801327228546,,63.05,41,-99.29989782100566,0.89129,0.0031660788,99.0,-48.747124,194939,67.313675,100.0,-61.07535
3.5275147,[-0.984 -0.806 -0.134 -0.895 -0.528],12.386289,-61.646175,0.6773172,100,-16.103596,0.486411,-43.208138,2402.407,13.690313,6.8811502,-82.966736,0.79975665,4200,781.5201449394226,,58.45,42,-102.05541624090289,0.87301177,0.0072569717,99.0,-53.740166,200784,217.27081,100.0,-65.65556
0.93497837,[-1.009 -0.802 -0.115 -0.881 -0.546],15.855417,-58.57354,0.84501904,100,-2.7937212,0.20910813,-49.43581,1133.7745,2.1969576,3.336855,-72.91896,0.5485884,4300,800.7841446399689,,63.66,43,-100.5765606389601,0.8693246,0.05942309,99.0,-55.03489,207150,27.684258,100.0,-62.555553
4.6174827,[-0.986 -0.825 -0.124 -0.895 -0.55 ],13.174317,-58.339054,0.6029932,100,-9.907468,0.6788628,-33.74562,1984.7366,17.764143,36.3717,-72.89467,0.81494623,4400,820.878133058548,,63.88,44,-101.59263153245564,0.84539443,0.0044072587,99.0,-44.663376,213538,163.64206,100.0,-62.280483
1.099628,[-0.925 -0.829 -0.106 -0.92  -0.574],12.675191,-60.36793,0.83349,100,-13.22713,0.24336413,-51.23126,1310.3944,2.6448352,3.7844315,-83.82345,0.64636153,4500,840.7235469818115,,57.39,45,-99.65381605205499,0.8256739,0.0012266729,99.0,-57.77953,219277,30.469084,100.0,-64.223785
3.2307796,[-0.93  -0.846 -0.127 -0.92  -0.593],13.492922,-58.36291,0.754393,100,-7.778296,0.6155682,-44.09604,2098.9146,15.167427,9.655785,-74.50904,0.9589832,4600,863.3401832580566,,62.82,46,-100.5071421380444,0.8193457,0.0033934624,99.0,-54.781048,225559,135.62555,100.0,-62.286293
0.6984511,[-0.932 -0.867 -0.121 -0.909 -0.6  ],12.342349,-60.120956,0.8598045,100,-9.4107,0.22030874,-53.628017,1759.2738,2.1680143,4.297202,-72.22092,0.73265946,4700,885.1572833061218,,61.47,47,-102.15010007846683,0.82080054,0.021005329,99.0,-59.43865,231706,9.992807,100.0,-64.10996
4.2371054,[-0.932 -0.874 -0.106 -0.926 -0.598],14.084444,-57.075687,0.63432443,100,-15.171038,0.6525849,-37.276917,2618.0977,15.071217,5.9610853,-73.88631,0.84991235,4800,907.9251523017883,,64.5,48,-99.23308237966735,0.7946318,0.006443979,99.0,-47.479973,238156,225.57388,100.0,-60.986366
1.5204192,[-0.948 -0.882 -0.099 -0.909 -0.624],14.571191,-56.17627,0.8164325,100,-13.803649,0.38962132,-48.136147,4032.9043,6.815827,9.574027,-71.71867,1.1875973,4900,929.1921503543854,,70.08,49,-101.5604909064732,0.79462546,0.0030160844,99.0,-55.238132,245164,41.6759,100.0,-60.200638
7.9182534,[-0.944 -0.877 -0.114 -0.919 -0.624],14.717281,-55.14029,0.5800637,100,-8.858071,1.1562003,-29.11248,2494.3645,56.940483,21.116749,-82.07897,0.9843556,5000,953.4883196353912,,70.32,50,-100.67916605776196,0.7993069,0.00049092376,99.0,-41.470715,252196,344.67578,100.0,-59.08255
0.46088332,[-0.98  -0.87  -0.103 -0.894 -0.62 ],12.91826,-58.02862,0.89723015,100,-16.604069,0.1726262,-52.389572,948.5917,1.5803059,4.9095526,-72.00952,0.55674076,5100,976.2933886051178,,65.88,51,-102.62246559682762,0.7920331,0.11599661,99.0,-57.064293,258784,3.1256752,100.0,-62.01962
4.313081,[-0.966 -0.903 -0.102 -0.914 -0.627],13.908155,-57.760674,0.63450414,100,-7.434856,0.66996986,-35.472137,3016.022,21.661161,30.814531,-72.42468,0.9608005,5200,997.2007715702057,,63.3,52,-100.3362028182268,0.7922887,0.0011410167,99.0,-46.320713,265114,271.3053,100.0,-61.70955
