Weights,TimeElapsed,ReturnStepMaxmin,MinD2w0t,Iteration,EpRewMean,MeanIW,EmpiricalD2,MinIW,EpLenMean,TimestepsSoFar,J_sample_variance,StdD2w0t,MeanD2w0t,ReturnMeanIW,InitialReturnMax,EntropyCoefficient,MaxD2w0t,MeanEntropy,InitialReturnMean,MaxIW,ReturnStepMax,InitialReturnStd,InitialBound,EpisodesSoFar,StdIW,Bound,InitialReturnMin,EpThisIter
[-0.862 -0.322 -0.267 -0.79  -0.532],590.1993184089661,99.0001,,39,-106.19257289562894,0.43717265,62.52572,0.0014527098,37.55,133552,1653.976,9.067607,0.8838132,-38.009754,-40.988148,10.0,614.33057,0.87891483,-77.277756,7.9655457,100.0,13.750068,-70.82229,3900,0.55579174,-41.368164,-95.50319,100
[-0.847 -0.308 -0.283 -0.822 -0.54 ],607.1080756187439,99.00003,,40,-104.50971394958816,0.76515204,6.6606255,0.003458319,39.05,137457,3846.6155,1.9743227,0.30462292,-61.19441,-34.283447,10.0,69.89446,0.8921324,-75.51567,5.873199,100.0,15.619146,-69.107956,4000,0.7859302,-58.16841,-95.04348,100
[-0.824 -0.347 -0.283 -0.824 -0.527],621.2661437988281,99.00001,,41,-104.04971997780316,0.6642878,23.552017,0.0020175958,37.33,141190,4985.9346,4.766295,0.66143185,-53.79812,-30.746412,10.0,272.30457,0.8702895,-75.93451,7.436867,100.0,15.172482,-69.37355,4100,0.9063608,-54.097416,-95.506134,100
[-0.811 -0.356 -0.248 -0.807 -0.549],638.1465601921082,99.0,,42,-103.77329843628455,0.6135398,52.296772,0.0002113147,40.81,145271,4661.603,7.612559,0.89210033,-49.331963,-32.416153,10.0,355.04492,0.8672315,-73.8111,7.9148736,100.0,16.019627,-67.47284,4200,0.8882857,-50.184864,-95.60314,100
[-0.793 -0.364 -0.27  -0.849 -0.552],655.9142925739288,99.00001,,43,-106.14274239147602,0.50523883,39.80427,5.221644e-05,39.4,149211,3789.6106,5.539126,0.7146564,-41.87544,-37.710136,10.0,293.3546,0.8564919,-76.00777,7.105393,100.0,13.775733,-69.715225,4300,0.8038518,-43.436752,-94.97312,100
[-0.806 -0.377 -0.263 -0.814 -0.562],670.1159739494324,99.0,,44,-104.15618753507515,0.5312392,43.86042,0.0005249863,41.82,153393,3046.9287,10.659184,0.9151755,-42.18673,-33.34576,10.0,1081.523,0.82518375,-73.16992,5.655843,100.0,15.388192,-66.985054,4400,0.79366183,-43.931587,-95.215034,100
[-0.8   -0.394 -0.291 -0.855 -0.594],686.3602564334869,99.0,,45,-105.18536547992203,0.7354136,6.655143,0.0038783303,40.62,157455,1834.443,2.1554484,0.35321602,-58.319824,-32.64548,10.0,70.303925,0.81445,-74.82721,6.0978866,100.0,15.214395,-68.950096,4500,0.687798,-56.62104,-93.75014,100
[-0.807 -0.433 -0.311 -0.889 -0.605],701.534341096878,99.000015,,46,-105.31306779732112,0.8384249,5.2341294,0.013122663,36.94,161149,4320.237,1.9487861,0.26232693,-65.25861,-40.147392,10.0,114.979774,0.81490225,-76.967316,6.651617,100.0,13.878328,-71.19239,4600,0.9516457,-62.88319,-95.40457,100
[-0.814 -0.429 -0.281 -0.898 -0.604],717.8976187705994,99.0,,47,-104.0354565070795,0.66368,63.08662,0.00024759892,38.26,164975,6282.854,9.960219,1.1659611,-48.302074,-25.12882,10.0,459.98642,0.8127939,-75.091034,28.813606,100.0,15.145063,-69.21054,4700,1.2085059,-51.16178,-95.17946,100
[-0.82  -0.43  -0.253 -0.867 -0.606],734.2450070381165,99.00002,,48,-105.23849040365889,0.89366883,1.4805441,0.085138395,40.2,168995,3681.9678,0.3313899,0.09683158,-69.560875,-21.525604,10.0,1.9464114,0.8123032,-75.00472,7.253407,100.0,14.657549,-69.25661,4800,0.787346,-64.121445,-94.27189,100
[-0.825 -0.443 -0.25  -0.866 -0.607],749.3771591186523,99.00007,,49,-104.14457332138129,0.67829657,11.738993,0.00042633654,39.33,172928,8564.299,2.1456678,0.3680992,-54.24135,-29.34875,10.0,80.06751,0.7975538,-74.5623,8.813028,100.0,14.662666,-68.8018,4900,1.1748979,-52.46544,-93.716576,100
[-0.798 -0.454 -0.284 -0.875 -0.621],763.6780860424042,99.0,,50,-104.61170128785038,0.4637693,47.149296,0.0015196591,37.95,176723,3823.2349,5.96985,0.79538006,-35.597263,-35.062935,10.0,322.64178,0.7976512,-75.52358,10.0811205,100.0,13.879642,-69.834785,5000,1.0220457,-37.70212,-94.20467,100
[-0.808 -0.474 -0.257 -0.867 -0.621],781.2768657207489,99.0,,51,-104.01854071281078,0.5514191,102.68178,0.00036450155,42.05,180928,5611.692,13.295488,1.3176298,-41.00892,-35.50906,10.0,802.8589,0.77901334,-72.44095,25.73074,100.0,13.117589,-66.759445,5100,1.1259975,-45.013332,-93.736465,100
[-0.838 -0.463 -0.248 -0.816 -0.64 ],798.3372008800507,99.0,,52,-104.26253385286894,0.7608326,15.6234665,0.0036298598,40.14,184942,3863.095,2.8712375,0.31871802,-56.70936,-30.15434,10.0,268.898,0.77049553,-73.605354,11.289197,100.0,12.633828,-68.19101,5200,0.949767,-54.22545,-92.50734,100
[-0.789 -0.486 -0.236 -0.86  -0.648],816.4977917671204,99.00003,,53,-103.52137333212208,0.56049913,50.923264,0.0014714762,41.94,189136,3478.0623,6.804791,0.99145484,-42.95243,-38.975243,10.0,218.52605,0.78319275,-72.390144,10.998411,100.0,13.902273,-66.99754,5300,0.91677535,-45.73772,-94.288055,100
[-0.786 -0.477 -0.254 -0.888 -0.636],832.7813625335693,99.0,,54,-103.84292403005425,0.72271955,62.04835,0.0015580865,38.21,192957,6972.237,9.832498,1.1204118,-53.28173,-13.382486,10.0,459.32208,0.7895482,-74.86924,12.675354,100.0,15.433161,-69.365524,5400,1.3233716,-56.281445,-96.030136,100
[-0.775 -0.489 -0.232 -0.861 -0.629],851.2770252227783,99.0,,55,-102.74392718877908,0.5213551,66.852394,4.8943137e-05,41.65,197122,3079.5183,8.187134,1.175539,-38.367165,-37.89203,10.0,266.86575,0.7859418,-71.78949,16.356674,100.0,14.296487,-66.116974,5500,0.8560443,-40.15692,-93.35996,100
[-0.772 -0.498 -0.213 -0.829 -0.633],867.0649528503418,99.00002,,56,-103.78062381514606,0.70352584,35.163254,0.0012070679,42.63,201385,4847.2383,8.392428,1.1558093,-50.73232,-30.71325,10.0,237.72502,0.76693016,-71.98056,19.957674,100.0,14.551522,-66.45214,5600,1.0851738,-53.103863,-94.38092,100
[-0.802 -0.502 -0.181 -0.831 -0.652],883.729873418808,99.0,,57,-100.56891772574205,0.64887995,56.27606,0.0012677661,46.02,205987,4701.0723,7.7312174,1.1214225,-46.592625,-18.187378,10.0,303.04333,0.7685572,-67.245445,8.596641,100.0,13.610964,-61.877346,5700,1.0099115,-48.08525,-93.1972,100
[-0.795 -0.482 -0.207 -0.84  -0.65 ],900.7287049293518,99.0,,58,-102.72906795104025,0.51012665,143.27315,0.0009371254,44.24,210411,3531.7122,12.998084,1.4343464,-38.631557,-40.68072,10.0,588.9289,0.77640665,-69.92609,17.10658,100.0,13.032264,-64.463165,5800,0.85515815,-41.817337,-93.79284,100
[-0.828 -0.483 -0.196 -0.8   -0.642],918.3484525680542,99.00001,,59,-102.7058173434955,0.8666825,3.0341437,0.043039683,48.0,215211,2437.2234,1.19284,0.21111172,-59.503426,-25.47177,10.0,40.69595,0.76460844,-68.214554,4.907072,100.0,13.948507,-62.881203,5900,0.7927128,-57.070217,-92.641815,100
[-0.815 -0.49  -0.175 -0.799 -0.654],936.8442749977112,99.0,,60,-101.33786608670384,0.5960705,13.837237,0.0010961279,46.31,219842,2375.9941,4.305004,0.76269656,-39.937325,-24.501457,10.0,105.07016,0.69770795,-67.71283,16.33397,100.0,12.675903,-62.40839,6000,0.8677449,-42.877052,-90.23768,100
[-0.825 -0.461 -0.194 -0.758 -0.721],954.2615344524384,99.0,,61,-102.32689595144716,0.39647228,35.494537,0.00078750955,44.92,224334,1619.6152,5.8432465,0.8967243,-29.81796,-24.090849,10.0,207.12244,0.68066055,-69.129265,7.4898953,100.0,13.209382,-64.45457,6100,0.61772853,-32.180103,-92.04547,100
[-0.868 -0.477 -0.179 -0.763 -0.738],972.0466694831848,99.0,,62,-102.15411266461302,0.7541273,4.7449403,0.0005699689,47.53,229087,2177.8074,1.4543848,0.26256102,-53.249043,-38.082916,10.0,47.022903,0.6701485,-67.403595,8.644906,100.0,12.51101,-62.910755,6200,0.7857062,-52.25598,-92.22544,100
[-0.874 -0.461 -0.16  -0.769 -0.749],989.076244354248,99.0,,63,-101.23212377038168,0.55658704,179.19295,0.00017598495,49.36,234023,3914.5212,17.59942,2.2072341,-34.433865,-19.075583,10.0,878.4191,0.6772313,-66.168884,40.138973,100.0,14.259646,-61.780632,6300,1.2239681,-40.030106,-91.57061,100
[-0.89  -0.482 -0.148 -0.751 -0.742],1007.3578109741211,99.0,,64,-100.83903918580036,0.45987794,74.81592,3.0675656e-05,47.28,238751,3314.322,27.63986,0.84428513,-32.43563,-32.265945,10.0,4105.742,0.6499141,-66.54296,5.9243546,100.0,11.433365,-62.000355,6400,0.76129746,-32.669834,-90.18269,100
[-0.816 -0.485 -0.15  -0.764 -0.769],1025.0871024131775,99.0,,65,-101.54933029477951,0.4757115,87.21553,6.2232525e-06,45.38,243289,2533.0305,9.352073,1.2911538,-34.180748,-34.464066,10.0,372.0832,0.6366685,-68.09029,13.510646,100.0,12.174384,-63.788258,6500,0.87785864,-37.842285,-92.366425,100
[-0.827 -0.5   -0.15  -0.736 -0.782],1043.928317308426,99.0,,66,-100.8906297756458,0.79354376,4.006471,0.033219,48.6,248149,2053.129,1.4723582,0.25705126,-53.328457,-16.85923,10.0,68.058716,0.6362452,-65.67391,7.564831,100.0,11.718562,-61.68435,6600,0.75839365,-52.459126,-89.945496,100
[-0.835 -0.476 -0.166 -0.718 -0.783],1061.1221277713776,99.0,,67,-100.23181107767127,0.8517079,3.8386848,0.054176718,49.39,253088,2608.6594,1.2028394,0.22990434,-54.08401,-23.035902,10.0,50.849518,0.6381834,-65.07139,9.846258,100.0,12.633169,-61.041874,6700,0.94843894,-52.553055,-90.0785,100
[-0.852 -0.462 -0.179 -0.722 -0.781],1080.0036182403564,99.000015,,68,-101.81346467805956,0.831535,7.5559063,0.0054978705,46.64,257752,8002.4424,1.5466852,0.29864898,-57.512295,-14.63875,10.0,81.319046,0.63348204,-67.67773,9.181736,100.0,13.306898,-63.680374,6800,1.2561167,-57.308018,-91.3536,100
[-0.851 -0.465 -0.172 -0.699 -0.786],1099.6724379062653,99.0,,69,-100.68931953825084,0.63743806,78.19647,0.0011219415,46.72,262424,5879.096,10.595517,1.5657687,-42.904827,-20.488651,10.0,294.05627,0.63531685,-66.74387,22.047905,100.0,12.889993,-62.709873,6900,1.2597854,-47.489388,-91.39126,100
[-0.864 -0.441 -0.179 -0.716 -0.784],1118.2735006809235,99.0,,70,-101.7540196773529,0.66247314,17.245647,0.0018347193,45.83,267007,3673.4922,3.9936373,0.4653831,-44.741024,-20.696577,10.0,272.99713,0.6428191,-68.376015,33.064186,100.0,13.398014,-64.43518,7000,1.0465494,-46.96886,-91.78618,100
[-0.882 -0.455 -0.171 -0.705 -0.776],1136.1924228668213,99.0,,71,-101.68030083827985,0.409025,167.03297,0.00034401365,47.26,271733,1527.9338,21.341173,1.7546191,-28.273186,-26.634508,10.0,2229.359,0.6416632,-67.1187,14.829778,100.0,11.926266,-62.974327,7100,0.6821123,-33.432945,-92.081116,100
[-0.907 -0.459 -0.153 -0.679 -0.777],1157.5960476398468,99.0,,72,-100.99579107951246,0.70224935,19.327986,0.0012940603,48.94,276627,3771.819,4.3319874,0.43781516,-46.22421,1.4082851,10.0,445.50812,0.6381806,-65.88267,25.406853,100.0,13.858219,-61.8534,7200,0.9382179,-47.515217,-91.61118,100
[-0.89  -0.47  -0.16  -0.711 -0.781],1175.2840614318848,99.0,,73,-101.61001789006832,0.39789003,161.7827,0.00043118745,47.6,281387,1545.3177,15.076555,1.8190722,-27.988579,-24.762966,10.0,916.443,0.6381806,-66.77924,16.501795,100.0,12.001491,-62.607468,7300,0.6726729,-32.733833,-91.3426,100
[-0.914 -0.484 -0.151 -0.688 -0.781],1194.379427433014,99.0,,74,-101.92322667887682,0.7773895,18.802504,0.0004935375,49.25,286312,7148.727,2.9522684,0.5146437,-49.582542,-33.57817,10.0,136.53183,0.6430817,-65.954445,16.157215,100.0,10.3564415,-61.901665,7400,1.6046672,-50.646496,-89.541695,100
[-0.913 -0.475 -0.165 -0.704 -0.776],1212.9461452960968,99.0,,75,-100.73613187682473,0.7322186,6.754729,0.010365542,47.65,291077,2376.94,2.8693683,0.35376024,-51.590008,-16.522017,10.0,116.3167,0.6516575,-66.4508,7.8126497,100.0,13.309985,-62.399727,7500,0.74859035,-52.247192,-89.542816,100
[-0.923 -0.46  -0.162 -0.718 -0.767],1231.323915719986,99.00001,,76,-102.36110068008097,0.5322241,52.50073,0.0003702084,48.22,295899,2538.5862,8.680949,1.3820391,-39.048977,-29.19387,10.0,315.39014,0.6801896,-66.94805,5.4100575,100.0,10.617833,-62.684864,7600,0.7659599,-41.904232,-90.058655,100
[-0.901 -0.46  -0.149 -0.685 -0.739],1248.8029415607452,99.0,,77,-101.4328289048665,0.63076013,21.303188,0.0022998133,49.85,300884,5106.6914,4.449755,0.5730562,-43.156223,-25.82666,10.0,272.78802,0.68629116,-65.624886,12.6044235,100.0,12.38144,-61.214508,7700,1.0416912,-45.460857,-88.45422,100
[-0.908 -0.467 -0.143 -0.661 -0.733],1268.440437555313,99.0,,78,-102.44616238766297,0.70761186,8.280353,0.0018430502,52.58,306142,2575.2253,3.666468,0.39978915,-47.061596,-21.56935,10.0,169.07759,0.68141705,-64.64577,5.5698276,100.0,10.94726,-60.245647,7800,0.8565517,-47.54048,-88.2593,100
[-0.904 -0.45  -0.155 -0.665 -0.738],1285.4047014713287,99.0,,79,-102.17626421664426,0.70667905,25.409052,0.0028555496,47.69,310911,4582.9185,5.841272,0.5370641,-47.232986,-25.092056,10.0,555.0869,0.67658025,-67.22097,34.05593,100.0,12.024446,-62.777954,7900,1.0552002,-49.656036,-91.456604,100
[-0.924 -0.44  -0.154 -0.629 -0.742],1302.9084334373474,99.0,,80,-102.31930974149222,0.6156867,91.784134,3.2857722e-06,48.82,315793,6888.197,12.921307,1.7151972,-43.982254,-28.27301,10.0,473.76877,0.67974275,-66.63919,21.402676,100.0,11.960817,-62.140656,8000,1.2245399,-47.793198,-87.65581,100
