EpRewMean,ReturnMeanIW,ReturnStepMax,ReturnStepMaxmin,MeanIW,StdIW,MeanEntropy,InitialReturnStd,Iteration,MaxD2w0t,TimestepsSoFar,EpLenMean,InitialReturnMean,InitialBound,MinD2w0t,TimeElapsed,EpThisIter,MeanD2w0t,Bound,EpisodesSoFar,StdD2w0t,MinIW,InitialReturnMin,MaxIW,InitialReturnMax,J_sample_variance,Weights,EmpiricalD2
-108.01102508662072,-77.86564,100.0,99.000015,0.997616,0.02014748,1.4116617,12.539914,18,1.0006748,64443,37.24,-78.0911,-1127.0015,,180.5110251903534,100,0.07449334,-1126.8845,1800,0.26260298,0.94894475,-95.76162,1.0730449,-42.431156,153.619,[-0.561 -1.097 -0.81  -1.044 -0.006],1.0003638
-106.79108947756464,-79.453766,100.0,99.0,0.9980408,0.012210327,1.4105195,13.524746,19,1.0003351,67862,34.19,-79.59585,-1194.295,,189.87361645698547,100,0.06838584,-1194.2214,1900,0.2524096,0.9611494,-95.5019,1.0304728,-33.747215,186.80193,[-0.561 -1.097 -0.809 -1.043 -0.007],1.0001483
-106.96678136471836,-78.945465,100.0,99.0,0.9987526,0.008819172,1.4104978,12.82529,20,1.0003506,71343,34.81,-79.03671,-1135.1549,,200.98759055137634,100,0.06962469,-1135.1073,2000,0.25452778,0.97584647,-95.336266,1.0227753,-37.724243,165.85353,[-0.561 -1.097 -0.809 -1.043 -0.008],1.0001031
-107.20120740497927,-76.47431,100.0,99.00001,0.99332833,0.0264912,1.4107656,13.740848,21,1.0021185,75165,38.22,-76.9427,-1161.6318,,211.70622515678406,100,0.07646553,-1161.3939,2100,0.2657969,0.9048141,-96.19974,1.0920434,-35.225796,196.50052,[-0.563 -1.098 -0.809 -1.043 -0.009],1.0007496
-107.23537013571661,-76.312355,100.0,99.0,0.9968428,0.018440256,1.410162,15.36243,22,1.0009568,79088,39.23,-76.53752,-1166.81,,223.43401885032654,100,0.07847224,-1166.6943,2200,0.2689443,0.93065435,-95.07467,1.0394039,-30.30265,238.97798,[-0.567 -1.098 -0.811 -1.043 -0.008],1.0002375
-107.44893399178169,-76.82366,100.0,99.00022,0.99737185,0.013319018,1.4097928,13.249913,23,1.0004678,82920,38.32,-77.012146,-1161.7012,,234.67732310295105,100,0.07665046,-1161.6036,2300,0.2660662,0.9567103,-94.46597,1.0416248,-44.107197,177.34328,[-0.565 -1.1   -0.811 -1.044 -0.009],1.0001729
-107.36657046477369,-79.07577,100.0,99.0,0.99509305,0.018419113,1.4107908,13.863438,24,1.0008532,86432,35.12,-79.42307,-1191.9185,,246.23704075813293,100,0.07025489,-1191.7439,2400,0.25560766,0.9584956,-96.14011,1.0538278,-29.89038,194.85051,[-0.565 -1.098 -0.81  -1.043 -0.009],1.0003219
-107.51724746971755,-78.06372,100.0,99.000015,0.9964883,0.018183207,1.4092662,12.382169,25,1.0006411,90047,36.15,-78.31279,-1163.0018,,256.53458857536316,100,0.072312556,-1162.8771,2500,0.25902373,0.92013764,-95.574326,1.0339761,-25.886467,157.61212,[-0.566 -1.099 -0.811 -1.044 -0.008],1.0003681
-107.09166704763774,-77.07553,100.0,99.0,0.99004775,0.025178,1.4092027,13.3620615,26,1.001783,93714,36.67,-77.85669,-1183.438,,267.3300063610077,100,0.073377535,-1182.99,2600,0.260819,0.9222585,-95.128456,1.0703864,-14.912342,173.85774,[-0.566 -1.1   -0.811 -1.045 -0.01 ],1.000719
-107.32305932139083,-77.94647,100.0,99.00001,0.9911119,0.024133326,1.4081805,13.421475,27,1.0019869,97317,36.03,-78.626366,-1184.2076,,278.30327916145325,100,0.07209226,-1183.8201,2700,0.25869823,0.9173312,-95.84208,1.0601857,-18.610107,181.62605,[-0.567 -1.102 -0.813 -1.046 -0.01 ],1.0006249
-107.26618719897687,-76.927155,100.0,99.00001,0.9985917,0.00901577,1.4078342,12.959716,28,1.0002812,101110,37.93,-77.03293,-1172.6407,,289.9113290309906,100,0.07586421,-1172.5791,2800,0.26479498,0.9665253,-94.707436,1.0258765,-39.418045,169.99165,[-0.569 -1.104 -0.814 -1.047 -0.011],1.0000838
-108.0215568730796,-79.511856,100.0,99.00008,0.9958773,0.029870741,1.4076742,12.323921,29,1.001779,104581,34.71,-79.92089,-1136.0391,,301.2294645309448,100,0.06944023,-1135.8319,2900,0.2542408,0.9272813,-95.52297,1.0895412,-49.011566,145.98297,[-0.569 -1.105 -0.815 -1.048 -0.011],1.0009263
-107.03056219647226,-77.16593,100.0,99.00001,0.9972408,0.013769943,1.408175,14.180859,30,1.0006903,108325,37.44,-77.386314,-1170.3568,,311.25758171081543,100,0.074890584,-1170.2386,3000,0.26324293,0.9612896,-95.6356,1.0456498,-39.61905,200.38348,[-0.571 -1.106 -0.815 -1.048 -0.011],1.0002574
-106.66948124719089,-77.22671,100.0,99.000015,0.99285936,0.024611272,1.4068638,12.728235,31,1.0013876,111920,35.95,-77.775444,-1147.3309,,322.0400149822235,100,0.071933374,-1147.0577,3100,0.25844952,0.91454035,-93.071785,1.0971941,-35.118446,165.85716,[-0.572 -1.107 -0.816 -1.048 -0.011],1.0006154
-106.99612237795185,-76.57436,100.0,99.00001,0.9924096,0.023008266,1.4046615,14.330579,32,1.0011392,115725,38.05,-77.11592,-1161.805,,333.07990407943726,100,0.07612907,-1161.5154,3200,0.26526338,0.90431845,-97.22194,1.0500982,-33.554462,214.53403,[-0.569 -1.108 -0.814 -1.049 -0.012],1.0005994
-106.6063468740674,-77.615486,100.0,99.00005,0.99780506,0.012832992,1.4051595,14.7746105,33,1.0003183,119375,36.5,-77.75357,-1168.0261,,343.74888348579407,100,0.073008195,-1167.9573,3300,0.26017085,0.9633342,-94.02598,1.0498443,-30.055304,222.77628,[-0.569 -1.107 -0.813 -1.048 -0.014],1.0001739
-106.7144942292385,-77.85456,100.0,99.0,0.9961388,0.02033277,1.4037704,12.426055,34,1.0007561,122946,35.71,-78.124565,-1153.9436,,353.1140069961548,100,0.07143181,-1153.7919,3400,0.25756067,0.9367292,-94.371445,1.0456862,-46.207882,161.29898,[-0.569 -1.107 -0.814 -1.048 -0.014],1.00039
-106.2885145724409,-76.10882,100.0,99.00003,0.9979906,0.012333824,1.4048193,15.57222,35,1.0003731,126808,38.62,-76.28978,-1188.7852,,364.4591076374054,100,0.0772499,-1188.6925,3500,0.26701587,0.96728027,-96.89717,1.0424306,-34.861305,241.89311,[-0.568 -1.108 -0.814 -1.049 -0.015],1.0001786
-107.26022411481476,-79.439064,100.0,99.00004,0.99278265,0.031976964,1.403864,14.105556,36,1.0019735,130230,34.22,-79.93244,-1178.1187,,374.84419202804565,100,0.0684623,-1177.872,3600,0.25258908,0.9018022,-96.97226,1.0750614,-29.06925,214.62196,[-0.567 -1.108 -0.814 -1.049 -0.014],1.0010686
-107.22717656793446,-77.73599,100.0,99.0,0.992333,0.03073035,1.4018233,12.942731,37,1.0013868,133850,36.2,-78.3046,-1157.1487,,385.15945839881897,100,0.072428636,-1156.8522,3700,0.25925615,0.9098996,-96.17329,1.0680001,-43.1487,170.67284,[-0.565 -1.108 -0.814 -1.05  -0.015],1.0007516
-107.27901922148295,-76.18304,100.0,99.0,0.9951086,0.02319372,1.4013886,14.328186,38,1.0011966,137765,39.15,-76.49842,-1210.7533,,395.4191176891327,100,0.07831564,-1210.587,3800,0.26869792,0.93177915,-96.793365,1.0524788,-17.424616,214.48506,[-0.564 -1.107 -0.814 -1.05  -0.017],1.0005212
-107.10229211830416,-78.120804,100.0,99.0,0.9966316,0.014038565,1.40191,14.063835,39,1.0006546,141365,36.0,-78.37363,-1203.3883,,405.71093678474426,100,0.07201007,-1203.2444,3900,0.25852776,0.94622016,-94.90704,1.0341527,-9.1285925,199.21133,[-0.563 -1.108 -0.815 -1.052 -0.018],1.000264
-106.91794729092649,-76.73572,100.0,99.0,0.9983389,0.010740038,1.4017966,13.729386,40,1.0002327,145173,38.08,-76.842636,-1161.5317,,416.55913853645325,100,0.07616517,-1161.4712,4000,0.2652679,0.9620497,-94.43366,1.0270706,-35.222958,191.8387,[-0.564 -1.109 -0.815 -1.052 -0.017],1.0000991
-106.33795239319191,-76.69493,100.0,99.0,0.99938667,0.007077406,1.4017955,15.67783,41,1.0001116,148945,37.72,-76.7408,-1177.4476,,428.03959250450134,100,0.07544254,-1177.4238,4100,0.2641197,0.97998405,-94.40967,1.0181601,-17.625349,247.74173,[-0.564 -1.111 -0.816 -1.053 -0.017],1.0000622
-108.22307870488136,-79.79004,100.0,99.00001,0.99578327,0.019658599,1.4003925,12.382497,42,1.0009903,152428,34.83,-80.08931,-1149.6449,,436.8195915222168,100,0.06967397,-1149.4902,4200,0.25462103,0.9459584,-94.55795,1.041231,-32.031437,160.75072,[-0.564 -1.111 -0.816 -1.053 -0.017],1.000369
-106.4231133227544,-76.05057,100.0,99.0,0.9930839,0.021674057,1.3983302,13.544774,43,1.0011483,156191,37.63,-76.57512,-1139.5692,,448.1775531768799,100,0.07528912,-1139.2853,4300,0.26391464,0.9075492,-95.51586,1.0453672,-33.887405,184.49866,[-0.564 -1.109 -0.815 -1.053 -0.019],1.0005791
-107.18612515600081,-79.36601,100.0,99.0,0.9936117,0.024706854,1.3993869,12.978662,44,1.001132,159598,34.07,-79.821655,-1158.6658,,458.9704554080963,100,0.068163484,-1158.4396,4400,0.25206333,0.9197521,-95.33773,1.0544599,-26.987885,176.42755,[-0.563 -1.108 -0.814 -1.052 -0.021],1.0007243
-107.21722801967371,-78.29754,100.0,99.00001,0.9972168,0.015788479,1.4009376,12.912579,45,1.00051,163188,35.9,-78.48951,-1141.4836,,468.61755752563477,100,0.07180994,-1141.3854,4500,0.25819355,0.9589527,-96.05515,1.0503451,-45.49778,171.34,[-0.563 -1.108 -0.815 -1.052 -0.02 ],1.0002292
-107.47374957938014,-76.643005,100.0,99.000046,0.99411243,0.022872582,1.4023366,12.906239,46,1.0013382,167023,38.35,-77.06879,-1152.888,,479.09701013565063,100,0.07672427,-1152.6716,4600,0.26620385,0.9157751,-95.27736,1.0864317,-38.36459,169.06715,[-0.563 -1.107 -0.815 -1.052 -0.018],1.0007495
-107.42109000782305,-77.330505,100.0,99.00001,0.9933875,0.03124137,1.403326,12.957103,47,1.0016623,170728,37.05,-77.79652,-1119.1484,,489.6006455421448,100,0.074126124,-1118.9011,4700,0.26202345,0.92414486,-95.14474,1.1189957,-46.148643,175.73213,[-0.563 -1.107 -0.815 -1.052 -0.017],1.0010029
-107.64052836643987,-79.03079,100.0,99.00004,0.9971912,0.0153979175,1.4023722,13.401961,48,1.0004905,174271,35.43,-79.23997,-1138.8364,,501.36781764030457,100,0.07087171,-1138.7297,4800,0.25663868,0.9514793,-95.93937,1.0325361,-46.2817,181.1535,[-0.561 -1.107 -0.815 -1.054 -0.016],1.0002741
-107.27441179234847,-78.72282,100.0,99.0,0.9988311,0.008600606,1.402372,13.856783,49,1.0004056,177831,35.6,-78.813065,-1151.5367,,511.85338521003723,100,0.07120297,-1151.4795,4900,0.2571656,0.96877456,-96.4947,1.0285884,-36.116665,192.85909,[-0.561 -1.105 -0.814 -1.053 -0.016],1.000091
-106.84310239211692,-78.33773,100.0,99.0,0.9972426,0.01500639,1.4017953,14.010187,50,1.000584,181382,35.51,-78.55015,-1157.3943,,522.1201519966125,100,0.07102942,-1157.2706,5000,0.25688845,0.9317691,-96.09439,1.0286778,-32.844646,198.81082,[-0.56  -1.106 -0.814 -1.053 -0.016],1.0002229
-108.00171991716337,-78.62114,100.0,99.00007,0.9913661,0.025424112,1.4038428,12.3416,51,1.0014322,184964,35.82,-79.22082,-1163.9099,,532.6470804214478,100,0.07166587,-1163.5765,5100,0.25798,0.9157339,-95.96739,1.0813931,-41.563026,157.13342,[-0.559 -1.107 -0.814 -1.054 -0.017],1.0006397
-107.3947983566512,-79.30193,100.0,99.0,0.9985886,0.012714629,1.4039268,13.4648905,52,1.0003688,188493,35.29,-79.401985,-1184.9833,,542.7204539775848,100,0.07058462,-1184.9313,5200,0.25613758,0.96898776,-94.02965,1.0370252,-33.680595,183.13216,[-0.56  -1.109 -0.815 -1.055 -0.015],1.0002021
-108.46813556072853,-78.73941,100.0,99.0,0.9988535,0.006369802,1.403864,12.201462,53,1.0002164,192167,36.74,-78.81655,-1163.5056,,551.7303745746613,100,0.07348369,-1163.466,5300,0.2609388,0.9816395,-95.121574,1.0205698,-42.48659,151.48654,[-0.56  -1.108 -0.815 -1.055 -0.015],1.0000728
-106.21422244862762,-78.07221,100.0,99.00001,0.99412906,0.0276252,1.4022355,13.687266,54,1.0013012,195661,34.94,-78.51767,-1166.0304,,561.7801365852356,100,0.0699007,-1165.7992,5400,0.2550152,0.8704573,-93.276306,1.0741465,-40.65028,187.78348,[-0.56  -1.107 -0.815 -1.054 -0.015],1.0007071
-105.86376917864837,-76.0863,100.0,99.0,0.99580556,0.026136283,1.4017164,15.256782,55,1.0010223,199456,37.95,-76.46133,-1186.7032,,572.7436130046844,100,0.07591987,-1186.5137,5500,0.26491162,0.92420214,-96.15681,1.0557956,-32.97373,230.78735,[-0.559 -1.107 -0.815 -1.055 -0.017],1.0005374
-107.33817897089551,-77.03783,100.0,99.00004,0.9962034,0.014003791,1.4023166,12.738823,56,1.0007865,203220,37.64,-77.274,-1161.9631,,582.6301074028015,100,0.0752904,-1161.8422,5600,0.26388857,0.9554528,-95.10554,1.045346,-43.157825,167.8298,[-0.56  -1.109 -0.816 -1.055 -0.017],1.0002449
-105.4116223813532,-74.89954,100.0,99.000015,0.99678576,0.017627083,1.400819,16.073233,57,1.0005525,207166,39.46,-75.16711,-1183.1049,,591.9673261642456,100,0.07893453,-1182.9617,5700,0.26965773,0.9491613,-94.93983,1.0633721,-32.962456,256.4602,[-0.561 -1.107 -0.815 -1.055 -0.017],1.0002767
-107.25932005726277,-77.728806,100.0,99.0,0.99976486,0.004705016,1.4004122,12.988751,58,1.000046,210873,37.07,-77.74515,-1147.3007,,601.939023733139,100,0.07414075,-1147.2916,5800,0.26199585,0.98388064,-94.51752,1.0117604,-39.254616,170.35191,[-0.561 -1.107 -0.815 -1.055 -0.018],1.0000262
-107.77566192645116,-77.26656,100.0,99.0,0.99811435,0.0126235215,1.399436,13.924614,59,1.000302,214707,38.34,-77.38742,-1198.4122,,611.889723777771,100,0.07668636,-1198.3518,5900,0.26610923,0.9539596,-95.37006,1.0316193,-27.443014,198.4499,[-0.56  -1.107 -0.815 -1.055 -0.018],1.000147
-107.71244769111335,-77.91137,100.0,99.00005,0.99899673,0.010594118,1.3994414,12.995326,60,1.0002608,218442,37.35,-77.983986,-1165.4967,,622.3156337738037,100,0.07470398,-1165.4607,6000,0.2629245,0.96341604,-94.70824,1.0348833,-24.27562,171.66791,[-0.56  -1.106 -0.814 -1.055 -0.019],1.0001345
-108.05407198306568,-81.407745,100.0,99.00006,0.9967045,0.016234063,1.40074,12.7846,61,1.0006108,221696,32.54,-81.68551,-1177.2933,,631.0556077957153,100,0.06509143,-1177.1505,6100,0.2467155,0.96084183,-96.58381,1.05938,-40.483776,163.31847,[-0.561 -1.107 -0.814 -1.055 -0.019],1.000259
-108.03394812536149,-79.58978,100.0,99.0,0.99275327,0.02796247,1.3998643,12.015245,62,1.0017262,225129,34.33,-80.128914,-1178.3151,,642.0063579082489,100,0.068684466,-1178.0427,6200,0.25297147,0.90983874,-97.03164,1.0651823,-39.31536,147.3002,[-0.561 -1.108 -0.815 -1.056 -0.018],1.0011288
-106.66566750741731,-79.824,100.0,99.0,0.9966739,0.015866138,1.4009322,12.556017,63,1.0008489,228407,32.78,-80.063354,-1139.6598,,651.4809200763702,100,0.065569036,-1139.5208,6300,0.24755135,0.94563127,-96.92613,1.0490602,-36.924915,164.44315,[-0.563 -1.108 -0.814 -1.055 -0.019],1.0002612
-106.98360333615946,-79.15711,100.0,99.0,0.9986676,0.009053959,1.4008406,13.483653,64,1.0002719,231889,34.82,-79.26803,-1182.4395,,662.037650346756,100,0.06964475,-1182.38,6400,0.25456017,0.9718573,-95.978745,1.0260752,-34.211525,182.66736,[-0.56  -1.108 -0.814 -1.055 -0.018],1.0000882
-107.86473004779874,-78.49518,100.0,99.00001,0.99312484,0.03206976,1.4007564,12.719405,65,1.0021211,235459,35.7,-79.031395,-1151.755,,672.864294052124,100,0.07142676,-1151.487,6500,0.25758237,0.8803019,-94.61628,1.1221269,-42.603313,166.0975,[-0.56  -1.109 -0.814 -1.056 -0.018],1.0010228
-107.47208836444696,-78.51395,100.0,99.000015,0.989392,0.037475206,1.4008461,13.10405,66,1.0031785,238982,35.23,-79.275856,-1187.2136,,682.9586913585663,100,0.070494406,-1186.8206,6600,0.25605127,0.8763509,-94.460625,1.0835642,-35.300457,185.55211,[-0.562 -1.111 -0.815 -1.056 -0.018],1.001646
-107.04826694976757,-77.21623,100.0,99.00007,0.9977814,0.011960968,1.3997574,12.876713,67,1.0003052,242720,37.38,-77.368675,-1187.6106,,694.2291390895844,100,0.07476752,-1187.5311,6700,0.26302332,0.9472587,-95.94477,1.0323454,-33.695427,168.86511,[-0.566 -1.112 -0.816 -1.055 -0.018],1.0001489
-108.11252019187707,-78.88067,100.0,99.000015,0.9994313,0.007416121,1.3994211,12.071871,68,1.0001326,246343,36.23,-78.92818,-1171.8987,,704.1522092819214,100,0.07246265,-1171.873,6800,0.25925463,0.9796996,-95.7509,1.0385004,-39.482563,147.51567,[-0.566 -1.112 -0.816 -1.055 -0.019],1.0000442
-107.30013488972918,-77.166115,100.0,99.000015,0.9947029,0.023986174,1.3997802,12.920171,69,1.0011076,250083,37.4,-77.522766,-1167.7954,,715.7001461982727,100,0.0748191,-1167.6138,6900,0.26312783,0.9296202,-95.25893,1.0594649,-38.180977,174.81055,[-0.565 -1.112 -0.816 -1.055 -0.019],1.0006843
-107.33491222681965,-78.18387,100.0,99.0,0.9934989,0.030963551,1.4003035,14.701176,70,1.0016177,253698,36.15,-78.6933,-1186.631,,725.004518032074,100,0.0723257,-1186.3691,7000,0.25907022,0.91551596,-95.52926,1.1044247,-17.858103,216.75278,[-0.565 -1.112 -0.817 -1.056 -0.019],1.0010271
-107.57869252980151,-77.16348,100.0,99.0,0.99868727,0.013449064,1.4004996,12.531807,71,1.0003163,257498,38.0,-77.25897,-1159.059,,735.0177898406982,100,0.07600503,-1159.0105,7100,0.26501128,0.95990556,-93.40207,1.0378933,-43.80022,160.41357,[-0.565 -1.112 -0.816 -1.055 -0.019],1.0001942
-106.99336551549177,-78.19853,100.0,99.00001,0.9962695,0.01733951,1.3995066,13.941769,72,1.0007157,261098,36.0,-78.507034,-1184.0884,,743.9244167804718,100,0.07201592,-1183.9304,7200,0.25854793,0.9367325,-95.549286,1.0353906,-18.805092,192.39932,[-0.565 -1.112 -0.816 -1.055 -0.018],1.0003076
-106.05255209398172,-77.27855,100.0,99.00001,0.9981803,0.0146037545,1.3985502,14.473481,73,1.0004004,264739,36.41,-77.415085,-1162.1041,,754.1099920272827,100,0.072826855,-1162.0328,7300,0.25987256,0.9532811,-96.3047,1.0383196,-43.87016,213.65152,[-0.566 -1.113 -0.817 -1.056 -0.019],1.0002264
-107.29258695901757,-78.8557,100.0,99.00001,0.99769104,0.013786521,1.39757,13.626699,74,1.0003781,268310,35.71,-79.03859,-1195.8932,,764.043568611145,100,0.07142886,-1195.8004,7400,0.25755012,0.95465666,-95.65954,1.0314648,-32.305626,187.54514,[-0.567 -1.113 -0.816 -1.056 -0.02 ],1.0001779
-107.99689423347962,-80.495186,100.0,99.00001,0.9966561,0.016863475,1.396513,12.437693,75,1.0006807,271671,33.61,-80.75398,-1143.7482,,773.88618683815,100,0.06723213,-1143.6152,7500,0.25044227,0.9451925,-96.93125,1.0463369,-42.71708,158.35529,[-0.566 -1.113 -0.816 -1.056 -0.021],1.0003129
-105.82349447291122,-77.39493,100.0,99.00001,0.99665344,0.01585792,1.3953933,15.361436,76,1.0004506,275298,36.27,-77.57375,-1170.5442,,784.2639651298523,100,0.07254879,-1170.4507,7600,0.25940204,0.94169956,-96.65659,1.0435957,-40.148346,244.91759,[-0.565 -1.114 -0.816 -1.057 -0.022],1.0002261
-106.17227430456519,-76.96691,100.0,99.0,0.99941564,0.008406392,1.3953998,13.937329,77,1.0001311,278990,36.92,-77.018585,-1189.5139,,793.6653292179108,100,0.073842384,-1189.486,7700,0.26152375,0.9772393,-95.75961,1.0195849,-30.448593,196.10414,[-0.565 -1.113 -0.816 -1.057 -0.024],1.0000801
-106.88992008011596,-78.050095,100.0,99.00001,0.9869208,0.044574663,1.3955023,13.463034,78,1.0036519,282472,34.82,-79.096146,-1145.4092,,801.3703112602234,100,0.069686145,-1144.824,7800,0.25470442,0.8645458,-95.0229,1.1133709,-39.47018,190.38046,[-0.566 -1.113 -0.815 -1.057 -0.024],1.0020876
-106.5329650552331,-79.006966,100.0,99.00001,0.99640733,0.022478016,1.3959595,13.326232,79,1.0007757,285870,33.98,-79.31549,-1138.912,,811.4350128173828,100,0.067977354,-1138.756,7900,0.25173563,0.94579685,-95.56666,1.0660086,-32.595257,174.77153,[-0.568 -1.114 -0.816 -1.055 -0.023],1.000483
-107.83957765100298,-80.10376,100.0,99.0,0.9980594,0.014671119,1.3968284,12.484256,80,1.000428,289285,34.15,-80.25646,-1162.0565,,820.5992984771729,100,0.06830683,-1161.977,8000,0.25229043,0.960457,-96.26187,1.0436738,-37.11855,158.0251,[-0.567 -1.114 -0.815 -1.055 -0.023],1.0002146
