MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.0003088,0.09044752,1.0001781,-81.11338,-96.63186,0.28683233,[-0.364 -0.677 -0.481 -0.253  0.001],0.9975559,367.8585352897644,,3000,0.962992,99.053185,-119.824508493313,1.0363879,8.25758,45.22,0.012076924,-1811.5092,-1811.5947,70.973145,-57.14662,137051,-81.28083,30,100.0,1.4209003,100
1.0000728,0.09248139,1.0000283,-81.46862,-98.83493,0.28970334,[-0.364 -0.677 -0.481 -0.252  0.002],0.99942327,379.0201358795166,,3100,0.98767,99.174805,-120.82122479495324,1.013353,9.846233,46.24,0.0047552623,-1828.0635,-1828.0896,97.53495,-56.089523,141675,-81.51276,31,100.0,1.4207875,100
1.000593,0.09288994,1.0002443,-81.01524,-97.16786,0.29029772,[-0.365 -0.676 -0.48  -0.252  0.002],0.9967522,390.9912016391754,,3200,0.96445096,99.18162,-120.73582310300164,1.0430224,8.421135,46.44,0.013513071,-1799.9362,-1800.0768,70.785965,-60.704384,146319,-81.25854,32,100.0,1.4209003,100
1.000536,0.09170962,1.000276,-82.01954,-98.25015,0.28864065,[-0.365 -0.674 -0.48  -0.251  0.002],0.99678814,402.44481348991394,,3300,0.93886787,99.17729,-121.68632059688711,1.0393676,8.170218,45.85,0.014892246,-1800.9524,-1801.0966,65.74469,-58.587093,150904,-82.27831,33,100.0,1.4199483,100
1.0003016,0.093788065,1.0001585,-81.70275,-96.51695,0.2915393,[-0.366 -0.674 -0.48  -0.251  0.001],0.9979101,413.9231173992157,,3400,0.96160984,99.20169,-121.81481342199035,1.0272899,8.165436,46.89,0.012022116,-1879.2375,-1879.3235,65.79835,-60.264263,155593,-81.876656,34,100.0,1.4194764,100
1.0002439,0.08952584,1.0001135,-83.40342,-98.9651,0.28551945,[-3.661e-01 -6.747e-01 -4.797e-01 -2.515e-01  5.330e-04],0.998256,424.8108367919922,,3500,0.9709157,99.10916,-122.3008745913239,1.0339559,8.054625,44.76,0.009963067,-1783.989,-1784.0675,64.322205,-61.35125,160069,-83.546745,35,100.0,1.4189228,100
1.0006082,0.09089603,1.0003096,-80.8936,-98.60381,0.28749248,[-3.667e-01 -6.748e-01 -4.800e-01 -2.518e-01 -7.211e-05],0.9948947,437.1083779335022,,3600,0.9435345,99.16175,-119.93782353709939,1.0466892,8.06817,45.44,0.017386487,-1827.656,-1827.8564,65.7009,-58.853836,164613,-81.2795,36,100.0,1.4202598,100
1.0002311,0.09320354,1.0000933,-80.67612,-95.706314,0.2907298,[-0.367 -0.674 -0.48  -0.252  0.001],0.9981108,449.08574867248535,,3700,0.965949,99.17024,-120.25889681640021,1.0274099,9.221758,46.6,0.009535113,-1856.6249,-1856.6758,89.11389,-52.410606,169273,-80.774895,37,100.0,1.4200082,100
1.0008016,0.089879364,1.0004569,-82.53495,-97.43007,0.28604713,[-0.366 -0.674 -0.48  -0.252  0.001],0.99390537,461.1295871734619,,3800,0.9235896,99.13794,-121.74541021093702,1.0470375,7.937452,44.93,0.020566627,-1839.5631,-1839.8138,62.00147,-58.715397,173766,-83.00845,38,100.0,1.4193059,100
1.0002664,0.09130391,1.0001339,-82.20083,-95.95203,0.28804326,[-3.676e-01 -6.763e-01 -4.805e-01 -2.523e-01  3.322e-04],0.998265,473.0965430736542,,3900,0.96915704,99.000275,-121.26618065930089,1.0261893,8.840212,45.65,0.009952682,-1843.9956,-1844.0507,81.131645,-45.99399,178331,-82.30553,39,100.0,1.4190564,100
