Iteration,EpRewMean,EmpiricalD2,MeanD2w0t,ReturnMeanIW,ReturnStepMax,MinIW,InitialBound,TimestepsSoFar,EpThisIter,InitialReturnMin,MeanIW,MeanEntropy,MinD2w0t,MaxIW,J_sample_variance,InitialReturnStd,MaxD2w0t,StdD2w0t,InitialReturnMax,Weights,EpLenMean,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMaxmin,StdIW
62,-107.70906658786866,1.0000502,0.07230186,-78.572525,100.0,0.98096216,-2690.5886,220817,100,-93.8597,0.9984733,1.411679,,1.0188762,146.85696,11.925809,1.0001005,0.25898752,-45.448658,[-0.558 -1.1   -0.809 -1.045 -0.008],36.15,6200,616.5195851325989,-2690.5393,-78.665794,99.00004,0.006840887
63,-107.6613523840722,1.0001711,0.07452413,-77.61399,100.0,0.9515522,-2741.6848,224543,100,-95.62477,0.9965744,1.4114954,,1.0241939,185.01483,13.318387,1.0004641,0.26263058,-25.221071,[-0.557 -1.099 -0.809 -1.045 -0.007],37.26,6300,626.7738034725189,-2741.5715,-77.833855,99.0,0.013109441
64,-107.11335405598376,1.00014,0.07702344,-76.59956,100.0,0.9678032,-2766.755,228394,100,-95.831505,0.9976962,1.4116629,,1.0330282,209.30307,14.3572235,1.0002139,0.26662835,-30.15912,[-0.559 -1.099 -0.809 -1.045 -0.007],38.51,6400,638.2768082618713,-2766.6729,-76.75946,99.0,0.011585733
65,-107.98205264105876,1.0000162,0.07334069,-78.65698,100.0,0.989609,-2768.6936,232061,100,-95.57131,0.99954784,1.4115008,,1.011844,169.5865,12.989146,1.0000407,0.26069593,-27.617422,[-0.56  -1.1   -0.809 -1.045 -0.007],36.67,6500,648.6382820606232,-2768.672,-78.69821,99.000015,0.0036500732
66,-108.02792016003785,1.0000021,0.074900016,-78.135574,100.0,0.99555224,-2768.1365,235806,100,-95.73678,0.9999268,1.4112458,,1.0038742,154.22621,12.357694,1.0000044,0.26323608,-36.618443,[-0.559 -1.099 -0.809 -1.045 -0.007],37.45,6600,658.7765417098999,-2768.133,-78.14107,99.000046,0.0014269392
67,-105.47178395749948,1.0000492,0.075001985,-76.109116,100.0,0.97784805,-2784.3215,239556,100,-94.50558,0.9986405,1.4112408,,1.0184675,245.21675,15.593896,1.0001717,0.26339224,-20.28989,[-0.559 -1.099 -0.809 -1.045 -0.008],37.5,6700,668.3843667507172,-2784.264,-76.21163,99.0,0.0071727238
68,-108.03914277827761,1.0000772,0.07762422,-77.10428,100.0,0.97233593,-2837.7783,243437,100,-96.142525,0.99681515,1.4107909,,1.0255219,203.47926,14.20776,1.00019,0.2675792,-29.54348,[-0.56  -1.1   -0.809 -1.045 -0.008],38.81,6800,679.30442237854,-2837.6423,-77.339134,99.00055,0.009256233
69,-105.34347027520816,1.0000641,0.07182143,-77.269585,100.0,0.97987944,-2807.7866,247028,100,-94.81511,0.99883705,1.4107859,,1.0206025,243.52621,15.4404545,1.0001146,0.25819334,-15.023241,[-0.559 -1.1   -0.808 -1.045 -0.008],35.91,6900,690.4258916378021,-2807.7483,-77.34234,99.0,0.00745284
70,-108.56022496921665,1.0000114,0.0681804,-80.814186,100.0,0.9875777,-2684.6372,250437,100,-95.14634,0.9996103,1.411042,,1.012132,147.40822,12.067251,1.0000286,0.25205335,-46.56073,[-0.559 -1.1   -0.808 -1.045 -0.008],34.09,7000,701.9370646476746,-2684.62,-80.84431,99.00002,0.0032941208
71,-107.63611945310394,1.0001241,0.07390254,-78.09597,100.0,0.9760755,-2713.435,254132,100,-95.56357,0.9982603,1.4111048,,1.0228633,204.6947,14.287095,1.0002172,0.26161906,-26.942461,[-0.559 -1.1   -0.809 -1.045 -0.008],36.95,7100,713.5041325092316,-2713.3633,-78.227005,99.0,0.010029884
72,-107.70859755820786,1.0001086,0.07350324,-78.25725,100.0,0.97062725,-2721.0234,257807,100,-96.17449,0.99806464,1.4111309,,1.0313811,197.70615,14.0000105,1.0001818,0.2609653,-29.61003,[-0.56  -1.1   -0.809 -1.045 -0.008],36.75,7200,722.2121543884277,-2720.9485,-78.40604,99.000046,0.010250458
73,-107.88152886159185,1.0000257,0.07546118,-77.58026,100.0,0.98538256,-2773.8113,261580,100,-93.89497,0.9993538,1.4106846,,1.0134234,174.69727,13.207963,1.0000511,0.26414365,-33.112816,[-0.56  -1.1   -0.809 -1.045 -0.008],37.73,7300,730.7323021888733,-2773.7783,-77.641335,99.0,0.0050434396
74,-106.90370775113968,1.0000194,0.0702208,-78.92968,100.0,0.9846455,-2749.5889,265091,100,-95.86345,0.99933505,1.4101777,,1.0110542,202.83562,14.15287,1.0000447,0.2555275,-42.293533,[-0.56  -1.101 -0.809 -1.045 -0.008],35.11,7400,739.9153780937195,-2749.5627,-78.97756,99.00001,0.0047695367
75,-107.00659339071515,1.0001559,0.07756494,-76.0609,100.0,0.948515,-2711.4753,268969,100,-95.69462,0.99716413,1.4096055,,1.0245625,176.36887,13.26065,1.0002569,0.2674903,-40.051292,[-0.56  -1.101 -0.809 -1.045 -0.009],38.78,7500,749.9284772872925,-2711.3735,-76.267296,99.0,0.012419873
76,-107.45335473697756,1.000117,0.06672403,-80.37333,100.0,0.95536125,-2708.238,272305,100,-95.52839,0.9962141,1.4092702,,1.0353274,174.71304,12.919137,1.0002555,0.24955653,-32.348732,[-0.56  -1.101 -0.809 -1.045 -0.009],33.36,7600,759.0610451698303,-2708.101,-80.61258,99.0,0.0116558345
77,-105.97280901716235,1.0001016,0.069704786,-78.22723,100.0,0.96476465,-2755.7336,275790,100,-95.26536,0.99631673,1.408225,,1.030326,232.9755,15.253185,1.0002482,0.2546508,-40.209225,[-0.561 -1.1   -0.809 -1.044 -0.01 ],34.85,7700,768.5228867530823,-2755.57,-78.513954,99.0,0.0104221
78,-107.74686820615192,1.000012,0.06682035,-80.588684,100.0,0.9898375,-2658.8428,279131,100,-96.95301,0.99964476,1.4086561,,1.0150573,160.8277,12.605002,1.0000249,0.24970804,-38.18148,[-0.56  -1.1   -0.808 -1.044 -0.011],33.41,7800,776.9068999290466,-2658.8281,-80.61555,99.00005,0.0035638209
79,-106.85517139444353,1.0000266,0.075080976,-77.19685,100.0,0.988522,-2747.8574,282885,100,-95.29305,0.9995127,1.4090873,,1.020037,200.03969,14.12517,1.0000552,0.2635279,-33.134792,[-0.56  -1.1   -0.808 -1.044 -0.01 ],37.54,7900,786.5048003196716,-2747.8313,-77.24613,99.0,0.00520035
80,-107.28939688787956,1.0000665,0.076603405,-76.820656,100.0,0.97346735,-2779.191,286715,100,-95.42074,0.9978551,1.4092878,,1.0171769,190.58275,13.768404,1.0001569,0.26596346,-35.734188,[-0.56  -1.101 -0.808 -1.044 -0.01 ],38.3,8000,796.1468677520752,-2779.1055,-76.98372,99.000015,0.00806623
