EmpiricalD2,MeanEntropy,EpRewMean,MeanIW,InitialReturnMin,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,MaxD2w0t,Iteration,EpThisIter,Bound,TimeElapsed,EpLenMean,InitialBound,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,ReturnStepMaxmin,ReturnStepMax,J_sample_variance,ReturnMeanIW,EpisodesSoFar,TimestepsSoFar,MaxIW,MinIW,InitialReturnMean
1.0156819,1.3906319,-120.460204672712,1.0258836,-17.496384,10.0,37.33042,0.099564485,0.11202433,1.0322429,30,100,-119.0153,356.1302869319916,49.4,-121.31964,,[-0.41  -0.677 -0.482 -0.262 -0.029],0.3007112,8.920994,94.17255,100.0,374.5844,166.65938,3000,140998,1.4544252,0.7011958,3.8146973e-07
1.0242331,1.3870933,-120.37431900870097,1.0485802,-15.860374,10.0,29.672066,0.09924037,0.18162286,1.050059,31,100,-117.4011,368.41613602638245,48.95,-121.47187,,[-0.42  -0.682 -0.484 -0.264 -0.028],0.3012663,9.103975,94.14645,100.0,623.30255,171.24539,3100,145893,1.5308485,0.677202,1.6021728e-06
1.0204171,1.3974394,-120.01081298941057,1.0272564,-17.304718,10.0,27.074772,0.09213556,0.16713183,1.0361142,32,100,-93.52991,379.87395095825195,45.6,-95.28126,,[-0.406 -0.668 -0.476 -0.26  -0.032],0.29084983,8.904327,93.79509,100.0,595.6916,183.54883,3200,150453,2.1753368,0.7236972,7.2479247e-07
1.0187639,1.4027078,-120.14626508086005,1.0286995,-18.420784,10.0,29.76839,0.09685977,0.15036856,1.0412931,33,100,-116.61573,392.38338136672974,47.9,-119.00235,,[-0.401 -0.669 -0.478 -0.259 -0.022],0.29757777,9.12682,94.09744,100.0,455.35403,173.55046,3300,155243,1.555367,0.68545705,-4.577637e-06
1.016074,1.4115597,-120.35188126885751,1.020165,-17.308807,10.0,48.669952,0.09593375,0.13744417,1.0347812,34,100,-117.910675,404.34175968170166,47.62,-119.32032,,[-0.411 -0.661 -0.482 -0.256 -0.016],0.29569983,10.494465,93.94542,100.0,417.74316,173.42877,3400,160005,1.4621503,0.7582367,-1.8310546e-06
1.0431199,1.3974892,-119.69259908380153,1.0753006,-16.992744,10.0,25.126049,0.09661547,0.20684063,1.090613,35,100,-109.5541,416.71847128868103,47.24,-115.13057,,[-0.415 -0.658 -0.479 -0.255 -0.007],0.2991627,8.90572,94.07135,100.0,890.50006,181.81677,3500,164729,1.9581336,0.662189,1.9454956e-06
1.035107,1.4028924,-121.29826480522395,1.0332284,-19.240273,10.0,21.757198,0.10107539,0.22654267,1.0519884,36,100,-111.939766,429.2340121269226,49.83,-113.96105,,[-0.427 -0.644 -0.479 -0.251 -0.021],0.30382004,9.204741,94.25853,100.0,852.3109,166.53622,3600,169712,2.4552095,0.6542552,5.0735475e-06
1.0241935,1.4131922,-119.07895609748147,1.038184,-17.393478,10.0,20.691612,0.09316586,0.16177651,1.045559,37,100,-101.06028,441.0263409614563,45.9,-103.9441,,[-0.43  -0.642 -0.474 -0.248 -0.016],0.29304358,8.735026,93.97305,100.0,601.67236,182.55093,3700,174302,1.6538628,0.6587763,7.095337e-06
1.0216165,1.4149276,-119.41451092500252,1.0287496,-17.613129,10.0,23.01704,0.09854435,0.14585045,1.0382317,38,100,-121.12012,453.58191537857056,48.71,-123.39222,,[-0.434 -0.642 -0.48  -0.244 -0.006],0.29995555,9.0081,94.29893,100.0,603.8149,168.8622,3800,179173,1.4392867,0.63806033,2.4795531e-06
1.0154796,1.4154911,-120.73949520846988,1.0206972,-18.355942,10.0,41.496357,0.09852422,0.117793374,1.0243615,39,100,-119.7332,466.2068929672241,48.92,-121.27428,,[-0.435 -0.651 -0.479 -0.245 -0.004],0.29917803,9.70398,94.06381,100.0,327.8846,168.1686,3900,184065,1.4584694,0.7246915,-4.577637e-06
1.014853,1.4214314,-121.34185553778049,1.0238386,-17.57029,10.0,23.292362,0.096061155,0.13005972,1.0333521,40,100,-111.62678,478.56399059295654,47.6,-113.34242,,[-0.427 -0.655 -0.475 -0.25  -0.003],0.29614314,8.371624,94.02187,100.0,390.16086,175.41296,4000,188825,1.4479661,0.7272135,2.822876e-06
