ReturnStepMax,TimestepsSoFar,MeanD2w0t,StdD2w0t,Weights,EpLenMean,MeanEntropy,InitialReturnMean,EmpiricalD2,J_sample_variance,TimeElapsed,EpThisIter,EpisodesSoFar,EpRewMean,Iteration,MeanIW,InitialReturnStd,MaxIW,MinD2w0t,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,InitialBound,InitialReturnMax,StdIW,InitialReturnMin,ReturnMeanIW
100.0,49462,0.034028485,0.18138482,[-0.703  0.915 -0.677  0.292  0.005],17.0,1.4225075,-93.13164,1.0019641,26.519526,218.968035697937,100,2900,-108.38251018810558,29,0.99079233,3.04854,1.1459994,,99.35775,0.8145812,1.0038253,-652.9333,-653.36346,-84.11113,0.04812612,-97.53497,-92.31572
100.0,51172,0.034209833,0.18179771,[-0.698  0.912 -0.675  0.29   0.004],17.1,1.4254221,-93.19768,1.0007975,13.075761,226.46357035636902,100,3000,-108.50900461225454,30,0.99656624,2.8214955,1.0797765,,99.38489,0.94397795,1.0014797,-646.93097,-647.10144,-83.88569,0.026656967,-97.77204,-92.89043
100.0,52849,0.033544347,0.18006608,[-0.697  0.912 -0.676  0.291  0.007],16.77,1.4272048,-93.31766,1.000309,13.974908,234.1615023612976,100,3100,-108.3520370899014,31,0.998523,3.0776289,1.0546759,,99.3856,0.96522003,1.0006799,-640.6177,-640.68884,-82.386215,0.018191317,-97.292465,-93.18743
100.0,54561,0.0342651,0.18198045,[-0.697  0.912 -0.675  0.29   0.008],17.12,1.426842,-93.19612,1.0017644,27.5607,241.6588590145111,100,3200,-108.55857403476399,32,0.9935281,3.3727767,1.1190798,,99.357574,0.8780925,1.0038233,-724.50916,-724.8383,-83.36619,0.045042165,-98.32204,-92.60441
100.0,56207,0.0329358,0.17850977,[-0.695  0.914 -0.674  0.288  0.008],16.46,1.4243767,-93.49405,1.0013603,16.789614,248.7463083267212,100,3300,-108.26448591967657,33,0.9931489,2.336413,1.0781685,,99.36291,0.9104645,1.0040643,-659.51855,-659.8589,-84.08952,0.03319442,-97.48677,-92.905045
100.0,57889,0.033694778,0.18058962,[-0.689  0.913 -0.674  0.29   0.005],16.82,1.4283538,-92.97255,1.0027617,35.31235,255.84068489074707,100,3400,-108.011024085666,34,0.9850796,2.9580724,1.1483139,,99.371506,0.8678957,1.0065985,-618.64185,-619.41376,-81.665985,0.05225763,-97.62769,-91.661804
100.0,59632,0.03488953,0.1835864,[-0.693  0.912 -0.678  0.294  0.009],17.43,1.4263369,-92.96063,1.0015135,26.447908,263.1161115169525,100,3500,-108.57390335832139,35,0.99269813,3.2575881,1.1072953,,99.359955,0.8528144,1.0036726,-692.1707,-692.4766,-83.41259,0.040939085,-97.32243,-92.338455
100.0,61385,0.035070516,0.18399087,[-0.695  0.914 -0.676  0.291  0.007],17.53,1.427729,-92.74791,1.000656,16.374863,270.1848020553589,100,3600,-108.41931077806204,36,0.997678,3.4068658,1.0680618,,99.360275,0.93039274,1.001406,-706.6987,-706.7979,-80.38973,0.023184223,-97.52945,-92.53914
100.0,63066,0.033666164,0.18049486,[-0.693  0.915 -0.676  0.29   0.009],16.81,1.4212642,-93.459656,1.002343,21.989998,277.81171703338623,100,3700,-108.55435762298904,37,0.98866767,2.490743,1.0840561,,99.363014,0.83576065,1.0058668,-619.3649,-619.9009,-86.17248,0.042937882,-97.73681,-92.4486
100.0,64754,0.0338276,0.18097313,[-0.697  0.914 -0.679  0.293  0.002],16.88,1.4183295,-93.57977,1.0060357,52.068985,284.90653824806213,100,3800,-108.75211502063316,38,0.98394346,2.601442,1.1892756,,99.385185,0.75318444,1.0099462,-633.5601,-634.2038,-86.51514,0.0757272,-97.27053,-92.174576
100.0,66564,0.036220897,0.1868961,[-7.049e-01  9.109e-01 -6.803e-01  2.956e-01 -6.477e-04],18.1,1.4134467,-92.83785,1.0011733,22.966898,294.0387992858887,100,3900,-109.06601137817397,39,0.9925536,3.5924232,1.0524013,,99.34625,0.8957692,1.0026202,-681.596,-681.9496,-81.82702,0.035017945,-97.56842,-92.19233
100.0,68274,0.034211256,0.18180496,[-0.707  0.911 -0.68   0.295 -0.006],17.1,1.4150108,-93.12046,1.0005654,15.200702,303.46170353889465,100,4000,-108.43959698405615,40,0.9968345,3.2240937,1.077709,,99.35393,0.94787705,1.0017728,-640.3444,-640.49164,-80.06246,0.022935307,-97.50491,-92.8355
100.0,70064,0.035814214,0.18586275,[-0.707  0.91  -0.682  0.297 -0.004],17.9,1.4129779,-92.58612,1.000719,15.652664,312.24564957618713,100,4100,-108.5835910891179,41,0.99607235,3.0526495,1.0905161,,99.36805,0.89619535,1.0015086,-719.82526,-720.00793,-83.05178,0.030464016,-97.38572,-92.22309
