EntropyCoefficient,TimeElapsed,EmpiricalD2,StdD2w0t,MeanD2w0t,InitialReturnMax,MaxIW,ReturnMeanIW,InitialBound,MeanIW,EpLenMean,InitialReturnStd,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,ReturnStepMax,InitialReturnMean,MeanEntropy,MinD2w0t,Bound,Iteration,MinIW,EpThisIter,J_sample_variance,InitialReturnMin,TimestepsSoFar,MaxD2w0t,Weights,StdIW
100.0,234.8386025428772,1.0610862,0.18593842,0.034327623,10.67395,2.2145355,592.36646,177.13557,1.0573689,16.5,2.5496855,3800,86.22033,-108.77228391919859,100.0,-1.7547608e-06,1.5248075,,195.83005,38,0.47639912,100,19714.389,-3.8169327,64405,1.3453417,[-0.404  1.106 -0.545  0.253  0.079],0.26251516
100.0,241.39862823486328,1.0483397,0.18842444,0.036039997,10.642105,2.0509,542.44336,15.766693,1.042034,17.65,3.0623817,3900,87.02986,-109.25559897952623,100.0,-6.1035155e-07,1.5497017,,26.431046,39,0.5988727,100,15496.414,-3.79628,66170,1.0994787,[-0.388  1.079 -0.567  0.253  0.106],0.25626722
100.0,247.3905303478241,1.0024966,0.18274803,0.0345461,10.846863,1.1021898,536.45953,105.5204,1.0043225,17.25,3.0853333,4000,86.78147,-108.99594802880523,100.0,4.119873e-06,1.5419917,,106.30849,40,0.85590225,100,612.1272,-4.1537094,67895,1.0058559,[-0.399  1.077 -0.56   0.251  0.131],0.0502274
100.0,253.21118927001953,1.0179105,0.18154195,0.033722237,8.319237,1.63259,565.1963,131.80922,1.0191451,16.68,2.5913088,4100,86.32662,-109.08858033217786,100.0,-5.264282e-06,1.5570455,,137.516,41,0.6054587,100,5702.492,-3.562317,69563,1.081943,[-0.406  1.079 -0.56   0.253  0.123],0.14864479
100.0,259.4011957645416,1.5185447,0.2218136,0.041129395,11.480141,8.657802,665.38873,64.60799,1.2699226,17.31,3.099367,4200,86.80134,-108.96797106172035,100.0,-4.8828124e-06,1.5545894,,136.72285,42,0.15663442,100,248804.28,-5.0883408,71294,2.2797444,[-0.398  1.065 -0.569  0.253  0.138],1.0263237
100.0,266.4931297302246,1.056681,0.18719718,0.035391588,11.751999,2.0672832,549.9549,109.82655,1.034095,17.26,2.8326395,4300,86.75865,-108.70115346826238,100.0,1.04522705e-05,1.5833871,,118.70981,43,0.57118106,100,19195.92,-4.4117737,73020,1.0874059,[-0.436  1.045 -0.567  0.287  0.136],0.28237137
100.0,273.16676568984985,1.019608,0.1842473,0.0348997,7.966049,1.3823739,541.9125,70.44595,1.023834,17.32,2.6024404,4400,86.838684,-108.79130608735589,100.0,1.083374e-05,1.5950291,,77.44096,44,0.7061789,100,4227.2593,-4.8051987,74752,1.0530394,[-0.444  1.037 -0.567  0.289  0.164],0.13321121
100.0,279.200963973999,1.0088127,0.1810657,0.03381332,10.889572,1.2732925,550.54083,66.47252,1.0080606,16.85,2.4720507,4500,86.518654,-108.58608959348696,100.0,-9.918213e-07,1.6035951,,69.41383,45,0.84946096,100,2000.9481,-3.7227325,76437,1.0135492,[-0.459  1.034 -0.565  0.28   0.176],0.09049699
100.0,285.50821185112,1.2217412,0.20915553,0.038716972,8.761932,10.23976,620.41394,117.26381,1.1543567,17.04,2.5226886,4600,86.62439,-108.75062773126984,100.0,2.670288e-06,1.5928689,,148.0167,46,0.21236704,100,212871.08,-3.992859,78141,3.4286747,[-0.47   1.036 -0.561  0.28   0.185],0.8910277
100.0,292.5947289466858,1.0662401,0.18694799,0.035266522,9.055626,2.2959182,556.25,137.37985,1.0367332,17.19,2.8000042,4700,86.63367,-109.38726675341451,100.0,-4.577637e-06,1.6178442,,147.53937,47,0.5628197,100,20214.07,-4.5327225,79860,1.0946778,[-0.467  1.075 -0.522  0.247  0.174],0.29267892
100.0,298.76045989990234,1.0373129,0.18648472,0.035628922,8.877953,1.7588922,533.1041,100.37488,1.0223433,17.61,2.8450985,4800,87.0146,-109.11990183293666,100.0,-1.3198853e-05,1.6211174,,107.038925,48,0.59536576,100,8268.065,-4.348686,81621,1.0589962,[-0.49   1.075 -0.514  0.243  0.199],0.1933121
100.0,305.3602395057678,1.2426531,0.19526476,0.036102857,7.204117,3.9892788,631.1238,191.70775,1.149121,16.67,2.5469346,4900,86.29651,-109.08330428111282,100.0,8.392334e-06,1.6113328,,228.75876,49,0.35735422,100,99164.56,-4.223587,83288,1.689466,[-0.469  1.083 -0.511  0.238  0.202],0.6276308
100.0,311.6604154109955,1.0449768,0.18789957,0.03562245,7.0872345,1.5783424,552.5382,145.38431,1.0417515,17.36,2.7095196,5000,86.77763,-109.25796603512892,100.0,-6.790161e-06,1.6061215,,155.85568,50,0.48630646,100,11133.8545,-4.0270767,85024,1.1408573,[-0.449  1.113 -0.511  0.286  0.192],0.2165545
100.0,317.91000723838806,1.0525583,0.18448083,0.034613255,10.238815,1.6961783,559.9521,125.52579,1.0343606,17.01,2.4328077,5100,86.53598,-109.01904696094317,100.0,7.2479247e-06,1.6002843,,135.3961,51,0.4515279,100,11991.2705,-4.446701,86725,1.0868737,[-0.44   1.105 -0.531  0.297  0.187],0.22486377
100.0,324.30547618865967,1.0096042,0.1839629,0.0348784,9.713486,1.262419,537.649,129.34459,1.0158637,17.35,2.9733713,5200,86.83997,-108.75961848136694,100.0,-8.392334e-07,1.584986,,133.63226,52,0.7762452,100,1777.5759,-4.32312,88460,1.020571,[-0.462  1.097 -0.532  0.306  0.181],0.08675929
100.0,330.49903774261475,1.0138805,0.18366662,0.03474997,10.236809,1.4622879,538.6135,45.03784,1.0088813,17.28,2.7667103,5300,86.72525,-109.16445458800335,100.0,8.010864e-06,1.5820252,,47.035034,53,0.6348831,100,3580.4604,-3.836975,90188,1.0260044,[-0.443  1.092 -0.531  0.303  0.166],0.12199953
100.0,336.8084075450897,1.0296438,0.18463326,0.03481436,9.524437,1.9446318,551.97015,130.90912,1.0250578,17.17,2.4870932,5400,86.659386,-109.39980368218046,100.0,-7.5531007e-06,1.5771483,,137.62376,54,0.5922577,100,7397.5986,-3.9707794,91905,1.1373591,[-0.445  1.086 -0.53   0.307  0.163],0.17124459
100.0,343.5086979866028,1.017327,0.18266955,0.034164377,9.101402,1.8811015,556.1298,137.49315,1.0197355,16.9,3.017075,5500,86.4589,-108.83296139610884,100.0,-3.8146973e-07,1.5797502,,142.22911,55,0.73266566,100,6654.395,-4.022545,93595,1.1082547,[-0.446  1.104 -0.521  0.303  0.158],0.16226189
100.0,350.0196931362152,1.0709624,0.18428671,0.03450078,7.9239273,2.7930975,570.5821,99.8297,1.0486425,16.94,2.5923252,5600,86.46615,-109.17566371941446,100.0,1.0299683e-05,1.582703,,114.35794,56,0.49918252,100,14901.641,-4.73938,95289,1.1645768,[-0.433  1.11  -0.51   0.29   0.161],0.2494048
100.0,355.9779381752014,1.0255182,0.18509568,0.034952953,8.297768,1.7279176,552.9182,103.08945,1.0386759,17.22,2.9348283,5700,86.774155,-108.71653087200485,100.0,5.1116945e-06,1.574142,,112.26729,57,0.6434222,100,6190.373,-4.3474426,97011,1.0765585,[-0.412  1.129 -0.505  0.293  0.164],0.15643097
100.0,362.51481556892395,1.0662165,0.18582322,0.034508817,7.581894,2.4359384,577.5197,132.46346,1.0457939,16.7,2.7318184,5800,86.38041,-108.73802734434511,100.0,-1.4495849e-06,1.5711884,,144.816,58,0.47091857,100,20614.71,-3.772789,98681,1.3668919,[-0.403  1.126 -0.503  0.306  0.155],0.28121707
100.0,368.02121138572693,1.2188749,0.1903014,0.035136886,5.051384,5.016207,603.1578,187.9734,1.0901536,16.59,2.123282,5900,86.28907,-108.72925994125598,100.0,-8.69751e-06,1.5879098,,213.07571,59,0.2949178,100,77424.46,-3.731903,100340,1.49982,[-0.395  1.147 -0.486  0.294  0.152],0.570147
100.0,374.7696268558502,1.1061847,0.18787885,0.03521119,9.133041,2.3431242,572.29395,134.9769,1.0605825,16.99,2.8767557,6000,86.574196,-108.77768040969431,100.0,7.3242186e-06,1.5726532,,150.56653,60,0.3798154,100,29521.006,-4.077629,102039,1.22629,[-0.399  1.189 -0.484  0.321  0.169],0.34958497
100.0,380.8135709762573,1.0551127,0.18316841,0.034049794,8.558762,1.9414136,570.46484,74.38458,1.0359207,16.71,2.718346,6100,86.35768,-108.7566101740182,100.0,1.6021728e-06,1.5654538,,82.27792,61,0.38809562,100,16431.955,-5.043457,103710,1.130762,[-0.364  1.2   -0.479  0.307  0.154],0.25734305
100.0,387.089182138443,1.0162902,0.17842183,0.032732658,9.938446,1.4418159,574.16986,183.85971,1.0112349,16.28,2.5974202,6200,86.04047,-108.44224416191967,100.0,7.400513e-06,1.568361,,188.5703,62,0.7182406,100,3934.765,-5.028,105338,1.0382487,[-0.377  1.196 -0.467  0.295  0.147],0.12167258
100.0,392.42873215675354,1.0909147,0.18596962,0.034551796,7.669853,2.5004768,585.54755,144.19603,1.0631893,16.7,2.2071912,6300,86.35631,-108.85273881937448,100.0,9.155273e-07,1.5555615,,159.98572,63,0.36138368,100,29348.475,-3.6377945,107008,1.1502792,[-0.389  1.213 -0.467  0.306  0.149],0.3394807
100.0,399.583692073822,1.052406,0.19059095,0.036367282,9.837402,2.03361,547.812,113.35004,1.049676,17.6,2.780198,6400,86.908714,-109.44105254842626,100.0,-3.890991e-06,1.5606445,,125.727905,64,0.54477197,100,17350.055,-5.203491,108768,1.3431869,[-0.366  1.213 -0.481  0.301  0.136],0.27175
100.0,405.63288617134094,1.0283439,0.18618055,0.035558995,9.781349,1.9304794,533.46875,5.1678467,1.0193281,17.6,2.38373,6500,86.93924,-109.33902898102733,100.0,-4.9591063e-06,1.5618514,,10.609329,65,0.5504066,100,6604.6333,-4.4176483,110528,1.0666113,[-0.381  1.225 -0.465  0.284  0.142],0.17090319
100.0,411.7074067592621,1.0776154,0.18442506,0.034299176,9.880798,1.723779,581.3203,155.55482,1.0540143,16.73,2.5710685,6600,86.36012,-108.9909522937905,100.0,-7.400513e-06,1.5503926,,171.4889,66,0.40255702,100,14342.188,-4.0053864,112201,1.1943728,[-0.395  1.224 -0.455  0.275  0.143],0.24027285
100.0,418.56666469573975,1.040832,0.18939777,0.036351383,7.9975586,2.2723234,542.65564,51.68538,1.0486469,17.77,2.673429,6700,87.04301,-109.7266252727977,100.0,4.196167e-06,1.5800539,,63.92726,67,0.6918224,100,14193.94,-4.306946,113978,1.1046109,[-0.408  1.202 -0.464  0.273  0.131],0.25352174
100.0,424.29409646987915,1.0899458,0.18543202,0.034677953,6.740288,1.9509306,574.3585,96.33498,1.0539554,16.91,2.2200465,6800,86.44336,-109.21957767298862,100.0,-3.0517577e-07,1.5781441,,111.60811,68,0.41530946,100,20515.953,-3.5750275,115669,1.1112334,[-0.411  1.199 -0.463  0.264  0.161],0.29195705
100.0,430.89948296546936,1.0291458,0.18533617,0.03524321,10.579041,1.557519,538.61914,131.29988,1.0239347,17.45,2.8036795,6900,86.903046,-109.03660693841532,100.0,1.6784668e-06,1.5914183,,139.09575,69,0.7231317,100,6673.299,-4.3578796,117414,1.074834,[-0.43   1.187 -0.456  0.263  0.159],0.17325187
100.0,437.0735740661621,1.0466094,0.18674816,0.035577774,8.204758,2.7197988,538.641,112.60344,1.0267284,17.52,2.676816,7000,86.91916,-109.2024413833077,100.0,6.1035155e-07,1.5969853,,118.8806,70,0.4740819,100,14083.098,-4.5865707,119166,1.1555665,[-0.404  1.192 -0.451  0.264  0.172],0.25510105
100.0,443.4082372188568,1.065792,0.18805397,0.03564127,8.013634,2.5957873,549.3318,157.91228,1.0358303,17.35,2.6381226,7100,86.771255,-109.23723810334951,100.0,3.5858154e-06,1.6122055,,166.29855,71,0.5618776,100,20227.361,-4.5340424,120901,1.1237298,[-0.425  1.178 -0.46   0.26   0.178],0.29314
100.0,449.05090737342834,1.0310333,0.18392265,0.034679994,8.678513,2.265002,550.99884,81.16849,1.026006,17.17,2.4207993,7200,86.63523,-109.30208168818673,100.0,-1.5258789e-06,1.6093985,,86.57199,72,0.6153488,100,11316.576,-4.181679,122618,1.0966762,[-0.429  1.169 -0.456  0.269  0.193],0.21654764
100.0,455.6351947784424,1.0593628,0.183087,0.034204595,7.3434677,1.7213486,564.7556,160.94455,1.0351802,16.87,2.3272946,7300,86.52179,-108.8637877615718,100.0,1.197815e-05,1.6106498,,170.81523,73,0.6143338,100,13532.167,-3.4303665,124305,1.170893,[-0.452  1.166 -0.451  0.255  0.191],0.23975961
100.0,461.5981481075287,1.0750611,0.18953395,0.035690565,11.458023,3.1802282,564.0011,115.346664,1.051203,17.15,2.6491776,7400,86.673645,-109.02736521564863,100.0,1.9073486e-06,1.6258969,,128.11111,74,0.5457544,100,30728.803,-4.219864,126020,1.2760482,[-0.473  1.151 -0.451  0.244  0.192],0.3527277
100.0,467.9195785522461,1.0431381,0.18581642,0.03478417,12.068954,2.2717922,565.7686,148.17136,1.0409157,16.94,3.0098004,7500,86.477005,-109.06514802796835,100.0,-5.340576e-07,1.6376903,,158.8762,75,0.6499174,100,14328.201,-4.4722824,127714,1.1613468,[-0.487  1.15  -0.46   0.275  0.207],0.23632345
100.0,474.25955152511597,1.0915333,0.19005997,0.03578303,7.8602448,2.739602,576.7276,130.64885,1.0739541,17.15,2.6932492,7600,86.63962,-109.27270988287884,100.0,3.2043456e-06,1.6223675,,146.8429,76,0.19823694,100,30227.623,-3.7648163,129429,1.2371664,[-0.488  1.16  -0.446  0.257  0.219],0.35365665
100.0,480.15418124198914,1.0110567,0.18261918,0.034386884,6.68174,1.4753277,544.68304,95.74841,1.0148836,17.12,2.4705136,7700,86.65863,-108.81923921922022,100.0,-1.8310546e-06,1.6280267,,100.19806,77,0.8215153,100,3335.2576,-4.57856,131141,1.0362579,[-0.485  1.163 -0.468  0.276  0.203],0.12049875
100.0,486.93038988113403,1.0212153,0.18557328,0.035496294,8.555939,1.7837677,530.8582,78.41815,1.0137856,17.65,2.3168797,7800,86.92359,-109.96949970417148,100.0,-3.8146973e-07,1.6305592,,81.869156,78,0.57925636,100,5511.847,-4.191025,132906,1.0346807,[-0.504  1.166 -0.464  0.268  0.209],0.15626222
100.0,493.320059299469,1.0262461,0.18978377,0.03712628,8.358559,1.5493232,506.15625,28.38057,1.0215873,18.43,2.9990418,7900,87.49087,-109.42387285411576,100.0,2.5939942e-06,1.6360402,,33.65059,79,0.7191081,100,5391.9785,-4.8244934,134749,1.0649445,[-0.523  1.164 -0.46   0.265  0.212],0.16821206
