Weights,EpThisIter,MinIW,MeanEntropy,MeanIW,Iteration,Bound,InitialBound,ReturnStepMaxmin,EpRewMean,MinD2w0t,StdIW,EntropyCoefficient,EpisodesSoFar,EpLenMean,ReturnMeanIW,TimestepsSoFar,MaxD2w0t,InitialReturnMin,ReturnStepMax,J_sample_variance,TimeElapsed,EmpiricalD2,MeanD2w0t,InitialReturnStd,InitialReturnMax,MaxIW,InitialReturnMean,StdD2w0t
[ 0.976  0.849  0.294  0.845 -0.085],100,0.24600689,1.3289038,1.1236645,11,372.49146,344.95007,88.08269,-113.71821276377861,,0.6578195,100.0,1100,19.52,534.87537,21189,1.7320875,-2.0842361,100.0,77439.125,139.15034890174866,1.4032745,0.04351448,1.1460617,2.3864746,3.3510137,-9.155273e-07,0.2175516
[ 0.97   0.816  0.294  0.856 -0.09 ],100,0.11596558,1.3142098,1.1303365,12,400.20557,372.59854,88.27365,-113.98015380040074,,0.802447,100.0,1200,19.44,545.1817,23133,2.9591894,-1.987175,100.0,127547.35,149.66126227378845,1.3494006,0.046161298,1.2209595,5.0141907,5.132221,5.569458e-06,0.23357475
[ 0.966  0.793  0.308  0.802 -0.105],100,0.08167041,1.3193914,1.1564952,13,401.3064,373.8195,88.26361,-113.72553247463578,,1.4069257,100.0,1300,19.38,553.2437,25071,5.5709863,-2.7503586,100.0,357032.3,163.06681990623474,1.602004,0.047283024,1.2739458,4.0642624,21.882076,-3.2043456e-06,0.24831498
[ 0.958  0.826  0.276  0.779 -0.099],100,0.2696996,1.2956517,1.032489,14,399.65668,393.40448,87.601845,-112.92622767075213,,0.30222484,100.0,1400,18.45,527.89154,26916,1.2173501,-2.4778442,100.0,20693.541,174.63460898399353,1.0804772,0.03840303,1.1799765,2.796898,1.9817001,4.196167e-06,0.19630261
[ 0.953  0.822  0.263  0.756 -0.124],100,0.34856915,1.3142669,1.0527239,15,410.7083,393.79846,87.913605,-113.38532896064477,,0.3745904,100.0,1500,18.82,529.0012,28798,1.7454536,-2.1912842,100.0,31142.06,186.27300429344177,1.1623942,0.04078679,1.1745431,2.8677216,2.4333966,4.577637e-06,0.20689864
[ 0.957  0.832  0.27   0.803 -0.105],100,0.016647222,1.3046837,1.2299668,16,465.2356,410.61206,87.411156,-113.03320607375059,,1.397043,100.0,1600,18.52,618.5488,30650,5.986476,-2.7785873,100.0,426071.56,198.2869143486023,1.8935256,0.05312887,1.473998,4.549034,12.564792,-1.7547608e-06,0.2945211
[ 0.932  0.873  0.271  0.9   -0.114],100,0.40008718,1.2790623,1.0424622,17,356.42398,346.344,88.42465,-114.71169507390114,,0.2477254,100.0,1700,19.82,497.75766,32632,1.1611056,-2.2402496,100.0,11962.346,212.92565035820007,1.0610522,0.041003514,1.0070796,2.9507904,1.9463917,-1.7547608e-06,0.20188719
[ 0.938  0.877  0.271  0.926 -0.14 ],100,0.238457,1.2509643,1.0663719,18,396.52475,377.53302,87.885376,-113.27173180173988,,0.47115982,100.0,1800,18.7,539.0139,34502,1.5108943,-2.2207565,100.0,45245.797,224.95397353172302,1.2318562,0.039858546,1.0745738,2.771019,2.6474319,-1.6784668e-06,0.20275451
[ 0.956  0.897  0.277  0.942 -0.168],100,0.005388548,1.1660326,1.6227915,19,469.29816,383.90485,87.80764,-113.40982603072372,,3.4585078,100.0,1900,18.79,784.1975,36381,17.894516,-2.3498154,100.0,2294902.8,238.62619137763977,5.357936,0.08957955,1.1103566,3.007576,23.823895,1.9836425e-06,0.575801
[ 0.839  0.908  0.206  0.893 -0.253],100,0.3264121,1.1454554,1.0869381,20,340.38428,322.99408,88.637764,-114.82869743214485,,0.45285553,100.0,2000,20.3,501.32718,38411,1.4366567,-1.8240967,100.0,33943.61,252.4182164669037,1.1530792,0.043736447,0.91279507,1.9252548,3.6606388,8.392334e-07,0.213229
[ 0.832  0.91   0.189  0.867 -0.274],100,0.5205028,1.1514233,1.0474869,21,398.4168,383.3919,87.724236,-112.96222268639792,,0.29457045,100.0,2100,18.41,537.63824,40252,1.2945762,-1.9229126,100.0,20084.75,262.90230560302734,1.076166,0.03866088,1.08692,3.000145,2.5975947,8.010864e-06,0.19799383
[ 0.802  0.922  0.189  0.842 -0.267],100,0.07168784,1.1748005,1.1013061,22,412.49356,386.64474,87.84943,-113.24344222451339,,0.8816825,100.0,2200,18.64,555.2576,42116,3.4916277,-1.7717514,100.0,158105.12,273.9309437274933,1.7260138,0.04338328,0.98010325,2.9385757,5.7985096,9.155273e-07,0.22499533
[ 0.881  0.929  0.188  0.871 -0.244],100,0.4818269,1.1697133,1.0426055,23,327.3048,316.41672,88.37793,-114.43399986589843,,0.22366075,100.0,2300,19.98,492.49863,44114,1.1489582,-2.074768,100.0,9382.94,285.76492071151733,1.0523336,0.04127539,1.0503364,3.4577255,1.8410904,8.850097e-06,0.20238544
[ 0.893  0.927  0.2    0.866 -0.249],100,0.60120004,1.1794163,1.0112092,24,342.87982,340.67615,88.11152,-113.87764509627864,,0.18451996,100.0,2400,19.48,488.75748,46062,1.0677341,-2.4542923,100.0,6321.1846,297.812584400177,1.0277287,0.039528422,1.0653418,2.1723175,1.8582283,-6.8664554e-07,0.19632865
[ 0.894  0.931  0.206  0.861 -0.24 ],100,0.040970486,1.21165,1.2873589,25,524.147,436.83878,87.04457,-111.80533370919005,,1.9756583,100.0,2500,17.26,696.39185,47788,12.923806,-1.8505325,100.0,980535.44,307.59034633636475,3.261829,0.05628194,1.0585476,3.0610657,24.36586,-5.340576e-06,0.36961517
[ 0.876  0.891  0.211  0.789 -0.208],100,0.49812418,1.216584,1.012667,26,373.69293,370.085,87.94058,-112.99670901049909,,0.21111034,100.0,2600,18.74,509.45892,49662,1.1348459,-1.9908676,100.0,9815.432,319.9824547767639,1.0423677,0.03820237,1.1764537,4.035919,1.7954831,6.790161e-06,0.19364329
[ 0.864  0.886  0.212  0.772 -0.202],100,0.28761345,1.2539543,1.1173588,27,394.3095,371.3094,87.57686,-112.39388160434366,,0.81468993,100.0,2700,18.1,580.909,51472,1.9656556,-2.1723404,100.0,162356.2,330.4765582084656,1.3072422,0.042552985,0.9973126,2.987358,6.345336,2.9754638e-06,0.22183469
[ 0.868  0.884  0.222  0.73  -0.165],100,0.0016150211,1.2077459,1.4308882,28,496.9808,396.5031,87.45005,-112.85614719421858,,4.005184,100.0,2800,18.39,719.5131,53311,35.48261,-2.1134644,100.0,3426785.0,343.08166337013245,5.585486,0.07240279,1.1326721,3.2164383,35.749813,9.307862e-06,0.6659164
[ 0.906  0.935  0.238  0.814 -0.211],100,0.16423346,1.2216786,1.0537267,29,402.148,392.9797,87.58146,-112.95808122998841,,0.6987462,100.0,2900,18.37,540.3556,55148,2.5037704,-1.7992706,100.0,109240.89,355.6613459587097,1.2907462,0.04149467,1.2295007,3.524269,6.3687925,-7.705688e-06,0.21466485
[ 0.919  0.955  0.233  0.86  -0.197],100,0.45932785,1.2138711,1.0527215,30,360.04807,346.3944,88.35483,-114.04008993985606,,0.29603556,100.0,3000,19.6,505.26047,57108,1.4691074,-1.8167725,100.0,17270.23,368.64627623558044,1.1010802,0.041256204,1.0020264,3.4767303,1.9835832,-8.850097e-06,0.20453136
[ 0.932  0.959  0.244  0.892 -0.205],100,0.2734409,1.3017577,1.3330154,31,495.54578,414.83447,87.3161,-112.44278366785582,,2.6039758,100.0,3100,17.73,697.96735,58881,6.090218,-1.7136536,100.0,1487678.5,380.03476333618164,2.1286805,0.05255548,1.0867764,2.7020035,28.492634,-8.926391e-06,0.29043677
[ 0.979  0.954  0.244  0.835 -0.117],100,0.058719113,1.3095094,1.3705802,32,503.62317,418.03027,87.39552,-112.18474339617309,,2.1238096,100.0,3200,17.99,697.7537,60680,13.855492,-1.9459534,100.0,961380.4,392.09786796569824,4.1255646,0.056630753,1.1493602,3.404251,11.98111,5.264282e-06,0.36673132
[ 1.058  0.99   0.271  0.87  -0.11 ],100,0.090060145,1.3956236,1.4240216,33,516.1997,406.857,87.41363,-112.51262946027717,,2.2416651,100.0,3300,18.07,727.6689,62487,16.490858,-2.430359,100.0,1176434.6,403.5198721885681,3.2808096,0.063496225,1.293116,3.1026764,23.879898,1.2969971e-06,0.38617617
[ 1.042  1.043  0.278  0.953 -0.023],100,0.09564005,1.4199086,1.1784166,34,400.12573,364.08948,88.16971,-113.50896319868988,,1.5969976,100.0,3400,19.19,573.1279,64406,6.3273277,-2.521637,100.0,477905.06,417.7173936367035,2.4880426,0.049739614,1.2472676,3.744217,12.026591,-5.340576e-06,0.26759416
[9.810e-01 1.002e+00 2.663e-01 9.118e-01 8.910e-04],100,0.0049594785,1.40535,1.8562322,35,503.44162,398.70673,88.01625,-113.09743840912878,,6.6991796,100.0,3500,18.88,866.7534,66294,39.161865,-2.5204315,100.0,8158120.5,430.5416851043701,11.83792,0.11293251,1.1333886,2.7767792,62.320168,-3.2043456e-06,0.88394564
[ 0.952  0.909  0.277  0.941 -0.014],100,0.018676963,1.3536966,1.363181,36,381.7267,348.8037,88.57775,-114.61479997401295,,2.9181476,100.0,3600,20.08,617.566,68302,9.911717,-2.0408325,100.0,1355678.5,443.3863377571106,2.7548513,0.060129233,0.99558276,2.3746033,27.181019,-7.2479247e-06,0.34804556
[ 0.95   0.972  0.239  0.959 -0.065],100,0.23179887,1.4453126,1.2885535,37,452.91614,377.97302,88.108154,-113.84641167227191,,1.091805,100.0,3700,19.19,622.62274,70221,2.6859012,-1.9393845,100.0,236795.6,456.3539791107178,1.6768149,0.050772987,1.0524069,3.3927994,8.941634,4.9591063e-06,0.25852013
[0.953 0.951 0.23  0.938 0.026],100,0.28495032,1.4952384,1.1259134,38,416.47455,380.31073,88.271454,-114.11876277068905,,0.57629216,100.0,3800,19.46,543.19586,72167,2.0060143,-1.8414612,100.0,63914.105,469.3594124317169,1.3025482,0.044880595,1.0410111,2.7087097,4.554339,4.5776366e-07,0.22436796
[0.966 0.964 0.237 0.997 0.076],100,0.4565852,1.4646258,1.055212,39,378.2822,365.74353,88.42088,-114.51745702695247,,0.25045964,100.0,3900,19.78,503.64755,74145,1.1897202,-1.6711731,100.0,12019.786,481.3063461780548,1.0778222,0.04129545,0.9075047,2.1813278,1.763436,,0.20358334
[0.981 0.965 0.241 1.028 0.045],100,0.0027850363,1.5310826,3.7998803,40,1068.8204,408.10913,87.93398,-113.72191852091596,,24.833057,100.0,4000,18.88,1734.6329,76033,286.1489,-1.547142,100.0,115889950.0,493.749529838562,70.62295,0.32478327,0.91723585,2.756874,252.3192,1.1444092e-06,4.3296614
[0.865 0.869 0.237 0.987 0.112],100,0.36965567,1.5449318,1.1016023,41,386.11823,355.46515,88.59067,-115.07972268920625,,0.49193782,100.0,4100,20.2,513.04236,78053,1.6015368,-1.6912613,100.0,46101.01,509.78241181373596,1.1387644,0.043787513,0.9167718,2.6341248,3.0803418,-1.6021728e-06,0.21419865
[0.951 0.825 0.262 0.96  0.126],100,0.32832956,1.5507716,1.0540347,42,374.539,359.57727,88.64082,-115.2387727716058,,0.382484,100.0,4200,20.29,491.3057,80082,1.2466578,-2.068016,100.0,24445.43,522.6926667690277,1.1516712,0.04231569,1.0494238,3.670723,2.2817378,-4.7302246e-06,0.20598762
[0.919 0.813 0.26  0.98  0.132],100,1.0827027e-05,1.3810339,5.55579,43,1122.1306,338.5503,88.774216,-115.45717087301024,,41.05277,100.0,4300,20.57,2287.9424,82139,415.69055,-2.364769,100.0,257529660.0,535.1958034038544,92.77954,0.50156045,1.131699,3.0375519,587.7254,-2.2888183e-07,7.265959
[ 0.924  0.979  0.293  1.029 -0.038],100,0.050453115,1.3444641,1.1794602,44,430.8112,394.0472,88.02794,-113.61479340019159,,0.8225981,100.0,4400,18.98,583.15045,84037,3.089798,-2.3649673,100.0,147031.25,550.1368391513824,1.4443759,0.048155904,0.9692063,2.8095398,5.5555744,-5.340576e-06,0.24869739
[ 0.921  0.993  0.266  1.091 -0.075],100,0.017594554,1.3790811,1.6294721,45,486.8127,368.20984,88.198425,-114.2392403985714,,4.7722197,100.0,4500,19.36,784.6474,85973,68.45922,-2.06398,100.0,4703840.5,562.7946667671204,9.00137,0.09649751,1.0305424,2.6947784,49.151573,-9.613037e-06,0.90766555
[ 0.982  1.046  0.239  1.149 -0.04 ],100,0.5430984,1.3769522,1.0361888,46,362.69263,352.81796,88.192505,-114.11946417590136,,0.31594333,100.0,4600,19.33,506.1479,87906,1.2809179,-1.8383179,100.0,18473.334,575.8426313400269,1.0965952,0.03972301,0.98805374,2.8196182,2.52838,-7.5531007e-06,0.198228
[ 1.013  1.054  0.232  1.16  -0.042],100,0.07420945,1.3191012,1.1450933,47,423.74088,388.07047,87.86903,-113.30316627913972,,0.64483184,100.0,4700,18.68,572.4365,89774,1.8517983,-2.0339127,100.0,87232.1,589.3070311546326,1.3375014,0.041995823,0.93943024,3.7516937,3.6746395,8.087158e-06,0.21425451
[ 1.064  1.061  0.245  1.189 -0.1  ],100,0.0096687395,1.3184087,1.9317819,48,479.7962,341.75388,88.09177,-113.90226297800291,,10.148204,100.0,4800,19.13,909.49786,91687,66.66591,-2.2529373,100.0,20512764.0,602.0738580226898,9.479169,0.10636222,0.977905,2.461235,102.680214,-6.713867e-06,0.9448014
[ 1.133  1.102  0.267  1.114 -0.1  ],100,0.0467051,1.3200731,1.1878917,49,465.41327,419.2492,87.438995,-112.54663018287243,,1.5282873,100.0,4900,17.92,614.1888,93479,7.2147007,-1.6644211,100.0,497147.0,617.6266138553619,2.6279676,0.047339745,1.1077851,2.8438873,10.71833,6.4849855e-06,0.2712299
[ 1.05   1.073  0.249  1.079 -0.099],100,0.018877272,1.2898057,1.407744,50,479.47473,381.86517,87.91124,-113.63432487043706,,2.7852414,100.0,5000,18.8,686.4292,95359,33.18903,-1.9221497,100.0,1616212.0,627.8122017383575,4.540736,0.0642289,1.0106385,3.1627045,24.756529,-1.1901855e-05,0.46972588
[ 1.125  1.122  0.257  1.164 -0.129],100,0.13846081,1.2868725,1.1290705,51,364.25226,349.205,88.40665,-114.36836341580265,,0.9710254,100.0,5100,19.73,535.7074,97332,2.3592777,-2.0490036,100.0,173012.92,642.1096928119659,1.4664845,0.0483851,1.0655328,3.6730957,7.1781707,3.7384034e-06,0.24273077
[ 1.115  1.148  0.284  1.15  -0.132],100,0.30184364,1.2998039,1.0425153,52,396.82092,383.85086,87.52213,-112.70817574959945,,0.32035092,100.0,5200,18.34,534.4439,99166,1.3611372,-2.1024323,100.0,23427.293,653.6025807857513,1.110606,0.038628384,1.0818163,2.9542618,1.971353,8.392334e-07,0.19821495
[ 1.107  1.138  0.281  1.113 -0.119],100,0.26812345,1.3396525,1.1160806,53,397.8302,362.78772,87.969536,-113.31743814643556,,0.5339005,100.0,5300,19.09,544.8599,101075,1.4585199,-2.1074371,100.0,55044.445,667.276695728302,1.257628,0.04175218,1.0094447,2.7591782,3.146417,-1.2207031e-05,0.21020645
[ 1.069  1.133  0.28   1.128 -0.079],100,0.27843362,1.3278841,1.0667411,54,419.30273,403.6231,87.57536,-113.10829362787186,,0.5107231,100.0,5400,18.47,542.3915,102922,1.4942998,-2.2440414,100.0,52887.64,677.7900865077972,1.2398874,0.03936416,1.0720419,3.1829453,3.2271907,-1.1444092e-06,0.20165378
[ 1.06   1.105  0.288  1.128 -0.091],100,0.05677221,1.3915331,1.2859865,55,456.03677,387.65717,88.090836,-113.85161513908311,,2.2428372,100.0,5500,19.12,628.16113,104834,7.4496446,-1.5788422,100.0,1061940.4,689.7345242500305,2.187677,0.05804002,0.8645195,2.0768204,21.76405,-2.5177003e-06,0.32159922
[ 1.069  1.099  0.254  1.049 -0.027],100,0.14589158,1.3691852,1.1432676,56,487.89987,453.71967,87.307556,-112.56086456493759,,0.9436814,100.0,5600,17.79,605.91125,106613,2.4612005,-1.837265,100.0,220744.34,701.3495986461639,1.5044053,0.044646427,1.0730742,2.3976288,9.661513,-4.7302246e-06,0.2371957
[ 1.034  1.132  0.29   1.038 -0.05 ],100,0.22621883,1.3349789,1.0765854,57,411.9496,396.62048,88.04701,-113.19475951787784,,0.40697747,100.0,5700,18.94,531.6058,108507,1.4424592,-1.928215,100.0,34329.684,715.0370104312897,1.1527932,0.041010622,1.196252,2.5496979,2.7695625,3.4332274e-06,0.20713131
[ 1.047  1.118  0.301  1.068 -0.084],100,0.00012084742,1.2460778,2.618572,58,623.7741,378.0435,88.1384,-113.57481685303051,,17.144016,100.0,5800,19.15,1130.9154,110422,54.955963,-1.7986374,100.0,44442150.0,726.989550113678,9.401065,0.1288106,1.059787,3.0120087,177.89812,-7.171631e-06,1.0319192
[ 0.977  1.089  0.26   1.133 -0.173],100,0.16282652,1.3076019,1.1777327,59,425.65393,380.67172,87.82687,-113.21011374911365,,1.272763,100.0,5900,18.6,598.35736,112282,3.171474,-2.3155594,100.0,361734.75,738.9094989299774,1.8175424,0.048372157,0.9837917,3.0845642,12.605957,4.8065185e-06,0.25344643
[ 0.92   1.15   0.264  1.166 -0.111],100,0.06416409,1.3691543,1.2116848,60,437.77158,389.70972,87.874794,-113.47854621864006,,2.3116505,100.0,6000,18.73,606.00964,114155,8.856628,-1.8429413,100.0,1142450.9,751.7328250408173,2.569691,0.0536639,1.0489179,2.8895798,28.124138,1.1444092e-06,0.3019995
[ 0.962  1.18   0.288  1.211 -0.05 ],100,0.2803718,1.3571867,1.0868539,61,441.86768,417.1047,87.72319,-112.94668829436287,,0.59424305,100.0,6100,18.4,556.38574,115995,2.2198915,-1.8322754,100.0,81042.41,763.340500831604,1.2316574,0.04077732,0.99672335,2.6835709,6.202836,-1.3732911e-06,0.21027352
[ 0.999  1.177  0.305  1.27  -0.062],100,0.04923001,1.3105466,1.3555222,62,464.83862,381.38043,88.15044,-113.93360781020024,,1.8006201,100.0,6200,19.23,655.6025,117918,6.970639,-2.4607468,100.0,687539.94,775.791871547699,2.2085161,0.057193153,1.00377,2.556366,23.009401,6.713867e-06,0.30921322
[ 0.986  1.161  0.257  1.179 -0.108],100,0.00138366,1.2167845,1.9730335,63,568.2143,393.08987,87.8638,-113.29139537968778,,6.771916,100.0,6300,18.67,934.1076,119785,46.727158,-1.9105606,100.0,8771124.0,789.931688785553,14.0809965,0.118349805,0.93571913,2.487732,64.41777,3.7384034e-06,1.0962969
[ 0.96   1.072  0.229  1.133 -0.202],100,0.19199051,1.2315072,1.0891933,64,413.84354,386.80737,87.88414,-113.52560711217893,,0.7254582,100.0,6400,18.74,548.05383,121659,2.917297,-2.0511246,100.0,110890.94,802.502804517746,1.4944037,0.0424517,0.95260215,2.8381805,4.5454507,8.392334e-07,0.21867572
[ 0.964  1.108  0.234  1.17  -0.187],100,0.0037280505,1.2112017,1.5891589,65,500.3233,389.4996,87.7749,-113.26559249719622,,4.1037536,100.0,6500,18.53,774.4431,123512,17.475727,-1.7367859,100.0,3173092.2,815.0613253116608,7.502672,0.076834515,0.89520776,2.1491165,34.610374,5.569458e-06,0.55135995
[ 1.025  1.17   0.247  1.186 -0.208],100,0.17328596,1.2636751,1.1519339,66,386.6621,353.67413,88.15552,-114.06236436456098,,0.994923,100.0,6600,19.26,560.5043,125438,2.462396,-1.8833313,100.0,192043.12,827.2172527313232,1.5692307,0.045634214,0.9890025,2.8201523,6.7011404,-5.1879883e-06,0.23152024
[ 1.066  1.176  0.236  1.168 -0.155],100,0.24116826,1.2136191,1.0836273,67,422.66785,406.44653,87.382034,-112.42605797350167,,0.5445958,100.0,6700,17.82,572.25946,127220,1.4459709,-1.8764648,100.0,67883.77,840.2244482040405,1.2182746,0.0392941,0.97020406,2.7230835,3.4931176,-1.1444092e-06,0.20501034
[ 1.09   1.181  0.249  1.154 -0.205],100,0.11901043,1.1896714,1.1107459,68,420.36902,397.82907,87.70221,-113.07817139031657,,0.70154166,100.0,6800,18.39,567.2776,129059,2.2636628,-1.4797134,100.0,105959.734,851.9270293712616,1.3433908,0.040900916,0.9109823,2.419716,5.060734,3.2043456e-06,0.2119015
[ 1.062  1.168  0.267  1.164 -0.229],100,0.16119584,1.1706796,1.0741916,69,406.29422,387.3091,87.68868,-112.87144912712861,,0.5970857,100.0,6900,18.35,550.3041,130894,1.5453453,-1.9847794,100.0,74891.73,863.7451465129852,1.3264029,0.039904565,0.9765897,2.2348938,3.7736871,1.0986329e-05,0.20544706
[ 1.065  1.135  0.268  1.15  -0.248],100,0.003267011,1.1367012,2.6299102,70,642.6188,354.2086,88.17197,-113.78570594465617,,15.864653,100.0,7000,19.24,1249.9862,132818,89.28378,-2.037262,100.0,52238370.0,874.486165523529,12.558486,0.15299991,1.0686451,3.6322403,220.2739,-2.9754638e-06,1.7747877
[ 0.924  1.265  0.285  1.157 -0.282],100,0.85996175,1.1345406,1.0028796,71,367.93237,367.21222,87.64632,-112.54205126654368,,0.060509324,100.0,7100,18.22,519.1078,134640,1.0081074,-2.2762985,100.0,763.46796,889.6215059757233,1.005172,0.03649616,1.0611362,2.1995544,1.174254,6.6375733e-06,0.18767965
[ 0.924  1.268  0.285  1.156 -0.284],100,0.24071717,1.1506677,1.0873017,72,405.8351,383.94537,87.54779,-112.76405848132742,,0.62228525,100.0,7200,18.15,562.3567,136455,1.4717824,-2.0444107,100.0,87687.92,899.8070318698883,1.2528592,0.040592052,1.154972,2.877533,5.3390417,8.850097e-06,0.20983244
[ 0.955  1.267  0.308  1.154 -0.268],100,9.2942704e-05,1.122285,2.4514024,73,816.70215,390.8981,87.53516,-112.7136181664384,,8.47516,100.0,7300,18.29,1201.8619,138284,440.54526,-1.8129807,100.0,16099911.0,912.7269787788391,16.851189,0.18028407,1.0464892,2.6705704,148.88666,3.4332274e-06,4.1013784
[ 0.979  1.305  0.319  1.302 -0.297],100,0.006037006,1.1376778,2.0134795,74,652.91327,370.10748,87.44008,-112.34847197624875,,7.445166,100.0,7400,17.89,1014.2595,140073,104.59093,-2.1546326,100.0,12543297.0,925.8500378131866,16.555016,0.1195999,1.0405363,2.867302,84.67156,1.4495849e-06,1.5147455
[ 0.947  1.235  0.317  1.237 -0.281],100,0.6154272,1.1211607,1.0157222,75,391.20984,387.37366,87.951965,-113.55265538169373,,0.1533798,100.0,7500,18.85,509.80603,141958,1.0846546,-1.9017487,100.0,4831.9287,938.767927646637,1.0303866,0.038227003,1.1459389,2.6561737,1.4069569,3.4332274e-06,0.19315432
[ 0.96   1.222  0.316  1.223 -0.298],100,0.18762173,1.0900785,1.1544747,76,404.83768,358.64343,87.813095,-113.21636450850761,,0.72427815,100.0,7600,18.58,582.10486,143816,1.7007838,-2.0400925,100.0,108155.62,949.9544489383698,1.4852923,0.041697178,1.0148728,2.1320572,4.6188307,-5.41687e-06,0.21414647
[ 0.999  1.238  0.322  1.221 -0.329],100,4.843636e-05,0.9941255,15.019647,77,3146.3599,342.41675,87.829796,-113.15545700494329,,141.82967,100.0,7700,18.71,6797.125,145687,8802.536,-1.8814545,100.0,3975829800.0,963.6088995933533,574.6942,2.3616307,1.135914,3.1838837,1540.1211,3.967285e-06,80.047905
[ 0.98   1.187  0.395  1.251 -0.425],100,0.4686661,1.0090272,1.0367434,78,379.4546,365.6911,87.45117,-112.37477823535055,,0.32111916,100.0,7800,17.91,546.46857,147478,1.2743379,-2.0028076,100.0,23900.25,977.1411218643188,1.10511,0.03702875,1.0168661,2.8493347,2.5922058,6.1035155e-07,0.19225082
[ 1.012  1.187  0.394  1.262 -0.41 ],100,0.30892614,0.9982875,1.0276996,79,362.13623,354.9391,87.8967,-113.34981253992112,,0.2669932,100.0,7900,18.87,514.29456,149365,1.2282217,-1.8322906,100.0,14878.298,989.3805000782013,1.069066,0.038965687,1.0536733,2.2966537,2.568142,3.1280517e-06,0.19689773
[ 1.01   1.191  0.383  1.251 -0.421],100,0.4128241,1.0146496,1.0579972,80,392.35352,371.58246,87.59027,-112.95630939327741,,0.2995156,100.0,8000,18.45,540.1759,151210,1.4264009,-2.184082,100.0,20095.922,1001.1885883808136,1.0994453,0.038799647,1.0038857,2.504593,2.2318957,-2.7465821e-06,0.19844456
