Iteration,MinIW,MaxD2w0t,EpThisIter,MeanEntropy,InitialReturnStd,TimeElapsed,MeanD2w0t,InitialReturnMax,EpLenMean,MinD2w0t,ReturnStepMax,EmpiricalD2,InitialReturnMean,ReturnMeanIW,Bound,StdD2w0t,InitialBound,J_sample_variance,ReturnStepMaxmin,MaxIW,TimestepsSoFar,EpRewMean,MeanIW,EpisodesSoFar,InitialReturnMin,Weights,StdIW
11,7.0065296e-05,335.6211,100,1.1334399,15.858333,98.15827298164368,1.250895,-29.651709,41.86,,100.0,44.301754,-71.68129,-38.901516,-45.986595,7.8360367,-73.2153,3182.649,99.0,13.835996,48227,-103.0132107146844,0.48903868,1100,-95.13918,[-0.686 -1.103 -0.669 -1.066 -0.21 ],0.7183225
12,6.1098604e-06,531.268,100,0.921344,15.297753,106.26461505889893,1.4263302,-23.405506,39.3,,100.0,61.84065,-74.698616,-32.772152,-42.335102,11.337576,-76.225494,3264.4778,99.0,10.266523,52157,-104.77535751109355,0.37907714,1200,-94.833405,[-0.697 -1.116 -0.704 -1.007 -0.285],0.70756716
13,4.955025e-05,2218.5876,100,0.913086,14.4811735,114.36771154403687,2.1164827,-38.14824,41.13,,100.0,215.60507,-74.23842,-33.77815,-43.978073,27.342512,-75.793434,4379.8604,99.0,24.19083,56270,-105.95569735378267,0.40340266,1300,-94.79178,[-0.642 -1.06  -0.676 -0.988 -0.498],0.86996984
14,4.175292e-05,2038.4191,100,0.88885164,15.293482,123.29102897644043,3.0633187,-34.74565,44.55,,100.0,233.51689,-69.302864,-36.21503,-47.20446,33.500717,-70.82196,3895.726,99.0,60.026474,60725,-102.20893704231027,0.5469159,1400,-92.242355,[-0.664 -1.068 -0.639 -0.959 -0.506],1.3535213
15,2.0875275e-05,2221.6523,100,0.87709224,14.285536,132.01478242874146,2.3300688,-31.634066,44.67,,100.0,208.71382,-71.81432,-44.14201,-53.761826,28.147144,-73.345146,12568.939,99.0,20.274696,65192,-105.84746567987877,0.5729034,1500,-93.40171,[-0.673 -1.064 -0.642 -0.899 -0.53 ],1.6119817
16,0.00209965,111.71442,100,0.88085085,14.914617,141.2515411376953,0.9815097,-16.015982,46.19,,100.0,21.511866,-70.37895,-51.921917,-58.24831,5.3769245,-71.97537,3939.4253,99.0,8.52477,69811,-105.08926217997059,0.70769763,1600,-91.286575,[-0.688 -1.088 -0.611 -0.885 -0.542],1.0145425
17,4.4426808e-05,307.9866,100,0.83837646,15.059627,150.12074303627014,1.0546069,-29.026928,47.93,,100.0,43.93249,-68.32932,-41.274364,-47.38745,6.61644,-69.87852,5310.2754,99.0,21.62357,74604,-103.64560013874792,0.5649607,1700,-91.73394,[-0.689 -1.082 -0.586 -0.921 -0.538],1.1540381
18,0.005116253,114.04398,100,0.82762474,15.23263,158.91932606697083,0.9801107,-32.271935,43.17,,100.0,14.379229,-71.81573,-53.610077,-60.01815,5.4941034,-73.370476,4648.0586,99.0,9.573541,78921,-104.40576101521337,0.71006435,1800,-95.58572,[-0.659 -1.07  -0.616 -0.926 -0.581],0.9306981
19,8.022586e-06,937.0179,100,0.81768686,14.700809,168.36022090911865,1.6261054,-31.75481,47.39,,100.0,111.62325,-68.2615,-34.54265,-43.563488,13.525163,-69.80591,4188.2646,99.0,22.759981,83660,-103.32626744932305,0.5577412,1900,-92.45143,[-0.642 -1.075 -0.572 -0.954 -0.591],1.070137
20,2.8019424e-05,9165.497,100,0.81381494,15.53788,176.95652389526367,6.2677126,-19.612064,46.06,,100.0,626.4277,-69.666176,-26.552908,-41.869488,116.524185,-71.240814,23036.389,99.0,81.759415,88266,-103.80598795515066,0.6378017,2000,-95.15587,[-0.639 -1.061 -0.604 -0.974 -0.601],2.358951
21,8.125198e-05,1270.9666,100,0.7966766,13.757395,185.32519388198853,1.3554975,-35.617958,42.82,,100.0,125.18486,-71.91357,-38.841003,-48.6449,17.632305,-73.42799,3629.0032,99.0,24.310003,92548,-104.71371391922474,0.536578,2100,-93.43092,[-0.626 -1.093 -0.591 -0.947 -0.605],0.9922571
22,8.846539e-05,5611.381,100,0.7534686,16.08632,193.91076946258545,2.1933289,-30.729845,41.57,,100.0,292.23422,-71.75205,-33.31659,-43.480083,45.643127,-73.25464,4938.6157,99.0,29.200624,96705,-102.85967186772328,0.48301736,2200,-93.464355,[-0.609 -1.069 -0.608 -0.966 -0.622],1.0719724
23,0.06818224,1.5887268,100,0.7108821,14.060186,203.28556990623474,0.10456904,-26.553768,44.09,,100.0,1.3292385,-70.62944,-66.82868,-68.49285,0.33840844,-72.142715,1144.2832,99.0,3.6489825,101114,-104.0981713688782,0.93039674,2300,-93.93946,[-0.64  -1.1   -0.617 -0.935 -0.665],0.4448006
24,0.0007028189,1187.2214,100,0.7080529,15.422032,211.61549973487854,1.4891939,-35.02454,43.39,,100.0,122.66091,-70.5159,-32.53953,-40.384995,17.842531,-72.00195,4482.827,99.00001,7.5579386,105453,-103.30875086515977,0.4676297,2400,-93.88669,[-0.636 -1.092 -0.621 -0.93  -0.708],0.9627711
25,1.5555097e-05,3116.7412,100,0.68657064,14.725812,220.59572172164917,3.067827,-27.347206,46.95,,100.0,251.06631,-69.010895,-43.777805,-54.89502,39.500465,-70.56024,8522.613,99.0,12.405298,110148,-104.0429653876211,0.62579143,2500,-93.71684,[-0.637 -1.099 -0.607 -0.897 -0.711],1.3627013
26,1.4965626e-05,1379.1804,100,0.67991924,13.699574,228.88672161102295,2.2539241,-35.0134,43.92,,100.0,234.5613,-71.53141,-35.16961,-44.668877,28.430489,-73.07082,5796.8833,99.0,25.773264,114540,-105.13343665889163,0.48506686,2600,-95.066025,[-0.641 -1.068 -0.634 -0.902 -0.732],1.1917778
27,0.00023132787,1245.4635,100,0.68088454,12.093701,237.7832155227661,1.859016,-42.858063,44.94,,100.0,171.12666,-71.72693,-42.039482,-50.300488,19.781775,-73.26032,7123.6953,99.0,12.268526,119034,-106.30835207935687,0.5586371,2700,-92.68843,[-0.649 -1.081 -0.618 -0.875 -0.739],1.3066113
28,0.0019352679,142.93527,100,0.68537104,15.874624,246.42438101768494,1.5850755,-23.445364,46.64,,100.0,24.186829,-69.41797,-39.905247,-46.938744,8.235048,-70.98658,4291.2227,99.0,7.7356725,123698,-103.88271475890542,0.5400617,2800,-92.18251,[-0.651 -1.089 -0.598 -0.847 -0.738],0.9486519
29,0.0002707033,2031.6283,100,0.6860462,13.653337,255.42800903320312,2.3219616,-39.00998,48.36,,100.0,251.20367,-68.69677,-38.562996,-48.09359,31.838093,-70.22311,7541.7314,99.0,28.824503,128534,-104.99694119620109,0.54381126,2900,-91.27414,[-0.644 -1.062 -0.622 -0.817 -0.734],1.3118817
30,0.0006622375,219.60562,100,0.6196927,15.702398,263.83392000198364,1.0057634,-0.93281555,43.48,,100.0,29.314339,-72.47182,-48.604603,-55.44981,6.790513,-74.078995,5692.228,99.0,27.645092,132882,-105.50086699251068,0.62148446,3000,-92.186005,[-0.629 -1.034 -0.633 -0.831 -0.733],1.063277
31,0.0017102011,202.51672,100,0.6164549,15.323968,272.3716516494751,1.7487121,-32.775337,43.38,,100.0,26.040466,-70.56937,-44.5764,-52.617363,9.424431,-72.09782,3585.8564,99.0,9.781136,137220,-103.04177184204791,0.6034922,3100,-93.33707,[-0.641 -1.027 -0.623 -0.863 -0.799],1.0998418
32,0.0036057618,1321.15,100,0.6372551,14.365826,281.1522274017334,1.0780408,-24.107723,44.39,,100.0,81.86376,-72.55448,-52.472027,-59.497192,14.40517,-74.12234,8888.288,99.0,25.429567,141659,-106.59217289611357,0.6720443,3200,-94.62284,[-0.673 -1.021 -0.671 -0.846 -0.802],1.214211
33,0.0002470611,1224.2031,100,0.6235361,15.0867,289.35604643821716,1.2111515,-26.454536,41.33,,100.0,135.04477,-73.2925,-50.517845,-58.06402,16.15374,-74.852486,16446.502,99.0,76.135185,145792,-104.96031722557065,0.69234437,3300,-94.17905,[-0.675 -1.001 -0.677 -0.867 -0.782],2.0546184
34,0.0007371174,174.78865,100,0.62628365,14.977548,296.9485659599304,1.4973837,-29.338871,39.08,,100.0,23.86413,-75.03806,-47.704605,-54.869255,9.031414,-76.58338,6837.3916,99.00001,8.012575,149700,-105.2950671711343,0.5655043,3400,-93.733185,[-0.651 -0.995 -0.681 -0.902 -0.795],1.0057341
35,1.0240085e-05,1045.4696,100,0.6194453,13.915827,305.315794467926,2.2223418,-35.401573,41.87,,100.0,67.764305,-72.14924,-52.59162,-61.880707,19.242046,-73.64173,8298.252,99.0,29.232883,153887,-104.34860078167418,0.6821174,3500,-93.259926,[-0.616 -1.01  -0.636 -0.923 -0.793],1.2431611
36,0.000177407,251.53297,100,0.58203554,17.177294,313.42240285873413,1.2025452,-27.091522,43.29,,100.0,45.123024,-70.54231,-42.95125,-49.881836,8.260844,-72.06606,6696.903,99.00001,10.028336,158216,-102.52281586067788,0.56458354,3600,-95.23724,[-0.603 -0.996 -0.67  -0.913 -0.799],1.0564915
37,0.0033823755,107.622314,100,0.5869812,16.059042,321.89971899986267,1.44465,-38.87168,40.05,,100.0,21.99145,-73.03333,-47.503002,-54.381897,7.0642514,-74.53196,2626.9336,99.0,12.131675,162221,-103.35311601098263,0.59989786,3700,-93.535,[-0.653 -1.015 -0.663 -0.921 -0.837],0.76898986
38,0.0006676264,256.60535,100,0.5988634,15.785386,329.93113446235657,2.3185818,-35.335377,41.5,,100.0,43.03186,-72.65549,-42.576366,-50.589775,13.5032425,-74.183266,3384.499,99.0,20.953411,166371,-104.10023328646444,0.53996736,3800,-93.22878,[-0.668 -1.001 -0.692 -0.889 -0.832],0.8031858
39,0.0015286544,1415.3494,100,0.5972213,13.566549,338.7878112792969,1.1123672,-29.793037,39.99,,100.0,112.151535,-75.09061,-30.401047,-38.409134,17.736979,-76.61879,2021.4153,99.0,31.829588,170370,-106.23725105543532,0.38171887,3900,-96.011314,[-0.73  -0.997 -0.749 -0.872 -0.82 ],0.71792686
40,3.0936494e-06,11269.948,100,0.46712527,17.738245,346.70445561408997,6.836309,-30.824316,41.55,,100.0,1134.6755,-72.61716,10.95792,-9.340084,137.9282,-74.14431,138954.7,99.0,838.24615,174525,-103.378291002703,0.54167145,4000,-92.72878,[-0.739 -1.017 -0.739 -0.852 -0.822],9.121111
41,0.0007506794,1453.9756,100,0.46736664,14.737412,354.92862272262573,1.4245768,-47.16165,41.8,,100.0,163.77306,-73.517105,-36.76653,-45.6161,18.309734,-75.02756,5333.4873,99.0,10.912577,178705,-105.60392584010182,0.4571824,4100,-92.55484,[-0.783 -1.056 -0.749 -0.839 -0.952],0.9545636
42,0.0006485047,347.2635,100,0.4326186,15.105661,362.94858980178833,0.5888184,-35.173447,42.38,,100.0,17.63435,-72.938354,-54.4054,-59.299683,5.0600452,-74.49589,4668.881,99.0,14.314179,182943,-105.21590532655443,0.7441045,4200,-96.19403,[-0.762 -1.06  -0.764 -0.869 -0.952],1.0863907
43,0.005732208,673.96063,100,0.4912265,15.802941,371.9031894207001,0.9414108,-34.09841,44.31,,100.0,55.57377,-71.0653,-42.3733,-48.931522,9.159329,-72.583565,3337.483,99.0,9.889357,187374,-104.4417369107008,0.5845112,4300,-95.37607,[-0.754 -1.009 -0.729 -0.864 -0.986],0.8760063
44,0.0006068483,2467.5376,100,0.49438,16.34964,380.46882343292236,1.7730122,-26.152967,43.21,,100.0,254.42667,-70.68622,-42.21108,-51.263336,31.214039,-72.18376,16775.232,99.0,13.209855,191695,-103.01559956973965,0.52274716,4400,-95.03574,[-0.755 -1.043 -0.728 -0.867 -0.928],1.4818978
45,0.001770319,3333.418,100,0.48616603,15.557222,388.47538113594055,1.7879231,-21.207157,40.79,,100.0,183.39423,-73.24767,-39.705753,-48.95116,34.361935,-74.79003,5165.919,99.0,43.62207,195774,-104.19091773055774,0.56826514,4500,-92.45515,[-0.712 -1.015 -0.725 -0.874 -0.925],1.3509414
46,2.1686843e-05,4852.5283,100,0.48443696,18.19089,397.27320432662964,3.181917,-15.761166,41.91,,100.0,316.15204,-71.49108,-27.23522,-38.18871,52.08727,-73.01315,2905.7158,99.0,24.875038,199965,-102.4090440577499,0.42206523,4600,-94.361984,[-0.707 -0.998 -0.728 -0.897 -0.933],1.0223219
47,0.00023693676,1734.8461,100,0.47971556,15.90491,405.4477834701538,1.2588655,-26.187662,40.3,,100.0,115.84575,-73.492165,-34.551052,-42.986584,15.3754015,-75.053894,3770.0498,99.0,32.04969,203995,-104.11415772498063,0.44376427,4700,-93.265205,[-0.708 -1.016 -0.707 -0.883 -0.935],0.84205467
48,0.038038816,3.8051555,100,0.46313038,14.539907,413.99143242836,0.15288486,-36.00459,44.06,,100.0,1.960224,-70.332275,-61.31092,-63.37018,0.5213102,-71.856544,2977.981,99.0,7.0660343,208401,-103.62881506231278,0.8810718,4800,-94.68896,[-0.695 -1.001 -0.727 -0.894 -0.939],0.9666737
49,0.0056887525,97.343796,100,0.5093521,16.296848,421.990549325943,0.5996686,-27.41167,38.43,,100.0,16.55708,-74.59175,-55.71,-60.28215,3.426263,-76.09207,10829.285,99.0,15.828789,212244,-104.01620878930942,0.7277551,4900,-95.46166,[-0.685 -1.019 -0.718 -0.909 -0.956],1.2831298
50,0.0023377817,1031.8577,100,0.49837098,14.0087595,429.420907497406,0.7964811,-41.84823,37.2,,100.0,50.416927,-76.65112,-42.22772,-49.456284,10.779848,-78.18872,2697.7986,99.0,8.821529,215964,-105.77142987993719,0.49413484,5000,-94.3294,[-0.691 -1.057 -0.763 -0.934 -0.91 ],0.72701204
51,0.0024698514,756.1719,100,0.519714,16.229567,437.33966040611267,2.5654411,-31.221006,40.62,,100.0,89.2056,-73.21425,-40.682518,-50.285637,16.753628,-74.72766,5007.012,99.0,8.52761,220026,-103.85065541769741,0.54991263,5100,-93.84135,[-0.693 -1.042 -0.76  -0.959 -0.921],1.0116385
52,0.0006217202,246.85297,100,0.5012019,15.804237,445.3959913253784,1.1887118,-29.714966,39.27,,100.0,32.371204,-74.91493,-49.194984,-56.217438,7.038712,-76.45784,2974.3538,99.000015,12.205618,223953,-104.8956771973882,0.5752512,5200,-95.081116,[-0.71  -1.05  -0.81  -0.969 -0.899],0.69773096
53,0.0011434967,2293.1514,100,0.51515514,12.825124,453.11519169807434,1.1126754,-38.92344,39.36,,100.0,127.779015,-75.26851,-44.85239,-53.75296,17.235632,-76.75416,8117.282,99.0,21.331013,227889,-106.22883097565229,0.61266416,5300,-95.86166,[-0.71  -1.053 -0.796 -1.004 -0.918],1.3373506
54,0.0001054437,208.59448,100,0.5029307,15.3667345,460.79271173477173,1.9836023,-40.25152,39.43,,100.0,45.484146,-74.67115,-47.468685,-56.517647,10.878147,-76.199646,2475.5596,99.0,12.298647,231832,-104.88573399212729,0.56186366,5400,-95.78989,[-0.754 -1.058 -0.781 -0.988 -0.904],0.68338686
55,0.00050400826,1111.5193,100,0.5077347,15.052906,468.9564862251282,0.6210857,-39.81505,39.07,,100.0,29.59123,-74.450615,-45.976532,-51.73926,10.249361,-75.960434,5623.2407,99.0,7.3468676,235739,-104.67415214761535,0.57357305,5500,-95.75753,[-0.748 -1.079 -0.769 -1.031 -0.916],0.98036
56,0.0011104748,1288.7007,100,0.505122,14.560408,476.7152769565582,0.9933944,-40.483616,39.05,,100.0,81.77585,-75.09325,-52.47603,-59.656437,13.253444,-76.611664,33551.13,99.0,22.672092,239644,-105.27040637512845,0.6855824,5600,-94.82055,[-0.731 -1.012 -0.739 -1.007 -0.911],2.2884805
57,7.11933e-05,4477.6245,100,0.48771098,16.04278,485.2693314552307,2.8064585,-22.322594,40.34,,100.0,282.67694,-73.13134,-29.958803,-42.712452,37.517136,-74.67157,5182.7227,99.0,32.691204,243678,-103.63086650767359,0.49197367,5700,-94.9296,[-0.737 -1.027 -0.726 -0.989 -0.914],1.286755
58,0.00018246719,425.32214,100,0.473898,15.992595,493.93888092041016,2.870667,-11.354931,42.64,,100.0,60.684643,-71.19394,-38.97788,-48.840538,17.660475,-72.7391,4312.1655,99.0,14.513882,247942,-103.19068328050778,0.5108343,5800,-95.48807,[-0.714 -1.015 -0.75  -1.001 -0.931],0.93988746
59,0.0008732021,848.55914,100,0.48366207,13.262485,501.1434211730957,1.1763043,-44.23218,34.5,,100.0,52.732376,-78.595,-46.808887,-57.149357,11.452187,-80.08944,9914.797,99.0,16.100925,251392,-106.12742964718336,0.5746779,5900,-94.43174,[-0.724 -0.999 -0.786 -0.989 -0.945],1.2058188
60,0.0024197714,1081.5146,100,0.50561035,15.130013,509.5691304206848,1.1534954,-32.477287,39.63,,100.0,63.732277,-74.551834,-45.776814,-53.87555,11.663065,-76.068054,5577.3047,99.0,7.2431307,255355,-105.11834636747517,0.5959641,6000,-94.87026,[-0.72  -1.035 -0.835 -1.019 -0.935],1.0506206
61,0.00057669636,438.47217,100,0.48274463,15.8026705,517.3821902275085,1.12893,-19.348572,38.97,,100.0,41.31044,-75.69975,-46.200787,-53.021595,9.100967,-77.31566,3386.8828,99.0,8.772073,259252,-105.78908533769494,0.5335073,6100,-96.345215,[-0.709 -1.028 -0.816 -0.984 -0.913],0.705564
62,0.0013404314,183.88641,100,0.48821875,14.202545,524.1437556743622,0.9125075,-43.697422,35.07,,100.0,18.43094,-77.61653,-59.348736,-66.65804,7.0086923,-79.099915,4537.5312,99.0,12.480608,262759,-105.34293445525348,0.72252953,6200,-95.95125,[-0.688 -1.004 -0.779 -1.004 -0.936],1.0585454
63,0.0011304909,68.694565,100,0.4639372,15.029001,532.4707112312317,0.3635943,-19.437119,37.34,,100.0,14.603301,-76.58584,-56.195366,-60.240116,2.085298,-78.133125,8367.724,99.00001,18.60636,266493,-105.67167410519383,0.68736565,6300,-95.574425,[-0.675 -0.99  -0.783 -0.97  -0.931],1.1207154
64,0.0007616331,1495.2471,100,0.46207598,14.122606,540.1668274402618,1.4985719,-40.25384,34.37,,100.0,83.003845,-79.073685,-46.696613,-56.726967,16.129282,-80.6027,8218.557,99.00001,10.921371,269930,-106.29510145090075,0.56564313,6400,-95.41379,[-0.689 -0.995 -0.795 -0.942 -0.955],1.2039444
65,8.0221624e-05,2919.6792,100,0.44797704,13.727542,547.5294971466064,1.6574628,-38.41246,36.95,,100.0,182.47403,-76.34213,-30.032593,-40.674583,23.660952,-77.83832,2868.489,99.00003,9.788895,273625,-105.2360025921043,0.39959168,6500,-94.87796,[-0.696 -1.002 -0.765 -0.935 -0.957],0.82533646
66,0.00011554833,867.56287,100,0.41359386,14.761161,554.9208645820618,0.89753956,-17.550293,35.72,,100.0,89.98959,-77.66658,-39.157215,-47.173767,9.757501,-79.289955,6340.3257,99.0,16.595049,277197,-105.62197901640481,0.4908846,6600,-95.89648,[-0.683 -1.008 -0.788 -0.969 -0.971],1.0555012
67,0.001984412,318.79822,100,0.41235957,16.71663,562.6209075450897,1.14256,-19.830208,37.44,,100.0,60.357277,-76.3881,-51.780354,-59.539032,8.214344,-77.94725,3349.1938,99.0,13.416677,280941,-105.11205290272774,0.6215932,6700,-94.649765,[-0.716 -0.976 -0.767 -0.921 -1.005],0.83174974
68,0.0007451871,4919.5146,100,0.41674834,13.698982,569.8336117267609,2.1848457,-40.977272,34.52,,100.0,296.13495,-78.99875,-40.06703,-53.478966,37.490078,-80.53613,5095.4814,99.00004,20.728561,284393,-106.30124140430962,0.48345277,6800,-95.8472,[-0.705 -0.971 -0.753 -0.952 -1.007],0.9182805
69,0.010991086,79.37426,100,0.4513443,16.554316,578.1280057430267,0.69707435,-20.136787,40.1,,100.0,12.895696,-74.113625,-55.310017,-60.8352,3.6423392,-75.69306,5011.7417,99.0,9.960686,288403,-104.43645885122915,0.7417611,6900,-94.06337,[-0.732 -0.965 -0.731 -0.924 -1.002],1.1542741
70,0.001252012,1012.6242,100,0.4636878,17.462776,586.4676146507263,0.8407419,-1.6380692,40.34,,100.0,97.84148,-73.58105,-41.72521,-48.839333,12.353947,-75.19148,7769.289,99.0,33.316643,292437,-104.09392799255869,0.5277051,7000,-96.03758,[-0.747 -0.967 -0.71  -0.932 -0.968],1.1780895
71,0.00027962818,1059.4736,100,0.4655064,14.919379,594.3322687149048,1.3603675,-37.998146,36.02,,100.0,126.399925,-77.40964,-24.344694,-34.339066,12.23972,-78.93808,1772.2668,99.0,25.837866,296039,-105.68342527507795,0.30374274,7100,-93.749626,[-0.705 -0.928 -0.695 -0.933 -0.955],0.63969237
72,0.00018477449,1190.1921,100,0.4621636,14.96768,602.7630722522736,1.5508326,-37.84974,41.96,,100.0,90.507416,-73.062416,-42.582596,-51.249374,14.923002,-74.59863,5440.5234,99.00001,17.124025,300235,-104.91472005375621,0.5110325,7200,-94.66344,[-0.711 -0.942 -0.671 -0.919 -0.953],1.0295506
73,0.00018173121,263.31183,100,0.45223656,15.920255,610.9238648414612,1.2847338,-35.422558,42.29,,100.0,54.091465,-71.926125,-47.52634,-55.09645,7.7327833,-73.45085,5347.6816,99.00001,15.384314,304464,-103.89176226241302,0.6122884,7300,-93.38098,[-0.707 -0.944 -0.67  -0.886 -0.957],1.101933
74,0.00033170584,1115.3403,100,0.44262156,15.010101,619.3561673164368,1.9573164,-29.919384,40.69,,100.0,124.43692,-73.2893,-37.2849,-46.92022,17.854128,-74.8511,3800.5754,99.0,12.619476,308533,-104.30165171832763,0.522644,7400,-93.89469,[-0.709 -0.936 -0.672 -0.848 -0.967],1.0602579
75,0.00039175013,1322.7031,100,0.4396109,14.794611,627.4720168113708,1.4542726,-37.131996,43.11,,100.0,133.84341,-72.21998,-39.902073,-48.5859,17.672077,-73.75075,8011.043,99.0,14.219014,312844,-105.04252123093218,0.5376276,7500,-93.58534,[-0.727 -0.949 -0.649 -0.845 -0.976],1.3533816
76,0.0001117252,4824.1143,100,0.43115097,15.655361,636.0505418777466,1.9666446,-26.963766,42.92,,100.0,261.79077,-71.27509,-35.119926,-44.627796,41.97388,-72.793625,4317.3433,99.0,32.802757,317136,-103.70745158304524,0.4436783,7600,-95.27928,[-0.717 -0.945 -0.668 -0.866 -0.979],0.9276018
77,0.00042367703,2170.458,100,0.42831492,15.79641,645.0642738342285,2.199152,-20.231281,44.12,,100.0,204.74437,-71.31812,-36.0304,-45.598274,28.23309,-72.907326,6182.7915,99.0,38.764286,321548,-104.4652494903043,0.5166114,7700,-95.97187,[-0.733 -0.952 -0.658 -0.839 -0.988],1.2589519
78,0.0006389278,264.28116,100,0.40405864,16.790714,653.8180062770844,1.764311,-16.465782,43.7,,100.0,29.442598,-71.56969,-57.201706,-65.37067,12.848794,-73.12626,3968.1882,99.0,32.173756,325918,-104.33177571850987,0.7600306,7800,-93.45386,[-0.733 -0.958 -0.639 -0.817 -0.991],0.99951637
79,0.00037381132,1455.1865,100,0.39949504,13.724916,661.6370341777802,1.8422478,-41.47128,40.79,,100.0,156.84317,-73.40233,-24.697641,-33.70286,19.823263,-74.90575,1425.0629,99.0,17.495667,329997,-104.80982624522768,0.30417797,7900,-93.77312,[-0.692 -0.96  -0.641 -0.798 -1.015],0.57257855
80,0.0034847,145.51276,100,0.40128648,15.422031,670.3520078659058,1.7054708,-30.71965,43.96,,100.0,28.368902,-71.08844,-49.937866,-57.74559,9.578036,-72.628235,3458.5786,99.0,15.978946,334393,-104.01787758006634,0.6580308,8000,-92.2059,[-0.682 -0.947 -0.662 -0.805 -1.019],0.9084168
81,0.0010754226,3194.3396,100,0.39699784,15.816569,678.4701263904572,1.5943725,-33.042747,44.72,,100.0,181.9785,-70.568794,-30.802948,-39.728523,26.91975,-72.10593,2612.6833,99.0,13.859598,338865,-104.05342489866769,0.39322641,8100,-93.68354,[-0.7   -0.959 -0.658 -0.834 -1.018],0.71149975
82,0.0035131196,329.10464,100,0.4023201,15.284529,686.3266854286194,0.6613819,-35.90764,38.62,,100.0,46.32971,-75.046776,-58.913986,-64.055695,5.660436,-76.5767,7989.563,99.0,16.700071,342727,-104.73173631849868,0.76193416,8200,-95.82017,[-0.686 -0.947 -0.671 -0.852 -1.022],1.2686673
