EpisodesSoFar,ReturnStepMax,J_sample_variance,MeanD2w0t,MeanEntropy,InitialReturnMin,EpRewMean,ReturnMeanIW,TimeElapsed,TimestepsSoFar,InitialReturnMean,MaxIW,InitialReturnMax,InitialBound,ReturnStepMaxmin,Bound,StdIW,Weights,EmpiricalD2,EpLenMean,EpThisIter,Iteration,MaxD2w0t,MinD2w0t,MeanIW,StdD2w0t,MinIW,InitialReturnStd
2400,100.0,1101.5984,0.10554488,1.4355915,-2.2311172,-147.89954791823592,194.20773,627.5344746112823,138758,-9.9182125e-06,2.035591,7.3635635,-138.56024,94.29619,-133.80954,0.22674172,[ 0.752 -1.03   0.229  0.326  0.023],1.0425946,51.86,100,24,1.1845759,,1.0555282,0.31035596,0.39051503,2.092088
2500,100.0,206.15196,0.115566835,1.4382119,-2.9826431,-152.85252693033883,167.82181,655.8931257724762,144519,5.264282e-06,1.5916681,7.2376556,-163.42712,94.69354,-162.87735,0.11455955,[ 0.774 -1.03   0.226  0.325  0.017],1.0104883,57.61,100,25,1.0165334,,1.010205,0.32024765,0.75217897,2.5106268
2600,100.0,60.23493,0.114689164,1.4395081,-2.4479446,-152.97600056492752,169.08516,681.4501221179962,150242,-2.8991699e-06,1.1936023,8.172798,-158.79407,94.65399,-158.36363,0.060347147,[ 0.771 -1.036  0.225  0.325  0.019],1.0041442,57.23,100,26,1.0155642,,1.0044987,0.31903282,0.792147,2.1796217
2700,100.0,474.3208,0.10829662,1.438566,-2.8750305,-149.0412582782778,182.31503,705.5533883571625,155611,-2.2125244e-06,1.5302844,10.535736,-145.53264,94.448074,-143.55688,0.16561988,[ 0.768 -1.039  0.226  0.322  0.021],1.0339003,53.69,100,27,1.0436621,,1.0272433,0.31224334,0.6364589,2.5322251
2800,100.0,191.28474,0.114813946,1.4383473,-2.4867477,-152.81331252687133,170.4991,729.881689786911,161322,2.7465821e-06,1.3697187,8.526382,-160.73471,94.64845,-159.73363,0.11103145,[ 0.778 -1.032  0.227  0.325  0.02 ],1.0117389,57.11,100,28,1.0281396,,1.0129627,0.31973758,0.7324617,2.2078233
2900,100.0,115.363556,0.11596045,1.4426411,-3.3616257,-152.36461000583552,167.84451,753.5817182064056,167091,-4.577637e-06,1.2529649,9.431213,-160.2031,94.700035,-159.262,0.07843962,[ 0.784 -1.034  0.23   0.32   0.019],1.0075711,57.69,100,29,1.0210934,,1.0134526,0.32107678,0.7769534,2.885045
3000,100.0,848.1304,0.10599666,1.4453158,-2.57827,-147.89475627370823,188.5519,778.1837646961212,172325,-3.890991e-06,1.8892173,4.7112274,-144.39287,94.348694,-141.64552,0.1921966,[ 0.788 -1.038  0.234  0.321  0.024],1.0293593,52.34,100,30,1.0546149,,1.0298431,0.31000134,0.7108909,1.9362451
3100,100.0,97.45949,0.11383529,1.4454794,-2.869461,-152.04499811311143,170.86296,804.6687943935394,177996,-6.5612794e-06,1.307848,9.440453,-158.09113,94.6378,-157.32518,0.071151264,[ 0.777 -1.035  0.23   0.31   0.026],1.0049715,56.71,100,31,1.0234338,,1.0121697,0.3182555,0.77455115,2.4587145
3200,100.0,603.66077,0.111799814,1.4502925,-2.5442123,-150.76329454561477,178.9729,829.6775541305542,183514,-1.1444092e-06,1.7647585,7.479004,-145.40562,94.53558,-142.97443,0.17672609,[ 0.781 -1.037  0.228  0.306  0.027],1.0313534,55.18,100,32,1.0523044,,1.0302444,0.31744125,0.7413037,2.0944438
3300,100.0,610.25726,0.109048136,1.4498836,-2.7340393,-149.53120923583927,181.11183,854.7488214969635,188919,-4.9591063e-06,1.834701,10.1377945,-150.24687,94.466934,-148.47194,0.17288813,[ 0.775 -1.04   0.225  0.296  0.031],1.0332247,54.05,100,33,1.0492681,,1.0193032,0.31324154,0.67994,2.6528087
3400,100.0,104.47838,0.10842125,1.443568,-2.9163895,-149.210260805527,179.70738,879.5019371509552,194317,9.155273e-07,1.2169662,8.167534,-148.33672,94.47165,-147.21278,0.07384622,[ 0.762 -1.045  0.224  0.293  0.031],1.0064707,53.98,100,34,1.0196456,,1.0094826,0.31166422,0.6913831,2.6241887
3500,100.0,58.651047,0.12176403,1.4394662,-2.628868,-156.24131324949755,159.455,906.6190359592438,200389,9.155273e-07,1.3059616,8.180717,-170.69792,94.853714,-170.22643,0.065097086,[ 0.756 -1.039  0.222  0.289  0.025],1.0055007,60.72,100,35,1.0134153,,1.006916,0.32749486,0.8183378,2.2967112
3600,100.0,183.1643,0.11800893,1.4364353,-2.6104126,-154.21220582235514,165.35912,935.4791491031647,206263,5.645752e-06,1.3017954,7.56411,-165.06448,94.74933,-164.20113,0.108994626,[ 0.756 -1.044  0.221  0.289  0.021],1.0118974,58.74,100,36,1.0228128,,1.0150596,0.32343328,0.75882494,2.1082058
3700,100.0,388.62247,0.10622361,1.4463943,-2.5516357,-148.28722541511456,187.22835,960.2859351634979,211520,-2.2125244e-06,1.5711013,8.000862,-143.71617,94.35849,-141.44456,0.14305863,[ 0.764 -1.042  0.222  0.293  0.018],1.0203708,52.57,100,37,1.0517212,,1.0266446,0.30990112,0.7794659,2.2726727
3800,100.0,858.52747,0.10832226,1.4414066,-2.3265076,-149.1457012545062,184.99588,985.5085859298706,216859,9.918213e-07,1.7718608,6.5249786,-143.86232,94.412964,-141.53412,0.22590731,[ 0.753 -1.039  0.221  0.292  0.027],1.0501938,53.39,100,38,1.0735061,,1.0297596,0.31331348,0.5676589,2.1096892
3900,100.0,1357.1814,0.102300316,1.4338036,-2.3971481,-146.03071998347974,198.77081,1006.9756150245667,221872,1.0681152e-05,2.1292048,9.378571,-131.11719,94.171455,-127.77554,0.26192796,[ 0.762 -1.031  0.224  0.289  0.022],1.0602092,50.13,100,39,1.0913482,,1.0454686,0.30650264,0.5323807,2.1341133
4000,100.0,18.615358,0.111562185,1.4353683,-2.7885284,-151.13119081651823,172.86476,1031.344032049179,227447,4.7302246e-06,1.1581452,6.931305,-154.61864,94.57825,-154.21364,0.030077746,[ 0.77  -1.02   0.227  0.297  0.015],1.0008212,55.75,100,40,1.0030107,,1.0049556,0.31493247,0.9468215,2.2578423
4100,100.0,963.01276,0.11564773,1.4377223,-2.7227097,-152.06147511698103,177.01411,1056.7944464683533,233109,6.4849855e-06,2.4452667,7.004036,-156.5405,94.62871,-152.93742,0.2376518,[ 0.766 -1.014  0.227  0.297  0.016],1.0529896,56.62,100,41,1.0906816,,1.0528712,0.32368392,0.5455226,2.4550135
4200,100.0,3035.8306,0.11734379,1.4357585,-2.532135,-152.35947081761563,179.26793,1083.464835882187,238789,-5.569458e-06,3.984066,8.433044,-155.45438,94.62854,-151.11183,0.44323707,[ 0.772 -1.009  0.233  0.306  0.019],1.1286262,56.8,100,42,1.1822658,,1.068291,0.32800552,0.3811152,2.462197
4300,100.0,151.37659,0.11527582,1.4381806,-2.7399445,-152.64025700272077,170.73523,1110.6346757411957,244516,-4.653931e-06,1.5524266,7.3539963,-162.7919,94.66945,-161.17542,0.10504613,[ 0.782 -0.984  0.233  0.311  0.017],1.0115753,57.27,100,43,1.0448302,,1.0237457,0.32053345,0.80326927,2.4525332
4400,100.0,65.4179,0.113040976,1.4346547,-2.589096,-152.06574938464,171.60393,1136.0933454036713,250156,1.6784668e-06,1.1918805,8.005806,-154.50021,94.607605,-153.97926,0.059757654,[ 0.786 -0.977  0.231  0.306  0.019],1.0043879,56.4,100,44,1.0116943,,1.0087404,0.31702307,0.8213517,2.3847556
4500,100.0,898.7134,0.09826629,1.433803,-2.5193176,-144.37821772696327,202.46103,1159.6761529445648,255023,-1.4343262e-05,1.9333853,7.0207367,-129.63402,94.06706,-126.33481,0.19860066,[ 0.788 -0.973  0.23   0.303  0.016],1.0418785,48.67,100,45,1.055979,,1.0291122,0.29924908,0.6936591,2.063845
4600,100.0,199.95482,0.11021164,1.4405308,-2.5946045,-150.30694381063108,178.31999,1186.905047416687,260499,8.392334e-07,1.351968,6.0939484,-146.4694,94.51033,-144.90865,0.10868603,[ 0.77  -0.972  0.227  0.304  0.015],1.0174533,54.76,100,46,1.0367349,,1.0174489,0.3142828,0.774127,2.2220848
4700,100.0,180.59032,0.108506784,1.4425272,-2.390068,-149.98552669879854,179.70584,1212.2115545272827,265904,-1.0528564e-05,1.3204479,6.8632126,-146.81711,94.45012,-146.04321,0.10093225,[ 0.78  -0.971  0.227  0.305  0.022],1.0113066,54.05,100,47,1.01918,,1.0123891,0.311672,0.78518885,2.0767334
4800,100.0,130.89238,0.10624505,1.4499223,-2.7347336,-148.19464173174862,183.1361,1233.9786157608032,271194,1.0147095e-05,1.4239041,7.0309677,-145.55418,94.39719,-144.68834,0.084592514,[ 0.776 -0.974  0.225  0.302  0.024],1.0060165,52.9,100,48,1.020854,,1.0139726,0.3088736,0.72739434,2.1806922
4900,100.0,186.3719,0.1137383,1.4563589,-2.7058334,-152.00985978079063,171.51347,1262.8658208847046,276855,-2.5939942e-06,1.3307462,9.270462,-158.00183,94.62958,-157.12755,0.10022917,[ 0.775 -0.974  0.225  0.302  0.031],1.0096068,56.61,100,49,1.02218,,1.0127426,0.31831825,0.7916126,2.4829776
5000,100.0,911.2034,0.109846145,1.4611045,-2.6198502,-149.42756228453203,184.07867,1287.341003894806,282264,-3.8146973e-07,1.7650523,6.578598,-147.67502,94.47485,-143.80127,0.2327677,[ 0.772 -0.977  0.225  0.3    0.037],1.0651174,54.09,100,50,1.0853845,,1.0516926,0.31545922,0.5798319,2.4075904
5100,100.0,1046.6475,0.107341096,1.4435258,-2.5768204,-147.7970582577019,195.51353,1311.453681230545,287486,3.4332274e-06,1.6659857,7.384712,-145.63084,94.33945,-139.912,0.23043637,[ 0.794 -0.976  0.228  0.302  0.042],1.0538694,52.22,100,51,1.1690406,,1.0711516,0.3144278,0.4274197,2.3467739
5200,100.0,366.68277,0.10683304,1.4493843,-2.623108,-148.48962037064024,184.43507,1336.0425114631653,292783,7.6293944e-08,1.4294205,6.659088,-141.54163,94.39345,-140.02724,0.1326421,[ 0.808 -0.978  0.231  0.299  0.025],1.0194811,52.97,100,52,1.0362314,,1.0183742,0.31034863,0.72809696,2.345487
5300,100.0,408.31424,0.12025576,1.4552535,-2.929428,-154.8606833978841,164.74385,1360.8963973522186,298741,9.918213e-07,1.7264467,9.095055,-168.06204,94.80159,-166.18007,0.16794616,[ 0.802 -0.98   0.228  0.304  0.031],1.0246233,59.58,100,53,1.0502981,,1.031635,0.32695475,0.70841706,2.7348628
5400,100.0,977.0017,0.10684305,1.4609821,-2.2801743,-148.67680347081682,187.43921,1385.2105646133423,304012,1.1444092e-06,1.9741092,4.8979034,-138.71721,94.35869,-136.3981,0.22701761,[ 0.801 -0.991  0.226  0.303  0.036],1.0491844,52.71,100,54,1.0648712,,1.0303575,0.31128332,0.5111861,1.8595033
5500,100.0,802.66943,0.10467371,1.4568561,-2.7446442,-146.8901003472591,191.9071,1410.3532664775848,309165,-6.1035155e-07,1.6915139,9.258179,-140.24715,94.29884,-137.31403,0.1892085,[ 0.812 -0.985  0.23   0.304  0.042],1.0417552,51.53,100,55,1.0741731,,1.0360317,0.30885518,0.6463603,2.740127
5600,100.0,61.08631,0.1073526,1.4608936,-2.8229523,-148.85088784444707,180.12546,1434.6659133434296,314521,5.722046e-06,1.2261933,9.709259,-145.4377,94.44171,-144.9534,0.052141856,[ 0.819 -0.974  0.23   0.313  0.038],1.0030947,53.56,100,56,1.0100853,,1.0064636,0.30993864,0.8755279,2.5656366
5700,100.0,622.7904,0.10712843,1.4568663,-2.607254,-148.31886388764303,186.00618,1459.1425154209137,319815,-9.841919e-06,1.5318723,7.8939514,-145.2801,94.39671,-142.63466,0.1853096,[ 0.819 -0.971  0.228  0.314  0.042],1.0448351,52.94,100,57,1.0621368,,1.0305969,0.31133598,0.5785039,2.5025294
5800,100.0,17802975000.0,15.471823,1.3757529,-1.958931,-143.98369597204058,13581.301,1481.9219539165497,324584,5.569458e-06,9824.406,10.147636,-121.250626,93.961685,8119.32,939.18335,[ 0.81  -0.98   0.226  0.31   0.038],2660.4468,47.69,100,58,22028.504,,91.98242,238.82584,4.2594735e-07,2.0716805
5900,100.0,1826.3923,0.08731265,1.3748136,-2.4084396,-138.6695013046041,231.93599,1501.6646723747253,328870,-4.272461e-06,1.9382021,8.247894,-94.803116,93.52919,-90.548996,0.24774098,[ 0.894 -0.831  0.264  0.285 -0.043],1.0664029,42.86,100,59,1.105352,,1.0409422,0.28521588,0.58695734,2.0803187
6000,100.0,183.09482,0.07854649,1.3721277,-2.47081,-135.24952150394196,248.29562,1523.1102159023285,332781,6.8664554e-07,1.3287005,6.55777,-84.80867,93.08363,-83.74783,0.07045422,[ 0.883 -0.841  0.261  0.292 -0.044],1.004966,39.11,100,60,1.0670015,,1.0112909,0.2696418,0.8276428,1.9059116
6100,100.0,1377.9069,0.08731617,1.3827989,-2.1378632,-139.0150945448553,231.99774,1543.6066617965698,337069,1.0604858e-05,1.8754302,5.9661636,-97.30682,93.51608,-93.813416,0.19408804,[ 0.891 -0.842  0.259  0.292 -0.047],1.0240096,42.88,100,61,1.0864632,,1.0381672,0.2851371,0.52154833,1.8706554
6200,100.0,3175395.5,0.19789971,1.3914875,-2.3511963,-138.7476843050899,504.15826,1564.3159952163696,341374,1.3732911e-06,96.24301,6.480156,-101.32666,93.55411,-2.793396,10.621359,[ 0.894 -0.839  0.256  0.303 -0.036],8.015471,43.05,100,62,32.54765,,2.6170418,0.8900064,0.008164152,2.1419957
6300,100.0,1611.4429,0.093367435,1.3926355,-2.923668,-141.15403621607385,213.9484,1588.1697840690613,345972,-8.392334e-07,2.18543,8.879684,-114.87628,93.8602,-112.200775,0.25573853,[ 0.82  -0.871  0.239  0.24  -0.028],1.0515884,45.98,100,63,1.0941733,,1.0257282,0.29343823,0.39585418,2.5864804
6400,100.0,752.65686,0.08991666,1.3876294,-2.6792068,-139.6114491029977,225.35794,1607.1043639183044,350394,8.392334e-06,1.828735,10.398033,-109.65588,93.68559,-105.11569,0.17734835,[ 0.832 -0.864  0.243  0.234 -0.026],1.0316731,44.22,100,64,1.114813,,1.0530578,0.28871208,0.6492982,2.2113125
6500,100.0,214.31851,0.09224679,1.3888584,-2.3918533,-141.6937201151543,209.59808,1629.7035546302795,354997,-6.713867e-06,1.2888737,7.2276382,-114.13843,93.843414,-113.59363,0.09095036,[ 0.821 -0.869  0.245  0.245 -0.031],1.0082228,46.03,100,65,1.0118064,,1.006952,0.2896824,0.8271023,2.2874584
6600,100.0,112.765045,0.09605187,1.3877496,-2.622673,-143.3036249877605,200.58835,1651.9535357952118,359793,6.866455e-06,1.2145374,5.1795044,-124.669815,94.02403,-124.29498,0.07172268,[ 0.814 -0.87   0.243  0.246 -0.03 ],1.0053647,47.96,100,66,1.008234,,1.003154,0.29488388,0.76259005,2.1121986
6700,100.0,504.98883,0.08796894,1.3825926,-2.1761703,-139.50377130836188,225.25966,1673.5964059829712,364152,9.918213e-07,1.655343,6.553009,-103.05408,93.59927,-100.41698,0.12426443,[ 0.819 -0.87   0.245  0.247 -0.031],1.0115747,43.59,100,67,1.050328,,1.0230513,0.28467536,0.68944377,1.9400419
6800,100.0,926.7519,0.091004275,1.3762109,-2.587799,-140.65829148504776,217.4114,1693.4022722244263,368653,-7.2479247e-06,1.439193,6.734726,-109.26131,93.74991,-107.20456,0.18098442,[ 0.813 -0.86   0.239  0.241 -0.037],1.0335366,45.01,100,68,1.0481149,,1.0219566,0.2893679,0.55352527,2.0255485
6900,100.0,292.94073,0.096800976,1.3791274,-2.9492188,-143.32914274729117,200.66382,1714.36594748497,373472,-1.1672973e-05,1.497839,7.2379227,-124.54607,94.0515,-123.48157,0.1135909,[ 0.819 -0.854  0.242  0.246 -0.043],1.012892,48.19,100,69,1.0185658,,1.0111303,0.2964266,0.7314626,2.5913668
7000,100.0,290.788,0.09574949,1.3771417,-2.4906006,-143.39353815032985,203.50168,1738.9170372486115,378237,-4.196167e-06,1.3161845,6.989105,-121.72635,93.981384,-120.82327,0.1142891,[ 0.82  -0.845  0.241  0.248 -0.04 ],1.0152858,47.65,100,70,1.0255808,,1.0102654,0.2950022,0.7331145,2.0182827
7100,100.0,446.09995,0.10069166,1.3760232,-2.6062012,-145.4367687910079,196.06686,1763.1340222358704,383225,4.043579e-06,1.3775209,8.692093,-129.89719,94.16853,-128.07999,0.13175096,[ 0.821 -0.858  0.243  0.251 -0.042],1.0170323,49.88,100,71,1.0479292,,1.0172971,0.3024814,0.64785695,2.3826573
7200,100.0,16701.209,0.08554153,1.3749889,-2.4352646,-135.84962187603386,256.7246,1780.7021253108978,387233,2.9754638e-06,4.3192253,8.502472,-81.9259,93.22107,-76.01196,0.6858094,[ 0.814 -0.86   0.243  0.242 -0.043],1.254377,40.08,100,72,1.3946478,,1.0925112,0.2905435,0.2417193,2.2675023
7300,100.0,645.1258,0.09470771,1.3691294,-2.58033,-142.2912066519873,210.02835,1804.0948734283447,391910,3.2043456e-06,1.5405138,7.488106,-107.76465,93.91528,-105.24948,0.15714239,[ 0.819 -0.824  0.245  0.249 -0.044],1.029408,46.77,100,73,1.0542737,,1.0277736,0.29483646,0.6124694,2.2089915
7400,100.0,902.39233,0.09543113,1.3679332,-2.8335266,-142.48372178495936,209.09467,1825.1675238609314,396622,2.2888183e-07,2.0562541,8.320122,-123.761505,93.9523,-120.839966,0.20909898,[ 0.816 -0.828  0.24   0.249 -0.05 ],1.0328636,47.12,100,74,1.1009727,,1.0346246,0.29588294,0.6119746,2.4958317
7500,100.0,2624.1826,0.09429146,1.3659818,-2.6371841,-141.75524223160397,214.417,1847.9859511852264,401244,1.1291504e-05,2.2104855,8.289246,-113.86069,93.86606,-110.65138,0.3084443,[ 0.828 -0.823  0.238  0.243 -0.051],1.0913014,46.22,100,75,1.1100712,,1.0335362,0.29555434,0.41554856,2.473331
7600,100.0,1712.1083,0.089955375,1.3613273,-3.2212296,-139.35247809730927,222.82053,1867.126760005951,405667,2.2125244e-06,1.8273115,7.418602,-100.10849,93.69873,-97.01352,0.25535637,[ 0.839 -0.807  0.24   0.243 -0.053],1.0611824,44.23,100,76,1.1224016,,1.0456383,0.28883582,0.459571,2.579597
7700,100.0,1062.9539,0.08547841,1.3739647,-2.6256943,-137.68959346717008,235.98488,1888.2703280448914,409870,-1.4419556e-05,1.8506198,6.0928345,-92.91742,93.44803,-88.9088,0.16775379,[ 0.85  -0.794  0.238  0.238 -0.058],1.0287757,42.03,100,77,1.0648441,,1.0395741,0.2821957,0.7250247,2.169802
7800,100.0,2229.7527,0.09497768,1.3700172,-2.2427902,-142.1510162858472,215.34348,1911.2241954803467,414512,-5.340576e-06,2.035194,8.029976,-114.89522,93.87544,-111.038055,0.29682624,[ 0.848 -0.785  0.238  0.246 -0.045],1.0769337,46.42,100,78,1.1270249,,1.0543389,0.296986,0.3744669,2.0587292
7900,100.0,1407.4612,0.09201057,1.3651792,-2.529152,-141.0047496416045,215.30507,1933.6522660255432,419056,-6.1035155e-07,1.8053545,5.9368668,-105.22867,93.79381,-103.29967,0.22423497,[ 0.861 -0.775  0.239  0.236 -0.049],1.0481794,45.44,100,79,1.0670866,,1.0194919,0.29104877,0.53533775,2.048162
8000,100.0,1325.0597,0.08921071,1.3681113,-2.61911,-139.4680179785376,224.94821,1955.0117468833923,423450,-7.095337e-06,2.0951476,7.0589676,-97.460464,93.651886,-94.29932,0.22055438,[ 0.851 -0.782  0.236  0.23  -0.054],1.0357997,43.94,100,80,1.1456311,,1.0380094,0.28745377,0.45159075,2.103535
