MaxIW,EmpiricalD2,MeanD2w0t,TimestepsSoFar,MinD2w0t,Bound,MeanIW,EpThisIter,InitialReturnStd,J_sample_variance,MaxD2w0t,EntropyCoefficient,ReturnStepMax,Weights,EpRewMean,ReturnMeanIW,MeanEntropy,InitialBound,MinIW,InitialReturnMean,StdD2w0t,Iteration,EpLenMean,InitialReturnMax,InitialReturnMin,EpisodesSoFar,TimeElapsed,ReturnStepMaxmin,StdIW
33.447655,2.8342865,0.12203803,103500,,179.27129,1.5535969,100,12.4863,151319.97,8.893969,10.0,100.0,[-0.835 -0.329 -0.382 -0.636 -0.117],-107.22236295772676,307.53067,1.2783188,131.95532,0.048469566,5.4931643e-06,0.4936721,28,36.75,35.368362,-16.10569,2800,303.46185183525085,93.16495,2.4501674
2.4228873,1.1066374,0.08786011,107642,,104.95881,1.076158,100,13.0817995,2056.3774,1.4834812,10.0,100.0,[-0.852 -0.36  -0.368 -0.641 -0.141],-106.20746300448751,191.73514,1.2783197,98.427185,0.3902055,2.670288e-06,0.29314533,29,41.42,36.960007,-18.698082,2900,315.1222026348114,93.87168,0.32056066
3.1330183,1.1390648,0.08473612,111613,,119.95753,1.0575815,100,10.717681,3814.805,1.3422291,10.0,100.0,[-0.857 -0.377 -0.37  -0.651 -0.141],-108.15775722838828,202.03966,1.2832983,115.66175,0.3438132,-3.5476685e-06,0.28890753,30,39.71,40.222317,-15.082123,3000,325.1434099674225,93.55262,0.39172933
33.179848,2.649866,0.13787182,115418,,175.1719,1.63907,100,12.3225765,204471.98,8.087714,10.0,100.0,[-0.857 -0.381 -0.371 -0.639 -0.136],-107.39594492308942,303.37582,1.3658576,123.648125,0.071848094,2.0599366e-06,0.5439132,31,38.05,40.6155,-18.327988,3100,335.4819037914276,93.35505,3.0324922
16.349968,1.7398617,0.1161163,119364,,143.45792,1.3223845,100,11.220133,61207.12,6.141227,10.0,100.0,[-0.807 -0.401 -0.369 -0.659 -0.053],-108.07917038709944,247.84123,1.4195772,118.4383,0.103113525,-8.163453e-06,0.4177769,32,39.46,24.570724,-16.74202,3200,347.9640214443207,93.522095,1.5843868
1.7303247,1.0576571,0.08428638,123430,,111.37421,1.0383157,100,11.262159,1340.4169,1.2098267,10.0,100.0,[-8.044e-01 -4.222e-01 -3.899e-01 -6.479e-01  6.910e-04],-107.72929386809847,193.72559,1.398958,107.64221,0.49652797,-5.1116945e-06,0.28340855,33,40.66,28.371021,-19.59787,3300,359.3456060886383,93.70098,0.22304824
3.8417182,1.2343973,0.089391366,127210,,144.77155,1.1115103,100,11.707662,8533.832,1.6682395,10.0,100.0,[-0.817 -0.432 -0.4   -0.651 -0.02 ],-108.69362880518747,226.71815,1.4130577,133.84952,0.2653417,7.781982e-06,0.315657,34,37.8,31.256317,-16.31865,3400,369.0722405910492,93.24901,0.51607466
5.564272,1.2667346,0.08909891,131062,,133.74329,1.0919303,100,11.360318,12235.746,1.6065371,10.0,100.0,[-0.824 -0.463 -0.428 -0.653 -0.006],-108.52156789652967,217.55867,1.4517903,126.14137,0.29750326,-4.8065185e-06,0.3105074,35,38.52,35.87877,-15.125679,3500,380.13754510879517,93.36547,0.64780295
7.0099735,1.2450858,0.09039867,135102,,122.98969,1.0945245,100,11.6602745,8952.333,1.6368814,10.0,100.0,[-0.846 -0.483 -0.44  -0.663  0.033],-108.27683022992971,204.08488,1.4657328,115.40454,0.23467077,6.027222e-06,0.3064592,36,40.4,38.09587,-20.412544,3600,390.5748872756958,93.63976,0.6868288
3.83232,1.1522622,0.08340096,138963,,128.63165,1.052323,100,11.563838,5904.1587,1.4131442,10.0,100.0,[-0.833 -0.463 -0.428 -0.674  0.047],-109.00611898104627,210.06244,1.4544525,125.223625,0.28142214,-3.4713746e-06,0.28895256,37,38.61,30.863754,-15.519142,3700,401.4090337753296,93.35411,0.4669439
2.6798162,1.1157708,0.08999137,143159,,104.981766,1.0721647,100,13.605986,3207.8276,1.3985438,10.0,100.0,[-0.83  -0.451 -0.413 -0.659  0.035],-107.00549041618244,189.4283,1.4711378,99.007576,0.4282514,4.005432e-06,0.29804444,38,41.96,43.30673,-18.52179,3800,412.77842950820923,93.89964,0.36347073
1.9026147,1.0387803,0.08362572,147249,,109.50874,1.0255519,100,12.352696,1002.5259,1.1667241,10.0,100.0,[-0.852 -0.465 -0.421 -0.671  0.052],-108.13065480917508,190.16345,1.4749348,107.31154,0.6163932,7.133484e-06,0.28026885,39,40.9,39.19619,-16.44339,3900,422.5229866504669,93.71244,0.18989298
2.3931031,1.1264937,0.08169479,151137,,129.37334,1.057244,100,10.977476,3117.293,1.3650435,10.0,100.0,[-0.843 -0.451 -0.415 -0.664  0.056],-109.03974297899869,208.8575,1.485675,124.09079,0.45671368,-1.3732911e-06,0.28165224,40,38.88,32.80253,-16.969269,4000,433.6008813381195,93.391014,0.35446587
2.5837722,1.0808976,0.08547769,155189,,112.877335,1.0517974,100,14.171803,2629.7769,1.2733092,10.0,100.0,[-0.865 -0.454 -0.419 -0.65   0.067],-108.03964746771915,195.84148,1.4986817,108.51685,0.5654285,-8.010864e-07,0.28804258,41,40.52,63.67328,-19.201279,4100,444.5818545818329,93.66734,0.31134444
12.961567,1.4266903,0.09082788,159043,,133.1659,1.0959374,100,10.62209,29015.256,2.122749,10.0,100.0,[-0.859 -0.45  -0.403 -0.651  0.08 ],-108.46397062522618,215.44716,1.5120577,128.91174,0.23769447,9.536743e-07,0.3173909,42,38.54,24.803608,-17.39463,4200,453.7176191806793,93.37308,1.1868873
5.355897,1.3431599,0.09543094,163275,,107.763504,1.1096168,100,13.794553,7986.183,1.8575573,10.0,100.0,[-0.878 -0.458 -0.407 -0.626  0.093],-107.12838046568905,193.87627,1.4957473,98.33262,0.21363038,5.760193e-06,0.315694,43,42.32,37.375175,-19.858856,4300,466.2398610115051,93.93732,0.6488838
1.870804,1.0664567,0.08962173,167586,,98.57991,1.0482402,100,12.275169,1467.1278,1.2606514,10.0,100.0,[-0.917 -0.477 -0.42  -0.613  0.077],-107.60780402087462,180.61328,1.5093628,93.78981,0.41603845,2.7465821e-06,0.29193828,44,43.11,35.898823,-21.28901,4400,477.4247479438782,94.00778,0.2571661
2.187881,1.0480633,0.0856327,171701,,109.11566,1.03643,100,11.25243,1736.6293,1.1972895,10.0,100.0,[-0.957 -0.477 -0.433 -0.61   0.09 ],-109.11531067203761,193.21512,1.5029311,105.52565,0.5187925,5.0735475e-06,0.28607857,45,41.15,45.545185,-18.32051,4500,487.9895808696747,93.69672,0.2350133
1.8583013,1.0176575,0.08762174,176035,,93.3829,1.0090111,100,12.786032,643.89813,1.0562929,10.0,100.0,[-0.942 -0.479 -0.419 -0.619  0.084],-107.2273243085016,173.40533,1.5146284,92.20038,0.74132574,3.4332274e-06,0.2844404,46,43.34,41.61928,-19.192825,4600,499.11112689971924,94.0518,0.14306135
2.106339,1.1169777,0.085856035,180049,,120.44736,1.0722592,100,12.059465,3014.8567,1.3444703,10.0,100.0,[-0.933 -0.476 -0.414 -0.62   0.096],-107.59423797188758,200.49043,1.4843547,114.68933,0.2692796,-4.043579e-06,0.29105276,47,40.14,30.72316,-18.702164,4700,509.1069760322571,93.63906,0.34858862
4.957845,1.205537,0.10542629,184816,,80.06399,1.0873394,100,13.282564,4652.9785,1.5192261,10.0,100.0,[-0.924 -0.49  -0.417 -0.619  0.065],-108.1135721652717,165.14845,1.5084656,74.06073,0.28554353,-4.196167e-07,0.32578257,48,47.67,50.138798,-19.611313,4800,520.842410326004,94.46408,0.56114197
2.216757,1.1633132,0.08914902,189003,,109.57659,1.0775604,100,12.7318125,2912.8079,1.4863086,10.0,100.0,[-0.931 -0.492 -0.422 -0.634  0.09 ],-107.4003626540514,191.33765,1.495198,102.44831,0.35798615,-3.3950805e-06,0.29538664,49,41.87,34.25812,-19.136826,4900,531.6735773086548,93.869835,0.39794293
45.451164,1.6105832,0.1182106,193154,,136.23602,1.5498781,100,12.496276,293734.44,8.224246,10.0,100.0,[-0.951 -0.511 -0.429 -0.632  0.076],-107.5266925124656,259.82465,1.5223558,101.77492,0.14103293,5.722046e-06,0.46620247,50,41.51,38.953606,-17.350655,5000,541.6200733184814,93.819244,3.8934877
2.2364895,1.0693688,0.091820545,197569,,97.27728,1.0452257,100,12.206236,1374.6174,1.202033,10.0,100.0,[-0.976 -0.456 -0.418 -0.603  0.103],-108.8049111291193,176.55722,1.5371304,93.18501,0.49880528,-2.822876e-06,0.29520968,51,44.15,42.886314,-20.806725,5100,554.1178710460663,94.07113,0.24569556
1.3091116,1.0073023,0.087765306,201941,,90.21037,1.0074798,100,13.683249,293.5272,1.0239859,10.0,100.0,[-0.994 -0.468 -0.43  -0.599  0.118],-106.5502428097851,169.0595,1.5396297,89.832565,0.72077125,5.760193e-06,0.28352436,52,43.72,42.89354,-19.047577,5200,564.1978125572205,94.12581,0.081147335
2.5774765,1.0998756,0.090895616,206283,,94.05349,1.0391533,100,12.936126,2091.0574,1.2174826,10.0,100.0,[-0.987 -0.473 -0.43  -0.605  0.121],-106.7186792173722,176.5485,1.5432996,90.836334,0.5014274,1.1444092e-06,0.2949528,53,43.42,34.321014,-19.763474,5300,576.2629189491272,94.08437,0.31724867
1.9098446,1.0163766,0.09018547,210753,,85.57971,1.0052142,100,12.84479,625.322,1.073139,10.0,100.0,[-0.981 -0.482 -0.419 -0.606  0.124],-107.21437109682107,166.2822,1.538185,84.98055,0.70565194,-2.822876e-06,0.2878505,54,44.7,42.760155,-19.745567,5400,588.4957740306854,94.20294,0.14285818
3.6925204,1.2261142,0.10152579,215220,,96.21973,1.0950229,100,12.777369,5740.1235,1.619061,10.0,100.0,[-0.987 -0.476 -0.414 -0.602  0.119],-107.05278503403913,180.09894,1.5696468,88.034775,0.22789069,8.850097e-06,0.32588488,55,44.67,37.479637,-19.89595,5500,599.5535600185394,94.206955,0.50553274
4.2562776,1.1615561,0.09853979,219813,,88.08488,1.0574847,100,12.171455,4250.4863,1.3400515,10.0,100.0,[-0.986 -0.49  -0.424 -0.593  0.151],-108.77008531617918,168.26802,1.597957,85.21173,0.4279816,4.577637e-06,0.31026432,56,45.93,29.811367,-19.997612,5600,610.4375591278076,94.26369,0.50151247
1.7845415,1.0415771,0.09817966,224587,,75.254135,1.0292453,100,13.170847,853.00085,1.1105427,10.0,100.0,[-1.006 -0.495 -0.425 -0.587  0.179],-106.31237199336262,153.76018,1.6063457,73.51507,0.515358,-2.632141e-06,0.3022874,57,47.74,36.861134,-21.10862,5700,621.8240468502045,94.546196,0.21021366
5.397586,1.2616162,0.11161089,229467,,77.17228,1.1536422,100,13.310083,5436.3486,1.7426832,10.0,100.0,[-0.995 -0.493 -0.428 -0.579  0.187],-109.33532019412411,166.79816,1.6347414,69.3768,0.34869114,-4.5013426e-06,0.34099188,58,48.8,47.677505,-21.607544,5800,633.7211668491364,94.51914,0.6765803
3.8042924,1.0686637,0.096923575,234126,,80.27724,1.0558006,100,13.330129,1962.1791,1.345819,10.0,100.0,[-1.001 -0.485 -0.444 -0.575  0.216],-107.33636021663777,163.01492,1.6318159,77.06539,0.29759678,-2.0599366e-06,0.3028987,59,46.59,38.602386,-22.009949,5900,645.8190393447876,94.3923,0.33716074
2.5300517,1.0857077,0.094671,238638,,88.172615,1.0536869,100,13.952394,1729.083,1.2302518,10.0,100.0,[-1.019 -0.462 -0.439 -0.559  0.213],-108.35023453729694,170.7844,1.6498017,84.47824,0.51497716,2.5177003e-06,0.3008114,60,45.12,45.454964,-20.350433,6000,657.3055543899536,94.197235,0.3035114
1.5719565,1.0641735,0.096344374,243335,,79.8922,1.0371041,100,12.714531,791.53156,1.2011411,10.0,100.0,[-1.025 -0.457 -0.45  -0.558  0.231],-108.75691294594525,160.36049,1.6604469,77.45366,0.5706705,,0.29929975,61,46.97,33.194817,-20.090515,6100,668.7551293373108,94.3691,0.22437648
9.697261,1.3041809,0.10820533,248017,,86.33949,1.190821,100,13.788615,10025.335,2.5201268,10.0,100.0,[-0.993 -0.453 -0.441 -0.566  0.241],-107.31544844890973,174.30832,1.6618025,77.67584,0.34587744,1.2969971e-06,0.3414723,62,46.82,37.465706,-19.815323,6200,680.1802704334259,94.41583,0.95749444
3.053787,1.1119578,0.10096633,252672,,81.3752,1.0722932,100,15.184454,2488.066,1.3995805,10.0,100.0,[-0.98  -0.409 -0.423 -0.561  0.243],-106.9040400625766,166.0884,1.645819,75.65475,0.45858195,1.1825562e-06,0.31588197,63,46.55,43.177956,-19.42743,6300,692.0040636062622,94.4071,0.33170745
3.6313741,1.1320884,0.09829159,257180,,89.3563,1.1035736,100,14.323586,3511.8452,1.7244749,10.0,100.0,[-0.971 -0.408 -0.404 -0.568  0.227],-108.05650819690054,175.85382,1.6546776,82.92234,0.23302466,-2.7465821e-06,0.3133875,64,45.08,46.722054,-17.361,6400,703.2975571155548,94.20601,0.4595305
6.087298,1.6015185,0.098721735,261274,,122.696014,1.1796293,100,11.970159,18602.129,2.4021173,10.0,100.0,[-0.951 -0.417 -0.395 -0.593  0.236],-107.37669258624801,212.84105,1.6451931,108.23239,0.13405856,-3.852844e-06,0.33663097,65,40.94,30.745045,-19.09922,6500,714.0558779239655,93.75444,0.94186246
2.0333154,1.0475613,0.09622039,265935,,79.52222,1.0349954,100,14.595822,1113.9996,1.1981664,10.0,100.0,[-0.989 -0.438 -0.386 -0.588  0.226],-107.32426660992695,160.63992,1.6344486,77.34253,0.4897094,-5.569458e-06,0.3002277,66,46.61,41.46339,-21.336365,6600,726.0835516452789,94.39479,0.22998539
1.8424888,1.0426183,0.09892831,270768,,70.381584,1.0197189,100,13.840408,1018.5176,1.0999885,10.0,100.0,[-0.992 -0.431 -0.381 -0.596  0.215],-106.62784180862697,150.86282,1.6419169,68.53194,0.5861009,-4.7683716e-06,0.30248183,67,48.33,34.664165,-22.811012,6700,739.167492389679,94.58752,0.19989718
