EpisodesSoFar,EmpiricalD2,InitialReturnMin,MeanD2w0t,EpRewMean,ReturnStepMaxmin,InitialReturnMean,MaxIW,MinIW,StdIW,StdD2w0t,EntropyCoefficient,MinD2w0t,TimestepsSoFar,InitialBound,TimeElapsed,MeanIW,EpThisIter,Weights,InitialReturnStd,J_sample_variance,Iteration,ReturnMeanIW,MaxD2w0t,ReturnStepMax,InitialReturnMax,MeanEntropy,EpLenMean,Bound
2300,1.0380467,-16.534134,0.07327946,-108.13931200789088,92.97217,2.4032593e-06,2.2985463,0.5715766,0.21282618,0.26358697,10.0,,81712,-55.56671,232.31196475028992,1.0497459,100,[-0.821 -0.529 -0.49  -0.766 -0.062],11.850117,1844.8312,23,228.67949,1.07441,100.0,38.699963,1.3764342,35.88,-50.73494
2400,1.0348408,-16.408646,0.0741322,-108.20764848314035,93.04143,-8.773804e-07,1.9787935,0.63324976,0.19602972,0.26490363,10.0,,85344,-53.569946,241.91137170791626,1.0441359,100,[-0.819 -0.528 -0.49  -0.769 -0.043],10.602448,1465.696,24,224.61343,1.0733523,100.0,29.646046,1.3955079,36.32,-49.502777
2500,1.0630727,-16.068748,0.07534939,-108.5409768135876,93.08833,4.4250487e-06,1.8543382,0.5405918,0.26428974,0.26769936,10.0,,89016,-61.48456,252.1414134502411,1.0531719,100,[-0.813 -0.533 -0.49  -0.77  -0.023],10.53194,1991.7537,25,224.2398,1.1118277,100.0,35.15642,1.404751,36.72,-56.871223
2600,1.0437177,-14.070221,0.06946175,-107.56312468118796,92.609184,1.5640259e-06,1.9717295,0.58074373,0.23027912,0.2586801,10.0,,92382,-36.232307,260.9365816116333,1.0632253,100,[-0.814 -0.531 -0.495 -0.777 -0.014],11.153655,2390.1814,26,250.07118,1.1434327,100.0,45.258045,1.4184954,33.66,-29.408323
2700,1.017766,-14.70771,0.07119163,-108.64477793152966,92.82358,1.8310546e-06,1.5513834,0.69116265,0.13535002,0.25879145,10.0,,95900,-51.996506,271.352511882782,1.0220753,100,[-7.996e-01 -5.349e-01 -4.980e-01 -7.720e-01 -4.632e-04],11.443062,868.2292,27,231.29042,1.0552952,100.0,36.801846,1.4239339,35.18,-49.539272
2800,1.1922307,-16.148285,0.07689315,-107.61005024052864,92.945045,4.043579e-06,4.019632,0.23837891,0.6315753,0.27859026,10.0,,99454,-48.44389,281.22982835769653,1.145758,100,[-0.795 -0.543 -0.497 -0.78   0.005],10.917811,11563.652,28,244.85593,1.4675092,100.0,33.75107,1.4361665,35.54,-39.09442
2900,1.0588838,-16.690071,0.07236598,-106.29373102196249,92.970856,4.272461e-06,2.4446068,0.6350924,0.2551643,0.2628198,10.0,,102980,-63.44763,291.3958053588867,1.0565798,100,[-0.788 -0.523 -0.491 -0.786  0.017],13.496698,2383.9756,29,231.65376,1.1259423,100.0,40.18508,1.4438931,35.26,-58.065205
3000,1.0399013,-15.99749,0.07054909,-106.69751912772323,92.767685,6.1035155e-07,2.6487987,0.64659005,0.25284517,0.26026237,10.0,,106404,-56.994617,301.3715703487396,1.0558542,100,[-0.805 -0.529 -0.489 -0.787  0.025],13.032888,3619.189,30,242.7299,1.13389,100.0,43.83266,1.447271,34.24,-49.80538
3100,1.0439658,-17.121422,0.08066994,-107.47758846575503,93.54568,3.8146972e-08,1.8427138,0.52246696,0.22455743,0.27581352,10.0,,110345,-97.274025,311.7962718009949,1.0527042,100,[-0.783 -0.531 -0.475 -0.79   0.028],11.853284,1634.887,31,204.04515,1.0778449,100.0,38.1845,1.4429994,39.41,-92.26683
3200,1.0252782,-15.001991,0.07078334,-108.57411697836348,92.7869,5.0735475e-06,1.719261,0.6025605,0.174256,0.25820956,10.0,,113840,-63.15016,321.9631884098053,1.033011,100,[-0.774 -0.537 -0.466 -0.792  0.024],11.985766,1081.0449,32,234.28348,1.0623066,100.0,40.00203,1.4559717,34.95,-59.70127
3300,1.2699063,-14.262978,0.07825153,-108.86704674366281,92.55749,5.722046e-06,9.109003,0.22661518,1.0724655,0.29384762,10.0,,117195,-33.88601,331.5707440376282,1.268327,100,[-0.761 -0.535 -0.464 -0.794  0.037],10.188275,44457.5,33,295.15527,1.6132224,100.0,28.679504,1.5034857,33.55,-10.350977
3400,1.0796679,-15.682739,0.07452483,-108.44951122946708,92.96834,5.722046e-06,2.110778,0.4424563,0.3438077,0.2678264,10.0,,120791,-72.14077,342.4958004951477,1.0743128,100,[-0.729 -0.543 -0.455 -0.793  0.085],11.334088,3698.545,34,234.63242,1.1607893,100.0,35.38866,1.5196363,35.96,-65.6848
3500,1.0256307,-15.670868,0.07297878,-107.7569922022825,93.00517,2.1743774e-06,1.4133742,0.6150168,0.15261944,0.26222333,10.0,,124386,-64.89746,352.8526916503906,1.0348575,100,[-0.718 -0.547 -0.464 -0.8    0.101],12.643598,907.8532,35,225.54259,1.0596087,100.0,54.207275,1.5045571,35.95,-61.359657
3600,1.033987,-15.304749,0.07234848,-108.18197174663341,92.88119,7.2479247e-07,1.8847613,0.68133587,0.17563927,0.26231247,10.0,,127922,-58.926903,362.71550488471985,1.0581063,100,[-0.722 -0.55  -0.469 -0.804  0.086],10.809913,1275.2001,36,234.78618,1.0790716,100.0,29.548683,1.5198532,35.36,-52.67047
3700,1.014844,-15.123932,0.0715072,-107.96380876529552,92.90897,-7.6293944e-08,1.516489,0.7272941,0.12082866,0.25887224,10.0,,131467,-47.056458,372.1991078853607,1.0205389,100,[-0.733 -0.544 -0.474 -0.795  0.101],11.304333,590.8958,37,226.76945,1.0374109,100.0,31.661446,1.531348,35.45,-45.038494
3800,1.011014,-15.906128,0.06748438,-107.41704569705227,92.57169,-4.8065185e-06,1.4313293,0.7802192,0.10390909,0.25215563,10.0,,134809,-41.045666,382.39639234542847,1.0165164,100,[-0.724 -0.55  -0.476 -0.799  0.112],12.050128,810.19257,38,242.82005,1.0505228,100.0,38.44708,1.5279264,33.42,-38.80345
3900,1.0320314,-14.814697,0.070882306,-107.88975414328448,92.813995,-2.861023e-06,2.4422913,0.4845599,0.23946835,0.25890753,10.0,,138297,-52.353836,392.5676369667053,1.0496511,100,[-0.713 -0.549 -0.468 -0.805  0.109],10.880628,2085.1965,39,237.07768,1.1168816,100.0,32.228024,1.5308331,34.88,-46.79868
4000,1.0231786,-16.57721,0.071796946,-107.712394710959,92.91455,3.2424928e-06,1.9383184,0.6390471,0.17458203,0.26014015,10.0,,141837,-49.175037,402.06725811958313,1.0291932,100,[-0.739 -0.551 -0.471 -0.807  0.112],12.690062,1276.3982,40,228.31744,1.0810366,100.0,35.488068,1.5361118,35.4,-46.365627
4100,1.0060055,-17.957146,0.074806616,-107.83221094386168,93.207245,6.980896e-06,1.357042,0.8282771,0.07459584,0.26373473,10.0,,145560,-87.18538,412.26132225990295,1.0099936,100,[-0.734 -0.565 -0.472 -0.817  0.117],13.120944,474.36804,41,211.30157,1.0206991,100.0,43.075134,1.5390382,37.23,-86.10425
4200,1.0782664,-13.94342,0.072815634,-108.13805635565681,92.82081,-5.340576e-07,3.1148508,0.55423284,0.3592974,0.26556173,10.0,,149060,-46.861084,422.1276144981384,1.067244,100,[-0.725 -0.566 -0.467 -0.821  0.12 ],10.56017,5337.696,42,240.55353,1.165657,100.0,27.308914,1.5433781,35.0,-41.033688
4300,1.014733,-16.477524,0.07807232,-107.56027816324831,93.45282,1.9454956e-06,1.4408927,0.757604,0.10890113,0.269252,10.0,,152938,-81.85977,432.7231488227844,1.0214937,100,[-0.721 -0.567 -0.464 -0.808  0.124],11.775771,482.03925,43,201.34665,1.0240139,100.0,39.12513,1.5484209,38.78,-80.370926
4400,1.0315895,-15.082794,0.07197598,-107.50030511908503,92.95389,-8.010864e-07,1.601454,0.635483,0.17602205,0.26014394,10.0,,156494,-65.5858,442.4390027523041,1.0299273,100,[-0.718 -0.568 -0.461 -0.804  0.129],12.487242,1236.7501,44,226.79556,1.0608659,100.0,40.013695,1.555094,35.56,-62.54577
4500,1.0182981,-17.679436,0.07845835,-109.45553977397647,93.387375,1.7547608e-06,1.5990498,0.7007609,0.1281348,0.2697571,10.0,,160394,-89.08897,452.49992322921753,1.0192761,100,[-0.724 -0.571 -0.457 -0.802  0.136],10.808241,440.04742,45,203.12035,1.0417473,100.0,31.845543,1.5556847,39.0,-87.590935
4600,1.0144825,-17.189735,0.07523611,-108.9259548152565,93.16276,4.196167e-07,1.3844924,0.6818929,0.10859982,0.26490566,10.0,,164126,-67.21458,463.39624881744385,1.0184145,100,[-0.708 -0.571 -0.456 -0.807  0.137],11.254943,493.7295,46,214.10735,1.0304115,100.0,46.900898,1.55826,37.32,-65.41235
4700,1.014679,-16.901825,0.07530213,-108.19794315808775,93.20504,1.0681152e-06,1.47084,0.76641005,0.12249768,0.2650764,10.0,,167860,-62.315975,475.1512792110443,1.0161712,100,[-0.711 -0.568 -0.455 -0.799  0.139],11.274436,581.0418,47,212.40405,1.0331773,100.0,25.378643,1.5660743,37.34,-60.837273
4800,1.023889,-18.625954,0.07925724,-108.68691717109984,93.46464,2.4414062e-06,1.6385301,0.71697164,0.1708871,0.27149177,10.0,,171787,-89.84585,486.00961685180664,1.0211611,100,[-0.717 -0.562 -0.459 -0.796  0.147],11.992769,782.90027,48,200.95377,1.0541866,100.0,35.564713,1.5679525,39.27,-88.146736
4900,1.025345,-17.765015,0.077176705,-108.47084327136328,93.30946,6.4849855e-06,2.0890064,0.6374117,0.17004684,0.26866078,10.0,,175599,-81.932396,496.0999116897583,1.0288614,100,[-0.709 -0.554 -0.456 -0.799  0.149],11.522858,1028.9878,49,210.56845,1.1063079,100.0,33.73233,1.5729306,38.12,-78.483
5000,1.0115123,-16.088646,0.070111394,-107.05280852591264,92.84755,-4.8828124e-06,1.276726,0.7550911,0.093625516,0.25634214,10.0,,179079,-60.89295,505.20020151138306,1.0161877,100,[-0.689 -0.551 -0.45  -0.805  0.154],12.938061,550.738,50,229.59322,1.0273564,100.0,43.27434,1.5614274,34.8,-59.137848
5100,1.0043486,-17.44384,0.07568357,-107.03933439804392,93.32607,8.850097e-06,1.2369845,0.8445109,0.06807199,0.26491973,10.0,,182852,-90.50429,514.7712697982788,1.0061692,100,[-0.687 -0.55  -0.448 -0.802  0.142],13.101002,385.54337,51,205.67084,1.0119883,100.0,57.981888,1.5673014,37.73,-89.86407
5200,1.0021579,-16.08696,0.07652245,-108.4488107732932,93.32062,-6.790161e-06,1.1095778,0.86499304,0.041171018,0.26610637,10.0,,186671,-88.693214,526.142306804657,1.0037138,100,[-0.686 -0.552 -0.447 -0.805  0.148],12.136357,223.92482,52,204.76439,1.0074514,100.0,40.174667,1.5650208,38.19,-88.20314
5300,1.0255823,-15.554672,0.07216282,-107.67235184269072,92.930756,4.4250487e-06,1.6503141,0.68735474,0.15445887,0.26116627,10.0,,190219,-56.54323,535.0907235145569,1.0476639,100,[-0.69  -0.553 -0.45  -0.803  0.146],12.758643,1149.1771,53,231.0213,1.0886724,100.0,43.160137,1.561855,35.48,-51.49397
5400,1.0124886,-15.795448,0.07289667,-108.21334814690462,93.02138,-2.708435e-06,1.3170085,0.6504251,0.103080235,0.26092854,10.0,,193839,-65.55322,544.4886684417725,1.0134088,100,[-0.709 -0.546 -0.445 -0.804  0.143],11.545639,517.337,54,220.7856,1.0335406,100.0,43.312775,1.5634509,36.2,-63.86407
5500,1.0041518,-17.168419,0.07911821,-107.78679315117287,93.53697,1.5258789e-07,1.1961993,0.81714153,0.06571469,0.27028665,10.0,,197785,-100.0347,554.3964130878448,1.0080912,100,[-0.718 -0.554 -0.449 -0.808  0.144],13.20987,306.03772,55,195.6903,1.014847,100.0,45.80739,1.5614222,39.46,-99.41114
5600,1.0129129,-18.623383,0.07529135,-107.70914566830425,93.232445,-1.8310546e-06,1.410486,0.7456001,0.11499199,0.26500198,10.0,,201520,-74.87617,563.7887117862701,1.0166402,100,[-0.715 -0.549 -0.447 -0.806  0.142],13.204753,560.7832,56,211.4533,1.0284472,100.0,51.179585,1.5735475,37.35,-73.27736
5700,1.0107493,-19.415901,0.07777969,-106.92522782204871,93.462814,-2.9754638e-06,1.6931393,0.7253055,0.11929243,0.26883513,10.0,,205382,-92.93451,574.4710819721222,1.0179944,100,[-0.713 -0.545 -0.445 -0.805  0.155],13.530245,623.60645,57,201.11601,1.038725,100.0,34.189106,1.575771,38.62,-91.42282
5800,1.0015048,-17.895447,0.07755946,-107.48359581001984,93.45102,-1.1825562e-06,1.166035,0.8711916,0.037113626,0.26762074,10.0,,209256,-96.997314,583.850923538208,1.0035614,100,[-0.702 -0.548 -0.44  -0.805  0.157],14.541029,209.02577,58,198.81522,1.0062383,100.0,53.73236,1.5761516,38.74,-96.6133
5900,1.0069721,-19.12777,0.07975076,-106.547746675284,93.63372,-7.400513e-06,1.3284873,0.8057112,0.08235445,0.27151442,10.0,,213227,-104.01511,594.6455020904541,1.0133872,100,[-0.709 -0.546 -0.442 -0.802  0.157],13.494515,454.01862,59,193.02127,1.0245211,100.0,39.31904,1.5767678,39.71,-102.8428
6000,1.0077091,-16.929909,0.07851648,-108.21247284721129,93.463425,-1.8692017e-06,1.4315399,0.8364947,0.083685994,0.26961103,10.0,,217136,-92.384026,604.8410737514496,1.0126486,100,[-0.701 -0.542 -0.439 -0.798  0.158],12.0055,423.39496,60,199.40948,1.0175705,100.0,31.179153,1.5807308,39.09,-91.36383
6100,1.0397683,-18.305817,0.07823248,-108.0406751288776,93.38955,-6.8664554e-07,1.909591,0.58938557,0.20563665,0.27086338,10.0,,220987,-91.99191,613.9953122138977,1.0478772,100,[-0.701 -0.539 -0.434 -0.796  0.162],12.925135,1253.2766,61,208.39903,1.0962982,100.0,52.063263,1.583662,38.51,-87.760864
6200,1.0076911,-18.51966,0.080661245,-107.50169856510848,93.649055,1.1444092e-06,1.3623521,0.754326,0.09153579,0.27286372,10.0,,225005,-105.93254,624.4401478767395,1.0136998,100,[-0.679 -0.532 -0.429 -0.8    0.165],13.497415,361.36462,62,191.34857,1.0180467,100.0,42.240543,1.590226,40.18,-104.99407
6300,1.0654156,-20.08786,0.07833771,-107.21731366881238,93.35109,-7.3623655e-06,2.2786524,0.6326121,0.29778042,0.27344912,10.0,,228801,-83.729256,634.6678307056427,1.0815237,100,[-0.675 -0.534 -0.43  -0.803  0.171],13.762114,2196.1318,63,216.37706,1.1601454,100.0,54.80504,1.5976763,37.96,-77.20938
6400,1.0811785,-17.56871,0.07741254,-107.42783938102198,93.20093,-2.2506713e-06,2.630789,0.43785882,0.33456936,0.27385578,10.0,,232506,-70.08281,645.208881855011,1.0823017,100,[-0.658 -0.526 -0.434 -0.799  0.179],12.927416,3863.942,64,226.34717,1.1908303,100.0,52.984043,1.6116449,37.05,-61.993813
6500,1.0221057,-17.833954,0.07749446,-108.09409382595827,93.3423,3.0517577e-07,1.6806431,0.73209906,0.16720565,0.2694411,10.0,,236327,-86.51421,654.1089437007904,1.0394133,100,[-0.667 -0.551 -0.444 -0.811  0.193],12.188617,902.44806,65,209.06697,1.0614957,100.0,35.847363,1.6143558,38.21,-83.57457
6600,1.0423663,-17.187637,0.072783805,-108.57733720696159,92.88848,1.6784668e-06,2.2804751,0.5557476,0.23751298,0.26321536,10.0,,239880,-52.953915,664.2069571018219,1.0449594,100,[-0.665 -0.542 -0.443 -0.802  0.196],11.262897,2200.7854,66,232.6634,1.0885409,100.0,50.91471,1.631523,35.53,-48.38739
6700,1.0220584,-17.28897,0.081618346,-108.6964626777787,93.62564,-1.411438e-06,2.1527054,0.67631483,0.1791281,0.27510726,10.0,,243925,-97.57893,674.8507022857666,1.0229907,100,[-0.657 -0.529 -0.437 -0.796  0.213],12.63071,855.5719,67,193.44492,1.0570501,100.0,35.136055,1.6373239,40.45,-96.0581
6800,1.0178863,-17.732483,0.07508312,-108.51969973476383,93.16091,-1.9836425e-06,1.4563932,0.74360126,0.119910665,0.2649938,10.0,,247641,-57.784523,685.5564529895782,1.0164688,100,[-0.666 -0.535 -0.439 -0.793  0.218],11.731429,732.3553,68,214.96785,1.0299684,100.0,30.71325,1.6483415,37.16,-55.723816
6900,1.0844452,-16.226227,0.074031696,-108.58523286666775,92.90486,2.9754638e-06,2.2231805,0.44142103,0.3200574,0.2673897,10.0,,251204,-62.90439,696.2042775154114,1.0856392,100,[-0.664 -0.537 -0.434 -0.795  0.229],10.80964,3504.3623,69,239.09042,1.181649,100.0,30.833916,1.6256578,35.63,-55.1205
7000,1.0235541,-17.967834,0.08425199,-108.33741444602302,93.78771,1.5258789e-06,1.9988185,0.6575024,0.17930749,0.27981186,10.0,,255361,-106.310715,707.2658159732819,1.0355549,100,[-0.678 -0.542 -0.432 -0.789  0.207],11.505869,965.78986,70,188.52682,1.0575455,100.0,32.83257,1.6371036,41.57,-103.6391
7100,1.0095156,-20.782997,0.08618236,-108.23373508014919,93.96002,-7.6293946e-07,1.2826909,0.7800727,0.09653009,0.28113306,10.0,,259656,-110.35013,718.8121557235718,1.0105692,100,[-0.677 -0.55  -0.43  -0.795  0.218],12.978764,337.68497,71,176.80156,1.0230175,100.0,32.356075,1.6347843,42.95,-109.659134
7200,1.0055758,-18.725494,0.078507684,-106.71937062049145,93.53702,-5.645752e-06,1.2487649,0.81092566,0.07186047,0.26965886,10.0,,263563,-99.2251,729.8883864879608,1.0112997,100,[-0.688 -0.549 -0.432 -0.79   0.216],14.625491,408.60132,72,196.94417,1.0204145,100.0,73.951225,1.6354256,39.07,-98.20774
7300,1.0301771,-16.978004,0.0777854,-108.20750124714336,93.368614,-1.7547608e-06,1.6457863,0.50122553,0.1994934,0.2695918,10.0,,267406,-75.9967,740.3110551834106,1.0277004,100,[-0.691 -0.546 -0.428 -0.792  0.216],11.194115,1293.6171,73,206.68034,1.0711405,100.0,32.881493,1.6299013,38.43,-73.98555
7400,1.0304744,-18.776192,0.081892215,-107.70017146998815,93.66435,-4.53949e-06,2.014128,0.74555737,0.19643345,0.27635562,10.0,,271443,-95.73326,750.242910861969,1.0332254,100,[-0.702 -0.556 -0.43  -0.794  0.211],12.242066,1206.4316,74,194.62367,1.0628359,100.0,42.68718,1.6357617,40.37,-92.74124
7500,1.0295795,-19.191925,0.08313296,-107.96824396077959,93.7397,-8.010864e-06,2.0409927,0.67751443,0.19319999,0.2779867,10.0,,275548,-107.81024,760.5041356086731,1.0426937,100,[-0.713 -0.555 -0.424 -0.792  0.217],12.5694685,1037.4865,75,191.17038,1.0739064,100.0,38.509415,1.6341757,41.05,-104.46473
7600,1.0135777,-18.87944,0.08146568,-108.44400871183994,93.6251,-6.4849854e-07,1.3902994,0.71788526,0.112106234,0.27496183,10.0,,279583,-103.29504,771.7037119865417,1.0308053,100,[-0.726 -0.549 -0.418 -0.785  0.215],12.756037,498.4357,76,194.91438,1.0428393,100.0,43.106647,1.6270453,40.35,-100.70048
7700,1.0274594,-17.904266,0.084415115,-108.85597254176686,93.76046,1.4877319e-06,1.6481866,0.6211361,0.1819891,0.28044426,10.0,,283738,-108.55143,781.43212890625,1.0496688,100,[-0.715 -0.556 -0.42  -0.784  0.208],11.573978,958.7886,77,191.89502,1.0942036,100.0,36.459713,1.6379888,41.55,-104.22408
7800,1.0186381,-18.455505,0.07986777,-107.67604819333478,93.56181,7.6293944e-08,1.4511199,0.582803,0.1487015,0.27233377,10.0,,287698,-96.58999,792.238379240036,1.0184907,100,[-0.725 -0.544 -0.419 -0.782  0.219],13.328634,829.8661,78,196.53069,1.038292,100.0,35.778,1.6336969,39.6,-95.02886
7900,1.0136743,-17.530724,0.07999691,-107.81861732298789,93.58084,-4.53949e-06,1.3576822,0.75060785,0.11253672,0.2720665,10.0,,291677,-103.654625,802.6552438735962,1.0153397,100,[-0.731 -0.542 -0.414 -0.778  0.215],12.95616,585.13116,79,194.70992,1.0280393,100.0,51.442192,1.6373972,39.79,-102.279335
