EpisodesSoFar,MeanIW,Iteration,EpRewMean,Bound,ReturnStepMaxmin,TimeElapsed,Weights,MinIW,MinD2w0t,StdD2w0t,InitialReturnStd,MeanD2w0t,InitialReturnMin,EmpiricalD2,EpThisIter,InitialBound,InitialReturnMax,MaxIW,TimestepsSoFar,InitialReturnMean,MaxD2w0t,StdIW,MeanEntropy,J_sample_variance,ReturnStepMax,EpLenMean,ReturnMeanIW
1100,1.1003338,11,-108.03145298823854,390.69598,85.95699,95.31313228607178,[-0.891  0.761 -0.747  0.297 -0.111],0.1312578,,0.21637443,2.697001,0.038969718,-3.4080734,1.5706513,100,368.3576,10.081612,5.3369865,18562,1.0299683e-05,1.8840519,0.8776896,1.2749038,211893.8,100.0,16.08,625.30835
1200,1.1264575,12,-108.57380523456537,397.2141,86.26007,103.41836667060852,[-0.886  0.745 -0.72   0.289 -0.144],0.16558374,,0.21595694,2.809167,0.03858828,-3.7699203,1.3024677,100,351.81097,8.061333,6.257309,20219,-3.8146973e-07,9.10478,0.67556417,1.2489194,128598.445,100.0,16.57,622.88965
1300,1.3374381,13,-108.14181337517876,392.0937,86.42792,113.6008529663086,[-0.855  0.791 -0.673  0.289 -0.17 ],0.06804521,,0.339595,2.656395,0.05218914,-3.7684937,3.1064487,100,317.77905,7.1955795,26.18828,21892,-3.4332274e-06,9.422079,2.6411695,1.2845672,1689296.1,100.0,16.73,719.2017
1400,1.60897,14,-108.20210180010793,458.5055,86.38335,121.85500144958496,[-0.817  0.807 -0.702  0.347 -0.134],0.01268386,,0.6949741,2.9218137,0.08882293,-4.408287,8.385966,100,345.7198,9.243256,74.03414,23560,-9.613037e-06,26.086374,7.2438807,1.3330079,11785414.0,100.0,16.68,838.8644
1500,1.3327361,15,-108.52883029517423,423.6237,86.43872,133.18121457099915,[-0.731  0.849 -0.692  0.313 -0.086],0.031542033,,0.27489626,2.9491951,0.049404036,-4.023224,2.0558736,100,329.1034,9.336632,13.158693,25236,5.7983398e-06,3.2150874,1.7053035,1.2466787,734854.56,100.0,16.76,717.57794
1600,3.5399554,16,-108.55398816064091,938.61523,86.10789,144.24504566192627,[-0.781  0.871 -0.732  0.32  -0.172],0.00014034826,,3.4320261,2.8727608,0.291032,-3.5592804,62.727257,100,332.48022,9.923302,215.14067,26870,-7.3242186e-06,112.63909,21.532879,1.2347338,116218140.0,100.0,16.34,1835.5387
1700,1.0306864,17,-108.4152919345087,348.79788,86.22623,155.5653693675995,[-0.903  0.799 -0.733  0.328 -0.184],0.4523783,,0.18434009,2.8576155,0.033991385,-3.402626,1.0569155,100,337.61798,12.578026,1.659785,28515,3.2806397e-06,1.1259834,0.23077515,1.2099862,14535.074,100.0,16.45,577.6639
1800,1.0894781,18,-108.37228444413887,378.2953,86.29455,163.39486837387085,[-0.897  0.79  -0.75   0.332 -0.209],0.28817126,,0.19522643,2.8071287,0.03598475,-3.6782303,1.3206655,100,347.89883,10.093826,3.5978887,30171,5.4931643e-06,1.4771166,0.60817796,1.1742078,91836.48,100.0,16.56,600.5484
1900,1.0697312,19,-108.66902531382212,313.47665,86.40904,173.7735948562622,[-0.861  0.805 -0.752  0.339 -0.245],0.27965292,,0.19458997,2.5670202,0.036154103,-3.7345657,1.1703159,100,292.26056,10.585396,3.0863738,31848,3.5095215e-06,1.3639534,0.461659,1.14318,53455.62,100.0,16.77,585.26025
2000,2.3105965,20,-108.25475259624245,726.64014,86.16288,181.81312894821167,[-0.847  0.812 -0.75   0.321 -0.276],0.006981464,,1.3607298,2.5499985,0.12266123,-4.0570297,20.829643,100,356.76373,9.110535,90.624825,33488,-6.8664554e-07,89.97606,9.986034,1.1503928,25316628.0,100.0,16.4,1224.0133
2100,1.0831591,21,-108.11275391009168,409.70587,85.883316,194.03671193122864,[-0.947  0.767 -0.734  0.298 -0.269],0.28777608,,0.19223797,2.8596082,0.034937426,-3.7869186,1.1529438,100,374.2314,10.300819,2.5314193,35091,-6.5612794e-06,1.2691165,0.38460866,1.0966505,43132.477,100.0,16.03,622.7909
2200,1.0893238,22,-107.54222762151758,333.48187,86.72887,203.8043429851532,[-0.963  0.765 -0.755  0.305 -0.322],0.2575639,,0.20152248,3.0578794,0.03761498,-4.648468,1.3018944,100,304.4447,9.32267,4.035958,36792,-7.858276e-06,1.4728923,0.5695121,1.0938957,75689.305,100.0,17.01,578.755
2300,1.0375946,23,-108.28424330846636,352.4389,86.51244,212.01590299606323,[-0.986  0.758 -0.75   0.317 -0.325],0.37757033,,0.19089018,3.1453435,0.035621174,-4.9584503,1.0897863,100,339.7666,10.610977,3.5825121,38477,-2.2888183e-07,1.5274253,0.38353217,1.1328396,39179.37,100.0,16.85,564.9655
2400,1.0445632,24,-107.88447296962458,370.27167,86.296844,220.77208995819092,[-0.991  0.746 -0.766  0.324 -0.286],0.43596274,,0.18938941,3.012486,0.034901474,-4.480583,1.1109128,100,354.75473,9.599251,1.9293649,40126,5.0354006e-06,1.4042447,0.29956877,1.1168067,24151.135,100.0,16.49,579.40314
2500,1.1817094,25,-108.32352817365802,395.92822,86.298744,228.561190366745,[-1.006  0.755 -0.748  0.305 -0.302],0.008842049,,0.26524866,2.9261093,0.046405267,-4.2434235,2.0688932,100,353.54483,8.549927,7.4689474,41784,-2.822876e-06,3.3586602,1.2404723,1.0726054,391548.88,100.0,16.58,649.37286
2600,1.0619271,26,-107.64075736794885,379.0041,85.91139,237.65359663963318,[-1.013  0.733 -0.74   0.324 -0.346],0.19896999,,0.19172005,2.8794713,0.034680977,-4.3492737,1.3431946,100,360.49844,10.796219,4.318209,43383,-1.1520386e-05,1.5003821,0.66760856,1.0907841,116239.98,100.0,15.99,607.4344
2700,1.1128477,27,-108.32107574878756,336.12946,86.59442,245.2022180557251,[-0.961  0.734 -0.746  0.327 -0.328],0.20053467,,0.22158816,3.0101118,0.04070647,-4.7791824,1.4025543,100,310.52228,9.793991,8.441763,45078,8.544922e-06,2.0201342,0.86379325,1.0810847,197553.94,100.0,16.95,599.60315
2800,1.0945597,28,-108.10958134866263,359.37,86.48053,253.97691917419434,[-0.943  0.715 -0.749  0.35  -0.338],0.1296981,,0.2069117,2.9672105,0.038165934,-4.601242,1.2613497,100,329.4593,8.461243,3.652577,46755,-4.5776366e-07,1.7324586,0.5548737,1.0904506,79798.15,100.0,16.77,597.76587
2900,3.3677132,29,-107.79828729714401,1018.4219,86.11829,263.0786204338074,[-0.944  0.702 -0.757  0.375 -0.328],0.00012382773,,4.2514687,2.8848603,0.28932798,-3.9058456,60.960014,100,361.7255,9.40023,285.67188,48385,5.1116945e-06,253.04636,17.715466,1.1014445,82579450.0,100.0,16.3,1778.988
3000,1.0989997,30,-107.98209114725047,366.25427,85.947365,275.1176779270172,[-0.918  0.783 -0.772  0.41  -0.318],0.30089188,,0.19981548,2.9243443,0.036183126,-3.7439346,1.3484888,100,330.50906,11.527779,4.7864437,49994,1.6784668e-06,1.5970457,0.5956273,1.0977677,97380.21,100.0,16.09,625.59845
3100,1.1039429,31,-108.25026178939481,368.58813,86.467636,282.73080039024353,[-0.899  0.79  -0.782  0.4   -0.321],0.0454793,,0.21180488,3.2616262,0.039160132,-4.5812225,1.3685238,100,341.08978,9.063553,6.524845,51675,-8.544922e-06,2.0185618,0.78529805,1.0335389,155893.25,100.0,16.81,598.7274
3200,1.3781836,32,-108.21512636707943,448.2684,86.26444,292.52127599716187,[-0.881  0.766 -0.772  0.363 -0.385],0.02418915,,0.50032306,2.9112616,0.06574229,-3.8745193,2.4960668,100,348.24545,10.292015,26.184328,53328,4.119873e-06,22.77113,2.652363,1.0268648,1848204.9,100.0,16.53,754.7973
3300,1.2013383,33,-107.99824227749967,408.26392,86.21636,303.17913579940796,[-0.921  0.724 -0.837  0.415 -0.392],0.04716956,,0.25399435,2.5420759,0.044730853,-4.487549,2.2009847,100,354.25842,6.4254303,8.8656225,54971,4.5776366e-07,3.4976077,1.2971511,1.0284735,423185.66,100.0,16.43,662.2549
3400,2.7636209,34,-108.21443926277148,704.4105,86.125656,311.3736460208893,[-0.884  0.766 -0.816  0.401 -0.39 ],0.0024982172,,2.5110106,2.5857062,0.22792065,-3.8829193,19.34804,100,362.30374,8.664307,210.20084,56605,-3.1280517e-06,81.62829,19.060469,1.037939,88632850.0,100.0,16.34,1438.8485
3500,2.0272782,35,-108.18009499226062,594.60425,85.96931,322.3332607746124,[-0.886  0.764 -0.782  0.453 -0.381],0.0018357178,,0.88108146,2.3878539,0.10373717,-4.06546,13.619067,100,320.68146,9.655243,55.020332,58221,1.3732911e-06,30.775421,7.0125566,1.0190436,12486447.0,100.0,16.16,1094.5117
3600,5.6736727,36,-108.40562385996938,1068.6951,86.511246,334.1966829299927,[-0.956  0.741 -0.749  0.439 -0.4  ],1.4713391e-08,,10.818252,3.0040672,0.78144795,-4.1259003,118.18214,100,337.1212,10.754059,439.95892,59906,-7.705688e-06,580.73474,43.38786,0.7943956,416347420.0,100.0,16.85,2766.333
3700,1.2935234,37,-108.14478836084828,453.60538,85.899345,345.1832494735718,[-0.975  0.766 -0.833  0.487 -0.625],0.020729622,,0.3958124,2.5081363,0.055136636,-4.0396423,3.388533,100,376.68304,6.8226547,17.043278,61512,7.019043e-06,14.950362,1.983672,0.79766333,1067572.0,100.0,16.06,728.93555
3800,2.4753702,38,-108.28268488654457,644.9562,86.601814,355.0029559135437,[-0.977  0.786 -0.859  0.53  -0.621],0.0038815849,,3.5208812,3.1694238,0.18604988,-4.195244,32.243465,100,336.44403,10.576683,155.35309,63206,-1.4495849e-06,363.28387,15.261784,0.80487406,52654384.0,100.0,16.94,1247.9359
3900,1.3107089,39,-109.05601505034151,449.71143,86.21276,365.08697152137756,[-1.023  0.766 -0.825  0.492 -0.614],0.055092525,,0.36125812,2.3952613,0.058583602,-3.5627594,2.4154816,100,360.4173,6.2470093,11.82733,64865,4.8828124e-06,6.059452,1.5674136,0.79537165,663682.25,100.0,16.59,721.72437
4000,1.2282709,40,-108.26296923484817,425.60742,86.61414,374.7492198944092,[-1.021  0.754 -0.868  0.515 -0.624],0.27761576,,0.23471549,2.9983108,0.0434682,-4.899666,1.5528642,100,342.5293,7.800926,9.040291,66561,-3.7384034e-06,1.9909575,1.1331117,0.8877293,319483.66,100.0,16.96,655.88055
4100,1.0425569,41,-108.662467410651,344.36932,86.263054,384.76095628738403,[-0.99   0.749 -0.863  0.52  -0.531],0.44033888,,0.18795484,2.8675134,0.034793302,-3.8645935,1.0856324,100,330.45258,10.592407,2.1642272,68221,5.9509275e-06,1.3276799,0.2952567,0.8855642,23901.846,100.0,16.6,578.9181
4200,3.1753652,42,-108.27179699921709,754.87537,86.50448,392.9637575149536,[-0.983  0.745 -0.873  0.536 -0.533],0.0067183767,,1.9982294,2.8639822,0.21289073,-4.3038635,15.943909,100,325.1974,9.115227,126.33171,69904,-1.6784668e-06,61.99488,15.078367,0.93358517,48567984.0,100.0,16.83,1563.7612
4300,1.2147965,43,-108.14589452208736,383.79855,86.66766,404.9131932258606,[-0.951  0.738 -0.832  0.561 -0.485],0.118657954,,0.23826502,3.2801657,0.04356161,-4.7005005,1.976147,100,323.02664,9.019691,6.4563723,71607,-5.8746336e-06,2.251269,1.0474933,0.94029146,257013.64,100.0,17.03,642.4778
4400,1.0273144,44,-107.82134435476559,382.36182,85.98111,412.84468817710876,[-0.972  0.729 -0.814  0.559 -0.479],0.56565225,,0.17996933,2.328883,0.032790933,-3.4675598,1.0412409,100,371.04446,7.288246,1.8405623,73214,-7.858276e-06,1.093801,0.22625947,0.9571964,14308.588,100.0,16.07,587.0639
4500,1.0527481,45,-108.15870928888907,368.69806,86.30212,421.62025594711304,[-0.957  0.721 -0.807  0.55  -0.462],0.18759283,,0.1944378,2.8406932,0.035851832,-3.8764648,1.2343354,100,353.46658,8.808746,3.6228611,74870,-7.5531007e-06,1.813565,0.5091157,0.9477959,64732.555,100.0,16.56,582.47473
4600,1.0853628,46,-108.65436083585473,363.71594,86.390884,429.3501555919647,[-0.967  0.704 -0.808  0.523 -0.471],0.30015138,,0.19440815,2.8584523,0.036085937,-4.121559,1.264127,100,335.89853,10.405182,3.3768706,76545,-1.6021728e-06,1.5550383,0.5432481,0.97301924,70388.62,100.0,16.75,594.14124
4700,1.2698032,47,-108.13855720594078,424.9107,86.100655,437.9132113456726,[-0.986  0.679 -0.819  0.515 -0.446],0.011271704,,0.33922324,2.5636108,0.053279202,-4.238899,3.104784,100,364.27487,6.6464615,9.39608,78173,-4.653931e-06,9.344306,1.8276931,0.9479201,863326.56,100.0,16.28,706.25165
4800,1.3000644,48,-108.32865720384441,420.15244,86.20668,446.82541680336,[-0.997  0.669 -0.78   0.482 -0.471],0.020651424,,0.3337394,2.7149,0.057068292,-4.2137604,3.0682232,100,360.14383,8.309639,13.955365,79814,-4.348755e-06,4.7825184,1.958254,0.9464244,991119.5,100.0,16.41,714.1778
4900,2.981935,49,-108.65110276428466,684.08624,86.093376,455.6089437007904,[-1.017  0.673 -0.744  0.489 -0.472],0.0010017777,,13.143234,2.6273835,0.5474168,-3.4989624,93.9935,100,363.7731,10.743393,229.31929,81450,3.7384034e-06,1483.3201,22.554878,0.9628589,137510450.0,100.0,16.36,1606.153
5000,1.1194329,50,-108.32283789252767,371.84558,86.64515,466.2276794910431,[-0.938  0.722 -0.714  0.43  -0.456],0.16184263,,0.20860086,2.9439433,0.03879094,-4.254242,1.3063396,100,333.70892,9.297852,4.6978126,83152,6.408691e-06,2.2176087,0.53003913,0.940758,68896.32,100.0,17.02,600.34375
5100,1.4043959,51,-108.20885135383988,440.90616,86.4505,474.4954299926758,[-0.926  0.742 -0.708  0.462 -0.478],0.04972225,,0.49395183,3.0641894,0.067218795,-4.5244904,3.745661,100,346.16714,8.541885,26.471298,84828,2.7465821e-06,19.37294,2.918555,0.9405898,2164051.2,100.0,16.76,752.2328
5200,1.2282816,52,-107.86631567663268,407.8202,86.09096,485.0002887248993,[-0.952  0.737 -0.676  0.406 -0.478],0.013411943,,0.28202203,2.499359,0.045433134,-4.029228,3.08245,100,364.03275,8.149384,10.1005335,86453,-1.9836425e-06,7.2553267,1.8437254,0.9200854,848811.1,100.0,16.25,678.53723
5300,1.0663692,53,-108.33985791965151,343.67566,86.70732,494.9169681072235,[-0.992  0.707 -0.666  0.373 -0.499],0.33581907,,0.1895291,2.671396,0.035605423,-4.3760223,1.1755879,100,318.87213,6.485161,2.275175,88162,1.1825561e-05,1.3080658,0.39686912,0.90327615,35356.23,100.0,17.09,569.7906
5400,3.26482,54,-108.9161180223017,992.21545,86.29503,504.41989612579346,[-1.016  0.698 -0.666  0.367 -0.516],0.0007973189,,2.9656596,2.6550934,0.23137769,-3.614067,48.428967,100,340.64816,8.873009,208.1843,89828,-9.918213e-07,170.0784,20.923626,0.8852087,110744250.0,100.0,16.66,1696.472
5500,1.0259894,55,-108.11298139836259,365.09302,86.26869,517.7714171409607,[-1.146  0.66  -0.679  0.388 -0.534],0.5143513,,0.18486486,2.755763,0.034141146,-4.301697,1.0512244,100,355.14218,8.121422,1.9687446,91479,-5.722046e-06,1.2008033,0.21600305,0.8826679,13366.601,100.0,16.51,571.00836
5600,1.113527,56,-108.05566457502817,389.4079,86.11508,526.0632681846619,[-1.131  0.647 -0.692  0.396 -0.536],0.08410587,,0.22760116,2.9633305,0.04128715,-4.0856857,1.6079162,100,361.8831,8.351891,5.482888,93112,1.5258789e-07,1.9117908,0.8637059,0.88023466,202557.61,100.0,16.33,624.5355
5700,1.0263345,57,-108.43572253468854,344.90198,86.36897,535.6588892936707,[-1.125  0.645 -0.666  0.396 -0.539],0.36244804,,0.18273115,2.6574616,0.033941537,-3.7853088,1.0672691,100,334.502,8.962349,1.7429212,94780,2.7465821e-06,1.085613,0.25562066,0.8705687,15749.583,100.0,16.68,565.58044
5800,1.0827042,58,-108.29552688767939,338.651,86.535065,542.6159956455231,[-1.101  0.65  -0.661  0.394 -0.548],0.078410804,,0.21052733,2.639808,0.038883965,-3.9753418,1.2734935,100,315.094,8.534592,5.41303,96469,3.967285e-06,1.7560307,0.637055,0.85772365,105098.92,100.0,16.89,586.4524
5900,1.1948781,59,-108.32321053264532,416.61615,86.25419,551.5291743278503,[-1.086  0.639 -0.669  0.418 -0.561],0.08525792,,0.25783747,2.7223704,0.044933107,-4.014015,1.6396054,100,360.51575,8.496231,5.8427877,98118,4.8065185e-06,3.5315459,0.8595155,0.8403328,199952.05,100.0,16.49,661.1024
6000,4.1375895,60,-108.17317145395722,843.84705,86.2803,561.2041289806366,[-1.062  0.646 -0.655  0.448 -0.579],0.00029864363,,4.9560437,2.65557,0.4319168,-4.010391,37.98268,100,325.91626,6.9345474,472.04483,99770,-3.0517579e-06,160.48972,31.253124,0.8700714,254061020.0,100.0,16.52,2160.2295
6100,1.3285248,61,-108.15151434211333,407.52206,86.57103,572.9473886489868,[-1.058  0.637 -0.698  0.407 -0.549],0.08383134,,0.27001202,3.0853128,0.04606907,-4.511032,2.9694963,100,327.4374,8.496452,12.406874,101461,1.3656616e-05,6.141305,1.9647549,0.86425763,865887.1,100.0,16.91,698.0837
6200,1.0511338,62,-108.4393710074521,361.0622,86.55615,582.656816482544,[-0.999  0.665 -0.693  0.421 -0.555],0.13658585,,0.19734176,2.8742125,0.03686301,-4.4167404,1.131023,100,344.1371,8.372269,2.6180687,103155,5.9509275e-06,1.4497542,0.3807803,0.8307494,38455.156,100.0,16.94,569.0413
6300,1.2090441,63,-107.96874116719411,412.34854,86.126236,592.3346343040466,[-1.006  0.657 -0.713  0.434 -0.588],0.063294925,,0.2601651,2.4486966,0.043540116,-3.7637024,2.7416596,100,361.1858,8.926147,9.86013,104780,-3.6621093e-06,5.436754,1.5811805,0.8399956,656113.44,100.0,16.25,676.5536
6400,1.8807,64,-108.5747263211903,525.739,86.40843,601.7008759975433,[-0.977  0.69  -0.712  0.452 -0.579],0.0031760465,,1.122765,2.6529295,0.11706735,-4.020027,8.000828,100,328.98596,7.7958527,60.312294,106457,1.548767e-05,41.258472,6.0039682,0.77168906,8977803.0,100.0,16.77,989.05756
6500,1.0785705,65,-108.47996078037146,345.4076,86.44909,612.0705819129944,[-0.984  0.72  -0.706  0.409 -0.647],0.09546934,,0.2116746,2.6750731,0.038909122,-3.9581375,1.5722983,100,333.90158,5.723625,4.658636,108135,-9.918213e-07,2.0259097,0.8862136,0.75347036,185822.92,100.0,16.78,586.63947
6600,1.022421,66,-107.9961836111662,361.88074,86.15718,619.6609177589417,[-0.981  0.738 -0.714  0.419 -0.665],0.3886547,,0.18255845,2.8290694,0.033574495,-4.248741,1.0509874,100,353.32864,8.828453,1.7229784,109772,1.3732911e-06,1.1138194,0.21433102,0.7425109,12582.732,100.0,16.37,574.38513
6700,1.2174345,67,-108.12468817451767,424.46204,86.371796,627.8016669750214,[-0.974  0.733 -0.712  0.423 -0.676],0.043727905,,0.23857617,2.8957705,0.041754343,-4.482254,1.9448694,100,350.25455,10.053017,4.8206725,111436,3.8146973e-07,5.3447475,0.93620294,0.7374803,210220.92,100.0,16.64,660.4715
6800,1.0481006,68,-107.87531570043569,380.79388,86.28735,636.9253168106079,[-1.     0.72  -0.705  0.394 -0.681],0.53816116,,0.18373072,2.518647,0.033901636,-4.257576,1.0404372,100,358.59436,7.8700104,2.119284,113084,-1.04522705e-05,1.1765027,0.21874328,0.75163454,13638.247,100.0,16.48,582.44366
6900,1.7000072,69,-107.87959003069753,571.8091,85.9508,645.730345249176,[-0.971  0.698 -0.713  0.384 -0.667],0.006694074,,1.1650707,2.99588,0.09429607,-3.6218796,9.070466,100,370.95657,8.802223,97.12305,114692,3.1280517e-06,67.993126,7.133052,0.78547925,14213163.0,100.0,16.08,944.1664
7000,1.2277151,70,-108.0217916818327,420.9167,86.15036,655.519718170166,[-0.955  0.71  -0.743  0.43  -0.633],0.047902375,,0.26132488,2.649485,0.04563544,-4.1101913,2.5098913,100,360.91068,7.033386,7.814779,116327,-8.239746e-06,2.9414601,1.4385003,0.78023475,510672.03,100.0,16.35,676.81915
7100,1.7248036,71,-108.66165384964403,480.0313,86.44389,664.275431394577,[-0.979  0.698 -0.728  0.427 -0.639],0.032182675,,0.7063673,2.9714582,0.09276225,-4.278534,10.832654,100,342.7859,10.340172,57.918964,118009,6.1798096e-06,16.63141,5.5914273,0.85351807,7354400.5,100.0,16.82,903.9713
7200,1.0282415,72,-108.81730282406339,354.2806,86.38165,674.7668755054474,[-0.924  0.732 -0.722  0.423 -0.565],0.4585123,,0.18521929,2.5386136,0.03440146,-3.6144867,1.0608667,100,345.176,8.648819,2.2079647,119678,1.121521e-05,1.2331786,0.2308754,0.8603632,14285.81,100.0,16.69,568.07196
7300,1.0321702,73,-107.91395093485326,370.30402,86.206474,682.6828134059906,[-0.925  0.728 -0.719  0.408 -0.559],0.38558242,,0.18812592,2.875307,0.034562755,-4.6393356,1.0977601,100,359.56064,9.558975,2.6604207,121315,-4.8065185e-06,1.3476341,0.30437386,0.85092366,25412.549,100.0,16.37,578.95984
7400,1.5095503,74,-108.750065160408,403.89185,86.81635,690.4160416126251,[-0.923  0.733 -0.702  0.4   -0.568],0.021288268,,0.34300986,3.2011936,0.053585462,-4.4953995,3.997487,100,309.50208,8.281395,32.589672,123048,3.890991e-06,15.520593,3.6518006,0.85838693,2764043.2,100.0,17.33,766.4989
7500,1.2167389,75,-108.03597067778746,424.2766,86.20935,701.4052851200104,[-0.971  0.688 -0.716  0.374 -0.561],0.018637493,,0.24915944,2.9024298,0.04440461,-4.1357727,2.0457478,100,351.96066,7.485214,6.1769333,124689,,3.2168589,1.1137904,0.800781,318550.3,100.0,16.41,676.2244
7600,1.144346,76,-108.32171114326061,323.3957,86.56597,710.9118506908417,[-0.91   0.714 -0.69   0.356 -0.618],0.07530224,,0.26522845,2.7839293,0.046449687,-4.3429565,2.0275612,100,296.04633,8.666962,9.025182,126381,2.2888185e-06,3.8257492,1.2235724,0.7960964,365219.12,100.0,16.92,613.034
7700,3.5286312,77,-107.95288724857681,998.0377,86.137634,719.0889413356781,[-0.929  0.699 -0.693  0.378 -0.623],0.0009884179,,4.4124126,2.8196785,0.2711324,-3.8826675,59.54993,100,355.86447,9.691971,200.23256,128011,3.890991e-06,344.33722,20.16577,0.7919517,99461550.0,100.0,16.3,1825.6324
7800,1.7437118,78,-108.336740951079,534.78577,86.358246,730.9810638427734,[-0.993  0.666 -0.671  0.351 -0.627],0.019900123,,0.6571707,2.7466419,0.10049838,-3.7877808,5.002392,100,350.92435,8.145935,40.269978,129676,-8.7738035e-06,14.366907,4.333869,0.7260611,4726013.5,100.0,16.65,933.8583
7900,1.080449,79,-107.97254326869657,377.6585,86.25825,741.1499080657959,[-1.016  0.645 -0.739  0.364 -0.693],0.1796922,,0.20024353,2.838434,0.036706742,-4.419113,1.3668909,100,352.19177,10.154465,3.6663127,131324,1.3275147e-05,1.6317343,0.6797897,0.72478867,116383.48,100.0,16.48,598.99316
8000,1.1978961,80,-107.76254921154533,433.9978,86.22655,750.6882510185242,[-1.037  0.634 -0.741  0.372 -0.694],0.11683956,,0.2424519,2.7748837,0.04269625,-4.340637,1.4129126,100,361.4986,8.395027,6.396476,132963,3.967285e-06,3.8312624,0.9037496,0.7096954,232319.52,100.0,16.39,665.19574
8100,1.1796906,81,-108.38162707829382,425.30292,85.879974,760.8721988201141,[-1.062  0.667 -0.709  0.353 -0.709],0.013654607,,0.25396657,2.5630107,0.043628458,-3.6345367,2.409794,100,378.35004,7.2353134,8.082131,134568,5.340576e-06,3.7270982,1.3649869,0.69891644,499956.38,100.0,16.05,670.5999
8200,1.0829504,82,-108.41635870052426,362.86047,86.52949,769.077290058136,[-1.05   0.687 -0.72   0.365 -0.72 ],0.2887612,,0.1952553,2.8106863,0.036433537,-4.5153046,1.2748836,100,334.58798,7.573288,3.0725904,136260,2.670288e-06,1.4037392,0.510229,0.6872811,61353.6,100.0,16.92,583.89056
