ReturnStepMax,Iteration,MeanD2w0t,MinD2w0t,InitialReturnMean,MaxIW,StdD2w0t,EpThisIter,MeanIW,InitialReturnStd,MeanEntropy,EpLenMean,EntropyCoefficient,InitialReturnMax,Weights,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,EpisodesSoFar,MinIW,TimestepsSoFar,Bound,StdIW,MaxD2w0t,J_sample_variance,TimeElapsed,InitialBound,EpRewMean,InitialReturnMin
100.0,35,0.5707927,,-93.60578,12.505358,18.942305,100,0.80056745,2.685583,0.9503301,16.33,10.0,-86.63891,[ 0.373  1.262 -1.234  0.796 -0.517],88.45373,-75.62241,99.37883,3500,0.0010922696,57598,-70.76177,1.2825989,2381.121,13140.737,457.48072504997253,-85.65588,-108.27888807828957,-97.05833
100.0,36,0.033608995,,-93.27835,2.188649,0.18379274,100,0.9800456,2.4364123,0.93372273,16.2,10.0,-87.081024,[ 0.395  1.295 -1.262  0.876 -0.469],1.0896419,-91.43095,99.39606,3600,0.1916302,59218,-83.16853,0.3245059,1.4173797,850.1606,471.0093722343445,-84.82348,-107.78884532142594,-97.427444
100.0,37,0.92935157,,-93.416145,38.269066,13.059503,100,0.6451211,2.6328962,0.9433176,16.49,10.0,-85.88376,[ 0.397  1.311 -1.256  0.892 -0.485],106.68767,-62.02701,99.36615,3700,0.00036789064,60867,-61.06389,1.1690767,547.7767,10352.04,485.13460326194763,-85.149925,-108.19391687289965,-97.404755
100.0,38,0.08050142,,-93.70395,11.505976,1.6142179,100,0.68389845,2.5801432,0.89888334,16.27,10.0,-84.5818,[ 0.39   1.32  -1.304  0.851 -0.476],9.58856,-65.572945,99.38666,3800,0.0016116155,62494,-59.86553,0.9725707,229.41927,7526.9175,496.83322978019714,-85.42708,-108.33969394125064,-97.21312
100.0,39,0.2108894,,-93.36144,20.722607,5.469145,100,0.4637268,2.6001492,0.8447243,16.75,10.0,-86.54802,[ 0.43   1.378 -1.285  0.896 -0.52 ],35.91828,-45.560257,99.38851,3900,5.8811744e-05,64169,-43.679237,0.6050383,631.52576,2778.2112,512.4050929546356,-85.52949,-108.39213040613544,-97.43183
100.0,40,2.0469303,,-93.917786,60.45773,36.609875,100,0.45011625,2.5666974,0.8171963,16.04,10.0,-84.36254,[ 0.357  1.367 -1.257  0.83  -0.574],433.1282,-44.85696,99.40031,4000,3.411852e-05,65773,-50.020397,1.0960376,2749.788,9036.742,529.0321705341339,-86.56111,-108.35276215287274,-97.878494
100.0,41,1.9442275,,-93.518234,18.319363,34.47692,100,0.4414841,2.5005531,0.7577603,15.95,10.0,-85.895035,[ 0.332  1.351 -1.186  0.801 -0.602],262.3385,-44.207508,99.3613,4100,9.14806e-06,67368,-47.93338,0.67065114,1801.5587,3400.2437,542.2868278026581,-86.39502,-107.82274538455995,-97.555954
100.0,42,0.034272656,,-93.48458,3.9202156,0.18966387,100,0.9639781,2.4382157,0.74705756,15.96,10.0,-87.51911,[ 0.266  1.383 -1.144  0.873 -0.661],1.1319985,-90.22999,99.36426,4200,0.1927345,68964,-83.85428,0.41036853,2.4856567,1421.1195,552.5049102306366,-86.95545,-107.79569056731309,-97.29453
100.0,43,0.6316558,,-93.08667,13.5300255,17.255182,100,0.52649295,3.0287337,0.7731075,16.73,10.0,-84.27515,[ 0.291  1.395 -1.124  0.865 -0.672],156.40814,-51.038002,99.38435,4300,0.00025491096,70637,-52.673115,0.7867666,1998.8848,4607.91,564.1692080497742,-86.75385,-108.06128231336754,-97.792274
100.0,44,0.10439785,,-93.79828,12.410741,0.87918776,100,0.6714675,2.5505803,0.72293687,16.45,10.0,-84.77215,[ 0.329  1.426 -1.157  0.9   -0.646],8.637484,-64.34087,99.3973,4400,0.00052179256,72282,-59.41214,1.3813088,28.579529,14333.586,580.509147644043,-87.142166,-108.5934136840624,-97.5507
