Iteration,InitialBound,InitialReturnMin,StdD2w0t,EpThisIter,MaxD2w0t,InitialReturnMean,ReturnStepMaxmin,TimestepsSoFar,ReturnStepMax,ReturnMeanIW,EpisodesSoFar,MeanD2w0t,Bound,EpLenMean,StdIW,Weights,J_sample_variance,MinIW,InitialReturnStd,MinD2w0t,MeanIW,InitialReturnMax,TimeElapsed,EntropyCoefficient,MaxIW,EmpiricalD2,EpRewMean,MeanEntropy
16,-374.35013,-15.441963,0.25531444,100,1.0029284,3.8146973e-07,92.87973,57960,100.0,225.69646,1600,0.0700004,-373.83044,34.96,0.048201878,[-0.57  -1.098 -0.811 -1.037  0.048],252.09785,0.8939632,13.798207,,1.0052619,53.77877,153.60819506645203,100.0,1.1980827,1.0016404,-106.98241996161585,1.4697199
17,-324.01135,-16.837189,0.25594404,100,1.0126098,5.0354006e-06,92.86318,61450,100.0,228.67188,1700,0.07011128,-322.2141,34.9,0.08589098,[-0.571 -1.101 -0.814 -1.039  0.051],457.88803,0.82959867,12.307173,,1.0136412,27.16283,163.1676709651947,100.0,1.3194946,1.0067112,-107.08767104306105,1.4774361
18,-380.0114,-19.023338,0.2635577,100,1.0059003,4.8828124e-06,93.29541,65195,100.0,207.0307,1800,0.07499425,-379.32886,37.45,0.05481889,[-0.572 -1.102 -0.812 -1.04   0.058],304.42493,0.8765527,15.013152,,1.006516,59.145233,173.18675184249878,100.0,1.2079855,1.0025182,-106.81852788362801,1.4804683
19,-377.3913,-17.156448,0.2636074,100,1.0108993,-1.0681152e-06,93.2386,68927,100.0,210.78072,1900,0.07486501,-375.8462,37.32,0.07923192,[-0.567 -1.099 -0.81  -1.04   0.062],341.89908,0.82970285,13.194348,,1.0145841,40.78109,182.90732073783875,100.0,1.3627986,1.0048053,-107.50799521433163,1.4869566
20,-366.07996,-17.67936,0.26498035,100,1.0178832,2.1362305e-06,93.32527,72698,100.0,207.30647,2000,0.07567872,-364.47488,37.71,0.087201715,[-0.564 -1.104 -0.812 -1.042  0.068],423.30518,0.80224186,14.258343,,1.0185144,46.548756,192.96447467803955,100.0,1.2571905,1.0103029,-106.997119070111,1.4892325
21,-342.6063,-15.713951,0.2554624,100,1.019369,4.8828124e-06,92.865204,76180,100.0,229.33972,2100,0.06989295,-340.3868,34.82,0.07235762,[-0.569 -1.103 -0.811 -1.037  0.07 ],338.66608,0.8459851,13.104704,,1.0207458,36.33684,202.23854613304138,100.0,1.271187,1.0061854,-106.80675415598188,1.4912968
22,-368.80893,-16.64505,0.26740348,100,1.003882,2.9373168e-06,93.43879,80047,100.0,200.12154,2200,0.07742126,-368.32495,38.67,0.03881366,[-0.581 -1.101 -0.816 -1.033  0.072],255.88046,0.9074395,13.147601,,1.0040942,35.975723,211.39531254768372,100.0,1.1748943,1.0018809,-107.52608178483275,1.4920819
23,-341.20984,-17.649597,0.26028296,100,1.0067283,-1.5258789e-07,93.098495,83682,100.0,217.9451,2300,0.07287954,-340.0459,36.35,0.049466696,[-0.582 -1.105 -0.816 -1.034  0.073],205.26672,0.8725775,12.154408,,1.0111718,35.796196,220.90224599838257,100.0,1.1548909,1.0031943,-107.75518333442875,1.4944619
24,-342.53345,-15.542244,0.26311433,100,1.0068402,1.8692017e-06,93.20914,87404,100.0,211.44539,2400,0.07462084,-341.444,37.22,0.06094193,[-0.582 -1.103 -0.818 -1.032  0.075],200.99939,0.80478525,11.711058,,1.0094347,30.05943,230.53584361076355,100.0,1.2155045,1.0040189,-107.76828930666598,1.4979453
25,-380.77872,-19.730064,0.26965138,100,1.0072473,2.9373168e-06,93.504196,91332,100.0,197.78252,2500,0.07873673,-379.72098,39.28,0.06404209,[-0.582 -1.101 -0.82  -1.031  0.079],292.6044,0.87193793,13.609853,,1.0097857,35.248894,239.99097871780396,100.0,1.2922333,1.0035075,-107.9374700992702,1.5037998
26,-371.8168,-17.866158,0.26609546,100,1.0278443,5.9509275e-06,93.31635,95125,100.0,209.29324,2600,0.07623993,-369.45407,37.93,0.116343625,[-0.582 -1.098 -0.818 -1.03   0.085],650.6227,0.7714495,13.680307,,1.0282311,46.47638,249.78428173065186,100.0,1.5697751,1.0086014,-107.79062102879776,1.5048575
27,-312.829,-13.849167,0.24525636,100,1.0205377,-1.7929077e-06,92.2562,98298,100.0,258.94553,2700,0.06383959,-309.77945,31.73,0.10575865,[-0.59  -1.087 -0.813 -1.023  0.086],726.5905,0.80247504,12.064418,,1.0223603,49.525795,258.64517068862915,100.0,1.3602748,1.011633,-106.99346386173525,1.513014
28,-358.94104,-17.47586,0.25462657,100,1.0060152,-2.9373168e-06,92.88621,101771,100.0,226.62706,2800,0.06956523,-358.00415,34.73,0.04852414,[-0.587 -1.093 -0.811 -1.024  0.094],289.40527,0.8882785,13.937095,,1.0069139,43.414116,267.76914286613464,100.0,1.1747136,1.0022273,-106.16612065194919,1.5159618
29,-296.99292,-13.6978,0.24846737,100,1.023484,-8.010864e-07,92.35378,105021,100.0,257.0448,2900,0.0655096,-293.71918,32.5,0.116912164,[-0.586 -1.088 -0.809 -1.021  0.097],792.15674,0.7863439,10.283572,,1.0291893,28.938145,276.7253692150116,100.0,1.3847919,1.0095688,-108.8882219198002,1.5185609
30,-350.5329,-16.795944,0.26754913,100,1.023836,2.822876e-06,93.32602,108842,100.0,208.91206,3000,0.07696052,-347.8831,38.21,0.13222492,[-0.591 -1.084 -0.814 -1.015  0.1  ],638.4607,0.7455975,13.106241,,1.028324,43.298046,286.67397022247314,100.0,1.8420724,1.0102478,-108.40190459791964,1.5247501
31,-373.17648,-19.105583,0.26964134,100,1.0180815,1.9073487e-07,93.585526,112757,100.0,196.9451,3100,0.0785926,-370.9604,39.15,0.09458555,[-0.589 -1.077 -0.812 -1.009  0.106],478.2949,0.7821733,14.129,,1.0222371,38.168407,297.13223671913147,100.0,1.3128538,1.0084369,-105.98866582582419,1.5299544
32,-362.50653,-15.632332,0.25173903,100,1.0188962,1.335144e-06,92.60182,116128,100.0,241.11105,3200,0.067687236,-359.90332,33.71,0.082049005,[-0.58  -1.081 -0.812 -1.015  0.111],516.0026,0.82580787,12.671236,,1.0187184,49.61619,306.1600410938263,100.0,1.3215945,1.0073963,-107.84119707045123,1.5381886
33,-324.17352,-15.975784,0.25099364,100,1.0120553,3.929138e-06,92.61648,119475,100.0,240.82674,3300,0.067228965,-322.44946,33.47,0.09795945,[-0.576 -1.082 -0.812 -1.018  0.119],677.6007,0.78164333,13.569461,,1.0181221,43.65409,315.41414976119995,100.0,1.3785653,1.0069966,-106.83112963177038,1.537987
34,-393.70398,-16.12323,0.26906314,100,1.0173815,1.4495849e-06,93.45731,123351,100.0,203.61441,3400,0.07799948,-390.73083,38.76,0.08942071,[-0.577 -1.083 -0.808 -1.019  0.119],509.48157,0.83343387,13.950628,,1.0296568,43.615746,324.31230306625366,100.0,1.2892315,1.0082607,-107.41733752131448,1.5439403
35,-326.1089,-14.780075,0.25063875,100,1.010006,6.866455e-06,92.57458,126705,100.0,241.22618,3500,0.06720832,-324.83313,33.54,0.054861277,[-0.57  -1.085 -0.803 -1.023  0.125],308.1688,0.8299441,12.1832905,,1.0133339,38.125027,333.94269037246704,100.0,1.1683694,1.0028399,-107.75545125209294,1.5409316
36,-345.86993,-14.751511,0.25949714,100,1.0168922,,92.886894,130297,100.0,226.93378,3600,0.07219181,-343.71194,35.92,0.09880702,[-0.564 -1.09  -0.802 -1.027  0.122],440.18597,0.8150583,10.964574,,1.0198547,36.8567,343.2650947570801,100.0,1.497026,1.0078683,-109.79231230570666,1.5478306
37,-363.76102,-17.74128,0.26846653,100,1.0211929,5.531311e-06,93.35222,134146,100.0,208.95554,3700,0.077529356,-359.74557,38.49,0.10908136,[-0.564 -1.083 -0.796 -1.023  0.129],588.75867,0.7900939,12.468917,,1.0329626,45.738365,353.2958559989929,100.0,1.5325496,1.0103859,-108.69177222652318,1.5563259
38,-376.40536,-17.044266,0.26143435,100,1.0040271,-3.0899048e-06,93.105644,137827,100.0,214.88829,3800,0.073699474,-375.76025,36.81,0.044301387,[-0.555 -1.081 -0.79  -1.021  0.137],273.93625,0.8749356,12.627023,,1.0044931,50.447945,363.2935607433319,100.0,1.1487504,1.0017487,-108.4861640312462,1.5591614
39,-317.4921,-14.275757,0.2542274,100,1.0045568,3.5858154e-06,92.73579,141292,100.0,231.75087,3900,0.06937095,-317.021,34.65,0.04003119,[-0.555 -1.085 -0.79  -1.023  0.14 ],223.45059,0.8680979,12.311262,,1.005422,42.74025,372.6895749568939,100.0,1.114702,1.0015402,-108.52774929317862,1.5575337
40,-351.98785,-15.810974,0.25593567,100,1.0022585,5.340576e-07,92.79014,144809,100.0,228.26767,4000,0.07040138,-351.60712,35.17,0.033476245,[-0.557 -1.082 -0.79  -1.02   0.138],169.96368,0.9296299,12.01571,,1.0031247,46.499954,381.69584131240845,100.0,1.1159167,1.0010871,-109.20087551295788,1.5595704
41,-352.96344,-15.731064,0.2539284,100,1.0047997,-1.8310546e-06,92.76393,148268,100.0,230.5937,4100,0.06922635,-352.32104,34.59,0.031363215,[-0.555 -1.081 -0.788 -1.02   0.141],206.56546,0.90919536,12.602593,,1.004398,48.28954,391.64796113967896,100.0,1.1266172,1.0012889,-107.85289377371654,1.5605274
42,-354.09137,-16.874283,0.2552809,100,1.023768,-3.2424928e-06,92.79804,151729,100.0,233.8712,4200,0.06961361,-350.70685,34.61,0.109596096,[-0.548 -1.083 -0.786 -1.023  0.142],690.5633,0.82153076,14.388599,,1.0280536,46.43918,401.1034653186798,100.0,1.7639669,1.009222,-107.32587921119955,1.5704081
43,-353.0053,-16.397964,0.2619066,100,1.0032935,-1.1444092e-06,93.17639,155426,100.0,211.7966,4300,0.07400888,-352.49554,36.97,0.03377319,[-0.558 -1.083 -0.789 -1.022  0.152],217.61162,0.89785826,13.115002,,1.0032957,38.31388,410.818736076355,100.0,1.131969,1.0014881,-107.65011320242611,1.5733427
44,-359.80548,-18.675446,0.26560673,100,1.0072665,3.3950805e-06,93.32755,159231,100.0,205.45425,4400,0.07623095,-358.90298,38.05,0.05859151,[-0.556 -1.087 -0.791 -1.024  0.155],292.4507,0.8620359,13.367114,,1.009017,35.52529,420.14639949798584,100.0,1.2730632,1.0025591,-107.9184274353201,1.5764767
45,-354.96414,-15.949165,0.2619777,100,1.0067002,-1.1062622e-06,93.142334,162920,100.0,215.08897,4500,0.07394076,-353.79886,36.89,0.052264947,[-0.559 -1.082 -0.789 -1.024  0.157],288.7814,0.856273,12.865797,,1.0135914,43.134136,429.5493321418762,100.0,1.1773794,1.0032223,-108.0451183181477,1.5711875
46,-346.82053,-17.415161,0.2638363,100,1.01645,1.9454956e-06,93.21345,166649,100.0,213.07774,4600,0.07489667,-345.0603,37.29,0.10288763,[-0.563 -1.079 -0.791 -1.021  0.152],653.44543,0.81202936,13.588057,,1.021315,34.45297,439.26309752464294,100.0,1.4134967,1.0086722,-107.89039757118272,1.5672858
47,-382.48273,-19.228027,0.27098578,100,1.005782,1.1062622e-06,93.572754,170626,100.0,194.4124,4700,0.0796584,-381.7881,39.77,0.057834446,[-0.566 -1.084 -0.79  -1.023  0.148],315.00723,0.86977464,13.4916315,,1.0087014,36.3751,449.45222544670105,100.0,1.1828216,1.0036124,-107.92092484600943,1.5659993
48,-364.615,-17.287117,0.2641412,100,1.0044178,1.9454956e-06,93.25359,174389,100.0,208.29466,4800,0.075355135,-363.97345,37.63,0.044672113,[-0.566 -1.086 -0.789 -1.022  0.147],201.06801,0.87760234,12.222222,,1.004823,38.7963,457.4776487350464,100.0,1.1760978,1.0019333,-108.12017947807077,1.5699061
49,-377.70898,-19.188667,0.27349237,100,1.0052907,2.1362305e-06,93.67875,178448,100.0,189.5258,4900,0.08129007,-377.07672,40.59,0.052623164,[-0.563 -1.085 -0.788 -1.02   0.151],229.8071,0.8632584,12.642242,,1.0052708,39.739727,467.9700515270233,100.0,1.1582093,1.0030442,-107.99477677409185,1.5712639
50,-337.18384,-17.082039,0.25884032,100,1.005767,-7.6293944e-08,93.01088,182043,100.0,220.06439,5000,0.07204514,-336.22437,35.95,0.054009676,[-0.563 -1.084 -0.786 -1.017  0.152],300.745,0.86170125,12.700309,,1.0069636,35.80983,476.9878616333008,100.0,1.2058417,1.0031074,-107.65606773581962,1.5761477
51,-342.12903,-16.151611,0.26069412,100,1.0270962,-5.340576e-07,93.037834,185653,100.0,224.66867,5100,0.072723314,-339.16858,36.1,0.12949084,[-0.566 -1.087 -0.79  -1.019  0.157],723.29926,0.72432816,12.466556,,1.036566,35.14182,486.5459723472595,100.0,1.3450137,1.0149639,-107.61715202310589,1.5667939
52,-332.9853,-17.658783,0.25579265,100,1.0121636,-5.340576e-07,92.86165,189158,100.0,227.18758,5200,0.07022938,-332.099,35.05,0.06499944,[-0.569 -1.085 -0.786 -1.015  0.148],354.25137,0.85285234,13.4911785,,1.00768,49.66516,496.4291067123413,100.0,1.2928561,1.0039583,-107.57457933534062,1.5670716
53,-381.86517,-18.75222,0.26292473,100,1.0116028,4.348755e-06,93.22752,192874,100.0,210.94318,5300,0.074498124,-380.48035,37.16,0.07267419,[-0.578 -1.088 -0.788 -1.016  0.148],415.1305,0.87073123,14.3217325,,1.0118881,47.71546,505.9604842662811,100.0,1.3903451,1.0049559,-107.2525173197269,1.5722414
54,-358.1916,-16.866173,0.25813925,100,1.0089234,-1.6784668e-06,92.972565,196445,100.0,222.03873,5400,0.07158942,-356.896,35.71,0.061106816,[-0.585 -1.09  -0.79  -1.016  0.153],376.80066,0.83967644,14.199843,,1.0097383,40.310806,515.7189447879791,100.0,1.2437682,1.0037434,-107.62020338260437,1.5771726
55,-381.4447,-16.432144,0.2577705,100,1.0059996,-6.8664554e-07,92.940384,200013,100.0,222.6714,5500,0.07145666,-380.64157,35.68,0.053526152,[-0.581 -1.094 -0.789 -1.016  0.158],248.32758,0.8996131,13.4647255,,1.007509,59.179447,524.6349096298218,100.0,1.2199941,1.0026252,-108.10365934724341,1.5809536
56,-367.4697,-18.566704,0.2645777,100,1.0050937,-5.760193e-06,93.27687,203789,100.0,207.63727,5600,0.075621165,-366.7515,37.76,0.046537116,[-0.582 -1.091 -0.788 -1.017  0.162],287.01062,0.9149087,12.303541,,1.0048409,35.562714,534.5893597602844,100.0,1.2011571,1.0020816,-108.05329456605872,1.5839034
57,-344.7029,-17.154297,0.25930342,100,1.0179133,3.4713746e-06,93.02888,207372,100.0,221.87115,5700,0.07204356,-342.41592,35.83,0.102040365,[-0.584 -1.094 -0.79  -1.019  0.165],511.7353,0.7317054,13.096235,,1.0188651,36.101624,544.7275054454803,100.0,1.3838502,1.0083966,-106.97277619033484,1.5940512
58,-340.21127,-16.897362,0.256353,100,1.0067079,-3.4332277e-07,92.90685,210899,100.0,225.0517,5800,0.07062406,-339.2871,35.27,0.03975299,[-0.585 -1.096 -0.792 -1.019  0.175],233.27998,0.88706285,13.166117,,1.0083829,47.183117,553.9570231437683,100.0,1.2422955,1.0017829,-107.45268830708815,1.5943298
59,-391.11987,-17.641449,0.2636958,100,1.0163201,1.4495849e-06,93.27717,214627,100.0,210.4555,5900,0.0748457,-388.87347,37.28,0.08323338,[-0.588 -1.09  -0.79  -1.016  0.175],483.23764,0.8199654,14.098792,,1.0207149,55.893356,563.4901931285858,100.0,1.2800845,1.0066876,-106.67368874453267,1.5985329
60,-361.7522,-16.810745,0.2579149,100,1.0079926,2.4414062e-06,92.98275,218193,100.0,222.09015,6000,0.07147585,-360.485,35.66,0.06544261,[-0.592 -1.097 -0.796 -1.016  0.179],361.75818,0.8466385,13.671146,,1.0093744,47.47348,572.4469511508942,100.0,1.2298763,1.0033753,-107.28845112269721,1.6015875
61,-348.16254,-15.237633,0.25928593,100,1.0108492,-5.8746336e-06,93.0078,221795,100.0,221.38982,6100,0.072244056,-346.63306,36.02,0.07119466,[-0.594 -1.103 -0.8   -1.02   0.183],434.65533,0.8392469,13.068138,,1.016309,37.8224,581.8731415271759,100.0,1.2372372,1.0054604,-107.91968472315746,1.6015435
62,-369.97247,-17.791512,0.2601035,100,1.0082425,6.1035155e-07,93.10489,225430,100.0,216.00659,6200,0.07282672,-368.85205,36.35,0.05521293,[-0.591 -1.105 -0.8   -1.025  0.183],328.00018,0.87397146,13.936525,,1.0103949,44.76668,591.2451500892639,100.0,1.2088151,1.0029664,-107.14376268213871,1.6050762
63,-377.67456,-16.945847,0.26032457,100,1.016418,3.5858154e-06,93.0738,229057,100.0,219.45863,6300,0.072802566,-375.77652,36.27,0.093142815,[-0.598 -1.107 -0.803 -1.024  0.186],396.15384,0.7699186,14.137275,,1.0222583,52.388107,600.7405850887299,100.0,1.2447735,1.0096252,-107.47184911198742,1.603815
64,-366.9846,-18.76065,0.26523334,100,1.0103265,-1.4877319e-06,93.36795,232844,100.0,205.10898,6400,0.07592498,-365.68542,37.87,0.06317449,[-0.596 -1.105 -0.805 -1.027  0.185],335.78824,0.8451662,13.399605,,1.0120716,40.99048,610.0453126430511,100.0,1.2837188,1.0044967,-106.64292300094368,1.6068238
65,-336.753,-16.198502,0.2604756,100,1.0144552,2.5558472e-06,93.08158,236474,100.0,218.9624,6500,0.07287925,-334.81885,36.3,0.0797115,[-0.6   -1.107 -0.809 -1.024  0.188],376.52197,0.84875685,13.186391,,1.0187957,38.50043,619.4908335208893,100.0,1.3427967,1.0050437,-107.41931892711233,1.6087725
66,-331.62866,-13.714577,0.25730106,100,1.0087627,4.7683716e-06,92.86854,240020,100.0,226.6949,6600,0.07108628,-330.28094,35.46,0.061367773,[-0.596 -1.097 -0.801 -1.02   0.19 ],268.93262,0.8861072,11.10777,,1.0102184,29.483875,628.7321827411652,100.0,1.2878947,1.003697,-108.7110490165391,1.6122252
67,-385.22986,-17.237541,0.27081874,100,1.0107495,-6.5612794e-06,93.51521,243973,100.0,198.52773,6700,0.07935008,-383.08075,39.53,0.070181765,[-0.604 -1.097 -0.805 -1.017  0.193],362.302,0.8422302,13.604605,,1.0187362,46.748455,639.0545752048492,100.0,1.266427,1.0056032,-108.40684275080865,1.6172817
68,-361.2049,-18.79554,0.26595286,100,1.0013783,-4.196167e-06,93.37937,247800,100.0,202.39983,6800,0.076568015,-361.04755,38.27,0.026423996,[-0.598 -1.094 -0.8   -1.014  0.198],189.42535,0.9379733,13.261739,,1.0021343,35.55695,649.2152082920074,100.0,1.0732265,1.0006863,-107.55111266558077,1.6172618
69,-346.8355,-16.599762,0.2608112,100,1.0133567,-6.4468386e-06,93.10202,251446,100.0,217.42987,6900,0.07314707,-345.28455,36.46,0.07457614,[-0.599 -1.092 -0.8   -1.013  0.198],371.20053,0.8793754,13.373672,,1.0157598,49.90689,658.3652901649475,100.0,1.2826785,1.004355,-107.52026764037501,1.6184667
70,-323.8955,-13.2714,0.24698102,100,1.0127149,3.8146973e-07,92.28477,254691,100.0,254.58331,7000,0.06506596,-322.13107,32.45,0.06282459,[-0.598 -1.085 -0.797 -1.007  0.2  ],251.66768,0.87526786,10.789032,,1.0165751,47.338333,667.3693759441376,100.0,1.2107207,1.0050178,-108.95492586397307,1.619042
71,-330.15994,-14.335625,0.25683367,100,1.0018039,2.784729e-06,92.856415,258238,100.0,225.37033,7100,0.07097081,-329.9516,35.47,0.032532282,[-0.591 -1.078 -0.794 -1.004  0.2  ],183.10957,0.91081923,11.1855135,,1.0012136,35.07805,676.5278160572052,100.0,1.1142247,1.001019,-108.95948139025911,1.620995
72,-324.4162,-16.00187,0.25418973,100,1.0236826,-1.7929077e-06,92.74893,261673,100.0,235.32257,7200,0.0690396,-321.50464,34.35,0.10181046,[-0.592 -1.078 -0.794 -1.003  0.202],559.58887,0.8350116,13.510947,,1.0224837,49.45658,686.0400333404541,100.0,1.4677614,1.011417,-107.36237253061383,1.6265794
73,-326.62036,-15.241325,0.2626977,100,1.0227845,-5.4931643e-06,93.12868,265356,100.0,219.52696,7300,0.07407483,-323.56262,36.83,0.10214204,[-0.581 -1.074 -0.789 -1.006  0.208],460.4667,0.7947364,11.756358,,1.0269297,35.50818,695.7127900123596,100.0,1.5122225,1.0122484,-108.94535205964304,1.634844
74,-362.13806,-18.329117,0.26589292,100,1.0101023,6.065369e-06,93.307,269161,100.0,206.91632,7400,0.07630884,-360.77222,38.05,0.06616902,[-0.573 -1.075 -0.788 -1.011  0.216],352.8292,0.7981896,13.720862,,1.01233,43.507797,705.8082568645477,100.0,1.2741457,1.0041367,-108.30935992039423,1.6405275
75,-316.43237,-17.072136,0.251619,100,1.0167847,8.010864e-07,92.56454,272528,100.0,242.53027,7500,0.06760876,-313.83765,33.67,0.09887294,[-0.569 -1.075 -0.787 -1.009  0.221],614.0555,0.7955409,11.661239,,1.0177509,38.094013,715.0366699695587,100.0,1.2910298,1.0086083,-108.34190756360802,1.6481221
76,-349.02673,-18.403732,0.26769456,100,1.0129367,-7.43866e-06,93.39349,276380,100.0,204.06664,7600,0.0773401,-347.23676,38.52,0.08536258,[-0.579 -1.076 -0.79  -1.006  0.229],317.81235,0.80912876,12.529883,,1.0182846,30.812263,725.4968922138214,100.0,1.3341045,1.0067483,-107.98147094079388,1.655865
77,-350.43958,-16.308006,0.25724655,100,1.0023959,6.4849855e-06,92.9137,279940,100.0,223.09955,7700,0.07122673,-350.15967,35.6,0.022128468,[-0.579 -1.07  -0.788 -1.004  0.237],196.70593,0.94324905,12.942178,,1.0023624,44.286972,734.8933613300323,100.0,1.1110995,1.0006223,-108.33632844513198,1.6555817
78,-345.10107,-16.28006,0.25895634,100,1.0242186,3.0517577e-07,92.99264,283511,100.0,224.92903,7800,0.07181623,-342.47522,35.71,0.12210837,[-0.575 -1.072 -0.787 -1.007  0.237],647.2196,0.708099,13.152026,,1.0280912,52.940804,744.0662934780121,100.0,1.3222368,1.0143273,-107.26158412607182,1.6551769
79,-347.6114,-15.41127,0.25851417,100,1.0244341,-3.890991e-06,92.877106,287080,100.0,228.79431,7900,0.07167343,-345.01288,35.69,0.12112895,[-0.572 -1.074 -0.79  -1.014  0.236],471.31668,0.7270609,11.59031,,1.0275825,41.233044,752.8804597854614,100.0,1.3899362,1.0145128,-109.26355755440413,1.6536108
