ReturnMeanIW,EpLenMean,ReturnStepMax,MeanIW,InitialReturnMean,EntropyCoefficient,Iteration,TimeElapsed,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpRewMean,MeanD2w0t,Weights,MaxD2w0t,MinD2w0t,InitialReturnMin,MeanEntropy,EpisodesSoFar,Bound,InitialBound,InitialReturnMax,EmpiricalD2,MaxIW,StdIW,StdD2w0t,InitialReturnStd,J_sample_variance,MinIW
742.07214,19.22,100.0,1.6372104,1.5258789e-07,100.0,28,274.051730632782,87.84868,90681,100,-111.17921328608465,0.121979065,[ 0.739 -0.246  0.678  0.102  0.123],207.47652,,-4.644783,1.5449272,2800,824.108,613.7011,8.206734,17.027384,101.278885,4.925306,1.7773647,3.1615684,3800364.0,0.011684106
23415.154,20.16,100.0,63.89465,-2.0599366e-06,100.0,29,281.7123017311096,88.20161,92697,100,-112.45863140662303,1292.8405,[ 0.714 -0.35   0.678  0.012  0.126],2963677.0,,-4.6141663,1.4090719,2900,19215.846,592.6963,10.214691,143487.7,6676.0454,643.5064,38439.996,3.342738,52889936000.0,1.1656873e-11
981.2204,22.93,100.0,2.5627427,-3.967285e-06,100.0,30,290.7747802734375,89.749756,94990,100,-116.42416493796765,1.163643,[ 0.69  -0.431  0.556  0.154 -0.01 ],979.74695,,-3.7298431,1.2518507,3000,878.3013,526.64343,7.2083206,155.47194,179.23073,17.57934,13.471759,2.8232732,38063520.0,2.538501e-06
520.1998,19.37,100.0,1.0915077,-7.3242186e-06,100.0,31,298.1812002658844,88.131935,96927,100,-111.79077569295447,0.066884205,[ 0.724 -0.349  0.622  0.126 -0.167],6.3607254,,-3.7781296,1.2778319,3100,617.44495,583.49,7.9014587,2.0972202,8.690055,1.0366274,0.37170774,2.8927581,221689.22,0.035962638
675.5717,20.23,100.0,1.552935,6.713867e-06,100.0,32,305.91026544570923,88.58205,98950,100,-112.9672770187049,0.26763994,[ 0.696 -0.395  0.688  0.106 -0.141],233.47487,,-3.4644852,1.3001993,3200,740.92126,566.1914,7.546524,38.521637,28.508617,4.042105,3.2694368,2.7915037,2466698.8,0.006094195
560.1578,21.87,100.0,1.3702288,1.7547608e-06,100.0,33,313.9573264122009,89.32057,101137,100,-114.81525915127929,0.09487006,[ 0.564 -0.458  0.715  0.147 -0.119],21.575512,,-3.5662842,1.2286392,3300,634.9166,534.1514,6.447586,7.9085326,30.41789,3.1706433,0.62787634,2.4702656,1218474.0,0.0021592388
1041.2377,19.09,100.0,2.2647443,-9.536743e-06,100.0,34,320.6021888256073,87.96355,103046,100,-112.38897171852926,0.25105426,[ 0.649 -0.435  0.743  0.199 -0.19 ],964.20233,,-3.1904144,1.193956,3400,1008.4133,590.9212,11.486885,20.423101,191.45576,11.140641,6.5615854,2.451623,22547570.0,0.0011082113
775.43445,18.97,100.0,1.6459191,7.705688e-06,100.0,35,329.4636723995209,87.94658,104943,100,-111.60235449411613,0.22086938,[ 0.606 -0.428  0.736  0.093 -0.225],121.55211,,-3.6703568,1.3154064,3500,821.52747,588.38525,7.9606934,35.461098,35.719627,4.007804,2.3116367,2.8796575,2961839.8,0.022859909
1081.6138,19.49,100.0,2.5125504,6.942749e-06,100.0,36,337.75042366981506,88.22464,106892,100,-112.05656262048595,0.62482667,[ 0.693 -0.373  0.711  0.106 -0.104],566.8456,,-3.4606094,1.2694293,3600,1042.8865,586.30676,8.333092,96.52846,96.50068,11.866743,6.940186,2.6181302,22403242.0,0.00067886175
558.7028,20.84,100.0,1.2633189,8.69751e-06,100.0,37,345.7939941883087,88.74736,108976,100,-114.05973385387033,0.105142705,[ 0.634 -0.425  0.623  0.109 -0.15 ],14.623709,,-3.8957443,1.2786851,3700,645.09076,553.9048,9.714226,6.870093,24.081093,1.9812789,0.63231313,2.7888122,601158.2,0.038855284
