EpisodesSoFar,InitialReturnMean,EmpiricalD2,MaxIW,J_sample_variance,ReturnStepMax,MeanEntropy,Weights,InitialReturnMax,MeanIW,EpLenMean,EpThisIter,MaxD2w0t,Iteration,ReturnMeanIW,EpRewMean,MinIW,InitialReturnMin,MeanD2w0t,Bound,TimeElapsed,StdIW,InitialBound,ReturnStepMaxmin,InitialReturnStd,TimestepsSoFar,StdD2w0t,MinD2w0t
1100,1.6021728e-06,1.3076863,3.796392,5038.263,100.0,1.3329103,[-0.39  -0.726 -0.429 -0.389 -0.066],34.405865,1.1113578,51.8,100,1.5294083,11,162.64758,-117.83241340479812,0.19716287,-18.51307,0.11654944,66.02151,129.17289400100708,0.62710017,59.62314,94.450485,10.494266,50949,0.34444696,
1200,4.8065185e-06,1.2047316,4.483611,3155.2615,100.0,1.3369156,[-0.399 -0.714 -0.426 -0.367 -0.086],47.49499,1.0600529,52.21,100,1.4350712,12,154.9588,-117.06998794924013,0.25436637,-18.693916,0.11108621,58.658516,142.15349912643433,0.5625093,54.739113,94.51542,12.263617,56170,0.32612032,
1300,3.3569336e-06,1.0766293,2.0933604,1464.4963,100.0,1.3305589,[-0.426 -0.699 -0.427 -0.35  -0.082],35.616196,1.0433314,54.16,100,1.2118497,13,147.09566,-117.1429512675662,0.4772023,-19.805206,0.11344246,49.87963,154.79557919502258,0.2871584,46.41577,94.70258,10.726821,61586,0.32575127,
1400,-6.4849855e-06,1.1505275,2.3960886,2847.6013,100.0,1.3051453,[-0.432 -0.689 -0.417 -0.353 -0.088],42.44143,1.0773301,53.8,100,1.3730047,14,153.68405,-117.83502223619207,0.280138,-20.204445,0.11744583,52.077126,167.84471321105957,0.4165415,46.583755,94.61981,11.50279,66966,0.33877215,
1500,-5.340576e-07,11.381396,212.90266,2168741.0,100.0,1.3613558,[-0.424 -0.688 -0.404 -0.359 -0.114],23.030731,3.0177276,53.86,100,51.33793,15,318.829,-116.82929862011105,0.011692153,-19.926086,0.4355104,94.90204,180.22862839698792,17.65734,49.84192,94.72223,10.798333,72352,1.9763237,
1600,2.0599366e-06,1.3996186,6.8238006,7049.73,100.0,1.3575106,[-0.417 -0.694 -0.408 -0.405 -0.058],30.985283,1.124678,53.37,100,1.8268794,16,155.52116,-116.80823733533256,0.28400004,-22.568604,0.12012139,55.28251,194.62209296226501,0.92042357,49.937218,94.66467,11.333412,77689,0.34990484,
1700,-2.3651123e-06,1.2503206,3.522966,3878.0386,100.0,1.3394836,[-0.44  -0.698 -0.41  -0.387 -0.061],32.729332,1.1125226,54.25,100,1.5165331,17,150.36502,-115.68039521896557,0.19141763,-16.24443,0.1197269,49.9028,208.90705561637878,0.65364057,44.23858,94.73546,9.684254,83114,0.34449837,
1800,3.1661987e-06,1.0875227,3.2772458,1512.2816,100.0,1.3383629,[-0.447 -0.675 -0.398 -0.368 -0.079],31.051632,1.0625858,59.83,100,1.1788518,18,127.60027,-114.48023655111588,0.34509122,-25.235115,0.12615658,30.18946,224.2623631954193,0.35838598,25.952599,95.17317,12.103219,89097,0.34249404,
1900,-4.7302246e-06,1.3437833,4.574556,4867.839,100.0,1.326689,[-0.433 -0.662 -0.389 -0.356 -0.081],30.469265,1.1512768,57.39,100,1.6903633,19,150.02063,-118.44850259563503,0.27537608,-22.26062,0.13500367,47.429688,238.80467057228088,0.6553559,37.83333,94.872406,11.534825,94836,0.3775141,
2000,-5.722046e-07,1.0594436,1.8448936,702.1593,100.0,1.3325055,[-0.438 -0.665 -0.372 -0.36  -0.092],35.22454,1.0332845,59.81,100,1.1184627,20,128.11504,-118.10307556480609,0.5704592,-22.282677,0.123307526,31.078445,252.78186655044556,0.24836284,28.91484,95.08891,10.562848,100817,0.3346074,
2100,-1.5258789e-06,1.012702,1.3789518,260.63107,100.0,1.3315731,[-0.445 -0.683 -0.376 -0.368 -0.086],47.232044,1.0046945,65.98,100,1.0245736,21,108.29611,-116.19262753882768,0.7931206,-24.852127,0.13260505,11.345856,267.26412320137024,0.09237327,10.859543,95.47795,14.082362,107415,0.34009957,
2200,-5.340576e-07,1.0866425,3.7296467,1283.7935,100.0,1.3325111,[-0.451 -0.685 -0.376 -0.368 -0.087],35.916447,1.0494845,62.88,100,1.1812516,22,120.655975,-117.77627992005122,0.5057741,-24.729889,0.13186349,22.409882,282.14857006073,0.40574676,20.462975,95.25431,12.548546,113703,0.34794214,
2300,-2.0599366e-06,1.2256515,3.0348892,1705.5232,100.0,1.3120197,[-0.443 -0.669 -0.371 -0.355 -0.086],41.206535,1.1250739,65.06,100,1.564659,23,117.9244,-115.10735898744707,0.06472868,-25.2948,0.14249985,15.685379,297.4592356681824,0.5497223,11.891586,95.46152,13.549157,120209,0.36958054,
2400,-1.1444092e-06,1.0105252,1.3053646,219.75154,100.0,1.3179041,[-0.435 -0.669 -0.375 -0.366 -0.107],39.44586,1.0088543,60.75,100,1.0366511,24,120.86897,-116.52606412706169,0.6812744,-24.716782,0.12220508,22.302383,311.50384998321533,0.111758865,21.848793,95.16376,11.604968,126284,0.3286105,
2500,-2.0980835e-06,1.1083802,3.682026,1586.526,100.0,1.3237593,[-0.429 -0.675 -0.375 -0.368 -0.101],33.4504,1.0650403,59.64,100,1.2911944,25,130.42574,-116.72386403588717,0.47866428,-22.855042,0.1256672,32.233147,325.5768053531647,0.39708737,28.411728,95.085785,11.853261,132248,0.34177026,
2600,5.0735475e-06,1.0519764,1.9077319,897.65436,100.0,1.3075885,[-0.423 -0.659 -0.364 -0.355 -0.095],42.71808,1.0335447,61.96,100,1.1016858,26,120.29135,-115.70391547988231,0.5250928,-22.331291,0.12772834,22.773163,340.2050304412842,0.24017496,20.566902,95.265236,13.228802,138444,0.33968168,
2700,1.411438e-06,1.0430424,2.2812977,1028.653,100.0,1.3148202,[-0.418 -0.65  -0.355 -0.353 -0.111],40.8751,1.0184433,60.42,100,1.0995904,27,123.148155,-115.56415852709407,0.58898187,-20.702415,0.12484021,25.901512,354.0164568424225,0.25013146,24.436455,95.17464,12.191319,144486,0.33678812,
2800,4.9209593e-06,1.0590739,1.9102834,542.83325,100.0,1.3222353,[-0.402 -0.644 -0.341 -0.355 -0.104],37.609024,1.0754085,65.31,100,1.1406089,28,115.874756,-115.9876267253731,0.45330724,-23.5029,0.13601565,18.75035,368.7211413383484,0.2287795,13.64917,95.44818,13.827778,151017,0.35104603,
2900,6.1035155e-07,1.0393196,2.1714103,534.7931,100.0,1.3328947,[-0.416 -0.664 -0.358 -0.358 -0.097],48.339233,1.0209445,66.35,100,1.1027157,29,109.97473,-117.04111754965835,0.57636607,-28.885391,0.1354219,12.082367,383.90083265304565,0.2192527,10.604401,95.47202,12.807937,157652,0.3462616,
3000,-1.6403199e-06,1.1992551,3.8219917,2415.9158,100.0,1.3153155,[-0.425 -0.662 -0.357 -0.359 -0.086],33.61711,1.1290183,62.9,100,1.4109402,30,126.7348,-116.43940622005013,0.24509194,-24.6277,0.14015713,25.762695,398.2975347042084,0.5183831,19.689468,95.29782,10.976566,163942,0.37051463,
3100,3.4332274e-06,51.765987,4592.8794,68394330.0,100.0,1.3256719,[-0.404 -0.674 -0.345 -0.375 -0.104],40.41342,21.547955,67.24,100,1883.7727,31,942.2124,-117.66974975231837,0.0028007617,-26.045418,1.8002934,372.64246,413.6963438987732,233.45424,7.556877,95.500015,14.457487,170666,24.16544,
3200,-2.3651123e-06,1.025726,1.8616327,351.50125,100.0,1.3257855,[-0.389 -0.659 -0.289 -0.345 -0.093],53.011982,1.0099103,93.15,100,1.062362,32,70.60883,-121.6981488619846,0.687913,-30.256004,0.18857743,-29.333,437.43805742263794,0.16074014,-30.001984,96.387054,14.943796,179981,0.39414784,
3300,8.010864e-07,1.0469468,2.5938196,365.3943,100.0,1.3250821,[-0.396 -0.661 -0.289 -0.346 -0.093],32.62954,1.0020515,95.67,100,1.1154871,33,69.3718,-122.39765926083855,0.6684729,-34.354584,0.19507338,-30.687538,455.05468344688416,0.20948777,-31.649597,96.44125,13.461861,189548,0.40113062,
3400,-6.4849854e-07,1.0388496,3.7740042,483.869,100.0,1.3345999,[-0.407 -0.66  -0.288 -0.345 -0.094],45.233078,1.0043879,97.39,100,1.1061835,34,66.35048,-119.61446436501214,0.6111314,-31.326542,0.1986927,-34.00274,475.5114412307739,0.29117098,-34.975792,96.54363,14.497477,199287,0.40407792,
3500,-4.005432e-07,1.2826778,5.793074,1081.3988,100.0,1.3198508,[-0.419 -0.659 -0.29  -0.343 -0.084],32.48108,1.1365198,105.09,100,1.7335662,35,69.682175,-122.39822523051829,0.19838214,-27.571907,0.23819298,-34.76407,496.3330042362213,0.55390877,-40.04695,96.670616,15.11965,209796,0.4648233,
3600,-6.8664554e-07,1.204477,5.4045067,787.65765,100.0,1.320337,[-0.431 -0.666 -0.286 -0.344 -0.099],43.08188,1.0694673,118.15,100,1.7164129,36,55.145702,-122.88994106789718,0.44099227,-37.81834,0.26244542,-47.79021,517.8198816776276,0.52644724,-50.89149,96.91977,17.08655,221611,0.4752651,
3700,6.5994263e-06,1.042983,2.7070994,413.84357,100.0,1.3193417,[-0.445 -0.665 -0.282 -0.344 -0.099],34.802765,1.0017278,143.73,100,1.1780431,37,35.552227,-121.07482505297492,0.684813,-39.539845,0.29543158,-64.78749,542.5608198642731,0.18376552,-65.70426,97.315254,18.995575,235984,0.4654721,
3800,5.912781e-07,1.1153238,6.696104,561.63403,100.0,1.3211751,[-0.454 -0.664 -0.282 -0.343 -0.1  ],39.802155,1.0291448,142.48,100,1.5011313,38,37.74112,-118.62093167465372,0.43090272,-33.971954,0.30762926,-63.7202,568.0887846946716,0.49891922,-65.23097,97.334915,18.391499,250232,0.4897158,
3900,-3.7765503e-06,1.0993564,3.0592105,414.3829,100.0,1.3197225,[-0.457 -0.658 -0.274 -0.341 -0.098],40.129295,0.9803998,159.06,100,1.4428027,39,31.43356,-123.7144586903199,0.4816374,-38.206642,0.33858386,-69.42676,597.6783447265625,0.26872343,-70.824165,97.44443,18.092466,266138,0.49753502,
4000,-9.536743e-07,1.1652439,4.510602,497.09238,100.0,1.3183836,[-0.464 -0.653 -0.271 -0.338 -0.099],42.562138,1.04286,186.0,100,1.5763593,40,22.156118,-116.01711250702365,0.49001074,-46.590885,0.41276798,-79.11201,628.3100817203522,0.40802404,-81.24829,97.7525,20.074333,284738,0.54089826,
4100,9.727478e-07,1.070562,1.823706,348.6544,100.0,1.318731,[-0.477 -0.655 -0.27  -0.338 -0.1  ],34.902206,1.0025578,189.98,100,1.2163527,41,20.592155,-116.42703163730216,0.5632311,-42.56395,0.39630133,-79.83093,661.1149363517761,0.2184875,-81.05023,97.77433,18.293655,303736,0.50699323,
4200,1.411438e-06,1.1697901,4.6941843,324.67917,100.0,1.3203053,[-0.49  -0.657 -0.272 -0.337 -0.1  ],32.32447,1.0487324,243.21,100,1.4352212,42,12.807479,-120.29436185280167,0.37131405,-37.81699,0.5360822,-88.07858,699.1668004989624,0.4268744,-89.468666,98.01077,17.028084,328057,0.5549374,
4300,1.8310546e-06,1.2765085,4.7752886,417.03015,100.0,1.3124028,[-0.499 -0.654 -0.269 -0.335 -0.099],43.06336,1.05201,218.63,100,1.7917403,43,17.114882,-117.05715887243258,0.23148909,-43.71465,0.5101433,-84.63806,735.2801060676575,0.4791772,-86.90907,97.92918,18.927225,349920,0.58936876,
4400,-1.5068055e-06,1.1485921,3.068263,327.98004,100.0,1.3110064,[-0.513 -0.654 -0.269 -0.331 -0.107],33.030746,1.0271769,277.02,100,1.3589796,44,5.428001,-106.03928751524127,0.33732858,-51.362476,0.6013645,-95.13388,778.67271733284,0.30238733,-96.33292,98.234436,17.932032,377622,0.54266727,
4500,3.1280517e-06,1.0314807,1.6063883,290.95255,100.0,1.308082,[-0.522 -0.647 -0.267 -0.328 -0.108],31.175732,1.0112358,303.25,100,1.0622139,45,3.9530575,-107.18340132532273,0.611677,-43.057156,0.61802727,-96.08305,824.1176288127899,0.13065611,-96.38361,98.293106,17.086351,407947,0.49795023,
4600,2.2888183e-07,1.0906583,1.9637429,218.4387,100.0,1.3062687,[-0.529 -0.648 -0.268 -0.329 -0.111],27.488195,0.98322797,322.87,100,1.1824167,46,0.19709602,-96.66625504024545,0.37838745,-45.54438,0.678684,-100.074066,872.0978312492371,0.22852808,-101.07069,98.4012,16.102854,440234,0.5037704,
4700,-2.3269654e-06,1.032954,1.6789482,221.68387,100.0,1.3060312,[-0.538 -0.649 -0.268 -0.328 -0.113],28.125862,1.0112896,325.84,100,1.0583072,47,-0.40055826,-99.6481210656493,0.57222617,-48.75147,0.66339123,-100.419945,923.692863702774,0.13606814,-100.709236,98.38837,15.531421,472818,0.48511815,
4800,5.912781e-07,1.088781,2.5719295,214.43864,100.0,1.3037397,[-0.544 -0.652 -0.269 -0.328 -0.113],37.45549,1.028794,330.76,100,1.1708419,48,0.05791399,-95.06867363677544,0.51234883,-39.02674,0.69402343,-100.21456,976.8766610622406,0.20892067,-100.85852,98.425156,14.925353,505894,0.49743268,
4900,1.9073486e-06,1.1133859,2.4229953,253.6747,100.0,1.3035886,[-0.551 -0.652 -0.268 -0.327 -0.115],30.309063,1.015448,329.33,100,1.2226785,49,-1.7512608,-100.37987552808774,0.42307913,-46.855892,0.6993418,-102.1045,1029.0496997833252,0.2724323,-102.81156,98.390396,16.111177,538827,0.50503933,
5000,-9.155273e-07,1.0151796,1.3282424,215.99739,100.0,1.3017346,[-0.558 -0.648 -0.267 -0.324 -0.115],31.109451,0.9841565,366.91,100,1.0249118,50,-4.763306,-88.16268210953514,0.66774523,-50.52377,0.74000084,-104.67262,1086.5944428443909,0.0921271,-104.774704,98.519424,14.821502,575518,0.4457167,
5100,-1.2969971e-06,1.0187374,1.5024362,209.32915,100.0,1.3016642,[-0.562 -0.646 -0.267 -0.323 -0.117],29.935871,1.0167944,356.45,100,1.029631,51,-4.185643,-91.02510601842052,0.708952,-40.526855,0.720478,-104.14541,1141.7302887439728,0.11118977,-104.27674,98.48927,14.814068,611163,0.45725548,
5200,-1.335144e-06,1.02045,1.4989014,235.49057,100.0,1.301391,[-0.563 -0.647 -0.266 -0.323 -0.117],30.617523,1.000971,352.68,100,1.0342058,52,-4.212862,-92.91060420648319,0.66082734,-47.161865,0.7133105,-104.151405,1193.3795948028564,0.11495919,-104.31808,98.473114,15.584309,646431,0.46106955,
5300,-9.536743e-08,1.0049448,1.182455,238.33263,100.0,1.3002857,[-0.566 -0.647 -0.265 -0.323 -0.117],27.283,0.98669326,361.17,100,1.0081366,53,-6.5142713,-89.93228513106754,0.8070112,-43.70842,0.72449905,-106.39298,1248.7737228870392,0.053735428,-106.463936,98.502,15.402338,682548,0.44918764,
5400,1.1062622e-06,1.0281161,1.7010505,217.73657,100.0,1.2987337,[-0.57  -0.649 -0.267 -0.323 -0.119],27.315151,1.0146731,380.54,100,1.0403428,54,-6.909248,-82.5386016432065,0.6983275,-42.117554,0.77302766,-106.89729,1308.7642624378204,0.12197797,-107.10113,98.56621,15.067676,720602,0.43322155,
5500,-2.2888183e-07,1.0552628,1.7835774,193.71114,100.0,1.2997062,[-0.571 -0.648 -0.265 -0.323 -0.12 ],26.034191,1.0023522,373.67,100,1.0913801,55,-5.2631693,-82.65597682380898,0.43871686,-38.13626,0.76983297,-105.33546,1365.0949847698212,0.1570083,-105.61044,98.5576,13.425457,757969,0.4480492,
5600,1.9073486e-06,1.0022321,1.1475148,227.35408,100.0,1.2987342,[-0.577 -0.645 -0.265 -0.323 -0.119],32.677994,1.0032728,361.45,100,1.0033497,56,-6.2809176,-88.35087587866778,0.8254659,-55.620296,0.7238139,-106.13727,1420.5548877716064,0.03518347,-106.169106,98.51112,15.088284,794114,0.44813615,
5700,2.7275084e-06,1.0608331,1.9312024,221.8838,100.0,1.2952867,[-0.578 -0.644 -0.265 -0.322 -0.12 ],38.714153,1.0042921,371.7,100,1.0975981,57,-4.5472465,-89.0898506306349,0.50073147,-54.84189,0.76758766,-104.66476,1475.7641007900238,0.19177532,-105.14942,98.52063,15.841046,831284,0.45143026,
5800,2.861023e-06,1.0379254,1.7006575,187.58582,100.0,1.2919685,[-0.583 -0.643 -0.264 -0.321 -0.124],29.713396,1.0084219,373.73,100,1.0560808,58,-5.2605734,-90.54714853652422,0.54992396,-38.33116,0.7634677,-105.300316,1533.4158070087433,0.149713,-105.552635,98.51544,13.796125,868657,0.44396886,
5900,-9.918213e-07,1.0204014,1.4594005,142.38655,100.0,1.2928509,[-0.588 -0.643 -0.265 -0.322 -0.127],23.309338,0.9961847,401.57,100,1.0314317,59,-3.9643807,-82.32157782166381,0.7224668,-34.32409,0.81199235,-103.91007,1595.5434753894806,0.10187809,-104.09258,98.59,11.802226,908814,0.40206346,
6000,-1.5258789e-07,1.0414687,1.7598581,193.4284,100.0,1.287117,[-0.593 -0.643 -0.266 -0.323 -0.126],24.775421,0.9941957,371.66,100,1.0581422,60,-4.176922,-87.02768554329212,0.47716737,-44.58777,0.76113975,-104.27559,1652.3781595230103,0.17700584,-104.589455,98.53168,13.783074,945980,0.4474864,
6100,-1.6403199e-06,1.0071019,1.259078,149.27768,100.0,1.2851872,[-0.593 -0.642 -0.266 -0.324 -0.132],35.79228,0.9934206,371.89,100,1.0102445,61,-5.6889634,-90.6344294340104,0.7102052,-34.85344,0.746784,-105.57839,1708.88565659523,0.07115037,-105.63914,98.51257,12.368033,983169,0.43831488,
6200,1.6593933e-06,1.0137471,1.4294205,248.44667,100.0,1.2821018,[-0.594 -0.64  -0.266 -0.323 -0.134],27.590408,1.0035995,373.79,100,1.0194987,62,-5.940973,-86.20300844401545,0.704081,-43.87568,0.75337076,-105.86256,1767.6881167888641,0.0879593,-105.986725,98.53876,15.957369,1020548,0.4377914,
6300,-2.0599366e-06,1.0047091,1.2503641,201.72804,100.0,1.2826837,[-0.596 -0.64  -0.266 -0.322 -0.137],24.863796,1.0017458,369.43,100,1.0073065,63,-5.968145,-88.00481731902848,0.8407463,-41.936684,0.7408033,-105.837074,1824.7291688919067,0.050887987,-105.8721,98.52356,14.1006975,1057491,0.44041404,
6400,2.670288e-06,1.0470831,1.9725573,282.28485,100.0,1.2764925,[-0.596 -0.64  -0.267 -0.323 -0.136],40.583076,0.9860025,371.86,100,1.0715208,64,-7.250962,-79.93061789375778,0.58338153,-55.972073,0.7637001,-107.34503,1876.2203044891357,0.16823061,-107.745865,98.5701,17.32691,1094677,0.44859895,
6500,-1.5068055e-06,1.0028421,1.1425219,179.27817,100.0,1.2749039,[-0.6   -0.638 -0.267 -0.322 -0.142],18.814331,1.0029727,353.61,100,1.0041838,65,-4.4040413,-84.48357730410149,0.82319117,-39.51838,0.7084255,-104.26625,1930.7201414108276,0.0403619,-104.30288,98.52217,13.308566,1130038,0.45581642,
6600,2.0599366e-06,1.0105096,1.3314271,231.76521,100.0,1.2734381,[-0.601 -0.638 -0.267 -0.322 -0.144],31.733347,1.0062733,379.64,100,1.0147206,66,-4.8534803,-84.97611181163278,0.7925861,-49.28236,0.7636531,-104.75625,1986.972115278244,0.07332826,-104.83212,98.55234,15.355723,1168002,0.42999786,
6700,1.1444092e-06,1.0031898,1.1434067,151.9355,100.0,1.2749022,[-0.601 -0.637 -0.266 -0.321 -0.145],24.230564,1.0068673,365.45,100,1.0049375,67,-3.4737356,-88.8641965332687,0.86833864,-37.525173,0.73226017,-103.33984,2040.3003644943237,0.043831848,-103.3851,98.51367,12.157994,1204547,0.44431975,
6800,5.340576e-07,1.0082611,1.2624147,213.53436,100.0,1.2740217,[-0.602 -0.636 -0.266 -0.321 -0.144],27.004927,1.0121251,359.94,100,1.0148406,68,-5.1651907,-81.06164014876462,0.7746686,-41.957184,0.72340745,-105.05789,2093.8081135749817,0.06760091,-105.14068,98.549576,14.258047,1240541,0.45126712,
6900,-3.6239624e-07,1.0256834,1.4610171,192.31177,100.0,1.2758795,[-0.601 -0.633 -0.265 -0.32  -0.145],28.765156,1.0078586,369.46,100,1.0438282,69,-3.7541351,-87.32834068171856,0.49817926,-38.790886,0.7488085,-103.71984,2150.5498552322388,0.11236754,-103.85177,98.52727,13.963737,1277487,0.4451829,
7000,-3.8146973e-07,1.0052042,1.2841011,154.88254,100.0,1.2758849,[-0.609 -0.634 -0.267 -0.32  -0.143],23.17251,1.0000253,389.17,100,1.0073489,70,-4.275818,-81.27724983252176,0.7918505,-37.75137,0.7806139,-104.148285,2211.048930168152,0.054643184,-104.17659,98.582306,12.32086,1316404,0.41658247,
7100,-3.2424927e-07,1.0129607,1.3547454,258.9634,100.0,1.2742958,[-0.609 -0.634 -0.267 -0.321 -0.143],35.629307,0.99899393,357.85,100,1.0203068,71,-3.8401287,-90.52863417045782,0.7237923,-47.887848,0.72082704,-103.75011,2263.9754967689514,0.08630528,-103.85282,98.49404,16.126087,1352189,0.45432922,
7200,-7.2479247e-07,1.0103045,1.3942256,224.59137,100.0,1.2730672,[-0.611 -0.633 -0.266 -0.32  -0.145],24.90383,0.98882204,363.02,100,1.0173227,72,-5.1335263,-83.47291483691126,0.7351135,-46.945847,0.73023784,-105.0461,2318.5683002471924,0.08304952,-105.19015,98.540115,15.461612,1388491,0.44857857,
7300,-3.9100647e-07,1.0078024,1.3177902,146.51259,100.0,1.2728294,[-0.616 -0.635 -0.268 -0.32  -0.146],28.82843,1.0030036,386.1,100,1.0118824,73,-3.8462832,-89.49281164272206,0.78210217,-39.34084,0.7754102,-103.727646,2380.830747127533,0.06520452,-103.77938,98.53642,12.1597185,1427101,0.4211642,
7400,-2.5939942e-06,1.0027125,1.1533259,235.64297,100.0,1.2710965,[-0.618 -0.635 -0.268 -0.32  -0.146],25.271032,1.0055461,381.94,100,1.0037385,74,-8.228239,-81.09895194240723,0.8364078,-42.330635,0.765098,-108.0888,2436.2339766025543,0.040393166,-108.12576,98.57533,15.227803,1465295,0.4253766,
7500,3.8146972e-08,1.0170027,1.5451622,156.11185,100.0,1.2685847,[-0.618 -0.635 -0.268 -0.321 -0.148],22.707687,0.9984222,389.38,100,1.0243945,75,-5.5592136,-76.53648866114996,0.6828291,-49.988655,0.7862395,-105.49879,2494.460007429123,0.09097614,-105.62586,98.60688,12.371759,1504233,0.41910577,
7600,-3.929138e-06,1.0141175,1.2970569,147.88815,100.0,1.268525,[-0.62  -0.634 -0.268 -0.321 -0.15 ],31.928791,0.9919908,391.29,100,1.0193466,76,-6.193222,-84.44566319113139,0.6689671,-43.83847,0.78855515,-106.11618,2552.8499286174774,0.077957906,-106.210045,98.568375,12.092161,1543362,0.41566566,
7700,-2.8610229e-08,1.0263457,1.501174,233.97563,100.0,1.2672082,[-0.621 -0.634 -0.269 -0.322 -0.15 ],32.746506,1.0083115,371.74,100,1.0445555,77,-2.6698847,-88.05765582034384,0.50747,-39.464855,0.75412124,-102.6277,2606.898791074753,0.119244464,-102.82188,98.526245,14.974703,1580536,0.44306174,
7800,9.536743e-07,1.0068884,1.2573617,173.56761,100.0,1.266214,[-0.625 -0.633 -0.269 -0.322 -0.152],25.2058,1.0035039,384.03,100,1.0111076,78,-4.358817,-83.79658561031498,0.8298348,-42.35486,0.7710047,-104.23743,2664.1525473594666,0.056363557,-104.29214,98.5636,12.980273,1618939,0.42369413,
7900,-1.8501282e-06,1.015292,1.4357481,234.65382,100.0,1.2656255,[-0.626 -0.632 -0.269 -0.322 -0.153],33.882996,1.0037035,389.53,100,1.0228187,79,-5.4416304,-82.6529930015482,0.6759492,-37.521603,0.7855741,-105.35459,2720.951194047928,0.085864715,-105.46476,98.57562,15.148179,1657892,0.41838184,
8000,2.632141e-06,1.0013674,1.1261301,176.26595,100.0,1.2651069,[-0.626 -0.628 -0.268 -0.321 -0.153],26.541096,1.0032331,390.23,100,1.0020002,80,-7.3994184,-76.69647597324439,0.8858157,-46.7763,0.7810695,-107.251564,2780.4193131923676,0.031089976,-107.27752,98.60692,13.264953,1696915,0.4142576,
