InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,InitialReturnMean,StdD2w0t,MeanIW,TimeElapsed,EpRewMean,Bound,ReturnStepMax,MeanD2w0t,EpisodesSoFar,MinIW,Iteration,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpLenMean,MinD2w0t,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,MaxIW,Weights,J_sample_variance,StdIW,EmpiricalD2,MeanEntropy
-48.356895,11.301509,-16.487473,34.886456,-4.196167e-07,0.2575868,1.0239769,316.87674736976624,-108.0173243821251,-46.238182,100.0,0.07051417,3100,0.630951,31,92.80285,113857,100,34.86,,10.0,232.11298,1.0434813,1.5823462,[-0.677 -1.053 -0.776 -1.05   0.141],942.4478,0.16350219,1.023321,1.5700052
-53.22686,13.268065,-15.371056,48.43553,-3.7384034e-06,0.26456252,1.0573357,326.3031747341156,-107.54686465106126,-47.44059,100.0,0.073112056,3200,0.5694043,32,92.939316,117406,100,35.49,,10.0,232.9752,1.1036282,1.9869858,[-0.676 -1.057 -0.78  -1.058  0.151],2185.0142,0.25337684,1.0638119,1.583103
-71.29131,14.534387,-16.667953,67.19893,-3.013611e-06,0.26295608,1.0383998,337.8183434009552,-107.64060143001207,-67.4953,100.0,0.07321725,3300,0.56459874,33,93.01831,121005,100,35.99,,10.0,225.259,1.0859071,1.9662012,[-0.681 -1.057 -0.786 -1.068  0.164],1756.5862,0.20560887,1.028983,1.5921749
-66.23004,12.610051,-17.443542,33.251675,-8.392334e-07,0.26282015,1.016223,348.31599736213684,-106.80783258971329,-64.74521,100.0,0.07386897,3400,0.73316634,34,93.1651,124666,100,36.61,,10.0,215.41792,1.0318389,1.3268356,[-0.702 -1.056 -0.786 -1.069  0.173],720.7511,0.116403386,1.012147,1.5892498
-61.74027,13.771442,-17.016563,54.447556,-8.773804e-07,0.26129037,1.0431705,358.9606020450592,-106.92959118295965,-57.39592,100.0,0.07232355,3500,0.6351609,35,92.99104,128225,100,35.59,,10.0,227.01193,1.0963265,1.7241312,[-0.697 -1.065 -0.785 -1.078  0.17 ],1157.6118,0.18380941,1.032691,1.5868146
-58.113693,14.144253,-14.928482,70.66938,-1.8310546e-06,0.28009704,1.1646231,369.4431493282318,-106.61073328588472,-42.41449,100.0,0.07534577,3600,0.4050361,36,92.70285,131611,100,33.86,,10.0,268.0528,1.4770861,4.011937,[-0.673 -1.057 -0.772 -1.084  0.168],16484.088,0.6285624,1.1923573,1.5983125
-58.028656,11.702113,-16.570015,38.547966,-1.2969971e-06,0.2717419,1.097591,380.70631289482117,-108.72492365270082,-48.97003,100.0,0.075409934,3700,0.5188478,37,92.92429,135190,100,35.79,,10.0,240.62021,1.1999449,3.5618718,[-0.677 -1.03  -0.739 -1.067  0.179],6354.259,0.43154982,1.1122292,1.6116272
-60.287933,12.366546,-16.446327,37.74797,-5.760193e-06,0.26277208,1.0387231,391.43686509132385,-107.70097071908027,-56.420708,100.0,0.07277139,3800,0.46694994,38,92.95448,138753,100,35.63,,10.0,229.07777,1.1149598,2.1099677,[-0.683 -1.021 -0.721 -1.056  0.193],2076.4011,0.22924133,1.0414906,1.6021444
-73.22196,13.480074,-17.245438,46.658947,2.5177003e-06,0.26661348,1.0230306,401.8378794193268,-107.08755982957986,-70.66284,100.0,0.07597165,3900,0.7121599,39,93.296265,142508,100,37.55,,10.0,210.4145,1.0361885,1.3927433,[-0.671 -1.016 -0.714 -1.065  0.183],873.45215,0.12145737,1.0154933,1.5965986
-62.416763,12.037433,-15.381348,39.816376,1.6784668e-06,0.2596514,1.0205107,411.6648962497711,-107.50924711291692,-59.87131,100.0,0.071877286,4000,0.7054203,40,92.958466,146067,100,35.59,,10.0,225.66164,1.0382018,1.6916195,[-0.656 -1.015 -0.703 -1.066  0.178],708.3449,0.10681793,1.0135154,1.5966595
