Weights,Bound,EmpiricalD2,EpThisIter,TimeElapsed,J_sample_variance,MaxIW,Iteration,ReturnMeanIW,InitialReturnMin,ReturnStepMaxmin,MinIW,InitialBound,InitialReturnMean,InitialReturnStd,EpLenMean,ReturnStepMax,EpRewMean,MinD2w0t,MeanIW,StdIW,MaxD2w0t,MeanD2w0t,TimestepsSoFar,MeanEntropy,StdD2w0t,InitialReturnMax,EpisodesSoFar
[ 5.831e-01 -5.528e-01  2.276e-01  4.022e-01 -8.772e-05],-2027.8835,1.0000849,100,119.89854454994202,2.7965832,1.0224317,11,-97.75891,-99.64149,100.0,0.9735254,-2028.0012,-97.94556,1.4034262,44.22,100.0,-140.8800031746574,,0.99780166,0.009023644,1.0002269,0.088444844,47886,1.4180759,0.28394324,-93.09654,1100
[ 0.582 -0.552  0.227  0.402 -0.001],-2069.3252,1.000235,100,131.3188076019287,5.2988133,1.0397785,12,-97.43061,-99.724365,100.0,0.9432765,-2069.4417,-97.65406,1.8532647,43.75,100.0,-140.03170678426915,,0.99691135,0.013822935,1.0005714,0.08750744,52261,1.4185153,0.2825937,-90.91427,1200
[ 5.806e-01 -5.517e-01  2.269e-01  4.028e-01 -4.141e-04],-2045.2134,1.0001202,100,142.29766058921814,4.4690356,1.0364033,13,-97.186226,-99.624016,100.0,0.97015333,-2045.3401,-97.4261,1.7752206,45.89,100.0,-141.9111541374763,,0.99738055,0.009758826,1.0003386,0.09178889,56850,1.4183141,0.28873986,-91.139854,1300
[ 0.579 -0.55   0.226  0.403 -0.001],-2012.5962,1.0013775,100,152.89108657836914,11.124941,1.092687,14,-96.869705,-99.69985,100.0,0.90182626,-2013.03,-97.713684,1.6888391,40.03,100.0,-136.4392128749957,,0.989687,0.03613814,1.0017126,0.080087155,60853,1.4183283,0.27147254,-92.48143,1400
[ 0.578 -0.552  0.226  0.403 -0.001],-2007.9308,1.0000279,100,161.95625829696655,3.4425778,1.0186816,15,-97.24073,-99.72807,100.0,0.9839332,-2007.9585,-97.29195,1.7763925,45.68,100.0,-141.57030438952918,,0.99935013,0.0052361507,1.0000722,0.09136173,65421,1.4186069,0.28813794,-92.28735,1500
[ 5.778e-01 -5.524e-01  2.260e-01  4.035e-01 -2.424e-04],-2041.6741,1.0004585,100,173.24588441848755,6.375332,1.0891114,16,-97.00607,-99.52644,100.0,0.9490376,-2041.8468,-97.3419,2.0136065,43.99,100.0,-139.94549039805418,,0.995732,0.018934531,1.0006808,0.087992795,69820,1.4193909,0.28331134,-92.34795,1600
[ 5.767e-01 -5.528e-01  2.255e-01  4.028e-01  4.632e-04],-2038.1151,1.0002861,100,185.1651804447174,5.568667,1.0468625,17,-97.237465,-99.65431,100.0,0.95845896,-2038.2324,-97.43366,2.040283,45.03,100.0,-141.09410502932803,,0.9976164,0.016110891,1.0003979,0.09006621,74323,1.4198992,0.28629372,-89.80785,1700
[ 0.575 -0.553  0.225  0.403  0.001],-2034.328,1.0000184,100,198.1361587047577,3.2548144,1.0130332,18,-97.535065,-99.560455,100.0,0.9831943,-2034.3522,-97.58262,1.7629567,42.12,100.0,-138.4028202791876,,0.9995065,0.0037177966,1.0000999,0.08424105,78535,1.4199204,0.27776125,-92.51683,1800
[ 0.576 -0.553  0.225  0.402  0.001],-2002.9597,1.0002236,100,207.41438007354736,5.349401,1.0431821,19,-97.12934,-99.60123,100.0,0.9564383,-2003.082,-97.37063,1.8437263,42.18,100.0,-138.20988992981358,,0.9972207,0.013481568,1.0004787,0.08436834,82753,1.4193895,0.27794558,-91.36975,1900
[ 5.751e-01 -5.536e-01  2.249e-01  4.032e-01  4.483e-04],-2043.3248,1.0000378,100,220.1184859275818,4.6534014,1.0220065,20,-97.03707,-99.72895,100.0,0.9752501,-2043.3708,-97.12593,2.0670161,43.66,100.0,-139.38538884614954,,0.9988862,0.0066882554,1.0001627,0.08732236,87119,1.4189731,0.2823157,-90.888115,2000
[ 5.753e-01 -5.535e-01  2.247e-01  4.029e-01  1.162e-04],-2017.9059,1.0022187,100,231.22888374328613,12.279974,1.0797263,21,-96.22285,-99.621414,100.0,0.8761811,-2018.5914,-97.516365,1.8637942,47.12,100.0,-143.25011412342158,,0.98376375,0.040132735,1.0032246,0.094293594,91831,1.4198303,0.29232252,-91.07291,2100
[ 0.578 -0.552  0.226  0.403  0.001],-2028.5082,1.0000452,100,243.37770175933838,3.426696,1.0138813,22,-97.22671,-99.69024,99.98566,0.98181665,-2028.5581,-97.32371,1.7044677,42.66,100.0,-138.62688613748355,,0.99879515,0.0061085257,1.0001411,0.08532323,96097,1.4199238,0.27937803,-92.84548,2200
[ 0.578 -0.552  0.226  0.404  0.001],-2050.733,1.0000613,100,254.11085057258606,3.1647542,1.0208176,23,-97.42106,-99.64852,100.0,0.9693481,-2050.8115,-97.57504,1.5423371,42.08,100.0,-138.33623173362636,,0.9982055,0.008044426,1.0002303,0.084164955,100305,1.4198941,0.2776388,-92.43868,2300
[ 0.578 -0.553  0.226  0.403  0.001],-2046.8076,1.0001413,100,265.28108739852905,4.8705683,1.0277177,24,-97.17935,-99.701294,100.0,0.9612862,-2046.9248,-97.41003,1.9337167,44.13,100.0,-140.18299376985752,,0.9970529,0.011163182,1.0004833,0.08826715,104718,1.4193115,0.28369126,-90.52991,2400
[ 5.781e-01 -5.515e-01  2.254e-01  4.033e-01  3.707e-04],-2001.7896,1.0001827,100,276.8311264514923,3.5744963,1.0284241,25,-97.7127,-99.62906,100.0,0.95669204,-2001.8903,-97.90197,1.6113343,44.14,100.0,-140.7276272995849,,0.9975943,0.011653312,1.0003859,0.08828662,109132,1.4194978,0.28371584,-92.220505,2500
[ 0.578 -0.55   0.226  0.403  0.001],-2026.4265,1.0000553,100,289.1982831954956,3.4169364,1.035408,26,-97.53992,-99.67601,100.0,0.96738726,-2026.464,-97.61155,1.6631653,47.58,100.0,-143.8223333679373,,0.9990992,0.008570832,1.0001222,0.09516264,113890,1.4195559,0.2934458,-92.09891,2600
[ 0.577 -0.55   0.225  0.403  0.001],-2036.2069,1.0005832,100,300.3009834289551,7.7973294,1.0546916,27,-97.17688,-99.59226,100.0,0.9057363,-2036.4376,-97.61119,1.6602635,37.55,100.0,-133.8709856613505,,0.9947317,0.026641328,1.0009975,0.07511232,117645,1.4192888,0.2635999,-92.3506,2700
[ 5.768e-01 -5.518e-01  2.253e-01  4.024e-01  2.846e-04],-1990.5851,1.0002522,100,312.4769539833069,3.387974,1.0383725,28,-97.64404,-99.64127,100.0,0.95599943,-1990.6862,-97.84284,1.5555809,44.26,100.0,-140.8011874719557,,0.99763,0.016076518,1.0003871,0.08852729,122071,1.4199218,0.28408012,-91.22943,2800
[ 0.576 -0.552  0.225  0.402  0.001],-2031.8163,1.0006552,100,324.2558662891388,6.5791135,1.0901623,29,-97.02874,-99.575066,100.0,0.9442419,-2031.9976,-97.3727,1.7669162,45.23,100.0,-141.19560853373673,,0.99535286,0.02220833,1.0008535,0.0904738,126594,1.4199148,0.28687555,-92.07413,2900
[ 0.575 -0.553  0.225  0.402  0.001],-2035.9093,1.0011549,100,335.5652425289154,9.435706,1.0736282,30,-96.795555,-99.693954,100.0,0.90947163,-2036.186,-97.35956,1.8906256,48.97,100.0,-144.92128176359208,,0.9922431,0.029753456,1.001481,0.09796615,131491,1.4203509,0.29730102,-91.83935,3000
[ 0.577 -0.552  0.225  0.402  0.001],-1949.4702,1.0009751,100,345.982280254364,9.176635,1.0793984,31,-96.90703,-99.574554,100.0,0.9239943,-1949.845,-97.61453,1.6561651,39.32,100.0,-135.6380329647996,,0.992265,0.02879364,1.0013704,0.078665,135423,1.420897,0.26926965,-91.54025,3100
[ 0.576 -0.553  0.224  0.401  0.002],-1925.1417,1.000056,100,355.35664224624634,2.902354,1.0346582,32,-97.84409,-99.7203,100.0,0.97251767,-1925.1881,-97.92941,1.5102818,40.61,100.0,-137.25356313986256,,0.9989764,0.0074856505,1.0001224,0.0812227,139484,1.4210107,0.27317593,-92.7018,3200
[ 0.576 -0.553  0.224  0.4    0.002],-2022.5454,1.0002979,100,365.5991599559784,5.576494,1.0722134,33,-97.30026,-99.643715,100.0,0.94815606,-2022.7078,-97.6214,1.8488823,38.99,100.0,-135.3015576766821,,0.9963972,0.017477844,1.0006162,0.07798884,143383,1.4200289,0.268166,-90.3999,3300
[ 0.575 -0.554  0.224  0.4    0.001],-2062.671,1.0004562,100,374.6353049278259,6.00555,1.0519462,34,-97.29754,-99.55283,100.0,0.93149847,-2062.828,-97.57551,1.7569548,44.72,100.0,-140.96290892635818,,0.9965541,0.021328995,1.0006566,0.08945022,147855,1.4199162,0.285405,-91.717514,3400
[ 0.577 -0.553  0.224  0.4    0.001],-2040.8225,1.0003173,100,386.7399606704712,5.557912,1.0411086,35,-97.11863,-99.589516,99.99656,0.94779813,-2040.9686,-97.361435,1.8660787,42.48,100.0,-138.48182498929975,,0.99677235,0.017634083,1.0004735,0.084967665,152103,1.420012,0.2788555,-91.4593,3500
[ 0.575 -0.553  0.224  0.4    0.001],-2033.305,1.0001819,100,398.12931537628174,3.48483,1.0316339,36,-97.524734,-99.660934,100.0,0.9616337,-2033.4001,-97.69175,1.5550616,43.75,100.0,-140.09087782706138,,0.99783546,0.0113046225,1.000306,0.087504864,156478,1.4205394,0.28258592,-92.9189,3600
[ 0.576 -0.553  0.224  0.399  0.002],-2043.6183,1.000023,100,409.28869438171387,3.246223,1.0146366,37,-97.35674,-99.651726,100.0,0.9826811,-2043.6384,-97.39338,1.7419581,47.84,100.0,-143.84185883722796,,0.99962884,0.00509793,1.0000894,0.09568094,161262,1.4202863,0.29415634,-92.16006,3700
[ 0.577 -0.553  0.224  0.4    0.001],-1990.1335,1.000277,100,420.7832238674164,5.188513,1.0314012,38,-97.178345,-99.53108,100.0,0.9565916,-1990.2528,-97.40954,1.9100175,48.24,100.0,-144.23017161827278,,0.99730206,0.013118197,1.0004848,0.096489765,166086,1.4198356,0.29527876,-91.89905,3800
[ 0.577 -0.552  0.224  0.4    0.001],-2040.1055,1.000146,100,432.84458351135254,4.4594784,1.0267402,39,-97.33913,-99.71092,100.0,0.9554696,-2040.1865,-97.49591,1.8534833,46.8,100.0,-142.89600695046474,,0.99799377,0.013697085,1.0002763,0.09360584,170766,1.419305,0.29128712,-91.469215,3900
[ 5.774e-01 -5.517e-01  2.242e-01  3.999e-01  3.232e-04],-2080.2153,1.0006974,100,443.298704624176,6.774527,1.0656532,40,-97.09798,-99.50591,100.0,0.9463957,-2080.4375,-97.50775,1.7489283,44.5,100.0,-140.6276937527912,,0.99501485,0.02385185,1.0009556,0.089015625,175216,1.418855,0.28480288,-92.741196,4000
[ 5.762e-01 -5.527e-01  2.237e-01  3.997e-01 -1.555e-04],-2044.0197,1.0000556,100,455.740305185318,2.7393587,1.0195999,41,-97.72117,-99.75767,100.0,0.97496873,-2044.0725,-97.827545,1.5416671,44.5,100.0,-140.99349031648052,,0.9987119,0.0069734287,1.0002087,0.08900387,179666,1.418522,0.28476378,-91.79695,4100
[ 5.762e-01 -5.524e-01  2.238e-01  3.989e-01 -3.676e-04],-2034.9049,1.0003479,100,467.7305603027344,5.524689,1.0485759,42,-96.96001,-99.40949,100.0,0.94508165,-2035.0413,-97.23267,1.9263128,43.34,100.0,-139.21726520646226,,0.99721706,0.017139643,1.0006871,0.08669105,184000,1.4180815,0.28139794,-90.478874,4200
[ 0.577 -0.552  0.224  0.4   -0.001],-2039.354,1.000013,100,478.38476181030273,2.2915792,1.0090402,43,-97.59265,-99.735954,100.0,0.98532706,-2039.3624,-97.60764,1.4813737,41.77,100.0,-138.03739100938594,,0.99979776,0.0040050833,1.0000284,0.08354025,188177,1.4180763,0.2767046,-92.60451,4300
[ 0.577 -0.552  0.224  0.4   -0.001],-1990.4386,1.0000541,100,486.69944643974304,2.9673038,1.0135111,44,-97.56508,-99.71017,100.0,0.9684447,-1990.4757,-97.63248,1.6155835,40.68,100.0,-136.99041250854333,,0.9990953,0.007829445,1.0001535,0.0813617,192245,1.4179686,0.2733968,-91.51138,4400
[ 0.578 -0.553  0.224  0.4   -0.001],-2054.0256,1.0005805,100,497.023375749588,5.51783,1.0490816,45,-97.27279,-99.607254,100.0,0.94309694,-2054.1956,-97.60532,1.4769381,45.54,100.0,-141.81402460210163,,0.9955546,0.021874825,1.0008557,0.09109428,196799,1.4183087,0.28777152,-93.30079,4500
[ 0.577 -0.554  0.224  0.399 -0.001],-2009.6134,1.0000837,100,507.61446952819824,3.1489174,1.0369663,46,-97.29691,-99.551254,100.0,0.9790923,-2009.687,-97.43792,1.7149013,44.35,100.0,-140.41476168474702,,0.9984954,0.009651172,1.0002319,0.08870469,201234,1.4189665,0.28433064,-92.17263,4600
[ 5.770e-01 -5.545e-01  2.240e-01  3.997e-01  7.362e-05],-2056.2773,1.0001339,100,517.4832170009613,3.9792078,1.0332695,47,-97.20309,-99.69759,100.0,0.9605435,-2056.3232,-97.29029,1.7450697,48.11,100.0,-143.99366580545785,,0.9991436,0.011520908,1.0002091,0.096223615,206045,1.418855,0.29489726,-92.530396,4700
[ 5.767e-01 -5.551e-01  2.238e-01  3.999e-01 -1.607e-04],-1970.5529,1.0005628,100,529.4647541046143,6.8738675,1.0714394,48,-97.20726,-99.68521,100.0,0.8954805,-1970.6897,-97.48989,1.7946925,45.36,100.0,-141.48810119816454,,0.9970486,0.025991507,1.0007726,0.090731956,210581,1.418855,0.2872575,-92.12251,4800
[ 5.782e-01 -5.547e-01  2.243e-01  4.000e-01 -1.555e-04],-2040.0422,1.0001906,100,541.8233439922333,4.4750967,1.0413339,49,-97.25851,-99.66071,100.0,0.9641244,-2040.1342,-97.443474,1.8266816,48.41,100.0,-144.43492938650806,,0.9976786,0.011951242,1.000429,0.09682766,215422,1.4185209,0.29573077,-91.50642,4900
[ 5.776e-01 -5.532e-01  2.244e-01  3.998e-01 -3.800e-04],-2016.9397,1.0004143,100,552.5490574836731,7.828683,1.056717,50,-97.0949,-99.616714,100.0,0.9254689,-2017.1343,-97.45371,1.9941398,43.27,100.0,-139.35610148296257,,0.99592954,0.02205016,1.0006801,0.086551934,219749,1.4183075,0.28118783,-91.09893,5000
[ 0.577 -0.554  0.224  0.401 -0.001],-2056.3462,1.0007429,100,563.1932752132416,6.43971,1.0540088,51,-97.116005,-99.71909,100.0,0.9268589,-2056.5803,-97.54733,1.6778308,42.8,100.0,-139.03696359011062,,0.9952172,0.0236348,1.0009924,0.08561544,224029,1.4184186,0.27981687,-92.90279,5100
[ 5.764e-01 -5.561e-01  2.242e-01  4.005e-01 -4.984e-04],-2059.0256,1.000054,100,574.698582649231,3.32407,1.0192763,52,-97.69051,-99.64884,100.0,0.9765297,-2059.0908,-97.81013,1.7071167,45.3,100.0,-141.77647497596192,,0.99862695,0.006758442,1.000203,0.09060364,228559,1.4189721,0.2870508,-91.193954,5200
[ 5.762e-01 -5.556e-01  2.239e-01  4.001e-01  1.116e-04],-2015.6678,1.000599,100,585.4000577926636,6.0686703,1.070859,53,-97.2093,-99.733505,100.0,0.92783666,-2015.8811,-97.62449,1.720796,41.97,100.0,-138.28609822746222,,0.99490935,0.022458367,1.0008597,0.0839542,232756,1.4189187,0.27734673,-90.70112,5300
[ 5.767e-01 -5.538e-01  2.238e-01  4.003e-01 -9.196e-05],-2042.7355,1.000216,100,597.7778301239014,4.5415225,1.0353407,54,-97.29007,-99.61615,100.0,0.95012397,-2042.8075,-97.423416,1.8014698,44.91,100.0,-140.97903334732615,,0.9985366,0.014742351,1.0003043,0.08982484,237247,1.4192836,0.2859312,-91.36937,5400
[ 5.775e-01 -5.533e-01  2.240e-01  4.004e-01  2.560e-04],-1995.8512,1.0000631,100,608.4121336936951,4.0719376,1.0329119,55,-97.18687,-99.57185,100.0,0.9728697,-1995.928,-97.33414,1.7578346,41.03,100.0,-137.0220180173965,,0.99822783,0.0075448942,1.000222,0.08206421,241350,1.4194934,0.2744768,-90.66068,5500
[ 5.775e-01 -5.531e-01  2.236e-01  4.006e-01  5.722e-04],-2045.7313,1.0002129,100,617.3150820732117,3.8230307,1.0327978,56,-97.68914,-99.650536,100.0,0.93011755,-2045.8724,-97.95852,1.4176576,41.82,100.0,-138.49197568806846,,0.9968787,0.015256841,1.0004385,0.08364852,245532,1.4188392,0.2768703,-92.96787,5600
[ 5.780e-01 -5.529e-01  2.238e-01  4.016e-01 -1.853e-04],-2018.5125,1.0005287,100,627.0521130561829,5.7726603,1.0567235,57,-97.29122,-99.58937,100.0,0.9502427,-2018.6716,-97.59659,1.7162503,42.87,100.0,-139.10620921211287,,0.99653435,0.021729954,1.0006703,0.085751034,249819,1.418968,0.28001818,-92.46524,5700
[ 5.791e-01 -5.519e-01  2.240e-01  4.015e-01  9.027e-05],-2069.1287,1.0000275,100,638.9065642356873,2.7508903,1.0142357,58,-97.63328,-99.70666,100.0,0.98433524,-2069.169,-97.70526,1.619407,42.36,100.0,-138.76220250422892,,0.99911076,0.0046350034,1.0001304,0.08472165,254055,1.4193958,0.27846307,-92.250305,5800
[ 5.790e-01 -5.515e-01  2.239e-01  4.011e-01  4.825e-04],-2035.0901,1.0004282,100,650.0080025196075,7.703621,1.0604949,59,-97.13767,-99.54834,100.0,0.9325332,-2035.2445,-97.435905,1.7352333,49.0,100.0,-145.00151043945564,,0.99641216,0.021999234,1.0006359,0.09801287,258955,1.4198372,0.29735795,-91.280106,5900
[ 0.58  -0.551  0.224  0.402  0.001],-2009.9971,1.0003982,100,662.0439937114716,4.585121,1.0358636,60,-97.56958,-99.5847,100.0,0.9304178,-2010.2083,-97.95916,1.5576715,44.06,100.0,-140.7141067253169,,0.99517304,0.017508913,1.0007015,0.08813293,263361,1.4189171,0.28352228,-91.02809,6000
[ 5.788e-01 -5.507e-01  2.235e-01  4.009e-01 -1.147e-04],-2030.0038,1.0000936,100,673.917843580246,4.0485835,1.0294092,61,-97.55481,-99.603165,100.0,0.9682223,-2030.0752,-97.686935,1.8304745,46.56,100.0,-142.87853625673293,,0.998233,0.009124302,1.0002241,0.09312444,268017,1.4179913,0.29060906,-91.2282,6100
[ 0.578 -0.551  0.223  0.401 -0.001],-1977.5475,1.0004126,100,685.3240208625793,5.95008,1.0383631,62,-97.162704,-99.72104,100.0,0.9298958,-1977.7644,-97.5906,1.745337,42.76,100.0,-139.00918579512822,,0.99465907,0.018050782,1.0008324,0.08553476,272293,1.418951,0.27970555,-92.70125,6200
[ 5.776e-01 -5.515e-01  2.232e-01  4.018e-01  5.072e-05],-2080.4177,1.0018326,100,695.7529549598694,15.093776,1.1166567,63,-96.31862,-99.679405,100.0,0.8980156,-2080.9812,-97.335754,1.8717309,44.14,100.0,-140.11154484949657,,0.9876639,0.04257799,1.002378,0.08831887,276707,1.4185804,0.28383517,-90.58671,6300
[ 5.755e-01 -5.530e-01  2.225e-01  4.012e-01 -3.349e-04],-1999.7224,1.000077,100,705.7697997093201,3.5107787,1.0203817,64,-97.43609,-99.53889,100.0,0.96996564,-1999.788,-97.55986,1.6723496,44.09,100.0,-140.28987995133878,,0.99845815,0.008563909,1.0001806,0.0881842,281116,1.4178787,0.28357592,-89.10915,6400
[ 0.576 -0.553  0.222  0.402 -0.001],-2034.0597,1.0002832,100,714.5459358692169,5.0302677,1.0553081,65,-97.10825,-99.58515,100.0,0.9496226,-2034.2504,-97.48079,1.6705093,39.09,100.0,-135.26822828323475,,0.99566966,0.017220577,1.0006592,0.07819085,285025,1.4189454,0.26848698,-92.68453,6500
[ 5.763e-01 -5.533e-01  2.228e-01  4.024e-01  1.245e-05],-1977.819,1.0000827,100,725.1601345539093,4.195997,1.0179031,66,-97.56009,-99.55737,100.0,0.9596315,-1977.9062,-97.732445,1.6542673,41.25,100.0,-137.66363025768396,,0.9978364,0.009881883,1.0003191,0.08250507,289150,1.4183983,0.27513936,-90.5078,6600
[ 5.764e-01 -5.533e-01  2.224e-01  4.025e-01 -5.575e-04],-2025.3445,1.0001414,100,734.3108410835266,3.2960458,1.0309367,67,-97.666534,-99.8129,100.0,0.96593815,-2025.4099,-97.78648,1.5451291,40.47,100.0,-136.95493854468654,,0.99883455,0.01140046,1.0002074,0.08094369,293197,1.4178787,0.2727617,-92.818596,6700
[ 0.576 -0.554  0.222  0.402 -0.001],-1958.5001,1.0000687,100,745.8607640266418,1.8554231,1.0194713,68,-97.94181,-99.76724,100.0,0.97750664,-1958.5419,-98.0183,1.2502768,39.83,100.0,-136.5829911644997,,0.99913603,0.0074452837,1.0001813,0.079661936,297180,1.4183089,0.27077547,-93.78119,6800
[ 0.577 -0.554  0.222  0.403 -0.001],-2020.3467,1.0000532,100,755.4098136425018,2.0763223,1.0123512,69,-97.87253,-99.656204,100.0,0.97615606,-2020.3849,-97.94434,1.3818536,43.35,100.0,-140.01500818600897,,0.99916154,0.0065958602,1.0001259,0.08670209,301515,1.4178572,0.28139547,-92.58785,6900
[ 0.578 -0.554  0.222  0.403 -0.001],-1995.851,1.0004799,100,764.856320142746,5.676187,1.0543847,70,-97.08686,-99.628334,100.0,0.9341208,-1996.0286,-97.43472,1.6077431,37.78,100.0,-133.91703110008265,,0.99575967,0.022549186,1.0006727,0.075570345,305293,1.4183141,0.26432443,-92.489944,7000
[ 0.577 -0.556  0.223  0.403 -0.001],-2014.2772,1.0000851,100,775.9679441452026,3.8195865,1.0234615,71,-97.43005,-99.58028,100.0,0.9808746,-2014.32,-97.51794,1.770465,41.43,100.0,-137.6311847160782,,0.9988139,0.007932155,1.0001736,0.08286304,309436,1.4188378,0.27568105,-92.6302,7100
[ 5.767e-01 -5.558e-01  2.223e-01  4.031e-01 -1.997e-04],-1965.9666,1.0001457,100,787.1274890899658,3.5061185,1.0313892,72,-97.59323,-99.62477,100.0,0.95538646,-1966.052,-97.75868,1.6625102,44.76,100.0,-141.18481312558228,,0.9983116,0.011218892,1.0006037,0.08952584,313912,1.4189175,0.28551978,-93.06694,7200
[ 5.784e-01 -5.564e-01  2.225e-01  4.023e-01 -1.019e-04],-2016.8303,1.0004132,100,798.6167058944702,5.7058926,1.047455,73,-97.037224,-99.71524,100.0,0.94281566,-2016.9657,-97.28522,1.83092,43.7,100.0,-139.6270688414736,,0.9973419,0.020302266,1.0006133,0.08740894,318282,1.4184958,0.28244203,-92.678764,7300
[ 5.766e-01 -5.564e-01  2.220e-01  4.019e-01 -4.557e-04],-2073.2207,1.0000603,100,809.7843074798584,3.2656157,1.0127277,74,-97.50737,-99.5621,100.0,0.96871996,-2073.2532,-97.57371,1.6444731,44.64,100.0,-140.8787433890867,,0.99909234,0.0082615595,1.0001181,0.08928217,322746,1.4183921,0.28514805,-93.27032,7400
[ 0.577 -0.557  0.222  0.402 -0.001],-2022.5474,1.0001428,100,819.138674736023,4.2250752,1.0479743,75,-97.34052,-99.62078,100.0,0.9680802,-2022.6718,-97.58534,1.7516881,42.34,100.0,-138.6111412003161,,0.9973286,0.010916363,1.0004286,0.08468823,326980,1.4186069,0.27843127,-92.66168,7500
[ 5.769e-01 -5.579e-01  2.222e-01  4.006e-01 -2.422e-04],-2041.9619,1.0003871,100,830.7513620853424,6.171368,1.0406541,76,-97.34802,-99.657326,100.0,0.95183414,-2042.0857,-97.58083,1.806857,42.23,100.0,-138.48973180160633,,0.99743056,0.019528212,1.000566,0.08446789,331203,1.4189721,0.27810988,-93.27072,7600
[ 5.756e-01 -5.584e-01  2.220e-01  4.008e-01  1.068e-04],-1970.7665,1.0000887,100,840.3602492809296,2.7612033,1.021656,77,-97.51724,-99.73619,100.0,0.9766544,-1970.8219,-97.62204,1.6491805,35.82,100.0,-132.19881008559472,,0.99871767,0.008290279,1.0002087,0.07164279,334785,1.4192848,0.2578946,-91.116394,7700
