Weights,EpRewMean,InitialReturnMean,MeanIW,MinD2w0t,StdD2w0t,EpisodesSoFar,MaxIW,InitialReturnMax,J_sample_variance,MaxD2w0t,Bound,StdIW,EpLenMean,InitialReturnStd,MinIW,MeanD2w0t,TimeElapsed,ReturnMeanIW,InitialBound,EpThisIter,EmpiricalD2,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMax,ReturnStepMaxmin,MeanEntropy
[-0.825 -0.498 -0.471 -0.749  0.002],-109.20290001658674,-79.444305,0.9944705,,0.26212555,2800,1.062167,-48.453636,121.68807,1.0011473,-1151.9497,0.023737606,37.09,10.915037,0.8958464,0.07419977,283.78852915763855,-79.05212,-1152.168,100,1.0004573,-95.08689,28,101011,100.0,99.00051,1.4190564
[-8.259e-01 -4.983e-01 -4.718e-01 -7.485e-01  2.211e-04],-108.0602086216836,-76.98416,0.996707,,0.27009508,2900,1.0264856,-28.04639,162.14711,1.0004317,-1207.5618,0.01285039,39.6,12.56841,0.95661795,0.079210944,295.4030933380127,-76.78202,-1207.664,100,1.0001787,-94.87216,29,104971,100.0,99.00022,1.4194723
[-8.260e-01 -4.986e-01 -4.727e-01 -7.484e-01  5.156e-04],-108.63967439876635,-80.764305,0.9944041,,0.25341675,3000,1.0738902,-49.46264,131.5205,1.0013664,-1176.1774,0.023777904,34.47,11.050042,0.9294847,0.0689558,306.10856556892395,-80.37395,-1176.3721,100,1.0006595,-94.74285,30,108418,100.0,99.000015,1.420012
[-0.825 -0.498 -0.473 -0.749  0.001],-106.57078500279455,-79.89972,0.9976009,,0.25067064,3100,1.0272356,-24.25044,204.6832,1.0005912,-1212.2911,0.009693598,33.68,14.23814,0.95631576,0.06736634,316.4379186630249,-79.722565,-1212.3865,100,1.0001339,-94.38341,31,111786,100.0,99.00001,1.4194779
[-8.234e-01 -4.988e-01 -4.726e-01 -7.495e-01  5.531e-04],-108.30849155004199,-78.84971,0.9949719,,0.26169485,3200,1.0460144,-20.529446,163.79454,1.0008141,-1176.8573,0.02081064,36.96,12.593508,0.91932195,0.07393655,326.90186190605164,-78.5065,-1177.0359,100,1.0003604,-95.79253,32,115482,100.0,99.00003,1.417416
[-0.823 -0.499 -0.472 -0.75  -0.002],-108.48232071327257,-80.4354,0.98842686,,0.2540107,3300,1.0610847,-42.017796,136.72182,1.0020425,-1158.8174,0.03795037,34.62,11.491359,0.8295607,0.0692812,337.97466802597046,-79.55033,-1159.2795,100,1.0010982,-95.73068,33,118944,100.0,99.00006,1.4145145
[-0.823 -0.499 -0.471 -0.75  -0.004],-107.29021228870035,-80.79228,0.9965114,,0.24765639,3400,1.0616126,-29.759651,162.66214,1.0006324,-1159.5042,0.015180823,32.81,12.627058,0.9551719,0.0656319,347.5642626285553,-80.53137,-1159.6364,100,1.000336,-95.78855,34,122225,100.0,99.0,1.4159079
[-0.823 -0.499 -0.471 -0.75  -0.003],-107.98029396888859,-78.91256,0.9990251,,0.25946683,3500,1.029272,-41.020393,168.30096,1.0001525,-1116.3116,0.009257493,36.29,12.860334,0.9682347,0.0725842,356.77637100219727,-78.84242,-1116.3475,100,1.0000864,-94.56126,35,125854,100.0,99.00006,1.4149475
[-0.823 -0.499 -0.471 -0.75  -0.004],-107.91995531678735,-79.90646,0.995877,,0.254891,3600,1.0291317,-33.150806,161.53429,1.0006689,-1194.4745,0.017647307,34.91,12.336334,0.9281831,0.06983102,364.77341318130493,-79.6454,-1194.6057,100,1.0002623,-94.04502,36,129345,100.0,99.00054,1.4131713
[-0.822 -0.499 -0.47  -0.75  -0.006],-108.4036154722406,-79.88385,0.99770045,,0.25608996,3700,1.0419776,-53.875645,124.67784,1.0008754,-1128.696,0.013300697,35.27,11.1378765,0.9348924,0.070550926,374.1022536754608,-79.69431,-1128.7942,100,1.0002154,-96.26312,37,132872,100.0,99.0,1.4129944
[-0.82  -0.5   -0.47  -0.751 -0.006],-108.14911401388224,-79.31891,0.99534017,,0.2587076,3800,1.0739214,-31.986696,165.1702,1.0010543,-1160.9348,0.017754762,36.05,12.805465,0.95725775,0.072116844,384.98739862442017,-78.963905,-1161.1189,100,1.0004898,-94.837074,38,136477,100.0,99.0,1.413976
[-0.82  -0.501 -0.47  -0.751 -0.005],-107.32415880625511,-80.3015,0.99682796,,0.25040665,3900,1.0496821,-26.508543,161.40088,1.0011331,-1159.0126,0.021394879,33.6,12.593244,0.9378386,0.06721068,394.71966791152954,-80.04993,-1159.1456,100,1.0004563,-94.76335,39,139837,100.0,99.00001,1.4130931
[-0.822 -0.501 -0.47  -0.751 -0.006],-107.36890971681922,-78.55894,0.9981449,,0.2598318,4000,1.0221336,-47.61592,167.67387,1.0002835,-1186.4355,0.010431222,36.4,12.810177,0.9575075,0.07280558,405.9663579463959,-78.43943,-1186.4967,100,1.0001241,-94.46303,40,143477,100.0,99.00001,1.4122
[-0.822 -0.501 -0.47  -0.75  -0.007],-108.42512430598492,-76.18973,0.9904961,,0.2746808,4100,1.0646712,-30.21992,186.75761,1.0023727,-1160.5306,0.025022564,41.07,13.351702,0.9233607,0.08217168,415.9947943687439,-75.5784,-1160.8788,100,1.0008993,-97.47709,41,147584,100.0,99.00014,1.4120032
[-0.819 -0.5   -0.469 -0.751 -0.007],-108.17704928896632,-78.47798,0.9964182,,0.26265126,4200,1.064522,-36.234844,152.32202,1.0012089,-1209.0376,0.01697871,37.26,12.098828,0.93735796,0.07453047,425.6028127670288,-78.24649,-1209.1578,100,1.0003833,-95.75342,42,151310,100.0,99.00008,1.4117466
[-0.817 -0.499 -0.469 -0.751 -0.007],-107.29122920964916,-79.34831,0.99885124,,0.2551648,4300,1.0197773,-47.245083,153.45149,1.0001959,-1191.8052,0.008089801,35.0,12.260114,0.9713889,0.0700028,433.8853487968445,-79.27486,-1191.8436,100,1.0000691,-94.69105,43,154810,100.0,99.00003,1.4111259
[-0.817 -0.499 -0.468 -0.751 -0.008],-108.53297100375723,-80.17131,0.9959997,,0.25594482,4400,1.0641237,-44.403706,134.67479,1.0009717,-1146.3325,0.01974595,35.22,11.414956,0.9362626,0.070454486,442.61008310317993,-79.87167,-1146.4843,100,1.0004036,-96.66581,44,158332,100.0,99.0003,1.4115579
[-0.818 -0.5   -0.469 -0.751 -0.007],-107.89033707447197,-79.5322,0.99515396,,0.25731456,4500,1.0649195,-44.09074,153.91696,1.0013524,-1191.8411,0.02257452,35.63,12.250082,0.93535924,0.071278,452.9774954319,-79.15147,-1192.0276,100,1.0005693,-95.37841,45,161895,100.0,99.00034,1.4111058
[-0.819 -0.499 -0.469 -0.75  -0.008],-107.34635871886847,-78.76472,0.9985095,,0.2586344,4600,1.0253592,-27.1372,158.15437,1.0002569,-1163.4028,0.009140799,36.04,12.457366,0.9719247,0.07208446,464.02249479293823,-78.66838,-1163.4539,100,1.0000994,-95.32128,46,165499,100.0,99.0,1.4100697
[-0.819 -0.499 -0.469 -0.751 -0.009],-107.58791350670892,-77.160576,0.9920439,,0.26620904,4700,1.0645398,-41.34463,152.52682,1.0019568,-1184.8108,0.02320661,38.35,12.281853,0.93333554,0.07672586,472.1949965953827,-76.57991,-1185.0983,100,1.0008018,-93.54147,47,169334,100.0,99.0,1.4110264
[-0.821 -0.5   -0.469 -0.751 -0.008],-107.10006600521828,-78.11104,0.99516034,,0.26092187,4800,1.0518159,-25.165064,209.94705,1.0011506,-1165.4642,0.02094911,36.72,14.196274,0.9262779,0.07345632,482.38588666915894,-77.800095,-1165.6238,100,1.0004319,-94.75889,48,173006,100.0,99.0,1.4097041
[-0.82  -0.501 -0.47  -0.752 -0.009],-108.66130729343573,-81.151955,0.9972551,,0.251133,4900,1.0593618,-45.97901,113.14531,1.0009285,-1168.5326,0.016669402,33.81,10.735877,0.9561308,0.067629896,492.39419317245483,-80.89304,-1168.6647,100,1.0003384,-95.673615,49,176387,100.0,99.05398,1.4102697
[-0.821 -0.501 -0.47  -0.751 -0.009],-108.44578124121249,-78.67131,0.99320155,,0.26244637,5000,1.0710311,-37.558815,162.03079,1.0015011,-1147.9662,0.02383234,37.18,12.647407,0.9254866,0.0743868,502.4328191280365,-78.159805,-1148.2268,100,1.000727,-96.23327,50,180105,100.0,99.0,1.4121099
[-0.821 -0.5   -0.469 -0.752 -0.007],-108.2430156096878,-78.871025,0.99906194,,0.2612353,5100,1.0230515,-28.278803,145.81906,1.0002224,-1211.3142,0.008534684,36.83,12.061348,0.9731077,0.073663466,511.47017908096313,-78.78571,-1211.3578,100,1.0000762,-94.96681,51,183788,100.0,99.0,1.4111383
[-0.821 -0.5   -0.469 -0.752 -0.008],-106.5996925648316,-76.78249,0.99681956,,0.26447508,5200,1.0444685,-42.117382,186.63431,1.0005484,-1166.9355,0.014085285,37.82,13.663866,0.96207803,0.07565305,523.1286239624023,-76.54807,-1167.055,100,1.0002439,-95.44986,52,187570,100.0,99.00001,1.4125345
[-0.821 -0.499 -0.468 -0.752 -0.006],-108.24753887473453,-78.17265,0.9972245,,0.2640576,5300,1.0461063,-42.952248,140.3748,1.0004554,-1173.6942,0.014573101,37.7,11.560601,0.95909256,0.07540787,533.3032193183899,-78.00786,-1173.7804,100,1.000235,-95.18494,53,191340,100.0,99.0,1.4127408
[-0.82  -0.5   -0.469 -0.752 -0.006],-107.94777177870084,-75.65078,0.99744034,,0.27545664,5400,1.0389159,-39.992287,150.33286,1.00066,-1176.2604,0.012255162,41.35,12.184431,0.96390134,0.08271039,543.2780728340149,-75.46353,-1176.3575,100,1.000189,-92.468704,54,195475,100.0,99.00001,1.4130644
[-0.819 -0.499 -0.468 -0.752 -0.006],-107.70583556077071,-80.17801,0.9967553,,0.2527145,5500,1.0518256,-45.85988,159.79933,1.0008664,-1152.776,0.01603666,34.27,12.599064,0.94213194,0.06855182,552.8177380561829,-79.930435,-1152.9016,100,1.0003202,-95.71442,55,198902,100.0,99.00001,1.4120228
[-0.819 -0.498 -0.467 -0.751 -0.007],-107.67420779266905,-79.01474,0.9989325,,0.25700992,5600,1.0224521,-38.241932,133.02173,1.0002311,-1124.1572,0.00990026,35.55,11.384101,0.9514605,0.07110364,562.2302114963531,-78.94663,-1124.191,100,1.0000855,-95.74019,56,202457,100.0,99.00018,1.4111258
[-0.82  -0.498 -0.467 -0.751 -0.008],-107.85677708537656,-78.78617,0.9955056,,0.25953153,5700,1.0442334,-35.116028,145.04112,1.000583,-1201.6473,0.01654599,36.3,11.813838,0.9409362,0.07261233,571.6963584423065,-78.475266,-1201.8279,100,1.00028,-94.79804,57,206087,100.0,99.000015,1.4111385
[-0.821 -0.497 -0.468 -0.75  -0.008],-108.79849389442461,-79.71792,0.9976089,,0.25912645,5800,1.0459676,-53.729717,127.63599,1.000656,-1139.2073,0.015202946,36.18,11.448412,0.9598109,0.07237049,582.3632817268372,-79.50989,-1139.3143,100,1.0002884,-95.79649,58,209705,100.0,99.00012,1.4111329
[-0.821 -0.498 -0.468 -0.751 -0.008],-107.46921483658838,-77.884926,0.9970172,,0.26230046,5900,1.0493959,-31.932474,145.23035,1.0006409,-1159.5702,0.01692694,37.15,11.870674,0.95099884,0.074311204,593.2561979293823,-77.66509,-1159.6849,100,1.0003203,-95.45588,59,213420,100.0,99.00003,1.4106863
[-0.821 -0.498 -0.467 -0.75  -0.008],-107.61945530884532,-78.499504,0.99864703,,0.26149723,6000,1.0203102,-35.721947,177.25676,1.000341,-1210.9425,0.00729902,36.91,13.190042,0.962341,0.073823445,601.9094870090485,-78.41447,-1210.9863,100,1.0000716,-94.916916,60,217111,100.0,99.00001,1.4102484
[-0.821 -0.498 -0.468 -0.75  -0.009],-106.92079795565274,-77.00249,0.99867326,,0.26526788,6100,1.0411255,-24.873245,200.45522,1.0006659,-1199.9811,0.013173687,38.08,14.234518,0.94395995,0.07616513,611.3684089183807,-76.88105,-1200.0442,100,1.0001899,-95.98312,61,220919,100.0,99.00006,1.4101633
[-0.823 -0.498 -0.467 -0.75  -0.009],-107.79234193811382,-80.405556,0.9981181,,0.25269565,6200,1.0251002,-31.300682,172.04729,1.0005078,-1197.1859,0.010979441,34.27,12.954518,0.93602616,0.06854634,621.8260145187378,-80.2672,-1197.2601,100,1.0001138,-96.16591,62,224346,100.0,99.0,1.4097928
