EntropyCoefficient,J_sample_variance,Iteration,MeanIW,StdIW,InitialReturnMin,InitialBound,MinD2w0t,MaxD2w0t,EpRewMean,EmpiricalD2,StdD2w0t,MinIW,ReturnMeanIW,EpThisIter,MeanD2w0t,InitialReturnStd,ReturnStepMax,MeanEntropy,InitialReturnMean,Bound,ReturnStepMaxmin,TimeElapsed,EpLenMean,InitialReturnMax,MaxIW,TimestepsSoFar,EpisodesSoFar,Weights
100.0,280.25873,28,0.97064424,0.5001875,-48.720913,131.85593,,2.2672977,-100.9535657862371,1.779233,0.7153459,0.114098884,-4.506164,100,0.9762182,16.742788,100.0,1.7060356,3.1471252e-06,133.47498,98.41113,885.6088206768036,342.87,35.5022,5.0672483,439440,2800,[-0.554 -0.755 -0.234 -0.377  0.264]
100.0,214.42836,29,0.91899717,0.7229201,-41.26111,132.86569,,3.0976505,-99.62735430120937,2.26273,0.85647786,0.063335195,-5.77439,100,1.1868504,14.013832,100.0,1.7354437,1.6021728e-06,134.63123,98.44824,953.8661506175995,361.13,22.950165,12.072016,475553,2900,[-0.565 -0.754 -0.231 -0.372  0.287]
100.0,344.45233,30,1.0965323,0.8985545,-36.949127,139.69435,,3.7278228,-105.84595220716474,2.3954735,0.88312024,0.068315536,-0.75834966,100,1.2436069,13.208466,100.0,1.757881,1.335144e-07,141.71384,98.42447,1024.259980916977,367.82,28.11538,16.170122,512335,3000,[-0.587 -0.747 -0.235 -0.367  0.317]
100.0,280.07053,31,0.9462807,0.81375694,-42.609818,136.56456,,4.911211,-93.5097462589708,3.2244196,1.1247908,0.028663747,-5.785691,100,1.5738492,12.623178,100.0,1.7842019,2.0408631e-06,139.05048,98.52185,1097.8319737911224,391.13,27.15111,9.48152,551448,3100,[-0.577 -0.728 -0.216 -0.363  0.339]
100.0,263.61682,32,1.0072871,0.3908241,-42.66523,140.88159,,1.4664836,-90.39440546548829,1.3211559,0.52869576,0.31836045,-6.3548326,100,0.8744875,15.11683,100.0,1.8004258,-2.7275084e-06,141.69917,98.51189,1167.3531212806702,370.38,30.652735,3.6535747,588486,3200,[-0.592 -0.69  -0.214 -0.356  0.365]
100.0,223.1803,33,1.052783,0.7966218,-35.34822,144.31812,,2.592398,-94.07890543627926,2.0695946,0.7822562,0.051946275,-3.6599443,100,1.1313808,13.201891,100.0,1.829364,1.7166138e-07,146.2655,98.48273,1235.3848643302917,363.75,28.30953,10.506393,624861,3300,[-0.593 -0.684 -0.208 -0.356  0.381]
100.0,346.94424,34,1.0649112,0.83608913,-39.704445,149.6999,,4.5804577,-96.99686228945785,2.6446292,1.01346,0.082966976,-0.2863272,100,1.218117,14.174298,100.0,1.856515,8.392334e-07,151.9694,98.43103,1299.1933288574219,340.96,27.854902,11.777524,658957,3400,[-0.596 -0.678 -0.21  -0.356  0.41 ]
100.0,217.62439,35,1.0037261,0.72526795,-33.449512,149.05156,,2.4574904,-100.02085007072695,1.8865753,0.7423757,0.0825341,-4.7488637,100,1.0291243,13.578696,100.0,1.8828179,4.005432e-07,150.7188,98.42828,1363.9851324558258,349.9,32.837444,8.048,693947,3500,[-0.644 -0.676 -0.216 -0.357  0.438]
100.0,181.42317,36,0.980077,0.39416724,-42.79488,151.13354,,1.745874,-91.08127254585658,1.3806136,0.5900169,0.13353923,-5.8049884,100,0.80537283,14.505333,100.0,1.8981003,9.918213e-07,151.88893,98.450134,1426.0883560180664,331.29,27.05948,3.5351999,727076,3600,[-0.636 -0.664 -0.213 -0.36   0.464]
100.0,248.77142,37,1.0157104,0.88988084,-30.049387,151.21341,,3.1691885,-87.51630245926044,2.4295695,0.9086379,0.07153771,-6.6281486,100,1.2606907,13.478796,100.0,1.928628,-8.773804e-07,152.92062,98.52205,1492.40460562706,366.21,34.979942,11.811983,763697,3700,[-0.647 -0.673 -0.209 -0.36   0.479]
100.0,263.80716,38,0.95954806,0.8449529,-49.22639,158.75635,,6.1002226,-103.20953105661853,2.1356,0.882513,0.04424917,-1.1321626,100,1.0074873,17.172266,100.0,1.943282,-2.0980835e-07,160.5578,98.362076,1553.2036182880402,323.58,30.600752,11.564125,796055,3800,[-0.652 -0.669 -0.209 -0.366  0.51 ]
100.0,293.83188,39,0.9784859,0.3325477,-40.830746,157.45128,,1.6441057,-92.3068351352218,1.3253605,0.57156444,0.31984514,-5.70281,100,0.79080194,16.865614,100.0,1.9589026,-9.727478e-07,158.18202,98.44588,1615.60733294487,333.16,34.63375,3.157858,829371,3900,[-0.711 -0.645 -0.212 -0.355  0.524]
100.0,332.19437,40,1.0327902,0.81429845,-59.084427,160.91518,,4.3110266,-89.08627354467767,2.3106353,0.881902,0.05617839,-1.8129256,100,1.2031723,13.75779,100.0,1.9726397,6.1035155e-07,162.40727,98.51001,1683.6181495189667,363.62,29.916437,11.55785,865733,4000,[-0.719 -0.63  -0.206 -0.351  0.54 ]
100.0,198.04492,41,1.0234678,0.46205568,-53.15762,160.46992,,1.7391052,-86.01832996870775,1.4612354,0.56967336,0.16713269,-5.494974,100,0.9201683,14.28694,100.0,1.9918664,-3.2424927e-07,161.50325,98.533554,1751.7051284313202,368.83,25.07764,4.322472,902616,4100,[-0.724 -0.628 -0.192 -0.365  0.554]
100.0,286.8036,42,1.0159516,0.33205473,-50.415977,160.41115,,1.433299,-83.20092729500335,1.2010379,0.4824768,0.3075914,-7.341062,100,0.8371464,15.583616,100.0,1.9989434,-4.386902e-07,160.8199,98.55907,1820.7323288917542,377.38,28.68616,3.3317745,940354,4200,[-0.737 -0.634 -0.19  -0.365  0.573]
100.0,232.02263,43,1.0330396,0.5930121,-46.593227,162.0478,,2.449652,-82.91371825664108,1.7721901,0.6865782,0.1276252,-6.1311374,100,1.0140598,15.098194,100.0,2.020196,9.3460085e-07,163.35927,98.54036,1888.0891873836517,360.78,31.685297,5.6891127,976432,4300,[-0.74  -0.624 -0.183 -0.368  0.58 ]
100.0,244.37157,44,1.0698495,0.83258176,-40.510178,165.48228,,6.352613,-91.17498681535193,2.7357588,1.0535865,0.09230222,-3.3023727,100,1.2790259,14.978377,100.0,2.0456002,5.912781e-07,168.05814,98.485596,1954.7778820991516,354.49,25.372972,9.371488,1011881,4400,[-0.761 -0.598 -0.181 -0.36   0.601]
100.0,227.22656,45,1.0570873,0.958052,-52.476997,164.82867,,3.6304357,-85.74676614884577,1.9496217,0.6743331,0.09530344,-6.9230566,100,1.1325526,15.855054,100.0,2.0593214,-1.14440915e-07,166.58475,98.56479,2027.7609798908234,394.05,29.447227,10.257087,1051286,4500,[-0.784 -0.584 -0.171 -0.352  0.627]
100.0,219.253,46,1.0504067,0.9417833,-38.628494,166.58699,,4.1292887,-84.17601923548375,2.7051642,0.90134907,0.06980991,-6.877074,100,1.43228,13.899057,100.0,2.0842159,-1.8692017e-06,168.47913,98.5851,2101.500674009323,405.77,36.102024,11.691859,1091863,4600,[-0.817 -0.579 -0.162 -0.348  0.64 ]
100.0,211.09848,47,0.9088599,0.56376153,-45.468925,168.13414,,3.472386,-77.78347702082239,2.4411001,0.7707826,0.09810464,-7.7383065,100,1.4007103,14.754087,100.0,2.1083412,-2.5177003e-06,170.1755,98.63048,2180.3236227035522,421.0,31.105204,6.410981,1133963,4700,[-0.844 -0.559 -0.155 -0.347  0.665]
100.0,202.37245,48,0.9619968,0.6613795,-50.811104,172.52217,,2.3271704,-78.99786067706341,1.8594911,0.6158299,0.15287006,-6.5595236,100,1.165405,14.531956,100.0,2.130844,9.918213e-07,174.00279,98.614456,2256.5768921375275,409.8,39.585537,9.625361,1174943,4800,[-0.879 -0.54  -0.154 -0.348  0.689]
100.0,284.28763,49,1.1242986,1.1489416,-62.516,173.33122,,7.770622,-74.74709783283497,3.5150957,1.2541983,0.056364633,-5.727219,100,1.6384057,16.14906,100.0,2.1506286,,176.0391,98.62332,2329.764228582382,396.88,24.766085,23.954811,1214631,4900,[-0.894 -0.526 -0.148 -0.348  0.712]
100.0,156.00008,50,1.0000364,0.507972,-26.21594,174.13763,,1.8940387,-65.23071254872875,1.651145,0.4500435,0.12810557,-9.2427025,100,1.1694312,11.655787,100.0,2.1676748,2.2888185e-06,175.31042,98.708374,2414.279183626175,447.35,26.259274,5.935265,1259366,5000,[-0.943 -0.517 -0.138 -0.352  0.732]
100.0,235.29164,51,1.0526209,0.8700487,-48.2967,174.067,,3.5125523,-53.41862037597716,3.0498319,0.87474525,0.046639215,-9.91229,100,1.6752403,14.096989,100.0,2.1955311,-1.0681152e-06,176.22426,98.758835,2495.6985635757446,443.01,35.869255,8.249305,1303667,5100,[-0.963 -0.5   -0.137 -0.356  0.749]
100.0,236.32417,52,1.0544665,0.9138013,-36.01418,180.56497,,3.6928372,-66.98336356523635,2.791653,0.9337236,0.043365117,-5.9147625,100,1.4679672,13.420771,100.0,2.2255688,-1.411438e-06,183.2385,98.66638,2570.154802083969,401.56,29.211409,10.281514,1343823,5200,[-0.965 -0.496 -0.133 -0.37   0.777]
100.0,189.79068,53,0.98976797,0.41553319,-31.524862,181.17023,,1.814964,-60.549678203720305,1.4945413,0.47825867,0.14843997,-9.820211,100,1.051116,13.879751,100.0,2.24114,-6.8664554e-07,182.2213,98.71352,2649.384745836258,422.7,23.579775,3.2883794,1386093,5300,[-0.985 -0.497 -0.127 -0.377  0.807]
100.0,221.32817,54,1.1412567,1.086167,-34.748863,184.34503,,3.053771,-64.18159208537149,2.329667,0.6947537,0.06282893,-7.3031344,100,1.3786247,13.416047,100.0,2.2636013,-1.8310546e-06,186.19841,98.702194,2730.509294986725,431.04,34.892654,11.028755,1429197,5400,[-1.035 -0.488 -0.133 -0.374  0.822]
100.0,194.6926,55,0.95702094,0.61176944,-31.993734,186.10422,,2.0128,-61.058241035373904,1.7549306,0.5713295,0.03430759,-8.771296,100,1.1451684,14.168371,100.0,2.287106,3.0517577e-07,187.47827,98.70598,2807.3777918815613,415.33,42.635323,8.239661,1470730,5500,[-1.047 -0.489 -0.121 -0.382  0.844]
100.0,203.27527,56,1.0332555,0.71825254,-35.730614,185.54102,,2.8565648,-55.7189477855162,2.2390575,0.67098486,0.052414116,-10.650937,100,1.3663583,13.763653,100.0,2.3095737,-1.0681152e-06,187.47046,98.742004,2886.7918944358826,431.95,31.875572,6.3301063,1513925,5600,[-1.062 -0.478 -0.118 -0.378  0.868]
100.0,164.65958,57,0.98964065,0.5518146,-37.413555,190.4806,,1.9453365,-67.82888326179157,1.7440102,0.5396652,0.112463236,-9.180531,100,1.1617314,11.623118,100.0,2.332292,6.294251e-07,191.60866,98.68117,2965.3321611881256,425.48,24.246593,4.7749147,1556473,5700,[-1.099 -0.494 -0.12  -0.391  0.891]
100.0,306826720.0,58,180.22195,4289.3867,-47.6353,192.0118,,287926050.0,-59.06525770614556,34186610.0,9879969.0,4.3902576e-10,1747.8314,100,1943109.1,14.710569,100.0,2.2829797,2.2888183e-07,993.8684,98.72922,3043.9191422462463,436.26,33.664993,268507.25,1600099,5800,[-1.119 -0.491 -0.12  -0.395  0.914]
100.0,442.9127,59,1.0432547,1.1072348,-56.890717,197.18784,,4.8300624,-78.52231782381905,2.5052896,1.0858603,0.081880935,3.6112466,100,1.015779,19.80404,100.0,2.3065755,-3.528595e-06,200.5092,98.43605,3097.1109788417816,278.47,39.59702,25.409416,1627946,5900,[-1.237 -0.447 -0.117 -0.496  0.864]
100.0,315.98468,60,0.9434731,0.63568205,-42.995758,196.62848,,2.8718967,-74.42965102338455,1.9677585,0.81381327,0.11226266,-1.2437936,100,0.9897078,16.79437,100.0,2.3327374,-1.335144e-07,199.06186,98.5397,3156.828053712845,323.4,27.07985,9.088543,1660286,6000,[-1.24  -0.453 -0.108 -0.473  0.888]
100.0,182.43037,61,1.0058991,0.84104156,-60.484207,197.34235,,2.7806149,-62.78389808448599,1.9174064,0.731265,0.04802397,-3.1789005,100,1.02338,15.121349,100.0,2.3485682,1.4495849e-06,199.09787,98.64461,3221.888721227646,353.32,23.924723,12.134628,1695618,6100,[-1.257 -0.457 -0.099 -0.478  0.914]
100.0,265.18634,62,1.037479,0.63393307,-57.824398,197.70209,,2.079505,-62.62701474907243,1.6404245,0.591622,0.19224049,-5.8003936,100,1.0273587,17.194487,100.0,2.3671746,5.1498415e-07,198.61488,98.677246,3292.188131570816,388.08,27.685183,8.031039,1734426,6200,[-1.273 -0.494 -0.104 -0.476  0.929]
100.0,200.38033,63,1.059449,0.7510006,-42.04852,197.59206,,2.7813475,-64.55841298702082,2.111993,0.70428133,0.079722136,-6.730724,100,1.2150334,14.33204,100.0,2.3893807,1.1444092e-06,199.47983,98.67726,3367.895019054413,400.06,32.17776,11.014639,1774432,6300,[-1.307 -0.498 -0.101 -0.471  0.948]
100.0,165.65053,64,0.9927147,0.74167144,-36.142906,198.09464,,2.8558745,-47.291884777672266,2.3419266,0.736784,0.07572034,-8.3614,100,1.3654697,13.088752,100.0,2.4147894,-2.670288e-06,200.11316,98.77435,3444.0734510421753,419.17,19.525085,7.2624874,1816349,6400,[-1.35  -0.516 -0.098 -0.472  0.97 ]
100.0,204.43211,65,0.9956911,0.650894,-45.917847,204.23157,,2.435639,-62.103352573983145,2.1016016,0.69611055,0.09160611,-5.3862214,100,1.2461276,14.951008,100.0,2.4431105,-2.2888185e-06,206.02505,98.69394,3516.456849336624,405.82,32.140274,7.454726,1856931,6500,[-1.377 -0.536 -0.095 -0.482  0.996]
100.0,201.10797,66,1.0066257,0.40114576,-45.539604,203.1369,,1.4426227,-51.34799156322246,1.3291019,0.44145674,0.15827401,-10.044039,100,0.98449266,14.326297,100.0,2.458724,3.3187866e-06,203.88728,98.755615,3585.981105327606,420.23,34.133163,3.4929724,1898954,6600,[-1.38  -0.537 -0.095 -0.489  1.024]
100.0,245.7165,67,0.91810197,0.49735054,-45.2983,203.42929,,1.9477788,-45.834546974881626,1.749826,0.5303015,0.12020338,-10.98744,100,1.1759344,15.149447,100.0,2.480405,8.010864e-07,204.62854,98.786804,3657.2296850681305,429.98,31.460938,6.7152467,1941952,6700,[-1.394 -0.553 -0.096 -0.495  1.04 ]
