Bound,MinD2w0t,EpLenMean,MeanEntropy,TimeElapsed,J_sample_variance,TimestepsSoFar,MaxD2w0t,EpRewMean,ReturnStepMaxmin,InitialReturnMax,Iteration,InitialReturnMean,InitialReturnMin,ReturnStepMax,MaxIW,MinIW,StdIW,MeanIW,MeanD2w0t,ReturnMeanIW,Weights,EmpiricalD2,EpThisIter,StdD2w0t,EpisodesSoFar,InitialBound,EntropyCoefficient,InitialReturnStd
585.8408,,16.31,1.3155499,312.2374618053436,14448150.0,58336,62.008926,-107.90269057066548,86.12358,7.494438,34,3.890991e-06,-4.4600296,100.0,83.7521,0.0006664177,7.2651324,2.032654,0.15267746,1104.737,[-0.642  0.7   -1.135  0.555 -0.071],11.5134115,100,1.4967681,3400,378.8506,10.0,2.5855691
437.0348,,16.23,1.2895445,323.5836572647095,815708.2,59959,12.024828,-108.25101345547026,86.072464,7.4822693,35,-6.1035155e-07,-4.1677704,100.0,26.082878,0.008665675,1.7051839,1.222365,0.048156973,687.58777,[-0.605  0.64  -1.133  0.617 -0.103],2.5895004,100,0.30802664,3500,380.01398,10.0,2.7158105
413.96634,,16.23,1.305756,333.4249711036682,1037537.1,61582,4.4758954,-107.85270779407325,86.081726,8.371147,36,4.7302246e-06,-4.451271,100.0,16.67059,0.045667905,1.9428225,1.212757,0.05152659,680.87476,[-0.597  0.599 -1.109  0.54  -0.129],2.6262872,100,0.30952114,3600,377.67783,10.0,2.7819247
526.8144,,16.3,1.3328935,341.3728425502777,4705707.5,63212,15.34883,-108.49718167191402,86.05161,6.5707245,37,-1.3732911e-06,-3.712288,100.0,42.72133,0.038564906,4.1699414,1.4898205,0.06233833,825.35785,[-0.604  0.576 -1.091  0.563 -0.113],3.1934156,100,0.41028428,3700,381.9411,10.0,2.3252401
456.35284,,16.66,1.3339604,351.65862941741943,689897.3,64878,7.436745,-108.06300708942348,86.38815,8.418358,38,-6.790161e-06,-4.6891937,100.0,12.212141,0.019036027,1.651733,1.3714081,0.056434058,743.6682,[-0.631  0.706 -1.02   0.621 -0.086],2.8438098,100,0.35110864,3800,355.83295,10.0,2.7899017
422.71558,,16.5,1.4217839,361.6101744174957,214959.75,66528,2.1965966,-108.41235492010736,86.254135,8.848145,39,7.6293946e-07,-3.3955078,100.0,6.856214,0.36786088,0.8793134,1.1850069,0.04265874,659.21765,[-0.618  0.755 -1.004  0.579 -0.085],1.5356095,100,0.23431793,3900,363.74454,10.0,2.721192
363.3366,,16.73,1.4078354,370.74769139289856,34870.85,68201,1.4014634,-108.9593271934443,86.36731,10.886467,40,-6.4849855e-06,-4.0116196,100.0,2.3683946,0.42364335,0.3594454,1.0380242,0.036066487,573.1364,[-0.59   0.767 -0.985  0.597  0.003],1.1269546,100,0.1941762,4000,352.40305,10.0,2.4444828
475.3816,,16.68,1.3833499,378.6719882488251,1590140.6,69869,11.708244,-108.3248863723597,86.401566,9.304016,41,2.2125244e-06,-4.1216125,100.0,20.591164,0.022723652,2.545834,1.4024422,0.049863543,755.08594,[-0.566  0.797 -0.953  0.576 -0.011],3.3714533,100,0.32321227,4100,357.16455,10.0,2.894588
344.99188,,17.69,1.3870918,388.91356468200684,142677.53,71638,2.0402365,-108.8807852077972,87.06171,7.700844,42,-2.5939942e-06,-4.6664734,100.0,4.968178,0.109101385,0.81849355,1.1703941,0.04126082,599.31964,[-0.494  0.835 -0.969  0.633 -0.036],1.6089286,100,0.21847285,4200,296.2678,10.0,2.8114321
418.84674,,16.68,1.4224072,398.392009973526,434988.8,73306,3.78623,-108.45299414126688,86.35954,8.295708,43,1.5716552e-05,-3.99411,100.0,22.29658,0.19957453,1.2100588,1.2202059,0.044860166,670.99493,[-0.528  0.826 -0.942  0.621 -0.032],1.4085774,100,0.2588564,4300,351.4031,10.0,2.646825
308.83,,17.52,1.4053874,407.9605212211609,30872.62,75058,1.4701982,-109.16457700249335,86.95085,10.214714,44,-2.7465821e-06,-4.263443,100.0,2.269874,0.27445605,0.36226842,1.0819256,0.038171876,566.50256,[-0.603  0.919 -0.88   0.636  0.003],1.1567343,100,0.20094053,4400,281.9356,10.0,2.9151285
346.55417,,16.63,1.4463983,416.9895417690277,27530.129,76721,1.2381692,-108.59297025638405,86.3128,8.319351,45,-6.408691e-06,-3.6394424,100.0,2.68533,0.5826831,0.32211247,1.0555556,0.034799136,583.2641,[-0.595  0.886 -0.901  0.662 -0.013],1.1075644,100,0.18771054,4500,328.60458,10.0,2.712048
414.8063,,16.08,1.4600637,425.3102867603302,105613.28,78329,2.0300992,-108.20769165241646,85.92391,6.08445,46,1.1444092e-06,-3.7307892,100.0,4.4482217,0.2476373,0.60949266,1.1367817,0.037899632,648.8162,[-0.623  0.885 -0.898  0.653  0.028],1.3363401,100,0.21071929,4600,368.50958,10.0,2.2823324
309.7459,,17.51,1.489805,433.7563531398773,43721.535,80080,1.4088922,-108.9896370110512,86.927925,8.077576,47,2.670288e-06,-4.422783,100.0,3.450763,0.4319682,0.41724163,1.055223,0.037842426,554.19904,[-0.624  0.884 -0.914  0.71   0.041],1.1422781,100,0.19905105,4700,292.90234,10.0,2.9692202
359.01065,,16.87,1.4405404,442.1660346984863,251010.58,81767,2.0946224,-108.75040685752478,86.53407,8.136772,48,3.4332274e-06,-3.9919968,100.0,4.643036,0.015962042,1.020795,1.1340648,0.04140377,612.3428,[-0.665  0.911 -0.888  0.689  0.071],1.792591,100,0.22615287,4800,330.51157,10.0,2.815088
293.6888,,17.68,1.4126395,452.288880109787,5710.3857,83535,1.0654154,-109.24296235249587,87.04745,10.565346,49,-3.890991e-06,-4.4736786,100.0,1.4702257,0.555272,0.15655908,1.0198789,0.036037274,530.1799,[-0.72   0.869 -0.898  0.7    0.022],1.0328567,100,0.18823561,4900,288.11884,10.0,3.1207492
411.11707,,15.93,1.4122156,460.7190716266632,27532.598,85128,1.2519932,-108.25919389416705,85.80205,6.5577927,50,-7.6293944e-08,-3.8311005,100.0,2.5856128,0.30483794,0.30908203,1.0554875,0.032973014,611.59753,[-0.718  0.864 -0.904  0.707 -0.006],1.1025062,100,0.18193471,5000,386.59933,10.0,2.4423738
305.3378,,17.0,1.4131987,469.8710117340088,6483.4087,86828,1.0948601,-108.75740938645677,86.5994,7.092575,51,-1.6021728e-06,-4.1213455,100.0,1.7517046,0.591103,0.15922889,1.0192678,0.034493286,552.0697,[-0.752  0.902 -0.904  0.728 -0.007],1.0240724,100,0.18388344,5100,298.32315,10.0,2.4760818
364.94083,,16.78,1.3510592,477.5866458415985,43802.22,88506,1.3045859,-108.44757889230577,86.4302,10.718552,52,-9.841919e-06,-4.522461,100.0,2.8843036,0.21866351,0.4119978,1.0844095,0.036298968,592.0587,[-0.775  0.916 -0.89   0.721 -0.006],1.1427249,100,0.19500148,5200,336.6627,10.0,2.7075257
443.7154,,17.11,1.3375094,486.8077573776245,1080533.6,90217,8.961895,-108.72574156300517,86.66436,8.182457,53,-3.2043456e-06,-3.9677963,100.0,12.81195,0.01731716,2.1673748,1.4696108,0.053180907,762.03076,[-0.747  0.922 -0.873  0.713 -0.068],3.5451565,100,0.3169726,5300,313.13455,10.0,2.5699902
687.6095,,17.19,1.3475602,498.186496257782,41597932.0,91936,79.80702,-108.67061934851162,86.73983,10.075729,54,-5.1879883e-06,-3.9485397,100.0,141.2049,0.0010246749,14.704238,2.9260848,0.15646479,1393.8483,[-0.826  0.864 -0.89   0.721 -0.081],27.78979,100,1.645013,5400,324.67953,10.0,2.8255553
408.73242,,16.93,1.3320297,509.00513553619385,1073887.0,93629,4.271942,-108.4809296710167,86.59157,9.699898,55,-2.8991699e-06,-4.2879486,100.0,18.418667,0.015901564,2.1456509,1.3118316,0.05121452,695.03625,[-0.921  0.796 -0.873  0.698 -0.071],3.2398257,100,0.30024368,5500,336.01703,10.0,2.761688
324.72882,,16.9,1.3281235,518.9759902954102,1912.2599,95319,1.04049,-108.56569759918304,86.5413,8.012802,56,7.93457e-06,-4.3498764,100.0,1.3382336,0.6821427,0.08535989,1.0092713,0.03400244,549.2308,[-0.985  0.752 -0.871  0.706 -0.087],1.0089252,100,0.18180622,5600,322.09106,10.0,2.6056163
318.16266,,17.84,1.3079889,527.4154267311096,91782.44,97103,1.7762835,-108.81492672598566,87.19937,10.662621,57,2.3651123e-06,-4.65934,100.0,4.198577,0.07344971,0.64443797,1.1346107,0.042156827,577.6205,[-0.993  0.75  -0.876  0.701 -0.091],1.3198956,100,0.22222161,5700,288.12567,10.0,3.3288062
362.96033,,17.05,1.2969737,535.4841392040253,153032.67,98808,1.6730107,-108.73079844901343,86.62872,6.273384,58,-3.8146973e-06,-3.661522,100.0,5.1621733,0.1333681,0.8171402,1.1091088,0.038827166,594.2942,[-0.987  0.75  -0.863  0.729 -0.111],1.5218635,100,0.20884252,5800,332.49042,10.0,2.5716414
399.39612,,16.83,1.2524478,543.859171628952,901070.9,100491,4.620113,-108.86585326012296,86.51904,7.3596344,59,1.0986329e-05,-3.9670868,100.0,16.542164,0.022540681,1.9935358,1.2981074,0.05262015,691.5494,[-1.006  0.712 -0.868  0.728 -0.122],3.1406162,100,0.3080495,5900,341.13464,10.0,2.334456
368.54926,,17.47,1.2418265,553.7582900524139,1195714.8,102238,8.861349,-109.38968295885773,86.9032,7.4708633,60,6.3323973e-06,-4.0366745,100.0,17.212263,0.031141188,2.304584,1.3387675,0.06462707,689.0534,[-0.97   0.795 -0.833  0.719 -0.166],3.545459,100,0.40891862,6000,304.92,10.0,2.5932956
528.1039,,15.9,1.1254888,563.0614566802979,5412140.5,103828,40.4477,-108.53793710979141,85.75123,6.9304504,61,3.6621093e-06,-3.7146683,100.0,36.302914,0.0011591841,4.407402,1.5932894,0.080962695,901.02405,[-0.99   0.858 -0.827  0.693 -0.177],8.035986,100,0.6934641,6100,390.91467,10.0,2.2022605
541.9562,,16.48,1.0645682,573.9023857116699,2546513.5,105476,10.945035,-108.1231224915926,86.2618,9.651207,62,3.890991e-06,-4.223961,100.0,21.183846,0.0067367167,3.200371,1.6128149,0.056003075,862.48676,[-1.026  0.806 -0.801  0.635 -0.293],4.585432,100,0.37644878,6200,357.80786,10.0,2.719572
1478.7076,,17.41,0.9656954,585.0051288604736,282297440.0,107217,1060.7141,-109.32169107946777,86.82593,7.310074,63,-3.5095215e-06,-3.9889755,100.0,361.56677,7.829378e-06,35.648823,4.89248,0.5837438,2397.0718,[-0.974  0.845 -0.813  0.665 -0.354],81.97776,100,12.190153,6300,317.35608,10.0,2.710415
340.5026,,16.85,0.96471673,596.6689121723175,62768.965,108902,1.5378785,-109.1275963750621,86.434845,8.250725,64,3.4332274e-06,-3.2644958,100.0,3.3919244,0.22702049,0.5120346,1.0625167,0.035356607,579.0192,[-1.065  0.796 -0.861  0.753 -0.453],1.202941,100,0.18976207,6400,325.47214,10.0,2.493809
401.90662,,16.33,0.9517967,604.676599740982,344491.3,110535,2.5845232,-108.2779330031431,86.1806,10.358391,65,-7.400513e-06,-4.0507584,100.0,11.172389,0.13138218,1.1159328,1.1436305,0.041479167,642.1475,[-1.097  0.788 -0.86   0.743 -0.454],1.491592,100,0.23449486,6500,366.01474,10.0,2.7179713
340.72488,,16.86,0.9321638,613.6505751609802,3217.7961,112221,1.0456021,-108.30783435297592,86.55541,7.5008087,66,7.5531007e-06,-4.536278,100.0,1.4361916,0.6739341,0.11079787,1.0179662,0.03413568,554.2932,[-1.104  0.792 -0.855  0.777 -0.467],1.0206361,100,0.18273488,6600,333.78305,10.0,2.8380487
378.4412,,16.69,0.99361974,622.1478650569916,259893.33,113890,1.9818158,-108.7417750827387,86.40144,8.311508,67,-1.1444092e-05,-3.7663727,100.0,7.285261,0.26002592,1.0473233,1.144406,0.03856587,623.0191,[-1.091  0.791 -0.851  0.778 -0.487],1.4521846,100,0.2090442,6700,339.36984,10.0,2.3615756
452.27365,,16.77,1.0032979,630.3299584388733,756401.44,115567,6.4297066,-108.7513070564355,86.49977,6.8449707,68,1.0223389e-05,-3.970787,100.0,15.64569,0.042221755,1.7117822,1.3446925,0.05710823,729.00183,[-1.072  0.814 -0.841  0.785 -0.425],2.2550907,100,0.3542435,6800,358.41644,10.0,2.4067292
359.19382,,18.12,1.0136744,639.5316305160522,1439548.6,117379,11.337059,-110.26930791653486,87.25052,9.883118,69,7.6293946e-07,-3.746437,100.0,20.500034,0.027741646,2.545152,1.3654742,0.07250213,681.095,[-1.049  0.819 -0.826  0.827 -0.416],3.1379652,100,0.46690282,6900,292.007,10.0,2.7381022
297.8801,,17.7,1.0224314,649.0533487796783,10943.014,119149,1.202181,-109.15798174259639,87.11329,7.08799,70,-5.340576e-07,-4.270363,100.0,2.337203,0.50563467,0.23060967,1.0303764,0.03602441,534.18225,[-1.054  0.769 -0.86   0.875 -0.405],1.0571846,100,0.18810745,7000,289.06253,10.0,2.3967793
274.03183,,18.03,1.0180584,657.767736196518,15594.539,120952,1.2454233,-109.49988173058567,87.2604,7.06678,71,-1.197815e-05,-4.206604,100.0,2.2561586,0.41025496,0.2619011,1.0362787,0.03762189,527.43207,[-1.056  0.776 -0.865  0.885 -0.397],1.065527,100,0.19467607,7100,264.14008,10.0,2.5355654
2410.0815,,18.61,0.97753835,666.358282327652,3265186800.0,122813,1284.1921,-109.90326274565574,87.63747,7.015938,72,-1.5258789e-06,-4.421623,100.0,1543.5272,0.0023433142,145.3484,15.27176,0.95390713,6210.291,[-1.06   0.788 -0.85   0.869 -0.401],32.4174,100,24.434694,7200,258.96985,10.0,2.4449859
4428.013,,18.86,0.8862395,678.3215820789337,4622616000.0,124699,15502.166,-110.18541551879918,87.85757,6.918228,73,-3.7384034e-06,-4.0710907,100.0,1593.0481,1.0483752e-05,156.46964,16.345976,4.7659626,7176.427,[-1.076  0.849 -0.772  0.905 -0.441],928.3973,100,134.99449,7300,242.63144,10.0,2.5980072
329.90018,,18.6,0.89047897,692.2262835502625,2517386.0,126559,29.165224,-109.81574885587895,87.58665,10.236198,74,6.2561035e-06,-5.045944,100.0,31.354933,0.006306752,3.6713266,1.4863951,0.08656557,704.97876,[-1.042  0.941 -0.754  0.852 -0.533],6.69843,100,0.62642217,7400,251.64214,10.0,2.6965287
302.91727,,17.9,0.88627297,701.839200258255,46692.523,128349,1.452208,-109.92296651161013,87.167595,9.548485,75,-5.340576e-07,-3.91922,100.0,2.9729543,0.2555899,0.46137506,1.0632632,0.038425528,546.9431,[-1.096  0.916 -0.756  0.88  -0.528],1.177002,100,0.199999,7500,284.72607,10.0,2.6468925
343.99435,,17.82,0.8730561,711.0339047908783,131953.73,130131,2.423255,-110.0251355758181,87.14139,7.3210526,76,4.5776366e-07,-3.876213,100.0,5.31921,0.04316843,0.7937756,1.1269222,0.040172987,579.36273,[-1.074  0.907 -0.772  0.89  -0.533],1.497013,100,0.21176608,7600,310.45374,10.0,2.4371135
276.39148,,18.48,0.8938976,720.9562239646912,9419.557,131979,1.1396427,-110.67270859113817,87.47057,6.2294464,77,-6.942749e-06,-4.0156326,100.0,1.987673,0.6937984,0.21555656,1.030725,0.037628774,514.7099,[-1.047  0.925 -0.77   0.914 -0.546],1.0374806,100,0.19211458,7700,267.10504,10.0,2.300497
349.5409,,18.28,0.8808508,727.5361421108246,1171353.5,133807,12.979587,-110.46693444334592,87.379265,8.472595,78,-1.5258789e-07,-3.7166214,100.0,15.374186,0.011847308,2.3826153,1.4050603,0.06937761,689.65497,[-1.036  0.929 -0.767  0.915 -0.525],3.7044446,100,0.45162773,7800,259.22043,10.0,2.5181644
260.38782,,18.14,0.881339,737.7442953586578,895.902,135621,1.0142473,-110.0306175927488,87.358185,7.4671097,79,-2.4414062e-06,-3.8029327,100.0,1.1988267,0.8477888,0.06414724,1.0020086,0.03634839,509.89838,[-1.021  0.957 -0.761  0.882 -0.538],1.0043061,100,0.18734437,7900,259.88202,10.0,2.6059918
312.94315,,18.36,0.8792216,746.3561251163483,148371.6,137457,2.9049156,-109.83215302266817,87.47954,6.241829,80,2.1362305e-06,-4.3060913,100.0,6.0882387,0.16433114,0.8387183,1.1343882,0.0440075,562.0953,[-1.02   0.954 -0.762  0.884 -0.538],1.4199866,100,0.23073162,8000,281.10297,10.0,2.3433175
