MeanIW,MeanD2w0t,MaxIW,ReturnStepMaxmin,TimeElapsed,EntropyCoefficient,EpRewMean,StdIW,ReturnMeanIW,StdD2w0t,EmpiricalD2,Iteration,MinD2w0t,InitialReturnMin,InitialReturnMean,MeanEntropy,EpThisIter,EpLenMean,InitialReturnStd,Weights,MaxD2w0t,TimestepsSoFar,Bound,InitialReturnMax,InitialBound,EpisodesSoFar,MinIW,ReturnStepMax,J_sample_variance
1.2219312,0.064613014,20.104683,85.80296,355.3047730922699,10.0,-107.92456534871135,1.3937706,708.03217,0.43072075,2.9920762,36,,-3.7159805,5.7983398e-06,0.80142236,100,15.9,2.399408,[-0.838  0.496 -0.928 -0.097 -0.586],9.357835,59957,627.31757,7.206131,530.2072,3600,0.012324985,100.0,605012.6
1.7430869,0.20910244,104.8996,85.87779,363.9690387248993,10.0,-108.58765603535899,10.2506695,936.02466,2.1686976,38.331966,37,,-3.4873886,6.942749e-06,0.7461064,100,16.1,2.385001,[-0.835  0.481 -0.96  -0.036 -0.618],61.39203,61567,740.71735,7.3919907,524.0955,3700,0.00015373765,100.0,24998840.0
1.2460834,0.061931863,9.23584,85.98626,375.5301818847656,10.0,-108.31710933872476,1.758483,698.91797,0.44419146,5.03819,38,,-3.6120224,-4.7302246e-06,0.7631441,100,16.19,2.359646,[-0.887  0.442 -0.942 -0.045 -0.673],13.529078,63186,616.70197,7.6614227,518.4865,3800,0.03085686,100.0,790644.2
1.71087,0.1749516,59.459885,85.89977,385.364693403244,10.0,-108.48907402129649,5.6440516,954.5945,1.8740053,25.551826,39,,-3.5981445,2.7465821e-06,0.77543974,100,16.12,2.628559,[-0.943  0.442 -0.917 -0.063 -0.656],82.34944,64798,782.5024,7.932289,522.385,3900,0.0030646124,100.0,8477668.0
1.9528288,0.12616877,34.74533,85.89283,395.2013020515442,10.0,-108.02491299637256,4.606484,1065.8463,1.4960241,22.365652,40,,-3.6427536,2.8991699e-06,0.81103534,100,16.04,2.7145844,[-0.909  0.485 -0.919 -0.075 -0.643],86.34197,66402,922.0594,8.9189,523.3069,4000,0.018377108,100.0,5447363.0
1.2113101,0.06733244,10.868389,85.74172,406.22058629989624,10.0,-107.54128495312449,1.5352222,699.1752,0.46837807,2.9910388,41,,-4.312195,-4.8828124e-06,0.7839758,100,15.81,2.5134275,[-0.961  0.42  -0.941 -0.097 -0.608],18.91992,67983,616.756,7.1700516,531.69617,4100,0.006300368,100.0,680327.25
1.3071465,0.056433495,14.679051,86.12499,415.345822095871,10.0,-107.62374750979978,2.1055527,718.33356,0.3640719,3.5507739,42,,-4.826187,6.942749e-06,0.7739774,100,16.25,2.5264347,[-0.952  0.445 -0.899 -0.152 -0.635],16.534336,69608,633.41565,7.323204,512.80945,4200,0.011420554,100.0,1127690.9
2.0627065,0.19174683,79.08615,86.37722,425.8183286190033,10.0,-107.70032287247837,5.5526595,1095.3846,1.7548807,24.69724,43,,-4.7860565,-4.119873e-06,0.75846225,100,16.58,2.8612373,[-0.873  0.484 -0.866 -0.12  -0.645],86.38534,71266,886.5091,7.5016327,499.2318,4300,0.00023680393,100.0,7595468.5
1.3217155,0.10182549,100.2454,86.22456,437.0235834121704,10.0,-107.91622500217149,4.5345826,735.5576,1.0231181,11.63535,44,,-4.3551025,4.119873e-06,0.7866332,100,16.44,3.042459,[-0.874  0.462 -0.823 -0.128 -0.66 ],55.985973,72910,628.7882,8.834732,506.65137,4400,0.0007526191,100.0,5760751.0
1.1144075,0.05454337,9.612833,86.342545,447.32159876823425,10.0,-107.93118542535844,1.3343462,616.0079,0.34752947,2.6404693,45,,-4.650757,-7.6293946e-07,0.80128187,100,16.59,2.9211998,[-0.88   0.433 -0.796 -0.156 -0.632],9.071552,74569,544.57117,7.992218,501.21884,4500,0.08331857,100.0,474011.8
1.212015,0.0513892,10.860685,85.671524,455.9292049407959,10.0,-108.00366077058563,1.189682,705.9754,0.31624964,2.0747204,46,,-3.703041,-4.5776366e-07,0.80571353,100,15.79,2.1801536,[-0.868  0.427 -0.834 -0.131 -0.618],6.8231564,76148,633.3073,5.6399918,534.9183,4600,0.10185011,100.0,440178.9
5.367691,3.626255,482.27728,85.94352,466.93710494041443,10.0,-107.68199706534728,47.254143,2788.411,110.841515,1392.0833,47,,-4.014023,-7.6293946e-07,0.8606546,100,16.05,2.575348,[-0.828  0.447 -0.806 -0.098 -0.613],11893.123,77753,1962.4739,7.824707,521.3828,4700,0.00021471818,100.0,559974000.0
1.0248225,0.033910267,2.3397188,86.22759,476.65358686447144,10.0,-107.73915246095822,0.290799,573.0557,0.1842514,1.0985333,48,,-4.677437,1.6784668e-06,0.85884076,100,16.41,2.9938784,[-1.067  0.43  -0.837 -0.068 -0.558],1.2752328,79394,520.597,7.888344,507.91742,4800,0.4507956,100.0,21966.906
1.3946531,0.0902554,25.078588,86.43906,484.40008640289307,10.0,-107.48727728085325,3.181671,743.7417,0.81635356,9.458079,49,,-5.049759,9.689331e-06,0.873056,100,16.62,2.7812326,[-1.084  0.45  -0.838 -0.05  -0.56 ],48.11427,81056,638.0867,7.901001,498.52118,4900,0.0045735505,100.0,2456112.0
1.1875474,0.07185159,15.160614,85.95881,493.3012671470642,10.0,-107.86242814758721,2.0647295,671.2838,0.4342612,3.5777252,50,,-4.055191,-1.2893677e-05,0.7880447,100,16.06,2.2193046,[-1.099  0.434 -0.795 -0.08  -0.546],7.9841084,82662,583.1242,6.170059,523.6902,5000,0.0024868026,100.0,1160262.5
1.0877805,0.038557816,4.0226207,86.25162,503.1823937892914,10.0,-108.06672003322983,0.5793798,603.34924,0.2110391,1.3264594,51,,-4.193413,8.010864e-06,0.7480903,100,16.45,2.5720828,[-1.101  0.459 -0.737 -0.075 -0.631],1.8129053,84307,544.73254,6.091011,507.31668,5100,0.115107246,100.0,90350.61
1.2466701,0.075249895,12.152489,86.04456,512.0290040969849,10.0,-108.09876860696663,1.6263893,704.2917,0.52131474,4.163832,52,,-3.9494019,-7.400513e-06,0.7463804,100,16.19,2.4892807,[-1.117  0.489 -0.721 -0.086 -0.671],10.55509,85926,613.17474,7.416771,518.4424,5200,0.010054186,100.0,741071.1
1.1178225,0.042891424,5.6238594,86.18321,521.596611738205,10.0,-108.260917539281,0.86373526,625.15326,0.24254203,1.693216,53,,-3.9685974,-5.41687e-06,0.71532923,100,16.42,2.59614,[-1.119  0.487 -0.746 -0.113 -0.673],4.820342,87568,562.09265,7.972412,509.0604,5300,0.086132824,100.0,199752.44
1.5234747,0.10230856,38.36318,86.05503,530.6799304485321,10.0,-108.23158132770226,4.4910216,829.74176,1.0636123,12.648945,54,,-4.1999283,4.196167e-06,0.63085943,100,16.24,2.4223533,[-1.124  0.485 -0.724 -0.147 -0.704],59.210423,89192,704.9498,5.5067215,515.713,5400,0.0031945568,100.0,4784631.5
1.3360481,0.07578554,20.827187,86.10501,541.8737235069275,10.0,-108.65915267627024,2.0140502,750.3104,0.61917436,2.7730596,55,,-3.5425186,7.400513e-06,0.6286653,100,16.37,2.3861945,[-1.146  0.453 -0.702 -0.18  -0.788],17.890348,90829,630.5517,7.067993,507.00357,5500,0.02376333,100.0,1266261.4
1.6780171,0.1889905,42.456818,86.164116,551.5644915103912,10.0,-108.11950463091495,5.226564,914.3881,1.8502883,23.073948,56,,-3.8415527,-4.9591063e-06,0.6342734,100,16.36,2.716449,[-1.19   0.497 -0.66  -0.202 -0.79 ],60.294895,92465,723.2782,8.168488,504.56958,5600,0.005496429,100.0,6837834.5
4.870876,3.2775126,442.08395,86.34163,560.99671626091,10.0,-108.05348028703665,42.02523,2542.7424,76.08166,334.90152,57,,-4.383789,6.408691e-06,0.5639826,100,16.6,2.8830006,[-1.193  0.467 -0.643 -0.192 -0.785],5688.3384,94125,1824.0494,9.037422,498.8822,5700,1.3297191e-05,100.0,454001380.0
1.499106,0.13372386,42.007484,86.13838,573.791980266571,10.0,-108.01186328704468,4.854152,834.1521,1.0448704,7.8010836,58,,-3.8134842,-1.2969971e-06,0.5487723,100,16.33,2.564581,[-1.174  0.441 -0.73  -0.17  -0.855],57.95524,95758,668.7527,7.9964523,508.4243,5800,0.008072038,100.0,6776568.0
1.3174607,0.06053504,28.69006,86.141014,581.2112679481506,10.0,-108.23881804446104,1.9447187,736.9414,0.38696226,2.508158,59,,-3.9709854,1.3732911e-06,0.52441525,100,16.33,2.6244426,[-1.153  0.406 -0.787 -0.177 -0.87 ],8.000242,97391,654.6602,6.661133,511.61823,5900,0.015356732,100.0,1085399.6
1.33118,0.08537744,21.813469,86.2058,592.7318947315216,10.0,-108.3820548195875,2.6877084,729.7493,0.63021624,7.2456927,60,,-3.9184341,4.119873e-06,0.4997746,100,16.48,2.489519,[-1.155  0.438 -0.764 -0.141 -0.895],23.78025,99039,629.0192,6.6478043,506.23608,6000,0.0010484003,100.0,1838444.8
1.6393497,0.20739917,51.626373,86.12387,602.6253154277802,10.0,-107.98150593549234,5.7077417,885.8278,3.558184,34.978683,61,,-4.194275,-3.3569336e-06,0.5104198,100,16.32,2.955744,[-1.176  0.391 -0.787 -0.129 -0.919],396.9582,100671,712.5628,8.214668,509.07187,6100,0.004419947,100.0,8267151.5
1.1427404,0.044437394,7.4507527,85.612274,613.4904656410217,10.0,-107.82543218008703,1.026469,666.51764,0.26242527,1.9276353,62,,-3.4314728,9.689331e-06,0.50514275,100,15.7,2.3591805,[-1.142  0.406 -0.815 -0.104 -0.909],6.064996,102241,592.2879,8.191063,533.762,6200,0.04699648,100.0,322367.1
1.2318794,0.05405716,18.074682,85.7331,622.712117433548,10.0,-107.7754282526929,1.9777473,710.1007,0.3368804,3.58591,63,,-3.911003,1.6784668e-06,0.48331687,100,15.82,2.8741918,[-1.162  0.379 -0.834 -0.131 -0.914],7.8611736,103823,627.91656,8.382713,528.3912,6300,0.008270963,100.0,1066605.8
1.6572009,0.13180904,32.65176,86.371506,632.1462316513062,10.0,-108.07909638218534,4.5446687,890.17004,1.1801243,11.697387,64,,-4.355095,-8.392334e-07,0.41847527,100,16.66,2.8637328,[-1.175  0.325 -0.863 -0.138 -0.936],55.651855,105489,739.32916,7.9443054,496.29358,6400,0.00076626637,100.0,5333608.5
1.9972135,0.39433274,105.08283,86.08713,643.6503663063049,10.0,-108.33668644258678,7.362559,1077.4955,6.698434,65.01305,65,,-3.7854614,-9.765625e-06,0.28823575,100,16.26,2.3190622,[-1.226  0.371 -0.877 -0.129 -1.   ],753.0737,107115,777.6198,6.158844,513.60254,6500,1.2101314e-06,100.0,13749039.0
1.3935262,0.068609744,16.658846,85.73402,653.1598918437958,10.0,-107.93172703121004,2.3658512,794.03186,0.57830566,6.622412,66,,-3.9038773,4.9591063e-06,0.26524994,100,15.85,2.8231938,[-1.193  0.456 -0.823 -0.122 -1.131],34.879738,108700,681.8289,8.42524,525.78485,6600,0.006114737,100.0,1525594.4
1.0821232,0.03645149,4.0127125,86.1139,662.955037355423,10.0,-108.15203317181712,0.7069927,605.7532,0.20028503,1.5282245,67,,-3.974289,-4.577637e-06,0.25378662,100,16.33,2.4235265,[-1.184  0.509 -0.798 -0.102 -1.154],1.7696159,110333,543.0499,5.4879227,507.2312,6700,0.09524819,100.0,125901.93
1.4169257,0.085528485,25.703552,86.284874,671.3562157154083,10.0,-108.20907075452142,2.7606325,759.4831,0.7924156,6.301503,68,,-4.138275,5.9509275e-06,0.22106718,100,16.54,2.6146958,[-1.214  0.501 -0.804 -0.103 -1.165],47.226837,111987,656.5863,8.457321,499.21204,6800,0.015236128,100.0,1726404.2
2.0610719,0.20367675,91.69815,86.09016,685.0822212696075,10.0,-107.80742186712301,9.274814,1101.2032,5.6283345,40.57546,69,,-4.4393845,-9.07898e-06,0.2270513,100,16.25,2.6707902,[-1.241  0.509 -0.779 -0.136 -1.198],801.86224,113612,901.6501,7.3214645,508.1562,6900,0.0056310864,100.0,21786158.0
1.9679037,0.17300494,101.699524,86.20952,695.9734768867493,10.0,-107.65790533265188,7.3554206,1042.8334,2.9421492,26.503002,70,,-4.4385986,5.4931643e-06,0.23721635,100,16.34,2.701662,[-1.258  0.474 -0.788 -0.179 -1.192],280.5463,115246,858.01575,7.704361,503.8762,7000,0.00030843995,100.0,13560904.0
1.4553375,0.059389625,19.77502,85.936905,707.5053119659424,10.0,-108.26626827887692,2.959724,809.6881,0.42114565,5.4335003,71,,-3.7622604,-6.6375733e-06,0.23120387,100,16.1,2.4876857,[-1.225  0.495 -0.785 -0.139 -1.182],14.500984,116856,713.78394,7.5931625,516.75244,7100,0.010291485,100.0,2284628.0
1.6026493,0.2122139,59.50376,85.86785,718.8836481571198,10.0,-107.82790795071203,6.6010094,898.95746,2.141387,32.22721,72,,-4.288498,-1.4038086e-05,0.23145393,100,15.98,2.7722967,[-1.252  0.459 -0.803 -0.151 -1.188],69.99752,118454,690.32074,7.569847,518.229,7200,0.0021240697,100.0,11903139.0
3.649192,1.6404451,272.1893,86.09769,728.6638560295105,10.0,-107.70964418289583,26.758726,1947.3859,27.019884,182.73543,73,,-4.4255905,5.722046e-06,0.2227699,100,16.23,2.9077969,[-1.239  0.478 -0.817 -0.153 -1.187],2171.6548,120077,1359.6837,7.3879623,509.6461,7300,0.00082426466,100.0,195976320.0
1.6078153,0.13532926,39.5572,85.82646,739.347404718399,10.0,-107.9708961817794,4.5976005,898.35333,1.9276068,22.731997,74,,-4.0933075,-5.645752e-06,0.20097731,100,15.96,2.48233,[-1.187  0.475 -0.822 -0.102 -1.196],158.23196,121673,735.3072,8.250351,520.77155,7400,0.0032180604,100.0,5641381.5
1.5597519,0.1386681,29.334524,86.29199,749.0497732162476,10.0,-107.8339980118024,4.1254983,835.1831,1.1883174,18.37284,75,,-4.2417755,-2.5177003e-06,0.20434816,100,16.46,2.542134,[-1.188  0.43  -0.825 -0.121 -1.218],34.93301,123319,680.92114,6.323967,499.8582,7500,0.006082786,100.0,4113948.8
1.262487,0.08792994,37.669685,86.07912,756.5559391975403,10.0,-108.06310297330256,3.9313564,697.0444,0.6845276,9.132877,76,,-4.0421677,-3.1280517e-06,0.17772113,100,16.27,2.6938746,[-1.199  0.411 -0.813 -0.124 -1.215],24.152603,124946,576.9372,8.439148,508.5279,7600,0.008643881,100.0,3644478.5
1.3402183,0.09151221,22.160204,86.14933,767.207921743393,10.0,-107.88574560808581,2.9654539,730.7606,0.7170187,10.681927,77,,-4.044304,5.264282e-06,0.17613679,100,16.33,3.0498374,[-1.204  0.443 -0.816 -0.117 -1.241],17.11174,126579,605.6078,7.7062836,503.9091,7700,0.005382485,100.0,2200062.5
2.6317568,0.762778,176.05063,86.37969,776.5391402244568,10.0,-108.36997220632696,17.16376,1336.7214,17.670074,65.71108,78,,-4.161255,1.9073486e-06,0.18981856,100,16.72,2.732414,[-1.18   0.468 -0.812 -0.119 -1.243],1536.685,128251,879.2788,7.861862,491.34894,7800,0.005071393,100.0,66138380.0
1.2646992,0.065055504,9.272298,86.383965,787.3384006023407,10.0,-108.37413278568769,1.5052273,684.7533,0.42335546,3.6889503,79,,-4.268242,-1.2969971e-06,0.16875955,100,16.71,2.817872,[-1.191  0.477 -0.789 -0.169 -1.229],7.7186384,129922,592.92004,7.143257,491.89035,7900,0.007945362,100.0,569894.25
1.1069225,0.03952612,6.2830114,86.20866,796.1546385288239,10.0,-108.01473414389392,0.88468957,614.9698,0.21635064,1.4436939,80,,-4.129936,8.163453e-06,0.19157058,100,16.43,2.9559755,[-1.184  0.483 -0.797 -0.181 -1.25 ],1.8845717,131565,549.8299,8.750893,501.62946,8000,0.160971,100.0,206314.62
