EpRewMean,MaxD2w0t,InitialReturnMax,StdIW,StdD2w0t,Weights,J_sample_variance,InitialReturnMean,InitialReturnMin,MeanEntropy,EntropyCoefficient,InitialReturnStd,Iteration,MaxIW,EpisodesSoFar,TimeElapsed,MeanIW,MinD2w0t,Bound,ReturnMeanIW,EmpiricalD2,MeanD2w0t,TimestepsSoFar,EpLenMean,ReturnStepMax,ReturnStepMaxmin,MinIW,EpThisIter,InitialBound
-105.35642050390037,4609.576,-19.529037,1.6553725,46.634087,[-0.543 -1.122 -0.507 -0.814 -0.438],4033.2654,-65.26044,-86.955376,0.92529243,10.0,14.119931,12,88.02493,1200,207.3528552055359,0.4600379,,-24.090517,-24.785126,340.03824,4.734069,55269,54.74,100.0,99.0,2.9622943e-06,100,-56.43403
-103.84370464214003,4426.0327,-8.280957,1.1548109,61.55708,[-0.488 -1.125 -0.483 -0.879 -0.494],5534.9243,-68.87275,-91.22288,0.91588205,10.0,14.359145,13,16.1205,1300,225.26748752593994,0.5538227,,-41.163013,-41.073875,509.52567,4.63124,59957,46.88,100.0,99.00001,6.0514623e-05,100,-60.5785
-105.75383246111251,177784.16,-30.416658,31.12168,1998.8629,[-0.51  -1.154 -0.484 -0.843 -0.503],433428.88,-64.316536,-87.17076,0.9209392,10.0,11.688939,14,2679.8154,1400,241.99697065353394,2.0953703,,-16.318096,19.858067,14572.369,87.44942,65570,56.13,100.0,99.0,4.2152146e-06,100,-56.125687
-108.00852779690837,1.8285103,-28.58427,0.6724718,0.41017497,[-0.529 -1.191 -0.455 -0.822 -0.498],1400.4166,-62.37882,-86.242325,0.9177971,10.0,11.356196,15,4.9157743,1500,264.54923462867737,0.94444615,,-51.474693,-59.520687,1.4554279,0.15439065,71872,63.02,100.0,99.0,0.17423272,100,-54.1848
-108.13141567323036,722.8932,-34.281963,0.9573115,19.646708,[-0.517 -1.185 -0.444 -0.808 -0.501],2144.431,-62.883312,-83.24649,0.90981025,10.0,11.505966,16,30.039581,1600,282.95240592956543,0.44580114,,-27.987827,-30.577993,129.3153,2.8701487,78113,62.41,100.0,99.0,0.00038416003,100,-54.723072
-113.29407940530174,1517.6116,-26.106693,0.77528644,24.557266,[-0.512 -1.205 -0.434 -0.778 -0.509],1466.0117,-59.519665,-86.1036,0.9215257,10.0,11.715797,17,11.523367,1700,305.188973903656,0.47556582,,-28.950037,-31.088984,94.073,3.26689,85680,75.67,100.0,99.000015,0.0005456902,100,-51.508194
-109.83259276038602,1053.504,-16.963123,1.0001327,18.138826,[-0.509 -1.189 -0.427 -0.808 -0.497],2983.7112,-60.71117,-84.42955,0.87856585,10.0,12.827712,18,12.65242,1800,325.476571559906,0.5855208,,-33.636055,-37.067287,36.676422,1.8177365,92598,69.18,100.0,99.0,0.000995288,100,-52.55893
-109.58714506285774,1095.8977,-29.143852,1.1038444,25.976868,[-0.568 -1.183 -0.415 -0.818 -0.54 ],2645.6846,-56.928066,-78.85609,0.8674942,10.0,10.81827,19,22.30045,1900,347.70459485054016,0.58716774,,-32.48232,-34.680347,83.36775,3.881676,100260,76.62,100.0,99.0,0.00036010623,100,-49.196514
-107.57292573380178,735.6211,-31.055595,1.1354519,18.977707,[-0.562 -1.179 -0.4   -0.853 -0.551],2185.8508,-57.178917,-81.596565,0.85351485,10.0,11.650202,20,27.073835,2000,370.1669063568115,0.6260978,,-32.97637,-35.69648,49.327927,2.4522865,107606,73.46,100.0,99.0,0.0001892539,100,-49.54512
-106.81401013520595,514.9437,-17.477451,1.1472149,16.003368,[-0.57  -1.176 -0.366 -0.857 -0.565],4001.611,-53.178085,-80.66814,0.8061523,10.0,13.693895,21,22.376957,2100,392.9998505115509,0.5256353,,-28.591686,-31.927277,82.360466,2.6266043,115868,82.62,100.0,99.0,3.951847e-05,100,-45.681908
-104.1765236405079,502.04868,-23.067968,0.9668023,13.801141,[-0.563 -1.155 -0.38  -0.868 -0.613],2350.6711,-55.257553,-79.22119,0.82440084,10.0,12.737807,22,10.097774,2200,413.86527132987976,0.69050026,,-37.462337,-41.044083,23.665844,1.5935208,123213,73.45,100.0,99.0,0.0029241564,100,-48.214157
-105.71823492732494,1391.6362,-28.077572,1.4412305,22.065786,[-0.548 -1.166 -0.407 -0.868 -0.595],5621.368,-58.83232,-79.13767,0.8194923,10.0,12.751215,23,78.465454,2300,433.3779044151306,0.5901133,,-34.063683,-36.051285,134.1057,2.7111344,129918,67.05,100.0,99.0,0.00022339298,100,-51.584484
-104.92872913916653,1285.5137,-36.348434,1.5269667,25.845795,[-0.531 -1.161 -0.412 -0.902 -0.599],3948.6646,-62.410873,-87.878,0.7695435,10.0,11.303958,24,60.27736,2400,452.1579644680023,0.5512418,,-32.739594,-33.929714,189.55502,2.9622478,135831,59.13,100.0,99.0,4.97774e-05,100,-55.19345
-104.20671358605628,1198.2465,-2.3428135,1.1884221,21.540123,[-0.544 -1.158 -0.381 -0.875 -0.649],3892.9417,-57.88375,-84.400116,0.7863243,10.0,14.270792,25,25.522049,2500,473.15286111831665,0.7676558,,-42.45094,-45.258373,54.664276,2.803402,142697,68.66,100.0,99.0,0.0002444794,100,-51.204876
-106.35179924577844,690.59485,-26.108805,0.8038093,20.318493,[-0.54  -1.159 -0.414 -0.864 -0.633],1471.9705,-61.637627,-83.66095,0.75342107,10.0,11.729175,26,8.710468,2600,490.4815163612366,0.41853547,,-25.697586,-26.678806,112.08905,2.7360265,148934,62.37,100.0,99.0,3.3689943e-05,100,-54.78776
-106.7052244341342,2300.3962,-31.863758,0.9790637,25.362629,[-0.546 -1.157 -0.411 -0.824 -0.665],1438.9004,-59.714256,-84.02809,0.74532163,10.0,11.856223,27,55.431984,2700,509.9572072029114,0.4637841,,-27.620651,-27.829556,120.97022,2.614789,155618,66.84,100.0,99.0,0.00036646353,100,-53.20572
-108.82846114233526,3176.0925,-12.814546,1.2296141,42.36629,[-0.548 -1.174 -0.392 -0.81  -0.674],2420.4377,-55.196217,-91.73816,0.7486956,10.0,13.023759,28,34.597,2800,533.135176897049,0.5818347,,-29.52176,-29.950026,197.78154,5.148346,163645,80.27,100.0,99.0,0.0010842222,100,-48.80731
-113.14982260552,1648.8928,-16.628456,0.9286956,33.250244,[-0.564 -1.186 -0.369 -0.805 -0.67 ],607.2988,-49.019875,-85.45383,0.7493415,10.0,14.0543785,29,24.976189,2900,561.432448387146,0.49014804,,-24.143394,-26.800827,87.42038,4.32252,174164,105.19,100.0,99.0,0.000651789,100,-42.652775
-120.28139164029633,892.93066,-6.355124,1.1060748,27.68148,[-0.569 -1.193 -0.36  -0.786 -0.67 ],1674.6548,-44.05212,-76.85419,0.75776976,10.0,12.746091,30,14.170937,3000,590.0199825763702,0.62017065,,-28.56234,-31.919867,63.99763,5.2203526,187257,130.93,100.0,99.0,0.00031302628,100,-37.7515
-126.58430690053547,1467.6084,-18.845377,1.3888344,44.239273,[-0.565 -1.197 -0.364 -0.765 -0.661],1158.1755,-44.490704,-66.30438,0.7539189,10.0,10.461525,31,27.055342,3100,620.9114577770233,0.83059,,-31.304256,-36.041195,29.358467,3.8429968,201277,140.2,100.0,99.0,0.0009813851,100,-38.170464
-120.52002339460932,2741.9805,-19.1707,1.3455538,51.32797,[-0.575 -1.181 -0.355 -0.772 -0.665],803.6089,-44.54668,-71.90834,0.7517528,10.0,11.879543,32,34.610085,3200,652.0629580020905,0.600369,,-24.623676,-28.047113,100.69729,6.3059163,214445,131.68,100.0,99.0,0.008143529,100,-38.20133
-132.20790695637305,43687.125,2.7566023,3.6020505,963.54156,[-0.583 -1.182 -0.334 -0.77  -0.667],284.36313,-33.483166,-64.50565,0.75147545,10.0,12.562991,33,199.82823,3300,694.752286195755,0.74379313,,-18.16541,-22.377266,875.00415,86.1239,236238,217.93,100.0,99.0,0.00046070677,100,-27.279026
-130.08817126866273,12396.577,12.151615,0.9141209,678.5779,[-0.584 -1.186 -0.316 -0.766 -0.667],212.0231,-30.623709,-61.703796,0.7498291,10.0,10.684857,34,14.380406,3400,759.1623203754425,0.5925848,,-18.834833,-23.862988,1612.6865,189.06062,269897,336.59,100.0,99.0,1.3567371e-05,100,-24.40129
-110.20488503104356,10376.582,-6.8523173,1.3839242,1249.7507,[-0.592 -1.188 -0.301 -0.767 -0.669],216.01639,-26.156897,-53.224617,0.7514675,10.0,7.7392855,35,29.747534,3500,838.6243286132812,0.6681784,,-16.60196,-21.764168,4743.491,534.4648,313075,431.78,100.0,99.0,1.0540393e-05,100,-19.753414
-106.171043723984,2267.2732,-3.7235408,1.5589913,105.96194,[-0.595 -1.172 -0.298 -0.777 -0.667],218.50127,-26.147406,-64.09921,0.7224478,10.0,11.343826,36,52.28589,3600,910.3290600776672,0.7371931,,-13.980354,-19.724401,270.7757,38.163322,349062,359.87,100.0,99.0,9.299998e-05,100,-19.687462
-88.71951193611726,1119.285,-3.6063592,2.0456555,115.32726,[-0.655 -1.159 -0.312 -0.771 -0.696],373.10968,-25.651329,-62.344822,0.76656234,10.0,12.641896,37,54.988937,3700,985.4521610736847,0.85012096,,-15.780572,-21.995466,328.02014,52.67432,386868,378.06,100.0,99.0,0.00047753367,100,-19.308216
-90.93643767592697,56624.48,7.077464,1.9460078,4092.8564,[-0.65  -1.17  -0.301 -0.771 -0.652],274.10666,-23.291157,-65.35532,0.76009274,10.0,11.516266,38,46.600693,3800,1065.9999256134033,0.64933354,,-12.520063,-17.750364,12440.451,1200.1498,428253,413.85,100.0,99.0,2.5460822e-06,100,-16.528923
-98.89952036679932,10.455325,6.4506617,0.8068894,2.0232913,[-0.644 -1.156 -0.317 -0.768 -0.659],335.9814,-26.343489,-68.80908,0.7679069,10.0,14.755467,39,10.349578,3900,1135.0940780639648,0.9137128,,-17.826427,-24.432018,5.259565,1.9859928,463417,351.64,100.0,99.0,0.015743764,100,-19.725058
-93.35521305798103,96166.09,5.2059927,1.6672864,5075.846,[-0.663 -1.168 -0.318 -0.775 -0.651],381.26196,-23.264563,-65.17246,0.7585806,10.0,12.87961,40,42.631718,4000,1207.2136471271515,0.61429983,,-11.036867,-15.859811,14963.821,1394.9803,501557,381.4,100.0,99.0,6.8471087e-07,100,-16.512913
-109.67864275754019,17629.61,8.804388,1.3117715,675.9178,[-0.668 -1.158 -0.336 -0.782 -0.66 ],274.40244,-29.897633,-75.92427,0.75515985,10.0,16.420424,41,22.467564,4100,1263.556314945221,0.6694084,,-17.167015,-22.377449,1283.0062,138.95242,528527,269.7,100.0,99.0,1.8352084e-05,100,-23.401403
-91.74179353341098,8534.885,0.92784375,1.0552007,733.3793,[-0.672 -1.165 -0.325 -0.773 -0.664],199.08014,-23.204052,-59.574776,0.7514141,10.0,12.145311,42,16.567297,4200,1336.833190202713,0.590947,,-13.593021,-19.314972,2084.4504,264.2244,567840,393.13,100.0,99.0,4.3103944e-05,100,-16.563843
-98.44542404623016,10953.658,-5.865868,0.92609173,1399.9182,[-0.673 -1.173 -0.337 -0.762 -0.668],159.3649,-24.092422,-60.17792,0.74999726,10.0,9.157535,43,18.075867,4300,1407.7723026275635,0.54597026,,-15.027799,-20.315332,5288.248,581.3324,608818,409.78,100.0,99.0,1.4617685e-06,100,-17.556267
-104.51847770068356,3209.718,1.1461519,2.2400372,352.0649,[-0.678 -1.172 -0.336 -0.742 -0.669],252.04855,-26.060957,-67.158035,0.7421367,10.0,9.897454,44,54.325836,4400,1491.0790119171143,0.7030065,,-17.45898,-23.005886,1309.3118,175.3368,653023,442.05,100.0,99.0,7.42932e-05,100,-19.599304
-114.97956001771789,3138.8953,-7.0611496,1.317656,437.32092,[-0.681 -1.168 -0.348 -0.725 -0.677],307.15756,-27.043745,-53.524868,0.7380678,10.0,7.726526,45,27.214556,4500,1575.6694328784943,0.577697,,-17.053177,-22.425667,1800.7476,233.4225,700416,473.93,100.0,99.00002,4.501553e-05,100,-20.764618
-107.35725551896503,3419.7034,-6.972606,1.4206713,502.4827,[-0.694 -1.165 -0.346 -0.739 -0.681],255.02884,-24.541136,-66.48655,0.7387154,10.0,8.476582,46,27.571186,4600,1663.5122702121735,0.6865193,,-15.736006,-21.15162,2069.178,265.1791,747507,470.91,100.0,99.00001,1.2363875e-05,100,-18.226974
-104.33000103242381,1113.866,1.469156,0.81435055,134.62447,[-0.684 -1.164 -0.348 -0.756 -0.68 ],722.94324,-27.581654,-68.10903,0.7469087,10.0,12.664379,47,7.925637,4700,1734.9665443897247,0.5746294,,-18.291128,-23.933903,392.0773,63.68735,785234,377.27,100.0,99.0,0.00010625449,100,-21.230942
-101.6413360837062,9786.945,1.1029359,1.859117,964.8639,[-0.705 -1.152 -0.364 -0.761 -0.672],164.17766,-27.754177,-72.66188,0.7493013,10.0,14.525198,48,78.42012,4800,1794.8656044006348,0.5711709,,-13.612066,-18.856106,2567.814,287.4215,816028,307.94,100.0,99.0,9.385855e-05,100,-21.294825
-105.03735077273858,3602.3254,-1.7916379,1.0219113,405.2447,[-0.705 -1.16  -0.361 -0.747 -0.67 ],289.73547,-23.732756,-62.621815,0.74430454,10.0,10.4100485,49,14.937867,4900,1870.2442274093628,0.5484137,,-13.088468,-18.660376,1432.191,182.87991,858278,422.5,100.0,99.0,1.0572912e-05,100,-17.283215
-95.11497869338886,23967.785,7.116103,2.0039544,1358.0463,[-0.714 -1.133 -0.362 -0.747 -0.675],267.80588,-25.138765,-67.10728,0.7536197,10.0,13.671708,50,43.455486,5000,1941.9585258960724,0.8082536,,-16.092552,-21.698942,3058.9702,350.30496,894811,365.33,100.0,99.0,1.2909398e-05,100,-18.640617
-93.29273447392518,1326.4751,2.5567503,1.0734613,75.51126,[-0.721 -1.138 -0.348 -0.755 -0.665],441.8665,-25.729641,-68.62035,0.75830084,10.0,14.2862835,51,17.160908,5100,2016.8204877376556,0.7240932,,-17.680387,-23.896603,196.40436,31.147425,931510,366.99,100.0,99.0,4.613731e-05,100,-19.120243
-85.48393726684161,33356.582,10.735382,1.783325,2049.9558,[-0.729 -1.142 -0.337 -0.75  -0.661],294.82352,-23.072521,-67.58568,0.7395298,10.0,12.83252,52,64.1864,5200,2091.330016374588,0.7573805,,-13.946499,-19.599379,4866.7783,521.6822,972591,410.81,100.0,99.0,1.0546748e-05,100,-16.338737
-77.70818747441643,32537.86,4.0338893,2.3389802,1406.089,[-0.737 -1.129 -0.321 -0.749 -0.679],322.57437,-22.986605,-68.52759,0.74462634,10.0,13.022476,53,60.031883,5300,2170.8520922660828,0.8055809,,-13.829455,-19.792978,2895.51,339.4724,1014265,416.74,100.0,99.0,8.4149426e-05,100,-16.363281
-82.69353432494044,15305.555,3.66197,1.3270468,858.4964,[-0.728 -1.138 -0.337 -0.754 -0.674],187.6035,-22.862053,-66.566536,0.7477198,10.0,12.417886,54,22.048841,5400,2249.756279230118,0.6095318,,-12.227858,-18.16525,2413.5618,282.34732,1055898,416.33,100.0,99.0,1.0060506e-05,100,-16.23729
-79.92812816609643,3611.4617,7.922491,3.7688153,246.58739,[-0.734 -1.136 -0.324 -0.763 -0.671],244.82503,-23.11296,-66.40782,0.74347764,10.0,14.733261,55,92.037605,5500,2324.636986732483,1.0668958,,-14.510792,-20.58949,728.53284,94.77408,1095010,391.12,100.0,99.0,0.0004943084,100,-16.429792
-83.10429778188974,9650.331,5.588525,1.4608657,717.5161,[-0.737 -1.143 -0.312 -0.755 -0.675],271.73315,-22.98532,-64.20096,0.74994975,10.0,12.717022,56,16.05825,5600,2397.6918416023254,0.70651674,,-14.665685,-20.588299,1835.8243,239.1666,1136788,417.78,100.0,99.0,9.714179e-05,100,-16.376125
-94.325448368584,12539.152,1.4024075,1.2248664,1189.4324,[-0.745 -1.146 -0.33  -0.745 -0.669],318.66028,-24.594473,-66.95123,0.7519026,10.0,10.957021,57,31.632566,5700,2481.5178983211517,0.6228096,,-15.970573,-21.561615,4081.667,482.03168,1181014,442.26,100.0,99.0,9.783461e-07,100,-18.032032
-79.56873407717481,3901.076,-1.8690858,1.0997319,366.2047,[-0.748 -1.142 -0.317 -0.757 -0.667],137.07266,-23.781109,-66.48722,0.7783691,10.0,13.866191,58,22.853207,5800,2555.270349740982,0.609767,,-13.3496895,-19.663258,1157.2869,161.9301,1221999,409.85,100.0,99.0,0.00010383172,100,-17.05254
-95.7734854191011,94106.266,-7.286896,0.98479974,3398.306,[-0.766 -1.146 -0.331 -0.742 -0.641],169.80972,-24.843235,-61.692894,0.7786057,10.0,9.055865,59,14.214235,5900,2637.92883849144,0.53878707,,-13.5867195,-19.103508,7577.0977,836.6621,1266058,440.59,100.0,99.0,4.721539e-05,100,-18.010986
-86.09346585400141,1988.7946,13.807491,0.86760587,245.19461,[-0.763 -1.141 -0.35  -0.742 -0.64 ],182.12509,-24.090864,-64.23811,0.7753421,10.0,13.733133,60,15.245824,6000,2711.3921732902527,0.49703863,,-14.359788,-20.636003,840.75854,119.15541,1307219,411.61,100.0,99.0,8.09564e-06,100,-17.160086
-98.10648639320243,31063.244,1.1817865,2.6905258,2197.9006,[-0.763 -1.15  -0.344 -0.731 -0.644],208.65439,-24.119408,-63.87453,0.7756728,10.0,9.560983,61,50.56503,6100,2800.5995030403137,0.8449661,,-11.883006,-17.499556,8731.983,894.4851,1354747,475.28,100.0,99.0,4.6955438e-07,100,-17.340603
-85.24124070591121,156399.48,4.2279477,1.8599532,4431.5806,[-0.765 -1.136 -0.33  -0.739 -0.643],425.00305,-21.337603,-62.842396,0.7790108,10.0,10.74646,62,34.622044,6200,2883.252305984497,0.70219296,,-9.637474,-15.324112,12329.858,1242.8855,1400406,456.59,100.0,99.0,3.4075885e-05,100,-14.427686
-83.43967144208436,96496.086,2.8460763,1.7086625,2520.8235,[-0.766 -1.135 -0.313 -0.75  -0.64 ],141.97075,-22.315805,-62.950462,0.775683,10.0,13.312846,63,63.328682,6300,2967.064300775528,0.60518384,,-10.911398,-16.898146,4842.9033,516.1071,1442226,418.2,100.0,99.0,2.786819e-05,100,-15.354612
-79.97435418932204,18989.992,14.585647,2.3386009,2127.3154,[-0.771 -1.137 -0.295 -0.752 -0.643],707.20807,-19.769276,-60.736614,0.77689475,10.0,10.115805,64,46.62155,6400,3053.2499017715454,0.8022758,,-8.737766,-14.568535,8648.787,909.31104,1486731,445.05,100.0,99.0,6.411089e-06,100,-12.806934
-82.30750369829165,31225104.0,-2.7068498,110.7391,716549.06,[-0.776 -1.127 -0.299 -0.767 -0.642],83102.39,-25.485664,-68.5157,0.7781171,10.0,16.008247,65,3857.764,6500,3120.424563407898,8.167414,,6.505342,8.900222,1561901.8,99004.48,1521063,343.32,100.0,99.0,4.0791527e-08,100,-18.534384
-71.49242284542535,22827.164,-0.26147455,1.9671013,1378.7106,[-0.774 -1.127 -0.315 -0.744 -0.641],168.24823,-20.962263,-60.884167,0.7902028,10.0,11.680544,66,56.627934,6600,3201.685455799103,0.69987607,,-10.439799,-16.918211,3676.83,416.31458,1563924,428.61,100.0,99.0,3.0849038e-05,100,-13.891317
-82.77593937003253,14585.732,4.6914477,1.4050045,821.3715,[-0.778 -1.119 -0.299 -0.751 -0.629],163.05026,-20.116034,-52.224953,0.7950853,10.0,9.776785,67,25.042183,6700,3283.548875808716,0.75151217,,-9.608486,-16.000406,2185.843,269.18445,1605932,420.08,100.0,99.0,1.6157659e-05,100,-13.036326
-73.0067747226683,94188.42,9.883566,0.8926221,2390.399,[-0.785 -1.108 -0.287 -0.758 -0.624],146.55228,-22.236372,-63.923317,0.79374635,10.0,15.019948,68,16.54863,6800,3358.5043375492096,0.5641914,,-10.671995,-17.115568,1873.3519,219.00352,1642495,365.63,100.0,99.0,0.00026342442,100,-15.01079
-75.59337290853603,80954.95,1.1088743,0.9011629,2194.68,[-0.791 -1.105 -0.309 -0.749 -0.625],281.7546,-23.27866,-66.49478,0.79588586,10.0,16.4122,69,13.767131,6900,3429.012111902237,0.5718297,,-11.562103,-17.913734,3900.4756,385.6013,1678868,363.73,100.0,99.0,8.199357e-05,100,-16.092163
-72.95736813121232,44903.574,6.4252915,2.2362635,1647.4166,[-0.788 -1.106 -0.327 -0.74  -0.623],594.2921,-22.786604,-62.775845,0.82519764,10.0,15.043395,70,50.75744,7000,3507.00261759758,0.76204985,,-10.418797,-16.917933,4406.8086,489.8472,1718008,391.4,100.0,99.0,1.3308577e-06,100,-15.552525
-83.87804987640125,36325.168,2.8874974,1.3171282,1363.291,[-0.839 -1.163 -0.354 -0.782 -0.594],232.10434,-21.866592,-63.123222,0.80436087,10.0,12.600245,71,35.431534,7100,3579.0162625312805,0.5401969,,-10.121018,-16.418587,3089.0469,305.69324,1755558,375.5,100.0,99.0,1.260172e-05,100,-14.447884
-85.11666730567748,292.98108,4.7735605,3.202634,37.93344,[-0.824 -1.151 -0.368 -0.775 -0.615],293.5019,-25.265676,-70.32993,0.8304189,10.0,17.333887,72,56.19971,7200,3648.24818444252,1.1277125,,-14.891767,-22.004948,98.488174,17.615894,1788221,326.63,100.0,99.0,0.00035427336,100,-18.067642
-74.08819264335781,11201.029,1.8928925,1.0347433,1109.517,[-0.84  -1.16  -0.37  -0.767 -0.589],382.08255,-22.252441,-67.50434,0.8253861,10.0,13.331926,73,28.383366,7300,3730.8842725753784,0.54275435,,-10.947785,-17.619987,3760.8062,439.5547,1828953,407.32,100.0,99.0,1.2719951e-05,100,-14.684266
-88.03082346906716,44325.867,-0.29431698,2.6694891,2063.898,[-0.834 -1.154 -0.359 -0.783 -0.594],581.5423,-27.174166,-72.38893,0.8206516,10.0,17.227884,74,49.72938,7400,3796.524562358856,0.83301216,,-13.065189,-19.165842,4486.347,431.4512,1859515,305.62,100.0,99.0,3.876775e-05,100,-19.794827
-92.24365376745568,18635.645,10.813767,0.82338613,1170.0157,[-0.824 -1.149 -0.376 -0.782 -0.598],279.06085,-29.826834,-62.48322,0.82163125,10.0,16.80515,75,13.094902,7500,3853.6963064670563,0.45820192,,-12.5522175,-18.557903,2653.243,287.61072,1885888,263.73,100.0,99.0,4.148014e-05,100,-22.536694
-78.29128973279438,22200.428,4.6855817,1.513084,1306.4866,[-0.823 -1.158 -0.37  -0.767 -0.597],496.17136,-21.495632,-66.54089,0.80682945,10.0,14.124864,76,37.011105,7600,3930.965213060379,0.74921304,,-11.753824,-18.326525,2958.298,319.42392,1924430,385.42,100.0,99.0,9.346824e-08,100,-14.057089
-73.50437832536055,8353.84,10.904131,1.6586704,432.54294,[-0.831 -1.142 -0.352 -0.766 -0.612],651.2336,-22.155142,-64.29935,0.8129852,10.0,15.238979,77,29.76742,7700,4006.78609418869,0.8217598,,-13.356945,-20.160376,1057.0673,139.70268,1961904,374.74,100.0,99.0,2.9456492e-05,100,-14.817062
-80.68131137735118,118659.51,6.8972793,3.40111,3397.8381,[-0.835 -1.132 -0.337 -0.773 -0.606],1138.2936,-23.319939,-70.33703,0.79414654,10.0,17.12068,78,103.73707,7800,4071.9305939674377,0.8354864,,-5.85515,-11.365753,7686.002,799.89905,1995286,333.82,100.0,99.0,6.6671043e-07,100,-15.991598
-84.84118282682338,14703.382,5.8474,1.3612013,890.99524,[-0.881 -1.049 -0.35  -0.729 -0.625],288.72418,-27.433233,-68.22073,0.79428,10.0,19.432917,79,23.396534,7900,4130.254724264145,0.67798877,,-13.9808445,-19.963776,2328.5273,228.4675,2023917,286.31,100.0,99.0,2.2131182e-05,100,-20.334602
-75.4884534044071,4678.4395,7.2061563,1.1623952,458.79944,[-0.887 -1.055 -0.339 -0.717 -0.625],326.95874,-21.329731,-70.29595,0.7929307,10.0,16.796196,80,17.094015,8000,4203.724327802658,0.69978017,,-11.647416,-18.147665,1355.9961,166.97826,2058457,345.4,100.0,99.0,0.00011090883,100,-14.136854
