EpRewMean,Iteration,MeanEntropy,ReturnMeanIW,MinD2w0t,MeanIW,MeanD2w0t,InitialReturnMax,InitialBound,InitialReturnMean,TimestepsSoFar,InitialReturnMin,TimeElapsed,MinIW,J_sample_variance,StdIW,Bound,Weights,StdD2w0t,EpThisIter,ReturnStepMaxmin,ReturnStepMax,EpLenMean,InitialReturnStd,EntropyCoefficient,MaxIW,EpisodesSoFar,MaxD2w0t,EmpiricalD2
-110.34796191407331,22,1.2215798,-44.91911,,0.45465937,3.325191,-84.73825,-81.67243,-93.41344,37543,-97.27324,280.6556758880615,0.000101650636,4383.8013,0.77790385,-42.098633,[-0.695  0.726 -0.486  0.506 -0.161],64.00433,100,99.436745,100.0,18.73,2.8733485,10.0,15.875434,2200,3560.1094,269.95654
-109.54678900431821,23,1.2049536,-32.49302,,0.30222628,3.721604,-82.34229,-82.1581,-93.56954,39316,-97.70913,292.83074259757996,1.2055176e-05,4460.123,0.7512089,-33.923088,[-0.713  0.74  -0.498  0.378 -0.197],57.474857,100,99.449684,100.0,17.73,2.7981231,10.0,9.961726,2300,3366.4321,715.2999
-110.54314349963579,24,1.2309879,-63.465385,,0.6602697,0.3572381,-84.68082,-82.545074,-93.763275,41167,-99.32039,305.41742730140686,0.004136572,16139.974,1.5237625,-56.403736,[-0.787  0.749 -0.393  0.406 -0.214],8.785531,100,99.43509,100.0,18.51,2.6332982,10.0,14.148797,2400,1083.4829,71.09201
-110.32872169287906,25,1.2542685,-90.69309,,0.9617177,0.037668217,-85.148796,-82.48016,-93.925575,42979,-97.59635,316.21719098091125,0.26851016,529.7379,0.2584582,-79.091896,[-0.74   0.792 -0.438  0.463 -0.188],0.19468658,100,99.44532,100.0,18.12,2.4815254,10.0,2.4151952,2500,1.8285966,1.0761153
-110.24316078863845,26,1.2690129,-45.634087,,0.45048,3.942763,-84.61543,-82.22531,-93.932724,44780,-98.79307,326.1611707210541,0.00031556623,12818.756,1.2640333,-43.40839,[-0.788  0.8   -0.444  0.481 -0.165],91.86253,100,99.445526,100.0,18.01,2.534792,10.0,10.534047,2600,11396.609,941.0655
-109.77767418021453,27,1.2161837,-38.162468,,0.37129375,5.187091,-86.97838,-81.65104,-93.48103,46586,-98.87246,337.5350477695465,3.8998937e-06,9082.16,1.0533724,-35.184586,[-0.752  0.922 -0.433  0.448 -0.15 ],140.94373,100,99.40523,100.0,18.06,2.7399797,10.0,10.561695,2700,13600.053,885.0927
-109.39577332176577,28,1.196803,-67.62279,,0.6945162,0.4600444,-82.32412,-82.24565,-93.67411,48330,-97.66468,350.8030982017517,0.0006827235,5766.6675,0.90150464,-60.685917,[-0.728  0.997 -0.425  0.352 -0.203],20.504286,100,99.412926,100.0,17.44,2.75978,10.0,25.426912,2800,3757.0203,84.90228
-109.34459659394253,29,1.2353455,-47.760956,,0.47153074,0.8214432,-83.413,-82.187584,-93.29366,50115,-98.12917,364.6880977153778,0.0047983862,17611.777,1.4310638,-41.333416,[-0.664  1.079 -0.36   0.422 -0.222],10.827956,100,99.349205,100.0,17.85,3.0967994,10.0,14.170278,2900,427.41663,111.70327
-110.80137842812903,30,1.28945,-52.891132,,0.5326587,4.2871227,-83.89385,-82.85405,-94.43086,51913,-99.2729,376.56621289253235,4.863632e-05,10020.233,1.1614019,-50.79193,[-0.687  1.064 -0.297  0.456 -0.184],112.83332,100,99.37238,100.0,17.98,2.5247052,10.0,17.98497,3000,11258.508,993.8798
-110.14448439765272,31,1.2949293,-53.290318,,0.53082484,2.949296,-88.51991,-82.18872,-94.26123,53664,-98.306076,389.9708790779114,0.0003504782,5329.873,0.832544,-47.973206,[-0.657  1.13  -0.335  0.42  -0.13 ],64.43546,100,99.42536,100.0,17.51,2.328655,10.0,33.613598,3100,3631.874,386.7468
-108.37027845729382,32,1.1751891,-24.405575,,0.2113741,2.0059526,-83.58656,-81.27115,-93.51216,55320,-98.34102,402.29061818122864,2.952952e-08,2129.8423,0.634979,-21.279938,[-0.658  1.144 -0.385  0.324 -0.124],31.958492,100,99.38407,100.0,16.56,2.6181674,10.0,25.782064,3200,1807.1528,538.9639
-109.46620061306236,33,1.0799665,-66.51119,,0.6908846,0.3453189,-86.04013,-81.99042,-92.91293,57165,-97.35626,417.30220341682434,1.3780888e-06,25046.33,1.8023499,-62.339478,[-0.737  1.01  -0.389  0.328 -0.244],10.837126,100,99.36291,100.0,18.45,2.6034074,10.0,48.80753,3300,1550.5145,72.526245
-108.92104627502269,34,1.0809367,-70.902374,,0.7442517,0.14761804,-83.66757,-83.354416,-93.39855,58895,-97.5928,431.86954617500305,0.004924672,5640.4116,0.8636502,-63.332947,[-0.783  0.922 -0.38   0.293 -0.339],2.435254,100,99.39662,100.0,17.3,2.4768748,10.0,8.007584,3400,212.58727,9.608164
-108.73674621776239,35,1.1220369,-42.082176,,0.4142758,2.8933375,-84.409485,-83.33735,-93.36941,60607,-97.590904,446.2453098297119,0.00039248777,6367.9937,1.0613189,-41.408096,[-0.809  0.926 -0.358  0.21  -0.338],49.32927,100,99.36178,100.0,17.12,2.7666829,10.0,64.424194,3500,2615.473,751.1085
-108.87251329128439,36,1.106308,-63.151787,,0.6648844,0.19705895,-83.27372,-82.813286,-93.25537,62349,-97.766754,457.5301878452301,0.00054367934,7376.1226,0.96991205,-57.006226,[-0.737  0.956 -0.412  0.196 -0.297],6.1878524,100,99.391205,100.0,17.42,3.0069466,10.0,6.8524036,3600,1042.0181,38.28785
-107.92457523977946,37,1.0338389,-51.510242,,0.51665205,1.1684935,-82.64979,-82.61002,-92.9016,64031,-97.2824,472.5483419895172,6.297166e-05,4561.7915,0.76391673,-49.892395,[-0.798  0.924 -0.373  0.124 -0.313],17.555584,100,99.37926,100.0,16.82,2.7261798,10.0,12.748259,3700,816.4102,105.17502
-108.27859433486205,38,0.97278154,-70.349846,,0.74249095,0.09156184,-83.71467,-83.59594,-93.1327,65723,-97.05149,486.1961224079132,0.011084836,5395.7153,0.8338884,-65.14818,[-0.824  0.939 -0.399  0.041 -0.385],3.6831858,100,99.41384,100.0,16.92,2.5430372,10.0,4.756693,3800,607.72723,10.446081
-108.3760615726631,39,0.93509924,-60.320507,,0.6188962,0.9957178,-82.9287,-84.45396,-93.42213,67390,-97.77018,499.7745578289032,0.00014179856,6536.254,0.92645866,-55.0795,[-0.803  0.989 -0.403  0.089 -0.446],32.45631,100,99.39606,100.0,16.67,2.654021,10.0,11.239902,3900,3420.0881,135.62627
-108.55631095914868,40,0.91731685,-74.00343,,0.7814302,0.0808815,-83.01643,-85.29193,-93.92414,69014,-97.53483,511.53881096839905,0.008133102,4456.556,0.75168294,-66.09798,[-0.813  0.954 -0.415  0.159 -0.484],1.5315508,100,99.34733,100.0,16.24,2.6907527,10.0,6.529685,4000,135.03233,9.3879
-107.87105467567197,41,0.9659465,-67.72518,,0.7147395,0.4519933,-84.40412,-85.276794,-93.76433,70586,-97.37093,522.6954832077026,0.00044475347,17003.465,1.4658887,-62.24641,[-0.778  1.01  -0.377  0.169 -0.502],7.4692993,100,99.377975,100.0,15.72,2.1591763,10.0,18.772394,4100,530.15405,66.46885
-108.80680535166563,42,0.92023695,-50.847893,,0.5210798,1.9009749,-81.75331,-84.736694,-93.61836,72275,-97.54641,534.9791967868805,2.1271459e-05,22204.602,1.6789966,-52.332207,[-0.736  1.009 -0.444  0.2   -0.453],32.43787,100,99.349106,100.0,16.89,2.8524795,10.0,20.026588,4200,2038.9313,397.8121
-108.18184148123309,43,0.8881492,-21.865326,,0.19226696,1.3211454,-83.1624,-85.03988,-93.52595,73910,-97.29947,548.3871304988861,1.5803158e-05,909.6904,0.4047334,-20.197739,[-0.688  1.018 -0.514  0.183 -0.499],20.173105,100,99.355034,100.0,16.35,2.7980845,10.0,18.973965,4300,931.5934,325.676
-108.27006492005877,44,0.91618764,-44.159378,,0.44661897,3.3226721,-86.06666,-85.44424,-93.5999,75544,-97.27964,561.4860537052155,7.539704e-05,11185.606,1.2607743,-48.5236,[-0.645  1.088 -0.528  0.178 -0.531],59.294933,100,99.354256,100.0,16.34,2.768894,10.0,57.89044,4400,4108.1196,1019.1228
-109.1750622137979,45,0.84926295,-31.67014,,0.29803514,3.31262,-81.65921,-84.994705,-93.29088,77311,-97.41068,572.125470161438,1.1394322e-06,3774.434,0.7141262,-34.744946,[-0.705  1.02  -0.514  0.177 -0.503],67.171555,100,99.37733,100.0,17.67,3.0636451,10.0,17.680233,4500,4541.0767,738.08594
-108.23966862342947,46,0.8541472,-68.16517,,0.70081204,1.7105457,-84.03744,-85.93164,-93.71683,78928,-97.59148,588.7553713321686,0.00025162613,7172.1978,0.9615601,-66.589905,[-0.673  1.103 -0.508  0.147 -0.57 ],50.679237,100,99.3795,100.0,16.17,2.5261989,10.0,12.751006,4600,5648.6216,189.25595
-108.4191387023243,47,0.8378524,-27.668741,,0.25898156,3.0350885,-87.174126,-85.85962,-93.67427,80568,-97.13523,600.6902215480804,9.002192e-05,2262.7515,0.5754104,-30.332458,[-0.666  1.074 -0.516  0.22  -0.565],51.32089,100,99.36565,100.0,16.4,2.4212108,10.0,10.889347,4700,2794.768,860.48267
-107.71820335926874,48,0.7568367,-28.021059,,0.24809586,3.9067757,-83.43441,-85.562126,-93.266174,82184,-98.37511,611.3802015781403,2.6841167e-07,5304.718,0.85483605,-31.775925,[-0.637  1.162 -0.52   0.223 -0.581],66.66504,100,99.3698,100.0,16.16,2.659374,10.0,65.00693,4800,2916.0115,1213.6122
-107.787970913008,49,0.76371384,-30.242172,,0.2825129,2.5352259,-86.02112,-86.113014,-92.95016,83846,-97.37004,623.1349534988403,9.6092954e-05,2649.3586,0.61487234,-33.64748,[-0.562  1.244 -0.516  0.219 -0.662],42.31261,100,99.39929,100.0,16.62,2.3236277,10.0,22.999683,4900,1982.156,697.13055
-108.14131302916563,50,0.74614424,-51.97941,,0.5343716,4.448637,-87.023125,-86.92915,-93.77905,85446,-97.236465,633.1607410907745,5.3046268e-05,11028.26,1.2035761,-56.224354,[-0.59   1.197 -0.482  0.215 -0.655],97.79504,100,99.36749,100.0,16.0,2.308828,10.0,10.080265,5000,7152.945,712.4838
-107.76774206665334,51,0.7344295,-68.0654,,0.7039257,1.5214518,-86.58244,-86.94829,-93.73493,87013,-97.36195,643.2235465049744,1.4543565e-05,17179.734,1.4944551,-68.58864,[-0.59   1.172 -0.453  0.26  -0.673],28.058323,100,99.35248,100.0,15.67,2.270379,10.0,46.472866,5100,1950.0404,189.58168
-108.39504951776046,52,0.7782786,-38.945812,,0.38284346,0.90313977,-86.83748,-87.55134,-94.168976,88592,-97.46806,655.7461814880371,0.0015419461,1923.6185,0.50288194,-38.180237,[-0.564  1.174 -0.454  0.184 -0.684],14.229066,100,99.374565,100.0,15.79,2.255834,10.0,9.177072,5200,1187.6122,231.66934
-108.07432414101842,53,0.77929944,-38.381767,,0.37879723,4.8670955,-87.10886,-86.73525,-93.87431,90172,-97.78823,667.5184545516968,2.5055204e-05,2199.7969,0.54258215,-39.319958,[-0.507  1.197 -0.49   0.19  -0.641],240.94212,100,99.38325,100.0,15.8,2.2238097,10.0,7.1975408,5300,24661.156,1718.1954
-108.0431207247792,54,0.7713191,-67.38631,,0.7135805,0.50052696,-83.452515,-86.20344,-93.309685,91816,-97.33947,681.8406987190247,8.472667e-06,5740.9663,0.8747031,-62.794582,[-0.577  1.127 -0.506  0.107 -0.64 ],26.892012,100,99.36276,100.0,16.44,2.883335,10.0,7.3537045,5400,3353.0422,146.24142
-108.49941080157784,55,0.77788264,-45.547276,,0.46008435,6.6523743,-85.915596,-86.55272,-93.59717,93474,-97.69525,696.4250452518463,0.00012311064,17017.113,1.5151727,-51.293575,[-0.611  1.057 -0.547  0.079 -0.648],186.31824,100,99.37158,100.0,16.58,2.4724333,10.0,26.386284,5500,28512.602,1889.453
-107.72728599604551,56,0.7781541,-61.451385,,0.6540479,1.1337318,-82.464745,-86.43759,-93.53168,95058,-97.663,710.7287788391113,0.0004020257,5010.4985,0.82350653,-59.07271,[-0.57   1.136 -0.54   0.065 -0.641],42.97833,100,99.37866,100.0,15.84,2.7973287,10.0,8.305534,5600,4895.9487,91.63556
-108.35271491259488,57,0.77929944,-64.00903,,0.67196435,0.37941712,-84.03537,-86.5892,-93.6357,96698,-97.74459,723.7569415569305,0.00048347312,14506.033,1.3553555,-60.493557,[-0.567  1.155 -0.473  0.021 -0.641],4.999851,100,99.382034,100.0,16.4,2.4045107,10.0,13.448453,5700,360.24078,36.140564
-107.81800819240537,58,0.9127625,-55.72371,,0.582522,0.82099044,-85.16863,-86.34963,-93.46752,98299,-97.299736,737.4800043106079,0.010896301,5012.834,0.7999757,-54.11207,[-0.538  1.14  -0.54   0.041 -0.64 ],12.271027,100,99.39243,100.0,16.01,2.3721716,10.0,5.881903,5800,1115.4604,92.84916
-108.04714250610323,59,0.8932093,-78.78501,,0.8457782,0.2425617,-80.96833,-84.8301,-93.261086,99950,-97.6049,754.4594259262085,0.00032719108,5498.379,0.8602533,-71.7435,[-0.561  1.132 -0.604  0.048 -0.506],7.4855027,100,99.35205,100.0,16.51,3.083172,10.0,6.085438,5900,988.5628,39.810673
-108.06140764506289,60,0.88817286,-51.363186,,0.5258069,4.7622943,-81.749405,-84.93895,-93.194405,101610,-97.18367,765.7136640548706,7.0353776e-06,24442.69,1.7688493,-56.138725,[-0.612  1.089 -0.652  0.066 -0.526],81.75673,100,99.36304,100.0,16.6,2.80819,10.0,22.976154,6000,4218.1772,1196.1248
-108.24282911274767,61,0.89742744,-54.349026,,0.5604714,2.3091254,-81.65963,-85.072014,-93.17276,103293,-97.2492,779.4296803474426,0.00012923102,4780.697,0.7613277,-53.388687,[-0.64   1.043 -0.611  0.079 -0.531],47.60096,100,99.35123,100.0,16.83,3.066679,10.0,7.9237742,6100,3293.8003,254.449
-108.05929927052232,62,0.88817245,-49.016277,,0.502791,0.61540556,-82.41045,-84.79839,-93.02312,104975,-97.27568,791.764817237854,0.00013081272,8325.203,1.0374094,-47.84077,[-0.644  1.085 -0.575 -0.009 -0.522],12.443736,100,99.35344,100.0,16.82,3.0535676,10.0,18.554844,6200,1764.1567,138.7858
-107.26343374534567,63,0.89212424,-42.643524,,0.42151266,4.4660306,-83.52832,-84.04934,-92.249275,106664,-96.812256,805.4743254184723,2.5035068e-05,8216.417,1.0244707,-43.844757,[-0.69   1.064 -0.52  -0.032 -0.531],85.48426,100,99.36116,100.0,16.89,3.1176,10.0,28.702963,6300,4820.012,930.5209
-108.15830057952085,64,0.9373295,-44.356693,,0.44935134,2.7279382,-82.100975,-84.62114,-92.808655,108383,-97.55989,819.0662441253662,0.00013869966,12813.651,1.3036044,-45.285213,[-0.714  1.014 -0.502  0.001 -0.527],75.67865,100,99.360916,100.0,17.19,3.3190615,10.0,14.366599,6400,11719.328,787.2023
-108.23439953064963,65,0.9459618,-45.49662,,0.4604047,1.6381769,-84.105095,-84.660034,-93.33548,110044,-97.20488,833.1237313747406,0.0009839633,6651.4727,0.9319062,-42.448948,[-0.651  1.093 -0.493 -0.005 -0.482],71.48487,100,99.359856,100.0,16.61,2.7169483,10.0,8.846001,6500,7854.9917,402.87335
-108.13069372657282,66,0.9589864,-56.130222,,0.58812004,0.6068763,-85.420204,-84.84443,-93.57915,111666,-97.366135,846.664000749588,0.0012688789,14383.699,1.3816301,-54.339893,[-0.6    1.123 -0.532  0.075 -0.473],10.150752,100,99.36829,100.0,16.22,2.4984553,10.0,18.344353,6600,1298.6676,86.990616
-108.2084085067609,67,0.96989083,-38.59957,,0.38100374,3.8559418,-86.36369,-84.97401,-93.829796,113266,-97.64252,860.0102112293243,4.5958048e-05,18701.197,1.5735594,-41.118523,[-0.582  1.12  -0.614  0.096 -0.46 ],70.47903,100,99.35299,100.0,16.0,2.3310313,10.0,18.96865,6700,5173.545,1324.3293
-108.11010750685402,68,0.91831815,-72.066765,,0.74719876,0.4642227,-85.86541,-85.073105,-94.07498,114828,-97.31225,874.7038750648499,4.1880353e-06,5587.1113,0.8250464,-67.38651,[-0.464  1.197 -0.608  0.095 -0.449],8.26896,100,99.387726,100.0,15.62,2.4412742,10.0,8.352929,6800,514.8654,35.923252
-108.02650069813366,69,0.90523195,-42.823906,,0.43872923,2.2336302,-83.78515,-84.93823,-93.40614,116461,-97.53596,887.1315150260925,9.267129e-06,12702.999,1.3450024,-43.884846,[-0.383  1.143 -0.643  0.175 -0.501],37.799843,100,99.394844,100.0,16.33,2.875397,10.0,43.867207,6900,1943.6007,495.23007
-108.31325790978235,70,0.89975786,-88.033424,,0.93435013,0.036697198,-88.00803,-85.60687,-93.9916,118052,-97.903625,901.3046424388885,0.058822267,1695.963,0.4631114,-79.766975,[-0.36   1.185 -0.686  0.16  -0.514],0.20587093,100,99.36117,100.0,15.91,2.312244,10.0,3.422162,7000,2.0985725,1.2752751
-107.914798175543,71,0.8798835,-77.97864,,0.8278894,0.08252246,-83.66923,-85.41445,-93.679955,119638,-97.49947,914.7643764019012,0.01148361,3820.5828,0.689262,-72.42653,[-0.289  1.176 -0.671  0.172 -0.519],1.8865736,100,99.367676,100.0,15.86,2.5988424,10.0,5.979496,7100,220.41257,8.804931
-108.21606843517115,72,0.9181343,-56.224487,,0.5896382,2.746225,-86.7877,-85.57898,-93.70022,121253,-98.20806,926.9870853424072,2.7177513e-05,6242.258,0.89848834,-54.08292,[-0.292  1.239 -0.64   0.218 -0.539],103.79206,100,99.368744,100.0,16.15,2.4590437,10.0,8.193509,7200,14559.313,482.29874
-108.50004135989712,73,0.910115,-48.27348,,0.4840023,5.51689,-83.71196,-85.45768,-93.90297,122875,-97.39832,941.753767490387,1.8684736e-06,8917.33,1.1885346,-49.877716,[-0.281  1.246 -0.709  0.296 -0.501],161.8954,100,99.40328,100.0,16.22,2.7267385,10.0,116.77446,7300,17389.094,1397.2573
-107.73909090645462,74,0.9179338,-36.59221,,0.36760095,3.2597888,-84.77506,-84.84784,-93.25433,124494,-97.79123,956.7022566795349,0.0001473877,4732.252,0.80363834,-40.289284,[-0.343  1.169 -0.732  0.344 -0.509],55.1755,100,99.42113,100.0,16.19,2.646998,10.0,14.559547,7400,3326.33,754.82697
-108.46918901581253,75,0.8776209,-60.06242,,0.6266441,0.55672204,-85.59156,-85.203064,-93.67347,126140,-98.06583,971.935225725174,0.00024145168,5283.022,0.81473124,-58.025887,[-0.327  1.21  -0.78   0.334 -0.501],10.163123,100,99.361984,100.0,16.46,2.6133695,10.0,11.140401,7500,1412.9852,57.316254
-108.06943653594391,76,0.867719,-77.10278,,0.8015797,0.26346034,-86.32262,-85.22858,-93.33869,127786,-97.640564,988.7329046726227,0.0014948267,6257.429,0.89982635,-71.10951,[-0.322  1.203 -0.817  0.446 -0.541],3.0018063,100,99.36266,100.0,16.46,2.4550195,10.0,35.313683,7600,116.77451,19.131088
-108.2477077624917,77,0.8497595,-43.08821,,0.42057782,2.2159767,-82.912766,-85.57978,-93.58978,129418,-97.524475,1001.9310414791107,7.4789e-06,10875.841,1.167979,-45.062416,[-0.317  1.199 -0.833  0.531 -0.551],38.11382,100,99.37824,100.0,16.32,2.6214266,10.0,36.12779,7700,1964.8832,445.6243
-107.86804777943968,78,0.78316474,-35.588806,,0.34806103,2.8893063,-84.95098,-85.52129,-93.35404,131039,-97.25179,1013.6301264762878,6.744536e-05,6756.9316,0.98533493,-39.639324,[-0.332  1.162 -0.795  0.554 -0.569],49.272705,100,99.371155,100.0,16.21,2.8544405,10.0,45.90963,7800,3565.1274,837.5845
-108.03277596455649,79,0.78852654,-67.26334,,0.7087489,0.19841519,-83.68153,-86.237915,-93.2284,132691,-97.596596,1027.9772913455963,0.00068760815,7713.773,0.98813355,-64.03528,[-0.38   1.116 -0.749  0.543 -0.636],3.67426,100,99.39332,100.0,16.52,2.58438,10.0,6.922535,7900,559.35913,16.002928
-108.50514903960212,80,0.7954007,-90.51361,,0.9702334,0.036984194,-82.71061,-86.01752,-93.19361,134399,-97.61981,1044.7114713191986,0.19280286,1848.3091,0.49997562,-83.31013,[-0.379  1.09  -0.758  0.473 -0.63 ],0.19735335,100,99.36392,100.0,17.08,2.8831983,10.0,4.2162223,8000,1.3717055,1.1985565
