J_sample_variance,InitialBound,StdIW,InitialReturnMean,EpRewMean,EpLenMean,EpisodesSoFar,Weights,TimestepsSoFar,MeanEntropy,TimeElapsed,EmpiricalD2,ReturnStepMaxmin,MeanD2w0t,ReturnMeanIW,EpThisIter,InitialReturnMax,Iteration,Bound,MeanIW,MaxIW,MinD2w0t,EntropyCoefficient,InitialReturnStd,MaxD2w0t,InitialReturnMin,MinIW,ReturnStepMax,StdD2w0t
78584.39,323.5997,0.58637065,-5.645752e-06,-108.60492481050518,16.95,1500,[-0.589  0.925 -0.66   0.203  0.226],25906,1.6280092,127.20157885551453,1.289525,86.54503,0.03627468,584.5992,100,11.287003,15,350.7746,1.0886767,3.0531363,,10.0,2.9638314,1.6120434,-4.447609,0.14791903,100.0,0.19444056
28625.588,275.81586,0.3625968,4.5776366e-07,-108.95209981265519,17.73,1600,[-0.66   0.914 -0.651  0.18   0.209],27679,1.6283169,136.20126128196716,1.1356484,87.10405,0.03689732,534.8762,100,11.19088,16,286.9211,1.0358557,2.7884798,,10.0,3.1301222,1.1855283,-4.635254,0.38753447,100.0,0.19261128
155065.75,291.74313,0.83499515,-1.0604858e-05,-109.42232690119695,17.84,1700,[-0.631  0.926 -0.656  0.173  0.209],29463,1.5252858,143.1763162612915,1.4670368,87.10943,0.044275444,605.7078,100,9.913147,17,328.59283,1.1862599,5.4935427,,10.0,2.8987024,2.5751905,-4.1624146,0.06446087,100.0,0.23261987
15823.995,282.60773,0.26574057,1.1444092e-06,-108.6952817362844,17.37,1800,[-0.621  0.927 -0.67   0.204  0.106],31200,1.5137513,151.20073795318604,1.0792439,86.86027,0.035659708,542.20886,100,9.880196,18,290.50333,1.0259792,1.8711419,,10.0,3.0289054,1.1306696,-4.6025925,0.49690273,100.0,0.18802418
106252.87,295.6727,0.6553202,-1.487732e-05,-109.13375367606048,17.2,1900,[-0.613  0.934 -0.681  0.209  0.095],32920,1.5004003,159.57583475112915,1.1271399,86.694176,0.037277106,571.40173,100,7.3652496,19,308.4748,1.0693817,6.460209,,10.0,2.5389726,1.7347151,-3.728447,0.37478614,100.0,0.19822839
9664.951,303.1481,0.20145275,-1.0147095e-05,-108.12040804594422,17.11,2000,[-0.639  0.955 -0.653  0.18   0.081],34631,1.4990286,167.0964479446411,1.0523934,86.76003,0.035048094,550.74365,100,10.567215,20,314.91974,1.0316441,1.6188568,,10.0,3.081701,1.1331605,-5.0458374,0.59096736,100.0,0.18624806
6628.6987,266.65906,0.17056549,-1.8310546e-06,-108.721681642781,17.74,2100,[-0.615  0.94  -0.674  0.182  0.08 ],36405,1.4729835,174.23745131492615,1.0300629,87.115524,0.03608935,530.7766,100,9.97435,21,275.4787,1.0302808,1.5053377,,10.0,2.750079,1.1090736,-4.76947,0.595104,100.0,0.1881786
6769352.5,300.3362,5.235807,9.155273e-07,-108.15054161075517,16.79,2200,[-0.6    0.938 -0.672  0.186  0.054],38084,1.5625253,181.71767663955688,6.448988,86.47891,0.095957,901.5879,100,11.145897,22,425.71976,1.7010765,54.60591,,10.0,2.9292817,19.752752,-4.484291,0.015168335,100.0,0.7137327
2794.7834,333.42773,0.10934323,-1.7547608e-06,-108.30243386310542,16.96,2300,[-0.643  0.919 -0.666  0.246  0.144],39780,1.5589272,191.6730191707611,1.0151867,86.62606,0.03409999,544.59344,100,8.170662,23,335.48618,1.006655,1.3360063,,10.0,3.007239,1.04344,-4.236397,0.68122673,100.0,0.18198209
10066917.0,330.25247,6.5197854,9.155273e-07,-108.71325125039195,16.89,2400,[-0.635  0.925 -0.665  0.257  0.14 ],41469,1.554687,199.2616949081421,9.378644,86.51413,0.12801579,985.50397,100,12.693764,24,535.98425,1.9001689,67.417404,,10.0,3.2383707,66.911255,-4.1773605,0.009450741,100.0,1.2411307
95333.11,359.38492,0.57569367,1.3961792e-05,-108.71695330272185,16.55,2500,[-0.669  0.85  -0.727  0.366  0.136],43124,1.5926919,207.24469804763794,1.2338281,86.242195,0.037822183,594.1602,100,5.8271103,25,376.29034,1.0633357,4.2528663,,10.0,2.1644175,2.0704722,-3.77417,0.27258682,100.0,0.20588954
43403.617,300.06436,0.45582223,7.2479247e-06,-108.96911411188532,17.34,2600,[-0.663  0.833 -0.762  0.41   0.174],44858,1.5611136,214.84400177001953,1.1365238,86.79615,0.03641025,551.43036,100,10.320419,26,309.06924,1.0464689,3.620623,,10.0,3.4160266,1.2683523,-4.5135803,0.319932,100.0,0.19228873
11242737000.0,332.17548,216.36906,8.392334e-07,-108.64289563045305,16.83,2700,[-0.734  0.848 -0.754  0.424  0.142],46541,1.6695614,222.93775153160095,1739.0394,86.487465,10.62511,10978.206,100,10.923431,27,6465.5586,22.16743,2204.847,,10.0,2.9051235,23131.27,-4.0254745,0.0038797695,100.0,260.01804
12873177.0,287.69803,7.2744927,-7.6293944e-08,-109.05429104980654,17.46,2800,[-0.714  0.918 -0.749  0.306  0.251],48287,1.6373091,237.32945847511292,8.654782,86.87003,0.18794106,1210.1018,100,12.246269,28,642.2727,2.3582308,57.172333,,10.0,3.5159454,120.69294,-4.5428696,0.0017858031,100.0,2.360759
88116.125,308.70892,0.5902702,2.4414062e-06,-108.58197377913999,17.36,2900,[-0.608  0.827 -0.877  0.427  0.218],50023,1.6478297,247.55952167510986,1.1989468,86.85809,0.03952933,595.64716,100,11.473091,29,354.0463,1.1320163,5.7951736,,10.0,3.1970994,1.9279728,-4.1860046,0.23208047,100.0,0.21033868
19933.494,327.54834,0.27819344,-4.5776366e-07,-108.28445473829825,16.8,3000,[-0.585  0.785 -0.936  0.454  0.229],51703,1.6109309,257.1311123371124,1.0972311,86.50104,0.035200853,570.6859,100,11.133423,30,342.85095,1.0464845,2.0457115,,10.0,3.0077186,1.1617422,-4.5269623,0.4373713,100.0,0.18888395
162036.69,364.04294,0.7969585,6.790161e-06,-107.61715094242703,16.3,3100,[-0.595  0.763 -0.95   0.468  0.192],53333,1.6087017,264.1884036064148,1.4996727,86.15935,0.036935445,613.1145,100,11.082199,31,389.76132,1.0945183,5.130102,,10.0,2.9728467,2.2989497,-4.3162766,0.07920037,100.0,0.2041368
45594.066,347.12234,0.42686227,-5.4931643e-06,-108.28865178693583,17.09,3200,[-0.639  0.754 -0.918  0.43   0.19 ],55042,1.6129589,273.7284953594208,1.1613253,86.69366,0.037174497,563.0087,100,10.453506,32,361.34506,1.0510602,3.1413832,,10.0,3.1762242,1.434764,-4.5316086,0.3115641,100.0,0.19832167
50849940000.0,349.07013,457.7272,3.8146973e-06,-107.75790117664164,16.63,3300,[-0.656  0.761 -0.903  0.385  0.194],56705,1.3482543,282.63244915008545,1654.0624,86.40214,11.553407,23743.031,100,10.078766,33,14795.993,47.809326,4659.7554,,10.0,3.2086053,55674.875,-4.5689926,8.736933e-14,100.0,520.8025
14448150.0,378.8506,7.2651324,3.890991e-06,-107.90269057066548,16.31,3400,[-0.642  0.7   -1.135  0.555 -0.071],58336,1.3155499,294.9650537967682,11.5134115,86.12358,0.15267746,1104.737,100,7.494438,34,585.8408,2.032654,83.7521,,10.0,2.5855691,62.008926,-4.4600296,0.0006664177,100.0,1.4967681
815708.2,380.01398,1.7051839,-6.1035155e-07,-108.25101345547026,16.23,3500,[-0.605  0.64  -1.133  0.617 -0.103],59959,1.2895445,305.4060170650482,2.5895004,86.072464,0.048156973,687.58777,100,7.4822693,35,437.0348,1.222365,26.082878,,10.0,2.7158105,12.024828,-4.1677704,0.008665675,100.0,0.30802664
1037537.1,377.67783,1.9428225,4.7302246e-06,-107.85270779407325,16.23,3600,[-0.597  0.599 -1.109  0.54  -0.129],61582,1.305756,314.94069647789,2.6262872,86.081726,0.05152659,680.87476,100,8.371147,36,413.96634,1.212757,16.67059,,10.0,2.7819247,4.4758954,-4.451271,0.045667905,100.0,0.30952114
4705707.5,381.9411,4.1699414,-1.3732911e-06,-108.49718167191402,16.3,3700,[-0.604  0.576 -1.091  0.563 -0.113],63212,1.3328935,322.9040746688843,3.1934156,86.05161,0.06233833,825.35785,100,6.5707245,37,526.8144,1.4898205,42.72133,,10.0,2.3252401,15.34883,-3.712288,0.038564906,100.0,0.41028428
689897.3,355.83295,1.651733,-6.790161e-06,-108.06300708942348,16.66,3800,[-0.631  0.706 -1.02   0.621 -0.086],64878,1.3339604,334.008661031723,2.8438098,86.38815,0.056434058,743.6682,100,8.418358,38,456.35284,1.3714081,12.212141,,10.0,2.7899017,7.436745,-4.6891937,0.019036027,100.0,0.35110864
214959.75,363.74454,0.8793134,7.6293946e-07,-108.41235492010736,16.5,3900,[-0.618  0.755 -1.004  0.579 -0.085],66528,1.4217839,344.05445981025696,1.5356095,86.254135,0.04265874,659.21765,100,8.848145,39,422.71558,1.1850069,6.856214,,10.0,2.721192,2.1965966,-3.3955078,0.36786088,100.0,0.23431793
34870.85,352.40305,0.3594454,-6.4849855e-06,-108.9593271934443,16.73,4000,[-0.59   0.767 -0.985  0.597  0.003],68201,1.4078354,353.2342953681946,1.1269546,86.36731,0.036066487,573.1364,100,10.886467,40,363.3366,1.0380242,2.3683946,,10.0,2.4444828,1.4014634,-4.0116196,0.42364335,100.0,0.1941762
1590140.6,357.16455,2.545834,2.2125244e-06,-108.3248863723597,16.68,4100,[-0.566  0.797 -0.953  0.576 -0.011],69869,1.3833499,361.3284204006195,3.3714533,86.401566,0.049863543,755.08594,100,9.304016,41,475.3816,1.4024422,20.591164,,10.0,2.894588,11.708244,-4.1216125,0.022723652,100.0,0.32321227
142677.53,296.2678,0.81849355,-2.5939942e-06,-108.8807852077972,17.69,4200,[-0.494  0.835 -0.969  0.633 -0.036],71638,1.3870918,370.86810851097107,1.6089286,87.06171,0.04126082,599.31964,100,7.700844,42,344.99188,1.1703941,4.968178,,10.0,2.8114321,2.0402365,-4.6664734,0.109101385,100.0,0.21847285
434988.8,351.4031,1.2100588,1.5716552e-05,-108.45299414126688,16.68,4300,[-0.528  0.826 -0.942  0.621 -0.032],73306,1.4224072,379.7290563583374,1.4085774,86.35954,0.044860166,670.99493,100,8.295708,43,418.84674,1.2202059,22.29658,,10.0,2.646825,3.78623,-3.99411,0.19957453,100.0,0.2588564
30872.62,281.9356,0.36226842,-2.7465821e-06,-109.16457700249335,17.52,4400,[-0.603  0.919 -0.88   0.636  0.003],75058,1.4053874,388.7665662765503,1.1567343,86.95085,0.038171876,566.50256,100,10.214714,44,308.83,1.0819256,2.269874,,10.0,2.9151285,1.4701982,-4.263443,0.27445605,100.0,0.20094053
27530.129,328.60458,0.32211247,-6.408691e-06,-108.59297025638405,16.63,4500,[-0.595  0.886 -0.901  0.662 -0.013],76721,1.4463983,397.5384781360626,1.1075644,86.3128,0.034799136,583.2641,100,8.319351,45,346.55417,1.0555556,2.68533,,10.0,2.712048,1.2381692,-3.6394424,0.5826831,100.0,0.18771054
105613.28,368.50958,0.60949266,1.1444092e-06,-108.20769165241646,16.08,4600,[-0.623  0.885 -0.898  0.653  0.028],78329,1.4600637,406.01357650756836,1.3363401,85.92391,0.037899632,648.8162,100,6.08445,46,414.8063,1.1367817,4.4482217,,10.0,2.2823324,2.0300992,-3.7307892,0.2476373,100.0,0.21071929
43721.535,292.90234,0.41724163,2.670288e-06,-108.9896370110512,17.51,4700,[-0.624  0.884 -0.914  0.71   0.041],80080,1.489805,415.53719830513,1.1422781,86.927925,0.037842426,554.19904,100,8.077576,47,309.7459,1.055223,3.450763,,10.0,2.9692202,1.4088922,-4.422783,0.4319682,100.0,0.19905105
251010.58,330.51157,1.020795,3.4332274e-06,-108.75040685752478,16.87,4800,[-0.665  0.911 -0.888  0.689  0.071],81767,1.4405404,424.5951166152954,1.792591,86.53407,0.04140377,612.3428,100,8.136772,48,359.01065,1.1340648,4.643036,,10.0,2.815088,2.0946224,-3.9919968,0.015962042,100.0,0.22615287
5710.3857,288.11884,0.15655908,-3.890991e-06,-109.24296235249587,17.68,4900,[-0.72   0.869 -0.898  0.7    0.022],83535,1.4126395,433.9744989871979,1.0328567,87.04745,0.036037274,530.1799,100,10.565346,49,293.6888,1.0198789,1.4702257,,10.0,3.1207492,1.0654154,-4.4736786,0.555272,100.0,0.18823561
27532.598,386.59933,0.30908203,-7.6293944e-08,-108.25919389416705,15.93,5000,[-0.718  0.864 -0.904  0.707 -0.006],85128,1.4122156,441.8726568222046,1.1025062,85.80205,0.032973014,611.59753,100,6.5577927,50,411.11707,1.0554875,2.5856128,,10.0,2.4423738,1.2519932,-3.8311005,0.30483794,100.0,0.18193471
6483.4087,298.32315,0.15922889,-1.6021728e-06,-108.75740938645677,17.0,5100,[-0.752  0.902 -0.904  0.728 -0.007],86828,1.4131987,448.66243171691895,1.0240724,86.5994,0.034493286,552.0697,100,7.092575,51,305.3378,1.0192678,1.7517046,,10.0,2.4760818,1.0948601,-4.1213455,0.591103,100.0,0.18388344
43802.22,336.6627,0.4119978,-9.841919e-06,-108.44757889230577,16.78,5200,[-0.775  0.916 -0.89   0.721 -0.006],88506,1.3510592,456.48246240615845,1.1427249,86.4302,0.036298968,592.0587,100,10.718552,52,364.94083,1.0844095,2.8843036,,10.0,2.7075257,1.3045859,-4.522461,0.21866351,100.0,0.19500148
1080533.6,313.13455,2.1673748,-3.2043456e-06,-108.72574156300517,17.11,5300,[-0.747  0.922 -0.873  0.713 -0.068],90217,1.3375094,465.45816373825073,3.5451565,86.66436,0.053180907,762.03076,100,8.182457,53,443.7154,1.4696108,12.81195,,10.0,2.5699902,8.961895,-3.9677963,0.01731716,100.0,0.3169726
41597932.0,324.67953,14.704238,-5.1879883e-06,-108.67061934851162,17.19,5400,[-0.826  0.864 -0.89   0.721 -0.081],91936,1.3475602,475.63340497016907,27.78979,86.73983,0.15646479,1393.8483,100,10.075729,54,687.6095,2.9260848,141.2049,,10.0,2.8255553,79.80702,-3.9485397,0.0010246749,100.0,1.645013
1073887.0,336.01703,2.1456509,-2.8991699e-06,-108.4809296710167,16.93,5500,[-0.921  0.796 -0.873  0.698 -0.071],93629,1.3320297,485.7703402042389,3.2398257,86.59157,0.05121452,695.03625,100,9.699898,55,408.73242,1.3118316,18.418667,,10.0,2.761688,4.271942,-4.2879486,0.015901564,100.0,0.30024368
1912.2599,322.09106,0.08535989,7.93457e-06,-108.56569759918304,16.9,5600,[-0.985  0.752 -0.871  0.706 -0.087],95319,1.3281235,495.5029535293579,1.0089252,86.5413,0.03400244,549.2308,100,8.012802,56,324.72882,1.0092713,1.3382336,,10.0,2.6056163,1.04049,-4.3498764,0.6821427,100.0,0.18180622
91782.44,288.12567,0.64443797,2.3651123e-06,-108.81492672598566,17.84,5700,[-0.993  0.75  -0.876  0.701 -0.091],97103,1.3079889,502.90192890167236,1.3198956,87.19937,0.042156827,577.6205,100,10.662621,57,318.16266,1.1346107,4.198577,,10.0,3.3288062,1.7762835,-4.65934,0.07344971,100.0,0.22222161
153032.67,332.49042,0.8171402,-3.8146973e-06,-108.73079844901343,17.05,5800,[-0.987  0.75  -0.863  0.729 -0.111],98808,1.2969737,512.4659287929535,1.5218635,86.62872,0.038827166,594.2942,100,6.273384,58,362.96033,1.1091088,5.1621733,,10.0,2.5716414,1.6730107,-3.661522,0.1333681,100.0,0.20884252
901070.9,341.13464,1.9935358,1.0986329e-05,-108.86585326012296,16.83,5900,[-1.006  0.712 -0.868  0.728 -0.122],100491,1.2524478,521.0873546600342,3.1406162,86.51904,0.05262015,691.5494,100,7.3596344,59,399.39612,1.2981074,16.542164,,10.0,2.334456,4.620113,-3.9670868,0.022540681,100.0,0.3080495
1195714.8,304.92,2.304584,6.3323973e-06,-109.38968295885773,17.47,6000,[-0.97   0.795 -0.833  0.719 -0.166],102238,1.2418265,530.0751254558563,3.545459,86.9032,0.06462707,689.0534,100,7.4708633,60,368.54926,1.3387675,17.212263,,10.0,2.5932956,8.861349,-4.0366745,0.031141188,100.0,0.40891862
5412140.5,390.91467,4.407402,3.6621093e-06,-108.53793710979141,15.9,6100,[-0.99   0.858 -0.827  0.693 -0.177],103828,1.1254888,538.6028761863708,8.035986,85.75123,0.080962695,901.02405,100,6.9304504,61,528.1039,1.5932894,36.302914,,10.0,2.2022605,40.4477,-3.7146683,0.0011591841,100.0,0.6934641
2546513.5,357.80786,3.200371,3.890991e-06,-108.1231224915926,16.48,6200,[-1.026  0.806 -0.801  0.635 -0.293],105476,1.0645682,549.7216575145721,4.585432,86.2618,0.056003075,862.48676,100,9.651207,62,541.9562,1.6128149,21.183846,,10.0,2.719572,10.945035,-4.223961,0.0067367167,100.0,0.37644878
282297440.0,317.35608,35.648823,-3.5095215e-06,-109.32169107946777,17.41,6300,[-0.974  0.845 -0.813  0.665 -0.354],107217,0.9656954,561.188574552536,81.97776,86.82593,0.5837438,2397.0718,100,7.310074,63,1478.7076,4.89248,361.56677,,10.0,2.710415,1060.7141,-3.9889755,7.829378e-06,100.0,12.190153
62768.965,325.47214,0.5120346,3.4332274e-06,-109.1275963750621,16.85,6400,[-1.065  0.796 -0.861  0.753 -0.453],108902,0.96471673,571.771187543869,1.202941,86.434845,0.035356607,579.0192,100,8.250725,64,340.5026,1.0625167,3.3919244,,10.0,2.493809,1.5378785,-3.2644958,0.22702049,100.0,0.18976207
344491.3,366.01474,1.1159328,-7.400513e-06,-108.2779330031431,16.33,6500,[-1.097  0.788 -0.86   0.743 -0.454],110535,0.9517967,578.8258583545685,1.491592,86.1806,0.041479167,642.1475,100,10.358391,65,401.90662,1.1436305,11.172389,,10.0,2.7179713,2.5845232,-4.0507584,0.13138218,100.0,0.23449486
3217.7961,333.78305,0.11079787,7.5531007e-06,-108.30783435297592,16.86,6600,[-1.104  0.792 -0.855  0.777 -0.467],112221,0.9321638,586.752555847168,1.0206361,86.55541,0.03413568,554.2932,100,7.5008087,66,340.72488,1.0179662,1.4361916,,10.0,2.8380487,1.0456021,-4.536278,0.6739341,100.0,0.18273488
259893.33,339.36984,1.0473233,-1.1444092e-05,-108.7417750827387,16.69,6700,[-1.091  0.791 -0.851  0.778 -0.487],113890,0.99361974,594.3117709159851,1.4521846,86.40144,0.03856587,623.0191,100,8.311508,67,378.4412,1.144406,7.285261,,10.0,2.3615756,1.9818158,-3.7663727,0.26002592,100.0,0.2090442
756401.44,358.41644,1.7117822,1.0223389e-05,-108.7513070564355,16.77,6800,[-1.072  0.814 -0.841  0.785 -0.425],115567,1.0032979,603.4644033908844,2.2550907,86.49977,0.05710823,729.00183,100,6.8449707,68,452.27365,1.3446925,15.64569,,10.0,2.4067292,6.4297066,-3.970787,0.042221755,100.0,0.3542435
1439548.6,292.007,2.545152,7.6293946e-07,-110.26930791653486,18.12,6900,[-1.049  0.819 -0.826  0.827 -0.416],117379,1.0136744,612.0792605876923,3.1379652,87.25052,0.07250213,681.095,100,9.883118,69,359.19382,1.3654742,20.500034,,10.0,2.7381022,11.337059,-3.746437,0.027741646,100.0,0.46690282
10943.014,289.06253,0.23060967,-5.340576e-07,-109.15798174259639,17.7,7000,[-1.054  0.769 -0.86   0.875 -0.405],119149,1.0224314,621.7533421516418,1.0571846,87.11329,0.03602441,534.18225,100,7.08799,70,297.8801,1.0303764,2.337203,,10.0,2.3967793,1.202181,-4.270363,0.50563467,100.0,0.18810745
15594.539,264.14008,0.2619011,-1.197815e-05,-109.49988173058567,18.03,7100,[-1.056  0.776 -0.865  0.885 -0.397],120952,1.0180584,629.9014854431152,1.065527,87.2604,0.03762189,527.43207,100,7.06678,71,274.03183,1.0362787,2.2561586,,10.0,2.5355654,1.2454233,-4.206604,0.41025496,100.0,0.19467607
3265186800.0,258.96985,145.3484,-1.5258789e-06,-109.90326274565574,18.61,7200,[-1.06   0.788 -0.85   0.869 -0.401],122813,0.97753835,638.0588598251343,32.4174,87.63747,0.95390713,6210.291,100,7.015938,72,2410.0815,15.27176,1543.5272,,10.0,2.4449859,1284.1921,-4.421623,0.0023433142,100.0,24.434694
4622616000.0,242.63144,156.46964,-3.7384034e-06,-110.18541551879918,18.86,7300,[-1.076  0.849 -0.772  0.905 -0.441],124699,0.8862395,650.207457780838,928.3973,87.85757,4.7659626,7176.427,100,6.918228,73,4428.013,16.345976,1593.0481,,10.0,2.5980072,15502.166,-4.0710907,1.0483752e-05,100.0,134.99449
2517386.0,251.64214,3.6713266,6.2561035e-06,-109.81574885587895,18.6,7400,[-1.042  0.941 -0.754  0.852 -0.533],126559,0.89047897,663.2497062683105,6.69843,87.58665,0.08656557,704.97876,100,10.236198,74,329.90018,1.4863951,31.354933,,10.0,2.6965287,29.165224,-5.045944,0.006306752,100.0,0.62642217
46692.523,284.72607,0.46137506,-5.340576e-07,-109.92296651161013,17.9,7500,[-1.096  0.916 -0.756  0.88  -0.528],128349,0.88627297,672.9667549133301,1.177002,87.167595,0.038425528,546.9431,100,9.548485,75,302.91727,1.0632632,2.9729543,,10.0,2.6468925,1.452208,-3.91922,0.2555899,100.0,0.199999
131953.73,310.45374,0.7937756,4.5776366e-07,-110.0251355758181,17.82,7600,[-1.074  0.907 -0.772  0.89  -0.533],130131,0.8730561,681.1390111446381,1.497013,87.14139,0.040172987,579.36273,100,7.3210526,76,343.99435,1.1269222,5.31921,,10.0,2.4371135,2.423255,-3.876213,0.04316843,100.0,0.21176608
9419.557,267.10504,0.21555656,-6.942749e-06,-110.67270859113817,18.48,7700,[-1.047  0.925 -0.77   0.914 -0.546],131979,0.8938976,689.6294252872467,1.0374806,87.47057,0.037628774,514.7099,100,6.2294464,77,276.39148,1.030725,1.987673,,10.0,2.300497,1.1396427,-4.0156326,0.6937984,100.0,0.19211458
1171353.5,259.22043,2.3826153,-1.5258789e-07,-110.46693444334592,18.28,7800,[-1.036  0.929 -0.767  0.915 -0.525],133807,0.8808508,698.6142008304596,3.7044446,87.379265,0.06937761,689.65497,100,8.472595,78,349.5409,1.4050603,15.374186,,10.0,2.5181644,12.979587,-3.7166214,0.011847308,100.0,0.45162773
895.902,259.88202,0.06414724,-2.4414062e-06,-110.0306175927488,18.14,7900,[-1.021  0.957 -0.761  0.882 -0.538],135621,0.881339,708.3981938362122,1.0043061,87.358185,0.03634839,509.89838,100,7.4671097,79,260.38782,1.0020086,1.1988267,,10.0,2.6059918,1.0142473,-3.8029327,0.8477888,100.0,0.18734437
148371.6,281.10297,0.8387183,2.1362305e-06,-109.83215302266817,18.36,8000,[-1.02   0.954 -0.762  0.884 -0.538],137457,0.8792216,716.2727065086365,1.4199866,87.47954,0.0440075,562.0953,100,6.241829,80,312.94315,1.1343882,6.0882387,,10.0,2.3433175,2.9049156,-4.3060913,0.16433114,100.0,0.23073162
