Weights,ReturnStepMaxmin,ReturnMeanIW,MinIW,MinD2w0t,TimestepsSoFar,ReturnStepMax,InitialReturnMax,MaxIW,MeanEntropy,J_sample_variance,StdD2w0t,InitialBound,InitialReturnStd,StdIW,EmpiricalD2,Bound,InitialReturnMean,Iteration,MeanD2w0t,MeanIW,EpisodesSoFar,MaxD2w0t,EpRewMean,TimeElapsed,InitialReturnMin,EpLenMean,EpThisIter,EntropyCoefficient
[-0.641 -0.877 -0.707 -0.906  0.033],92.88294,255.89645,0.29306495,,52835,100.0,40.149754,12.457388,1.4878573,36176.496,0.3072999,148.93094,12.535058,1.132997,1.2852367,169.2703,-3.6239624e-06,15,0.08387359,1.1735283,1500,1.8098507,-107.72252672061721,160.1533305644989,-16.707558,35.22,100,10.0
[-0.626 -0.836 -0.677 -0.885  0.069],92.16305,315.2737,0.05588944,,56027,100.0,40.84993,14.977091,1.5316678,89258.87,0.35739797,183.19238,10.380291,1.3263955,1.8516618,214.64648,7.705688e-06,16,0.0892845,1.2532036,1600,4.364788,-109.11798716359813,169.7298562526703,-14.119797,31.92,100,10.0
[-0.626 -0.778 -0.657 -0.884  0.113],92.857414,256.01355,0.08162949,,59558,100.0,42.284904,6.1717405,1.5165024,31027.969,0.34060743,151.77261,12.326063,0.95816875,1.5118737,165.61844,-2.5558472e-06,17,0.09182051,1.1716657,1700,2.7190032,-108.44744164717224,179.49346590042114,-15.097488,35.31,100,10.0
[-0.64  -0.727 -0.609 -0.858  0.097],92.71148,275.79636,0.122020334,,63008,100.0,43.92361,8.20706,1.5612156,38274.137,0.34290868,156.77473,11.931017,1.0070218,1.6845653,181.61533,2.4795531e-06,18,0.0916259,1.2070563,1800,2.6648717,-108.47898677744882,189.58389401435852,-14.782593,34.5,100,10.0
[-0.646 -0.744 -0.642 -0.88   0.142],92.723274,242.77374,0.29996642,,66452,100.0,53.5579,3.253746,1.5565379,6804.855,0.27619198,158.93163,13.2234535,0.4199775,1.1577158,165.34682,2.1743774e-06,19,0.07482421,1.0584384,1900,1.5326302,-108.09129122872336,200.9247908592224,-14.73455,34.44,100,10.0
[-0.619 -0.788 -0.648 -0.892  0.137],92.3219,269.25272,0.3460213,,69705,100.0,44.150578,8.975747,1.595396,18399.447,0.293307,179.0017,10.856227,0.6411686,1.2726513,189.03607,-2.9754638e-06,20,0.07642063,1.0845845,2000,2.1775227,-108.6202721066933,210.52324056625366,-13.705856,32.53,100,10.0
[-0.641 -0.74  -0.628 -0.874  0.176],92.30969,416.09067,0.019289736,,72969,100.0,38.20784,119.670296,1.591122,3855509.2,1.3614619,178.44359,10.637579,11.441922,10.870709,218.50311,-5.41687e-06,21,0.20527765,1.9422506,2100,93.91394,-109.18888631116228,220.25812315940857,-14.675522,32.64,100,10.0
[-0.672 -0.804 -0.634 -0.833  0.172],93.14388,236.20992,0.13325591,,76703,100.0,39.450752,6.0817013,1.5840839,16773.102,0.32046285,137.63727,11.412809,0.759579,1.4939102,149.77638,-7.133484e-06,22,0.08981182,1.1377562,2200,2.7763789,-109.33478812481918,231.32020139694214,-16.145416,37.34,100,10.0
[-0.668 -0.768 -0.622 -0.849  0.165],92.8114,248.9194,0.1666469,,80224,100.0,35.745903,6.1876473,1.5927926,23010.658,0.31611937,154.16881,11.384187,0.710981,1.3932931,163.79805,,23,0.08574178,1.0819682,2300,1.8870455,-108.95020921081412,241.430908203125,-15.28965,35.21,100,10.0
[-0.656 -0.803 -0.605 -0.869  0.174],93.46431,257.19016,0.07740635,,84183,100.0,32.718025,24.988453,1.6060526,86552.04,0.47790098,125.84122,11.45903,2.2437658,2.9397004,154.48512,7.6293944e-08,24,0.12960732,1.3761125,2400,5.309591,-109.5790848588205,253.57457494735718,-16.706528,39.59,100,10.0
[-0.682 -0.807 -0.608 -0.816  0.187],93.48061,205.9653,0.40109965,,88093,100.0,45.725574,2.8663135,1.6265785,3863.7588,0.28549492,122.459694,13.480321,0.41616267,1.1622324,127.77927,-9.117127e-06,25,0.083054364,1.0526543,2500,1.3168306,-107.90417835161594,263.0949568748474,-18.648735,39.1,100,10.0
[-0.701 -0.813 -0.604 -0.807  0.208],93.59282,221.51978,0.11068368,,92112,100.0,33.549145,7.2769003,1.6054922,20061.383,0.33154175,119.36987,12.649074,0.99629796,1.5569508,137.47269,9.536743e-07,26,0.09680151,1.1978035,2600,2.3322635,-108.65724837759082,273.4103248119354,-16.851067,40.19,100,10.0
[-0.749 -0.868 -0.639 -0.805  0.187],93.75711,196.64421,0.36090368,,96230,100.0,47.999886,2.6547306,1.6006844,4479.8745,0.30157667,111.35511,13.825763,0.37327605,1.127445,119.03053,1.6784668e-06,27,0.090177536,1.060408,2700,1.2838125,-107.95123558990086,284.28512835502625,-18.821411,41.18,100,10.0
[-0.716 -0.885 -0.617 -0.822  0.182],93.613846,225.42761,0.15413202,,100268,100.0,42.500652,14.246508,1.6693228,43095.953,0.3768846,115.40186,12.758962,1.4715048,1.6226268,130.22902,6.5612794e-06,28,0.1092777,1.2320229,2800,2.7033339,-108.74641859060179,293.5928874015808,-18.253365,40.38,100,10.0
[-0.694 -0.881 -0.603 -0.828  0.25 ],93.40731,5067.9565,0.003947169,,104121,100.0,36.334373,5449.032,1.7766545,2363550500.0,150.62157,126.98083,12.452998,501.9964,363.16772,3063.9587,5.41687e-06,29,4.75398,47.91335,2900,17950.785,-107.74410390894691,305.17483925819397,-16.073479,38.53,100,10.0
[-0.696 -1.011 -0.625 -0.834  0.358],93.924515,189.01755,0.12027483,,108403,100.0,41.903816,4.345136,1.7359778,6338.98,0.31528085,103.398834,11.798449,0.5476441,1.2046654,108.266174,2.4032593e-06,30,0.09616246,1.071858,3000,1.4154357,-108.66726980443167,320.5095753669739,-17.458038,42.82,100,10.0
[-0.674 -1.036 -0.618 -0.857  0.317],94.19699,192.56581,0.19923984,,112896,100.0,47.81665,9.902852,1.7847987,21371.562,0.38641918,92.90059,13.858447,1.2868043,1.6818969,104.855515,-7.2860717e-06,31,0.11867914,1.2351812,3100,2.6236577,-107.89960053929892,332.0167362689972,-18.850159,44.93,100,10.0
[-0.681 -1.01  -0.62  -0.868  0.366],94.03666,185.95177,0.49304423,,117281,100.0,41.485706,6.6258445,1.8200475,7944.1934,0.31329226,99.767944,12.73196,0.6683246,1.1897323,108.16521,-2.3651123e-06,32,0.096853085,1.1079619,3200,1.4897668,-108.82147054953847,343.83842277526855,-21.516792,43.85,100,10.0
[-0.631 -1.003 -0.606 -0.867  0.401],93.82254,579.40894,0.025097929,,121522,100.0,32.916145,323.32635,1.8975403,8553467.0,3.189658,107.24662,11.688152,27.1587,16.37669,276.541,-3.4332277e-07,33,0.5328137,4.58196,3300,173.00612,-109.78817958350278,353.7339150905609,-18.854385,42.41,100,10.0
[-0.648 -1.044 -0.546 -0.885  0.479],94.68499,149.4677,0.55978924,,126533,100.0,29.360424,1.9715996,1.8883343,878.0747,0.3098495,70.105965,12.5104,0.23954846,1.07757,73.68085,2.4414062e-06,34,0.103380516,1.0516905,3400,1.1286509,-108.1125615068029,367.2440493106842,-24.132843,50.11,100,10.0
[-0.664 -1.033 -0.542 -0.865  0.469],94.82977,150.30086,0.4490021,,131722,100.0,44.541245,3.2849152,1.9108764,4026.894,0.3377245,61.39828,13.433584,0.5113646,1.1483631,68.355064,-6.8664554e-07,35,0.114633635,1.1148044,3500,1.4227507,-108.19670293295613,379.23371148109436,-22.129845,51.89,100,10.0
[-0.624 -1.006 -0.507 -0.856  0.492],94.81786,149.18117,0.44788802,,136894,100.0,35.492214,6.165308,1.9436837,5381.591,0.33547708,59.87082,13.254282,0.66827565,1.1885321,65.06491,-1.9073486e-06,36,0.11362695,1.1011877,3600,1.5840931,-108.15013694132338,391.5218667984009,-25.893959,51.72,100,10.0
[-0.639 -0.996 -0.499 -0.842  0.525],94.827255,145.3997,0.42159855,,142070,100.0,35.256573,3.7245812,1.9258448,2923.8345,0.32700676,60.6531,14.192819,0.45289877,1.104467,64.183624,-4.8828124e-06,37,0.11095381,1.0602065,3700,1.3726408,-107.99058112402831,403.95305490493774,-23.562881,51.76,100,10.0
[-0.622 -0.961 -0.468 -0.838  0.507],95.05217,139.59723,0.19795658,,147485,100.0,39.848194,3.6413643,1.9098372,3633.1572,0.35016197,54.64949,14.780904,0.53444433,1.2467023,59.844475,-4.4631956e-06,38,0.121604376,1.090957,3800,1.4472101,-106.88761412421434,416.7065522670746,-24.88948,54.15,100,10.0
[-0.609 -0.956 -0.449 -0.813  0.491],95.12793,129.07254,0.56869125,,153075,100.0,31.413746,2.0744436,1.9306651,806.95734,0.32647783,51.00287,12.365283,0.26071137,1.0634146,53.278355,1.5258789e-07,39,0.11578846,1.0436777,3900,1.1299165,-108.22439163951934,428.9825325012207,-25.296715,55.9,100,10.0
[-0.595 -0.967 -0.45  -0.815  0.512],94.79951,142.33827,0.5084791,,158230,100.0,34.66009,2.2652626,1.9479303,823.8275,0.31399485,65.74176,13.391712,0.26933858,1.06755,67.61522,-1.6784668e-06,40,0.10642921,1.0328058,4000,1.1232393,-108.26791628053334,441.57032346725464,-24.73835,51.55,100,10.0
[-0.586 -0.973 -0.454 -0.828  0.529],95.15778,129.41197,0.5373746,,163791,100.0,43.16869,2.5517056,1.9303364,1028.053,0.3265512,46.209213,14.319505,0.24826725,1.0563552,49.18417,-5.722046e-07,41,0.11548012,1.0513524,4100,1.1726243,-106.83289836995633,454.67340183258057,-26.141014,55.61,100,10.0
[-0.564 -0.964 -0.436 -0.831  0.511],95.024994,147.16173,0.29695618,,169185,100.0,47.88824,3.600185,1.9094315,3816.4246,0.3545966,53.955204,12.88841,0.51423264,1.2082268,63.438736,-6.027222e-06,42,0.12278344,1.158145,4200,1.6335484,-107.20611382356434,468.1871199607849,-21.632225,53.94,100,10.0
[-0.548 -0.972 -0.414 -0.859  0.49 ],95.13637,132.09521,0.3425815,,174757,100.0,25.848736,2.4652607,1.9110688,1259.6102,0.33279794,51.47785,11.956828,0.42260933,1.1645547,55.847458,-4.272461e-06,43,0.117695995,1.0850865,4300,1.2699797,-107.64097239092274,480.91569900512695,-22.433464,55.72,100,10.0
[-0.51  -0.955 -0.414 -0.861  0.492],94.88266,135.966,0.6861516,,180043,100.0,46.56707,1.6409389,1.9134034,314.11047,0.30966684,61.216133,12.935205,0.12761553,1.0193267,61.787254,2.5558472e-06,44,0.10647142,1.0058014,4400,1.0507883,-108.82151212292497,493.5017328262329,-22.055481,52.86,100,10.0
[-0.532 -0.958 -0.42  -0.855  0.495],95.401665,172.18697,0.11736167,,185964,100.0,38.61838,31.645042,1.8782531,61223.574,0.51157504,36.891342,14.3716545,3.183748,1.7707696,64.93325,3.0899048e-06,45,0.17647997,1.6681281,4500,5.6107016,-106.52902650796712,506.32062578201294,-26.06681,59.21,100,10.0
[-0.445 -0.896 -0.355 -0.824  0.459],95.06769,128.6388,0.80924785,,191413,100.0,41.443073,1.598656,1.8828121,410.77347,0.31452337,50.444992,13.487831,0.12519397,1.0147853,51.06432,2.822876e-06,46,0.10999884,1.0112147,4600,1.0363247,-107.13589786726509,519.6040892601013,-24.604912,54.49,100,10.0
[-0.444 -0.888 -0.345 -0.82   0.464],95.38301,118.812904,0.54595965,,197247,100.0,32.325356,2.1683092,1.8993299,879.76154,0.33174837,39.999348,13.832663,0.24627367,1.0600106,41.610756,-1.04904175e-05,47,0.12054535,1.0204079,4700,1.1224976,-105.50771162795174,532.5123991966248,-28.480423,58.34,100,10.0
[-0.441 -0.887 -0.335 -0.817  0.48 ],95.46446,114.96336,0.6305829,,203304,100.0,47.339973,2.0944405,1.8977336,618.2634,0.3349258,33.778786,13.051385,0.2396652,1.0568751,35.874718,2.2888183e-07,48,0.12431288,1.0435975,4800,1.1462197,-107.0737596025325,547.18585896492,-26.778091,60.57,100,10.0
[-0.441 -0.861 -0.331 -0.812  0.479],95.22357,124.63317,0.49439684,,209011,100.0,39.8584,1.8222901,1.9150231,510.3008,0.32783163,42.74958,14.556863,0.21539699,1.0533319,45.217346,2.1362305e-06,49,0.11764328,1.0436798,4900,1.1351092,-107.76042557125565,562.3844368457794,-30.561852,57.07,100,10.0
[-0.461 -0.852 -0.338 -0.8    0.496],95.32924,124.737946,0.4457596,,214805,100.0,35.946922,2.8409715,1.9248058,1005.09143,0.33742306,39.290962,13.87156,0.2879722,1.0976974,44.132145,-4.272461e-06,50,0.12203367,1.0849676,5000,1.2170918,-106.34206366538267,575.8298072814941,-28.574211,57.94,100,10.0
[-0.486 -0.881 -0.346 -0.816  0.506],95.32297,121.432846,0.4582821,,220623,100.0,44.61025,2.0591013,1.9198385,1037.3403,0.33434564,41.398212,14.359337,0.28728718,1.0854046,43.781578,2.2125244e-06,51,0.121256344,1.048428,5100,1.1737311,-106.96475346900071,588.8581049442291,-24.315208,58.18,100,10.0
[-0.484 -0.889 -0.346 -0.803  0.501],95.339294,130.46983,0.25156653,,226531,100.0,27.487461,5.5183873,1.9423842,5125.784,0.3715903,39.9009,12.220171,0.75752115,1.3108048,46.6472,6.408691e-06,52,0.1352203,1.1406285,5200,1.6727537,-108.13738378273136,600.5708205699921,-26.201973,59.08,100,10.0
[-0.519 -0.938 -0.358 -0.825  0.523],95.41438,115.23083,0.6168341,,232430,100.0,45.49022,1.2985097,1.9348352,327.65024,0.32609347,37.144753,13.799581,0.1310453,1.017838,37.880486,-1.1825562e-06,53,0.11925956,1.0152041,5300,1.0401256,-105.75798459855987,613.1897749900818,-29.390709,58.99,100,10.0
[-0.534 -0.945 -0.364 -0.832  0.516],95.45607,113.48804,0.6921222,,238398,100.0,52.490974,1.6286553,1.9352794,630.74536,0.32978362,32.645805,16.187729,0.14976692,1.0272644,33.814007,-1.1825562e-06,54,0.121398434,1.0146161,5400,1.1011117,-105.75088969498265,626.2917556762695,-28.643242,59.68,100,10.0
[-0.543 -0.955 -0.361 -0.84   0.516],95.72772,105.72416,0.63317454,,244858,100.0,35.29622,1.9904186,1.9475747,548.8254,0.34741938,23.399242,13.092088,0.24175517,1.0740633,26.11548,-6.2942504e-06,55,0.13377686,1.0440404,5500,1.1555564,-105.69457910474303,639.3370954990387,-27.098057,64.6,100,10.0
[-0.544 -0.96  -0.352 -0.837  0.529],95.59746,109.91525,0.5888083,,251069,100.0,41.796143,2.0582778,1.9421345,660.2978,0.3410279,27.864054,15.265429,0.2405416,1.0531627,30.261883,1.3732911e-06,56,0.12839526,1.0416461,5600,1.1087306,-105.66582034254822,651.1303973197937,-33.869675,62.11,100,10.0
[-0.562 -0.939 -0.356 -0.814  0.523],95.509476,110.11654,0.78676224,,257185,100.0,34.32551,1.6219045,1.9452928,290.96896,0.32951418,30.621418,13.271508,0.107981086,1.0109187,31.012438,1.14440915e-07,57,0.12301098,1.0024937,5700,1.024906,-106.74045714177618,664.8694887161255,-29.250431,61.16,100,10.0
[-0.567 -0.935 -0.357 -0.805  0.526],95.85744,97.28217,0.7545992,,263961,100.0,31.528229,1.5921507,1.9530442,294.66974,0.34670493,16.999811,13.492873,0.13587146,1.0264229,18.018982,-3.8146972e-08,58,0.13726428,1.0295249,5800,1.0585762,-106.46999298912652,680.4676489830017,-27.28595,67.76,100,10.0
[-0.568 -0.944 -0.357 -0.804  0.534],95.51984,110.68131,0.6064446,,270135,100.0,42.064125,1.8797493,1.9563776,421.92633,0.33412006,31.780678,14.001594,0.17764132,1.0284743,32.810776,-3.5858154e-06,59,0.12539181,1.0226313,5900,1.0711777,-107.43252947191885,693.3630828857422,-25.645676,61.74,100,10.0
[-0.569 -0.964 -0.365 -0.805  0.538],95.75075,117.10125,0.32952753,,276745,100.0,38.275166,7.440244,1.9795569,3631.6965,0.39605302,20.058771,13.677648,0.7551948,1.3803058,29.295126,1.7166137e-06,60,0.15335754,1.1903721,6000,1.9463186,-107.38784716118579,708.3454234600067,-25.265392,66.1,100,10.0
[-0.588 -0.988 -0.357 -0.802  0.561],95.86223,95.21548,0.6411296,,283695,100.0,31.50688,1.4813557,1.9803891,377.64856,0.3501674,15.485037,12.859602,0.15780506,1.025496,16.080906,2.9563903e-06,61,0.14068969,1.002087,6100,1.0531265,-109.03795737534736,722.9291036128998,-29.141983,69.5,100,10.0
[-0.586 -0.991 -0.354 -0.795  0.561],95.98201,94.00572,0.4748386,,290846,100.0,35.55058,2.3178368,1.9733704,563.51855,0.36255363,10.776455,13.822887,0.25992188,1.0722167,12.855049,4.959106e-07,62,0.14804587,1.0412108,6200,1.2047193,-107.90842795027838,734.5922088623047,-27.446651,71.51,100,10.0
[-0.594 -0.989 -0.353 -0.779  0.554],96.155426,86.475,0.50191873,,298304,100.0,29.1545,1.7547065,1.9658358,395.29672,0.36294448,5.5369034,15.128452,0.20192042,1.0472324,7.4806614,1.1825562e-06,63,0.15194525,1.0528291,6300,1.0917989,-106.0743287944289,749.7592792510986,-33.50064,74.58,100,10.0
[-0.625 -0.994 -0.361 -0.772  0.547],96.17209,84.970024,0.6939449,,305973,100.0,44.34569,2.5941334,1.9792305,556.13245,0.37153825,2.0468616,15.753644,0.2527865,1.0592376,4.015686,-2.4795531e-06,64,0.15808225,1.0382916,6400,1.1799543,-108.43649438835278,765.5493583679199,-33.679356,76.69,100,10.0
[-0.64  -0.983 -0.359 -0.759  0.56 ],96.15517,83.33677,0.7401098,,313553,100.0,44.02866,2.6254954,1.9846821,408.70712,0.3618063,2.7817001,14.523611,0.19062477,1.0169692,3.2727623,8.010864e-07,65,0.15293749,1.0061595,6500,1.0702368,-107.81937975232701,779.6059682369232,-31.731926,75.8,100,10.0
[-0.649 -0.973 -0.355 -0.751  0.566],96.22438,82.600555,0.64962435,,321217,100.0,32.5205,1.9457765,1.9804493,345.97345,0.36685905,2.3139763,14.112664,0.18674144,1.0286994,3.1768227,-3.5095215e-06,66,0.15606917,1.03198,6600,1.0962752,-106.36196001226561,795.7659108638763,-24.497665,76.64,100,10.0
[-0.649 -0.959 -0.345 -0.751  0.561],96.21817,86.76738,0.3805377,,328871,100.0,43.466736,3.0839818,1.9977878,832.62366,0.38095126,1.4915047,14.969704,0.3659935,1.0884639,4.593128,-4.4631956e-06,67,0.16181901,1.0884756,6700,1.2204274,-106.46080219450357,809.6337604522705,-27.768116,76.54,100,10.0
[-0.63  -0.948 -0.326 -0.752  0.579],96.52728,70.353874,0.68915117,,337473,100.0,32.90789,1.623935,1.9961548,263.91553,0.38185576,-9.136822,14.269875,0.1336129,1.0244429,-8.53244,3.1852721e-06,68,0.17405285,1.0083705,6800,1.0652176,-106.3514218085603,823.6109952926636,-27.967796,86.02,100,10.0
[-0.643 -0.941 -0.321 -0.748  0.577],96.41903,75.28804,0.6388463,,345690,100.0,36.23205,2.7409222,2.0028536,490.7212,0.37964004,-4.9192276,15.428771,0.2925279,1.0605116,-3.9056683,-1.2588501e-06,69,0.1683209,1.008887,6900,1.1304845,-106.03918829834501,840.0178821086884,-32.00054,82.17,100,10.0
[-0.665 -0.942 -0.323 -0.737  0.584],96.58511,70.000015,0.53502035,,354518,100.0,41.122353,2.6354213,2.0019484,570.63367,0.39955053,-13.54183,16.016903,0.28256172,1.0984316,-11.679842,-7.6293946e-07,70,0.18478128,1.0492798,7000,1.3355296,-106.59282214218864,859.0657169818878,-34.18217,88.28,100,10.0
[-0.682 -0.958 -0.321 -0.735  0.583],96.55754,69.08917,0.73674494,,363109,100.0,48.44856,2.0868158,2.009044,519.5238,0.38262582,-12.025759,17.970049,0.1813807,1.029134,-11.16153,-4.577637e-06,71,0.174257,1.0210683,7100,1.0756835,-104.91569496644392,876.8783457279205,-34.789005,85.91,100,10.0
[-0.695 -0.949 -0.32  -0.725  0.59 ],96.93515,55.638218,0.6428438,,373264,100.0,49.588943,1.8464122,2.0084863,444.95065,0.41163456,-25.81866,17.42416,0.20230794,1.0318232,-24.855732,8.392334e-07,72,0.2077696,1.0188267,7200,1.0975088,-104.84249935824951,894.9698376655579,-41.20351,101.55,100,10.0
[-0.678 -0.944 -0.307 -0.719  0.589],96.71367,63.443832,0.6707344,,382446,100.0,51.855045,1.9425945,2.0104985,411.3008,0.39315155,-17.793995,17.319103,0.17584802,1.0268526,-16.841442,2.5749207e-06,73,0.18644074,1.0226921,7300,1.0766625,-104.96537919120587,914.0256931781769,-36.041534,91.82,100,10.0
[-0.693 -0.964 -0.316 -0.725  0.592],97.01544,52.675804,0.5188635,,393270,100.0,39.85089,2.048841,2.013354,470.0711,0.42696184,-29.500618,17.188568,0.25834656,1.0690576,-28.066906,-7.6293944e-08,74,0.2243143,1.0369498,7400,1.1539086,-107.40428336298832,933.413281917572,-37.792778,108.24,100,10.0
[-0.692 -0.969 -0.31  -0.718  0.594],97.062225,52.36878,0.48686987,,404066,100.0,46.09704,3.5371537,2.0165381,528.8316,0.43119955,-30.917053,17.375154,0.33786353,1.0988508,-28.860645,3.1280517e-06,75,0.22596715,1.0295746,7500,1.3480653,-104.60107884852538,951.47833943367,-40.607174,107.96,100,10.0
[-0.713 -0.958 -0.305 -0.703  0.598],97.19418,45.839024,0.65585303,,415624,100.0,42.235558,1.6853869,2.0192785,362.1398,0.428912,-35.12089,17.10972,0.1521268,1.0274919,-34.29,-4.5776366e-07,76,0.23511414,1.0242859,7600,1.1332403,-104.35781729530414,976.4261858463287,-35.927116,115.58,100,10.0
[-0.733 -0.945 -0.305 -0.698  0.6  ],97.000595,52.139908,0.58202636,,426345,100.0,38.37863,2.0110445,2.0156448,296.6098,0.41774198,-28.81146,15.74324,0.19704026,1.0455873,-28.070747,-1.411438e-06,77,0.21821772,1.0156567,7700,1.1138482,-107.17820711089412,996.8246657848358,-36.258507,107.21,100,10.0
[-0.772 -0.939 -0.314 -0.687  0.597],97.1308,48.060623,0.47526765,,437636,100.0,38.049965,3.0708246,2.0214884,462.04657,0.43212113,-33.846996,17.978891,0.24620163,1.0548694,-32.60724,2.2506713e-06,78,0.23323613,1.0276543,7800,1.18843,-105.52609367475642,1016.0633132457733,-46.343678,112.91,100,10.0
[-0.776 -0.96  -0.319 -0.689  0.603],97.30817,41.886288,0.42114428,,450047,100.0,50.69445,3.2292423,2.0214052,609.0456,0.4623086,-41.413055,19.74381,0.38111284,1.1217325,-39.515053,2.7465821e-06,79,0.2649678,1.0963408,7900,1.422117,-104.98639163238911,1035.8246176242828,-33.052597,124.11,100,10.0
[-0.785 -0.955 -0.311 -0.676  0.602],97.42856,38.135406,0.51037043,,463697,100.0,37.574738,11.59087,2.0227022,418.93134,0.46983403,-44.384872,17.4878,0.6282786,1.1023302,-42.807175,-1.4877319e-06,80,0.28745675,1.0496402,8000,1.2925602,-107.25124947178111,1060.6751308441162,-29.31252,136.5,100,10.0
