Weights,StdD2w0t,J_sample_variance,TimeElapsed,MeanD2w0t,EpRewMean,InitialReturnMean,EpThisIter,EpLenMean,EmpiricalD2,InitialReturnMin,InitialBound,MeanEntropy,StdIW,EpisodesSoFar,ReturnMeanIW,Bound,EntropyCoefficient,InitialReturnStd,Iteration,MeanIW,TimestepsSoFar,MaxIW,MaxD2w0t,ReturnStepMax,MinIW,InitialReturnMax,MinD2w0t,ReturnStepMaxmin
[-0.519 -0.689 -0.302 -0.223  0.161],1.9332533,281.92865,355.57455825805664,1.9622197,-145.74536513019746,-42.00966,100,362.57,5.0845675,-75.76579,-31.997301,1.5946324,0.9728142,1100,-38.15871,-28.569252,10.0,13.740864,11,0.90132874,156031,17.013365,13.034989,100.0,0.02886805,6.8225727,,99.0
[-0.57  -0.657 -0.316 -0.203  0.176],107.497185,257.69824,429.91589856147766,50.4326,-133.61690524756864,-40.37514,100,402.76,323.94995,-75.36938,-29.738377,1.6006062,1.2033437,1200,-33.6088,-25.32806,10.0,13.575771,12,0.78364694,196307,18.853956,1093.9846,100.0,0.00023561229,-13.4602995,,99.00001
[-0.624 -0.595 -0.321 -0.212  0.182],36.165623,216.48235,502.7768728733063,20.121307,-114.82591176279931,-36.085663,100,395.74,109.364075,-93.76292,-24.642464,1.587317,2.8925238,1300,-31.586554,-21.686169,10.0,15.22348,13,1.2529086,235881,101.511734,288.3826,100.0,0.0009810721,-11.944513,,99.0
[-0.643 -0.551 -0.298 -0.219  0.168],79.866585,145.128,569.7389349937439,36.1743,-102.10970488618824,-33.44592,100,363.73,229.23645,-68.61015,-21.630302,1.5413274,0.82638115,1400,-24.589714,-15.096133,10.0,13.682579,14,0.5913811,272254,9.813028,836.6329,100.0,8.5218e-06,-2.0242126,,99.0
[-0.66  -0.494 -0.271 -0.207  0.122],31.570301,199.07188,639.0882902145386,17.179472,-100.16287331001408,-31.385405,100,379.79,89.32725,-80.01533,-19.95232,1.551423,3.5425284,1500,-25.70394,-15.549041,10.0,13.689235,15,0.9505028,310233,96.12643,249.18025,100.0,0.0007308732,-1.9788351,,99.0
[-0.67  -0.488 -0.253 -0.229  0.132],44.587177,383.58408,711.659529209137,18.5557,-88.17328016415424,-28.66919,100,382.64,105.9992,-87.457146,-16.658718,1.594344,2.2160468,1600,-25.578674,-14.277106,10.0,14.950937,16,0.9212587,348497,89.86119,883.6457,100.0,0.00040366693,-1.6728395,,99.0
[-0.697 -0.458 -0.242 -0.23   0.175],20.336199,387.54706,782.3339991569519,8.399434,-89.75607717131254,-28.793503,100,382.7,41.77508,-77.689606,-16.416714,1.590418,0.98679686,1700,-26.430721,-14.888373,10.0,15.804771,17,0.7916859,386767,16.663227,445.78885,100.0,0.00036949734,-7.3508205,,99.0
[-0.697 -0.45  -0.216 -0.245  0.171],92.3702,347.2668,849.1630866527557,18.08366,-83.6549707949186,-31.022112,100,379.47,105.28188,-87.529884,-18.442146,1.5878705,0.9225331,1800,-28.228176,-16.541294,10.0,15.709435,18,0.8004914,424714,12.317125,2186.4404,100.0,0.0007102306,-3.8521845,,99.0
[-0.682 -0.423 -0.182 -0.251  0.169],304.46335,328.5381,923.6944360733032,65.26441,-69.0972158727861,-26.49461,100,384.43,536.16473,-73.75075,-13.36163,1.5911267,1.3020291,1900,-22.034136,-9.938829,10.0,16.212791,19,0.7257464,463157,39.31467,9233.48,100.0,0.0002670774,5.0704775,,99.0
[-0.697 -0.404 -0.155 -0.263  0.172],941.66833,535.08527,993.9874486923218,242.84872,-60.95460539371809,-23.340107,100,397.2,2225.9622,-55.69212,-9.851006,1.5703903,17.81926,2000,-17.13431,-5.4146194,10.0,13.2199955,20,1.6809418,502877,679.0014,19069.39,100.0,3.2699359e-06,4.6562963,,99.0
[-0.73  -0.367 -0.135 -0.273  0.152],58858484.0,23616062.0,1066.3983767032623,4562188.0,-60.48450332113372,-21.24739,100,378.45,103297170.0,-63.753174,-7.94697,1.5644548,916.3315,2100,465.6243,357.09113,10.0,17.21598,21,42.97003,540722,57940.1,3051489800.0,100.0,8.293615e-08,12.921124,,99.0
[-0.8   -0.291 -0.168 -0.282  0.146],39.3879,236.85802,1118.3776235580444,10.941391,-87.66280622484314,-29.809275,100,233.8,71.011826,-82.8199,-17.6482,1.5707183,1.2374601,2200,-21.168247,-10.517804,10.0,19.366394,22,0.7042706,564102,29.279562,731.19543,100.0,0.0021654335,10.138525,,99.0
[-0.804 -0.304 -0.154 -0.26   0.152],15985.104,7372.3145,1184.7013003826141,1501.7203,-63.812676760867355,-20.959007,100,363.81,16305.959,-61.647026,-7.7875586,1.5481617,5.239683,2300,-5.894274,2.0330524,10.0,14.634667,23,0.9689348,600483,150.9652,667106.25,100.0,2.9673015e-06,12.2069645,,99.0
[-0.854 -0.234 -0.177 -0.252  0.129],87.417625,389.07364,1235.2790384292603,23.245264,-86.32071958805221,-30.330364,100,248.31,186.52264,-85.209404,-18.278889,1.5396482,2.3855555,2400,-19.636715,-9.743213,10.0,20.270575,24,0.7745305,625314,95.76701,1689.3608,100.0,0.0008924069,2.7151706,,99.0
[-0.864 -0.259 -0.164 -0.232  0.121],38.883747,138.49117,1310.3353879451752,18.165253,-51.00363652107903,-17.85758,100,395.18,106.14662,-67.537346,-4.487838,1.5570323,2.322545,2500,-15.387662,-2.4547138,10.0,13.733174,25,0.9694288,664832,45.846672,475.96768,100.0,0.0005836178,5.382375,,99.0
[-0.873 -0.27  -0.144 -0.227  0.138],36.33347,179.91293,1392.2432854175568,21.88523,-34.46029604971165,-17.814238,100,444.49,115.12178,-58.25686,-3.6132698,1.5019786,2.3565001,2600,-15.834631,-2.618307,10.0,12.625603,26,1.1153189,709281,44.117096,341.5727,100.0,7.354729e-05,7.135634,,99.0
[-0.893 -0.253 -0.13  -0.227  0.083],132.87318,261.33005,1482.4975669384003,44.840874,-40.57020848660881,-16.805359,100,459.48,242.5049,-58.501995,-3.3977184,1.5282993,3.3707159,2700,-13.508118,-0.6414385,10.0,12.10532,27,1.0358104,755229,122.510765,3237.4785,100.0,0.00025884376,13.803137,,99.0
[-0.936 -0.292 -0.13  -0.254  0.109],35527.04,15531.18,1567.1583604812622,8898.343,-36.01628157231546,-18.494272,100,454.61,113163.99,-83.282455,-4.6424637,1.5653325,44.767277,2800,-7.1354074,2.808895,10.0,13.832535,28,2.7574186,800690,2181.8787,696030.56,100.0,1.46754655e-05,8.248854,,99.0
[-0.939 -0.315 -0.101 -0.248  0.146],342.29852,178.82097,1658.4872431755066,183.4826,-34.50051336231875,-17.735735,100,496.78,1394.0344,-42.125298,-3.4533625,1.5545849,2.2966826,2900,-13.483524,-0.18979073,10.0,10.244889,29,0.9280511,850368,61.844448,3346.5444,100.0,3.1676836e-06,16.520428,,99.0
[-0.935 -0.302 -0.09  -0.281  0.136],82.417366,166.4518,1737.005687236786,34.63055,-39.23831539304288,-18.716356,100,443.03,211.99455,-66.91681,-4.729725,1.5787725,2.1919966,3000,-15.652536,-2.0363464,10.0,13.767672,30,1.0524355,894671,46.49177,1932.7222,100.0,0.00019940891,0.8620997,,99.0
[-0.942 -0.361 -0.085 -0.311  0.16 ],55.512634,122.93828,1822.788471698761,29.059153,-23.189062245190236,-14.182638,100,476.61,156.01727,-59.258396,0.6836195,1.5976323,4.9226317,3100,-12.752977,2.0116768,10.0,10.787121,31,1.3335927,942332,233.15013,1177.0902,100.0,7.2853254e-05,4.919048,,99.0
[-1.036 -0.377 -0.093 -0.319  0.179],1965.6237,479.91367,1908.638192653656,932.7273,-27.775576848793293,-14.801535,100,484.02,8686.857,-52.234764,0.0710659,1.5185349,31.57379,3200,-7.575434,5.0310698,10.0,11.052904,32,2.5159202,990734,1306.7877,25267.873,100.0,3.9518993e-09,8.737153,,99.0
[-1.022 -0.367 -0.101 -0.341  0.1  ],22.353214,167.66226,1995.7424590587616,14.326615,-30.202524401027926,-13.659024,100,469.92,70.59364,-58.942513,0.32616043,1.5201856,1.5688251,3300,-12.739057,1.006568,10.0,10.211425,33,0.923895,1037726,30.243383,286.97217,100.0,0.00014383541,4.654126,,99.0
[-1.021 -0.363 -0.08  -0.357  0.101],21.782297,110.156425,2074.09436917305,13.597905,-29.645334031933626,-15.207359,100,449.48,64.28032,-65.795395,-1.1835241,1.5149854,0.84382474,3400,-13.417255,0.2935524,10.0,13.10757,34,0.66254854,1082674,15.146083,181.86215,100.0,0.00018922592,14.739975,,99.0
[-1.027 -0.372 -0.058 -0.366  0.096],47.586403,155.5403,2157.7810089588165,25.910774,-34.15507783422808,-14.333308,100,462.73,147.53447,-64.36156,-0.54067993,1.4817693,2.820326,3500,-12.000106,1.0644331,10.0,12.127564,35,0.82367814,1128947,98.52037,741.10895,100.0,8.033803e-06,9.334342,,99.0
[-0.992 -0.42  -0.049 -0.395  0.063],150519.11,7583.383,2250.638298034668,16327.614,-22.638423935830875,-11.650573,100,482.93,190241.3,-39.367798,2.2675343,1.4842674,18.100065,3600,-1.118386,9.624104,10.0,8.352066,36,1.7823806,1177240,452.3927,5257631.0,100.0,2.0634914e-06,6.4280457,,99.0
[-0.973 -0.429 -0.07  -0.425  0.065],15.461671,122.9254,2325.5678544044495,9.80213,-57.698863931703954,-18.722645,100,383.27,44.07563,-64.83664,-6.172761,1.4811149,4.1114283,3700,-14.178914,-2.2638636,10.0,15.900015,37,0.97732407,1215567,128.62102,111.13051,100.0,0.0010379722,18.342123,,99.0
[-0.98  -0.45  -0.071 -0.411  0.062],174.18211,275.4526,2414.340481519699,79.48927,-28.907943500869905,-11.699885,100,461.55,546.929,-62.11754,1.9625425,1.5018517,1.322075,3800,-9.568191,3.831808,10.0,11.123862,38,0.7999803,1261722,20.704947,2155.5193,100.0,0.00028594834,10.509858,,99.0
[-0.988 -0.415 -0.053 -0.406  0.083],280.7916,661.2554,2496.4861834049225,113.65958,-34.98521443402642,-14.940268,100,435.5,828.865,-65.3702,-1.311966,1.5298551,4.799718,3900,-11.487,1.5286827,10.0,12.552462,39,1.1833923,1305272,146.15619,3320.188,100.0,0.00022733936,12.005085,,99.0
[-0.987 -0.427 -0.039 -0.387  0.111],486164.72,33802.574,2587.2859580516815,106222.06,-22.134560297969735,-12.438964,100,473.53,1517123.4,-58.93206,1.9800234,1.5907955,89.21681,4000,7.4567285,15.0987015,10.0,11.307511,40,6.745036,1352625,2725.9573,12440262.0,100.0,1.0607735e-07,15.480667,,99.0
[-0.964 -0.436 -0.044 -0.428  0.172],9269.781,7949.605,2665.2149081230164,2639.5942,-39.791217904208914,-16.159674,100,410.48,27494.123,-71.24391,-1.8329086,1.6240236,24.889069,4100,-4.015523,7.2722445,10.0,17.038975,41,2.5083287,1393673,814.61053,147249.58,100.0,1.7030552e-06,18.626724,,99.0
[-0.935 -0.428 -0.028 -0.386  0.205],1618.766,272.72842,2758.8704917430878,519.49725,-16.356843396038325,-11.8151,100,478.67,4744.438,-51.12267,3.7751617,1.6058428,4.2913346,4200,-8.907726,5.916275,10.0,10.941337,42,1.0210118,1441540,107.29632,25335.387,100.0,2.9452967e-06,13.887274,,99.0
[-0.915 -0.413 -0.059 -0.39   0.187],901.6077,243.96634,2836.884506225586,219.5732,-48.825415728947625,-17.46347,100,394.75,1922.1957,-81.037865,-3.3452282,1.6044921,3.2345614,4300,-12.280762,0.5841646,10.0,14.962567,43,0.9353832,1481015,133.07507,22000.309,100.0,3.7376245e-05,12.398064,,99.0
[-0.916 -0.395 -0.025 -0.389  0.186],8.679729,165.6068,2917.211470603943,7.03055,-37.54117237565703,-14.16385,100,433.72,26.703266,-63.15298,0.3892889,1.5620967,2.1541522,4400,-11.704642,2.1473913,10.0,12.699464,44,1.0537406,1524387,43.16578,58.89238,100.0,0.0030991733,15.630402,,99.0
[-0.916 -0.418 -0.039 -0.395  0.143],17.43609,121.31042,2997.516985177994,12.222338,-33.251805350726045,-14.3729515,100,440.73,52.75746,-58.459126,-0.07331753,1.537988,2.2618706,4500,-11.753432,1.9092388,10.0,12.380511,45,0.93537295,1568460,62.646057,157.76329,100.0,0.00042383283,12.500902,,99.0
[-0.952 -0.454 -0.03  -0.429  0.119],2012.3949,267.8046,3078.9783635139465,515.2447,-23.658622806341345,-12.975996,100,455.38,5135.6504,-52.668056,1.4637566,1.5423095,2.5178232,4600,-10.038849,3.7610283,10.0,11.5963335,46,0.9876346,1613998,76.593994,36180.82,100.0,5.4789434e-06,6.2679267,,99.0
[-0.933 -0.449  0.004 -0.431  0.123],344.39282,158.09425,3168.279828310013,151.42224,-25.117203376523886,-12.486965,100,459.38,1070.4426,-54.22383,1.9380436,1.5488267,1.7464234,4700,-10.623749,3.16434,10.0,9.566815,47,0.81787187,1659936,37.642715,4316.57,100.0,1.33396015e-05,8.310984,,99.0
[-0.984 -0.472  0.023 -0.464  0.13 ],20.007984,106.910194,3247.3784351348877,9.264198,-37.31788948381833,-14.170401,100,430.5,50.86978,-48.208958,-0.16504002,1.5429748,1.1204494,4800,-12.73346,0.99572945,10.0,11.289799,48,0.82899845,1702986,25.221123,367.24994,100.0,0.0003155172,18.209862,,99.0
[-1.024 -0.478  0.003 -0.459  0.124],396.202,453.21793,3332.5622839927673,158.0572,-30.40023663698261,-14.751562,100,447.83,1209.6393,-55.904648,-0.5298338,1.5986578,2.705527,4900,-10.553144,3.4223204,10.0,12.454349,49,0.8908276,1747769,75.61502,6959.628,100.0,5.453803e-05,5.4917836,,99.0
[-1.038 -0.431 -0.007 -0.429  0.18 ],13.428478,98.096146,3413.562690258026,10.956613,-31.01132253862767,-13.475582,100,455.15,46.204662,-64.237785,1.2786942,1.6478262,0.956295,5000,-12.202313,2.734294,10.0,11.460028,50,0.83787423,1793284,10.166243,77.09739,100.0,0.0010806108,15.858767,,99.0
[-1.024 -0.445  0.005 -0.43   0.229],812.2691,167.54697,3492.992606163025,242.22491,-25.564503411282093,-12.696796,100,461.03,2136.1646,-69.98202,2.765605,1.6514415,4.692524,5100,-9.961847,4.903839,10.0,10.453453,51,1.1888274,1839387,90.9541,13114.189,100.0,0.000101703576,19.656502,,99.0
[-1.02  -0.459 -0.029 -0.436  0.233],130.79405,131.233,3571.8827514648438,54.53096,-26.136648256456045,-12.84029,100,450.91,382.20178,-62.238773,2.6355276,1.6262778,5.6443434,5200,-10.659048,4.2047424,10.0,11.513102,52,1.5761439,1884478,119.35897,1796.4469,100.0,2.300175e-05,7.782064,,99.0
[-1.04  -0.479 -0.059 -0.436  0.207],85.89136,116.13076,3659.593850851059,38.69099,-27.665600930537998,-12.910162,100,454.21,236.66286,-49.332184,2.2532616,1.6393496,2.337134,5300,-11.1814575,3.7339869,10.0,10.109306,53,0.8472092,1929899,53.517456,1387.1166,100.0,0.0003580427,8.481214,,99.0
[-0.979 -0.5   -0.071 -0.446  0.22 ],98.88948,108.752335,3747.274423599243,44.577835,-32.46207907346117,-14.444862,100,443.59,285.22858,-64.266464,0.65868187,1.6246108,1.0167012,5400,-12.267682,2.243946,10.0,12.534883,54,0.6129584,1974258,20.906229,1203.537,100.0,0.00010975636,9.001361,,99.0
[-0.992 -0.484 -0.044 -0.448  0.206],3591.1047,1644.1057,3837.695577144623,1223.4541,-23.66775091966638,-14.359206,100,462.49,12027.051,-63.519524,0.94641113,1.5987315,5.832225,5500,-10.006235,3.7725163,10.0,11.102591,55,1.0762529,2020507,198.9654,73079.95,100.0,1.9493211e-06,7.7633634,,99.0
[-1.043 -0.498 -0.017 -0.48   0.18 ],2.0016742,81.17947,3927.0503811836243,2.9379203,-28.503302644486176,-13.32489,100,465.29,7.1269875,-40.12622,1.5297842,1.601564,1.5504785,5600,-12.600553,2.1619368,10.0,8.461882,56,1.0732099,2067036,21.127483,10.493271,100.0,0.019566711,5.6586494,,99.0
[-1.043 -0.507 -0.015 -0.464  0.183],11.93009,105.28593,4009.5287721157074,9.798085,-24.90495906155137,-13.561645,100,470.87,38.692757,-67.77302,1.4643431,1.6328129,1.2547345,5700,-12.611979,2.5043974,10.0,11.445898,57,0.83675224,2114123,15.792699,89.41628,100.0,0.0024992991,7.559109,,99.0
[-1.001 -0.496 -0.006 -0.441  0.214],1397.4335,1693.774,4108.794582605362,591.50354,-31.126285497720005,-15.596271,100,474.84,5475.507,-50.667675,-0.5050125,1.6331986,25.253824,5800,-9.830823,3.9932728,10.0,9.917764,58,2.8724537,2161607,880.92163,18469.242,100.0,3.8826063e-05,5.196375,,99.0
[-1.038 -0.479  0.008 -0.474  0.214],26.557861,130.60393,4186.788157701492,15.487846,-41.96244064169299,-16.10832,100,426.69,81.01397,-67.24654,-1.4438057,1.62656,1.8368772,5900,-13.248496,0.9643221,10.0,14.39276,59,0.8063558,2204276,51.312927,266.21832,100.0,4.8256956e-05,7.5038013,,99.0
[-1.027 -0.516 -0.01  -0.48   0.208],10.699501,81.06136,4274.898364305496,7.119215,-29.89448165161403,-13.160816,100,440.27,28.9833,-49.03624,1.9168615,1.6445545,1.0611752,6000,-11.5284815,3.5304012,10.0,9.873686,60,0.8169989,2248303,21.230858,141.89781,100.0,0.00439668,8.2166605,,99.0
[-1.066 -0.499 -0.018 -0.454  0.226],1692499.1,112074.875,4364.931720256805,352029.97,-26.991264837250682,-14.447274,100,470.38,5682980.5,-55.323,0.92571354,1.5882732,65.072624,6100,20.275927,21.11549,10.0,12.022596,61,2.8102324,2295341,4443.983,60880370.0,100.0,1.8533107e-08,15.6254425,,99.0
[-1.119 -0.471 -0.003 -0.491  0.169],146.01091,308.12,4445.91322517395,70.17734,-40.44490646537764,-15.52182,100,421.74,475.68936,-59.687412,-1.2462568,1.6092806,4.5674095,6200,-11.530522,2.1437387,10.0,12.42463,62,1.234215,2337515,98.75488,1526.2373,100.0,0.0009607477,11.3745365,,99.0
[-1.123 -0.51  -0.01  -0.484  0.19 ],354.27768,113.81249,4544.120421886444,116.12497,-24.154884012238668,-11.564074,100,485.0,870.6325,-40.79165,3.568884,1.5751941,6.974302,6300,-9.237129,5.041107,10.0,8.58079,63,1.2498099,2386015,216.69615,8349.045,100.0,3.750243e-05,13.029349,,99.0
[-1.124 -0.545 -0.031 -0.513  0.156],1798.5264,1221.1605,4631.418369293213,722.92554,-30.668241857904835,-13.286683,100,466.44,6665.8486,-48.28968,1.2465887,1.6141784,1.9898419,6400,-8.34751,5.1198196,10.0,9.949608,64,0.68990093,2432659,69.64491,26574.336,100.0,5.4428554e-05,18.046528,,99.0
[-1.071 -0.509 -0.049 -0.5    0.195],26.406292,99.919876,4715.671882390976,15.2895,-38.90055699557891,-17.189281,100,410.73,73.64853,-69.622154,-2.5932941,1.5987083,1.9681041,6500,-12.836348,1.1364231,10.0,17.075201,65,0.9683049,2473732,51.377823,275.91263,100.0,0.0008294723,4.0174484,,99.0
[-1.075 -0.514 -0.036 -0.477  0.18 ],998.8696,182.15459,4800.255532979965,321.60443,-32.93396806048048,-14.377466,100,452.81,2786.8975,-61.201687,0.3009138,1.6138859,1.4515885,6600,-10.997743,2.6969776,10.0,11.889931,66,0.6800544,2519013,21.3723,19419.092,100.0,2.0358239e-05,6.916975,,99.0
[-1.04  -0.495 -0.059 -0.482  0.195],0.60811293,124.820595,4888.363943099976,1.2714975,-34.480446636780414,-13.9208765,100,430.09,2.0258389,-59.242744,0.847826,1.6001861,0.7121498,6700,-13.161042,1.422432,10.0,13.4099655,67,1.0916706,2562022,6.696788,2.5766659,100.0,0.056352243,23.102806,,99.0
[-1.052 -0.499 -0.055 -0.476  0.181],2.0563185,141.0763,4967.881889343262,2.562714,-36.35521936952695,-14.475282,100,434.41,6.59554,-59.692604,0.081926346,1.599986,0.8957237,6800,-13.444201,0.9885044,10.0,14.091081,68,0.8980858,2605463,10.817493,12.552515,100.0,0.0049667703,10.570489,,99.0
[-1.055 -0.512 -0.066 -0.467  0.181],272.78552,226.37856,5048.436789274216,127.3503,-29.706290542562932,-13.920099,100,449.98,930.1767,-68.810875,0.89931583,1.6109356,1.9744492,6900,-11.836784,2.3996315,10.0,12.045476,69,0.886229,2650461,29.641338,3210.0425,100.0,5.3072734e-05,15.1292925,,99.0
[-1.09  -0.505 -0.047 -0.491  0.192],4067.5952,3118.5164,5128.194002389908,1145.4131,-40.29496320751276,-14.053738,100,430.01,11139.733,-68.77669,0.45440865,1.5928676,4.189961,7000,-7.1146536,4.668482,10.0,12.846303,70,0.9417937,2693462,167.51993,128365.41,100.0,1.0014099e-05,13.63838,,99.0
[-1.081 -0.496 -0.034 -0.445  0.174],903.7313,294.30048,5225.418394804001,409.59976,-27.0734680607801,-14.409612,100,488.27,3269.6135,-48.46694,0.44324017,1.6425538,3.259447,7100,-11.8619995,2.4608545,10.0,8.055403,71,1.0194546,2742289,64.93982,11213.129,100.0,0.00010141234,7.6067476,,99.0
[-1.051 -0.476 -0.049 -0.453  0.224],170.90596,85.964294,5307.944303274155,42.40441,-30.46803859409581,-15.369254,100,437.82,295.90802,-57.91577,-0.15443039,1.6773531,1.3656863,7200,-13.037374,2.1194782,10.0,12.255539,72,0.7769392,2786071,22.529816,6249.783,100.0,0.00078450516,13.339812,,99.0
[-1.118 -0.457 -0.055 -0.43   0.258],1820.9689,788.8365,5397.834710597992,613.55414,-30.665032737385,-13.666527,100,466.39,5725.246,-63.81208,1.888463,1.6702822,4.0660696,7300,-9.752064,4.5105057,10.0,10.351219,73,0.98796266,2832710,97.58788,31427.94,100.0,3.1897252e-06,12.007433,,99.0
[-1.111 -0.419 -0.087 -0.425  0.251],15.448965,164.5181,5477.311136960983,9.802198,-40.40945349401077,-14.236415,100,412.42,44.147743,-65.56446,0.86065006,1.6764657,1.1798351,7400,-10.852081,3.9430246,10.0,14.584905,74,0.8930471,2873952,17.791779,146.35364,100.0,0.0012823585,15.12291,,99.0
[-1.087 -0.46  -0.086 -0.423  0.258],0.26612177,101.76969,5567.400762319565,0.9233,-27.111129768509613,-13.382179,100,461.65,1.0,-47.390514,2.3051605,1.6764657,,7500,-13.382177,2.3051605,10.0,10.037529,75,1.0,2920117,1.0,1.0,100.0,1.0,0.47080243,,99.0
[-1.087 -0.46  -0.086 -0.423  0.258],1460.1323,484.62665,5644.697747707367,544.1291,-36.528984232974935,-12.95295,100,452.02,4889.6104,-50.30668,2.3601503,1.6813495,27.215763,7600,-9.069327,4.5622387,10.0,11.556837,76,2.835045,2965319,769.8968,25308.992,100.0,2.0773059e-05,24.186302,,99.0
[-1.116 -0.491 -0.079 -0.483  0.262],43.131767,139.72627,5715.380085229874,19.97101,-50.60926110294509,-18.004108,100,368.64,107.23144,-65.5831,-3.201683,1.6780975,1.1414912,7700,-12.85039,1.183075,10.0,18.253174,77,0.7067834,3002183,18.282997,524.74567,100.0,0.001474038,11.54192,,99.0
[-1.119 -0.501 -0.063 -0.46   0.259],111.49553,125.80691,5800.036154747009,49.991364,-31.940339852405188,-13.788692,100,461.46,322.1283,-63.30448,1.7230625,1.6669018,0.8207944,7800,-11.727709,3.160839,10.0,11.794382,78,0.55835116,3048329,13.204417,1603.3782,100.0,6.230976e-05,9.914029,,99.0
[-1.127 -0.515 -0.037 -0.493  0.248],712.02515,201.42307,5886.247876167297,317.04187,-22.823085575892936,-11.2410965,100,470.25,2533.4963,-44.413437,4.520997,1.7191033,2.962086,7900,-8.442388,7.021842,10.0,10.013906,79,0.7989597,3095354,88.00307,8887.699,100.0,0.00052881025,25.798384,,99.0
[-1.098 -0.505 -0.045 -0.514  0.3  ],12.5278,80.863235,5952.155623435974,7.4110675,-55.57830247159215,-17.082031,100,365.48,32.127518,-63.304825,-2.0995235,1.6973411,3.4639049,8000,-12.9556465,1.2591944,10.0,12.998148,80,0.9657203,3131902,95.65483,140.60706,100.0,0.002343151,7.4073606,,99.0
[-1.099 -0.537 -0.028 -0.512  0.278],21.000637,152.14926,6035.0091643333435,11.991399,-34.428294028418144,-14.556689,100,433.01,55.78421,-60.437084,1.0486374,1.6998906,2.689406,8100,-12.934194,2.3753872,10.0,11.977822,81,1.0245844,3175203,62.11031,200.43355,100.0,0.000639851,12.234986,,99.0
