EntropyCoefficient,MeanEntropy,MeanIW,EmpiricalD2,StdD2w0t,InitialReturnStd,TimeElapsed,Weights,TimestepsSoFar,StdIW,EpThisIter,Iteration,EpisodesSoFar,Bound,MinIW,MaxD2w0t,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,J_sample_variance,ReturnMeanIW,EpLenMean,EpRewMean,MeanD2w0t,MinD2w0t
10.0,0.99985,0.6542051,13.950527,2.9021974,2.7340653,229.1170163154602,[-0.776  0.913 -0.56   0.166 -0.411],25589,0.70785564,100,15,1500,-60.37602,0.0014313105,347.72513,-83.44011,-93.28671,100.0,-85.24298,-97.36108,7.4124565,99.39939,3878.3298,-62.43447,17.13,-108.64233855102682,0.15964375,
10.0,0.9635054,0.5756907,57.860508,15.721303,2.85037,247.51853036880493,[-0.821  0.913 -0.509  0.092 -0.419],27302,0.7422493,100,16,1600,-53.759186,0.00012149987,2172.3518,-84.20413,-93.65837,100.0,-85.569984,-97.67493,16.030325,99.38635,4295.7,-55.41251,17.13,-109.08520251607243,0.44932246,
10.0,0.9633711,0.45786774,232.0485,16.485912,2.7108178,266.7415976524353,[-7.412e-01  9.444e-01 -4.441e-01 -1.533e-04 -4.554e-01],28991,1.0494221,100,17,1700,-50.479095,0.0005998031,976.55566,-84.05765,-93.28059,100.0,-85.672516,-97.837204,12.294212,99.3918,8594.311,-46.042583,16.89,-108.4389038155517,1.0414444,
10.0,0.9740884,0.5089932,80.46408,4.7630434,3.1429527,282.8607437610626,[-0.795  0.874 -0.445  0.019 -0.456],30712,1.5616082,100,18,1800,-50.207554,0.0013144908,268.99112,-81.26783,-92.83168,100.0,-85.14401,-97.285545,43.2006,99.357605,18729.195,-50.28061,17.21,-108.20094470943405,0.37910756,
10.0,1.1469722,0.5142605,67.18733,4.8058476,3.446994,299.46330094337463,[-0.848  0.814 -0.433  0.015 -0.445],32431,0.5487858,100,19,1900,-48.74162,0.035623137,366.48773,-81.05173,-92.68824,100.0,-84.69971,-97.50953,5.5504675,99.34903,2291.5476,-49.596783,17.19,-108.04496167922929,0.4081478,
10.0,1.0392069,0.34258813,195.33478,25.437069,3.1888149,316.1644184589386,[-0.923  0.822 -0.399  0.01  -0.272],34159,1.0020627,100,20,2000,-37.456512,7.632968e-05,3444.034,-80.78123,-93.052605,100.0,-83.36517,-97.16213,11.355133,99.39484,7980.314,-35.38296,17.28,-108.53607484440852,1.0260869,
10.0,1.1024024,0.47738868,229.93373,12.460858,3.4754057,333.1443660259247,[-0.947  0.717 -0.416  0.038 -0.38 ],35961,1.0853341,100,21,2100,-49.380394,0.0037389726,538.8544,-77.84598,-92.75517,100.0,-84.42594,-97.53352,40.531525,99.358635,8333.156,-47.260277,18.02,-108.86097083397354,0.91072345,
10.0,1.0255446,0.39339423,389.18927,27.326675,3.2230794,348.2129256725311,[-0.856  0.752 -0.446  0.031 -0.317],37663,0.8948675,100,22,2200,-49.186592,2.7159726e-06,1397.8812,-78.902794,-93.139305,100.0,-84.01342,-97.97867,15.692107,99.374214,6169.0044,-40.414177,17.02,-108.4010402193395,1.6919317,
10.0,1.0351181,0.63830596,47.69549,4.042642,2.779402,362.42569279670715,[-0.815  0.819 -0.482  0.017 -0.393],39347,1.3493696,100,23,2300,-61.181976,0.002321386,163.52974,-81.590126,-93.181984,100.0,-84.82227,-97.45258,19.791656,99.379745,13652.144,-61.059208,16.84,-108.26372659180215,0.36326608,
10.0,1.0571579,0.8624792,3.6266043,0.42081118,2.6818395,375.76448464393616,[-0.83   0.805 -0.427  0.037 -0.384],41005,1.2041787,100,24,2400,-73.76113,0.037479762,20.255178,-82.86651,-92.860306,100.0,-84.375694,-97.80336,9.823675,99.35527,11814.496,-80.7546,16.58,-107.63069811908501,0.063773245,
10.0,0.98181134,0.39219695,255.47003,15.597892,2.999087,389.64874625205994,[-0.851  0.816 -0.476  0.058 -0.362],42746,0.98598695,100,25,2500,-44.003014,3.2038392e-07,709.8157,-79.09981,-92.99082,100.0,-84.38847,-97.226456,13.4539175,99.36921,7043.069,-40.212643,17.41,-108.58776512876616,1.0127136,
10.0,0.99426335,0.45325547,82.7499,7.3475885,2.9754004,406.4322361946106,[-0.961  0.767 -0.456  0.076 -0.437],44473,1.1151545,100,26,2600,-45.537575,0.00068831316,513.0697,-84.31303,-92.98325,100.0,-85.17772,-97.49512,8.13192,99.40938,9538.029,-45.220703,17.27,-108.44270956458831,0.5173939,
10.0,0.9296854,0.19088246,144.42928,9.18413,2.8393638,421.482656955719,[-0.934  0.84  -0.447  0.053 -0.425],46133,0.35956445,100,27,2700,-23.30477,2.2152635e-05,450.6146,-81.1718,-93.350624,100.0,-85.22683,-97.2355,13.605854,99.36185,735.9141,-21.419067,16.6,-108.21960787021283,0.65170664,
10.0,0.9313135,0.60028,312.87863,18.199171,3.2194314,437.22239875793457,[-0.87   0.909 -0.454  0.041 -0.489],47804,2.075308,100,28,2800,-61.57972,7.4926604e-05,919.42334,-81.15116,-92.97275,100.0,-85.35591,-97.442726,35.244728,99.36349,31919.615,-56.933464,16.71,-107.90515710834688,1.17428,
10.0,0.91654545,0.87106466,1.853517,0.31550968,2.6478698,453.21443271636963,[-0.785  0.967 -0.46   0.031 -0.488],49443,0.6409885,100,29,2900,-75.299866,0.053735957,10.582073,-82.31887,-93.86761,100.0,-86.29342,-97.40563,7.2383695,99.36842,3479.8481,-82.068474,16.39,-108.61950607399018,0.04912836,
10.0,0.8924347,0.2946471,249.277,18.222826,3.0599089,466.4523651599884,[-0.801  0.984 -0.425  0.005 -0.502],51071,0.5676271,100,30,3000,-36.703037,9.969604e-05,1059.7324,-81.36293,-93.07048,100.0,-85.88718,-97.84857,14.060604,99.35563,2250.5771,-31.331423,16.28,-107.60031249483237,1.0987962,
10.0,0.89271474,0.43682694,67.98348,4.6416845,3.041727,481.49649000167847,[-0.744  1.051 -0.426 -0.014 -0.527],52719,0.62233466,100,31,3100,-44.752647,0.0011510351,301.32156,-81.095314,-93.191696,100.0,-85.972145,-97.43984,16.124271,99.38717,2768.5498,-43.25501,16.48,-107.94481218794603,0.37236977,
10.0,0.82665783,0.30111304,355.4627,20.735022,2.5753694,493.4945948123932,[-0.772  1.024 -0.378 -0.021 -0.526],54394,0.5763297,100,32,3200,-38.79934,3.2051258e-07,1213.5277,-83.017334,-92.94288,100.0,-86.04689,-96.85364,12.412025,99.36158,2377.6921,-31.526638,16.75,-107.91013258413905,1.2469598,
10.0,0.8009334,0.644091,18.032784,3.1971116,2.850232,509.20506501197815,[-0.882  0.997 -0.343 -0.018 -0.592],56010,0.781272,100,33,3300,-62.66585,0.002517979,356.18735,-80.65325,-92.98615,100.0,-86.56343,-96.7773,7.3332357,99.371086,4912.879,-61.243145,16.16,-107.39256123879355,0.18474014,
10.0,0.7988257,0.74138016,89.55503,11.311003,2.1905613,524.3368995189667,[-0.93   0.997 -0.306 -0.068 -0.618],57612,0.98876834,100,34,3400,-70.43671,0.0012719496,822.0718,-85.35178,-93.31191,100.0,-87.221725,-96.69193,39.518833,99.35985,7055.884,-70.79018,16.02,-107.6258741413591,0.5025344,
10.0,0.76122737,0.73384345,6.472966,1.1361089,2.5089948,536.9885215759277,[-0.907  1.048 -0.279 -0.083 -0.62 ],59177,0.99156016,100,35,3500,-67.32366,0.0026651104,83.25076,-83.72438,-93.274315,100.0,-86.930786,-96.88985,13.97426,99.34345,8010.0664,-69.92531,15.65,-107.23465830434732,0.10598496,
10.0,0.7988163,0.4059461,349.15665,22.597454,2.5095031,549.8932962417603,[-0.886  1.063 -0.269 -0.021 -0.658],60801,0.74902743,100,36,3600,-48.37198,0.00041575785,1443.5537,-84.1851,-93.15241,100.0,-87.28665,-97.35251,43.553017,99.35964,3524.7944,-39.97779,16.24,-107.68607840779701,1.3464636,
10.0,0.7059989,0.5987197,44.305016,10.712437,2.6266935,565.5241107940674,[-0.933  0.999 -0.273 -0.018 -0.62 ],62456,0.8137084,100,37,3700,-59.890587,9.681707e-05,870.6681,-84.09167,-93.07837,100.0,-86.97894,-96.98334,14.442129,99.35369,5248.55,-58.125595,16.55,-107.86426442456712,0.42463008,
10.0,0.710758,0.73091656,26.49453,6.823281,2.8004677,581.1564521789551,[-0.93   1.012 -0.254 -0.083 -0.713],64028,0.8157916,100,38,3800,-70.91531,0.0051960046,429.8468,-78.82216,-93.369804,100.0,-88.288895,-97.48564,5.6784,99.38055,5451.5366,-69.63494,15.72,-107.43331657799077,0.3515546,
10.0,0.6909615,0.7003924,20.770464,3.3581553,2.3924062,595.2021102905273,[-0.899  1.003 -0.293 -0.044 -0.708],65610,0.99003446,100,39,3900,-67.761505,0.00019832296,107.01386,-85.35616,-93.31474,100.0,-87.97159,-96.80318,11.183582,99.36288,7980.991,-67.08865,15.82,-107.44861816312954,0.27404207,
10.0,0.6411259,0.55007505,15.397117,1.3470007,2.9160326,608.6028301715851,[-0.938  1.026 -0.294 -0.091 -0.728],67280,1.1645265,100,40,4000,-52.995335,0.00029895053,179.2268,-81.023964,-92.72174,100.0,-87.57938,-97.366516,8.474888,99.376076,10411.974,-53.193,16.7,-107.621051793909,0.10136625,
10.0,0.567925,0.39865702,188.08243,11.816933,2.4593945,624.1500716209412,[-0.848  1.052 -0.289 -0.075 -0.778],68866,1.3406364,100,41,4100,-47.07795,4.7834474e-06,682.8793,-82.0074,-93.32545,100.0,-88.83137,-97.25018,24.559093,99.375145,11920.302,-39.80803,15.86,-107.51561022932226,0.8033619,
10.0,0.5559759,0.73944,10.85988,1.4883837,2.8429701,639.3633635044098,[-0.897  1.001 -0.286 -0.066 -0.851],70491,0.7755996,100,42,4200,-69.953,0.0029719337,138.70128,-80.29562,-92.99574,100.0,-89.081795,-97.43688,8.283681,99.365524,4814.7124,-70.03102,16.25,-107.50177249456456,0.10505691,
10.0,0.54784787,0.7348945,14.522562,2.0313292,2.9531786,653.1867592334747,[-0.897  0.961 -0.318 -0.088 -0.863],72154,0.65008473,100,43,4300,-68.274185,0.0014170292,109.623,-82.28426,-92.67473,100.0,-88.92182,-97.07927,4.4221635,99.36706,3374.9153,-68.660614,16.63,-107.50691503726708,0.14684549,
10.0,0.5306875,0.66871876,20.018358,2.5874918,2.5871894,669.0603640079498,[-0.904  0.93  -0.36  -0.09  -0.871],73768,0.96266437,100,44,4400,-66.08451,0.008335913,427.47412,-83.39093,-93.014046,100.0,-89.340935,-96.91257,10.977156,99.38245,6806.528,-63.501137,16.14,-107.41839805148345,0.1111991,
10.0,0.58257204,0.57978195,51.531616,6.76887,2.8048809,683.0044274330139,[-0.921  0.883 -0.362 -0.128 -0.888],75360,1.1641345,100,45,4500,-56.582314,0.010232907,817.6881,-84.39815,-92.910355,100.0,-89.24597,-96.810974,10.93485,99.35681,10209.041,-55.173588,15.92,-107.08931048147427,0.21368974,
10.0,0.49860013,0.41559616,241.50772,17.280094,2.5873,694.0757374763489,[-0.886  0.934 -0.343 -0.105 -0.836],76954,1.1478989,100,46,4600,-50.425385,1.7067501e-05,1485.1029,-84.02191,-93.06949,100.0,-88.9386,-97.32548,14.867573,99.37357,10164.344,-41.26024,15.94,-107.31375600638023,0.9266764,
10.0,0.48536804,0.7655377,34.216915,7.313924,2.4959946,707.329957485199,[-0.825  0.986 -0.336 -0.11  -0.92 ],78568,1.0316076,100,47,4700,-74.233894,0.001920975,469.90887,-82.75436,-93.28538,100.0,-90.08948,-97.0034,9.361679,99.37151,8600.695,-72.61237,16.14,-107.72646588844773,0.33753708,
10.0,0.48193368,0.89549667,8.450345,2.0847116,2.833846,720.411096572876,[-0.81   0.969 -0.348 -0.071 -0.934],80170,0.81657255,100,48,4800,-81.237816,0.0033671956,127.11423,-85.649956,-92.95706,100.0,-89.72231,-97.10284,6.376083,99.37075,5056.7754,-82.942726,16.02,-107.23276698292831,0.11961548,
10.0,0.47981477,0.42096207,184.15198,15.827856,2.5186086,731.5399613380432,[-0.81   0.958 -0.382 -0.051 -0.937],81775,0.7063207,100,49,4900,-48.84595,0.00020480485,1094.1521,-84.695114,-93.0752,100.0,-90.0802,-97.58377,13.728765,99.36229,3820.9226,-42.60291,16.05,-107.37094385459042,0.96562135,
10.0,0.48362708,0.42922664,213.11174,15.085777,2.6139004,744.8006105422974,[-0.837  0.923 -0.382 -0.029 -0.939],83382,0.94431525,100,50,5000,-52.284378,0.0004935625,718.56055,-84.05134,-93.03569,100.0,-89.90932,-97.3755,51.29149,99.38412,5662.1006,-41.51685,16.07,-107.37578764601943,0.99242485,
10.0,0.45314163,0.47649398,110.719475,7.095825,2.6470609,757.2693395614624,[-0.854  0.895 -0.357 -0.025 -0.935],85057,0.8196436,100,51,5100,-52.14328,0.00014409504,273.2107,-80.95332,-92.96735,100.0,-89.88169,-97.53868,12.557173,99.39059,4735.521,-46.038105,16.75,-107.93842286068853,0.54565144,
10.0,0.45849165,0.71057093,11.14007,2.8527982,3.4123533,773.3479721546173,[-0.882  0.866 -0.339 -0.02  -0.966],86800,0.57266295,100,52,5200,-67.843254,0.0013261378,204.5677,-78.532814,-92.17599,100.0,-89.56492,-97.13884,4.510321,99.39194,2543.9868,-66.57512,17.43,-107.69324069103149,0.16446488,
10.0,0.47623467,0.5112274,225.1838,22.364494,2.9960346,785.4366564750671,[-0.887  0.859 -0.363  0.009 -0.96 ],88465,0.8311982,100,53,5300,-58.91715,0.00092407066,1815.5032,-79.202126,-92.34755,100.0,-89.60208,-96.76875,8.565486,99.353226,5547.9653,-49.817226,16.65,-107.13543904189382,1.4240172,
10.0,0.47184032,0.70321023,16.905092,2.8049862,3.058347,798.697265625,[-0.885  0.897 -0.361 -0.014 -0.943],90154,1.0072409,100,54,5400,-70.85568,0.004503804,461.61417,-83.05467,-92.91678,100.0,-89.98946,-97.39352,6.552926,99.39012,7620.3926,-66.3978,16.89,-108.0003947771369,0.10738078,
10.0,0.47314882,0.9002473,2.6341887,0.36254734,2.705444,812.2309482097626,[-0.911  0.864 -0.359 -0.034 -0.947],91862,0.78572357,100,55,5500,-83.098045,0.07475808,26.604548,-82.74135,-92.82165,100.0,-90.06329,-97.71553,4.800746,99.36276,4750.472,-83.85216,17.08,-108.0817184172093,0.05070775,
10.0,0.48419407,0.8898147,3.4187415,0.50288963,3.365108,824.0904760360718,[-0.895  0.839 -0.351 -0.042 -0.946],93553,0.7004648,100,56,5600,-81.9507,0.017968347,53.700115,-79.83847,-92.66036,100.0,-89.77864,-97.47685,6.512622,99.345474,3815.1064,-82.57722,16.91,-107.73673635835456,0.055952672,
10.0,0.48430797,0.44846243,158.11768,14.680723,3.4411123,836.5638964176178,[-0.917  0.832 -0.338 -0.065 -0.935],95294,0.79964966,100,57,5700,-51.715412,5.5285207e-05,906.4112,-79.2443,-92.87063,100.0,-89.83072,-97.709465,12.869849,99.3646,4855.3896,-45.371765,17.41,-108.44499697633181,0.8940366,
10.0,0.5041653,0.9073132,2.2366476,0.32849297,2.7305474,850.9243597984314,[-0.933  0.795 -0.333 -0.048 -0.935],97033,0.9121907,100,58,5800,-82.85779,0.07729245,15.011667,-80.4366,-92.92544,100.0,-90.16404,-97.47768,7.882855,99.37218,6354.9224,-84.02135,17.39,-108.46321698170283,0.052174803,
10.0,0.49895933,0.43782625,78.28245,4.900976,2.51002,863.3529210090637,[-0.939  0.8   -0.353 -0.04  -0.915],98677,0.7167336,100,59,5900,-49.398396,0.0006047568,326.48825,-82.556076,-93.27723,100.0,-89.91693,-97.60363,16.681448,99.37315,3761.401,-43.929092,16.44,-107.9908392876545,0.38400906,
10.0,0.493881,0.60522115,68.42321,7.873069,2.8729646,877.4210872650146,[-0.915  0.826 -0.379 -0.033 -0.92 ],100362,0.95989525,100,60,6000,-64.15708,0.00015849504,405.6032,-83.15239,-93.262695,100.0,-90.269226,-97.428764,10.745614,99.39573,7140.9556,-59.285793,16.85,-108.35841796374399,0.53163373,
10.0,0.49822956,0.6728571,86.812805,7.8258457,2.8114862,888.9064855575562,[-0.923  0.809 -0.361 -0.007 -0.925],102055,1.5079463,100,61,6100,-70.68933,0.0011668488,378.2522,-83.17605,-93.07082,100.0,-89.90897,-97.60416,36.53095,99.349045,18809.574,-64.20169,16.93,-108.21238835491859,0.5748257,
10.0,0.5042248,0.57821536,84.84019,12.278689,2.9700773,900.3364279270172,[-0.928  0.79  -0.335  0.006 -0.921],103775,0.9245516,100,62,6200,-60.67882,0.00074251415,665.38336,-81.90511,-92.82391,100.0,-89.84986,-97.37538,9.897001,99.34086,6769.659,-56.633602,17.2,-108.2089982268476,0.7222926,
10.0,0.51140106,0.6105752,52.86785,3.4164517,2.785874,915.7270858287811,[-0.927  0.817 -0.335 -0.027 -0.915],105479,1.1707469,100,63,6300,-63.23982,0.00093037286,149.86932,-85.11769,-93.09337,100.0,-89.94873,-97.44138,22.743128,99.34619,11138.588,-59.622116,17.04,-108.3713269346155,0.29287246,
10.0,0.5552298,0.8060533,12.370844,1.7928843,3.3766396,928.7183837890625,[-0.957  0.798 -0.309 -0.029 -0.908],107222,1.036003,100,64,6400,-76.83082,0.005995541,52.993225,-79.48958,-92.585266,100.0,-89.34628,-97.64031,8.70307,99.36452,8281.829,-76.016426,17.43,-108.11856550130588,0.19378984,
10.0,0.5115491,0.5061174,135.71866,9.124393,3.2621655,943.2344529628754,[-0.94   0.783 -0.308  0.002 -0.864],108896,1.1868643,100,65,6500,-57.792416,0.00011842472,460.20624,-80.45734,-92.85784,100.0,-89.227715,-96.84104,11.770256,99.34535,10512.908,-48.753166,16.74,-107.79528180081616,0.6813292,
10.0,0.49554488,0.4215132,105.263916,7.7184634,3.723828,960.0492100715637,[-0.953  0.726 -0.307  0.006 -0.907],110666,0.72321725,100,66,6600,-46.353836,4.757214e-05,355.26358,-79.38627,-92.467,100.0,-89.34523,-97.17307,30.40347,99.35419,3567.1401,-41.65874,17.7,-108.22790953727956,0.5646172,
10.0,0.51733005,0.49450028,37.752018,4.0108824,2.9370618,974.1211268901825,[-0.909  0.733 -0.338 -0.008 -0.923],112355,0.9938578,100,67,6700,-50.25854,0.0022804171,322.2228,-81.36827,-92.93324,100.0,-89.81333,-97.096596,11.026316,99.36541,7686.7715,-47.595932,16.89,-108.03042864328363,0.2628557,
10.0,0.48730364,0.95595706,1.1515595,0.19887874,2.9424376,988.0896029472351,[-0.853  0.728 -0.374  0.007 -0.902],114100,0.40751857,100,68,6800,-86.15481,0.12838665,2.1801782,-84.05184,-92.63064,100.0,-89.31523,-97.251884,2.8760772,99.363205,1377.0813,-88.99161,17.45,-108.21046589246171,0.037662882,
10.0,0.48528942,0.65545845,36.452824,10.300143,2.945767,1000.1920909881592,[-0.841  0.721 -0.368 -0.009 -0.932],115834,0.9199021,100,69,6900,-66.17,0.0022263436,1312.2983,-82.043236,-92.782646,100.0,-89.70895,-97.39761,32.942333,99.412766,6087.8203,-63.00965,17.34,-108.28222497578348,0.4214628,
10.0,0.47338468,0.6028612,50.142544,15.944574,3.03028,1011.4145972728729,[-0.841  0.733 -0.359 -0.056 -0.934],117627,0.6742925,100,70,7000,-62.91957,0.0008936022,1437.8868,-80.25201,-92.70151,100.0,-89.80449,-97.35495,7.6240535,99.384346,3487.9114,-58.34988,17.93,-108.74791178590212,0.59044915,
10.0,0.45084456,0.6122915,177.48553,10.335706,2.844877,1024.7697699069977,[-0.841  0.748 -0.343 -0.107 -0.946],119287,2.1276593,100,71,7100,-68.374596,0.00027802237,705.88245,-82.98941,-92.92805,100.0,-90.20817,-96.746025,27.273268,99.39077,31829.992,-57.688923,16.6,-107.74183060786683,0.7337145,
10.0,0.4527926,0.7373859,34.005028,2.919149,2.9251318,1039.5015406608582,[-0.797  0.789 -0.347 -0.109 -0.968],120957,1.6286465,100,72,7200,-74.74393,0.00043209677,118.65836,-80.22241,-93.043274,100.0,-90.329,-97.53801,24.416824,99.36143,21914.318,-70.747795,16.7,-107.97208330118897,0.27974266,
10.0,0.46859112,0.8401711,17.673613,4.038487,2.865169,1052.8332901000977,[-0.79   0.796 -0.378 -0.118 -0.966],122635,1.2552476,100,73,7300,-80.90471,0.0043588383,771.2993,-80.32309,-92.95613,100.0,-90.281555,-96.91733,12.1298065,99.356895,13113.043,-79.87337,16.78,-107.94502807658806,0.11203158,
10.0,0.4774565,0.64371264,29.49004,3.409909,3.581029,1066.4542121887207,[-0.769  0.833 -0.365 -0.087 -0.95 ],124365,1.023113,100,74,7400,-66.01837,0.0024234075,513.46106,-80.40452,-92.7665,100.0,-89.97568,-97.495476,11.690973,99.37644,8543.187,-61.805523,17.3,-108.22682299481775,0.18553405,
10.0,0.47460946,0.6407054,20.73291,2.1326978,2.713254,1078.0951027870178,[-0.748  0.85  -0.39  -0.07  -0.942],126025,1.2632792,100,75,7500,-64.0538,0.0007319208,314.29196,-85.45149,-93.17045,100.0,-90.338715,-97.538864,22.536064,99.38213,12127.16,-61.424583,16.6,-108.02232126235369,0.11845193,
10.0,0.45882222,0.86226565,1.4285233,0.20919241,3.1631484,1090.709196805954,[-0.709  0.882 -0.392 -0.047 -0.944],127711,0.51709545,100,76,7600,-78.321304,0.14175646,2.376399,-81.45911,-92.98304,100.0,-90.18053,-97.58634,4.9645,99.38774,2166.489,-80.66892,16.86,-108.06421468260378,0.038608167,
10.0,0.4475981,0.51743716,56.94435,5.1393905,2.645685,1103.189340353012,[-0.785  0.905 -0.388 -0.034 -0.96 ],129382,1.0649132,100,77,7700,-58.70127,0.0010669626,340.99023,-84.93532,-93.72437,100.0,-90.85355,-97.47003,48.120934,99.35514,10004.729,-51.42764,16.71,-108.74313336436016,0.4252139,
10.0,0.42871106,0.6934177,29.960394,7.603486,2.8393223,1117.1082649230957,[-0.797  0.908 -0.341 -0.035 -0.971],131014,1.1043096,100,78,7800,-70.20596,0.0018021701,500.57043,-82.93829,-93.291466,100.0,-90.54271,-97.60362,32.99773,99.38493,9749.288,-66.68192,16.32,-107.88716442945469,0.3642525,
10.0,0.43188918,0.5778723,177.45135,15.733344,2.5254524,1128.596359014511,[-0.803  0.917 -0.294 -0.058 -0.99 ],132662,1.1018655,100,79,7900,-64.02903,0.0002587613,994.9014,-82.4155,-93.033134,100.0,-90.49391,-97.47495,14.341377,99.364716,9812.4,-56.348293,16.48,-107.76948165673588,0.9240116,
10.0,0.396215,0.6822745,48.55167,7.4891067,2.3297124,1142.51633310318,[-0.785  0.946 -0.306 -0.072 -0.987],134280,1.3193033,100,80,8000,-71.19713,0.0003046791,491.41852,-84.354645,-93.30901,100.0,-90.76021,-96.856964,31.510054,99.36383,13089.113,-64.95175,16.18,-107.79408556113252,0.383771,
