InitialReturnMax,EmpiricalD2,MaxIW,StdD2w0t,J_sample_variance,EpisodesSoFar,TimeElapsed,EpRewMean,ReturnStepMaxmin,InitialBound,EpLenMean,EpThisIter,TimestepsSoFar,Iteration,ReturnMeanIW,MeanIW,InitialReturnStd,InitialReturnMean,MeanEntropy,StdIW,MeanD2w0t,EntropyCoefficient,ReturnStepMax,InitialReturnMin,MinD2w0t,Bound,Weights,MaxD2w0t,MinIW
4.365341,1.0156789,1.5041249,0.28437173,629.37036,1100,118.60017657279968,-139.64196361319512,93.54555,-88.64913,43.27,100,48421,11,228.90318,1.0316056,1.5450978,3.4332274e-06,1.4395629,0.13174666,0.08752488,10.0,100.0,-2.0486298,,-85.152664,[ 0.527 -0.519  0.21   0.374  0.01 ],1.0546229,0.68167806
6.1529617,1.0051638,1.302466,0.28340673,158.85196,1200,130.39123487472534,-139.7642810829655,93.60785,-88.12074,43.73,100,52794,12,221.68578,1.0084349,1.9057233,8.392334e-07,1.4351858,0.06979409,0.0877388,10.0,100.0,-2.1212845,,-87.29345,[ 0.533 -0.529  0.214  0.382  0.021],1.0156898,0.8402294
5.696724,1.2086513,2.9381483,0.30282924,6355.5044,1300,141.02380228042603,-141.77848406756823,93.783005,-101.78048,45.61,100,57355,13,230.48355,1.1039798,1.7529068,-2.3651123e-06,1.4400061,0.4767218,0.09577951,10.0,100.0,-2.0162354,,-91.38332,[ 0.535 -0.535  0.216  0.387  0.016],1.2959906,0.2655025
8.119659,1.5383098,5.5274835,0.3046355,25034.049,1400,151.33937811851501,-135.31106889522775,93.160934,-68.41157,39.57,100,61312,14,286.47382,1.2331645,1.8682787,-7.2479247e-06,1.4329731,0.8508643,0.08851371,10.0,100.0,-2.5045166,,-46.6909,[ 0.548 -0.512  0.22   0.392  0.021],1.7484858,0.14878045
4.733223,1.0513941,2.6087613,0.27599826,2839.7913,1500,166.74088048934937,-135.53653370825634,93.12483,-58.81132,39.45,100,65257,15,252.9201,1.0443665,1.5743582,-7.858276e-06,1.4262244,0.26147613,0.080762625,10.0,100.0,-2.0290833,,-54.41857,[ 0.575 -0.477  0.225  0.397  0.014],1.1370511,0.5499254
6.5462875,1.0345035,1.5919032,0.28176925,1020.24005,1600,176.588928937912,-138.21272464568375,93.44342,-78.74197,42.16,100,69473,16,234.55283,1.0371546,1.7205375,-3.3569336e-06,1.4163758,0.16935618,0.08549447,10.0,100.0,-2.2335587,,-75.34311,[ 0.557 -0.474  0.221  0.38   0.007],1.0619185,0.47234622
4.74868,1.0131179,1.3054262,0.2752681,502.33838,1700,187.26733541488647,-136.60530483223528,93.262375,-63.696823,40.55,100,73528,17,241.1839,1.0189735,1.6311251,1.2207031e-05,1.4068586,0.11166678,0.08177677,10.0,100.0,-2.0961761,,-61.659657,[ 0.565 -0.472  0.226  0.385 -0.003],1.0341378,0.65280366
6.6673584,1.005214,1.2251601,0.27160695,181.03302,1800,196.56874251365662,-136.2187530372498,93.175415,-61.293674,39.92,100,77520,18,242.28372,1.0050228,1.5933998,-4.4250487e-06,1.4100654,0.06861555,0.080004394,10.0,100.0,-2.058876,,-60.79043,[ 0.57  -0.474  0.23   0.381 -0.012],1.0100739,0.85234284
5.1968613,1.0096884,1.5125219,0.2697409,489.23886,1900,206.032231092453,-135.35311642713302,93.05347,-60.782356,38.97,100,81417,19,250.36378,1.0140698,1.4416714,9.155273e-07,1.4192892,0.108179115,0.0784193,10.0,100.0,-1.8794708,,-59.287193,[ 0.571 -0.47   0.23   0.378 -0.009],1.033713,0.7952412
5.907669,1.0339581,2.0580933,0.28125337,1545.562,2000,216.12023282051086,-138.22374744223822,93.441345,-78.96415,42.15,100,85632,20,234.03355,1.0317982,1.6576244,9.994506e-06,1.4267362,0.20792657,0.08532792,10.0,100.0,-2.0251923,,-75.794174,[ 5.707e-01 -4.743e-01  2.319e-01  3.827e-01  2.957e-04],1.0679108,0.5630807
5.3363953,1.0319558,1.8246526,0.29139167,1432.7017,2100,227.0237729549408,-140.23370864479824,93.677475,-93.35991,44.36,100,90068,21,228.07516,1.0653104,1.8006849,-1.3732911e-06,1.4254429,0.21256873,0.09088954,10.0,100.0,-2.4181747,,-87.75894,[ 0.568 -0.459  0.232  0.388  0.008],1.1257737,0.67277944
3.7082672,1.027673,2.0024767,0.2788313,1210.8247,2200,239.21108317375183,-136.80595165433124,93.2823,-69.675156,40.73,100,94141,22,244.64143,1.0440586,1.4767503,-2.5177003e-06,1.4166529,0.19218577,0.08301687,10.0,100.0,-1.9853516,,-65.648,[ 0.572 -0.456  0.226  0.37   0.007],1.0872424,0.65801144
6.762871,1.091546,2.4258456,0.2839242,4239.8804,2300,249.50623083114624,-137.8152043267837,93.37268,-80.89155,41.59,100,98300,23,241.78183,1.0537986,1.637841,-1.2969971e-06,1.4126343,0.34566337,0.08548955,10.0,100.0,-2.2406082,,-75.828705,[ 0.585 -0.457  0.224  0.356 -0.002],1.1477451,0.49585196
5.125084,1.161143,3.14275,0.28814855,5255.2783,2400,261.67417216300964,-137.8249137799616,93.37221,-72.42029,41.59,100,102459,24,248.29495,1.0931576,1.5806873,3.0517577e-07,1.4153994,0.39454746,0.08669735,10.0,100.0,-2.2148056,,-63.018246,[ 0.569 -0.462  0.217  0.343 -0.006],1.2625302,0.42372757
5.924576,1.013135,1.2857407,0.2744645,418.69092,2500,272.77880215644836,-136.33651140938377,93.27066,-69.847046,40.52,100,106511,25,239.8682,1.0121562,1.9092449,8.69751e-06,1.4076746,0.10949762,0.08150279,10.0,100.0,-2.31884,,-68.44755,[ 0.584 -0.448  0.223  0.358 -0.004],1.0305351,0.65506774
5.0819473,1.0388927,2.199846,0.2823152,2251.2783,2600,283.16001296043396,-137.37070330151727,93.38132,-75.861824,41.51,100,110662,26,242.7657,1.0567869,1.7541844,-3.7384034e-06,1.4229639,0.24863708,0.08493553,10.0,100.0,-2.3834534,,-69.47393,[ 0.583 -0.455  0.224  0.361 -0.011],1.1093267,0.6482247
5.575363,1.015758,1.4800545,0.26829726,675.6998,2700,292.6366333961487,-133.99377708663664,92.96805,-50.445045,38.11,100,114473,27,257.64133,1.0224282,1.6990836,6.1798096e-06,1.4213433,0.1167076,0.07706112,10.0,100.0,-2.345909,,-46.97657,[ 0.567 -0.446  0.216  0.361  0.004],1.0496941,0.5556321
5.680435,1.1072835,3.526951,0.28373393,7626.996,2800,302.7783977985382,-135.2987673194745,93.15636,-61.712837,39.54,100,118427,28,265.25876,1.111461,1.8829513,2.9754638e-06,1.4189507,0.43460673,0.08306218,10.0,100.0,-2.5999832,,-49.55494,[ 0.592 -0.467  0.225  0.362  0.002],1.3128963,0.50574803
5.4532013,1.0126872,1.3402612,0.2681766,482.45377,2900,312.60040187835693,-134.85155865852244,92.99109,-55.066,38.48,100,122275,29,253.03543,1.0109736,1.46405,-6.027222e-06,1.4163561,0.10193381,0.07743786,10.0,100.0,-2.0741882,,-53.73973,[ 5.595e-01 -4.159e-01  2.164e-01  3.601e-01  3.858e-05],1.0305266,0.74279755
5.811699,1.0331273,1.6104925,0.2736449,1058.3243,3000,322.17663288116455,-135.35783057129322,93.15683,-67.49141,39.56,100,126231,30,249.82896,1.0311775,1.7928517,-1.2359619e-05,1.4232785,0.17207846,0.08020283,10.0,100.0,-2.2809906,,-63.254597,[ 0.564 -0.414  0.219  0.353 -0.003],1.0735593,0.5895452
3.1089478,1.028273,1.5624732,0.27613318,964.988,3100,332.72495341300964,-136.34936294400453,93.18764,-55.585392,40.03,100,130234,31,248.55449,1.0374951,1.2237084,-1.2969971e-06,1.4067785,0.15540415,0.081455275,10.0,100.0,-1.7957458,,-51.649914,[ 0.578 -0.414  0.224  0.347  0.004],1.0703752,0.61213905
5.6187744,1.0281762,1.5621219,0.27305394,997.3669,3200,342.46440052986145,-135.90446799742094,93.18091,-56.431698,39.86,100,134220,32,244.39386,1.0136033,1.5690932,-1.2207031e-05,1.4047241,0.1660794,0.08036077,10.0,100.0,-2.1808014,,-54.923157,[ 0.578 -0.409  0.221  0.339 -0.012],1.0408703,0.52420145
6.1529617,1.0271641,1.5568727,0.26555493,1143.2322,3300,352.50022554397583,-133.0847441104035,92.86983,-46.84311,37.33,100,137953,33,262.26407,1.0214146,2.0105987,2.1362305e-06,1.4034272,0.15874247,0.07543014,10.0,100.0,-2.432129,,-43.567383,[ 0.584 -0.404  0.226  0.339 -0.014],1.0447855,0.65080994
4.993965,1.0483648,2.4869769,0.26859576,2502.1353,3400,363.2420415878296,-133.92603816425913,92.90646,-49.83989,37.76,100,141729,34,261.6058,1.0314736,1.5705818,3.3569336e-06,1.4150372,0.25435862,0.07676011,10.0,100.0,-1.9390717,,-46.4565,[ 0.6   -0.409  0.234  0.341 -0.015],1.0874134,0.5995573
4.879524,1.067301,2.699905,0.26238015,4536.111,3500,372.9133231639862,-131.02907000951132,92.53395,-23.22768,35.1,100,145239,35,284.4654,1.0386633,1.5451672,6.2561035e-06,1.4209051,0.2841973,0.072077274,10.0,100.0,-2.159912,,-17.75625,[ 0.604 -0.399  0.237  0.343 -0.004],1.1263553,0.5971104
5.705406,1.0542037,1.8588909,0.2608942,2585.8274,3600,382.8048589229584,-131.37687333194745,92.58177,-20.269373,35.42,100,148781,36,278.30542,1.0277932,1.6264571,-4.5013426e-06,1.4249102,0.22924562,0.07202657,10.0,100.0,-2.4006119,,-16.43086,[ 0.596 -0.404  0.229  0.328  0.002],1.088972,0.52130026
6.038803,1.0918274,2.1629138,0.27157435,4785.3247,3700,392.98072147369385,-131.89703155132466,92.623215,-1.2641125,35.76,100,152357,37,287.67566,1.0768863,1.6325616,7.476807e-06,1.414492,0.30224794,0.07532203,10.0,100.0,-2.2597122,,7.9624863,[ 0.595 -0.419  0.228  0.318  0.006],1.1754414,0.34892341
6.653633,1.0459471,1.4784079,0.2706781,1454.3059,3800,403.57812786102295,-134.12071529377062,93.023636,-50.85784,38.45,100,156202,38,257.3229,1.0393378,1.7259892,-8.544922e-06,1.4056163,0.19175532,0.07811649,10.0,100.0,-2.3360443,,-46.408802,[ 0.6   -0.421  0.244  0.319 -0.004],1.0768166,0.6873002
6.662285,1.1622168,4.06382,0.28273612,13992.976,3900,413.84956550598145,-133.6347880865345,92.91438,-41.36333,37.72,100,159974,39,273.43283,1.0848371,1.8092287,-7.858276e-06,1.4085507,0.5394816,0.080597386,10.0,100.0,-2.2017822,,-35.373753,[ 0.603 -0.441  0.247  0.319 -0.013],1.4145827,0.46439132
5.5899887,1.0082791,1.4110438,0.25811496,612.1409,4000,423.9395864009857,-131.16296154727195,92.56024,-33.098972,35.26,100,163500,40,277.26392,1.0201198,1.7636489,-1.0757446e-05,1.4052677,0.10668179,0.071092606,10.0,100.0,-2.2998276,,-30.397823,[ 0.611 -0.422  0.248  0.346 -0.01 ],1.0429366,0.5444927
5.7083817,1.0242447,1.8034391,0.2694646,1542.3073,4100,434.4659719467163,-133.99298716448783,92.957,-50.448498,38.05,100,167305,41,259.91824,1.0334351,1.6304555,-1.5258789e-06,1.4183921,0.19096264,0.07732547,10.0,100.0,-2.179123,,-46.952003,[ 0.616 -0.433  0.255  0.346 -0.014],1.0857904,0.6510857
7.2110596,1.2479036,3.6554713,0.2896351,11296.087,4200,447.8713185787201,-136.43434325360485,93.24582,-77.2974,40.4,100,171345,42,259.65488,1.1027291,1.5904648,4.8065185e-06,1.4210044,0.57982653,0.08567423,10.0,100.0,-1.8010483,,-66.57606,[ 6.112e-01 -4.386e-01  2.591e-01  3.533e-01 -5.940e-04],1.3565977,0.32809818
6.391472,1.0506983,2.379432,0.2646934,2831.5198,4300,458.8178265094757,-132.03366241237592,92.69725,-25.923775,36.16,100,174961,43,274.63303,1.0440377,1.7685096,1.6021728e-06,1.4330411,0.2580565,0.07389213,10.0,100.0,-1.9705658,,-21.239109,[ 0.595 -0.457  0.25   0.339  0.002],1.0981218,0.5478133
5.596031,1.0506784,2.2897723,0.27998576,2197.0918,4400,469.56799125671387,-136.5798407266913,93.344055,-70.20636,41.04,100,179065,44,241.16197,1.0427746,1.8222145,-6.2561035e-06,1.4478885,0.26415685,0.0837106,10.0,100.0,-2.5917892,,-66.706345,[ 0.598 -0.447  0.253  0.331  0.014],1.0966091,0.5883529
5.9402237,1.0408334,1.909934,0.2647588,2098.3962,4500,479.0728340148926,-132.55113387043343,92.73494,-31.226192,36.49,100,182714,45,271.66385,1.0321265,1.6168137,-6.1035155e-07,1.4385669,0.20388849,0.07427721,10.0,100.0,-2.011856,,-26.579327,[ 0.607 -0.44   0.254  0.333  0.029],1.0722138,0.65782046
5.7960052,1.0200157,1.6407275,0.2659906,1054.7233,4600,490.21542716026306,-133.10988437932906,92.860825,-48.390453,37.29,100,186443,46,264.0426,1.0285575,1.6623496,2.822876e-06,1.4530205,0.15428263,0.0755028,10.0,100.0,-2.090477,,-44.98957,[ 0.595 -0.437  0.246  0.323  0.02 ],1.0883199,0.64982975
8.003426,1.0811168,1.7828394,0.26815084,3458.2686,4700,500.53991746902466,-133.28446309024713,92.8457,-47.196327,37.26,100,190169,47,265.78506,1.0387111,1.6434665,3.0517577e-07,1.4453335,0.2813045,0.07606843,10.0,100.0,-1.9505768,,-43.496525,[ 0.603 -0.438  0.245  0.321  0.034],1.1144235,0.4566859
4.4675674,10.873646,80.28915,0.8815505,3687629.2,4800,510.4421012401581,-133.31439243137802,92.895584,-33.810444,37.53,100,193922,48,555.89056,2.3251338,1.619948,-4.196167e-06,1.4228728,8.511696,0.17032453,10.0,100.0,-2.0506363,,63.108154,[ 0.612 -0.422  0.247  0.326  0.026],23.194096,0.0072945934
5.727768,1.010967,1.4994202,0.26532492,607.63947,4900,523.4152657985687,-132.8125489268516,92.89203,-41.003815,37.37,100,197659,49,260.07187,1.0175405,1.752336,-2.822876e-06,1.4290692,0.11152067,0.075408414,10.0,100.0,-2.2182922,,-39.060078,[ 0.696 -0.359  0.263  0.301  0.004],1.0386988,0.75359607
4.063896,1.1131103,2.0671096,0.26420343,7039.429,5000,532.36727643013,-130.45439546222406,92.483185,-23.922901,34.71,100,201130,50,290.67145,1.0601478,1.439677,3.4332274e-06,1.4116776,0.3804372,0.0721201,10.0,100.0,-2.2123337,,-17.864151,[ 0.697 -0.358  0.258  0.305  0.01 ],1.1876739,0.30601925
4.9183655,1.0261316,1.679327,0.25681525,1383.3528,5100,542.9537806510925,-130.7526925762014,92.51129,-18.865585,34.92,100,204622,51,277.8818,1.0111747,1.3715032,6.6375733e-06,1.4178576,0.16646543,0.070369266,10.0,100.0,-1.9742126,,-17.242748,[ 0.702 -0.344  0.265  0.313 -0.007],1.0425873,0.67123544
4.6115494,1.1023192,2.681583,0.25573522,8086.9673,5200,553.3002591133118,-128.45686023622108,92.21945,-14.365186,33.02,100,207924,52,303.13248,1.0553328,1.5640912,-2.5177003e-06,1.4121944,0.3838426,0.067972004,10.0,100.0,-2.55262,,-8.095006,[ 0.702 -0.332  0.264  0.313 -0.001],1.1733238,0.46752062
4.5201187,1.0094376,1.4481511,0.24656719,858.5552,5300,562.7748038768768,-127.49710503864495,92.03641,-1.2745104,32.02,100,211126,53,302.14758,1.0127825,1.4270272,4.272461e-06,1.4184186,0.10882541,0.06449503,10.0,100.0,-2.3736038,,0.42732048,[ 0.705 -0.307  0.259  0.307 -0.007],1.0364686,0.82413054
4.5606613,1.2658616,3.5355222,0.2588677,17361.66,5400,571.7639276981354,-127.52015020831101,92.0025,1.4182873,31.89,100,214315,54,325.32678,1.0920926,1.4255744,-6.866455e-06,1.4233799,0.5389151,0.067389145,10.0,100.0,-2.2274017,,15.331028,[ 7.110e-01 -3.118e-01  2.600e-01  2.973e-01 -4.975e-04],1.3761519,0.2987481
5.4642487,1.0218772,1.4620925,0.25131866,1387.745,5500,581.2993538379669,-129.05515128244969,92.27908,-11.496731,33.43,100,217658,55,288.65717,1.0097343,1.7382894,-3.8146973e-07,1.4300499,0.15986563,0.06727113,10.0,100.0,-2.2662735,,-10.579872,[ 0.697 -0.339  0.257  0.294  0.004],1.0312532,0.70469373
4.975151,1.2840734,4.760584,0.2719869,24445.553,5600,591.4858541488647,-130.08197693057122,92.48515,-18.949959,34.62,100,221120,56,295.02826,1.0801854,1.6584551,-6.027222e-06,1.4404562,0.7133603,0.07392776,10.0,100.0,-2.6322784,,-13.289438,[ 0.704 -0.333  0.258  0.294  0.011],1.4409821,0.22542796
4.953621,1.277123,4.030171,0.25965744,24574.516,5700,600.5849003791809,-126.9737785029618,91.85449,18.211477,31.46,100,224266,57,322.06253,1.0731797,1.5075731,5.569458e-06,1.4290484,0.6318714,0.067080036,10.0,100.0,-2.109085,,24.629261,[ 0.724 -0.315  0.27   0.301  0.022],1.3714285,0.24993908
3.8331833,1.4612933,8.937091,0.27068204,80498.58,5800,609.2825055122375,-124.92026699793149,91.49913,51.238605,29.39,100,227205,58,373.76733,1.1684899,1.4610602,7.6293946e-07,1.4086344,1.0477018,0.06691293,10.0,100.0,-2.2117615,,70.980446,[ 0.741 -0.292  0.279  0.311  0.01 ],2.2689638,0.17287858
4.218849,1.0476471,1.5384247,0.24293277,2210.8657,5900,619.5479593276978,-126.13163813437215,91.784546,16.438852,30.76,100,230281,59,316.25223,1.0206704,1.5585924,-7.858276e-06,1.4049047,0.18276311,0.062193003,10.0,100.0,-2.6922379,,20.059729,[ 0.756 -0.246  0.261  0.296 -0.01 ],1.0711432,0.57759804
4.380951,1.0280163,1.4735174,0.23378703,1951.8157,6000,629.0750703811646,-123.84057877449058,91.260376,59.31388,28.34,100,233115,60,344.26984,1.0222423,1.3615125,6.4849855e-06,1.4150603,0.15399767,0.057302363,10.0,100.0,-2.6609344,,63.79605,[ 0.766 -0.237  0.264  0.302 -0.014],1.0791973,0.74234927
5.806595,4.7412977,27.35709,0.46806508,863604.44,6100,638.8264312744141,-125.03352069370766,91.56035,34.364075,29.63,100,236078,61,501.50327,1.7165036,1.6386487,-2.2888185e-06,1.4193697,3.7185464,0.09727734,10.0,100.0,-2.4120407,,95.73337,[ 0.744 -0.234  0.263  0.31  -0.004],10.413779,0.0046435315
4.332535,1.0835162,2.2780373,0.23551269,9694.102,6200,649.3033454418182,-122.89468826108921,91.055695,76.17346,27.48,100,238826,62,358.46072,1.0395507,1.3479546,-3.6621093e-06,1.40191,0.3326789,0.05677225,10.0,100.0,-2.1596756,,80.24679,[ 7.952e-01 -1.615e-01  2.507e-01  3.421e-01  3.997e-04],1.1525517,0.46106657
3.9421997,1.1514926,2.473621,0.24031623,13220.479,6300,657.4535889625549,-122.93355893015607,91.16222,77.454185,27.82,100,241608,63,360.5402,1.0636672,1.4314964,-3.8146973e-07,1.400735,0.3913486,0.058270693,10.0,100.0,-2.355629,,87.88357,[ 0.788 -0.173  0.246  0.322 -0.017],1.2335236,0.31836668
3.4346542,1.0713168,2.075447,0.24611591,5809.4985,6400,666.5400133132935,-125.7822049343366,91.76549,25.41824,30.55,100,244663,64,324.57175,1.0428336,1.3150394,1.04522705e-05,1.420469,0.28575495,0.06276913,10.0,100.0,-2.8093948,,31.595133,[ 0.809 -0.166  0.262  0.328 -0.018],1.1371155,0.47003013
3.501068,1.0444465,1.8481092,0.2352666,2691.7693,6500,676.5992012023926,-124.14102995847568,91.33538,53.395424,28.7,100,247533,65,338.88098,1.0221175,1.2552121,-6.8664554e-07,1.4224017,0.18501398,0.05805342,10.0,100.0,-1.9068375,,57.09526,[ 0.815 -0.186  0.265  0.329  0.002],1.0633337,0.5746487
3.651802,1.2394267,2.6499586,0.24916346,17067.469,6600,685.1078867912292,-124.25351839523054,91.43375,44.1606,29.01,100,250434,66,358.36398,1.0967977,1.4295839,2.2888185e-06,1.4004174,0.46675217,0.061698776,10.0,100.0,-2.9445114,,61.453606,[ 0.822 -0.174  0.264  0.322  0.003],1.3739372,0.18231986
6.2717285,1.0565983,1.7775058,0.23524712,4341.711,6700,694.0505356788635,-123.72372979732052,91.29013,62.4598,28.41,100,253275,67,344.53366,1.028733,1.2734973,3.6621093e-06,1.4000406,0.233417,0.057731353,10.0,100.0,-2.7409515,,67.578835,[ 0.813 -0.2    0.259  0.311 -0.018],1.1101743,0.50324476
5.2386093,1.3426764,3.2693098,0.2579326,22138.994,6800,703.1348159313202,-125.99422742573472,91.83975,23.842752,30.88,100,256363,68,336.13773,1.1162883,1.5476658,9.231568e-06,1.4051613,0.58298576,0.06592159,10.0,100.0,-2.9365768,,38.483376,[ 0.804 -0.18   0.26   0.321 -0.019],1.4426422,0.25455388
4.373131,1.0951633,2.9813085,0.24304365,8216.933,6900,712.3458302021027,-123.39396331331311,91.22064,68.94172,28.11,100,259174,69,365.37387,1.0875106,1.4138405,1.04522705e-05,1.3819286,0.29973838,0.05925464,10.0,100.0,-2.7240524,,83.1305,[ 0.826 -0.151  0.262  0.33  -0.014],1.239844,0.21165039
4.764023,1.952325,8.823174,0.28163087,118169.63,7000,721.4691388607025,-122.20239234453247,90.96471,62.05238,27.05,100,261879,70,435.40714,1.2662485,1.4460262,5.41687e-06,1.4007405,1.1295649,0.065473504,10.0,100.0,-2.6265335,,108.49923,[ 0.82  -0.165  0.268  0.312 -0.037],3.3111684,0.037100285
4.4653473,1.0257176,1.7410655,0.2299707,3206.9658,7100,732.3035883903503,-121.95976005079578,90.9893,65.63506,27.07,100,264586,71,359.95175,1.02847,1.3815538,-4.348755e-06,1.419895,0.18355915,0.055016704,10.0,100.0,-3.2159042,,70.07041,[ 0.887 -0.151  0.285  0.344 -0.018],1.0802977,0.72671646
3.3995743,1.1018515,2.4408882,0.23394005,10275.859,7200,741.8170027732849,-121.5692574466354,90.9039,78.60023,26.73,100,267259,72,374.24185,1.0553509,1.395257,-1.0223389e-05,1.4394753,0.3233673,0.05556693,10.0,100.0,-2.677948,,89.2226,[ 8.878e-01 -1.550e-01  2.895e-01  3.466e-01  8.774e-04],1.2152951,0.44952378
4.2145004,257.5824,1019.20905,17.64428,722389760.0,7300,751.9154043197632,-123.59066851456303,91.36334,53.268898,28.62,100,270121,73,2932.0347,10.415652,1.3351179,3.7384034e-06,1.3836967,99.09381,1.1293237,10.0,100.0,-2.550438,,932.884,[ 0.91  -0.153  0.299  0.367  0.021],1240.0988,1.0514947e-06
3.8728638,1.2975949,3.4043183,0.23544462,31615.596,7400,764.5955336093903,-119.59363927850737,90.45276,111.537254,25.2,100,272641,74,402.65573,1.0837172,1.4449706,7.781982e-06,1.366591,0.5663789,0.054019723,10.0,100.0,-3.6557999,,126.49736,[ 0.992 -0.028  0.311  0.323 -0.035],1.490747,0.25842604
4.903595,1.0463688,2.1999493,0.2170398,8453.81,7500,773.2870492935181,-118.06638958796658,90.02396,115.1046,23.67,100,275008,75,410.54553,1.0308295,1.6366235,,1.3812124,0.25736433,0.048376832,10.0,100.0,-3.2893677,,121.31805,[ 0.994  0.004  0.319  0.34  -0.052],1.0807195,0.54779243
4.925537,1.2379159,3.1513019,0.21948652,37191.617,7600,781.278614282608,-115.80437132204314,89.19231,196.9275,21.43,100,277151,76,473.87723,1.0780753,1.670448,1.0986329e-05,1.3886788,0.4904727,0.04632281,10.0,100.0,-3.5872803,,216.90329,[ 1.017 -0.001  0.33   0.339 -0.038],1.4179485,0.24971956
3.4847183,1.029631,1.8985442,0.20918618,5940.3647,7700,789.8759386539459,-116.5894698484549,89.46587,166.51828,22.16,100,279367,77,433.9851,1.019665,1.5900849,-4.348755e-06,1.4008461,0.2044844,0.045044478,10.0,100.0,-3.3935928,,170.31876,[ 1.048  0.005  0.347  0.332 -0.03 ],1.0774825,0.540905
5.2952347,1.1069388,3.1525855,0.21580884,15000.021,7800,797.9449491500854,-116.29975869382146,89.382545,162.51843,22.08,100,281575,78,455.60876,1.0757852,1.6360375,,1.4264157,0.34129238,0.046348847,10.0,100.0,-3.7416077,,178.42331,[ 1.063 -0.009  0.35   0.343 -0.018],1.3025331,0.4837126
