Iteration,EpThisIter,StdIW,InitialBound,TimeElapsed,ReturnMeanIW,InitialReturnMean,MeanD2w0t,EpisodesSoFar,J_sample_variance,EpRewMean,ReturnStepMax,InitialReturnStd,MeanEntropy,Bound,StdD2w0t,MaxIW,ReturnStepMaxmin,EmpiricalD2,MinIW,TimestepsSoFar,Weights,InitialReturnMax,MinD2w0t,MaxD2w0t,EpLenMean,InitialReturnMin,MeanIW
15,100,0.43354312,-70.914215,153.66970872879028,241.08762,-8.010864e-07,0.073270395,1500,6281.0195,-106.29520262300449,100.0,14.084044,1.4589845,-63.73398,0.26786292,2.6985576,92.90164,1.1222386,0.37058082,54488,[-0.662 -1.086 -0.798 -0.984  0.038],39.47416,,1.2324752,34.86,-17.694122,1.0961999
16,100,0.0958448,-88.907455,164.6788694858551,210.78854,2.0980835e-06,0.07475448,1600,437.48453,-107.76070786771042,100.0,12.830446,1.4600692,-88.0878,0.2634758,1.3681564,93.21419,1.0095172,0.75998735,58213,[-0.664 -1.093 -0.797 -0.972  0.04 ],39.015175,,1.0223788,37.25,-15.639709,1.0083512
17,100,0.15313737,-87.28262,176.0698642730713,216.32729,-1.4495849e-06,0.07512569,1700,1140.8934,-107.60658116926184,100.0,12.9726095,1.4672263,-83.34636,0.26546186,1.6266931,93.19599,1.0191014,0.65623534,61921,[-0.668 -1.098 -0.799 -0.97   0.041],38.09939,,1.0553727,37.08,-15.611244,1.0356174
18,100,0.113993876,-101.81134,186.05078125,200.66296,1.3732911e-06,0.07878275,1800,671.7901,-107.37820402822676,100.0,13.634546,1.4706812,-99.029205,0.27059984,1.4757876,93.50332,1.0121723,0.771345,65828,[-0.649 -1.095 -0.788 -0.974  0.048],37.67979,,1.0361332,39.07,-17.613983,1.0268344
19,100,2.9469752,-84.16983,195.63613867759705,273.69226,-3.8146973e-06,0.0906801,1900,139977.05,-107.30010245839088,100.0,13.294759,1.4807932,-68.686554,0.32841855,31.195667,93.16848,1.8158722,0.117895,69508,[-0.64  -1.106 -0.788 -0.983  0.052],49.416985,,3.22443,36.8,-15.869263,1.4313556
20,100,0.11320217,-83.74687,207.63289427757263,209.33786,4.234314e-06,0.07582722,2000,712.05945,-107.50682414941619,100.0,12.81285,1.4793855,-82.333984,0.26591548,1.404632,93.28171,1.0111401,0.7681783,73268,[-0.663 -1.134 -0.784 -0.973  0.062],39.129772,,1.0312724,37.6,-16.258675,1.0149378
21,100,0.053529292,-117.7852,218.18523240089417,191.7005,4.8828124e-06,0.07977168,2100,273.5939,-107.15623962914711,100.0,14.479227,1.4801178,-117.30261,0.27115652,1.1873027,93.61932,1.0033908,0.8304494,77251,[-0.672 -1.138 -0.785 -0.979  0.06 ],51.78108,,1.0081819,39.83,-17.829895,1.0063627
22,100,0.20267369,-105.2625,228.85896611213684,202.99309,4.272461e-06,0.07877832,2200,1051.5055,-108.13449227051296,100.0,12.560323,1.4829671,-103.30406,0.27111804,2.1809163,93.44467,1.0328158,0.6046506,81144,[-0.666 -1.139 -0.786 -0.981  0.061],49.406834,,1.0593985,38.93,-15.428024,1.0282005
23,100,0.25533345,-116.78023,240.36303234100342,186.59381,3.0517579e-06,0.08664749,2300,1828.2836,-108.30496260498332,100.0,12.940936,1.465929,-113.56387,0.28494695,1.9123318,93.88283,1.0426953,0.48114035,85377,[-0.662 -1.137 -0.787 -0.987  0.064],33.691723,,1.0794991,42.33,-19.112137,1.0542979
24,100,0.24412599,-102.82179,250.6720998287201,194.70763,-3.4332277e-07,0.08266024,2400,1582.4148,-107.50737821503645,100.0,13.120535,1.4839703,-99.99123,0.2785724,2.277677,93.687065,1.0389943,0.59840673,89424,[-0.658 -1.134 -0.782 -0.98   0.047],32.027283,,1.0673137,40.47,-20.275414,1.0420611
25,100,0.07302895,-97.47743,261.54374957084656,201.32826,-5.340576e-07,0.07702321,2500,376.19666,-107.0700163308712,100.0,14.358751,1.48696,-96.72301,0.26707983,1.2875535,93.42198,1.0051312,0.85116565,93263,[-0.656 -1.133 -0.785 -0.982  0.065],46.97105,,1.0138512,38.39,-19.093323,1.0075539
26,100,0.11667997,-123.68538,272.3561203479767,180.89,-6.4849855e-06,0.084188595,2600,539.7297,-106.54339302289546,100.0,15.4848,1.4940552,-122.38823,0.27859,1.526834,93.907104,1.0129404,0.76282895,97447,[-0.654 -1.125 -0.781 -0.979  0.068],40.85608,,1.0226905,41.84,-18.81443,1.020405
27,100,0.049798686,-127.74878,284.7756688594818,176.25917,-2.784729e-06,0.084509455,2700,298.68298,-105.82118268129878,100.0,15.71466,1.4945685,-127.39775,0.27838224,1.1322064,93.98359,1.003526,0.8283292,101666,[-0.658 -1.126 -0.783 -0.975  0.075],45.84429,,1.005879,42.19,-20.721558,1.002962
28,100,0.20786184,-99.35516,296.0893120765686,202.15855,2.632141e-06,0.080080524,2800,1404.8878,-107.09246006096633,100.0,13.964402,1.4960921,-95.974014,0.2746727,2.014514,93.53333,1.0340412,0.587727,105584,[-0.659 -1.124 -0.781 -0.971  0.076],33.239365,,1.0602763,39.18,-18.316628,1.0422426
29,100,0.12929778,-75.42461,307.2110688686371,219.77982,-6.1035155e-07,0.07354112,2900,503.06577,-108.69787498547775,100.0,11.693196,1.4970908,-73.61023,0.26206324,1.4131725,93.04396,1.0185444,0.56329,109234,[-0.658 -1.116 -0.786 -0.967  0.077],30.620937,,1.0448472,36.5,-15.427826,1.0204006
30,100,0.17863913,-105.75864,318.5495762825012,201.01808,-3.3569336e-06,0.078309655,3000,1026.4004,-107.12539781677056,100.0,14.561791,1.5062777,-104.235825,0.2700362,1.8752698,93.476654,1.0202665,0.6728728,113113,[-0.654 -1.107 -0.782 -0.968  0.078],48.820976,,1.0387825,38.79,-19.242195,1.0204011
31,100,0.16891044,-111.76305,329.44309282302856,198.34557,-4.9209593e-06,0.08160554,3100,1010.70996,-108.45437600406885,100.0,13.58277,1.5153031,-107.3723,0.27581993,1.6720481,93.61096,1.0218292,0.6767973,117138,[-0.661 -1.114 -0.784 -0.969  0.087],44.838646,,1.0622199,40.25,-19.653427,1.0454729
32,100,0.13242085,-115.54924,340.59201169013977,182.47113,-7.820129e-06,0.08374217,3200,605.07666,-106.07385495410372,100.0,13.832045,1.5200884,-114.1391,0.2781466,1.6300452,93.89539,1.0164261,0.7082646,121294,[-0.645 -1.129 -0.785 -0.978  0.096],32.01916,,1.0394564,41.56,-19.466293,1.0156788
33,100,0.1335853,-80.03529,350.5989019870758,218.2323,3.4332274e-06,0.0740126,3300,662.98926,-107.967437346886,100.0,11.33347,1.5185542,-78.05603,0.26319706,1.3881152,93.10662,1.0200205,0.74363583,124958,[-0.658 -1.128 -0.784 -0.976  0.101],33.046143,,1.0380684,36.64,-15.088181,1.018711
34,100,0.21415582,-109.08537,361.1365005970001,204.46542,-2.0599366e-06,0.07859165,3400,1212.8596,-107.85424615722654,100.0,13.672837,1.5215833,-106.478455,0.27112567,2.0793335,93.43477,1.0383166,0.59978294,128834,[-0.65  -1.125 -0.776 -0.97   0.1  ],54.26949,,1.0685151,38.76,-21.062248,1.038322
35,100,0.20232442,-111.581924,372.5511546134949,191.3553,2.1362305e-06,0.08348381,3500,1066.4443,-107.05951709642554,100.0,13.813792,1.5371301,-107.87331,0.27934647,1.7439812,93.77759,1.0366538,0.6738149,132934,[-0.664 -1.117 -0.774 -0.957  0.103],50.37674,,1.063038,41.0,-18.962646,1.0475461
36,100,0.30484602,-96.92804,383.31431126594543,206.57607,-4.234314e-06,0.08181919,3600,2364.0664,-107.13295087333672,100.0,12.496253,1.540034,-89.68001,0.27935755,2.2027237,93.579666,1.0980604,0.520685,136887,[-0.672 -1.113 -0.77  -0.952  0.118],31.809273,,1.1695664,39.53,-18.696014,1.0777619
37,100,0.2020548,-94.930374,395.10340452194214,207.49371,1.4877319e-06,0.07934503,3700,1746.2863,-107.74787614592142,100.0,12.963598,1.5288994,-90.040405,0.27352238,1.867547,93.44886,1.0329922,0.6329169,140769,[-0.68  -1.115 -0.764 -0.942  0.121],36.286808,,1.0815213,38.82,-16.40525,1.0477931
38,100,0.16821809,-108.30675,407.0314791202545,195.85359,2.784729e-06,0.08215982,3800,1126.8795,-108.25200471846813,100.0,13.718122,1.5306898,-105.05141,0.27716357,1.8586453,93.63967,1.0228466,0.64644426,144808,[-0.696 -1.115 -0.769 -0.948  0.11 ],54.515766,,1.052488,40.39,-18.696007,1.0323821
39,100,0.073812045,-113.64328,418.1224536895752,180.57799,1.1825562e-06,0.084129915,3900,327.86246,-106.98504754699019,100.0,13.717974,1.5279226,-112.832016,0.2781469,1.2801955,93.89454,1.0056405,0.8008028,148999,[-0.677 -1.111 -0.756 -0.944  0.112],32.61024,,1.0150173,41.91,-18.143913,1.0092458
40,100,0.10528738,-117.21872,428.99746537208557,188.159,-1.2207031e-06,0.082128964,4000,490.08203,-107.22912649166996,100.0,14.331155,1.5380797,-115.802185,0.27545664,1.48972,93.74625,1.01105,0.7348207,153081,[-0.682 -1.103 -0.756 -0.939  0.109],42.243042,,1.023154,40.82,-20.718834,1.0167936
41,100,0.21659745,-122.93378,441.00619649887085,187.31651,1.2969971e-06,0.085311025,4100,1363.0977,-106.93300830275906,100.0,14.525243,1.54949,-119.41673,0.2826907,2.108241,93.876236,1.0376729,0.61813027,157255,[-0.689 -1.105 -0.758 -0.938  0.119],43.422867,,1.0681658,41.74,-20.649246,1.0499585
42,100,0.19445331,-125.092606,453.38336181640625,179.73894,-5.2261353e-06,0.08726394,4200,799.08777,-107.45924097553905,100.0,13.411288,1.5394782,-121.545456,0.28425997,1.7812333,94.010025,1.0365747,0.61363363,161562,[-0.696 -1.1   -0.765 -0.938  0.131],35.280212,,1.0602499,43.07,-19.417587,1.0446221
43,100,0.12045381,-88.40149,464.16589999198914,207.90294,-5.340576e-06,0.07601007,4300,665.68085,-106.62068151449972,100.0,14.237265,1.5263425,-86.58247,0.26640275,1.4865599,93.33472,1.0148644,0.6578405,165326,[-0.713 -1.102 -0.77  -0.931  0.121],31.940475,,1.0278211,37.64,-18.766495,1.0203052
44,100,0.13690056,-108.61188,474.9660460948944,187.74394,6.8664554e-07,0.08399727,4400,657.79865,-107.42019204690514,100.0,13.520889,1.5145489,-105.48341,0.27927688,1.6197937,93.82063,1.0228103,0.6223116,169474,[-0.707 -1.098 -0.764 -0.931  0.107],38.23152,,1.0515157,41.48,-22.103569,1.0368937
45,100,0.19642791,-111.66905,485.7770299911499,195.54454,-7.972717e-06,0.08238196,4500,1334.7684,-107.53132911181007,100.0,14.131034,1.5162042,-108.16185,0.27802864,1.6265361,93.67139,1.0304594,0.57965624,173510,[-0.715 -1.087 -0.758 -0.924  0.096],40.710873,,1.0661021,40.36,-18.413757,1.0401652
46,100,0.078826636,-119.92502,496.83514070510864,190.90894,-3.7384034e-06,0.08089563,4600,414.0563,-106.97317202883542,100.0,14.826054,1.5113945,-118.25922,0.27339482,1.2337711,93.68457,1.0082847,0.67181087,177535,[-0.717 -1.102 -0.773 -0.933  0.097],51.45539,,1.0177925,40.25,-19.456802,1.0174379
47,100,0.12951453,-99.36685,508.692063331604,201.77682,-5.7983398e-06,0.07755526,4700,647.65405,-106.87605567382965,100.0,14.414203,1.5188724,-97.70303,0.2684385,1.4926634,93.45088,1.016419,0.7812231,181387,[-0.706 -1.107 -0.77  -0.939  0.092],42.480698,,1.030998,38.52,-19.3274,1.0201094
48,100,0.20447974,-119.52663,519.8661372661591,193.32625,6.1035155e-07,0.08345699,4800,1371.0114,-107.02035221995426,100.0,14.943648,1.4981273,-115.60094,0.27990165,1.7670088,93.75776,1.0366294,0.56437206,185470,[-0.716 -1.108 -0.77  -0.937  0.1  ],60.8248,,1.081039,40.83,-18.531868,1.0504956
49,100,0.074940264,-102.97574,530.0825326442719,199.60101,7.858276e-06,0.07866986,4900,310.7776,-108.03379277185928,100.0,11.616136,1.4951167,-101.51599,0.26992193,1.367233,93.481094,1.0086367,0.8144062,189385,[-0.708 -1.112 -0.77  -0.94   0.079],37.091507,,1.0255548,39.15,-17.349922,1.0135229
50,100,0.27757153,-107.57994,540.647349357605,198.74129,3.7765503e-06,0.08258637,5000,1805.4834,-106.85661242132123,100.0,13.9532795,1.5043051,-102.03752,0.27921537,2.6218846,93.68904,1.0732507,0.47404346,193409,[-0.713 -1.102 -0.765 -0.934  0.076],37.468376,,1.1274889,40.24,-19.224213,1.0722148
51,100,0.0737535,-107.74858,552.1597592830658,198.04541,-6.2942504e-06,0.07826885,5100,314.45642,-107.48315620865617,100.0,14.024421,1.505944,-107.07059,0.26898608,1.3912668,93.49228,1.0044026,0.82045734,197312,[-0.726 -1.115 -0.768 -0.932  0.085],46.487354,,1.0121944,39.03,-16.394516,1.0094453
52,100,0.07575456,-98.04872,563.4026794433594,195.32771,7.43866e-06,0.07958807,5200,314.95914,-107.86336352098058,100.0,12.266885,1.5072389,-97.32863,0.2712718,1.2515345,93.556656,1.0055114,0.6643649,201275,[-0.728 -1.106 -0.765 -0.929  0.087],31.654755,,1.0176538,39.63,-17.837692,1.0099467
53,100,0.07856369,-109.74927,573.9144759178162,189.41888,-6.3323973e-06,0.08100018,5300,373.19614,-106.78791794549046,100.0,13.680547,1.5120612,-108.808716,0.27346238,1.2997637,93.7043,1.0068772,0.81176454,205308,[-0.728 -1.11  -0.77  -0.927  0.088],36.24164,,1.0139712,40.33,-19.868439,1.0108439
54,100,0.33499798,-106.80063,585.0937490463257,210.3886,1.1062622e-06,0.083038844,5400,3729.3535,-105.53483623123775,100.0,14.497995,1.5136735,-98.373276,0.28480604,2.206898,93.62106,1.0684241,0.36104318,209232,[-0.726 -1.108 -0.768 -0.923  0.093],34.69513,,1.1389823,39.24,-17.647583,1.1081811
55,100,0.18860549,-136.53569,596.567770242691,184.56894,-1.3732911e-06,0.084699124,5500,914.24896,-107.05360843295877,100.0,14.7555065,1.5167055,-133.51096,0.28018346,1.5343832,93.88638,1.0370959,0.602016,213419,[-0.731 -1.099 -0.777 -0.908  0.095],65.38297,,1.0654638,41.87,-19.201836,1.0327796
56,100,0.14702998,-104.407394,607.7223346233368,200.72409,1.9454956e-06,0.07952407,5600,603.87897,-107.84310187848199,100.0,13.79807,1.525785,-101.77829,0.27231774,1.4737251,93.51041,1.024924,0.7315309,217348,[-0.75  -1.107 -0.783 -0.906  0.098],44.874153,,1.0479264,39.29,-19.267792,1.0337936
57,100,0.17753279,-126.78403,619.1611578464508,177.9847,1.1825562e-06,0.0876992,5700,860.10706,-107.28054227716652,100.0,13.827611,1.510721,-124.206924,0.28511953,1.6135815,94.035614,1.0241709,0.5999093,221670,[-0.75  -1.102 -0.786 -0.907  0.107],34.835613,,1.0490286,43.22,-19.27636,1.0310353
58,100,0.12616736,-133.07559,631.448303937912,176.72908,-1.9836425e-06,0.08705498,5800,637.3747,-107.30838509857321,100.0,14.699473,1.5143104,-131.33961,0.283484,1.6320336,94.01935,1.0132047,0.67137367,225979,[-0.758 -1.109 -0.791 -0.91   0.092],45.129883,,1.0307977,43.09,-18.626915,1.0238357
59,100,0.15212142,-84.77164,642.2757263183594,214.99165,-6.4849854e-07,0.07579033,5900,1036.8259,-106.9629602036865,100.0,13.425916,1.5045372,-80.80351,0.26726285,1.784719,93.252396,1.0245799,0.5792942,229701,[-0.75  -1.106 -0.791 -0.906  0.095],40.135044,,1.0609211,37.22,-17.83319,1.0372291
60,100,0.15529977,-96.35077,653.2565248012543,198.52603,-2.670288e-07,0.07973246,6000,747.2055,-107.79604638168759,100.0,12.570336,1.5077279,-94.31848,0.27231994,1.5440495,93.539215,1.0276623,0.6813354,233649,[-0.768 -1.099 -0.8   -0.897  0.086],29.899559,,1.0555753,39.48,-19.10907,1.0270908
61,100,0.06966845,-129.93512,664.7496020793915,170.61295,-2.1362305e-06,0.08655748,6100,369.10315,-105.12845205724,100.0,15.9797325,1.5077329,-129.45947,0.2816567,1.2487937,94.127304,1.003935,0.82664436,237964,[-0.78  -1.109 -0.804 -0.898  0.089],36.901352,,1.009188,43.15,-23.057991,1.0081785
62,100,0.18388921,-101.409836,675.6962049007416,195.07457,-4.8065185e-06,0.08110651,6200,934.6959,-108.12689997098909,100.0,12.584381,1.514568,-99.603806,0.274618,1.7105114,93.60982,1.02461,0.59809256,241976,[-0.776 -1.104 -0.802 -0.893  0.089],30.264751,,1.0455741,40.12,-17.49578,1.0242773
63,100,0.15140125,-106.49065,685.5296638011932,203.03784,3.0899048e-06,0.07986145,6300,636.31586,-109.11218555624632,100.0,12.511897,1.5156465,-103.483215,0.27303606,1.5754851,93.462715,1.0193827,0.6909648,245917,[-0.785 -1.107 -0.806 -0.887  0.096],46.736557,,1.0477523,39.41,-18.721207,1.0341957
64,100,0.09737287,-130.55,695.5553522109985,175.70789,4.15802e-06,0.0865895,6400,453.9626,-107.71363558883148,100.0,13.742489,1.5165768,-129.72867,0.28196985,1.3384137,94.000534,1.0088067,0.80400723,250226,[-0.781 -1.094 -0.801 -0.876  0.097],41.113937,,1.018003,43.09,-18.008522,1.0096465
65,100,0.13404784,-99.94508,706.6491532325745,196.8928,-6.5612794e-06,0.08017844,6500,567.90173,-108.22151340706911,100.0,13.77794,1.5084456,-98.295944,0.27284494,1.387351,93.554924,1.0176579,0.5407682,254201,[-0.78  -1.1   -0.799 -0.878  0.098],48.17836,,1.0433571,39.75,-17.544884,1.0231625
66,100,0.11936403,-95.37715,717.7400169372559,210.74495,3.5095215e-06,0.07712769,6600,647.33813,-108.51107776125681,100.0,12.449154,1.5072542,-91.785995,0.2685273,1.503597,93.305435,1.0199382,0.7366338,258012,[-0.764 -1.103 -0.8   -0.88   0.09 ],38.05931,,1.0493246,38.11,-18.83171,1.0310975
67,100,0.23879011,-102.04224,728.4153070449829,206.677,-7.6293946e-07,0.07943522,6700,1798.431,-108.33569466108516,100.0,12.314516,1.5142456,-97.93051,0.27330115,2.3626187,93.438614,1.0430107,0.5671224,261908,[-0.755 -1.094 -0.79  -0.884  0.088],41.199654,,1.0909839,38.96,-16.224556,1.0496881
68,100,0.13829641,-122.70633,740.3580241203308,182.77968,8.087158e-06,0.084504865,6800,709.5545,-105.96863628111437,100.0,14.870556,1.5211635,-120.17378,0.27990478,1.6346592,93.9261,1.0172923,0.7090914,266085,[-0.745 -1.104 -0.792 -0.897  0.095],39.71815,,1.0364786,41.77,-20.21167,1.0295341
69,100,0.12925723,-112.619644,751.0116968154907,188.4165,-2.784729e-06,0.0825791,6900,462.68936,-107.7039548600484,100.0,13.280825,1.5240139,-111.07675,0.27629772,1.6134369,93.74616,1.0139498,0.6702853,270185,[-0.748 -1.118 -0.798 -0.905  0.102],35.151016,,1.038575,41.0,-18.289589,1.0231037
70,100,0.35842156,-103.09027,762.1298201084137,203.4903,-3.967285e-06,0.08464458,7000,3062.5483,-109.43660605154082,100.0,11.147733,1.5507034,-97.394806,0.284652,3.3123627,93.615685,1.0694263,0.5427422,274250,[-0.754 -1.109 -0.795 -0.896  0.105],32.449245,,1.1331193,40.65,-20.169312,1.0840316
71,100,0.12154499,-130.23112,773.296502828598,175.91547,1.5640259e-06,0.087663226,7100,551.0794,-108.58900684691343,100.0,13.251002,1.5514482,-128.6485,0.28388667,1.5666745,94.01085,1.0138499,0.6685428,278603,[-0.747 -1.1   -0.788 -0.892  0.132],43.184143,,1.0308008,43.53,-20.418686,1.0161188
72,100,0.23479682,-108.97862,784.3302547931671,193.92482,-3.3187866e-06,0.08287549,7200,1305.7595,-107.7170583374634,100.0,14.541642,1.552067,-105.165695,0.27836168,2.47904,93.70939,1.0400095,0.62131596,282675,[-0.767 -1.105 -0.797 -0.89   0.133],44.11828,,1.0797461,40.72,-20.577484,1.040473
73,100,0.18084602,-86.84726,793.3561701774597,212.68771,1.4495849e-06,0.07792719,7300,1075.8804,-108.86746099304557,100.0,11.050539,1.542386,-82.86145,0.2710564,1.6630406,93.29715,1.0347592,0.6357951,286493,[-0.742 -1.089 -0.786 -0.887  0.133],29.06762,,1.0661297,38.18,-16.334824,1.0480725
74,100,0.22030416,-107.94879,804.1215682029724,196.55925,1.5258789e-07,0.08201254,7400,1465.6179,-108.05225088125533,100.0,13.747243,1.5336004,-105.00362,0.27719513,1.9605051,93.63097,1.0382398,0.50757843,290518,[-0.743 -1.079 -0.79  -0.882  0.123],38.330868,,1.0691501,40.25,-19.782845,1.0376574
75,100,0.15834837,-116.00113,814.340389251709,199.53255,7.781982e-06,0.079983085,7500,915.8674,-106.00374825907511,100.0,14.368527,1.5171763,-112.155075,0.2737985,1.6061504,93.608154,1.0252575,0.67447484,294450,[-0.744 -1.074 -0.785 -0.872  0.115],50.39069,,1.0596453,39.32,-16.583199,1.0443317
76,100,0.21593592,-109.946304,824.8953673839569,198.00778,3.6621093e-06,0.08134199,7600,1021.54254,-107.4110872991878,100.0,14.136045,1.5146422,-106.272675,0.27599654,1.990602,93.625435,1.0447545,0.6064804,298447,[-0.749 -1.078 -0.792 -0.872  0.098],39.91945,,1.1043668,39.97,-19.781197,1.0466495
77,100,0.1593186,-119.315674,835.6575648784637,180.85236,-2.0217894e-06,0.08726103,7700,806.35345,-109.31763953385136,100.0,13.118896,1.4994498,-117.38544,0.28424558,1.4443469,93.92372,1.0216815,0.5571367,302754,[-0.762 -1.067 -0.789 -0.858  0.096],34.185562,,1.0401773,43.07,-19.745743,1.0225403
78,100,1.0091168,-104.21147,846.2167873382568,226.79929,-4.615784e-06,0.085826345,7800,17201.58,-107.71198586566346,100.0,13.082503,1.5331247,-93.2251,0.29527664,9.277245,93.49473,1.2127882,0.35483462,306667,[-0.761 -1.073 -0.79  -0.862  0.081],40.879303,,1.4317825,39.13,-18.739944,1.2076247
79,100,0.104597256,-108.053894,857.8282270431519,190.20546,5.1879883e-06,0.08192813,7900,354.18732,-108.19770058356632,100.0,11.936441,1.5262882,-106.80351,0.2750447,1.2620206,93.68969,1.0107476,0.541296,310742,[-0.781 -1.088 -0.794 -0.861  0.114],35.37426,,1.0271472,40.75,-18.225449,1.0145952
80,100,0.17154932,-93.68312,867.8117563724518,205.02919,-3.2043456e-06,0.07783184,8000,1075.2214,-108.19895122738455,100.0,12.191438,1.5331783,-92.11659,0.2694174,1.6356732,93.3822,1.0252253,0.65470064,314594,[-0.77  -1.095 -0.794 -0.867  0.107],34.263874,,1.0477852,38.52,-18.742744,1.0185081
81,100,0.18356495,-108.195786,878.7440576553345,199.09741,1.2588501e-06,0.08254797,8100,1068.5696,-109.78008578274856,100.0,13.075649,1.5342839,-103.5567,0.27776918,1.6540079,93.589455,1.0278932,0.6667188,318652,[-0.773 -1.102 -0.795 -0.865  0.114],40.57006,,1.0733098,40.58,-15.762451,1.0509775
