Iteration,EpThisIter,EpRewMean,InitialReturnMin,InitialReturnMean,Weights,TimeElapsed,MeanD2w0t,EpisodesSoFar,MaxIW,EntropyCoefficient,MaxD2w0t,InitialBound,InitialReturnStd,StdIW,StdD2w0t,EpLenMean,Bound,MinIW,MeanIW,MinD2w0t,ReturnStepMax,TimestepsSoFar,ReturnMeanIW,EmpiricalD2,J_sample_variance,ReturnStepMaxmin,InitialReturnMax,MeanEntropy
11,100,-105.4483759285853,-95.81231,-80.00679,[-0.601 -0.49  -0.453 -0.944 -0.277],162.18946480751038,0.7908791,1100,20.079136,10.0,1931.9371,-69.55997,13.965704,1.5597844,13.975977,32.11,-42.139256,0.00048991165,0.5608552,,100.0,36430,-47.356983,76.42974,16921.219,99.00009,-30.123343,1.1157501
12,100,-107.90839356822742,-95.838486,-83.9488,[-0.547 -0.439 -0.452 -0.966 -0.303],174.9672510623932,0.62791634,1200,15.105311,10.0,796.75916,-73.78421,11.210865,1.1948133,10.695626,28.98,-50.266926,0.003779314,0.63064283,,100.0,39328,-52.597103,25.3406,6676.815,99.0,-31.041199,1.107415
13,100,-106.211217341728,-95.61325,-82.54083,[-0.517 -0.362 -0.441 -0.948 -0.312],191.65390515327454,2.0990596,1300,34.64978,10.0,11369.134,-72.41451,14.075129,1.019529,69.05541,29.52,-37.010143,0.00011568362,0.4978236,,100.0,42280,-39.02163,286.73532,5834.146,99.000015,-29.663221,1.0658822
14,100,-107.05102286395879,-96.65517,-80.85972,[-0.573 -0.377 -0.391 -0.933 -0.353],208.09318232536316,1.6629963,1400,18.119452,10.0,3253.9395,-71.173294,13.161588,0.99673396,35.03948,32.64,-40.241833,0.0001412351,0.51752675,,100.0,45544,-40.90943,181.87944,3162.166,99.000015,-34.448673,1.0502639
15,100,-106.06758827006627,-96.76929,-78.82001,[-0.586 -0.405 -0.363 -0.9   -0.369],225.26581001281738,0.92013305,1500,7.0330253,10.0,523.76495,-69.31906,15.120763,0.70790297,11.610851,35.17,-48.01483,0.0010157147,0.5821444,,100.0,49061,-50.60521,17.783283,3200.9346,99.000015,-26.17152,0.95747787
16,100,-107.82532206020785,-95.149574,-82.76772,[-0.64  -0.378 -0.397 -0.861 -0.462],241.3089635372162,0.9547475,1600,27.290154,10.0,1842.1948,-74.16417,11.127483,1.1129864,16.91438,30.59,-42.100533,0.0029795845,0.5097412,,100.0,52120,-45.036438,122.64458,7434.927,99.0,-51.00144,1.0052512
17,100,-107.89296748690425,-96.36029,-81.835075,[-0.688 -0.404 -0.386 -0.835 -0.414],256.89322233200073,1.7492611,1700,31.910671,10.0,2266.3079,-72.75001,12.483258,0.98129076,26.864777,32.3,-50.833534,0.0031786994,0.6717281,,100.0,55350,-52.674553,93.627304,3689.6377,99.00023,-48.34752,1.0703481
18,100,-105.49880199039544,-94.39684,-79.91485,[-0.684 -0.438 -0.353 -0.842 -0.349],273.44188809394836,1.7673087,1800,18.467594,10.0,4578.356,-70.17701,13.999555,1.3047961,34.11948,32.62,-54.092987,3.0372767e-05,0.6858758,,100.0,58612,-56.147503,152.372,8980.165,99.00001,-33.236885,1.0815134
19,100,-104.72229161459396,-95.313286,-76.01629,[-0.689 -0.444 -0.329 -0.79  -0.337],290.2343866825104,0.62387836,1900,16.181286,10.0,313.51093,-66.13104,13.637677,1.344579,6.117478,36.96,-53.774178,0.005941133,0.7837018,,100.0,62308,-60.70425,17.944689,10909.518,99.0,-38.943413,1.1000978
20,100,-103.58224378871755,-94.1992,-69.565704,[-0.667 -0.434 -0.266 -0.783 -0.319],307.08798122406006,5.2283144,2000,10.353283,10.0,1259.2773,-59.511086,14.88894,0.8217645,44.989,46.3,-40.714787,0.00087446254,0.57154745,,100.0,66938,-42.417374,188.18771,2408.252,99.0,-33.27792,1.1397818
21,100,-102.66153190090513,-93.76034,-70.64329,[-0.674 -0.466 -0.22  -0.802 -0.279],324.39813685417175,3.7056756,2100,49.702095,10.0,1914.6737,-60.208214,15.6790495,1.1890007,34.500637,44.15,-32.719868,4.8967973e-05,0.46810797,,100.0,71353,-35.376366,276.85165,5653.213,99.0,-24.233938,1.1204699
22,100,-104.22362854897413,-92.29331,-69.17567,[-0.709 -0.511 -0.189 -0.799 -0.299],341.79815435409546,1.74834,2200,18.012888,10.0,581.4324,-58.933147,12.14252,0.7883517,14.074015,47.78,-26.116964,0.0014773186,0.42356408,,100.0,76131,-31.058062,133.46616,2128.687,99.0,-35.069824,1.1404852
23,100,-101.3604160431277,-90.37552,-66.43218,[-0.741 -0.527 -0.164 -0.762 -0.279],359.7131268978119,1.2613915,2300,18.641401,10.0,2448.5078,-55.99137,14.436927,1.0652122,19.617125,49.43,-35.013443,8.451641e-05,0.54558504,,100.0,81074,-39.900623,64.173706,5383.122,99.0,-26.599857,1.11415
24,100,-101.15030190004678,-91.26417,-68.74522,[-0.718 -0.5   -0.193 -0.776 -0.305],374.6451532840729,1.1754205,2400,14.376584,10.0,2324.3293,-58.548607,14.741505,1.1409829,20.965204,44.67,-33.3214,0.001084518,0.5545767,,100.0,85541,-36.789227,70.74251,4387.2505,99.0,-20.42191,1.1035161
25,100,-100.36600073401836,-90.95375,-65.62135,[-0.746 -0.523 -0.181 -0.743 -0.315],388.6795189380646,1.8070912,2500,17.217089,10.0,486.52594,-55.504856,13.411913,0.9500704,12.455495,48.58,-33.55959,1.2551573e-05,0.5502512,,100.0,90399,-39.05389,72.88354,3394.5298,99.0,-27.821733,1.0821786
26,100,-100.48907929654568,-90.979034,-66.512115,[-0.744 -0.513 -0.166 -0.797 -0.337],406.5503203868866,4.0706043,2600,80.93356,10.0,1439.3308,-56.613396,14.591443,1.7735363,35.7593,47.6,-30.474575,2.6968124e-05,0.6028419,,100.0,95159,-32.505398,338.5145,7807.944,99.0,-22.677097,1.0708007
27,100,-102.43066453971815,-92.754745,-69.39277,[-0.733 -0.48  -0.181 -0.834 -0.348],422.7023742198944,1.7303313,2700,15.772631,10.0,1473.8733,-59.607384,13.188327,0.6725655,22.03143,44.87,-33.88654,2.7439874e-05,0.52188724,,100.0,99646,-38.558037,58.943993,1685.1871,99.0,-41.876827,1.052725
28,100,-101.0226247967223,-92.25598,-68.11706,[-0.715 -0.422 -0.12  -0.796 -0.366],442.3623380661011,3.4072073,2800,27.195675,10.0,438.30576,-58.50369,13.790395,0.7593245,22.976984,45.62,-32.131233,0.00035460005,0.47047436,,100.0,104208,-35.909542,75.10821,1755.759,99.0,-36.58223,1.034298
29,100,-103.33103010883332,-93.55877,-69.75896,[-0.672 -0.405 -0.14  -0.741 -0.385],459.91830253601074,1.8981489,2900,8.719912,10.0,985.96936,-60.340332,12.575135,0.919562,18.087212,45.72,-32.59111,0.0018877775,0.48509422,,100.0,108780,-37.507164,73.26147,4157.6987,99.0,-45.48202,1.0376338
30,100,-103.42562698798284,-93.06943,-71.6478,[-0.664 -0.392 -0.188 -0.737 -0.381],478.0296850204468,2.6868474,3000,30.248308,10.0,1443.5153,-62.21278,14.607009,1.0918944,25.814302,43.44,-39.005127,0.0006535548,0.57013685,,100.0,113124,-41.546497,165.74812,3950.6045,99.0,-42.103657,1.0341506
31,100,-102.98432267926232,-95.341545,-73.238846,[-0.651 -0.399 -0.2   -0.8   -0.385],496.01383423805237,1.0549616,3100,12.720378,10.0,488.77377,-63.843323,15.880268,1.0847692,8.137839,40.47,-35.30785,0.00030318665,0.51996577,,100.0,117171,-40.280563,52.962734,6330.244,99.0,-24.178396,1.003426
32,100,-104.25600423159776,-93.285126,-72.49934,[-0.661 -0.405 -0.182 -0.754 -0.415],510.9747734069824,1.8641189,3200,21.348373,10.0,1640.0797,-63.42599,14.339059,0.6303036,18.253412,43.02,-24.091097,3.4224136e-05,0.35713184,,100.0,121473,-27.9051,147.93037,1269.6901,99.0,-34.888012,0.9930407
33,100,-102.54862248728018,-93.279854,-68.21607,[-0.681 -0.431 -0.158 -0.731 -0.426],528.1175653934479,5.582614,3300,40.7476,10.0,1981.092,-59.205185,12.743084,0.8989877,46.368404,47.03,-27.565573,0.00018756937,0.41365558,,100.0,126176,-28.469868,326.56735,1491.4219,99.00001,-43.924717,1.0064986
34,100,-102.65391537144795,-90.88312,-66.24541,[-0.678 -0.427 -0.152 -0.669 -0.412],547.731422662735,0.8728322,3400,10.551254,10.0,672.41626,-57.153946,12.375834,0.64054835,11.514353,51.0,-35.911514,0.00036291397,0.52402544,,100.0,131276,-38.55194,19.55024,1577.9269,99.0,-28.983856,0.9132179
35,100,-102.5305979914082,-93.10015,-68.215744,[-0.67  -0.365 -0.127 -0.627 -0.506],567.197751045227,1.6275555,3500,8.218456,10.0,565.94434,-60.023727,12.435816,0.9799597,12.360643,47.42,-39.878418,0.0015722525,0.5426235,,100.0,136018,-43.464947,47.39786,5756.9893,99.0,-36.38436,0.8818274
36,100,-101.11971688833856,-91.47894,-68.22922,[-0.628 -0.343 -0.152 -0.604 -0.537],584.8081793785095,3.8336163,3600,19.746325,10.0,9115.148,-60.34295,13.8277645,1.5005631,72.65423,45.73,-35.61042,0.00047794942,0.5854066,,100.0,140591,-36.683743,260.81317,3595.2822,99.00001,-34.15858,0.8745119
37,100,-99.56055567725988,-89.998764,-62.269722,[-0.632 -0.344 -0.113 -0.579 -0.544],604.3209226131439,2.2503915,3700,13.767899,10.0,1549.1451,-54.453384,12.746276,0.8848014,25.360224,53.13,-37.410194,0.00011117104,0.60454315,,100.0,145904,-40.670628,67.36722,2390.0273,99.0,-20.85815,0.83589876
38,100,-103.8138912906692,-92.81481,-67.80249,[-0.653 -0.336 -0.155 -0.547 -0.583],622.8156707286835,6.7480264,3800,16.850285,10.0,1756.938,-60.378593,13.064212,0.92870045,58.912746,49.8,-31.71392,0.0003590745,0.43660837,,100.0,150884,-31.27051,340.1436,2739.1462,99.0,-26.81953,0.83466196
39,100,-103.79299278266683,-92.084755,-69.50651,[-0.65  -0.316 -0.195 -0.547 -0.584],640.8465306758881,2.5955787,3900,39.523273,10.0,1960.5042,-62.155396,15.356692,1.0278053,31.445988,47.8,-32.078014,0.0002357386,0.4555654,,100.0,155664,-31.698334,181.09781,3231.8225,99.0,-16.257904,0.8095803
40,100,-104.485708446098,-92.24433,-66.96116,[-0.664 -0.341 -0.19  -0.519 -0.609],658.9678301811218,2.885135,4000,32.59623,10.0,1198.4995,-59.853188,12.720183,1.2981296,22.883507,51.65,-41.867477,0.00021262464,0.56841713,,100.0,160829,-42.55589,169.36406,7012.42,99.0,-30.716887,0.80079377
41,100,-102.99477078206644,-92.75292,-68.36607,[-0.665 -0.341 -0.194 -0.565 -0.618],676.284157037735,3.8765187,4100,16.51276,10.0,4863.8003,-61.302563,14.086618,1.2532618,45.5507,47.62,-39.75252,6.223131e-05,0.5172988,,100.0,165591,-39.521935,350.2363,8271.634,99.0,-34.600914,0.79243076
42,100,-103.12442127793827,-93.44179,-66.39359,[-0.679 -0.362 -0.175 -0.542 -0.627],695.2905993461609,2.7563076,4200,12.876049,10.0,1156.7162,-59.43637,13.586131,0.9784136,19.670298,51.46,-37.270767,0.0012075878,0.56838876,,100.0,170737,-38.287243,75.92978,2469.581,99.0,-25.637564,0.80341226
43,100,-104.04772257554119,-93.441025,-68.33821,[-0.651 -0.325 -0.189 -0.51  -0.616],718.0042269229889,1.228262,4300,6.590938,10.0,1875.1737,-61.312214,14.413602,0.70930636,18.30819,49.5,-36.510445,2.8185264e-05,0.49915063,,100.0,175687,-37.843994,61.598976,2483.1658,99.0,-25.836903,0.79604924
44,100,-103.7667996372296,-89.83153,-66.42177,[-0.675 -0.352 -0.179 -0.502 -0.623],736.3258774280548,1.275797,4400,25.2411,10.0,1323.9021,-59.45727,12.616032,0.951502,20.382994,52.05,-40.116093,0.0014088191,0.56549335,,100.0,180892,-40.31819,44.586674,3023.4023,99.0,-23.600628,0.7937821
45,100,-101.08891858975956,-90.58419,-60.829567,[-0.696 -0.367 -0.157 -0.498 -0.625],756.4994864463806,0.55958647,4500,40.005028,10.0,377.92264,-53.85748,13.779155,1.2427998,6.57295,58.46,-42.205173,0.0017677225,0.8251445,,100.0,186738,-46.593826,10.633529,2999.4355,99.0,-17.708918,0.79364914
46,100,-102.5027459965235,-88.65292,-65.303085,[-0.671 -0.391 -0.139 -0.533 -0.625],777.5330729484558,2.3322287,4600,172.9445,10.0,7160.2886,-58.322823,11.22034,2.8116903,55.5318,51.2,-28.308016,0.0005795092,0.6258321,,100.0,191858,-25.283922,165.38147,10551.616,99.0,-18.616894,0.7997927
47,100,-103.77881073023272,-85.70138,-62.99266,[-0.673 -0.407 -0.127 -0.506 -0.619],801.5617523193359,1.6988555,4700,56.732365,10.0,1133.849,-55.98447,10.706886,1.6381966,18.009697,57.74,-35.842903,0.0008185981,0.5471955,,100.0,197632,-37.05713,87.58462,8269.957,99.0,-22.821924,0.79150385
48,100,-102.53817721391196,-77.15668,-60.30512,[-0.686 -0.407 -0.11  -0.477 -0.627],820.9504761695862,0.43024242,4800,10.263253,10.0,93.84787,-53.39896,11.387261,1.0912393,3.456939,61.09,-48.02364,0.039604086,0.8740895,,100.0,203741,-53.26997,4.935525,3342.6707,99.0,-5.708073,0.7749024
49,100,-103.36195233934976,-75.98021,-59.088867,[-0.678 -0.426 -0.122 -0.469 -0.644],844.464958190918,1.1810219,4900,14.788126,10.0,616.3199,-52.351353,12.843823,0.8430642,12.789541,65.63,-31.055529,4.5640907e-05,0.5657199,,100.0,210304,-33.484146,25.461462,1655.8398,99.0,-6.9226427,0.6777205
50,100,-104.67285858835376,-72.99251,-56.71709,[-0.736 -0.439 -0.137 -0.468 -0.741],869.7587683200836,2.016479,5000,26.613739,10.0,1978.7855,-50.96454,12.812225,1.4093748,25.00804,72.19,-31.15473,0.0021633436,0.62728035,,100.0,217523,-32.535213,66.54658,2740.1077,99.0,-22.76489,0.6765795
51,100,-103.56921665918772,-73.48609,-48.09515,[-0.746 -0.451 -0.131 -0.451 -0.742],896.4298167228699,3.8379483,5100,74.705185,10.0,2040.8855,-42.356018,17.958668,2.169385,41.766453,95.06,-25.390062,0.0043634237,0.71779907,,100.0,227029,-27.920456,85.38057,1537.5591,99.0,-7.053576,0.67621064
52,100,-104.27525040748695,-72.96443,-41.537025,[-0.773 -0.434 -0.121 -0.435 -0.743],928.6397585868835,24.708824,5200,8.718806,10.0,20017.377,-35.810814,20.308128,0.6793742,408.48236,132.53,-25.759233,0.00082537695,0.65012217,,100.0,240282,-29.744558,254.78592,596.45245,99.0,8.762728,0.672304
53,100,-102.71000620839304,-70.92636,-37.852997,[-0.764 -0.437 -0.128 -0.421 -0.747],966.8526177406311,73.91514,5300,12.152579,10.0,40753.902,-32.150307,21.068087,1.0837523,881.5374,158.57,-21.90065,3.0997744e-06,0.6342945,,100.0,256139,-24.94065,1176.1475,1866.097,99.0,7.165058,0.6537627
54,100,-102.40226593322136,-71.9276,-44.06955,[-0.774 -0.415 -0.143 -0.418 -0.765],996.9203548431396,6.3917894,5400,35.540665,10.0,1529.8579,-38.547493,19.111954,1.3565391,44.751766,110.25,-29.266441,0.00070953125,0.80578303,,100.0,267164,-32.1556,94.80726,2205.8032,99.0,3.5201473,0.65826297
55,100,-99.45091153379218,-71.00563,-37.635635,[-0.772 -0.421 -0.143 -0.402 -0.761],1036.0683434009552,20.393415,5500,8.66886,10.0,27158.258,-32.04098,22.113283,0.8382514,451.31247,163.18,-19.617699,0.0004659612,0.5958206,,100.0,283482,-23.530739,351.55673,671.88605,99.0,-1.1731983,0.6560054
56,100,-101.13606027114103,-73.23543,-37.69838,[-0.814 -0.423 -0.168 -0.413 -0.763],1073.8059442043304,100.75862,5600,39.888443,10.0,44354.62,-32.14304,22.484316,1.6586936,977.57263,162.16,-19.85658,0.0004313312,0.6873136,,100.0,299698,-22.913412,1606.9656,1494.1423,99.0,10.237116,0.65362257
57,100,-94.89167702780365,-70.179054,-30.781828,[-0.816 -0.435 -0.153 -0.409 -0.765],1120.4757771492004,35.37331,5700,19.11829,10.0,7751.449,-25.188284,22.368546,0.99779725,263.04767,206.84,-22.545359,0.00017868968,0.79834044,,100.0,320382,-27.467785,261.22418,1104.3511,99.0,7.4476733,0.65533143
58,100,-102.05940094469956,-70.21815,-34.366665,[-0.821 -0.447 -0.165 -0.405 -0.764],1163.4125273227692,76.32378,5800,25.183107,10.0,73647.65,-28.82724,20.478157,1.2469897,1006.3843,186.19,-15.842565,0.00045898373,0.56981826,,100.0,339001,-19.31992,1554.1987,376.31897,99.0,2.397028,0.6555053
59,100,-97.54150391919362,-69.96623,-31.505722,[-0.825 -0.451 -0.15  -0.398 -0.763],1202.6062409877777,573.0316,5900,38.732727,10.0,954455.3,-25.919674,21.044058,1.5492926,11882.019,218.74,-15.192487,3.1431166e-06,0.60750914,,100.0,360875,-18.93478,12228.765,727.60675,99.0,3.9735224,0.6522826
60,100,-96.65670631657935,-68.56123,-22.607319,[-0.837 -0.448 -0.144 -0.383 -0.767],1260.870049238205,230.83904,6000,21.385653,10.0,43756.676,-17.044708,15.108323,1.1819526,1231.7815,294.18,-9.682106,0.0001409688,0.61031944,,100.0,390293,-14.070511,2534.2341,262.1515,99.0,4.3977942,0.6535637
61,100,-71.347740501855,-44.068516,-16.633787,[-0.843 -0.453 -0.141 -0.37  -0.765],1347.0423901081085,531.0759,6100,25.639532,10.0,31532.715,-10.806938,10.362575,1.3219362,1915.8528,419.44,-7.1945305,4.6232644e-06,0.6423872,,100.0,432237,-12.459322,5431.1567,81.470825,99.0,1.6746266,0.65483123
62,100,-56.50662851846673,-54.3707,-15.7385,[-0.846 -0.447 -0.129 -0.371 -0.764],1429.450556755066,841.66656,6200,56.080185,10.0,89136.86,-9.751542,8.80596,2.1944845,3614.072,471.67,-7.087637,5.5772107e-06,0.7594061,,100.0,479404,-12.599448,9402.231,103.96515,99.0,4.2152505,0.65478134
63,100,-49.40054721111119,-70.325096,-15.400196,[-0.845 -0.447 -0.115 -0.377 -0.764],1518.810400724411,8993.681,6300,184.97852,10.0,1297546.8,-9.343142,11.370063,6.293584,48883.363,473.25,-6.635767,1.0769441e-05,1.1545197,,100.0,526729,-11.58373,115172.97,886.2743,99.0,8.656067,0.66554165
64,100,-37.37127691767587,-28.15213,-13.14958,[-0.823 -0.468 -0.099 -0.38  -0.753],1617.400192975998,62.648174,6400,17.9268,10.0,1442.0223,-6.8654213,7.42283,1.038847,118.93746,499.84,-5.692756,0.00016892074,0.6359218,,100.0,576713,-11.863076,401.95734,69.27869,99.0,10.580579,0.66962695
65,100,-39.42388789908033,-31.738276,-13.529999,[-0.822 -0.461 -0.093 -0.389 -0.749],1708.3285722732544,1388.1992,6500,104.36719,10.0,34844.203,-7.2253776,6.2456274,2.9523804,3120.9001,494.04,-4.8810863,1.1581161e-05,0.7397424,,100.0,626117,-10.667923,13214.371,247.00856,99.0,4.7788463,0.67507
66,100,-38.65070583981034,-36.67228,-14.632421,[-0.817 -0.461 -0.092 -0.371 -0.744],1802.7601072788239,54549.285,6600,529.18646,10.0,8344027.0,-8.265686,7.7617846,9.048159,351455.97,500.0,-2.6732802,4.0602668e-08,1.0446193,1.000511,1.0,676117,-7.246441,836554.0,4197.3154,,8.729598,0.6752894
67,100,-35.75748589863113,-30.006538,-12.656526,[-0.813 -0.457 -0.075 -0.379 -0.744],1901.6047196388245,7799.3325,6700,90.25412,10.0,679132.0,-6.2588573,6.868954,3.1970959,30802.773,500.0,-3.629847,8.2408417e-07,0.6876743,1.0000442,1.0,726117,-9.152141,91376.92,306.48038,,4.3481994,0.67992187
68,100,-39.303771259418646,-31.331175,-13.861445,[-0.817 -0.452 -0.083 -0.392 -0.739],1997.0549869537354,1494.7775,6800,44.4495,10.0,60220.77,-7.452682,6.310161,1.8381789,3649.8135,491.63,-4.916693,1.6003789e-06,0.643954,,100.0,775280,-10.733574,14596.637,111.43838,99.0,-0.008547356,0.6801619
69,100,-42.370813802809636,-65.57626,-14.321658,[-0.815 -0.444 -0.085 -0.404 -0.739],2077.8586254119873,379.30563,6900,30.078934,10.0,10411.852,-7.9409623,11.1654825,1.4165919,961.3961,446.0,-4.450035,1.2392313e-05,0.57012606,,100.0,819880,-10.534128,3224.1123,161.14792,99.0,2.423053,0.69109523
70,100,-61.007986324133256,-68.92022,-18.339664,[-0.802 -0.411 -0.09  -0.39  -0.728],2152.110450744629,909.2301,7000,51.90862,10.0,346315.0,-12.034783,15.292915,2.0466485,8106.698,384.62,-6.3686905,0.00015221618,0.6396526,,100.0,858342,-11.834105,9918.265,109.60088,99.0,6.987802,0.69354594
71,100,-40.18132958227171,-39.85911,-13.256796,[-0.814 -0.413 -0.083 -0.379 -0.725],2250.0491812229156,0.96442,7100,1.0002853,10.0,1.0,-6.7205086,7.5135565,8.812729e-05,0.1852416,482.21,-6.7204885,0.9994784,0.99999815,,100.0,906563,-13.256775,1.0,57.0236,99.0,6.397288,0.69354594
72,100,-42.40447677821469,-40.496567,-13.793861,[-0.814 -0.413 -0.083 -0.379 -0.725],2328.1223559379578,101.85168,7200,12.081065,10.0,1976.8032,-7.27966,7.4097486,0.8631375,188.18713,477.49,-5.4896817,1.7824468e-05,0.5477322,,100.0,954312,-11.95185,693.6261,55.88773,99.0,3.456037,0.71332353
73,100,-49.69026544546013,-48.509388,-14.221854,[-0.845 -0.423 -0.085 -0.396 -0.706],2413.376173019409,6.3240232,7300,29.865799,10.0,62.87269,-7.582257,9.300751,1.8001934,7.1035905,449.2,-6.658405,0.0076965475,1.0576698,,100.0,999232,-13.218057,22.545876,99.40165,99.0,16.249628,0.71483046
74,100,-31.117148972462275,-62.873093,-13.132559,[-0.843 -0.425 -0.081 -0.388 -0.704],2503.626970052719,52.975704,7400,35.228363,10.0,2440.3394,-6.2933803,8.774253,1.5062488,145.31752,489.46,-4.8563833,5.38045e-05,0.6921606,,100.0,1048178,-11.6378975,329.06512,81.67064,99.0,4.203698,0.72074544
75,100,-35.24570349061102,-41.558853,-14.554436,[-0.831 -0.409 -0.073 -0.371 -0.698],2611.7873969078064,1716.3724,7500,478.19434,10.0,363427.88,-7.6971226,6.8819613,13.093654,9313.847,496.19,-6.369194,6.701064e-06,1.6405288,,100.0,1097797,-12.907571,20230.1,201.13995,99.0,-1.9893911,0.72331065
76,100,-32.72063650300549,-60.55932,-13.5950365,[-0.825 -0.411 -0.059 -0.383 -0.696],2700.989100217819,29.54815,7600,30.264086,10.0,686.4276,-6.686987,8.287512,1.366711,56.195774,494.67,-5.8845253,0.00013501936,0.7959837,,100.0,1147264,-12.6652975,180.90884,57.11613,99.0,2.4924173,0.71842945
77,100,-26.25848880064892,-28.995382,-11.636666,[-0.816 -0.406 -0.047 -0.383 -0.701],2793.7093183994293,257.66815,7700,31.85862,10.0,7840.667,-4.713231,6.7096486,1.5356809,692.8477,497.85,-3.549633,3.1426476e-05,0.74993336,,100.0,1197049,-10.347061,2202.5806,76.32348,99.0,13.682741,0.72069967
78,100,-24.194616792608077,-35.60268,-11.811305,[-0.814 -0.399 -0.034 -0.385 -0.698],2886.3442883491516,206.58237,7800,41.941116,10.0,9214.727,-4.8446646,8.512309,1.82303,547.2451,497.64,-3.1512184,1.6209224e-05,0.82097673,,100.0,1246813,-9.98624,1508.4092,132.5336,99.0,15.084515,0.72341174
79,100,-20.753330752725738,-26.51198,-11.376494,[-0.812 -0.394 -0.044 -0.391 -0.696],2976.886960506439,938.19165,7900,38.915447,10.0,58072.977,-4.348548,6.242848,1.3918538,2801.4116,491.94,-2.570856,3.271026e-05,0.5564098,,100.0,1296007,-9.401643,8693.611,50.09833,99.0,4.133249,0.7305132
80,100,-48.210358469438106,-61.09557,-13.949231,[-0.793 -0.403 -0.048 -0.408 -0.688],3062.9081692695618,15.78718,8000,23.87186,10.0,240.91028,-7.1230345,11.236925,1.2561892,24.95624,415.68,-4.8908224,0.00059102464,0.7706286,,100.0,1337575,-11.572668,76.11932,80.51883,99.0,5.8186207,0.7316228
