MinNormIw,VanillaAvgRet,IterType,VarRet,AvgVanillaIw,eRenyi2,VarJ,MaxVanillaIw,VarDiscRet,ESSRenyi,AvgEpLen,ESSClassic,AvgDiscRet,Delta,AvgRet,VarNormIw,MaxNormIw,J,EpsThisIter,Bound,VarVanillaIw,BatchSize,AvgNormIw,MinVanillaIw
0.0033333334,4999.905261261123,2,0.009115606630058693,1.0,1.0,0.0968525,1.0,0.009115606630058693,500.0,500.0,299.999969473632,4999.905261261123,0.8,4999.905261261123,5.4391416e-20,0.0033333334,4999.9146,100,4855.577,,500,0.0033333336,1.0
0.0025,4999.92435053276,2,0.009591857521867662,1.0,1.0,0.09710437,1.0,0.009591857521867662,500.0,500.0,400.0,4999.92435053276,0.8,4999.92435053276,5.434597e-20,0.0025,4999.9165,100,4874.9165,,500,0.0024999997,1.0
0.002,4999.919925403433,1,0.00850344995860072,1.0,1.0,0.09606915,1.0,0.00850344995860072,500.0,500.0,500.00000664260017,4999.919925403433,0.8,4999.919925403433,5.431875e-20,0.002,4999.9175,100,4888.1143,,500,0.0020000003,1.0
0.01,4949.910222770428,2,249990.93946136214,1.0,1.0,497.48468,1.0,249990.93946136214,500.0,495.01,100.0,4949.910222770428,0.8,4949.910222770428,3.5044917e-18,0.01,4949.91,100,4699.91,,500,0.009999998,1.0
0.005,4999.93471489492,2,0.006386344434098475,1.0,1.0,352.6629,1.0,0.006386344434098475,500.0,500.0,200.00000010221265,4999.93471489492,0.8,4999.93471489492,2.179301e-19,0.005,4974.923,100,4798.146,,500,0.0049999994,1.0
0.0033333334,4999.905633747735,2,0.02759665638863255,1.0,1.0,288.1888,1.0,0.02759665638863255,500.0,500.0,299.999969473632,4999.905633747735,0.8,4999.905633747735,5.4391416e-20,0.0033333334,4983.25,100,4838.9126,,500,0.0033333336,1.0
0.0025,4999.91569995042,2,0.007595700499363519,1.0,1.0,249.68315,1.0,0.007595700499363519,500.0,500.0,400.0,4999.91569995042,0.8,4999.91569995042,5.434597e-20,0.0025,4987.417,100,4862.417,,500,0.0024999997,1.0
0.00061279454,4962.918373706976,1,136971.25342575295,0.99181944,1.0334291,228.08522,1.3462265,136971.25342575295,483.8261065364622,496.31,482.139113100424,4962.918373706976,0.8,4962.918373706976,1.484776e-07,0.0027146603,4986.4375,100,4872.781,0.036514573,500,0.002,0.30389076
0.01,4999.920697124149,2,0.005714761359716716,1.0,1.0,0.075225696,1.0,0.005714761359716716,500.0,500.0,100.0,4999.920697124149,0.8,4999.920697124149,3.5044917e-18,0.01,4999.9204,100,4749.9204,,500,0.009999998,1.0
0.005,4999.920053890462,2,0.0076209504093603395,1.0,1.0,0.08125162,1.0,0.0076209504093603395,500.0,500.0,200.00000010221265,4999.920053890462,0.8,4999.920053890462,2.179301e-19,0.005,4999.92,100,4823.143,,500,0.0049999994,1.0
0.0033333334,4999.92444896409,2,0.008641870618089105,1.0,1.0,0.08518119,1.0,0.008641870618089105,500.0,500.0,299.999969473632,4999.92444896409,0.8,4999.92444896409,5.4391416e-20,0.0033333334,4999.9224,100,4855.585,,500,0.0033333336,1.0
0.0025,4999.92456826296,2,0.005542748726026911,1.0,1.0,0.08255546,1.0,0.005542748726026911,500.0,500.0,400.0,4999.92456826296,0.8,4999.92456826296,5.434597e-20,0.0025,4999.9224,100,4874.9224,,500,0.0024999997,1.0
0.002,4999.934183830574,1,0.004913835573124966,1.0,1.0,0.08029947,1.0,0.004913835573124966,500.0,500.0,500.00000664260017,4999.934183830574,0.8,4999.934183830574,5.431875e-20,0.002,4999.9253,100,4888.122,,500,0.0020000003,1.0
0.01,4999.911997134672,2,0.020281392968737447,1.0,1.0,0.14171469,1.0,0.020281392968737447,500.0,500.0,100.0,4999.911997134672,0.8,4999.911997134672,3.5044917e-18,0.01,4999.912,100,4749.912,,500,0.009999998,1.0
0.005,4999.919519289467,2,0.008956422760874147,1.0,1.0,0.12036259,1.0,0.008956422760874147,500.0,500.0,200.00000010221265,4999.919519289467,0.8,4999.919519289467,2.179301e-19,0.005,4999.9155,100,4823.1387,,500,0.0049999994,1.0
0.0033333334,4999.9197524384035,2,0.00654149780555519,1.0,1.0,0.10871962,1.0,0.00654149780555519,500.0,500.0,299.999969473632,4999.9197524384035,0.8,4999.9197524384035,5.4391416e-20,0.0033333334,4999.9175,100,4855.58,,500,0.0033333336,1.0
0.0025,4999.912466297448,2,0.016516044957384513,1.0,1.0,0.11382576,1.0,0.016516044957384513,500.0,500.0,400.0,4999.912466297448,0.8,4999.912466297448,5.434597e-20,0.0025,4999.916,100,4874.916,,500,0.0024999997,1.0
0.002,4999.901930673499,1,0.013262499890901414,1.0,1.0,0.11411905,1.0,0.013262499890901414,500.0,500.0,500.00000664260017,4999.901930673499,0.8,4999.901930673499,5.431875e-20,0.002,4999.914,100,4888.111,,500,0.0020000003,1.0
0.01,4999.918284832574,2,0.007011658343676807,1.0,1.0,0.083315834,1.0,0.007011658343676807,500.0,500.0,100.0,4999.918284832574,0.8,4999.918284832574,3.5044917e-18,0.01,4999.9185,100,4749.9185,,500,0.009999998,1.0
0.005,4999.927894647884,2,0.0071328862110046866,1.0,1.0,0.083812684,1.0,0.0071328862110046866,500.0,500.0,200.00000010221265,4999.927894647884,0.8,4999.927894647884,2.179301e-19,0.005,4999.9233,100,4823.1465,,500,0.0049999994,1.0
0.0033333334,4999.923870195585,2,0.006975912550639541,1.0,1.0,0.083576456,1.0,0.006975912550639541,500.0,500.0,299.999969473632,4999.923870195585,0.8,4999.923870195585,5.4391416e-20,0.0033333334,4999.924,100,4855.5864,,500,0.0033333336,1.0
0.0025,4999.92388060373,2,0.005483450827693566,1.0,1.0,0.08121376,1.0,0.005483450827693566,500.0,500.0,400.0,4999.92388060373,0.8,4999.92388060373,5.434597e-20,0.0025,4999.9233,100,4874.9233,,500,0.0024999997,1.0
0.002,4999.924882161276,1,0.006903694207103297,1.0,1.0,0.08151184,1.0,0.006903694207103297,500.0,500.0,500.00000664260017,4999.924882161276,0.8,4999.924882161276,5.431875e-20,0.002,4999.9243,100,4888.121,,500,0.0020000003,1.0
0.01,4999.911605185699,2,0.008573668024153536,1.0,1.0,0.09212743,1.0,0.008573668024153536,500.0,500.0,100.0,4999.911605185699,0.8,4999.911605185699,3.5044917e-18,0.01,4999.911,100,4749.911,,500,0.009999998,1.0
0.005,4999.913227567018,2,0.008222888442288986,1.0,1.0,0.09119726,1.0,0.008222888442288986,500.0,500.0,200.00000010221265,4999.913227567018,0.8,4999.913227567018,2.179301e-19,0.005,4999.912,100,4823.1353,,500,0.0049999994,1.0
0.0033333334,4999.898764750623,2,0.016755377901164565,1.0,1.0,0.10542451,1.0,0.016755377901164565,500.0,500.0,299.999969473632,4999.898764750623,0.8,4999.898764750623,5.4391416e-20,0.0033333334,4999.9077,100,4855.5703,,500,0.0033333336,1.0
0.0025,4999.914439422759,2,0.005604346491314709,1.0,1.0,0.0986485,1.0,0.005604346491314709,500.0,500.0,400.0,4999.914439422759,0.8,4999.914439422759,5.434597e-20,0.0025,4999.909,100,4874.909,,500,0.0024999997,1.0
0.0019990827,4999.9113710198635,1,0.010174796053648932,0.9999976,1.0,0.09898696,1.0001878,0.010174796053648932,500.0,500.0,499.99992935039353,4999.9113710198635,0.8,4999.9113710198635,3.7698357e-14,0.0020003803,4999.9106,100,4888.1074,9.424432e-09,500,0.002,0.999539
0.01,4999.914018129513,2,0.009032968566207765,1.0,1.0,0.09456921,1.0,0.009032968566207765,500.0,500.0,100.0,4999.914018129513,0.8,4999.914018129513,3.5044917e-18,0.01,4999.9136,100,4749.9136,,500,0.009999998,1.0
0.005,4999.913482782231,2,0.008536959520826155,1.0,1.0,0.09326601,1.0,0.008536959520826155,500.0,500.0,200.00000010221265,4999.913482782231,0.8,4999.913482782231,2.179301e-19,0.005,4999.9136,100,4823.1367,,500,0.0049999994,1.0
0.0033333334,4999.924165753797,2,0.007330075430546329,1.0,1.0,0.09078973,1.0,0.007330075430546329,500.0,500.0,299.999969473632,4999.924165753797,0.8,4999.924165753797,5.4391416e-20,0.0033333334,4999.9175,100,4855.58,,500,0.0033333336,1.0
0.0025,4970.689678106924,2,85348.30352310253,1.0,1.0,145.88997,1.0,85348.30352310253,500.0,497.09,400.0,4970.689678106924,0.8,4970.689678106924,5.434597e-20,0.0025,4992.6104,100,4867.6104,,500,0.0024999997,1.0
0.00043943853,4999.917380928616,1,0.00936285408180879,1.0091655,1.0212008,28.723532,1.2270999,0.00936285408180879,489.6196827321646,500.0,490.3826331991669,4999.917380928616,0.8,4999.917380928616,7.860526e-08,0.0024319103,4998.6333,100,4885.651,0.020013195,500,0.0019999999,0.2217331
0.01,4999.926873918268,2,0.005732398083158191,1.0,1.0,0.07532357,1.0,0.005732398083158191,500.0,500.0,100.0,4999.926873918268,0.8,4999.926873918268,3.5044917e-18,0.01,4999.927,100,4749.927,,500,0.009999998,1.0
0.005,4999.923824251428,2,0.007871463554711222,1.0,1.0,0.08207309,1.0,0.007871463554711222,500.0,500.0,200.00000010221265,4999.923824251428,0.8,4999.923824251428,2.179301e-19,0.005,4999.9253,100,4823.1484,,500,0.0049999994,1.0
0.0033333334,4999.911371595662,2,0.006501727741000577,1.0,1.0,0.081729524,1.0,0.006501727741000577,500.0,500.0,299.999969473632,4999.911371595662,0.8,4999.911371595662,5.4391416e-20,0.0033333334,4999.9214,100,4855.584,,500,0.0033333336,1.0
0.0025,4999.912464738328,2,0.009351109873290938,1.0,1.0,0.08565125,1.0,0.009351109873290938,500.0,500.0,400.0,4999.912464738328,0.8,4999.912464738328,5.434597e-20,0.0025,4999.919,100,4874.919,,500,0.0024999997,1.0
0.002,4999.927734334788,1,0.005773388932529005,1.0,1.0,0.08381821,1.0,0.005773388932529005,500.0,500.0,500.00000664260017,4999.927734334788,0.8,4999.927734334788,5.431875e-20,0.002,4999.921,100,4888.1177,,500,0.0020000003,1.0
0.01,4999.922459809305,2,0.008732722441757679,1.0,1.0,0.09295485,1.0,0.008732722441757679,500.0,500.0,100.0,4999.922459809305,0.8,4999.922459809305,3.5044917e-18,0.01,4999.9224,100,4749.9224,,500,0.009999998,1.0
0.005,4999.923940795704,2,0.006591318924329958,1.0,1.0,0.08708948,1.0,0.006591318924329958,500.0,500.0,200.00000010221265,4999.923940795704,0.8,4999.923940795704,2.179301e-19,0.005,4999.923,100,4823.146,,500,0.0049999994,1.0
0.0033333334,4999.93579310101,2,0.004845657072826303,1.0,1.0,0.08179197,1.0,0.004845657072826303,500.0,500.0,299.999969473632,4999.93579310101,0.8,4999.93579310101,5.4391416e-20,0.0033333334,4999.9277,100,4855.5903,,500,0.0033333336,1.0
0.0025,4999.915945853963,2,0.006320679869238817,1.0,1.0,0.081277944,1.0,0.006320679869238817,500.0,500.0,400.0,4999.915945853963,0.8,4999.915945853963,5.434597e-20,0.0025,4999.925,100,4874.925,,500,0.0024999997,1.0
0.002,4999.903794283258,1,0.009495782816748812,1.0,1.0,0.08505729,1.0,0.009495782816748812,500.0,500.0,500.00000664260017,4999.903794283258,0.8,4999.903794283258,5.431875e-20,0.002,4999.9214,100,4888.118,,500,0.0020000003,1.0
0.01,4999.892611885615,2,0.022174492379269294,1.0,1.0,0.1481776,1.0,0.022174492379269294,500.0,500.0,100.0,4999.892611885615,0.8,4999.892611885615,3.5044917e-18,0.01,4999.8926,100,4749.8926,,500,0.009999998,1.0
0.005,4999.927000936277,2,0.006214881659316203,1.0,1.0,0.11979377,1.0,0.006214881659316203,500.0,500.0,200.00000010221265,4999.927000936277,0.8,4999.927000936277,2.179301e-19,0.005,4999.909,100,4823.1323,,500,0.0049999994,1.0
0.0033333334,4999.923689550736,2,0.006016982851848947,1.0,1.0,0.107679226,1.0,0.006016982851848947,500.0,500.0,299.999969473632,4999.923689550736,0.8,4999.923689550736,5.4391416e-20,0.0033333334,4999.9146,100,4855.577,,500,0.0033333336,1.0
0.0025,4999.926492669768,2,0.00846619307591111,1.0,1.0,0.10401405,1.0,0.00846619307591111,500.0,500.0,400.0,4999.926492669768,0.8,4999.926492669768,5.434597e-20,0.0025,4999.917,100,4874.917,,500,0.0024999997,1.0
0.002,4999.90937269525,1,0.012518247782658582,1.0,1.0,0.105564885,1.0,0.012518247782658582,500.0,500.0,500.00000664260017,4999.90937269525,0.8,4999.90937269525,5.431875e-20,0.002,4999.9165,100,4888.1133,,500,0.0020000003,1.0
0.01,4999.907679117743,2,0.007295251204541876,1.0,1.0,0.08498,1.0,0.007295251204541876,500.0,500.0,100.0,4999.907679117743,0.8,4999.907679117743,3.5044917e-18,0.01,4999.9077,100,4749.9077,,500,0.009999998,1.0
0.005,4999.92926631336,2,0.006778196724669598,1.0,1.0,0.084150165,1.0,0.006778196724669598,500.0,500.0,200.00000010221265,4999.92926631336,0.8,4999.92926631336,2.179301e-19,0.005,4999.9185,100,4823.1416,,500,0.0049999994,1.0
0.0033333334,4990.497448452246,2,8860.39068997773,1.0,1.0,54.255478,1.0,8860.39068997773,500.0,499.07,299.999969473632,4990.497448452246,0.8,4990.497448452246,5.4391416e-20,0.0033333334,4996.7783,100,4852.441,,500,0.0033333336,1.0
0.0025,4999.915566375039,2,0.008457740557063668,1.0,1.0,47.00628,1.0,0.008457740557063668,500.0,500.0,400.0,4999.915566375039,0.8,4999.915566375039,5.434597e-20,0.0025,4997.5625,100,4872.5625,,500,0.0024999997,1.0
0.001150844,4999.9228658502925,1,0.006014679731424792,1.002275,1.0057919,24.219858,1.1271996,0.006014679731424792,497.1207252079305,500.0,497.3028312730455,4999.9228658502925,0.8,4999.9228658502925,2.173718e-08,0.002249282,4998.8354,100,4886.709,0.0054590497,500,0.0020000003,0.57673115
0.01,4949.923275563139,2,249992.25790186942,1.0,1.0,497.486,1.0,249992.25790186942,500.0,495.01,100.0,4949.923275563139,0.8,4949.923275563139,3.5044917e-18,0.01,4949.923,100,4699.923,,500,0.009999998,1.0
0.005,4999.925518134067,2,0.007111084424367454,1.0,1.0,352.66302,1.0,0.007111084424367454,500.0,500.0,200.00000010221265,4999.925518134067,0.8,4999.925518134067,2.179301e-19,0.005,4974.9243,100,4798.1475,,500,0.0049999994,1.0
0.0033333334,4999.908183909255,2,0.053987918154347316,1.0,1.0,288.189,1.0,0.053987918154347316,500.0,500.0,299.999969473632,4999.908183909255,0.8,4999.908183909255,5.4391416e-20,0.0033333334,4983.2524,100,4838.915,,500,0.0033333336,1.0
0.0025,4999.927373763369,2,0.0065351083086941,1.0,1.0,249.6834,1.0,0.0065351083086941,500.0,500.0,400.0,4999.927373763369,0.8,4999.927373763369,5.434597e-20,0.0025,4987.421,100,4862.421,,500,0.0024999997,1.0
0.0016701281,4999.923571544027,1,0.006902823103502981,1.0007684,1.0123289,189.86053,1.6270297,0.006902823103502981,493.910643273752,500.0,493.5516221472068,4999.923571544027,0.8,4999.923571544027,5.2365806e-08,0.003251561,4991.4224,100,4878.9316,0.013111578,500,0.002,0.8357057
0.01,4999.904002357241,2,0.010162900161928697,1.0,1.0,0.100308746,1.0,0.010162900161928697,500.0,500.0,100.0,4999.904002357241,0.8,4999.904002357241,3.5044917e-18,0.01,4999.904,100,4749.904,,500,0.009999998,1.0
0.005,4999.922344856802,2,0.006325479046339256,1.0,1.0,0.09079782,1.0,0.006325479046339256,500.0,500.0,200.00000010221265,4999.922344856802,0.8,4999.922344856802,2.179301e-19,0.005,4999.913,100,4823.136,,500,0.0049999994,1.0
0.0033333334,4999.907313839412,2,0.013734783352035375,1.0,1.0,0.10018671,1.0,0.013734783352035375,500.0,500.0,299.999969473632,4999.907313839412,0.8,4999.907313839412,5.4391416e-20,0.0033333334,4999.9116,100,4855.574,,500,0.0033333336,1.0
0.0025,4999.9033565164045,2,0.005805562369045879,1.0,1.0,0.09474418,1.0,0.005805562369045879,500.0,500.0,400.0,4999.9033565164045,0.8,4999.9033565164045,5.434597e-20,0.0025,4999.9097,100,4874.9097,,500,0.0024999997,1.0
0.002,4999.921091982996,1,0.005746930752299732,1.0,1.0,0.09133871,1.0,0.005746930752299732,500.0,500.0,500.00000664260017,4999.921091982996,0.8,4999.921091982996,5.431875e-20,0.002,4999.9126,100,4888.1094,,500,0.0020000003,1.0
0.01,4999.916991252575,2,0.006610863709975686,1.0,1.0,0.080886714,1.0,0.006610863709975686,500.0,500.0,100.0,4999.916991252575,0.8,4999.916991252575,3.5044917e-18,0.01,4999.917,100,4749.917,,500,0.009999998,1.0
0.005,4999.910809480129,2,0.013946484616181587,1.0,1.0,0.10091427,1.0,0.013946484616181587,500.0,500.0,200.00000010221265,4999.910809480129,0.8,4999.910809480129,2.179301e-19,0.005,4999.914,100,4823.137,,500,0.0049999994,1.0
